simplified	ET	example_ET
端正	parandama	Õpilased peaksid parandama oma suhtumist õppimisse.
短促	lühike	Ta ohkas lühidalt.
断定	otsustama	Praegu ei saa veel otsustada, kellel on õigus.
断绝	katkestama	Pärast õnnetust katkes küla ühendus välismaailmaga.
堆积	kuhjuma	Lumi kuhjus tee äärde.
兑现	täitma	Ta täitis lõpuks oma lubaduse.
对策	vastumeede	Riskidega silmitsi seistes vajame vastumeetmeid.
对称	sümmeetriline	Selle hoone vasak ja parem pool on väga sümmeetrilised.
对付	toime tulema	Selle probleemiga pole lihtne toime tulla.
对抗	vastamisi minema	Kaks meeskonda lähevad finaalis vastamisi.
对立	vastandlik	Kahe poole seisukohad on täiesti vastandlikud.
对联	paarisvärss	Kevadpüha ajal panid nad ukse juurde paarisvärsid.
对应	vastama	Iga number vastab ühele istekohale.
对照	võrdlema	Palun võrdle tõlget originaaltekstiga.
队伍	rongkäik	Paraadirongkäik liikus aeglaselt edasi.
顿时	otsekohe	Seda uudist kuuldes tardus ta otsekohe.
哆嗦	värisema	Oli nii külm, et ta värises kogu aeg.
多元化	mitmekesistamine	Ettevõte edendab äritegevuse mitmekesistamist.
堕落	alla käima	Ta ei taha lasta endal edasi alla käia.
额外	lisatasu	See teenus nõuab lisatasu.
恶心	iiveldama	Seda lõhna tundes hakkas mul veidi iiveldama.
恶化	halvenema	Kui seda ei ravita, võib haigus halveneda.
遏制	ohjeldama	Valitsus võttis meetmeid reostuse ohjeldamiseks.
恩怨	vimm	Kahe ettevõtte vaheline vimm on kestnud kaua.
而已	ainult	Ma ütlesin seda lihtsalt niisama, ainult.
二氧化碳	süsinikdioksiid	Taimed neelavad süsinikdioksiidi.
发布	avaldama	Ettevõte avaldab homme uue toote.
发财	rikastuma	Ta loodab pingutusega rikastuda.
发呆	mõttesse vajuma	Ta istus akna ääres mõttesse vajunult.
发动	käivitama	Vabatahtlikud mobiliseerisid elanikke tänavat puhastama.
发觉	märkama	Märkasin, et ta on täna veidi närvis.
发射	välja laskma	Rakett lastakse õhtul välja.
发誓	vanduma	Ta vandus, et ei valeta enam kunagi.
发行	välja laskma	See film tuleb välja järgmisel kuul.
发炎	põletikuline	Haav on veidi põletikuline.
发扬	edendama	Peame edendama meeskonnatöö vaimu.
发育	areng	Laste füüsiline areng vajab piisavat toitumist.
法人	juriidiline isik	See ettevõte on sõltumatu juriidiline isik.
番	need sõnad	Need sõnad innustasid mind väga.
凡是	kõik, kes	Kõik, kes registreerusid, peavad koolitusel osalema.
繁华	elav	See tänav oli varem väga elav.
繁忙	hõivatud	Lennujaam on pühade ajal eriti hõivatud.
繁体字	traditsioonilised kirjamärgid	Taiwanis kasutatakse sageli traditsioonilisi hiina kirjamärke.
繁殖	paljunema	See taim paljuneb väga kergesti.
反驳	ümber lükkama	Ta lükkas selle seisukoha andmetega ümber.
反常	ebatavaline	Tänane ilm on veidi ebatavaline.
反感	vastumeelsus	Mul on sellise reklaami suhtes vastumeelsus.
反抗	vastu hakkama	Inimesed hakkasid ebaõiglastele reeglitele vastu.
反馈	tagasiside	Kliendid andsid tagasisidet, et süsteem on väga stabiilne.
反面	tagakülg	Palun keera paber tagaküljele.
反射	peegeldama	Peegel peegeldab valgust.
反思	järele mõtlema	Pärast läbikukkumist mõtles ta põhjuste üle tõsiselt järele.
反问	vastu küsima	Ta ei vastanud, vaid küsis minult vastu.
反之	vastupidi	Liiga kõrge hind vähendab nõudlust, ja vastupidi samuti.
泛滥	üleujutus	Paduvihm põhjustas jõe üleujutuse.
范畴	valdkond	See küsimus kuulub õiguse valdkonda.
贩卖	ebaseaduslikult müüma	Seadus keelab võltsravimite müügi.
方位	asukoht	Kaardile on märgitud täpne asukoht.
方言	murre	Ta saab kohalikust murdest aru.
方圆	raadius	Kümne kilomeetri raadiuses pole haiglat.
方针	arengusuund	Ettevõte koostas uue arengusuuna.
防守	kaitse	Selle meeskonna kaitse on väga kindel.
防御	kaitsmine	Linnamüüri kasutati kunagi vaenlaste eest kaitsmiseks.
防止	vältima	Palun kinnita turvavöö, et vigastusi vältida.
防治	ennetamine ja ravi	Arst selgitas haiguse ennetamise ja ravi meetodeid.
纺织	tekstiilitööstus	See linn on tuntud tekstiilitööstuse poolest.
访问	intervjueerima	Ajakirjanik intervjueerib homme seda kirjanikku.
放大	suurendama	Palun suurenda pilti veidi.
放射	kiirgama	See materjal kiirgab soojust.
非法	ebaseaduslik	Ebaseadusliku tehingu eest karistatakse.
飞禽走兽	linnud ja loomad	Metsas elab igasuguseid linde ja loomi.
飞翔	lendama	Kajakad lendavad mere kohal.
飞跃	suur hüpe	Teaduse ja tehnoloogia areng tegi suure hüppe.
肥沃	viljakas	See maa on väga viljakas.
诽谤	laimama	Teiste laimamise eest tuleb kanda õiguslikku vastutust.
废除	tühistama	See vana eeskiri on juba tühistatud.
废寝忘食	ennastunustavalt töötama	Ta töötas uurimistöö nimel ennastunustavalt.
废墟	varemed	Pärast maavärinat muutus see koht varemeteks.
沸腾	keema	Vesi on juba keema läinud.
肺	kops	Suitsetamine kahjustab kopse.
分辨	eristama	Mul on raske neid kahte värvi eristada.
分寸	mõõdutunne	Nalja tehes tuleb samuti mõõdutunnet hoida.
分红	dividendid	Aktsionärid saavad aasta lõpus dividende.
分解	osadeks jagama	Õpetaja jagas keerulise probleemi mitmeks sammuks.
分裂	lõhenema	Sisemised vastuolud viisid organisatsiooni lõhenemiseni.
分泌	eritama	See nääre eritab hormoone.
分明	selge	Faktid on juba väga selged.
分歧	erimeelsus	Kahel poolel on hinna osas erimeelsused.
分散	hajutama	Palun hajuta riskid eri projektide vahel.
吩咐	korraldust andma	Ülemus andis mulle korralduse dokumendid korrastada.
坟墓	haud	Mäenõlval on vana haud.
粉末	pulber	Palun jahvata tabletid pulbriks.
粉色	roosa	Ta ostis roosa salli.
粉碎	purustama	Politsei purustas selle kuritegeliku jõugu.
分量	kaal	Sellel lausel on suur kaal.
愤怒	viha	Tema toon oli täis viha.
丰满	rikkalik	Selle artikli sisu pole veel piisavalt rikkalik.
丰盛	rikkalik	Nad valmistasid rikkaliku õhtusöögi.
丰收	hea saak	Sel aastal said põllumehed hea saagi.
封闭	sulgema	Ehitusperioodil suletakse see tee.
封建	feodaalne	Sellist feodaalset mõtteviisi oleks ammu pidanud muutma.
封锁	blokeerima	Politsei blokeeris õnnetuspaiga.
锋利	terav	See nuga on väga terav.
风暴	torm	Merel tekkis äkki torm.
风度	väärikus	Ta paistis laval väga väärikas.
风光	maastik	Siinne loodusmaastik on väga ilus.
风气	õhkkond	Koolis kujunes hea õppimisõhkkond.
风趣	vaimukas	Ta räägib väga vaimukalt.
风土人情	kohalikud kombed	Reisimine aitab mõista kohalikke kombeid ja inimesi.
风味	kohalik maitse	Selles poes on tugev kohalik maitse.
逢	iga kord, kui	Iga kord nädalavahetusel on park väga elav.
奉献	pühendama	Arst pühendas patsientidele palju aega.
否决	tagasi lükkama	Juhatus lükkas selle ettepaneku tagasi.
夫妇	abielupaar	See abielupaar peab väikest poodi.
夫人	proua	Härra Wang osales õhtusöögil koos prouaga.
敷衍	pealiskaudselt	Ta vastas vaid paarile küsimusele pealiskaudselt.
俘虏	vang	Pärast sõja lõppu vabastati vangid.
幅度	ulatus	Seekordne hinnalanguse ulatus on suur.
服从	alluma	Sõdurid peavad käskudele alluma.
服气	leppima	Ta kaotas võistluse, kuid sisimas ei leppinud sellega.
福利	hüved	Töötajad hindavad ettevõtte hüvesid.
福气	õnn	Hea õpetajaga kohtumine on tema õnn.
符号	sümbol	See sümbol tähistab ohtu.
辐射	kiirgus	Arst tuletas talle meelde, et ta hoiaks tugevast kiirgusest eemale.
俯视	ülevalt vaatama	Mäetipust saab vaadata kogu linna ülevalt.
抚摸	silitama	Ta silitas õrnalt lapse pead.
抚养	üles kasvatama	Vanavanemad aitavad last üles kasvatada.
腐败	korruptsioon	Valitsus võitleb korruptsiooniga.
腐烂	mädanema	Puuvili mädaneb, kui see liiga kauaks seisma jääb.
腐蚀	söövitama	Hape söövitab metalli pinda.
腐朽	iganenud	Nad kritiseerisid iganenud süsteemi.
辅助	abistama	See tööriist võib õpetamist abistada.
副	ase	Ta nimetati asejuhiks.
复活	taaselustuma	See traditsiooniline püha on taaselustumas.
复兴	taassünd	Kultuuriline taassünd vajab pikaajalist pingutust.
富裕	jõukas	See küla muutub nüüd üha jõukamaks.
腹泻	kõhulahtisus	Tal on raske kõhulahtisus ja ta peab arsti juurde minema.
覆盖	katma	Paks lumi kattis kogu oru.
负担	koorem	Üürist sai tema peamine koorem.
赋予	andma	Seadus annab kodanikele põhiõigused.
附和	kaasa kiitma	Tal pole oma arvamust, ta oskab ainult teistele kaasa kiita.
附件	manus	Palun vaata e-kirja manust.
附属	juurde kuuluv	See haigla on ülikooli juurde kuuluv haigla.
改良	parandama	Eksperdid parandavad seda riisisorti.
盖章	pitsatit lööma	Pärast lepingu allkirjastamist tuleb sellele pitsat lüüa.
钙	kaltsium	Piim sisaldab palju kaltsiumi.
尴尬	piinlik	Koosolekul tekkis piinlik vaikus.
干旱	põud	Pikaajaline põud mõjutas saaki.
干扰	häirima	Müra häirib mu tööd.
干涉	sekkuma	Vanemad ei peaks laste valikutesse liiga palju sekkuma.
干预	sekkuma	Valitsus sekkus tururiskidesse õigel ajal.
感慨	heldimus	Vanu fotosid nähes valdas teda sügav heldimus.
感染	nakatama	See viirus nakatab lapsi kergesti.
干劲	tööind	Kõik töötavad suure tööinnuga.
扛	kandma	Legend räägib, et ta oli nii tugev, et suutis suurt anumat kanda.
纲领	tegevusprogramm	Koosolek võttis vastu uue tegevusprogrammi.
岗位	ametikoht	Ta kohanes kiiresti uue ametikohaga.
港口	sadam	Kaubalaev peatus sadamas.
港湾	lahesopp	Väike paat sõitis vaiksesse lahesoppi.
杠杆	finantsvõimendus	See investeering kasutas suurt finantsvõimendust.
高超	meisterlik	Tema autoremondioskus on väga meisterlik.
高潮	kõrghetk	Võistlus jõudis viimase kümne minuti jooksul kõrghetke.
高峰	tipptund	Kell kaheksa hommikul on liikluse tipptund.
高明	nutikas	See meetod on tõesti nutikas.
高尚	üllas	Arsti kutsevaim on väga üllas.
高涨	kasvama	Publiku entusiasm kasvas pidevalt.
稿件	käsikiri	Toimetaja parandab käsikirja.
告辞	lahkuma	On juba hilja, me lahkume nüüd.
告诫	hoiatama	Õpetaja hoiatas õpilasi petmise eest.
割	lõikama	Ta lõikas kogemata sõrme katki.
搁	asetama	Palun aseta dokumendid lauale.
歌颂	ülistama	See luuletus ülistab töötajaid.
疙瘩	muhk	Tema käsivarrele tekkis muhk.
鸽子	tuvi	Väljakul on palju tuvisid.
格局	paigutus	Selle korteri paigutus on väga mõistlik.
格式	vorming	Palun täida vorm ettenähtud vormingus.
隔阂	lõhe	Arusaamatus süvendas nendevahelist lõhet.
隔离	isoleerima	Patsient tuleb ajutiselt isoleerida.
革命	revolutsioon	See revolutsioon muutis riigi saatust.
个体	üksikisik	Igal üksikisikul on erinevad vajadused.
各抒己见	oma arvamust avaldama	Koosolekul avaldasid kõik oma arvamust.
根深蒂固	sügavalt juurdunud	See arusaam on juba sügavalt juurdunud.
根源	juurpõhjus	Vaesuse juurpõhjused on keerulised.
跟前	juurde	Laps jooksis ema juurde.
跟随	järgnema	Ajakirjanik järgnes rühmale mägipiirkonda.
跟踪	jälgima	Politsei jälgib kahtlusaluse liikumist.
更新	uuendama	Süsteem uueneb täna öösel automaatselt.
更正	parandama	Ajaleht parandas vea järgmisel päeval.
耕地	põldu harima	Põllumehed harivad kevadel põldu.
供不应求	nõudlus ületab pakkumist	Seda ravimit napib praegu, sest nõudlus ületab pakkumist.
供给	varustamine	Linn vajab stabiilset vee- ja elektrivarustust.
公安局	politseijaoskond	Ta läks politseijaoskonda juhtumist teatama.
公道	õiglane	Kõik loodavad õiglasele kohtlemisele.
公告	teadaanne	Kool avaldas õppetöö peatamise teadaande.
公关	suhtekorraldus	Ettevõte palkas professionaalse suhtekorraldusmeeskonna.
公民	kodanik	Iga kodanik peab seadust järgima.
公然	avalikult	Ta rikkus avalikult võistlusreegleid.
公认	üldtunnustatud	Ta on üldtunnustatud suurepärane õpetaja.
公式	valem	Palun pane see matemaatiline valem kirja.
公务	ametiasjad	Ta sõitis ametiasjus kolmeks päevaks komandeeringusse.
公正	õiglane	Kohtunik peab jääma õiglaseks.
公证	notariaalne tõestamine	See dokument vajab notariaalset tõestamist.
功劳	teene	Selles edus on kõigi teene.
功效	toime	Selle ravimi toimet tuleb veel kinnitada.
宫殿	palee	Turistid külastasid vana paleed.
工艺品	käsitööese	See käsitööese on valmistatud käsitsi.
恭敬	lugupidav	Ta tervitas vanainimest lugupidavalt.
攻击	ründama	Häkkerid ründasid ettevõtte veebisaiti.
攻克	ületama	Uurimisrühm ületas tehnilise raskuse.
巩固	kinnistama	Kordamine aitab õpitud teadmisi kinnistada.
共和国	vabariik	See vabariik asutati eelmisel sajandil.
共计	kokku	Selles kaubapartiis on kokku kolmsada kasti.
共鸣	vastukaja	See laul tekitas paljudes inimestes vastukaja.
勾结	kokku mängima	Nad mängisid kõrvaliste isikutega kokku, et raha välja petta.
钩子	konks	Seinal ripub mitu konksu.
构思	kavandama	Kirjanik kavandab uut romaani.
姑且	esialgu	Proovime seda plaani esialgu ühe nädala.
孤独	üksildane	Pärast uude linna kolimist tundis ta end üksildasena.
孤立	eraldi	Ära vaata seda probleemi eraldi.
辜负	ootusi petma	Ma ei taha vanemate ootusi petta.
古董	antiikese	Vanaisa kogus mitu antiikeset.
古怪	kummaline	Tema mõte on veidi kummaline.
股东	aktsionär	Aktsionäride üldkoosolek toimub järgmisel nädalal.
股份	osalus	Tal on ettevõttes osalus.
骨干	tugisammas	Need insenerid on meeskonna tugisambad.
鼓动	õhutama	Keegi õhutas rahvast protestima.
固然	küll	See meetod on küll lihtne, kuid risk pole väike.
固体	tahke aine	Jää on vee tahke vorm.
固有	omane	Igal kultuuril on omad tunnused.
固执	kangekaelne	Ta on liiga kangekaelne ega taha nõu kuulata.
故乡	kodukoht	Aastate pärast naasis ta kodukohta.
故障	rike	Liftis tekkis rike ja see on ajutiselt kasutusest väljas.
雇佣	palkama	Ettevõte otsustas palgata rohkem tehnilisi töötajaid.
顾虑	mure	Kui sul on muresid, võid otse öelda.
顾问	nõustaja	Me palkasime juriidilise nõustaja.
拐杖	jalutuskepp	Vanainimene võtab välja minnes sageli jalutuskepi kaasa.
关怀	hoolitsus	Õpetaja pakkus õpilastele palju hoolitsust.
关照	hoolitsema	Palun hoolitse tee peal lapse eest.
官方	ametlik	Ametlik teade avaldatakse homme.
观光	vaatamisväärsustega tutvuma	Turistid sõidavad paadiga vaatamisväärsustega tutvuma.
管辖	haldama	Seda piirkonda haldab linnavalitsus.
惯例	tava	Külaliste tutvustamine enne koosoleku algust on tava.
灌溉	niisutama	Põllumehed niisutavad põlde jõeveega.
罐	purk	Laual on purk teelehti.
贯彻	ellu viima	Ettevõte peab uued ohutusstandardid ellu viima.
光彩	sära	See riietus paneb ta särama.
光辉	hiilgav	Tema saavutused jätsid hiilgava lehekülje.
光芒	kiired	Päikesekiired valgustasid orgu.
光荣	auväärne	Riigi teenimine on auväärne.
广阔	avar	Rohumaa ulatub silmapiirini ja on väga avar.
归根到底	lõppkokkuvõttes	Lõppkokkuvõttes on probleem juhtimises.
归还	tagastama	Palun tagasta raamatud õigel ajal.
规范	norm	Kool kehtestas normid labori haldamiseks.
规格	spetsifikatsioon	Selle partii osade spetsifikatsioonid ei ole ühesugused.
规划	planeerimine	Linna planeerimisel tuleb liiklust arvestada.
规章	eeskirjad	Töötajad peavad ettevõtte eeskirju järgima.
轨道	rööpad	Rong liigub mööda rööpaid.
贵族	aadel	See mõis kuulus kunagi aadlile.
跪	põlvitama	Ta põlvitas jumalakuju ees.
棍棒	nuiad	Politsei konfiskeeris sündmuskohalt nuiad.
国防	riigikaitse	Riigikaitse arendamine vajab pikaajalisi investeeringuid.
国务院	Riiginõukogu	Riiginõukogu avaldas uue teate.
果断	otsustav	Juht tegi otsuse otsustavalt.
过度	liigne	Telefoni liigne kasutamine mõjutab und.
过渡	üleminek	Ettevõte on ümberkujundamise üleminekuetapis.
过奖	üle kiitma	Sa kiidad mind üle, mul on veel vaja õppida.
过滤	filtreerima	See seade suudab lisandeid filtreerida.
过失	hooletus	Selle õnnetuse põhjustas inimlik hooletus.
过问	huvi tundma	Juht tunneb nende pisiasjade vastu harva huvi.
过瘾	nauditav	Seda mängu oli tõesti nauditav vaadata.
过于	liiga	See plaan on liiga keeruline.
嗨	hei	Hei, kuidas sina ka siia tulid?
海拔	kõrgus merepinnast	Selle küla kõrgus merepinnast on suur.
海滨	mereäär	Nad veetsid nädalavahetuse mere ääres.
含糊	ebamäärane	Tema vastus oli väga ebamäärane.
含义	tähendus	Sellel sõnal on eriline tähendus.
寒暄	viisakusvestlus	Pärast kohtumist vahetasid nad paar viisakusfraasi.
罕见	haruldane	See haigus on väga haruldane.
捍卫	kaitsma	Advokaat püüdis kaitsta kliendi õigusi.
航空	lennundus	Lennufirma tühistas lennu.
航天	kosmoselend	Hiina kosmoselendude valdkond areneb kiiresti.
航行	seilama	Laev seilab merel.
行列	read	Ta liitus vabatahtlike ridadega.
毫米	millimeeter	See klaas on viis millimeetrit paks.
毫无	mitte mingit	Tema seletusel pole mingit alust.
豪迈	jõuline	Tema lauluhääl oli jõuline ja vägev.
号召	üles kutsuma	Valitsus kutsus kõiki vett säästma.
耗费	kulutama	See projekt kulutas palju raha.
呵	käratama	Isa käratas ja laps jäi kohe seisma.
合并	ühinema	Kaks ettevõtet plaanivad järgmisel aastal ühineda.
合成	sünteesima	Seda materjali saab kunstlikult sünteesida.
合伙	ühiselt	Nad avasid ühiselt restorani.
合算	tasuv	Bussiga sõitmine on taksost tasuvam.
和蔼	lahke	See arst räägib väga lahkelt.
和解	leppimine	Pooled jõudsid lõpuks leppimiseni.
和睦	harmooniline	Naabrid saavad omavahel harmooniliselt läbi.
和气	sõbralik	Ülemus kohtleb inimesi sõbralikult.
和谐	harmooniline	Muusika muutis õhkkonna harmoonilisemaks.
嘿	hei	Hei, kas sa kuulsid?
痕迹	jälg	Maapinnale jäid rattajäljed.
狠心	südametu	Ta keeldus sõbra palvest südametult.
恨不得	tahaks väga	Tahaksin kohe koju puhkama minna.
哼	mühatama	Ta mühatas pahaselt.
横	horisontaalne	Palun tõmba paberile horisontaalne joon.
哄	pahvatama	Kõik pahvatasid naerma.
烘	küpsetama	Leib küpseb ahjus.
轰动	sensatsiooni tekitama	See uudis tekitas üle riigi sensatsiooni.
宏观	makro	Peame majandust analüüsima makrotasandilt.
宏伟	suurejooneline	Selle silla kujundus on väga suurejooneline.
洪水	üleujutus	Üleujutus hävitas mitu silda.
喉咙	kurk	Ta rääkis liiga palju ja kurk on veidi valus.
吼	karjuma	Ta karjus valjusti kauguse poole.
候选	kandidaat	Ta on selle aasta kandidaat esindajaks.
后代	järeltulevad põlved	Peame keskkonda kaitsma järeltulevate põlvede jaoks.
后顾之忧	tulevikumure	Püsiv sissetulek vabastas ta tulevikumuredest.
后勤	logistika	Logistikaosakond vastutab varustuse eest.
呼唤	hüüdma	Ema hüüab ukse juures last.
呼啸	ulguma	Külm tuul ulub akna taga.
呼吁	üles kutsuma	Eksperdid kutsuvad kõiki jäätmeid vähendama.
忽略	tähelepanuta jätma	Palun ära jäta seda detaili tähelepanuta.
湖泊	järved	Selles piirkonnas on palju looduslikke järvi.
胡乱	suvaliselt	Ära pane asju suvaliselt põrandale.
胡须	habe	Tema habe on juba valgeks läinud.
花瓣	õieleht	Pärast vihma oli maa õielehti täis.
花蕾	õienupp	Kevadel ilmuvad okstele õienupud.
华丽	uhke	Lava kostüümid on väga uhked.
华侨	välishiinlane	Paljud välishiinlased naasid kodukanti investeerima.
划分	jagama	Õpetaja jagas õpilased nelja rühma.
化肥	keemiline väetis	Põllumehed panevad põllukultuuridele keemilist väetist.
化石	kivistis	Muuseumis eksponeeriti dinosauruse kivistisi.
化验	laborianalüüs	Arst käskis tal teha vereanalüüsi.
化妆	meikima	Ta meigib end enne lavale minekut.
画蛇添足	ülearune lisandus	Lisaseletus oleks hoopis ülearune.
话筒	mikrofon	Saatejuht ulatas mikrofoni publikule.
欢乐	rõõm	Pidupäeva väljak oli rõõmu täis.
环节	etapp	Koolituse iga etapp on väga oluline.
还原	taastama	Palun taasta seaded vaikeseisundisse.
缓和	leevenema	Poolte suhted leevenesid järk-järgult.
患者	patsient	Arst küsitleb patsienti tema seisundi kohta.
荒凉	kõle	See maa näeb väga kõle välja.
荒谬	absurdne	See seletus kõlab väga absurdselt.
荒唐	naeruväärne	Tema otsus oli liiga naeruväärne.
皇帝	keiser	Keiser elas suurejoonelises palees.
皇后	keisrinna	Keisrinna osales pidustustel.
黄昏	hämarik	Hämariku ajal süttisid tänavatuled.
恍然大悟	äkki taipama	Pärast selgituse kuulamist taipas ta äkki.
晃	vilksatama	Midagi vilksatas silme ees ja ta oligi kadunud.
挥霍	raiskama	Ta ei peaks vanemate raha raiskama.
辉煌	hiilgav	Sellel linnal on hiilgav ajalugu.
回报	tasu	Raske töö saab lõpuks tasu.
回避	vältima	Ta vältis seda küsimust kogu aeg.
回顾	tagasi vaatama	Koosoleku lõpus vaadati kogu aasta tööle tagasi.
回收	koguma ringlusse	Elurajoon hakkas vanu patareisid ringlusse koguma.
悔恨	kahetsus	Ta tunneb mineviku vigade pärast kahetsust.
毁灭	hävitama	Sõda hävitas selle linna peaaegu.
会晤	kohtuma	Kahe riigi juhid kohtuvad homme.
汇报	aru andma	Ta andis juhile edenemisest aru.
贿赂	altkäemaks	Ametnikku uuriti altkäemaksu tõttu.
昏迷	kooma	Patsient on endiselt koomas.
荤	liharoog	See roog sisaldab liha ega sobi taimetoitlastele.
浑身	üleni	Pärast jooksu oli ta üleni higine.
混合	segama	Palun sega kaks materjali ühtlaselt kokku.
混乱	kaootiline	Sündmuspaik oli mõnda aega väga kaootiline.
混淆	segamini ajama	Ära aja neid kahte mõistet segamini.
混浊	sogane	Pärast vihma muutus jõevesi sogaseks.
活该	paras	Ta ei kuulanud nõu, nii et läbikukkumine oli talle paras.
活力	elujõud	See linn on elujõudu täis.
火箭	rakett	Rakett jõudis edukalt ettenähtud orbiidile.
火焰	leek	Tuul puhus leegi kõrgemaks.
火药	püssirohi	Püssirohi muutis iidset sõjapidamist.
货币	raha	Rahapoliitika mõjutab majanduse arengut.
基地	baas	See oli kunagi oluline treeningbaas.
基金	fond	Kool asutas stipendiumifondi.
基因	geen	Teadlased uurivad seda geeni.
机动	liikuv	See üksus säilitab suure liikuvuse.
机构	asutus	See asutus vastutab kvaliteedikontrolli eest.
机灵	nutikas	See laps on väga nutikas.
机密	salajane	Need materjalid on salajased.
机械	masinad	Tehas tõi sisse uued masinad.
机遇	võimalus	Noored peavad võimalustest kinni haarama.
机智	vaimukas	Tema vastus oli väga vaimukas.
激发	äratama	Õpetaja äratas õpilastes huvi.
激励	innustama	See edu innustas kogu meeskonda.
激情	kirg	Ta kõne oli täis kirge.
讥笑	pilkama	Ära pilka teiste vigu.
饥饿	nälg	Pikaajaline nälg mõjutab tervist.
即便	isegi kui	Isegi kui sajab, lahkume õigel ajal.
即将	kohe-kohe	Koosolek algab kohe-kohe.
及早	varakult	Probleemide avastamisel tuleb need varakult lahendada.
吉祥	õnne toov	Punane sümboliseerib Hiinas sageli õnne.
嫉妒	kadestama	Ta ei peaks kolleegi edu kadestama.
急功近利	kiiret kasu taga ajama	Teadustöös ei tohi kiiret kasu taga ajada.
急剧	järsk	Müük langes järsult.
急切	ärevalt	Ta ootas uudiseid ärevalt.
急于求成	rutakalt edu taotlema	Keelt õppides ei tohi rutakalt edu taotleda.
急躁	kärsitu	Raskustega kohtudes ära muutu kärsituks.
极端	äärmuslik	Selline äärmuslik ilm muutub üha tavalisemaks.
极限	piir	See treening pani proovile tema piiri.
疾病	haigus	Head harjumused aitavad haigusi ennetada.
籍贯	päritolukoht	Vormile tuleb märkida päritolukoht.
级别	tase	See võistlus jaguneb kolmeks tasemeks.
集团	kontsern	Sellel kontsernil on välismaal filiaale.
给予	andma	Kool annab vaestele õpilastele abi.
季军	kolmas koht	Ta sai võistlusel kolmanda koha.
季度	kvartal	Ettevõte avaldab majandusaruande igas kvartalis.
寂静	vaikne	Öine org oli eriti vaikne.
寄托	lootust panema	Ta pani oma lootuse lapse peale.
忌讳	tabuks pidama	Kohalikud peavad sellest söögilauas rääkimist tabuks.
技巧	oskus	Oskuste valdamine võib tõhusust parandada.
纪要	protokoll	Sekretär koostas koosoleku protokolli.
继承	pärima	Ta päris isa ettevõtmise.
计较	tühjast tüli tegema	Ära tee sellest väikesest asjast tüli.
记性	mälu	Tal on väga hea mälu.
记载	kirja panema	Ajalookirjades on see sõda kirja pandud.
迹象	märk	Praegu pole paranemise märke.
佳肴	hõrgutised	Laud oli maitsvaid hõrgutisi täis.
加工	töötlema	Neid tooraineid tuleb edasi töödelda.
加剧	süvenema	Vastuolud süvenevad.
夹杂	segunema	Vihmahäälega segunes äikese mürin.
家常	kodune	Mulle meeldib kodune toit.
家伙	tegelane	See tegelane jääb alati hiljaks.
家属	pereliikmed	Arst teavitas patsiendi pereliikmeid.
家喻户晓	kõigile tuntud	See lugu on kõigile tuntud.
坚定	kindel	Tema hoiak on väga kindel.
坚固	tugev	See sild on väga tugev.
坚韧	sitke	Tal on sitke iseloom.
坚实	kindel	Sellel uuringul on kindel alus.
坚硬	kõva	See kivi on väga kõva.
尖端	tipptasemel	Ettevõte investeerib tipptasemel tehnoloogiasse.
尖锐	terav	See probleem on väga terav.
煎	praadima	Kokk praeb kala.
监督	järelevalve	Avalik järelevalve aitab tööd parandada.
监视	jälgima	Politsei jälgib kahtlusalust.
监狱	vangla	Ta kannab vanglas karistust.
艰难	raske	Ettevõtte loomise algus oli väga raske.
剪彩	linti läbi lõikama	Linnapea lõikas uue raamatukogu avamisel lindi läbi.
拣	valima	Ta valis korvist mitu õuna.
检讨	läbi mõtlema	Ta mõtles oma vead tõsiselt läbi.
检验	kontrollima	Katse saab seda hüpoteesi kontrollida.
简化	lihtsustama	Palun lihtsusta protsessi veelgi.
简陋	lihtne	Nad elasid lihtsas väikeses hütis.
简体字	lihtsustatud kirjamärgid	See õpik kasutab lihtsustatud hiina kirjamärke.
简要	lühidalt	Palun selgita lühidalt oma seisukohta.
健全	täiustama	Ettevõte peab juhtimissüsteemi täiustama.
剑	mõõk	Seinal ripub vana mõõk.
溅	pritsima	Vihmavesi pritsis tema pükstele.
舰艇	sõjalaevad	Mitmed sõjalaevad osalesid õppusel.
见多识广	elukogenud	See vanainimene on väga elukogenud.
见解	seisukoht	Tal on selles küsimuses omanäoline seisukoht.
见闻	silmaring	Reisimine avardas tema silmaringi.
见义勇为	vapralt appi astuma	Teda kiideti vapralt appi astumise eest.
践踏	tallama	Ära talla muru.
鉴别	eristama	Eksperdid suudavad selle maali ehtsust eristada.
鉴定	tuvastama	Politsei tuvastab sõrmejälgi.
鉴于	arvestades	Halba ilma arvestades lükati üritus edasi.
间谍	spioon	See film räägib spiooniloost.
间隔	vahe	Kahe koosoleku vahe on nädal.
间接	kaudne	Sellel poliitikal on kaudne mõju.
僵硬	kange	Tema naeratus näis kange.
将军	kindral	Kindral andis käsu.
将近	ligi	Projekt kestis ligi kaks aastat.
将就	kuidagi hakkama saama	Tingimused pole head, saame ainult kuidagi hakkama.
奖励	premeerima	Kool premeeris väljapaistvaid õpilasi.
奖赏	tasu	Kuningas andis sõdalasele rikkaliku tasu.
桨	aer	Paadimees sõudis aeruga paadi kalda poole.
降临	saabuma	Pimedus saabus järk-järgult linna kohale.
交叉	ristuma	Kaks teed ristuvad siin.
