simplified	LO	example_LO
一直	ຕະຫຼອດ; ສະເໝີ	ລາວລໍຖ້າເຈົ້າຕະຫຼອດ.
一定	ແນ່ນອນ	ຂ້ອຍຈະມາແນ່ນອນ.
一共	ລວມທັງໝົດ	ປຶ້ມເຫຼົ່ານີ້ລວມທັງໝົດເທົ່າໃດ?
一会儿	ຄາວໜຶ່ງ; ຈັກໜ້ອຍ	ກະລຸນາລໍຖ້າຂ້ອຍຈັກໜ້ອຍ.
一样	ຄືກັນ	ຈອກສອງໃບນີ້ໃຫຍ່ຄືກັນ.
以前	ເມື່ອກ່ອນ	ເມື່ອກ່ອນຂ້ອຍຢູ່ປັກກິ່ງ.
一般	ທຳມະດາ; ປານກາງ	ອາຫານຢູ່ຮ້ານອາຫານນີ້ທຳມະດາ.
一边	ຂ້າງໜຶ່ງ; ພ້ອມກັບ	ລາວຟັງດົນຕີພ້ອມກັບເຮັດວຽກບ້ານ.
音乐	ດົນຕີ	ຂ້ອຍມັກດົນຕີຈີນ.
银行	ທະນາຄານ	ທະນາຄານຢູ່ຂ້າງຊູເປີມາເກັດ.
饮料	ເຄື່ອງດື່ມ	ເຄື່ອງດື່ມນີ້ດື່ມແຊບ.
应该	ຄວນ	ເຈົ້າຄວນພັກຜ່ອນຫຼາຍໆ.
影响	ຜົນກະທົບ; ກະທົບ	ອາກາດຈະກະທົບການແຂ່ງຂັນ.
用	ໃຊ້	ຂ້ອຍໃຊ້ຄອມພິວເຕີເຮັດວຽກບ້ານ.
游戏	ເກມ; ການຫຼິ້ນ	ເດັກນ້ອຍກຳລັງຫຼິ້ນເກມ.
有名	ມີຊື່ສຽງ	ຮ້ານອາຫານນີ້ມີຊື່ສຽງຫຼາຍ.
又	ອີກ; ອີກແລ້ວ	ມື້ນີ້ລາວມາຊ້າອີກແລ້ວ.
遇到	ພົບ; ພົບໂດຍບັງເອີນ	ຂ້ອຍພົບຄູຢູ່ຖະໜົນ.
元	ຢວນ; ໜ່ວຍເງິນ	ວັດຈະນານຸກົມເຫຼັ້ມນີ້ລາຄາຫ້າສິບຢວນ.
愿意	ເຕັມໃຈ; ຢາກ	ເຈົ້າເຕັມໃຈເຂົ້າຮ່ວມບໍ?
月亮	ດວງຈັນ	ດວງຈັນຄືນນີ້ສວ່າງຫຼາຍ.
越	ຍິ່ງ...ຍິ່ງ...	ຍິ່ງຮຽນພາສາຈີນ ຍິ່ງນ່າສົນໃຈ.
站	ສະຖານີ; ຢືນ	ລາວຢືນຢູ່ໜ້າປະຕູ.
张	ລັກສະນະນາມສຳລັບຂອງແຜ່ນ	ກະລຸນາເອົາແຜນທີ່ໜຶ່ງແຜ່ນໃຫ້ຂ້ອຍ.
长	ເຕີບໃຫຍ່	ເດັກນ້ອຍເຕີບໃຫຍ່ໄວຫຼາຍ.
着急	ກັງວົນ; ຮີບຮ້ອນ	ຢ່າກັງວົນ, ລິຟຈະມາທັນທີ.
照顾	ດູແລ	ນາງດູແລຍ່າທີ່ປ່ວຍ.
照片	ຮູບຖ່າຍ	ຮູບຖ່າຍນີ້ເບິ່ງງາມຫຼາຍ.
照相机	ກ້ອງຖ່າຍຮູບ	ຂ້ອຍໃຊ້ກ້ອງຖ່າຍຮູບຖ່າຍຮູບ.
283:只	ພຽງແຕ່; ເທົ່ານັ້ນ	ຂ້ອຍດື່ມຊາພຽງແຕ່ໜຶ່ງຈອກ.
284:只	ລັກສະນະນາມສຳລັບສັດ	ຢູ່ລຸ່ມໂຕະມີແມວໜຶ່ງໂຕ.
只有…才…	ມີແຕ່...ຈຶ່ງ...	ມີແຕ່ທົບທວນບົດຮຽນຢ່າງຕັ້ງໃຈ ຈຶ່ງຈະສອບໄດ້ດີ.
中间	ກາງ	ໂຕະຢູ່ກາງຫ້ອງ.
中文	ພາສາຈີນ	ຂ້ອຍຮຽນພາສາຈີນທຸກມື້.
终于	ໃນທີ່ສຸດ	ໃນທີ່ສຸດພວກເຮົາກໍມາຮອດ.
种	ປະເພດ; ຊະນິດ	ເຈົ້າມັກເຄື່ອງດື່ມປະເພດໃດ?
重要	ສຳຄັນ	ໜັງສືຜ່ານແດນສຳຄັນຫຼາຍ.
周末	ທ້າຍອາທິດ	ທ້າຍອາທິດຂ້ອຍຢາກໄປສວນສາທາລະນະ.
主要	ຫຼັກ; ສຳຄັນ	ຄວາມມັກຫຼັກຂອງລາວແມ່ນດົນຕີ.
注意	ໃສ່ໃຈ; ລະວັງ	ກະລຸນາໃສ່ໃຈຟັງຄູອະທິບາຍ.
自己	ຕົນເອງ	ຂ້ອຍຢາກເຮັດວຽກບ້ານດ້ວຍຕົນເອງ.
自行车	ລົດຖີບ	ລົດຖີບຂອງຂ້ອຍຢູ່ຊັ້ນລຸ່ມ.
总是	ສະເໝີ	ລາວມາຮອດຫ້ອງການເຊົ້າສະເໝີ.
嘴	ປາກ	ກະລຸນາເປີດປາກ.
最后	ສຸດທ້າຍ	ສຸດທ້າຍພວກເຮົາທຸກຄົນເຫັນດີ.
最近	ບໍ່ດົນມານີ້; ຊ່ວງນີ້	ຊ່ວງນີ້ຂ້ອຍຫຍຸ້ງຫຼາຍ.
作业	ວຽກບ້ານ; ການບ້ານ	ຂ້ອຍຍັງບໍ່ໄດ້ເຮັດວຽກບ້ານສຳເລັດ.
