hsk_key	source_word	simplified	KA	example_KA	HY	example_HY
5280:镇	镇	镇	დაბა; დამშვიდება	ეს დაბა ზღვის ნაპირთან ახლოსაა.	ավան; հանգստացնել	Այս ավանը ծովին մոտ է։
5281:阵雨	阵雨	阵雨	ხანმოკლე წვიმა	შუადღის შემდეგ შესაძლოა ხანმოკლე წვიმა იყოს.	կարճատև անձրև	Կեսօրից հետո հնարավոր է կարճատև անձրև լինի։
5283:争吵	争吵	争吵	ჩხუბი; კამათი	ისინი პატარა ამბის გამო კამათს შეუდგნენ.	վիճել; կռվել	Նրանք փոքր բանի պատճառով սկսեցին վիճել։
5290:正面	正面	正面	წინა მხარე; დადებითი მხარე	გთხოვ, ფოტოს წინა მხარე ზემოთ მოაქციე.	առջևի կողմ; դրական կողմ	Խնդրում եմ, լուսանկարի առջևի կողմը վերև դիր։
5299:之所以	之所以	之所以	მიზეზი იმისა, რომ	მისი დაგვიანების მიზეზი გზაზე საცობი იყო.	պատճառն այն է, որ	Նրա ուշանալու պատճառն այն էր, որ ճանապարհին խցանում կար։
5303:职员	职员	职员	თანამშრომელი	კომპანიის ყველა თანამშრომელი ტრენინგს დაესწრო.	աշխատակից	Ընկերության բոլոր աշխատակիցները մասնակցեցին վերապատրաստմանը։
5304:职责	职责	职责	მოვალეობა; პასუხისმგებლობა	ექიმის მოვალეობაა პაციენტების ჯანმრთელობის დაცვა.	պարտականություն; պատասխանատվություն	Բժշկի պարտականությունն է պաշտպանել հիվանդների առողջությունը։
5306:只得	只得	只得	იძულებული გახდომა; სხვა გზა არ ჰქონდეს	წვიმა ძალიან ძლიერი იყო, ამიტომ ღონისძიების გაუქმება მოგვიწია.	ստիպված լինել; այլ ելք չունենալ	Անձրևը շատ ուժեղ էր, ուստի ստիպված եղանք միջոցառումը չեղարկել։
5308:只顾	只顾	只顾	მხოლოდ ყურადღების მიქცევა; გართული ყოფნა	ის მხოლოდ ტელეფონში იყო გართული და ჩემი ნათქვამი ვერ გაიგონა.	միայն ուշադրություն դարձնել; տարվել	Նա միայն հեռախոսին էր նայում և չլսեց, թե ինչ ասացի։
5312:制	制	制	დამზადება; სისტემა	ეს წამალი ადგილობრივ ფარმაცევტულ ქარხანაშია დამზადებული.	պատրաստել; համակարգ	Այս դեղը պատրաստված է տեղական դեղագործական գործարանում։
5313:至关重要	至关重要	至关重要	უაღრესად მნიშვნელოვანი	უსაფრთხოების ტრენინგი ახალი თანამშრომლებისთვის უაღრესად მნიშვნელოვანია.	չափազանց կարևոր	Անվտանգության ուսուցումը նոր աշխատակիցների համար չափազանց կարևոր է։
5316:制品	制品	制品	ნაწარმი; პროდუქტი	ეს მაღაზია სხვადასხვა ხის ნაწარმს ყიდის.	արտադրանք; պատրաստված իր	Այս խանութը վաճառում է տարբեր փայտե իրեր։
5318:质疑	质疑	质疑	ეჭვქვეშ დაყენება; კითხვების დასმა	ჟურნალისტმა ამ ანგარიშის მონაცემები ეჭვქვეშ დააყენა.	կասկածի տակ դնել; հարցականի տակ դնել	Լրագրողը այս հաշվետվության տվյալները կասկածի տակ դրեց։
5320:中等	中等	中等	საშუალო	ეს ტანსაცმელი საშუალო ზომისაა.	միջին	Այս հագուստը միջին չափսի է։
5324:钟头	钟头	钟头	საათი	ჩვენ ორი საათი ველოდეთ.	ժամ	Մենք երկու ժամ սպասեցինք։
5327:肿	肿	肿	შეშუპება; გასიებული	მისი კოჭი შეშუპდა.	ուռել; ուռած	Նրա կոճը ուռեց։
5328:中	中	中	მოხვედრა; მოგება; ზემოქმედებაში მოხვედრა	მან პრიზი მოიგო და სიხარულისგან ხმა ვერ ამოიღო.	դիպչել; շահել; ազդեցության ենթարկվել	Նա մրցանակ շահեց և ուրախությունից չկարողացավ խոսել։
5329:种地	种地	种地	მიწის დამუშავება; მიწათმოქმედება	ბაბუა ახალგაზრდობაში სოფელში მიწას ამუშავებდა.	հող մշակել; հողագործությամբ զբաղվել	Պապիկը երիտասարդ ժամանակ գյուղում հող էր մշակում։
5330:中毒	中毒	中毒	მოწამვლა	გაფუჭებულმა საჭმელმა შეიძლება მოწამვლა გამოიწვიოს.	թունավորվել	Փչացած սնունդը կարող է թունավորում առաջացնել։
5331:中奖	中奖	中奖	პრიზის მოგება	მან ლატარიის ბილეთი პირველად იყიდა და პრიზი მოიგო.	մրցանակ շահել	Նա առաջին անգամ վիճակախաղի տոմս գնեց և մրցանակ շահեց։
5332:众人	众人	众人	ყველა; ხალხი	ამბის გაგების შემდეგ ყველა ძალიან გაოცდა.	բոլորը; ամբոխ	Լուրը լսելուց հետո բոլորը շատ զարմացան։
5333:中暑	中暑	中暑	სითბური დარტყმა; სიცხისგან ცუდად გახდომა	ძალიან ცხელ ამინდში მოხუცებს ადვილად ემართებათ სითბური დარტყმა.	ջերմահարվել; արևահարվել	Շատ շոգ եղանակին տարեցները հեշտությամբ կարող են ջերմահարվել։
5342:珠宝	珠宝	珠宝	სამკაული; ძვირფასეულობა	ეს მაღაზია სამკაულების დიზაინზეა სპეციალიზებული.	զարդեր; ոսկերչական իրեր	Այս խանութը մասնագիտացած է զարդերի ձևավորման մեջ։
5343:诸多	诸多	诸多	მრავალი; უამრავი	ეს პროექტი მრავალ გამოწვევას აწყდება.	բազմաթիվ; շատ	Այս նախագիծը բազմաթիվ մարտահրավերների է բախվում։
5345:主播	主播	主播	წამყვანი; სტრიმერი	ის ამ პროგრამის წამყვანია.	վարող; սթրիմեր	Նա այս հաղորդման վարողն է։
5348:主角	主角	主角	მთავარი პერსონაჟი; მთავარი როლი	ამ ფილმის მთავარი პერსონაჟი ექიმია.	գլխավոր հերոս; գլխավոր դեր	Այս ֆիլմի գլխավոր հերոսը բժիշկ է։
5350:主演	主演	主演	მთავარ როლში თამაში	ამ სპექტაკლში მთავარ როლებს ახალგაზრდა მსახიობები ასრულებენ.	գլխավոր դերում խաղալ	Այս ներկայացման մեջ գլխավոր դերերում խաղում են երիտասարդ դերասաններ։
5355:祝愿	祝愿	祝愿	სურვილის გამოხატვა; მილოცვა	გულწრფელად გისურვებთ ბედნიერებას.	մաղթել; բարեմաղթել	Ես անկեղծորեն ձեզ երջանկություն եմ մաղթում։
5359:专科	专科	专科	სპეციალიზებული განყოფილება; სპეციალური სფერო	ამ საავადმყოფოში თვალის დაავადებების სპეციალიზებული განყოფილებაა.	մասնագիտացված բաժին; հատուկ մասնագիտություն	Այս հիվանդանոցում կա ակնաբուժության մասնագիտացված բաժին։
5362:专用	专用	专用	სპეციალური გამოყენებისთვის; გამოყოფილი	ეს დერეფანი მხოლოდ თანამშრომლებისთვის არის განკუთვნილი.	հատուկ օգտագործման; նախատեսված	Այս անցուղին միայն աշխատակիցների համար է նախատեսված։
5363:专注	专注	专注	კონცენტრირებული; ყურადღების მოკრება	ექსპერიმენტის დროს ის ძალიან კონცენტრირებულია.	կենտրոնացած; կենտրոնանալ	Փորձ անելիս նա շատ կենտրոնացած է։
5364:转换	转换	转换	გარდაქმნა; გადაყვანა	გთხოვ, ფაილი PDF ფორმატად გადააკეთო.	փոխարկել; փոխել	Խնդրում եմ, ֆայլը փոխարկիր PDF ձևաչափի։
5365:转交	转交	转交	გადაცემა; გადაგზავნა	გთხოვ, ეს წერილი მენეჯერს გადასცე.	փոխանցել; հանձնել	Խնդրում եմ, այս նամակը փոխանցիր մենեջերին։
5367:转身	转身	转身	შემობრუნება	ხმის გაგონებისთანავე ის მაშინვე შემობრუნდა.	շրջվել	Ձայնը լսելուց հետո նա անմիջապես շրջվեց։
5370:转动	转动	转动	ბრუნვა; დატრიალება	მანქანის ბორბალმა ბრუნვა დაიწყო.	պտտվել; պտտեցնել	Մեքենայի անիվը սկսեց պտտվել։
5374:捉	捉	捉	დაჭერა	ბავშვები ეზოში პეპლებს იჭერდნენ.	բռնել; որսալ	Երեխաները բակում թիթեռներ էին բռնում։
5378:自来水	自来水	自来水	ონკანის წყალი	აქ ონკანის წყლის პირდაპირ დალევა შეიძლება.	ծորակի ջուր	Այստեղ ծորակի ջուրը կարելի է անմիջապես խմել։
5379:自律	自律	自律	თვითდისციპლინა	სწავლისთვის თვითდისციპლინის შენარჩუნება მნიშვნელოვანია.	ինքնակարգապահություն	Սովորելու համար ինքնակարգապահությունը կարևոր է։
5381:自杀	自杀	自杀	თვითმკვლელობის ჩადენა	ახალი ამბები თვითმკვლელობის შემთხვევებს ფრთხილად უნდა მოეკიდოს.	ինքնասպանություն գործել	Լրատվությունը պետք է զգուշությամբ լուսաբանի ինքնասպանության դեպքերը։
5382:自我	自我	自我	საკუთარი მე; თვითობა	მოგზაურობამ მას საკუთარი თავის უკეთ გაგებაში დაეხმარა.	ես; ինքնություն	Ճանապարհորդությունը նրան օգնեց ավելի լավ հասկանալ ինքն իրեն։
5383:自言自语	自言自语	自言自语	თავისთვის ლაპარაკი	ის წიგნების თაროს ალაგებდა და თავისთვის ლაპარაკობდა.	ինքն իր հետ խոսել	Նա գրապահարանը դասավորելիս ինքն իր հետ էր խոսում։
5385:自助	自助	自助	თვითმომსახურება	ეს რესტორანი თვითმომსახურების საუზმეს სთავაზობს.	ինքնասպասարկում	Այս ռեստորանը առաջարկում է ինքնասպասարկման նախաճաշ։
5388:总计	总计	总计	ჯამში; სულ	ამ ღონისძიებაში სულ ორასი ადამიანი მონაწილეობდა.	ընդհանուր առմամբ; ընդամենը	Այս միջոցառմանը ընդհանուր առմամբ երկու հարյուր մարդ մասնակցեց։
5391:粽子	粽子	粽子	ძუნძი; ფოთლებში გახვეული ბრინჯის კვერი	დრაკონის ნავის ფესტივალზე ბევრი ძუნძი გავაკეთეთ.	զոնգզի; տերևների մեջ փաթաթված բրնձե ուտեստ	Վիշապանավերի տոնին մենք շատ զոնգզի պատրաստեցինք։
5393:足	足	足	საკმარისი	ეს თანხა ბილეთის საყიდლად საკმარისია.	բավարար; բավական	Այս գումարը տոմս գնելու համար բավարար է։
5396:阻挡	阻挡	阻挡	დაბრკოლება; შეჩერება	დიდმა თოვლმა მანქანების წინსვლა შეაფერხა.	խոչընդոտել; կանգնեցնել	Առատ ձյունը խոչընդոտեց մեքենաների առաջ շարժվելուն։
5399:钻	钻	钻	ბურღვა; შეძრომა	ბავშვი მაგიდის ქვეშ შეძვრა.	փորել; ներս մտնել	Երեխան մտավ սեղանի տակ։
5400:罪	罪	罪	დანაშაული; ბრალი	მან საკუთარი დანაშაული აღიარა.	հանցանք; մեղք	Նա ընդունեց իր հանցանքը։
