simplified	UZ	example_UZ
稻谷	sholi	Dehqonlar sholini o'rmoqda.
得不偿失	foydadan zarari ko'p	Pul tejash uchun sifatsiz material sotib olish foydadan ko'ra zararli.
得力	qobiliyatli	U menejerning qobiliyatli yordamchisi.
得天独厚	resurslarga boy	Bu shahar geografik jihatdan resurslarga boy.
得罪	xafa qilmoq	Men arzimas ish uchun hamkasbimni xafa qilmoqchi emasman.
灯笼	fonus	Bahor bayramida eshik oldiga qizil fonuslar osiladi.
登录	tizimga kirmoq	Iltimos, avval hisobingizga tizimga kiring.
登陆	quruqlikka chiqmoq	To'fon bugun kechqurun sohilga quruqlikka chiqishi mumkin.
蹬	oyoq bilan bosmoq	U kuch bilan oyoq bilan bosdi va velosiped yurdi.
等候	kutmoq	Yo'lovchilar zalda samolyotga chiqishni kutmoqda.
等级	daraja	Bu dasturda turli a'zolik darajalari bor.
瞪	baqrayib qaramoq	U jahli chiqib menga baqrayib qaradi.
堤坝	to'g'on	Kuchli yomg'irdan keyin to'g'onni diqqat bilan tekshirish kerak.
敌视	dushmanona qaramoq	Biz boshqacha fikrlarga dushmanona qaramasligimiz kerak.
抵达	yetib bormoq	Samolyot Pekinga o'z vaqtida yetib bordi.
抵抗	qarshilik ko'rsatmoq	Qishloq aholisi toshqinga birga qarshilik ko'rsatdi.
抵制	boykot qilmoq	Iste'molchilar sifatsiz mahsulotlarni boykot qila boshladi.
地步	holat	Ish hali u darajada jiddiy holatga yetgani yo'q.
地势	yer relyefi	Bu yerning yer relyefi baland, shuning uchun suv oson to'planmaydi.
地质	geologiya	Mutaxassislar mahalliy geologiya holatini tekshirmoqda.
递增	bosqichma-bosqich oshmoq	Savdo hajmi ketma-ket uch oy bosqichma-bosqich oshdi.
颠簸	silkinmoq	Tog' yo'li juda notekis, mashinani ehtiyotkor haydash kerak.
颠倒	teskari qilmoq	Siz ikki raqamning tartibini teskari qilib qo'ydingiz.
典礼	marosim	Bitiruv marosimi majlis zalida o'tkaziladi.
典型	tipik	Bu tipik muvaffaqiyatli holat.
点缀	bezamoq	Bir nechta kichik gul ovqat stolini bezab turardi.
垫	taglik	Iltimos, stakan ostiga shu qog'ozni taglik qilib qo'ying.
奠定	poydevor yaratmoq	Bu hamkorlik uzoq muddatli munosabatlarga poydevor yaratdi.
惦记	o'ylab xavotirlanmoq	Ona uzoqdagi bolasini doim o'ylab xavotirlanadi.
电源	elektr manbai	Uydan chiqishdan oldin elektr manbaini o'chiring.
叼	og'izda ushlamoq	U it og'zida bir suyakni ushlab turibdi.
雕刻	o'ymakorlik qilmoq	U yog'ochga naqsh o'yishni yaxshi ko'radi.
雕塑	haykal	Maydon markazida bir haykal bor.
吊	osib ko'tarmoq	Ishchilar po'lat balkani mashina bilan osib ko'tardi.
调动	boshqa joyga o'tkazmoq	Kompaniya uni Shanxayga ishlashga o'tkazdi.
跌	pasaymoq	Aksiya narxi bugun yana pasaydi.
丁	kubcha	Retseptda kartoshkani kubcha qilib kesish yozilgan.
叮嘱	qayta-qayta tayinlamoq	O'qituvchi bizga xavfsizlikka e'tibor berishni qayta-qayta tayinladi.
盯	tikilib qaramoq	Iltimos, boshqalarga doim tikilib qaramang.
定期	muntazam	Shifokor unga muntazam tibbiy tekshiruvdan o'tishni maslahat berdi.
定义	ta'rif	Iltimos, avval bu tushunchaning ta'rifini tushuntiring.
丢人	uyatli	Ko'pchilik oldida yolg'on gapirish juda uyatli.
丢三落四	xotirasi parishon	U doim xotirasi parishon, ko'chaga chiqayotganda kalitini unutadi.
东道主	mezbon	Mezbon sifatida mehmonlarga yaxshi qarashimiz kerak.
东张西望	atrofga alanglamoq	Dars paytida atrofga alanglamang.
董事长	boshqaruv raisi	Boshqaruv raisi bugun yig'ilishda qatnashdi.
冻结	muzlatmoq	Bank bu hisobni vaqtincha muzlatdi.
动荡	beqarorlik	Urush bu hududni uzoq vaqt beqarorlikda qoldirdi.
动机	sabab	Politsiya uning sababini tekshirmoqda.
动静	shovqin-suron	Xonada hech qanday shovqin-suron yo'q edi.
动力	turtki	Qiziqish o'qishga turtki bo'ladi.
动脉	arteriya	Shifokor uning arteriyasini tekshirdi.
动身	yo'lga chiqmoq	Biz ertaga erta aeroportga yo'lga chiqamiz.
动手	qo'l ko'tarmoq	Ish hali aniq emas, hech kim qo'l ko'tarmasin.
动态	jarayon	Iltimos, loyiha jarayonini doim kuzatib boring.
动员	safarbar qilmoq	Maktab o'quvchilarni ko'ngilli tadbirlarga safarbar qildi.
栋	bino hisoblagichi	Bu bino yigirma qavatli.
兜	cho'ntak	U kalitlarni palto cho'ntagiga soldi.
陡峭	tik	Bu tog' yo'li juda tik.
斗争	kurash	Ular atrof-muhitni himoya qilish uchun kurashadi.
督促	undamoq	Menejer hammaga vazifani vaqtida tugatishni undadi.
毒品	giyohvand modda	Bojxona bir partiya giyohvand moddani qo'lga oldi.
独裁	diktatura	Odamlar diktaturaga qarshi.
堵塞	tiqilib qolmoq	Chiqindi kanalizatsiyani tiqib qo'ydi.
赌博	qimor o'ynamoq	Qimor o'ynash jiddiy oqibatlarga olib keladi.
杜绝	bartaraf etmoq	Kompaniya isrofgarchilikni bartaraf etishni talab qiladi.
端	ko'tarib kirmoq	U bir piyola issiq choyni ko'tarib kirdi.
端午节	Duanvu bayrami	Duanvu bayramida biz zongzi yeymiz.
端正	to'g'rilamoq	Talabalar o'qishga bo'lgan munosabatini to'g'rilashi kerak.
短促	qisqa	U qisqa xo'rsindi.
断定	xulosa qilmoq	Hozir kim haq, kim nohaq deb xulosa qilib bo'lmaydi.
断绝	uzilib qolmoq	Hodisadan keyin qishloq tashqi dunyo bilan aloqadan uzilib qoldi.
堆积	uyulib qolmoq	Qor yo'l chetida uyulib qoldi.
兑现	va'dani bajarmoq	U nihoyat va'dasini bajardi.
对策	choralar	Xavfga qarshi bizga choralar kerak.
对称	simmetrik	Bu binoning chap va o'ng tomoni juda simmetrik.
对付	uddalamoq	Bu muammoni uddalash oson emas.
对抗	qarshi turmoq	Ikki jamoa finalda bir-biriga qarshi turadi.
对立	qarama-qarshi	Ikki tomonning pozitsiyasi butunlay qarama-qarshi.
对联	juft yozuv	Bahor bayramida ular eshik oldiga juft yozuv yopishtirdi.
对应	mos kelmoq	Har bir raqam bir o'ringa mos keladi.
对照	solishtirmoq	Iltimos, tarjimani asl matn bilan solishtirib tekshiring.
队伍	saf	Paraddagi saf sekin oldinga yurdi.
顿时	darhol	Bu xabarni eshitib, u darhol qotib qoldi.
哆嗦	qaltiramoq	Havo juda sovuq edi, u tinmay qaltirardi.
多元化	xilma-xillashtirish	Kompaniya biznesni xilma-xillashtirishni ilgari surmoqda.
堕落	axloqan tubanlashmoq	U o'zining davom etib axloqan tubanlashishini istamaydi.
额外	qo'shimcha	Bu xizmat uchun qo'shimcha haq olinadi.
恶心	ko'ngli aynimoq	O'sha hidni sezganimda biroz ko'nglim aynidi.
恶化	yomonlashmoq	Davolanmasa, kasallik yomonlashishi mumkin.
遏制	jilovlamoq	Hukumat ifloslanishni jilovlash uchun choralar ko'rdi.
恩怨	adovat	Ikki kompaniya o'rtasidagi adovat anchadan beri davom etadi.
而已	xolos	Men shunchaki tasodifan aytdim, xolos.
二氧化碳	karbonat angidrid	O'simliklar karbonat angidridni yutadi.
发布	e'lon qilmoq	Kompaniya ertaga yangi mahsulotni e'lon qiladi.
发财	boyib ketmoq	U mehnat bilan boyib ketishni xohlaydi.
发呆	xayol surmoq	U deraza yonida o'tirib xayol surdi.
发动	boshlab yubormoq	Ko'ngillilar aholiga ko'chani tozalashni boshlab berdi.
发觉	sezmoq	Men uning bugun biroz asabiy ekanini sezdim.
发射	uchirmoq	Raketa kechqurun uchiriladi.
发誓	qasam ichmoq	U endi hech qachon yolg'on gapirmaslikka qasam ichdi.
发行	chiqarmoq	Bu film keyingi oy chiqariladi.
发炎	yallig'lanmoq	Yara biroz yallig'langan.
发扬	rivojlantirmoq	Biz jamoaviy hamkorlik ruhini rivojlantirishimiz kerak.
发育	rivojlanish	Bolalarning tana rivojlanishi uchun yetarli oziq kerak.
法人	yuridik shaxs	Bu kompaniya mustaqil yuridik shaxsdir.
番	gaplar	Bu gaplar menga katta ilhom berdi.
凡是	har kim	Ro'yxatdan o'tgan har kim treningda qatnashishi kerak.
繁华	gavjum	Bu ko'cha ilgari juda gavjum edi.
繁忙	band	Aeroport bayramlarda ayniqsa band bo'ladi.
繁体字	an'anaviy xitoy yozuvi	Tayvan hududida ko'pincha an'anaviy xitoy yozuvi ishlatiladi.
繁殖	ko'paymoq	Bu o'simlik oson ko'payadi.
反驳	rad etmoq	U ma'lumotlar bilan bu fikrni rad etdi.
反常	g'ayrioddiy	Bugungi ob-havo biroz g'ayrioddiy.
反感	yoqtirmaslik	Men bunday reklamani juda yoqtirmayman.
反抗	qarshilik ko'rsatmoq	Odamlar adolatsiz qoidaga qarshilik ko'rsata boshladi.
反馈	fikr-mulohaza	Mijozlar tizim barqaror ekanini fikr-mulohaza sifatida bildirdi.
反面	orqa tomon	Iltimos, qog'ozni orqa tomonga ag'daring.
反射	aks ettirmoq	Ko'zgu yorug'likni aks ettiradi.
反思	mulohaza yuritmoq	Muvaffaqiyatsizlikdan keyin u sabablar haqida jiddiy mulohaza yuritdi.
反问	qarshi savol bermoq	U javob bermadi, menga qarshi savol berdi.
反之	aksincha	Narx juda yuqori bo'lsa, talab kamayadi, aksincha ham shunday.
泛滥	toshib ketmoq	Kuchli yomg'ir daryo suvining toshib ketishiga sabab bo'ldi.
范畴	toifa	Bu masala huquqiy toifaga kiradi.
贩卖	sotish	Qonun soxta dori sotishni taqiqlaydi.
方位	yo'nalish	Xaritada aniq yo'nalish ko'rsatilgan.
方言	sheva	U mahalliy shevani tushuna oladi.
方圆	atrofdagi hudud	O'n kilometr atrofdagi hududda kasalxona yo'q.
方针	siyosat	Kompaniya yangi rivojlanish siyosatini belgiladi.
防守	himoya	Bu jamoaning himoyasi juda mustahkam.
防御	mudofaa	Shahar devori ilgari dushmandan mudofaa uchun ishlatilgan.
防止	oldini olmoq	Iltimos, jarohatlanishning oldini olish uchun xavfsizlik kamarini taqing.
防治	oldini olish va davolash	Shifokor kasallikning oldini olish va davolash usullarini tushuntirdi.
纺织	to'qimachilik	Bu shahar to'qimachilik sanoati bilan mashhur.
访问	tashrif buyurmoq	Jurnalist ertaga bu yozuvchiga tashrif buyuradi.
放大	kattalashtirmoq	Iltimos, rasmni biroz kattalashtiring.
放射	nurlantirmoq	Bu material issiqlik nurlantiradi.
非法	noqonuniy	Noqonuniy savdo jazolanadi.
飞禽走兽	qushlar va hayvonlar	O'rmonda turli qushlar va hayvonlar yashaydi.
飞翔	uchmoq	Chag'aloqlar dengiz ustida uchmoqda.
飞跃	katta sakrash	Texnologiya rivoji katta sakrashga erishdi.
肥沃	serhosil	Bu yer juda serhosil.
诽谤	tuhmat	Boshqalarga tuhmat qilish huquqiy javobgarlikka olib keladi.
废除	bekor qilmoq	Bu eski qoida allaqachon bekor qilingan.
废寝忘食	ishiga berilib ketmoq	U tadqiqot uchun ishiga shunchalik berilib ketdiki, uyqu va ovqatni unutdi.
废墟	vayrona	Zilziladan keyin u joy vayronaga aylandi.
沸腾	qaynamoq	Suv allaqachon qaynadi.
肺	o'pka	Chekish o'pkaga zarar yetkazadi.
分辨	ajrata olmoq	Men bu ikki rangni ajratishda qiynalaman.
分寸	me'yor	Hazillashganda ham me'yorni bilish kerak.
分红	dividend	Aksiyadorlar yil oxirida dividend olishlari mumkin.
分解	bo'lib tushuntirmoq	O'qituvchi murakkab muammoni bir necha bosqichga bo'lib tushuntirdi.
分裂	bo'linmoq	Ichki ziddiyatlar tashkilotning bo'linishiga sabab bo'ldi.
分泌	ajratmoq	Bu bez gormon ajratadi.
分明	aniq	Faktlar allaqachon juda aniq.
分歧	kelishmovchilik	Ikki tomon narx bo'yicha kelishmovchilikka ega.
分散	tarqatmoq	Iltimos, xavfni turli loyihalarga tarqating.
吩咐	buyurmoq	Boshliq menga hujjatlarni tartibga solishni buyurdi.
坟墓	qabr	Tog' yonbag'rida qadimiy qabr bor.
粉末	kukun	Iltimos, dorini kukunga aylantiring.
粉色	pushti	U pushti sharf sotib oldi.
粉碎	tor-mor qilmoq	Politsiya bu jinoyat guruhini tor-mor qildi.
分量	vazn	Bu gapning vazni juda og'ir.
愤怒	g'azab	Uning ohangi g'azabga to'la edi.
丰满	mazmunli	Bu maqolaning mazmuni hali yetarlicha mazmunli emas.
丰盛	mo'l-ko'l	Ular mo'l-ko'l kechki ovqat tayyorladi.
丰收	mo'l hosil	Bu yil dehqonlar mo'l hosil oldi.
封闭	yopmoq	Qurilish paytida bu yo'l yopiladi.
封建	feodal	Bu feodal fikrlash allaqachon o'zgarishi kerak.
封锁	to'sib qo'ymoq	Politsiya hodisa joyini to'sib qo'ydi.
锋利	o'tkir	Bu pichoq juda o'tkir.
风暴	bo'ron	Dengizda to'satdan bo'ron paydo bo'ldi.
风度	odobli ko'rinish	U sahnada juda odobli ko'rindi.
风光	manzara	Bu yerning tabiiy manzarasi juda chiroyli.
风气	muhit	Maktabda yaxshi o'qish muhiti shakllandi.
风趣	hazilkashlik	U juda hazilkash gapiradi.
风土人情	mahalliy urf-odatlar	Sayohat mahalliy urf-odatlarni tushunishga yordam beradi.
风味	mahalliy ta'm	Bu do'konda mahalliy ta'm kuchli.
逢	har gal	Har gal dam olish kuni bo'lsa, bog' gavjum bo'ladi.
奉献	bag'ishlamoq	Shifokor bemorlarga ko'p vaqtini bag'ishladi.
否决	rad etmoq	Direktorlar kengashi bu taklifni rad etdi.
夫妇	er-xotin	Bu er-xotin kichik do'kon yuritadi.
夫人	rafiqa	Van janob rafiqasi bilan kechki ziyofatga qatnashdi.
敷衍	yuzaki	U faqat yuzaki bir necha gap bilan javob berdi.
俘虏	asir	Urush tugagach, asirlar ozod qilindi.
幅度	miqyos	Bu safargi narx pasayishining miqyosi katta.
服从	bo'ysunmoq	Askarlar buyruqqa bo'ysunishi kerak.
服气	tan olmoq	U musobaqada yutqazdi, lekin ichida buni tan olmadi.
福利	imtiyoz	Xodimlar kompaniya imtiyozlariga katta ahamiyat beradi.
福气	baxt	Yaxshi ustozga duch kelish uning baxti.
符号	belgi	Bu belgi xavfni bildiradi.
辐射	radiatsiya	Shifokor unga kuchli radiatsiyadan uzoq turishni eslatdi.
俯视	yuqoridan qaramoq	Tog' cho'qqisidan butun shaharga yuqoridan qarash mumkin.
抚摸	silamoq	U bolaning boshini ohista siladi.
抚养	tarbiyalab katta qilmoq	Bobo-buvilar bolani tarbiyalab katta qilishga yordam berdi.
腐败	korrupsiya	Hukumat korrupsiyaga qarshi kurashmoqda.
腐烂	chirimoq	Meva juda uzoq tursa chiriydi.
腐蚀	yemirmoq	Kislota metall yuzasini yemirishi mumkin.
腐朽	chirigan	Ular chirigan tizimni tanqid qildi.
辅助	yordamchi	Bu vosita ta'limga yordamchi bo'lishi mumkin.
副	o'rinbosar	U o'rinbosar menejer etib tayinlandi.
复活	qayta jonlanmoq	Bu an'anaviy bayram qayta jonlanmoqda.
复兴	qayta tiklanish	Madaniy qayta tiklanish uzoq muddatli mehnat talab qiladi.
富裕	farovon	Bu qishloq hozir tobora farovon bo'lib bormoqda.
腹泻	ich ketishi	Unda ich ketishi kuchli, shifokorga ko'rinishi kerak.
覆盖	qoplamoq	Qalin qor butun vodiyni qopladi.
负担	yuk	Ijara haqi uning asosiy yukiga aylandi.
赋予	huquq bermoq	Qonun fuqarolarga asosiy huquqlarni beradi.
附和	boshqalarga ergashmoq	Uning o'z fikri yo'q, faqat boshqalarga ergashadi.
附件	ilova	Iltimos, xatdagi ilovani tekshiring.
附属	qarashli	Bu shifoxona universitetga qarashli shifoxona.
改良	yaxshilamoq	Mutaxassislar bu guruch turini yaxshilamoqda.
盖章	muhr bosmoq	Shartnoma imzolangach, unga muhr bosish kerak.
钙	kalsiy	Sutda kalsiy ko'p.
尴尬	noqulay	Yig'ilishda noqulay sukut paydo bo'ldi.
干旱	qurg'oqchilik	Uzoq qurg'oqchilik ekinlarga ta'sir qildi.
干扰	xalaqit bermoq	Shovqin mening ishimga xalaqit beradi.
干涉	aralashmoq	Ota-onalar bolalar tanloviga haddan tashqari aralashmasligi kerak.
干预	aralashuv	Hukumat bozor xavfiga vaqtida aralashdi.
感慨	hayajonlanmoq	Eski suratlarni ko'rib, u juda hayajonlandi.
感染	yuqtirmoq	Bu virus bolalarga oson yuqadi.
干劲	ishga ishtiyoq	Hamma ishga katta ishtiyoq bilan kirishdi.
扛	ko'tarib turmoq	Rivoyatga ko'ra, u og'ir qozonni ko'tara oladigan darajada kuchli edi.
纲领	harakat dasturi	Yig'ilish yangi harakat dasturini qabul qildi.
岗位	lavozim	U yangi lavozimga tez moslashdi.
港口	bandargoh	Yuk kemasi bandargohga kelib to'xtadi.
港湾	ko'rfaz	Kichik qayiq sokin ko'rfazga kirdi.
杠杆	richag	Bu investitsiyada yuqori richag ishlatildi.
高超	yuksak mahoratli	Uning mashina tuzatish mahorati juda yuksak.
高潮	avj nuqta	O'yin oxirgi o'n daqiqada avj nuqtaga yetdi.
高峰	cho'qqi	Ertalab soat sakkiz transport tig'izligining cho'qqisi.
高明	aqlli	Bu usul haqiqatan ham juda aqlli.
高尚	oliyjanob	Shifokorning kasbiy ruhi juda oliyjanob.
高涨	ortib bormoq	Tomoshabinlarning ishtiyoqi tinmay ortib bordi.
稿件	qo'lyozma	Muharrir qo'lyozmani tahrir qilmoqda.
告辞	xayrlashmoq	Kech bo'ldi, biz avval xayrlashamiz.
告诫	ogohlantirmoq	O'qituvchi o'quvchilarni ko'chirmaslik haqida ogohlantirdi.
割	kesmoq	U ehtiyotsizlik bilan barmog'ini kesib oldi.
搁	qo'ymoq	Iltimos, hujjatlarni stol ustiga qo'ying.
歌颂	madh etmoq	Bu she'r mehnatkashlarni madh etadi.
疙瘩	shish	Uning qo'lida bitta shish paydo bo'ldi.
鸽子	kaptar	Maydonda ko'p kaptarlar bor.
格局	tuzilish	Bu xonadonning tuzilishi juda oqilona.
格式	shakl	Iltimos, jadvalni belgilangan shaklda to'ldiring.
隔阂	begonalashish	Tushunmovchilik ular orasidagi begonalashishni kuchaytirdi.
隔离	ajratib qo'ymoq	Bemorni vaqtincha ajratib qo'yish kerak.
革命	inqilob	Bu inqilob mamlakat taqdirini o'zgartirdi.
个体	alohida shaxs	Har bir alohida shaxsning ehtiyoji har xil.
各抒己见	har kim o'z fikrini aytmoq	Yig'ilishda hamma o'z fikrini aytdi.
根深蒂固	chuqur ildiz otgan	Bu qarash allaqachon chuqur ildiz otgan.
根源	ildiz sabab	Qashshoqlikning ildiz sababi murakkab.
跟前	yoniga	Bola onasining yoniga yugurib keldi.
跟随	ergashmoq	Jurnalist jamoaga ergashib tog'li hududga kirdi.
跟踪	kuzatmoq	Politsiya gumondorning harakatlarini kuzatmoqda.
更新	yangilamoq	Tizim bugun kechasi avtomatik yangilanadi.
更正	tuzatmoq	Gazeta ertasi kuni xatoni tuzatdi.
耕地	yer haydamoq	Dehqonlar bahorda yer haydamoqda.
供不应求	talabga yetmay qolmoq	Bu dori hozir talabga yetmay qolmoqda.
供给	ta'minot	Shaharga suv va elektrning barqaror ta'minoti kerak.
公安局	jamoat xavfsizligi boshqarmasi	U jamoat xavfsizligi boshqarmasiga ariza berishga bordi.
公道	adolatli	Hamma adolatli muomala kutadi.
公告	e'lon	Maktab darslar to'xtatilishi haqida e'lon chiqardi.
公关	jamoatchilik bilan aloqalar	Kompaniya professional jamoatchilik bilan aloqalar guruhini yolladi.
公民	fuqaro	Har bir fuqaro qonunga rioya qilishi kerak.
公然	ochiqchasiga	U musobaqa qoidalarini ochiqchasiga buzdi.
公认	tan olingan	U tan olingan yaxshi o'qituvchi.
公式	matematik formula	Iltimos, bu matematik formulani yozib oling.
公务	xizmat ishi	U xizmat ishi sabab uch kunga safarga ketdi.
公正	adolatli	Sudya adolatli bo'lishi kerak.
公证	notarial tasdiq	Bu hujjatga notarial tasdiq kerak.
功劳	hissa	Bu muvaffaqiyatda hammaning hissasi bor.
功效	samara	Bu dorining samarasi hali tekshirilishi kerak.
宫殿	saroy	Sayyohlar qadimiy saroyni tomosha qildi.
工艺品	hunarmandchilik buyumi	Bu hunarmandchilik buyumi qo'lda yasalgan.
恭敬	hurmat bilan	U keksaga hurmat bilan salom berdi.
攻击	hujum qilmoq	Xakerlar kompaniya saytiga hujum qildi.
攻克	yechim topmoq	Tadqiqot guruhi texnik muammoga yechim topdi.
巩固	mustahkamlash	Takrorlash o'rganilgan bilimni mustahkamlaydi.
共和国	respublika	Bu respublika o'tgan asrda tashkil topgan.
共计	jami	Bu tovarlar jami uch yuz quti.
共鸣	aks-sado	Bu qo'shiq ko'p odamlarda aks-sado uyg'otdi.
勾结	til biriktirmoq	Ular tashqaridagi odamlar bilan til biriktirib pul aldashdi.
钩子	ilgak	Devorda bir nechta ilgak osilgan.
构思	o'ylab rejalamoq	Yozuvchi yangi romanni o'ylab rejalamoqda.
姑且	hozircha	Bu rejani hozircha bir hafta sinab ko'raylik.
孤独	yolg'iz	Yangi shaharga ko'chgach, u o'zini yolg'iz his qildi.
孤立	ajratib qaramoq	Bu muammoga ajratib qarash kerak emas.
辜负	umidni oqlamaslik	Men ota-onamning umidini oqlamaslikni istamayman.
古董	antik buyum	Bobom bir nechta antik buyum yig'gan.
古怪	g'alati	Uning fikri biroz g'alati.
股东	aksiyador	Aksiyadorlar yig'ilishi keyingi hafta o'tkaziladi.
股份	ulush	U kompaniya ulushiga ega.
骨干	tayanch	Bu muhandislar jamoaning tayanchi.
鼓动	gijgijlamoq	Kimdir odamlarni norozilikka gijgijladi.
固然	albatta	Bu usul albatta oddiy, ammo xavfi ham kichik emas.
固体	qattiq modda	Muz suvning qattiq modda shaklidir.
固有	o'ziga xos	Har bir madaniyatning o'ziga xos xususiyatlari bor.
固执	qaysar	U juda qaysar, maslahatni eshitishni xohlamaydi.
故乡	ona yurt	Ko'p yillardan keyin u ona yurtiga qaytdi.
故障	nosozlik	Liftda nosozlik chiqdi va u vaqtincha ishlamayapti.
雇佣	yollamoq	Kompaniya ko'proq texnik xodim yollashga qaror qildi.
顾虑	xavotir	Qanday xavotiringiz bo'lsa, bevosita aytishingiz mumkin.
顾问	maslahatchi	Biz yuridik maslahatchi yolladik.
拐杖	hassa	Keksa kishi ko'chaga chiqqanda ko'pincha hassa olib yuradi.
关怀	g'amxo'rlik	O'qituvchi o'quvchilarga ko'p g'amxo'rlik qildi.
关照	qarab turmoq	Iltimos, yo'lda bolaga ko'proq qarab turing.
官方	rasmiy	Rasmiy xabar ertaga e'lon qilinadi.
观光	sayr tomosha qilmoq	Sayyohlar qayiqda sayr tomosha qildi.
管辖	boshqarmoq	Bu hudud shahar hokimiyati tomonidan boshqariladi.
惯例	odatdagi tartib	Yig'ilishdan oldin mehmonlarni tanishtirish odatdagi tartib.
灌溉	sug'ormoq	Dehqonlar daryo suvi bilan dalalarni sug'oradi.
罐	banka	Stol ustida bir banka choy bargi bor.
贯彻	amalga oshirmoq	Kompaniya yangi xavfsizlik standartlarini amalga oshirishi kerak.
光彩	porloq ko'rinish	Bu kiyim unga porloq ko'rinish berdi.
光辉	shonli	Uning yutuqlari shonli sahifa bo'lib qoldi.
光芒	nur	Quyosh nuri vodiyni yoritdi.
光荣	sharafli	Vatanga xizmat qilish sharafli.
广阔	keng	Dasht ko'z ilg'amas darajada keng.
归根到底	oxir-oqibat	Oxir-oqibat muammo boshqaruvda.
归还	qaytarib bermoq	Iltimos, kitoblarni vaqtida qaytarib bering.
规范	me'yor	Maktab laboratoriyani boshqarish uchun me'yorlar belgiladi.
规格	o'lcham	Bu ehtiyot qismlarning o'lchami bir xil emas.
规划	rejalashtirish	Shahar rejalashtirishda transportni hisobga olish kerak.
规章	qoida	Xodimlar kompaniya qoidalariga rioya qilishi kerak.
轨道	rel's	Poyezd rel's bo'ylab harakatlanadi.
贵族	zodagon	Bu mulk ilgari zodagonlarga tegishli edi.
跪	tiz cho'kmoq	U haykal oldida tiz cho'kdi.
棍棒	tayoq	Politsiya voqea joyidagi tayoqlarni musodara qildi.
国防	milliy mudofaa	Milliy mudofaa qurilishi uzoq muddatli sarmoya talab qiladi.
国务院	Davlat kengashi	Davlat kengashi yangi bildirishnoma chiqardi.
果断	qat'iy	Rahbar qat'iy qaror qabul qildi.
过度	haddan tashqari	Telefondan haddan tashqari foydalanish uyquga ta'sir qiladi.
过渡	o'tish davri	Kompaniya o'zgarishning o'tish davrida turibdi.
过奖	ortiqcha maqtamoq	Siz meni ortiqcha maqtayapsiz, men hali o'rganishim kerak.
过滤	filtrlash	Bu qurilma aralashmalarni filtrlashi mumkin.
过失	xato	Bu hodisa inson xatosidan kelib chiqqan.
过问	aralashib so'ramoq	Menejer bunday mayda ishlarni kamdan-kam aralashib so'raydi.
过瘾	mazza qilmoq	Bu o'yinni tomosha qilib juda mazza qildim.
过于	juda ham	Bu reja juda ham murakkab.
嗨	hoy	Hoy, sen ham keldingmi?
海拔	dengiz sathidan balandlik	Bu qishloqning dengiz sathidan balandligi yuqori.
海滨	dengiz bo'yi	Ular dam olish kunini dengiz bo'yida o'tkazdi.
含糊	noaniq	Uning javobi juda noaniq edi.
含义	ma'no	Bu so'zning maxsus ma'nosi bor.
寒暄	hol-ahvol so'rash	Uchrashgach, ular avval bir necha og'iz hol-ahvol so'rashdi.
罕见	kam uchraydigan	Bu kasallik juda kam uchraydi.
捍卫	himoya qilmoq	Advokat mijozning huquqlarini himoya qilishga harakat qildi.
航空	aviatsiya	Aviakompaniya reysni bekor qildi.
航天	koinot parvozi	Xitoyning koinot parvozi sohasi tez rivojlanmoqda.
航行	suzib bormoq	Kema dengizda suzib bormoqda.
行列	saf	U ko'ngillilar safiga qo'shildi.
毫米	millimetr	Bu oynaning qalinligi besh millimetr.
毫无	butunlay yo'q	Uning izohida asos butunlay yo'q.
豪迈	jo'shqin	Uning qo'shig'i jo'shqin va kuchli edi.
号召	chaqirmoq	Hukumat hammani suvni tejashga chaqirdi.
耗费	sarflamoq	Bu loyiha juda ko'p mablag' sarfladi.
呵	baqirmoq	Ota bir marta baqirdi va bola darhol to'xtadi.
合并	birlashmoq	Ikki kompaniya keyingi yil birlashishni rejalashtirmoqda.
合成	sintez qilmoq	Bu materialni sun'iy ravishda sintez qilish mumkin.
合伙	sherik bo'lmoq	Ular sherik bo'lib restoran ochdi.
合算	arzonga tushmoq	Avtobusga chiqish taksidan ko'ra arzonga tushadi.
和蔼	muloyim	Bu shifokor juda muloyim gapiradi.
和解	kelishuv	Ikki tomon oxirida kelishuvga erishdi.
和睦	inoq	Qo'shnilar bir-biri bilan inoq yashaydi.
和气	xushmuomala	Boshliq odamlar bilan xushmuomala muomala qiladi.
和谐	uyg'un	Musiqa muhitni yanada uyg'un qildi.
嘿	hoy	Hoy, eshitdingmi?
痕迹	iz	Yerda g'ildirak izlari qoldi.
狠心	bag'ritosh	U do'stining iltimosini bag'ritoshlik bilan rad etdi.
恨不得	jon deb xohlamoq	Men hoziroq uyga borib dam olishni jon deb xohlayman.
哼	yoqimsiz ovoz chiqarmoq	U norozi bo'lib bir marta yoqimsiz ovoz chiqardi.
横	gorizontal	Iltimos, qog'ozga bitta gorizontal chiziq chizing.
哄	kulgi ko'tarmoq	Hamma birdan kulgi ko'tardi.
烘	pishirmoq	Non pechda pishmoqda.
轰动	shov-shuvga sabab bo'lmoq	Bu yangilik butun mamlakatda shov-shuvga sabab bo'ldi.
宏观	makro	Biz iqtisodni makro nuqtayi nazardan tahlil qilishimiz kerak.
宏伟	ulug'vor	Bu ko'prikning dizayni juda ulug'vor.
洪水	toshqin	Toshqin bir nechta ko'prikni vayron qildi.
