hsk_key	source_word	simplified	ES	example_ES	FR	example_FR	DE	example_DE	IT	example_IT	PT	example_PT	RU	example_RU
5157:一阵	一阵	一阵	una ráfaga; un rato	Entró una brisa fresca por la ventana.	une bouffée; un moment	Une brise fraîche est entrée par la fenêtre.	ein Windstoß; eine Weile	Ein kühler Windstoß kam durch das Fenster herein.	una folata; un breve periodo	Una brezza fresca entrò dalla finestra.	uma rajada; um período curto	Uma brisa fresca entrou pela janela.	порыв; промежуток	Из окна подул прохладный ветерок.
5158:遗址	遗址	遗址	ruinas; sitio histórico	Este sitio de una ciudad antigua ha atraído a muchos turistas.	ruines; site historique	Ce site d'une ancienne ville a attiré beaucoup de touristes.	Ruinen; historische Stätte	Diese alte Stadtanlage hat viele Touristen angezogen.	rovine; sito storico	Questo sito di un'antica città ha attirato molti turisti.	ruínas; sítio histórico	Este sítio de uma cidade antiga atraiu muitos turistas.	руины; историческое место	Это место древнего города привлекло много туристов.
5163:益处	益处	益处	beneficio; ventaja	Hacer ejercicio a diario tiene muchos beneficios para la salud.	avantage; bienfait	Faire de l'exercice tous les jours a de nombreux bienfaits pour la santé.	Nutzen; Vorteil	Tägliche Bewegung hat viele Vorteile für die Gesundheit.	beneficio; vantaggio	Fare esercizio ogni giorno ha molti benefici per la salute.	benefício; vantagem	Fazer exercício diariamente traz muitos benefícios para a saúde.	польза; преимущество	Ежедневные упражнения приносят много пользы здоровью.
5164:一帆风顺	一帆风顺	一帆风顺	ir todo sobre ruedas; éxito sin contratiempos	Te deseo que todo vaya sobre ruedas en tu nuevo trabajo.	que tout se passe sans encombre	Je te souhaite que tout se passe sans encombre dans ton nouveau travail.	reibungslos verlaufen	Ich wünsche dir, dass in deinem neuen Job alles reibungslos verläuft.	andare tutto liscio	Ti auguro che nel nuovo lavoro vada tutto liscio.	correr tudo bem; sem contratempos	Desejo que tudo corra bem no seu novo trabalho.	все идет гладко; без помех	Желаю, чтобы на новой работе у тебя все шло гладко.
5165:一口气	一口气	一口气	de una sola vez; sin parar	Corrió hasta la cima de la montaña sin parar.	d'un seul souffle; sans s'arrêter	Il a couru jusqu'au sommet de la montagne sans s'arrêter.	in einem Zug; ohne Pause	Er lief ohne Pause bis auf den Gipfel des Berges.	tutto d'un fiato; senza fermarsi	È corso fino in cima alla montagna senza fermarsi.	de uma vez; sem parar	Ele correu até o topo da montanha sem parar.	одним духом; без остановки	Он без остановки добежал до вершины горы.
5167:一模一样	一模一样	一模一样	exactamente igual	Estas dos fotos parecen exactamente iguales.	exactement pareil	Ces deux photos se ressemblent exactement.	genau gleich	Diese beiden Fotos sehen genau gleich aus.	identico; esattamente uguale	Queste due foto sembrano identiche.	exatamente igual	Estas duas fotos parecem exatamente iguais.	точь-в-точь одинаковый	Эти две фотографии выглядят совершенно одинаково.
5168:艺人	艺人	艺人	artista; intérprete	Este artista se muestra muy seguro en el escenario.	artiste; interprète	Cet artiste est très sûr de lui sur scène.	Künstler; Darsteller	Dieser Künstler wirkt auf der Bühne sehr selbstbewusst.	artista; performer	Questo artista è molto sicuro di sé sul palco.	artista; performer	Este artista é muito confiante no palco.	артист; исполнитель	Этот артист очень уверенно держится на сцене.
5169:一身	一身	一身	conjunto; todo el cuerpo	Llevaba un conjunto completamente negro.	tenue complète; tout le corps	Il portait une tenue entièrement noire.	am ganzen Körper; ein kompletter Anzug	Er trug ganz Schwarz.	completo; tutto il corpo	Indossava un completo tutto nero.	roupa completa; corpo inteiro	Ele vestia um conjunto todo preto.	весь; полный комплект одежды	На нем была полностью черная одежда.
5170:一时	一时	一时	por el momento; por un rato	Por un momento no pude recordar su nombre.	pour le moment; un instant	Sur le moment, je n'ai pas pu me souvenir de son nom.	vorübergehend; im Moment	Mir fiel sein Name im Moment nicht ein.	per il momento; per un attimo	Per un momento non sono riuscito a ricordare il suo nome.	por um momento; por enquanto	Por um momento não consegui lembrar o nome dele.	на время; в данный момент	Я не смог сразу вспомнить его имя.
5171:一同	一同	一同	juntos	Completamos este proyecto juntos.	ensemble	Nous avons terminé ce projet ensemble.	gemeinsam	Wir haben dieses Projekt gemeinsam abgeschlossen.	insieme	Abbiamo completato questo progetto insieme.	juntos	Concluímos este projeto juntos.	вместе; совместно	Мы вместе завершили этот проект.
5172:易于	易于	易于	fácil de; propenso a	Este software es fácil de usar.	facile à; susceptible de	Ce logiciel est facile à utiliser.	leicht zu; neigt dazu	Diese Software ist leicht zu bedienen.	facile da; incline a	Questo software è facile da usare.	fácil de; propenso a	Este software é fácil de operar.	легко поддается; легко	Эта программа проста в использовании.
5173:抑制	抑制	抑制	inhibir; contener	Este medicamento puede reducir el dolor.	inhiber; réprimer	Ce médicament peut atténuer la douleur.	hemmen; unterdrücken	Dieses Medikament kann Schmerzen lindern.	inibire; contenere	Questo medicinale può attenuare il dolore.	inibir; conter	Este medicamento pode aliviar a dor.	подавлять; сдерживать	Это лекарство может подавлять боль.
5174:因	因	因	debido a; por	La reunión se aplazó debido a la fuerte lluvia.	en raison de; à cause de	La réunion a été reportée à cause de la forte pluie.	wegen; aufgrund	Die Besprechung wurde wegen des starken Regens verschoben.	a causa di; per	La riunione è stata rinviata a causa della forte pioggia.	devido a; por causa de	A reunião foi adiada por causa da chuva forte.	из-за; по причине	Встречу отложили из-за сильного дождя.
5175:音节	音节	音节	sílaba	Esta palabra tiene tres sílabas.	syllabe	Ce mot compte trois syllabes.	Silbe	Dieses Wort hat drei Silben.	sillaba	Questa parola ha tre sillabe.	sílaba	Esta palavra tem três sílabas.	слог	В этом слове три слога.
5177:银牌	银牌	银牌	medalla de plata	Ella ganó una medalla de plata en la competencia.	médaille d'argent	Elle a remporté une médaille d'argent dans la compétition.	Silbermedaille	Sie gewann im Wettbewerb eine Silbermedaille.	medaglia d'argento	Ha vinto una medaglia d'argento nella gara.	medalha de prata	Ela ganhou uma medalha de prata na competição.	серебряная медаль	Она завоевала серебряную медаль на соревновании.
5178:引	引	引	citar; conducir	El profesor citó un poema antiguo para explicar la idea.	citer; guider	Le professeur a cité un ancien poème pour expliquer ce point.	zitieren; führen	Der Lehrer zitierte ein altes Gedicht, um den Punkt zu erklären.	citare; guidare	L'insegnante ha citato un'antica poesia per spiegare il punto.	citar; conduzir	O professor citou um poema antigo para explicar esse ponto.	цитировать; вести	Учитель процитировал старое стихотворение, чтобы объяснить мысль.
5179:隐藏	隐藏	隐藏	esconder; ocultar	El archivo estaba oculto en la carpeta del sistema.	cacher; dissimuler	Le fichier était caché dans le dossier système.	verstecken; verbergen	Die Datei war im Systemordner versteckt.	nascondere; celare	Il file era nascosto nella cartella di sistema.	esconder; ocultar	O arquivo estava escondido na pasta do sistema.	скрывать; прятать	Файл был скрыт в системной папке.
5181:引发	引发	引发	provocar; desencadenar	Esta noticia provocó una discusión acalorada.	déclencher; provoquer	Cette nouvelle a déclenché une vive discussion.	auslösen; verursachen	Diese Nachricht löste eine hitzige Diskussion aus.	provocare; innescare	Questa notizia ha provocato una discussione accesa.	provocar; desencadear	Esta notícia provocou uma discussão acalorada.	вызвать; спровоцировать	Эта новость вызвала горячее обсуждение.
5182:引入	引入	引入	introducir; incorporar	La escuela planea introducir un nuevo método de enseñanza.	introduire; faire entrer	L'école prévoit d'introduire une nouvelle méthode d'enseignement.	einführen; hereinbringen	Die Schule plant, eine neue Lehrmethode einzuführen.	introdurre; inserire	La scuola prevede di introdurre un nuovo metodo didattico.	introduzir; trazer	A escola planeja introduzir um novo método de ensino.	вводить; внедрять	Школа планирует внедрить новый метод обучения.
5184:饮用水	饮用水	饮用水	agua potable	El agua potable de aquí pasó pruebas estrictas.	eau potable	L'eau potable ici a passé des contrôles stricts.	Trinkwasser	Das Trinkwasser hier hat strenge Tests bestanden.	acqua potabile	L'acqua potabile qui ha superato controlli rigorosi.	água potável	A água potável daqui passou por testes rigorosos.	питьевая вода	Местная питьевая вода прошла строгую проверку.
5185:印	印	印	imprimir; estampar	Por favor, imprime aquí el logotipo de la empresa.	imprimer; apposer	Veuillez imprimer le logo de l'entreprise ici.	drucken; stempeln	Bitte drucken Sie hier das Logo des Unternehmens.	stampare; imprimere	Per favore, stampa qui il logo dell'azienda.	imprimir; estampar	Por favor, imprima o logotipo da empresa aqui.	печатать; ставить печать	Пожалуйста, напечатайте здесь логотип компании.
5192:用餐	用餐	用餐	comer; tomar una comida	Los invitados están comiendo en el restaurante.	prendre un repas; dîner	Les invités prennent leur repas au restaurant.	essen; speisen	Die Gäste speisen im Restaurant.	mangiare; consumare un pasto	Gli ospiti stanno mangiando al ristorante.	fazer uma refeição; comer	Os convidados estão fazendo uma refeição no restaurante.	есть; принимать пищу	Гости обедают в ресторане.
5193:用处	用处	用处	utilidad; uso	Este cuchillo pequeño tiene muchos usos.	utilité; usage	Ce petit couteau a de nombreux usages.	Nutzen; Verwendung	Dieses kleine Messer hat viele Verwendungen.	utilità; uso	Questo coltellino ha molti usi.	utilidade; uso	Esta faca pequena tem muitos usos.	польза; применение	У этого маленького ножа много применений.
5195:用人	用人	用人	contratar personal; emplear gente	Esta empresa es muy cuidadosa al contratar personal.	recruter; employer du personnel	Cette entreprise est très prudente lorsqu'elle recrute du personnel.	Personal einstellen; Menschen beschäftigen	Dieses Unternehmen ist bei der Einstellung von Mitarbeitern sehr sorgfältig.	assumere personale; impiegare persone	Questa azienda è molto attenta quando assume personale.	contratar pessoas; empregar	Esta empresa é muito cuidadosa ao contratar pessoas.	нанимать людей; использовать кадры	Эта компания очень тщательно подходит к найму сотрудников.
5196:用心	用心	用心	con esmero; atento	Se nota que este regalo fue preparado con mucho esmero.	avec soin; attentif	On voit que ce cadeau a été préparé avec beaucoup de soin.	sorgfältig; mit Bedacht	Man merkt, dass dieses Geschenk mit viel Sorgfalt vorbereitet wurde.	con cura; attento	Si vede che questo regalo è stato preparato con molta cura.	com cuidado; atento	Dá para ver que este presente foi preparado com muito cuidado.	старательно; внимательно	Видно, что этот подарок подготовили с большой заботой.
5197:优化	优化	优化	optimizar	El ingeniero está optimizando la velocidad del sistema.	optimiser	L'ingénieur optimise la vitesse du système.	optimieren	Der Ingenieur optimiert die Geschwindigkeit des Systems.	ottimizzare	L'ingegnere sta ottimizzando la velocità del sistema.	otimizar	O engenheiro está otimizando a velocidade do sistema.	оптимизировать	Инженер оптимизирует скорость системы.
5200:由来	由来	由来	origen; procedencia	El origen de esta costumbre es muy interesante.	origine; provenance	L'origine de cette coutume est très intéressante.	Ursprung; Herkunft	Der Ursprung dieses Brauchs ist sehr interessant.	origine; provenienza	L'origine di questa usanza è molto interessante.	origem; procedência	A origem deste costume é muito interessante.	происхождение; причина	Происхождение этого обычая очень интересно.
5201:游人	游人	游人	turista; visitante	En primavera hay especialmente muchos visitantes en el parque.	touriste; visiteur	Au printemps, il y a particulièrement beaucoup de visiteurs dans le parc.	Tourist; Besucher	Im Frühling gibt es im Park besonders viele Besucher.	turista; visitatore	In primavera ci sono particolarmente molti visitatori nel parco.	turista; visitante	Na primavera há especialmente muitos visitantes no parque.	турист; посетитель	Весной в парке особенно много посетителей.
5203:有机	有机	有机	orgánico	Esta granja vende solo verduras orgánicas.	biologique	Cette ferme ne vend que des légumes biologiques.	biologisch; organisch	Dieser Bauernhof verkauft nur Bio-Gemüse.	biologico; organico	Questa fattoria vende solo verdure biologiche.	orgânico	Esta fazenda vende apenas verduras orgânicas.	органический	Эта ферма продает только органические овощи.
5204:有劲	有劲	有劲	interesante; con energía	Esta película se vuelve más interesante cuanto más la ves.	intéressant; plein d'énergie	Plus on regarde ce film, plus il devient intéressant.	spannend; kraftvoll	Dieser Film wird umso spannender, je länger man ihn sieht.	interessante; energico	Questo film diventa più interessante man mano che lo guardi.	interessante; com energia	Este filme fica mais interessante quanto mais você assiste.	энергичный; интересный	Этот фильм становится тем интереснее, чем дольше его смотришь.
5205:有序	有序	有序	ordenado	El público entró al recinto de manera ordenada.	ordonné; organisé	Le public est entré dans la salle de façon ordonnée.	geordnet; ordentlich	Das Publikum betrat den Veranstaltungsort geordnet.	ordinato	Il pubblico è entrato nel luogo dell'evento in modo ordinato.	ordenado; organizado	O público entrou no local de forma ordenada.	упорядоченный; организованный	Зрители организованно вошли в зал.
5206:于	于	于	en; a	La reunión empieza a las nueve de la mañana.	à; dans	La réunion commence à neuf heures du matin.	um; in; bei	Die Besprechung beginnt um neun Uhr morgens.	a; in	La riunione inizia alle nove del mattino.	em; a	A reunião começa às nove da manhã.	в; на; к	Встреча начинается в девять утра.
5207:余额	余额	余额	saldo	Primero revisa el saldo de la tarjeta bancaria.	solde	Veuillez d'abord vérifier le solde de la carte bancaire.	Kontostand; Restbetrag	Bitte prüfen Sie zuerst den Kontostand der Bankkarte.	saldo	Controlla prima il saldo della carta bancaria.	saldo	Verifique primeiro o saldo do cartão bancário.	остаток; баланс	Сначала проверьте баланс банковской карты.
5210:预定	预定	预定	reservar; fijar de antemano	Ya reservé asientos para mañana por la noche.	réserver; prévoir	J'ai déjà réservé des places pour demain soir.	reservieren; vorbestimmen	Ich habe bereits Plätze für morgen Abend reserviert.	prenotare; stabilire in anticipo	Ho già prenotato i posti per domani sera.	reservar; programar	Já reservei lugares para amanhã à noite.	забронировать; заранее назначить	Я уже забронировал места на завтрашний вечер.
5213:浴室	浴室	浴室	baño	El suelo del baño está un poco resbaladizo.	salle de bain	Le sol de la salle de bain est un peu glissant.	Badezimmer	Der Boden im Badezimmer ist etwas rutschig.	bagno	Il pavimento del bagno è un po' scivoloso.	banheiro	O piso do banheiro está um pouco escorregadio.	ванная комната	Пол в ванной немного скользкий.
5215:原本	原本	原本	originalmente; en principio	Originalmente planeaba ir a Pekín el fin de semana.	à l'origine; initialement	Au départ, j'avais prévu d'aller à Pékin le week-end.	ursprünglich; eigentlich	Ursprünglich hatte ich geplant, am Wochenende nach Peking zu fahren.	originariamente; inizialmente	In origine avevo programmato di andare a Pechino nel fine settimana.	originalmente; inicialmente	Originalmente eu planejava ir a Pequim no fim de semana.	изначально; первоначально	Изначально я планировал поехать в Пекин на выходных.
5216:原材料	原材料	原材料	materia prima	La fábrica necesita un suministro estable de materias primas.	matière première	L'usine a besoin d'un approvisionnement stable en matières premières.	Rohmaterial; Rohstoff	Die Fabrik braucht eine stabile Versorgung mit Rohstoffen.	materia prima	La fabbrica ha bisogno di una fornitura stabile di materie prime.	matéria-prima	A fábrica precisa de um fornecimento estável de matérias-primas.	сырье	Заводу нужны стабильные поставки сырья.
5224:元宵	元宵	元宵	yuanxiao; bola dulce de arroz glutinoso	Comimos yuanxiao el día del Festival de los Faroles.	yuanxiao; boulette sucrée de riz gluant	Nous avons mangé des yuanxiao le jour de la fête des Lanternes.	Yuanxiao; süße Klebreisbällchen	Am Laternenfest aßen wir Yuanxiao.	yuanxiao; pallina dolce di riso glutinoso	Abbiamo mangiato gli yuanxiao il giorno della Festa delle Lanterne.	yuanxiao; bolinho doce de arroz glutinoso	Comemos yuanxiao no dia do Festival das Lanternas.	юаньсяо; сладкий шарик из клейкого риса	В день Праздника фонарей мы ели юаньсяо.
5225:源于	源于	源于	originarse en; provenir de	Esta tradición proviene de un festival antiguo.	provenir de; tirer son origine de	Cette tradition vient d'une ancienne fête.	stammen aus; herrühren von	Diese Tradition stammt von einem alten Fest ab.	derivare da; avere origine da	Questa tradizione deriva da un'antica festa.	originar-se de; vir de	Esta tradição vem de um festival antigo.	происходить от; брать начало	Эта традиция берет начало в древнем празднике.
5226:远程	远程	远程	remoto; a distancia	La empresa organizó una entrevista remota.	à distance; distant	L'entreprise a organisé un entretien à distance.	Fern-; entfernt	Das Unternehmen organisierte ein Vorstellungsgespräch aus der Ferne.	remoto; a distanza	L'azienda ha organizzato un colloquio a distanza.	remoto; a distância	A empresa organizou uma entrevista remota.	удаленный; дистанционный	Компания организовала дистанционное собеседование.
5227:远方	远方	远方	lugar lejano; lejos	A menudo piensa en su familia lejana.	lieu lointain; au loin	Il pense souvent à sa famille au loin.	Ferne; weit entfernter Ort	Er denkt oft an seine Familie in der Ferne.	luogo lontano; lontananza	Pensa spesso alla sua famiglia lontana.	lugar distante; ao longe	Ele muitas vezes pensa na família distante.	даль; далекое место	Он часто думает о своей семье вдали.
5229:月光	月光	月光	luz de la luna	La luz de la luna brillaba sobre el lago tranquilo.	clair de lune	Le clair de lune brillait sur le lac tranquille.	Mondlicht	Das Mondlicht schien auf den stillen See.	chiaro di luna	Il chiaro di luna illuminava il lago tranquillo.	luz da lua	A luz da lua brilhava sobre o lago tranquilo.	лунный свет	Лунный свет падал на тихое озеро.
5231:月球	月球	月球	la Luna	Los científicos estudian la superficie de la Luna.	la Lune	Les scientifiques étudient la surface de la Lune.	Mond	Wissenschaftler untersuchen die Oberfläche des Mondes.	la Luna	Gli scienziati studiano la superficie della Luna.	Lua	Cientistas estudam a superfície da Lua.	Луна	Ученые изучают поверхность Луны.
5232:乐曲	乐曲	乐曲	pieza musical	Esta pieza musical suena muy bonita.	morceau de musique; composition	Cette composition est très belle.	Musikstück; Komposition	Dieses Musikstück klingt sehr schön.	brano musicale; composizione	Questo brano musicale suona molto bello.	peça musical; composição	Esta peça musical soa muito bonita.	музыкальное произведение	Это музыкальное произведение звучит очень красиво.
5234:晕车	晕车	晕车	marearse en el coche	Ella se marea fácilmente en los viajes largos en autobús.	avoir le mal des transports	Elle a facilement le mal des transports lors des longs trajets en bus.	reisekrank werden; autokrank werden	Auf langen Busfahrten wird ihr leicht schlecht.	soffrire il mal d'auto	Nei lunghi viaggi in autobus soffre facilmente il mal d'auto.	enjoar no carro	Ela fica enjoada facilmente em viagens longas de ônibus.	укачиваться в машине	Ее легко укачивает во время долгих поездок на автобусе.
5235:运送	运送	运送	transportar; entregar	Estos suministros serán transportados a la zona del desastre.	transporter; livrer	Ces fournitures seront transportées vers la zone sinistrée.	transportieren; liefern	Diese Hilfsgüter werden in das Katastrophengebiet transportiert.	trasportare; consegnare	Questi materiali saranno trasportati nella zona colpita dal disastro.	transportar; entregar	Estes suprimentos serão transportados para a área atingida pelo desastre.	перевозить; доставлять	Эти припасы доставят в зону бедствия.
5237:运营	运营	运营	operar; gestionar	Esta plataforma es gestionada por un equipo profesional.	exploiter; gérer	Cette plateforme est gérée par une équipe professionnelle.	betreiben; führen	Diese Plattform wird von einem professionellen Team betrieben.	gestire; operare	Questa piattaforma è gestita da un team professionale.	operar; gerir	Esta plataforma é operada por uma equipe profissional.	управлять; эксплуатировать	Этой платформой управляет профессиональная команда.
5238:杂	杂	杂	mezclado; variado	Hay muchos objetos variados en este cajón.	mélangé; divers	Il y a beaucoup d'objets divers dans ce tiroir.	gemischt; verschieden	In dieser Schublade liegen viele verschiedene Kleinigkeiten.	misto; vario	In questo cassetto ci sono molti oggetti vari.	misto; variado	Há muitos objetos variados nesta gaveta.	смешанный; разный	В этом ящике много разных мелких вещей.
5239:灾	灾	灾	desastre; calamidad	Este desastre causó grandes pérdidas al pueblo.	catastrophe; désastre	Cette catastrophe a causé de lourdes pertes au village.	Katastrophe; Unglück	Diese Katastrophe verursachte im Dorf große Verluste.	disastro; calamità	Questo disastro ha causato grandi perdite al villaggio.	desastre; calamidade	Este desastre causou grandes perdas à aldeia.	бедствие; катастрофа	Это бедствие нанесло деревне большие потери.
5242:灾区	灾区	灾区	zona de desastre	Los voluntarios llevaron comida a la zona de desastre.	zone sinistrée	Les bénévoles ont livré de la nourriture dans la zone sinistrée.	Katastrophengebiet	Freiwillige brachten Lebensmittel in das Katastrophengebiet.	zona disastrata	I volontari hanno consegnato cibo nella zona colpita dal disastro.	área atingida pelo desastre	Voluntários levaram comida para a área atingida pelo desastre.	зона бедствия	Волонтеры доставили еду в зону бедствия.
5244:再生	再生	再生	reciclar; regenerar	Estos materiales pueden reciclarse y reutilizarse.	recycler; régénérer	Ces matériaux peuvent être recyclés et réutilisés.	recyceln; regenerieren	Diese Materialien können recycelt und wiederverwendet werden.	rigenerare; riciclare	Questi materiali possono essere riciclati e riutilizzati.	regenerar; reciclar	Estes materiais podem ser reciclados e reutilizados.	восстанавливать; перерабатывать	Эти материалы можно переработать и использовать повторно.
5246:赞赏	赞赏	赞赏	apreciar; admirar	El profesor apreció su actitud seria.	apprécier; admirer	Le professeur a apprécié son attitude sérieuse.	schätzen; bewundern	Der Lehrer schätzte seine ernsthafte Haltung.	apprezzare; ammirare	L'insegnante ha apprezzato il suo atteggiamento serio.	apreciar; admirar	O professor apreciou sua atitude séria.	ценить; восхищаться	Учитель высоко оценил его серьезное отношение.
5247:赞同	赞同	赞同	estar de acuerdo; aprobar	La mayoría de los miembros está de acuerdo con esta decisión.	approuver; être d'accord	La plupart des membres approuvent cette décision.	zustimmen; befürworten	Die meisten Mitglieder stimmen dieser Entscheidung zu.	essere d'accordo; approvare	La maggior parte dei membri è d'accordo con questa decisione.	concordar; aprovar	A maioria dos membros concorda com esta decisão.	соглашаться; одобрять	Большинство участников согласны с этим решением.
5248:遭到	遭到	遭到	sufrir; ser objeto de	Este plan encontró cierta oposición.	subir; faire l'objet de	Ce plan a rencontré une certaine opposition.	erleiden; ausgesetzt sein	Dieser Plan stieß auf einigen Widerstand.	subire; essere oggetto di	Questo piano ha incontrato una certa opposizione.	sofrer; ser alvo de	Este plano encontrou certa oposição.	подвергнуться; столкнуться с	Этот план встретил некоторое сопротивление.
5251:噪声	噪声	噪声	ruido	El ruido de la construcción afectó a los residentes cercanos.	bruit	Le bruit du chantier a affecté les habitants voisins.	Lärm; Geräusch	Der Baulärm beeinträchtigte die Anwohner.	rumore	Il rumore dei lavori ha disturbato i residenti vicini.	ruído	O ruído da obra afetou os moradores próximos.	шум	Шум стройки повлиял на ближайших жителей.
5255:炸	炸	炸	explotar; freír	El petardo explotó de repente y todos se asustaron.	exploser; frire	Le pétard a soudain explosé, et tout le monde a sursauté.	explodieren; frittieren	Der Feuerwerkskörper explodierte plötzlich, und alle erschraken.	esplodere; friggere	Il petardo è esploso all'improvviso e tutti si sono spaventati.	explodir; fritar	O rojão explodiu de repente, e todos se assustaram.	взрываться; жарить во фритюре	Петарда внезапно взорвалась, и все испугались.
5256:粘	粘	粘	pegar; adherir	El pegamento unió los papeles.	coller; adhérer	La colle a collé les papiers ensemble.	kleben	Der Kleber klebte die Papiere zusammen.	incollare; aderire	La colla ha attaccato insieme i fogli.	colar; grudar	A cola grudou os papéis.	клеить; прилипать	Клей склеил бумаги.
5259:占比	占比	占比	proporción; porcentaje	La proporción de ventas en línea ya superó la mitad.	proportion; part	La part des ventes en ligne a déjà dépassé la moitié.	Anteil; Quote	Der Anteil der Onlineverkäufe hat bereits die Hälfte überschritten.	proporzione; quota	La quota delle vendite online ha già superato la metà.	proporção; participação	A participação das vendas online já passou da metade.	доля; процент	Доля онлайн-продаж уже превысила половину.
5262:战胜	战胜	战胜	vencer; superar	Finalmente superaron todas las dificultades.	vaincre; surmonter	Ils ont finalement surmonté toutes les difficultés.	besiegen; überwinden	Sie überwanden schließlich alle Schwierigkeiten.	sconfiggere; superare	Alla fine hanno superato tutte le difficoltà.	vencer; superar	Eles finalmente superaram todas as dificuldades.	победить; преодолеть	В конце концов они преодолели все трудности.
5263:占有	占有	占有	poseer; ocupar	Esta empresa posee una gran cuota de mercado.	posséder; occuper	Cette entreprise détient une grande part de marché.	besitzen; einnehmen	Dieses Unternehmen hält einen großen Marktanteil.	possedere; occupare	Questa azienda detiene una grande quota di mercato.	possuir; ocupar	Esta empresa detém uma grande participação de mercado.	владеть; занимать	Эта компания занимает большую долю рынка.
5265:章	章	章	capítulo; sección	Por favor, lee el contenido del capítulo tres.	chapitre; section	Veuillez lire le contenu du troisième chapitre.	Kapitel; Abschnitt	Bitte lesen Sie den Inhalt von Kapitel drei.	capitolo; sezione	Per favore, leggi il contenuto del capitolo tre.	capítulo; seção	Por favor, leia o conteúdo do capítulo três.	глава; раздел	Пожалуйста, прочитайте содержание третьей главы.
5268:账单	账单	账单	cuenta; factura	El camarero puso la cuenta sobre la mesa.	addition; facture	Le serveur a posé l'addition sur la table.	Rechnung; Abrechnung	Der Kellner legte die Rechnung auf den Tisch.	conto; fattura	Il cameriere ha messo il conto sul tavolo.	conta; fatura	O garçom colocou a conta sobre a mesa.	счет; выписка	Официант положил счет на стол.
5269:招	招	招	reclutar; atraer	La empresa está reclutando empleados nuevos.	recruter; attirer	L'entreprise recrute de nouveaux employés.	rekrutieren; anwerben	Das Unternehmen stellt neue Mitarbeiter ein.	reclutare; attirare	L'azienda sta assumendo nuovi dipendenti.	recrutar; atrair	A empresa está recrutando novos funcionários.	набирать; привлекать	Компания набирает новых сотрудников.
5271:招生	招生	招生	admitir estudiantes; matricular	Esta escuela planea admitir quinientos estudiantes este año.	recruter des élèves; inscrire	Cette école prévoit d'inscrire cinq cents élèves cette année.	Schüler aufnehmen; Studierende einschreiben	Diese Schule plant, in diesem Jahr fünfhundert Schüler aufzunehmen.	iscrivere studenti; ammettere	Questa scuola prevede di ammettere cinquecento studenti quest'anno.	matricular alunos; admitir estudantes	Esta escola planeja matricular quinhentos alunos este ano.	набирать учащихся	Эта школа планирует набрать пятьсот учеников в этом году.
5272:招手	招手	招手	saludar con la mano; hacer señas	Ella nos saludó con la mano en la estación.	faire signe de la main	Elle nous a fait signe de la main à la gare.	winken	Sie winkte uns am Bahnhof zu.	fare un cenno con la mano	Ci ha salutati con la mano alla stazione.	acenar	Ela acenou para nós na estação.	махать рукой	Она помахала нам рукой на станции.
5274:照明	照明	照明	iluminación	La iluminación de esta habitación es muy buena.	éclairage	L'éclairage de cette pièce est très bon.	Beleuchtung	Die Beleuchtung in diesem Raum ist sehr gut.	illuminazione	L'illuminazione di questa stanza è molto buona.	iluminação	A iluminação deste cômodo é muito boa.	освещение	Освещение в этой комнате очень хорошее.
5276:针	针	针	aguja; inyección	La enfermera le puso una inyección al paciente.	aiguille; injection	L'infirmière a fait une injection au patient.	Nadel; Spritze	Die Krankenschwester gab dem Patienten eine Spritze.	ago; iniezione	L'infermiera ha fatto un'iniezione al paziente.	agulha; injeção	A enfermeira aplicou uma injeção no paciente.	игла; укол	Медсестра сделала пациенту укол.
5280:镇	镇	镇	pueblo; calmar	Este pueblo está cerca del mar.	bourg; calmer	Ce bourg est près de la mer.	Kleinstadt; beruhigen	Diese Kleinstadt liegt am Meer.	cittadina; calmare	Questa cittadina è vicino al mare.	vila; acalmar	Esta vila fica perto do mar.	поселок; успокаивать	Этот поселок находится у моря.
5281:阵雨	阵雨	阵雨	chubasco; lluvia pasajera	Puede haber chubascos por la tarde.	averse	Il pourrait y avoir des averses l'après-midi.	Schauer; Regenschauer	Am Nachmittag kann es Regenschauer geben.	acquazzone; rovescio	Nel pomeriggio potrebbero esserci rovesci.	pancada de chuva	Pode haver pancadas de chuva à tarde.	кратковременный дождь; ливень	Во второй половине дня возможны кратковременные дожди.
5283:争吵	争吵	争吵	discutir; pelearse	Empezaron a discutir por un asunto pequeño.	se disputer; querelle	Ils ont commencé à se disputer pour une petite affaire.	streiten	Sie begannen wegen einer Kleinigkeit zu streiten.	litigare	Hanno iniziato a litigare per una piccola cosa.	discutir; brigar	Eles começaram a brigar por uma coisa pequena.	ссориться; спорить	Они начали ссориться из-за пустяка.
5290:正面	正面	正面	frente; lado positivo	Por favor, coloca el frente de la foto hacia arriba.	face avant; côté positif	Veuillez placer la face avant de la photo vers le haut.	Vorderseite; positive Seite	Bitte legen Sie die Vorderseite des Fotos nach oben.	lato anteriore; positivo	Per favore, metti la parte anteriore della foto rivolta verso l'alto.	frente; lado positivo	Por favor, coloque a frente da foto virada para cima.	лицевая сторона; положительная сторона	Положите фотографию лицевой стороной вверх.
