source_headword	LO	example_LO
hunting	ການລ່າສັດ	ການລ່າສັດຖືກຫ້າມໃນເຂດນີ້.
illustrate	ສະແດງດ້ວຍຕົວຢ່າງ	ຄູສະແດງດ້ວຍຕົວຢ່າງງ່າຍ.
illustration	ຮູບປະກອບ	ຮູບປະກອບນີ້ຊ່ວຍອະທິບາຍບົດຄວາມ.
imagination	ຈິນຕະນາການ	ເດັກນ້ອຍມີຈິນຕະນາການສູງ.
impatient	ໃຈຮ້ອນ	ເຂົາໃຈຮ້ອນເມື່ອຕ້ອງລໍຖ້າ.
imply	ສື່ໂດຍອ້ອມ	ຄໍາເວົ້າຂອງນາງສື່ໂດຍອ້ອມວ່າມີບັນຫາ.
impose	ບັງຄັບ	ກົດໃໝ່ບັງຄັບຕໍ່ທຸລະກິດ.
impress	ປະທັບໃຈ	ວຽກຂອງນາງປະທັບໃຈທຸກຄົນ.
impressed	ປະທັບໃຈ	ຄະນະກໍາມະການປະທັບໃຈກັບການນໍາສະເໜີ.
inch	ນິ້ວ	ໂຕະຍາວກວ່າເກົ່າສອງນິ້ວ.
incident	ເຫດການ	ເຫດການນ້ອຍເກີດຂຶ້ນທີ່ໂຮງຮຽນ.
income	ລາຍໄດ້	ລາຍໄດ້ຄອບຄົວເພີ່ມຂຶ້ນ.
increasingly	ເພີ່ມຂຶ້ນເລື້ອຍໆ	ວຽກເພີ່ມຂຶ້ນເລື້ອຍໆຕ້ອງການທັກສະດິຈິຕອນ.
industrial	ອຸດສາຫະກໍາ	ເຂດອຸດສາຫະກໍາມີໂຮງງານຫຼາຍ.
infection	ການຕິດເຊື້ອ	ການລ້າງມືຫຼຸດການຕິດເຊື້ອ.
inform	ແຈ້ງ	ກະລຸນາແຈ້ງພວກເຮົາເລື່ອງການປ່ຽນແປງ.
initial	ເບື້ອງຕົ້ນ	ປະຕິກິລິຍາເບື້ອງຕົ້ນຂອງນາງເປັນບວກ.
initially	ໃນເບື້ອງຕົ້ນ	ໃນເບື້ອງຕົ້ນໂຄງການນີ້ນ້ອຍ.
initiative	ຄວາມລິເລີ່ມ	ຄວາມລິເລີ່ມໃໝ່ຊ່ວຍຊຸມຊົນ.
inner	ພາຍໃນ	ຫ້ອງພາຍໃນງຽບ.
insight	ຄວາມເຂົ້າໃຈ	ລາຍງານໃຫ້ຄວາມເຂົ້າໃຈໃໝ່.
insist	ຢືນຢັນ	ເຂົາຢືນຢັນວ່າການຕັດສິນໃຈຖືກ.
inspire	ສ້າງແຮງບັນດານໃຈ	ຄູສ້າງແຮງບັນດານໃຈໃຫ້ນັກຮຽນ.
install	ຕິດຕັ້ງ	ຊ່າງຕິດຕັ້ງໂປຣແກຣມໃໝ່.
instance	ຕົວຢ່າງ	ນີ້ແມ່ນຕົວຢ່າງຊັດເຈນໜຶ່ງ.
