source_headword	ML	example_ML
grant	ഗ്രാന്റ്	ഉപകരണങ്ങൾക്കായി ഗ്രാന്റ് പണം നൽകി.
guarantee	ഉറപ്പ്	ടിക്കറ്റ് പ്രവേശനം ഉറപ്പാക്കുന്നു.
handle	കൈകാര്യം ചെയ്യുക	അവൾ പരാതി ശാന്തമായി കൈകാര്യം ചെയ്തു.
harm	ദോഷം	പുകവലി ആരോഗ്യത്തിന് ദോഷം ചെയ്യും.
harmful	ദോഷകരമായ	ആ രാസവസ്തു ദോഷകരമാണ്.
hearing	കേൾവിശക്തി	അവളുടെ കേൾവിശക്തി മെച്ചപ്പെട്ടു.
heaven	സ്വർഗ്ഗം	അവർ മുകളിൽ സ്വർഗ്ഗം സങ്കൽപ്പിച്ചു.
heel	ഉപ്പൂറ്റി	അവന്റെ ഉപ്പൂറ്റിക്ക് വല്ലാതെ വേദനിച്ചു.
hell	നരകം	ആ യാത്ര ഒരു നരകമായിരുന്നു.
hesitate	മടിക്കുക	ചോദിക്കാൻ മടിക്കരുത്.
hollow	പൊള്ളയായ	മരത്തിന്റെ ഉള്ള് പൊള്ളയായിരുന്നു.
holy	പുണ്യമായ	അവർ ഒരു പുണ്യസ്ഥലം സന്ദർശിച്ചു.
honour	ബഹുമാനം	അവർ അഭിമാനത്തിനായി പോരാടി.
household	കുടുംബം	ഓരോ വീട്ടിലും വെള്ളം ലഭിച്ചു.
housing	പാർപ്പിടം	പാർപ്പിട ചെലവുകൾ വർദ്ധിച്ചുകൊണ്ടിരിക്കുന്നു.
humorous	തമാശയായ	അവന്റെ കഥ തമാശ നിറഞ്ഞതായിരുന്നു.
humour	നർമ്മം	നർമ്മം പിരിമുറുക്കം കുറയ്ക്കാൻ സഹായിച്ചു.
hunting	വേട്ടയാടൽ	വേട്ടയാടൽ ഇവിടെ നിരോധിച്ചിരിക്കുന്നു.
illustrate	വ്യക്തമാക്കുക	ഉദാഹരണങ്ങൾ നിയമം വ്യക്തമാക്കുന്നു.
illustration	ചിത്രീകരണം	ചിത്രീകരണം പ്രക്രിയയെ കാണിക്കുന്നു.
imagination	ഭാവന	കുട്ടികൾ ഭാവന സ്വതന്ത്രമായി ഉപയോഗിക്കുന്നു.
impatient	അക്ഷമയുള്ള	ഡ്രൈവർമാർക്ക് അക്ഷമ തോന്നി.
imply	സൂചിപ്പിക്കുക	അവന്റെ നിശബ്ദത സമ്മതത്തെ സൂചിപ്പിച്ചേക്കാം.
impose	ചുമത്തുക	കോടതി പിഴ ചുമത്തി.
impress	സ്വാധീനിക്കുക	അവളുടെ ധൈര്യം എല്ലാവരെയും ആകർഷിച്ചു.
impressed	മതിപ്പുളവായ	അവളുടെ ജോലി എന്നിൽ മതിപ്പുളവാക്കി.
inch	ഇഞ്ച്	ഇത് ഒരു ഇഞ്ച് ഇടത്തോട്ട് മാറ്റുക.
incident	സംഭവം	ഈ സംഭവം ആശങ്ക ഉണ്ടാക്കി.
income	വരുമാനം	അവരുടെ വരുമാനം പതുക്കെ വർദ്ധിച്ചു.
increasingly	കൂടുതലായി	വീടിന് കൂടുതൽ വിലയേറി വരികയാണ്.
industrial	വ്യവസായിക	നഗരത്തിന് വ്യാവസായിക വേരുകളുണ്ട്.
infection	അണുബാധ	അണുബാധ പെട്ടെന്ന് പടർന്നു.
inform	അറിയിക്കുക	ദയവായി മാനേജറെ അറിയിക്കുക.
initial	പ്രാരംഭ	പ്രാരംഭ ചെലവ് വളരെ കൂടുതലായിരുന്നു.
initially	തുടക്കത്തിൽ	തുടക്കത്തിൽ ആരും അവനെ വിശ്വസിച്ചില്ല.
initiative	സംരംഭം	അവൾ ഒരു പുതിയ സംരംഭം ആരംഭിച്ചു.
inner	ആന്തരിക	അകത്തെ വാതിൽ പൂട്ടിയിരുന്നു.
insight	ഉൾക്കാഴ്ച	റിപ്പോർട്ട് ഉപയോഗപ്രദമായ ഉൾക്കാഴ്ച നൽകുന്നു.
insist	നിർബന്ധിക്കുക	അവർ സുരക്ഷാ പരിശോധനകൾക്ക് നിർബന്ധിക്കുന്നു.
inspire	പ്രചോദിപ്പിക്കുക	അവളുടെ കഥ മറ്റുള്ളവരെ പ്രചോദിപ്പിച്ചേക്കാം.
install	സ്ഥാപിക്കുക	അവർ ഒരു പുതിയ ഹീറ്റർ സ്ഥാപിച്ചു.
instance	ഉദാഹരണം	ഇതൊരു വ്യക്തമായ ഉദാഹരണമാണ്.
