simplified	MY	example_MY
新鲜	လတ်ဆတ်သည်	ဤသစ်သီးသည် အလွန်လတ်ဆတ်သည်။
信用卡	ခရက်ဒစ်ကတ်	ခရက်ဒစ်ကတ်ဖြင့် ငွေပေးချေနိုင်ပါသလား။
行李箱	ခရီးဆောင်အိတ်	ကျွန်ုပ်၏ ခရီးဆောင်အိတ် အလွန်လေးသည်။
熊猫	ပန်ဒါ	ကလေးများသည် ပန်ဒါကြည့်ရတာ ကြိုက်သည်။
需要	လိုအပ်သည်	ကျွန်ုပ် သင့်အကူအညီ လိုအပ်သည်။
选择	ရွေးချယ်သည်; ရွေးချယ်မှု	သင် မည်သည့်ရှပ်အင်္ကျီကို ရွေးသနည်း။
要求	တောင်းဆိုသည်; လိုအပ်သည်	ဆရာသည် ကျွန်ုပ်တို့ကို အိမ်စာကို သေချာရေးရန် တောင်းဆိုသည်။
爷爷	အဘိုး	အဘိုး နေ့တိုင်း ပန်းခြံသို့ သွားသည်။
一直	အမြဲ; ဆက်တိုက်	သူ သင့်ကို ဆက်တိုက် စောင့်နေသည်။
一定	သေချာပေါက်	ကျွန်ုပ် သေချာပေါက် လာမည်။
一共	စုစုပေါင်း	ဤစာအုပ်များ စုစုပေါင်း ဘယ်လောက်ကျသနည်း။
一会儿	ခဏ	ကျေးဇူးပြု၍ ကျွန်ုပ်ကို ခဏ စောင့်ပါ။
一样	တူသည်	ဤခွက်နှစ်လုံး၏ အရွယ်အစား တူသည်။
以前	ယခင်က	ယခင်က ကျွန်ုပ် ပေကျင်းတွင် နေခဲ့သည်။
一般	သာမန်; ပုံမှန်	ဤစားသောက်ဆိုင်၏ ဟင်းလျာများ သာမန်ဖြစ်သည်။
一边	တစ်ဖက်; လုပ်ရင်း	သူ သီချင်းနားထောင်ရင်း အိမ်စာလုပ်သည်။
音乐	ဂီတ; သီချင်း	ကျွန်ုပ် တရုတ်ဂီတကို ကြိုက်သည်။
银行	ဘဏ်	ဘဏ်သည် စူပါမားကတ်ဘေးတွင် ရှိသည်။
饮料	အချိုရည်; သောက်စရာ	ဤအချိုရည်သည် အရသာကောင်းသည်။
应该	သင့်သည်	သင် ပိုအနားယူသင့်သည်။
影响	အကျိုးသက်ရောက်မှု; ထိခိုက်သည်	ရာသီဥတုသည် ပြိုင်ပွဲကို ထိခိုက်မည်။
用	အသုံးပြုသည်	ကျွန်ုပ် ကွန်ပျူတာဖြင့် အိမ်စာလုပ်သည်။
游戏	ဂိမ်း; ကစားပွဲ	ကလေးများ ဂိမ်းကစားနေသည်။
有名	နာမည်ကြီးသည်	ဤစားသောက်ဆိုင်သည် အလွန်နာမည်ကြီးသည်။
又	ထပ်; နောက်တစ်ကြိမ်	သူ ယနေ့ ထပ်နောက်ကျသည်။
遇到	တွေ့သည်; ကြုံသည်	ကျွန်ုပ် လမ်းပေါ်တွင် ဆရာကို တွေ့ခဲ့သည်။
元	ယွမ်	ဤအဘိဓာန်သည် ယွမ်ငါးဆယ် ကျသည်။
愿意	ဆန္ဒရှိသည်; လိုလားသည်	သင် ပါဝင်လိုပါသလား။
月亮	လ	ယနေ့ည လသည် အလွန်တောက်ပသည်။
越	ပို...ပို...	တရုတ်ဘာသာကို ပိုလေ့လာလေလေ ပိုစိတ်ဝင်စားစရာကောင်းလေ ဖြစ်သည်။
站	ဘူတာ; ရပ်သည်	သူ တံခါးရှေ့တွင် ရပ်နေသည်။
张	ပြားသောအရာများအတွက် ရေတွက်စကား; ချပ်	ကျေးဇူးပြု၍ မြေပုံတစ်ချပ် ပေးပါ။
长	ကြီးထွားသည်	ကလေးများ မြန်မြန် ကြီးထွားသည်။
着急	စိတ်ပူသည်; အလျင်လိုသည်	စိတ်မပူပါနှင့်၊ ဓာတ်လှေကား ချက်ချင်း လာမည်။
照顾	စောင့်ရှောက်သည်	သူမ နေမကောင်းသော အဘွားကို စောင့်ရှောက်သည်။
照片	ဓာတ်ပုံ	ဤဓာတ်ပုံသည် ကြည့်ကောင်းသည်။
照相机	ကင်မရာ	ကျွန်ုပ် ကင်မရာဖြင့် ဓာတ်ပုံရိုက်သည်။
283:只	သာ; ပဲ	ကျွန်ုပ် လက်ဖက်ရည်တစ်ခွက်သာ သောက်သည်။
284:只	တိရစ္ဆာန်များအတွက် ရေတွက်စကား	စားပွဲအောက်တွင် ကြောင်တစ်ကောင် ရှိသည်။
只有…才…	သာ...မှသာ...	သေချာစွာ ပြန်လေ့လာမှသာ စာမေးပွဲကောင်းကောင်း ဖြေနိုင်မည်။
中间	အလယ်	စားပွဲသည် အခန်းအလယ်တွင် ရှိသည်။
中文	တရုတ်ဘာသာ; တရုတ်စာ	ကျွန်ုပ် နေ့တိုင်း တရုတ်ဘာသာ လေ့လာသည်။
终于	နောက်ဆုံးတွင်	ကျွန်ုပ်တို့ နောက်ဆုံးတွင် ရောက်ရှိခဲ့သည်။
种	အမျိုးအစား	သင် ဘယ်အမျိုးအစား အချိုရည် ကြိုက်သနည်း။
重要	အရေးကြီးသည်	ပတ်စပို့သည် အလွန်အရေးကြီးသည်။
周末	အပတ်ကုန်	အပတ်ကုန်တွင် ကျွန်ုပ် ပန်းခြံသို့ သွားချင်သည်။
主要	အဓိက	သူ၏ အဓိက ဝါသနာမှာ ဂီတ ဖြစ်သည်။
注意	သတိပြုသည်; အာရုံစိုက်သည်	ကျေးဇူးပြု၍ ဆရာပြောသည်ကို အာရုံစိုက်ပါ။
自己	ကိုယ်တိုင်	ကျွန်ုပ် အိမ်စာကို ကိုယ်တိုင် လုပ်ချင်သည်။
自行车	စက်ဘီး	ကျွန်ုပ်၏ စက်ဘီးသည် အောက်ထပ်တွင် ရှိသည်။
总是	အမြဲတမ်း	သူ အမြဲတမ်း ရုံးခန်းသို့ စောစော ရောက်သည်။
嘴	ပါးစပ်	ကျေးဇူးပြု၍ ပါးစပ် ဖွင့်ပါ။
最后	နောက်ဆုံး	နောက်ဆုံးတွင် ကျွန်ုပ်တို့ အားလုံး သဘောတူခဲ့သည်။
最近	မကြာသေးမီက; ဒီရက်ပိုင်း	ဒီရက်ပိုင်း ကျွန်ုပ် အလွန်အလုပ်များသည်။
作业	အိမ်စာ; အလုပ်	ကျွန်ုပ် အိမ်စာ မပြီးသေးပါ။
