source_headword	KN	example_KN
depart	ನಿರ್ಗಮಿಸು	ರೈಲು ಮಧ್ಯಾಹ್ನ ಹೊರಡುತ್ತದೆ.
dependent	ಅವಲಂಬಿತ	ಮಗು ವಯಸ್ಕರ ಮೇಲೆ ಅವಲಂಬಿತವಾಗಿದೆ.
deposit	ಠೇವಣಿ	ಅವಳು ಅಪಾರ್ಟ್‌ಮೆಂಟ್‌ಗಾಗಿ ಠೇವಣಿ ಪಾವತಿಸಿದಳು.
depression	ಖಿನ್ನತೆ	ಖಿನ್ನತೆಗೆ ವೃತ್ತಿಪರ ಬೆಂಬಲ ಬೇಕಾಗುತ್ತದೆ.
derive	ಪಡೆ	ಅನೇಕ ಪದಗಳು ಲ್ಯಾಟಿನ್‌ನಿಂದ ಹುಟ್ಟಿಕೊಂಡಿವೆ.
desperately	ತೀವ್ರವಾಗಿ	ಅವನಿಗೆ ತೀವ್ರವಾಗಿ ನೀರಿನ ಅಗತ್ಯವಿತ್ತು.
destruction	ವಿನಾಶ	ಚಂಡಮಾರುತವು ವ್ಯಾಪಕ ವಿನಾಶವನ್ನು ಉಂಟುಮಾಡಿತು.
determination	ದೃಢನಿಶ್ಚಯ	ಅವಳ ಛಲವು ತರಬೇತುದಾರರನ್ನು ಪ್ರಭಾವಿಸಿತು.
devote	ಮೀಸಲಿಡು	ಅವಳು ವಾರಾಂತ್ಯಗಳನ್ನು ಅಧ್ಯಯನಕ್ಕಾಗಿ ಮೀಸಲಿಡುತ್ತಾಳೆ.
differ	ಭಿನ್ನವಾಗಿರು	ಅವರ ಅಭಿಪ್ರಾಯಗಳು ತೀವ್ರವಾಗಿ ಭಿನ್ನವಾಗಿವೆ.
disability	ಅಂಗವೈಕಲ್ಯ	ಕಟ್ಟಡವು ಅಂಗವೈಕಲ್ಯ ಪ್ರವೇಶವನ್ನು ಹೊಂದಿದೆ.
disabled	ಅಂಗವಿಕಲ	ವಿಕಲಚೇತನ ಕ್ರೀಡಾಪಟು ಪದಕ ಗೆದ್ದರು.
disagreement	ಭಿನ್ನಾಭಿಪ್ರಾಯ	ಸಭೆಯು ಭಿನ್ನಾಭಿಪ್ರಾಯದೊಂದಿಗೆ ಕೊನೆಗೊಂಡಿತು.
disappoint	ನಿರಾಶೆಗೊಳಿಸು	ಫಲಿತಾಂಶವು ಅಭಿಮಾನಿಗಳನ್ನು ನಿರಾಶೆಗೊಳಿಸಬಹುದು.
disappointment	ನಿರಾಶೆ	ಅವನು ತೀವ್ರ ನಿರಾಶೆಯನ್ನು ಅನುಭವಿಸಿದನು.
discourage	ನಿರುತ್ಸಾಹಗೊಳಿಸು	ಯುವ ಕಲಿಯುವವರನ್ನು ನಿರುತ್ಸಾಹಗೊಳಿಸಬೇಡಿ.
disorder	ಅಸ್ವಸ್ಥತೆ	ವೈದ್ಯರು ನಿದ್ರಾಹೀನತೆಯ ಅಸ್ವಸ್ಥತೆಯನ್ನು ಪತ್ತೆಹಚ್ಚಿದರು.
distant	ದೂರದ	ಪರ್ವತಗಳು ದೂರದಲ್ಲಿರುವಂತೆ ಕಂಡವು.
distinct	ವಿಭಿನ್ನ	ಆ ಎರಡು ಶಬ್ದಗಳು ಭಿನ್ನವಾಗಿವೆ.
distinguish	ಪ್ರತ್ಯೇಕಿಸು	ನೀವು ಈ ಬಣ್ಣಗಳನ್ನು ಗುರುತಿಸಬಲ್ಲಿರಾ?
distract	ಗಮನ ಬೇರೆಡೆ ಸೆಳೆ	ಶಬ್ದವು ವಿದ್ಯಾರ್ಥಿಗಳ ಗಮನವನ್ನು ಬೇರೆಡೆ ಸೆಳೆಯಬಹುದು.
disturb	ತೊಂದರೆ ಕೊಡು	ದಯವಿಟ್ಟು ರೋಗಿಗೆ ತೊಂದರೆ ಕೊಡಬೇಡಿ.
dive	ಡೈವ್	ಅವರು ಬಂಡೆಯ ಹತ್ತಿರ ಡೈವ್ ಮಾಡುತ್ತಾರೆ.
diverse	ವೈವಿಧ್ಯಮಯ	ನಗರವು ವೈವಿಧ್ಯಮಯ ಸಂಸ್ಕೃತಿಗಳನ್ನು ಹೊಂದಿದೆ.
diversity	ವೈವಿಧ್ಯತೆ	ನಾವು ಸಾಂಸ್ಕೃತಿಕ ವೈವಿಧ್ಯತೆಯನ್ನು ಆಚರಿಸುತ್ತೇವೆ.
divorce	ವಿಚ್ಛೇದನ	ವಿಚ್ಛೇದನವು ಎಲ್ಲರಿಗೂ ಕಷ್ಟಕರವಾಗಿತ್ತು.
dominant	ಪ್ರಬಲ	ಪ್ರಬಲ ತಂಡವು ಆಟವನ್ನು ನಿಯಂತ್ರಿಸಿತು.
donation	ದೇಣಿಗೆ	ದತ್ತಿ ಸಂಸ್ಥೆಯು ದೇಣಿಗೆಯನ್ನು ಪಡೆಯಿತು.
dot	ಚುಕ್ಕೆ	ಸಂಖ್ಯೆಯ ನಂತರ ಚುಕ್ಕೆಯನ್ನು ಇರಿಸಿ.
downtown	ನಗರ ಕೇಂದ್ರ	ನಾವು ಕೆಲಸದ ನಂತರ ನಗರ ಕೇಂದ್ರದಲ್ಲಿ ಭೇಟಿಯಾದೆವು.
dramatically	ನಾಟಕೀಯವಾಗಿ	ಬೆಲೆ ನಾಟಕೀಯವಾಗಿ ಕುಸಿಯಿತು.
drought	ಬರಗಾಲ	ಬರಗಾಲವು ಬೆಳೆಗಳಿಗೆ ಹಾನಿ ಮಾಡಿತು.
dull	ಮಂದ	ಉಪನ್ಯಾಸವು ನೀರಸವಾಗಿತ್ತು.
dump	ಎಸೆ	ಇಲ್ಲಿ ಕಸವನ್ನು ಸುರಿಯಬೇಡಿ.
duration	ಅವಧಿ	ವಿಮಾನದ ಅವಧಿ ಮೂರು ಗಂಟೆಗಳು.
dynamic	ಕ್ರಿಯಾತ್ಮಕ	ತರಗತಿಯು ಕ್ರಿಯಾಶೀಲವಾಗಿತ್ತು.
economics	ಅರ್ಥಶಾಸ್ತ್ರ	ಅವಳು ವಿಶ್ವವಿದ್ಯಾಲಯದಲ್ಲಿ ಅರ್ಥಶಾಸ್ತ್ರವನ್ನು ಓದುತ್ತಾಳೆ.
economist	ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞ	ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞರು ನಿಧಾನಗತಿಯ ಬೆಳವಣಿಗೆಯನ್ನು ಊಹಿಸಿದರು.
editorial	ಸಂಪಾದಕೀಯ	ಸಂಪಾದಕೀಯವು ಕಾನೂನನ್ನು ಟೀಕಿಸಿತು.
efficiently	ಸಮರ್ಥವಾಗಿ	ತಂಡವು ಸಮರ್ಥವಾಗಿ ಕೆಲಸ ಮಾಡಿತು.
elbow	ಮೊಣಕೈ	ಅವನ ಮೊಣಕೈಗೆ ಪೆಟ್ಟಾಗಿದೆ.
electronics	ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್	ಆ ಅಂಗಡಿಯು ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್ ಅನ್ನು ಮಾರಾಟ ಮಾಡುತ್ತದೆ.
elegant	ಸೊಗಸಾದ	ಆ ಉಡುಗೆ ಸೊಗಸಾಗಿ ಕಾಣುತಿತ್ತು.
elementary	ಪ್ರಾಥಮಿಕ	ಆ ಪುಸ್ತಕವು ಪ್ರಾಥಮಿಕ ವ್ಯಾಕರಣವನ್ನು ವಿವರಿಸುತ್ತದೆ.
eliminate	ತೊಡೆದುಹಾಕು	ತಂಡವು ಅನೇಕ ತಪ್ಪುಗಳನ್ನು ತೆಗೆದುಹಾಕಿತು.
embrace	ಅಪ್ಪಿಕೊ	ಅವಳು ಹೊಸ ಉಪಾಯವನ್ನು ಸ್ವೀಕರಿಸಿದಳು.
emission	ಹೊರಸೂಸುವಿಕೆ	ಕಾರಿನ ಹೊರಸೂಸುವಿಕೆಯ ಮಟ್ಟವು ಕುಸಿಯಿತು.
emotionally	ಭಾವನಾತ್ಮಕವಾಗಿ	ಅವನು ತನ್ನ ಕುಟುಂಬದ ಬಗ್ಗೆ ಭಾವನಾತ್ಮಕವಾಗಿ ಮಾತನಾಡಿದನು.
empire	ಸಾಮ್ರಾಜ್ಯ	ಆ ಸಾಮ್ರಾಜ್ಯವು ಶತಮಾನಗಳ ಕಾಲ ಇತ್ತು.
enjoyable	ಆನಂದದಾಯಕ	ಆ ಪ್ರವಾಸವು ಆನಂದದಾಯಕವಾಗಿತ್ತು.
entertaining	ಮನರಂಜನಾತ್ಮಕ	ಆ ಪ್ರದರ್ಶನವು ಮನರಂಜನೆಯಾಗಿತ್ತು.
entrepreneur	ಉದ್ಯಮಿ	ಆ ಉದ್ಯಮಿಯು ಕೆಫೆಯನ್ನು ತೆರೆದರು.
envelope	ಲಕೋಟೆ	ಪತ್ರವನ್ನು ಲಕೋಟೆಯಲ್ಲಿ ಇಡಿ.
equip	ಸಜ್ಜುಗೊಳಿಸು	ಶಾಲೆಯು ಲ್ಯಾಬ್ ಅನ್ನು ಸಜ್ಜುಗೊಳಿಸುತ್ತದೆ.
equivalent	ಸಮಾನವಾದದ್ದು	ಒಂದು ಡಾಲರ್ ಇಲ್ಲಿ ಸಮಾನವಾಗಿಲ್ಲ.
era	ಯುಗ	ಆ ಆವಿಷ್ಕಾರವು ಹೊಸ ಯುಗವನ್ನು ಪ್ರಾರಂಭಿಸಿತು.
erupt	ಸ್ಫೋಟಿಸು	ಜ್ವಾಲಾಮುಖಿಯು ಶೀಘ್ರದಲ್ಲೇ ಸ್ಫೋಟಗೊಳ್ಳಬಹುದು.
essentially	ಮೂಲತಃ	ಆ ಎರಡು ವಿಧಾನಗಳು ಮೂಲಭೂತವಾಗಿ ಒಂದೇ ಆಗಿವೆ.
ethic	ನೈತಿಕತೆ	ಅವನ ಕೆಲಸದ ನೈತಿಕತೆಯು ಪ್ರಬಲವಾಗಿದೆ.
ethnic	ಜನಾಂಗೀಯ	ಹಬ್ಬವು ಜನಾಂಗೀಯ ಸಂಪ್ರದಾಯಗಳನ್ನು ಆಚರಿಸುತ್ತದೆ.
evaluation	ಮೌಲ್ಯಮಾಪನ	ಕೋರ್ಸ್ ಅಂತಿಮ ಮೌಲ್ಯಮಾಪನವನ್ನು ಒಳಗೊಂಡಿದೆ.
evident	ಸ್ಪಷ್ಟ	ಅವನ ಆತಂಕವು ಸ್ಪಷ್ಟವಾಗಿತ್ತು.
evolution	ವಿಕಾಸ	ವಿಕಾಸವು ಅನೇಕ ಜೈವಿಕ ಬದಲಾವಣೆಗಳನ್ನು ವಿವರಿಸುತ್ತದೆ.
evolve	ವಿಕಸನಗೊಳ್ಳು	ಭಾಷೆಗಳು ಕಾಲಕ್ರಮೇಣ ವಿಕಸನಗೊಳ್ಳುತ್ತವೆ.
exceed	ಮೀರು	ಬೇಡಿಕೆಯು ಪೂರೈಕೆಯನ್ನು ಮೀರಬಹುದು.
exception	ವಿನಾಯಿತಿ	ಒಂದು ವಿನಾಯಿತಿ ಇದೆ.
excessive	ಅತಿಯಾದ	ಅತಿಯಾದ ಶಬ್ದವು ನೆರೆಹೊರೆಯವರಿಗೆ ತೊಂದರೆ ನೀಡುತ್ತದೆ.
exclude	ಹೊರಗಿಡು	ಪಟ್ಟಿಯು ತಾತ್ಕಾಲಿಕ ಕಾರ್ಮಿಕರನ್ನು ಹೊರತುಪಡಿಸುತ್ತದೆ.
exhibit	ಪ್ರದರ್ಶನ	ವಸ್ತುಸಂಗ್ರಹಾಲಯವು ಅಪರೂಪದ ಛಾಯಾಚಿತ್ರಗಳನ್ನು ಪ್ರದರ್ಶಿಸುತ್ತದೆ.
exit	ನಿರ್ಗಮನ	ನಿರ್ಗಮನವು ವೇದಿಕೆಯ ಹಿಂದಿದೆ.
exotic	ವಿಲಕ್ಷಣ	ಆ ಅಂಗಡಿಯು ಅಪರೂಪದ ಹಣ್ಣುಗಳನ್ನು ಮಾರಾಟ ಮಾಡುತ್ತದೆ.
expansion	ವಿಸ್ತರಣೆ	ಕಂಪನಿಯು ವಿಸ್ತರಣೆಗೆ ಯೋಜಿಸಿದೆ.
expertise	ಪರಿಣತಿ	ಅವಳ ಪರಿಣತಿಯು ಯೋಜನೆಯನ್ನು ಸುಧಾರಿಸಿತು.
exploit	ಶೋಷಿಸು	ಅಪರಾಧಿಗಳು ದುರ್ಬಲ ಪಾಸ್‌ವರ್ಡ್‌ಗಳನ್ನು ದುರ್ಬಳಕೆ ಮಾಡುತ್ತಾರೆ.
exposure	ಒಡ್ಡುವಿಕೆ	ಸೂರ್ಯನಿಗೆ ಒಡ್ಡಿಕೊಳ್ಳುವುದರಿಂದ ಚರ್ಮಕ್ಕೆ ಹಾನಿಯಾಗಬಹುದು.
extension	ವಿಸ್ತರಣೆ	ಗಡುವಿನ ವಿಸ್ತರಣೆಯು ಎಲ್ಲರಿಗೂ ಸಹಾಯ ಮಾಡಿತು.
extensive	ವ್ಯಾಪಕ	ಗ್ರಂಥಾಲಯವು ವ್ಯಾಪಕವಾದ ಸಂಪನ್ಮೂಲಗಳನ್ನು ಹೊಂದಿದೆ.
extensively	ವ್ಯಾಪಕವಾಗಿ	ವಿಷಯವನ್ನು ವ್ಯಾಪಕವಾಗಿ ಅಧ್ಯಯನ ಮಾಡಲಾಗಿದೆ.
extract	ಸಾರ	ವೆನಿಲ್ಲಾ ಸಾರವು ಪರಿಮಳವನ್ನು ನೀಡುತ್ತದೆ.
fabric	ಬಟ್ಟೆ	ಬಟ್ಟೆಯು ಮೃದುವಾಗಿರುತ್ತದೆ.
fabulous	ಅದ್ಭುತ	ಊಟವು ಅಸಾಧಾರಣವಾಗಿತ್ತು.
failed	ವಿಫಲವಾದ	ವಿಫಲವಾದ ಪ್ರಯತ್ನವು ನಮಗೆ ಏನನ್ನಾದರೂ ಕಲಿಸಿತು.
fake	ನಕಲಿ	ಆ ವೆಬ್‌ಸೈಟ್ ನಕಲಿ ಟಿಕೆಟ್‌ಗಳನ್ನು ಮಾರಾಟ ಮಾಡಿದೆ.
fame	ಖ್ಯಾತಿ	ಖ್ಯಾತಿಯು ಅವನ ಖಾಸಗಿ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿತು.
fantasy	ಕಲ್ಪನೆ	ಕಾದಂಬರಿಯು ಒಂದು ಕಲ್ಪನೆಯಾಗಿದೆ.
fare	ಪ್ರಯಾಣ ದರ	ಬಸ್ ದರ ಹೆಚ್ಚಾಗಿದೆ.
federal	ಫೆಡರಲ್	ಫೆಡರಲ್ ಸರ್ಕಾರವು ಹಣವನ್ನು ಪ್ರಕಟಿಸಿತು.
fever	ಜ್ವರ	ಮಗುವಿಗೆ ಜ್ವರವಿದೆ.
firefighter	ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ	ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ ನಾಯಿಯನ್ನು ರಕ್ಷಿಸಿದನು.
firework	ಪಟಾಕಿ	ಉದ್ಯಾನವನದ ಮೇಲೆ ಪಟಾಕಿಯೊಂದು ಸಿಡಿಯಿತು.
firm	ದೃಢವಾದ	ಹಾಸಿಗೆಯು ದೃಢವಾಗಿದೆ.
firmly	ದೃಢವಾಗಿ	ಅವಳು ಬಾಗಿಲನ್ನು ಗಟ್ಟಿಯಾಗಿ ಮುಚ್ಚಿದಳು.
flavour	ರುಚಿ	ಸೂಪ್ ಉತ್ತಮ ರುಚಿಯನ್ನು ಹೊಂದಿದೆ.
fond	ಪ್ರೀತಿಯ	ಅವನಿಗೆ ಜಾಝ್ ಸಂಗೀತವೆಂದರೆ ಇಷ್ಟ.
fool	ಮೂರ್ಖ	ಮೂರ್ಖನಂತೆ ವರ್ತಿಸಬೇಡ.
forbid	ನಿಷೇಧಿಸು	ಇಲ್ಲಿ ಧೂಮಪಾನ ಮಾಡುವುದನ್ನು ಕಾನೂನು ನಿಷೇಧಿಸುತ್ತದೆ.
forecast	ಮುನ್ಸೂಚನೆ	ಮುನ್ಸೂಚನೆಯು ಮಳೆಯನ್ನು ಊಹಿಸುತ್ತದೆ.
format	ಸ್ವರೂಪ	ಸರಿಯಾದ ಫೈಲ್ ಫಾರ್ಮ್ಯಾಟ್ ಬಳಸಿ.
formation	ರಚನೆ	ಮೋಡಗಳ ರಚನೆಯು ವೇಗವಾಗಿ ಬದಲಾಗುತ್ತದೆ.
formerly	ಹಿಂದೆ	ಈ ಕಟ್ಟಡವು ಹಿಂದೆ ಶಾಲೆಯಾಗಿತ್ತು.
fortunate	ಅದೃಷ್ಟಶಾಲಿ	ಬೇಗ ತಲುಪಿದ್ದು ನಮ್ಮ ಅದೃಷ್ಟ.
forum	ವೇದಿಕೆ	ವೇದಿಕೆಯು ಹವಾಮಾನ ನೀತಿಯ ಬಗ್ಗೆ ಚರ್ಚಿಸಿತು.
fossil	ಪಳೆಯುಳಿಕೆ	ಕಲ್ಲಿನಲ್ಲಿ ಪಳೆಯುಳಿಕೆ ಕಂಡುಬಂದಿದೆ.
foundation	ಅಡಿಪಾಯ	ಮನೆಯು ಬಲವಾದ ಅಡಿಪಾಯವನ್ನು ಹೊಂದಿದೆ.
founder	ಸ್ಥಾಪಕ	ಸ್ಥಾಪಕರು ಅತಿಥಿಗಳನ್ನು ಸ್ವಾಗತಿಸಿದರು.
fraction	ಭಿನ್ನರಾಶಿ	ವಿದ್ಯಾರ್ಥಿಗಳ ಒಂದು ಸಣ್ಣ ಭಾಗ ಮಾತ್ರ ಬಂದರು.
fragment	ತುಣುಕು	ನೆಲದ ಮೇಲೆ ಗಾಜಿನ ತುಣುಕು ಬಿದ್ದಿತ್ತು.
framework	ಚೌಕಟ್ಟು	ಕಾನೂನು ಸ್ಪಷ್ಟವಾದ ಚೌಕಟ್ಟನ್ನು ಸೃಷ್ಟಿಸುತ್ತದೆ.
fraud	ವಂಚನೆ	ಬ್ಯಾಂಕ್ ವಂಚನೆಯನ್ನು ಪತ್ತೆಹಚ್ಚಿದೆ.
freely	ಮುಕ್ತವಾಗಿ	ಮಕ್ಕಳು ಹೊರಗೆ ಮುಕ್ತವಾಗಿ ಆಡಿದರು.
frequent	ಆಗಾಗ್ಗೆ	ಆಗಾಗ್ಗೆ ತೆಗೆದುಕೊಳ್ಳುವ ವಿರಾಮಗಳು ಏಕಾಗ್ರತೆಯನ್ನು ಹೆಚ್ಚಿಸುತ್ತವೆ.
fulfil	ಪೂರೈಸು	ನನ್ನ ಭರವಸೆಯನ್ನು ಈಡೇರಿಸುತ್ತೇನೆಂದು ಭಾವಿಸುತ್ತೇನೆ.
full-time	ಪೂರ್ಣಾವಧಿ	ಅವಳು ಪೂರ್ಣಾವಧಿ ಉದ್ಯೋಗವನ್ನು ಹೊಂದಿದ್ದಾಳೆ.
fundamentally	ಮೂಲಭೂತವಾಗಿ	ಯೋಜನೆಯು ಮೂಲಭೂತವಾಗಿ ಭಿನ್ನವಾಗಿದೆ.
furious	ಕೋಪಗೊಂಡ	ವಿಳಂಬದ ಬಗ್ಗೆ ಅವನು ತುಂಬಾ ಕೋಪಗೊಂಡಿದ್ದನು.
gaming	ಗೇಮಿಂಗ್	ಗೇಮಿಂಗ್ ಪ್ರತಿಕ್ರಿಯೆಯ ವೇಗವನ್ನು ಸುಧಾರಿಸಬಹುದು.
gay	ಸಲಿಂಗಕಾಮಿ	ಅವನು ಸಲಿಂಗಕಾಮಿಗಳ ಹಕ್ಕುಗಳನ್ನು ಬೆಂಬಲಿಸುತ್ತಾನೆ.
gender	ಲಿಂಗ	ಸಮೀಕ್ಷೆಯಲ್ಲಿ ಲಿಂಗದ ಬಗ್ಗೆ ಕೇಳಲಾಗಿದೆ.
gene	ಜೀನ್	ವಂಶವಾಹಿಯು ಕಣ್ಣಿನ ಬಣ್ಣವನ್ನು ನಿರ್ಧರಿಸುತ್ತದೆ.
genetic	ಆನುವಂಶಿಕ	ರೋಗವು ಆನುವಂಶಿಕ ಕಾರಣಗಳನ್ನು ಹೊಂದಿದೆ.
genius	ಪ್ರತಿಭಾನ್ವಿತ	ಆ ಯುವ ಪಿಯಾನೋ ವಾದಕ ಒಬ್ಬ ಮೇಧಾವಿ.
genuine	ಅಸಲಿ	ಅವಳ ನಗು ನೈಜವಾಗಿ ಕಂಡಿತು.
genuinely	ನಿಜವಾಗಿಯೂ	ಅವನು ಪ್ರಾಮಾಣಿಕವಾಗಿ ಸಹಾಯ ಮಾಡಲು ಬಯಸಿದ್ದನು.
gesture	ಸೂಚನೆ	ಅವಳು ಸ್ನೇಹಪರ ಸನ್ನೆ ಮಾಡಿದಳು.
gig	ಗಿಗ್	ಆ ಬ್ಯಾಂಡ್ ಡೌನ್‌ಟೌನ್‌ನಲ್ಲಿ ಪ್ರದರ್ಶನ ನೀಡಿತು.
globalization	ಜಾಗತೀಕರಣ	ಜಾಗತೀಕರಣವು ಸ್ಥಳೀಯ ವ್ಯವಹಾರಗಳ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರುತ್ತದೆ.
globe	ಭೂಗೋಳ	ಭೂಗೋಳವು ಪ್ರತಿಯೊಂದು ಖಂಡವನ್ನು ತೋರಿಸುತ್ತದೆ.
golden	ಸುವರ್ಣ	ಸೂರ್ಯಾಸ್ತವು ಚಿನ್ನದ ಬಣ್ಣಕ್ಕೆ ತಿರುಗಿತು.
goodness	ಒಳ್ಳೆಯತನ	ಅವಳು ಮಾನವನ ಒಳ್ಳೆಯತನವನ್ನು ನಂಬುತ್ತಾಳೆ.
gorgeous	ಸುಂದರ	ತೋಟವು ತುಂಬಾ ಸುಂದರವಾಗಿ ಕಾಣುತ್ತಿತ್ತು.
governor	ರಾಜ್ಯಪಾಲ	ರಾಜ್ಯಪಾಲರು ಮಸೂದೆಗೆ ಸಹಿ ಹಾಕಿದರು.
graphic	ಗ್ರಾಫಿಕ್	ಆ ಗ್ರಾಫಿಕ್ ಚಿತ್ರವು ವೀಕ್ಷಕರನ್ನು ಬೆರಗುಗೊಳಿಸಿತು.
graphics	ಗ್ರಾಫಿಕ್ಸ್	ಆಟವು ಸರಳವಾದ ಗ್ರಾಫಿಕ್ಸ್ ಅನ್ನು ಹೊಂದಿದೆ.
greatly	ಬಹಳವಾಗಿ	ನಿಮ್ಮ ಸಲಹೆಯು ಬಹಳವಾಗಿ ಸಹಾಯ ಮಾಡಿತು.
greenhouse	ಹಸಿರುಮನೆ	ಟೊಮೆಟೊಗಳು ಹಸಿರುಮನೆಯ ಒಳಗೆ ಬೆಳೆಯುತ್ತವೆ.
grocery	ದಿನಸಿ	ಕೆಲಸದ ನಂತರ ಅವಳು ದಿನಸಿ ವಸ್ತುಗಳನ್ನು ಖರೀದಿಸಿದಳು.
guideline	ಮಾರ್ಗಸೂಚಿ	ಮಾರ್ಗಸೂಚಿಯು ಸುರಕ್ಷಿತ ಅಭ್ಯಾಸವನ್ನು ವಿವರಿಸುತ್ತದೆ.
habitat	ಆವಾಸಸ್ಥಾನ	ಕಾಡು ಪಕ್ಷಿಗಳಿಗೆ ಒಂದು ಆವಾಸಸ್ಥಾನವಾಗಿದೆ.
harbour	ಬಂದರು	ದೋಣಿಯು ಬಂದರನ್ನು ಪ್ರವೇಶಿಸಿತು.
headquarters	ಪ್ರಧಾನ ಕಚೇರಿ	ಕಂಪನಿಯ ಪ್ರಧಾನ ಕಚೇರಿಯು ಡೌನ್‌ಟೌನ್‌ಗೆ ಸ್ಥಳಾಂತರಗೊಂಡಿತು.
