simplified	KO	example_KO
捡	줍다	그는 땅에서 지갑을 주웠어요.
简历	이력서	구직하기 전에 이력서를 준비하세요.
简直	그야말로; 정말	이 소식은 정말 충격적이에요.
健身	운동하다; 몸을 단련하다	그는 일주일에 세 번 운동하러 가요.
建立	세우다; 수립하다	우리는 새로운 관계를 맺었어요.
建设	건설하다; 건설	도시 건설이 빠르게 발전하고 있어요.
建筑	건축물; 건축하다	이 건축물은 특징이 뚜렷해요.
键盘	키보드	내 키보드는 청소가 필요해요.
讲究	중시하다; 세련되다	중국 사람들은 음식에 매우 신경을 써요.
讲座	강좌; 특강	오늘 밤 중국어 강좌가 있어요.
酱油	간장	요리에 간장을 조금 넣으세요.
交换	교환하다	우리는 전화번호를 교환했어요.
交际	교제; 사교	언어를 배울 때는 교제 연습도 해야 해요.
交往	교제하다; 사귀다	그들은 이 년 동안 사귀었어요.
浇	물을 주다; 붓다	매일 꽃에 물을 주세요.
胶水	풀; 접착제	나는 풀로 사진을 붙였어요.
狡猾	교활하다	그 여우는 매우 교활해요.
角度	각도; 관점	다른 각도에서 문제를 봅시다.
教材	교재	이 교재는 매우 실용적이에요.
教练	코치; 훈련사	코치는 우리가 제시간에 도착하기를 요구해요.
教训	교훈	이번 실패는 교훈이에요.
接触	접촉하다; 접하다	이것은 내가 중국 문화를 처음 접한 일이에요.
接待	접대하다; 맞이하다	회사는 손님을 맞이할 사람을 배정했어요.
接近	가까워지다	춘절이 점점 가까워지고 있어요.
结实	튼튼하다	이 여행 가방은 매우 튼튼해요.
阶段	단계	학습은 세 단계로 나뉘어요.
结构	구조	이 글의 구조는 명확해요.
结合	결합하다	학습은 실천과 결합되어야 해요.
结论	결론	그의 결론은 매우 설득력이 있어요.
结账	계산하다	식사 후에 우리는 계산하러 갔어요.
节省	절약하다	지하철을 타면 시간을 절약할 수 있어요.
借口	핑계	핑계를 대지 마세요.
届	회; 기	이번은 세 번째 경기예요.
戒	끊다; 경계하다	의사가 그에게 담배를 끊으라고 권했어요.
戒指	반지	그녀는 반지를 끼고 있어요.
金属	금속	철은 금속의 한 종류예요.
尽快	가능한 한 빨리	가능한 한 빨리 이메일에 답장해 주세요.
紧急	긴급하다	이것은 긴급 상황이에요.
谨慎	신중하다	투자하기 전에 신중해야 해요.
尽力	최선을 다하다	나는 당신을 돕기 위해 최선을 다할게요.
尽量	되도록; 최대한	되도록 일찍 도착해 주세요.
近代	근대	근대 중국은 많은 변화를 겪었어요.
进步	진보; 발전하다	그의 중국어는 빠르게 늘고 있어요.
进口	수입하다; 수입품	이 차는 수입차예요.
精力	에너지; 정력	아이들은 에너지가 넘쳐요.
精神	정신; 기운	그는 오늘 기운이 좋아요.
经典	고전; 명작	이것은 고전 영화예요.
经商	장사하다; 사업하다	그의 아버지는 해외에서 사업을 해요.
经营	경영하다; 운영하다	그녀는 작은 가게를 운영해요.
酒吧	술집; 바	그들은 저녁에 바에 갔어요.
救	구하다	의사가 그의 목숨을 구했어요.
救护车	구급차	구급차가 빨리 도착했어요.
舅舅	외삼촌	외삼촌은 난징에 살아요.
居然	뜻밖에도; 의외로	그는 뜻밖에도 자기 생일을 잊었어요.
桔子	귤	탁자 위에 귤이 몇 개 있어요.
俱乐部	클럽; 동아리	그녀는 수영 클럽에 가입했어요.
具备	갖추다	그는 관리 경험을 갖추고 있어요.
具体	구체적이다	좀 더 구체적으로 말해 주세요.
巨大	거대하다	이 프로젝트에는 거대한 투자가 필요해요.
据说	듣자 하니	듣자 하니 그는 이미 귀국했대요.
捐	기부하다	모두가 돈을 기부하려고 해요.
决赛	결승전	내일은 축구 결승전이에요.
决心	결심	그는 중국어를 잘 배우기로 결심했어요.
绝对	절대로; 절대적인	이 일은 절대로 잊으면 안 돼요.
角色	역할; 배역	그녀는 영화에서 중요한 역할을 맡아요.
军事	군사	그는 군사 역사에 매우 관심이 있어요.
均匀	고르다; 균일하다	색을 고르게 칠해 주세요.
卡车	트럭	입구에 트럭 한 대가 서 있어요.
开发	개발하다	회사는 새 제품을 개발하고 있어요.
开放	개방하다; 열다	공원은 매일 아침 여섯 시에 열어요.
开幕式	개막식	개막식은 내일 저녁에 열릴 거예요.
开水	끓인 물	끓인 물 한 컵 주세요.
砍	베다; 자르다	작업자가 나뭇가지를 자르고 있어요.
看不起	깔보다; 업신여기다	누구도 깔보지 마세요.
看望	방문하다; 찾아뵙다	이번 주말에 조부모님을 찾아뵐 거예요.
靠	기대다	그는 벽에 기대어 쉬었어요.
颗	알; 개	밤하늘에 별 하나가 있어요.
可见	알 수 있다	이 방법이 효과적이라는 것을 알 수 있어요.
可靠	믿을 만하다	그는 믿을 만한 친구예요.
可怕	무섭다	이 꿈은 너무 무서웠어요.
克	그램	소금 두 그램을 넣어 주세요.
克服	극복하다	우리는 어려움을 극복해야 해요.
刻苦	열심히 하다; 근면하다	그는 공부를 매우 열심히 해요.
客观	객관적이다	문제를 객관적으로 분석해 주세요.
课程	과정; 수업	이 과정은 매우 유용해요.
空间	공간	이 방은 공간이 넓어요.
控制	통제하다; 조절하다	운전자가 차의 속도를 조절했어요.
空闲	한가하다; 여가	내일 오후에 시간이 있어요?
口味	입맛; 맛	그의 입맛은 비교적 담백해요.
夸	칭찬하다; 과장하다	선생님은 그가 크게 발전했다고 칭찬했어요.
夸张	과장하다	그의 표정은 조금 과장되었어요.
会计	회계; 회계사	그녀는 회사에서 회계사로 일해요.
宽	넓다	이 길은 매우 넓어요.
昆虫	곤충	아이들이 곤충을 관찰하고 있어요.
扩大	확대하다	학교는 도서관을 확장할 계획이에요.
辣椒	고추	요리에 고추가 많이 들어갔어요.
拦	막다; 가로막다	경찰이 차 한 대를 세웠어요.
烂	썩다; 푹 익다	이 사과는 이미 썩었어요.
朗读	낭독하다	본문을 소리 내어 읽어 주세요.
劳动	노동	노동은 사람에게 보람을 느끼게 해요.
劳驾	실례합니다	실례합니다, 지하철역이 어디예요?
姥姥	외할머니	외할머니는 요리를 아주 잘하세요.
老百姓	서민; 일반 사람들	서민들은 생활비에 관심이 많아요.
老板	사장	사장님은 오늘 사무실에 없어요.
老婆	아내	그는 아내에게 꽃을 사 주었어요.
老实	정직하다	그는 정직한 사람이에요.
老鼠	쥐	부엌에 쥐가 한 마리 있어요.
乐观	낙관적이다	그녀는 미래에 대해 낙관적이에요.
雷	천둥	어젯밤 천둥소리가 매우 컸어요.
类型	유형; 종류	이 영화는 어떤 유형에 속해요?
冷淡	냉담하다	그의 태도는 조금 냉담해요.
厘米	센티미터	이 펜은 길이가 십오 센티미터예요.
梨	배	나는 배를 몇 개 샀어요.
离婚	이혼하다	그들은 작년에 이혼했어요.
理论	이론	이 이론은 매우 복잡해요.
理由	이유	늦은 이유가 뭐예요?
利润	이윤; 수익	올해 회사의 이윤이 늘었어요.
利息	이자	은행 이자는 높지 않아요.
利益	이익	우리는 모두의 이익을 보호해야 해요.
利用	이용하다	그는 주말을 이용해 중국어를 공부해요.
力量	힘	단결은 힘이에요.
立即	즉시	즉시 이곳을 떠나 주세요.
立刻	곧바로; 즉시	소식을 듣고 그는 곧바로 출발했어요.
联合	연합하다; 공동으로	두 회사가 공동으로 제품을 개발했어요.
连忙	급히; 얼른	전화가 울리자 그는 얼른 받았어요.
连续	연속으로	그는 연속으로 열 시간 일했어요.
恋爱	연애하다	그들은 연애 중이에요.
粮食	식량; 곡물	올해 곡물 생산량이 늘었어요.
良好	양호하다; 좋다	그는 좋은 공부 습관을 가지고 있어요.
亮	밝다	방 안의 불빛이 매우 밝아요.
了不起	대단하다	그녀는 대단한 성과를 거두었어요.
列车	열차	열차가 곧 출발합니다.
临时	임시의	이것은 임시 결정이에요.
灵活	유연하다	공부 방법은 유연해야 해요.
铃	종; 벨	수업 종이 울렸어요.
零件	부품	기계에 부품 하나가 빠졌어요.
零食	간식	아이들은 간식 먹는 것을 좋아해요.
领导	지도자; 이끌다	지도자는 회의 중이에요.
领域	분야	그녀는 교육 분야에서 일해요.
流传	전해지다; 퍼지다	이 이야기는 오랫동안 전해졌어요.
流泪	눈물을 흘리다	이 소식을 듣고 그녀는 눈물을 흘렸어요.
浏览	둘러보다; 훑어보다	먼저 웹페이지를 훑어볼게요.
龙	용	중국 문화에는 용이 있어요.
漏	새다; 빠뜨리다	지붕에서 비가 새요.
录取	합격시키다; 입학시키다	그는 그 대학에 합격했어요.
录音	녹음하다	녹음을 시작해 주세요.
陆地	육지	바다거북이 육지로 올라왔어요.
陆续	잇따라	손님들이 잇따라 도착했어요.
轮流	번갈아 하다	우리는 번갈아 교실을 청소해요.
论文	논문	그녀는 졸업 논문을 쓰고 있어요.
逻辑	논리	그의 논리는 매우 명확해요.
落后	뒤처지다	우리는 남에게 뒤처질 수 없어요.
骂	꾸짖다; 욕하다	아이를 꾸짖지 마세요.
麦克风	마이크	마이크를 그에게 건네 주세요.
馒头	찐빵	나는 아침에 찐빵을 먹었어요.
满足	만족시키다; 충족하다	이 답은 요구를 충족하지 못해요.
毛病	문제; 결함	이 컴퓨터에는 작은 문제가 있어요.
矛盾	모순; 갈등	그들 사이에는 갈등이 좀 있어요.
冒险	모험하다	혼자 그곳에 가는 것은 너무 위험해요.
贸易	무역	국제 무역이 빠르게 발전하고 있어요.
媒体	매체; 미디어	매체가 이 일을 보도했어요.
煤炭	석탄	이 지역은 석탄을 생산해요.
眉毛	눈썹	그녀의 눈썹은 짙어요.
美术	미술	여동생은 미술을 좋아해요.
魅力	매력	이 도시는 매력이 많아요.
梦想	꿈	그의 꿈은 의사가 되는 거예요.
密切	밀접하다	우리는 밀접한 연락을 유지해요.
秘密	비밀	이것은 우리의 비밀이에요.
秘书	비서	비서가 회의 시간을 정했어요.
蜜蜂	벌; 꿀벌	꽃 사이에 벌이 많이 있어요.
面对	마주하다; 직면하다	우리는 어려움을 용감하게 마주해야 해요.
面积	면적	이 방의 면적은 크지 않아요.
面临	직면하다	회사는 새로운 도전에 직면해 있어요.
描写	묘사하다	작가는 농촌 생활을 묘사했어요.
苗条	날씬하다	그녀는 몸매가 날씬해요.
敏感	민감하다	이 화제는 비교적 민감해요.
名牌	유명 상표	그는 유명 상표의 시계를 샀어요.
名片	명함	명함을 한 장 주세요.
名胜古迹	명승고적	베이징에는 명승고적이 많아요.
明确	명확하다; 분명히 하다	선생님이 요구 사항을 명확히 설명했어요.
明显	분명하다; 뚜렷하다	그의 발전은 분명해요.
明星	스타; 연예인	그녀는 영화배우가 되고 싶어 해요.
命令	명령	군인은 명령에 복종해야 해요.
命运	운명	그는 운명을 바꿀 수 있다고 믿어요.
摸	만지다	이 그림을 만지지 마세요.
摩托车	오토바이	그는 오토바이를 타고 출근해요.
模仿	모방하다	아이들은 어른의 말을 모방하기 좋아해요.
模糊	흐릿하다; 모호하다	이 사진은 조금 흐릿해요.
模特	모델	그녀는 패션 모델이에요.
陌生	낯설다	이 도시는 나에게 매우 낯설어요.
某	어떤	어떤 선생님이 나에게 전화했어요.
木头	나무; 목재	이 탁자는 나무로 만들었어요.
目标	목표	내 목표는 시험에 합격하는 거예요.
目录	목차	먼저 책 앞의 목차를 보세요.
目前	현재	현재 상황은 비교적 안정적이에요.
哪怕	설령	설령 바빠도 그는 계속 공부해요.
难怪	어쩐지	어쩐지 오늘 그렇게 기뻐 보이더라니요.
难免	피하기 어렵다	처음 할 때는 실수를 피하기 어려워요.
脑袋	머리	그는 머리가 조금 아파요.
内部	내부	이것은 회사 내부 자료예요.
内科	내과	그는 오늘 내과 진료를 보러 가요.
嫩	부드럽다; 연하다	이 고기는 매우 부드러워요.
能干	유능하다	그녀는 매우 유능한 사람이에요.
能源	에너지	태양 에너지는 깨끗한 에너지의 한 종류예요.
嗯	응; 네	응, 이해했어요.
年代	시대; 연대	이 사진은 팔십년대에 찍은 것이에요.
年纪	나이	그는 나이가 많지 않지만 경험이 많아요.
念	읽다; 그리워하다	본문을 한 번 소리 내어 읽어 주세요.
宁可	차라리	버스를 기다리느니 차라리 걸어가겠어요.
牛仔裤	청바지	그는 청바지를 입고 있어요.
农村	농촌	그녀는 농촌에서 자랐어요.
农民	농민	농민들이 밭에서 일하고 있어요.
农业	농업	농업은 이 지역에 매우 중요해요.
浓	진하다	이 커피는 너무 진해요.
女士	여성; 부인	그 여성은 버스를 기다리고 있어요.
欧洲	유럽	그는 다음 달에 유럽으로 여행을 가요.
偶然	우연히	나는 우연히 옛 동창을 만났어요.
拍	찍다; 치다	사진을 찍는 것을 도와주세요.
派	파견하다; 파	회사는 그를 상하이에 출장 보냈어요.
盼望	기대하다; 바라다	곧 당신을 만나기를 기대해요.
培训	훈련; 교육	신입 직원은 교육에 참가해야 해요.
培养	기르다; 양성하다	학교는 학생들의 능력을 기르는 것을 중시해요.
赔偿	배상하다	회사는 손실을 배상하기로 동의했어요.
佩服	감탄하다; 존경하다	나는 그의 용기에 정말 감탄해요.
配合	협조하다	선생님의 지시에 협조해 주세요.
盆	화분; 대야	발코니에 꽃 화분이 하나 있어요.
碰	부딪치다; 만지다	조심하세요, 뜨거운 물을 만지지 마세요.
批	묶음; 차례	이 물건 한 묶음이 오늘 도착했어요.
批准	승인하다	매니저가 이 계획을 승인했어요.
披	걸치다	그녀는 외투를 어깨에 걸치고 있어요.
疲劳	피로하다	오랫동안 일하면 피곤해질 수 있어요.
匹	필; 마리	풀밭에 말 한 마리가 있어요.
片	조각; 장	빵 한 조각을 주세요.
片面	일방적이다; 편파적이다	이 관점은 너무 일방적이에요.
飘	날리다; 떠다니다	눈송이가 공중에 날리고 있어요.
拼音	병음	한자 옆에 병음을 써 주세요.
频道	채널	뉴스 채널로 바꿔 주세요.
凭	의지하다; 근거로 하다	표가 있으면 들어갈 수 있어요.
平均	평균	평균적으로 한 사람당 십 위안을 썼어요.
平	평평하다	이 길은 매우 평평해요.
平安	무사하다; 평안하다	여행길이 평안하기를 바랍니다.
平常	평소; 보통	그는 평소에 거의 늦지 않아요.
平等	평등하다	모든 사람은 평등하게 대우받아야 해요.
平方	제곱	이 방은 이십 제곱미터예요.
平衡	균형	일과 생활에는 균형이 필요해요.
平静	고요하다; 차분하다	호수 표면은 매우 고요해요.
评价	평가하다	선생님은 매우 높은 평가를 했어요.
破产	파산하다	그 회사는 작년에 파산했어요.
破坏	파괴하다; 손상하다	공공 재산을 훼손하지 마세요.
迫切	절실하다; 긴급하다	우리는 더 많은 의사가 절실히 필요해요.
期待	기대하다	나는 이번 여행을 기대하고 있어요.
期间	기간	회의 중에는 휴대폰을 꺼 주세요.
其余	나머지	나머지 문제는 내일 토론할 거예요.
奇迹	기적	의사는 이것이 기적이라고 말했어요.
企业	기업	이 기업은 빠르게 발전하고 있어요.
启发	영감을 주다; 깨우치다	이 책은 나에게 많은 영감을 주었어요.
气氛	분위기	교실 분위기는 매우 편안해요.
汽油	휘발유	차에는 휘발유가 필요해요.
签	서명하다	여기에 이름을 서명해 주세요.
谦虚	겸손하다	그는 뛰어나면서도 매우 겸손해요.
前途	전망; 장래	이 전공은 전망이 좋아요.
浅	얕다	이 강은 매우 얕아요.
欠	빚지다; 부족하다	그는 아직 나에게 이십 위안을 빚지고 있어요.
枪	총	경찰관이 총을 들고 있어요.
墙	벽	벽에 그림 한 점이 걸려 있어요.
强调	강조하다	선생님은 안전 문제를 강조했어요.
强烈	강렬하다; 강하다	그는 책임감이 강해요.
抢	빼앗다; 다투다	다른 사람과 자리를 다투지 마세요.
悄悄	조용히; 몰래	그녀는 조용히 방 안으로 들어갔어요.
瞧	보다	봐요, 밖에 눈이 와요.
巧妙	교묘하다; 영리하다	이 방법은 매우 영리해요.
切	자르다	과일을 작은 조각으로 잘라 주세요.
亲爱	사랑하는	사랑하는 친구여, 고마워요.
亲切	친절하다; 다정하다	선생님은 매우 다정하게 말씀하세요.
亲自	직접	매니저가 직접 손님을 맞이했어요.
勤奋	부지런하다; 근면하다	부지런한 사람은 성공하기 더 쉬워요.
清淡	담백하다	나는 담백한 음식을 좋아해요.
轻视	가볍게 보다; 얕보다	이 작은 문제를 얕보지 마세요.
轻易	쉽게	그는 쉽게 포기하지 않을 거예요.
青	푸르다; 청색	이 옷은 청록색이에요.
青春	청춘	청춘은 소중해요.
青少年	청소년	청소년에게는 충분한 수면이 필요해요.
情景	장면; 상황	영화 속 장면은 매우 감동적이에요.
情绪	감정	그의 감정은 그다지 안정적이지 않아요.
请求	요청하다; 부탁	그는 요청을 하나 했어요.
庆祝	축하하다	우리는 그의 생일을 축하했어요.
球迷	팬; 축구 팬	많은 팬들이 경기를 보러 왔어요.
趋势	추세	이 추세는 점점 더 뚜렷해지고 있어요.
取消	취소하다	비 때문에 행사가 취소되었어요.
娶	아내를 맞다; 장가가다	그는 내년에 그녀와 결혼할 계획이에요.
去世	세상을 떠나다	그의 할아버지는 작년에 세상을 떠나셨어요.
圈	동그라미; 원	정답에 동그라미를 치세요.
全面	전면적이다; 종합적이다	우리는 상황을 종합적으로 이해해야 해요.
权利	권리	모든 사람은 교육을 받을 권리가 있어요.
权力	권력	권력은 감독을 받아야 해요.
劝	권하다; 설득하다	친구가 나에게 일찍 쉬라고 권했어요.
缺乏	부족하다	이 지역은 깨끗한 물이 부족해요.
确定	확정하다; 분명하다	나는 아직 시간을 확정할 수 없어요.
确认	확인하다	주소를 확인해 주세요.
群	무리; 떼	아이들 한 무리가 운동장에서 놀고 있어요.
燃烧	타다; 연소하다	나무가 타고 있어요.
绕	돌다; 둘러가다	우리는 호수를 한 바퀴 돌았어요.
热爱	열렬히 사랑하다	그는 자기 일을 사랑해요.
热烈	열렬하다	모두가 손님을 열렬히 환영했어요.
热心	열심이다; 친절하다	이웃들은 모두 매우 친절해요.
人才	인재	회사는 더 많은 인재가 필요해요.
人口	인구	이 도시는 인구가 많아요.
人类	인류	인류는 지구를 보호해야 해요.
人民币	인민폐	나는 인민폐를 좀 환전했어요.
人生	인생	인생에는 많은 선택이 있어요.
人事	인사	그녀는 인사 부서에서 일해요.
人物	인물; 등장인물	소설 속 인물들이 매우 현실적으로 느껴져요.
人员	인원; 직원	직원들이 모두 도착했어요.
忍不住	참지 못하다	농담을 듣고 그는 웃음을 참지 못했어요.
日常	일상적인	이것은 내 일상 업무예요.
日程	일정	오늘 일정이 매우 빡빡해요.
日历	달력	벽에 달력이 걸려 있어요.
日期	날짜	날짜를 분명히 써 주세요.
日用品	생활용품	슈퍼마켓에서는 생활용품을 많이 팔아요.
日子	날; 생활	그는 요즘 매우 바빠요.
如何	어떻게	이 문제를 어떻게 해결해야 할까요?
如今	지금; 오늘날	요즘 교통은 훨씬 편리해요.
软	부드럽다	이 침대는 매우 부드러워요.
软件	소프트웨어	이 소프트웨어는 사용하기 쉬워요.
弱	약하다	그의 몸은 비교적 약해요.
洒	뿌리다; 쏟다	그는 실수로 물을 쏟았어요.
嗓子	목; 목소리	목이 조금 아파요.
色彩	색채; 색깔	이 그림은 색채가 풍부해요.
杀	죽이다	이 영화에는 살인 장면이 없어요.
沙漠	사막	사막에서 물은 매우 귀중해요.
沙滩	해변; 모래사장	아이들이 해변에서 놀고 있어요.
傻	어리석다; 바보 같다	어리석은 일을 하지 마세요.
晒	햇볕에 말리다; 볕을 쬐다	옷이 발코니에서 햇볕에 마르고 있어요.
删除	삭제하다	이 이메일을 삭제해 주세요.
闪电	번개	밤에 번개가 쳤어요.
善良	선량하다; 착하다	그녀는 착한 사람이에요.
善于	잘하다; 능숙하다	그는 문제 해결을 잘해요.
扇子	부채	나는 여름에 부채를 자주 써요.
伤害	해치다; 상처를 주다	다른 사람의 감정을 해치지 마세요.
商品	상품	이 가게에는 상품이 많아요.
商务	상무; 비즈니스	그는 내일 비즈니스 회의에 참석할 거예요.
商业	상업	이 지역은 상업이 발달해 있어요.
上当	속다	그는 하마터면 속을 뻔했어요.
蛇	뱀	풀숲에 뱀이 있어요.
舍不得	아쉬워하다; 차마 못 하다	나는 이곳을 떠나기가 아쉬워요.
射击	사격하다	그는 사격 훈련을 하고 있어요.
摄影	사진 촬영; 촬영	그녀는 사진 촬영에 매우 관심이 있어요.
设备	설비; 장비	실험실의 설비는 매우 선진적이에요.
设计	설계하다; 디자인	이 디자인은 매우 창의적이에요.
设施	시설	학교의 체육 시설은 좋아요.
伸	뻗다	손을 뻗어 주세요.
深刻	깊다; 심오하다	이 경험은 나에게 깊은 인상을 남겼어요.
身材	체격; 몸매	그녀는 건강한 체격을 가지고 있어요.
身份	신분	신분 증명서를 제시해 주세요.
神话	신화	아이들은 신화 이야기를 듣는 것을 좋아해요.
神秘	신비롭다	이 오래된 도시는 매우 신비로워요.
升	오르다; 리터	기름값이 리터당 조금 올랐어요.
声调	성조	중국어에는 네 가지 기본 성조가 있어요.
生产	생산하다	이 공장은 휴대폰을 생산해요.
生动	생생하다	선생님은 매우 생생하게 설명하세요.
生长	자라다	이런 식물은 빨리 자라요.
绳子	끈; 밧줄	끈으로 상자를 묶어 주세요.
省略	생략하다	여기서는 글자 하나를 생략할 수 있어요.
胜利	승리	그들은 마침내 승리를 거두었어요.
失眠	불면증이 있다	그는 요즘 자주 잠을 이루지 못해요.
失去	잃다	자신감을 잃지 마세요.
失业	실업; 실직하다	실직한 후 그는 새로운 기술을 배우기 시작했어요.
湿润	촉촉하다; 습하다	비가 온 뒤 공기가 매우 촉촉해요.
狮子	사자	동물원에 사자 두 마리가 있어요.
诗	시	그는 시 한 편을 썼어요.
实话	진실; 사실대로 하는 말	사실대로 말해 주세요.
实践	실천하다; 실천	이론은 실천을 통해 검증되어야 해요.
实习	실습하다; 인턴을 하다	그녀는 여름 방학에 병원에서 인턴을 할 거예요.
实现	실현하다	그는 마침내 꿈을 실현했어요.
实验	실험	학생들이 실험을 하고 있어요.
实用	실용적이다	이 도구는 매우 실용적이에요.
时差	시차	그는 아직 시차에 적응하지 못했어요.
时代	시대	우리는 정보 시대에 살고 있어요.
时刻	순간; 항상	이 중요한 순간을 기억해 주세요.
时髦	유행하다; 세련되다	이 옷은 매우 세련됐어요.
时期	시기	그의 대학 시절은 그에게 큰 영향을 주었어요.
时尚	패션; 유행	그녀는 패션에 매우 관심이 있어요.
石头	돌	길가에 돌이 하나 있어요.
食物	음식	음식을 냉장고에 넣어 주세요.
使劲儿	힘을 쓰다	이 병을 열려면 힘을 좀 써야 해요.
始终	처음부터 끝까지; 줄곧	그는 줄곧 자신이 성공할 수 있다고 믿었어요.
事实	사실	사실은 그가 옳았다는 것을 증명해요.
事物	사물	아이들은 새로운 사물에 매우 호기심이 많아요.
事先	미리	시간을 미리 알려 주세요.
似的	처럼	그는 너무 피곤해서 한마디도 하기 싫은 것처럼 보였어요.
士兵	병사	병사들이 훈련하고 있어요.
市场	시장	이 시장은 매우 활기가 있어요.
试卷	시험지	선생님이 시험지를 채점하고 있어요.
收获	수확; 얻은 것	이번 여행에서 나는 많은 것을 얻었어요.
收据	영수증	계산 후 영수증을 잘 보관하세요.
手工	수공; 손으로 만든	이 선물은 손으로 만든 것이에요.
手术	수술	의사가 내일 그에게 수술을 할 거예요.
手套	장갑	겨울에 외출할 때 장갑을 끼세요.
手续	수속; 절차	수속을 처리하려면 신분증이 필요해요.
手指	손가락	그의 손가락이 다쳤어요.
首	수; 곡	그녀는 노래 한 곡을 불렀어요.
受伤	다치다	그는 경기 중에 다쳤어요.
寿命	수명	이런 기계는 수명이 길어요.
书架	책장	책장에는 책이 가득해요.
梳子	빗	그녀는 빗으로 머리를 빗어요.
舒适	편안하다	이 방은 매우 편안해요.
蔬菜	채소	채소를 많이 먹으면 건강에 좋아요.
输入	입력하다	컴퓨터에 비밀번호를 입력해 주세요.
熟练	능숙하다	그는 컴퓨터를 능숙하게 사용할 수 있어요.
属于	속하다	이 책은 도서관에 속해요.
数	세다; 숫자	사람이 몇 명인지 세어 주세요.
鼠标	마우스	내 컴퓨터 마우스가 고장 났어요.
数据	데이터	이 데이터는 매우 중요해요.
数码	디지털	그는 디지털카메라를 샀어요.
摔倒	넘어지다	그녀는 길에서 넘어졌어요.
甩	털다; 흔들다	그는 손에 묻은 물을 털어 냈어요.
双方	쌍방; 양측	쌍방이 이 계획에 동의했어요.
税	세금	물건을 살 때 세금을 내야 해요.
说不定	어쩌면; 확실히 말할 수 없다	내일은 어쩌면 눈이 올지도 몰라요.
说服	설득하다	그는 마침내 부모님을 설득했어요.
丝绸	비단; 실크	이 스카프는 비단으로 만들었어요.
丝毫	조금도	그는 마음을 조금도 바꾸지 않았어요.
思考	생각하다	이 문제를 잘 생각해 보세요.
思想	사상; 생각	그의 생각은 매우 개방적이에요.
撕	찢다	이 종이를 찢지 마세요.
私人	사적인; 개인의	이것은 내 개인 공간이에요.
似乎	인 듯하다; 보이다	그는 별로 기뻐 보이지 않아요.
搜索	검색하다	나는 인터넷에서 자료를 검색했어요.
宿舍	기숙사	학생들은 학교 기숙사에 살아요.
随身	몸에 지니다	여권을 몸에 지니고 다니세요.
随时	언제든지	언제든지 나에게 전화해도 돼요.
随手	하는 김에	나갈 때 문을 닫아 주세요.
碎	깨지다; 부서지다	컵이 바닥에 떨어져 깨졌어요.
损失	손실	이번 사고는 큰 손실을 초래했어요.
缩短	단축하다	새 노선이 이동 시간을 단축했어요.
所	곳; 채	이 학교는 매우 유명해요.
锁	잠그다	외출하기 전에 문을 잠가 주세요.
台阶	계단	노인이 천천히 계단을 올라갔어요.
太极拳	태극권	공원에서 몇 사람이 태극권을 연습하고 있어요.
太太	부인; 아내	왕 부인이 요리하고 있어요.
谈判	협상하다; 협상	양측이 협상하고 있어요.
坦率	솔직하다	그는 솔직하게 자신의 생각을 표현했어요.
烫	뜨겁다; 데다	이 차는 매우 뜨거워요.
桃	복숭아	나무에 복숭아가 많이 열렸어요.
淘气	장난꾸러기이다	이 아이는 조금 장난꾸러기예요.
逃	도망가다	강아지가 마당에서 도망갔어요.
逃避	회피하다	책임을 회피하지 마세요.
讨价还价	흥정하다	그는 쇼핑할 때 흥정하는 것을 좋아해요.
套	벌; 세트	그는 새 옷 한 벌을 샀어요.
特色	특색	이 식당은 지방 특색이 있어요.
特殊	특별하다	오늘은 특별한 날이에요.
特征	특징	이런 동물은 특징이 뚜렷해요.
疼爱	몹시 사랑하다	조부모님은 그 아이를 몹시 사랑하세요.
提倡	제창하다; 권장하다	학교는 물 절약을 권장해요.
提纲	개요	글을 쓰기 전에 개요를 작성하세요.
提问	질문하다	학생들은 언제든지 질문할 수 있어요.
题目	제목; 문제	이 문제는 그다지 어렵지 않아요.
体会	깨닫다; 체험	여행을 통해 새로운 깨달음을 얻었어요.
体贴	자상하다	그는 가족에게 매우 자상해요.
体现	나타내다; 반영하다	이 일은 팀 정신을 보여 줘요.
体验	체험하다	나는 현지 생활을 체험하고 싶어요.
天空	하늘	오늘 하늘은 매우 파래요.
天真	순진하다	아이의 생각은 매우 순진해요.
调皮	장난스럽다	그 고양이는 매우 장난스러워요.
调整	조정하다	우리는 계획을 조정해야 해요.
挑战	도전	이것은 큰 도전이에요.
通常	보통; 대개	그는 보통 일곱 시에 일어나요.
统一	통일하다	모두의 의견을 통일해야 해요.
痛苦	고통스럽다	친구를 잃은 일은 그를 매우 슬프게 했어요.
痛快	통쾌하다; 즐겁다	우리는 오늘 정말 즐겁게 놀았어요.
偷	훔치다	다른 사람의 물건을 훔치지 마세요.
投入	몰두하다; 투자하다	그는 매우 집중해서 일해요.
投资	투자하다; 투자	그들은 새 프로젝트에 투자했어요.
透明	투명하다	이 컵은 투명해요.
突出	두드러지다	그의 장점은 매우 두드러져요.
土地	땅; 토지	이 땅은 매우 비옥해요.
土豆	감자	나는 감자를 몇 개 샀어요.
兔子	토끼	그 아이는 토끼를 키워요.
吐	토하다	그는 몸이 불편해서 토하고 싶어 해요.
团	단체; 무리	우리는 여행단에 참가했어요.
推辞	거절하다	그는 친구의 초대를 거절했어요.
