simplified	DE	example_DE
蝴蝶	der Schmetterling	Im Garten ist ein Schmetterling.
花生	die Erdnuss	Er isst gern Erdnüsse.
华裔	chinesischstämmig; Person chinesischer Herkunft	Sie ist eine Schriftstellerin chinesischer Herkunft.
滑	rutschig; glatt	Der Boden ist rutschig, pass bitte auf.
划	rudern	Bei der Bootsfahrt ist er fürs Rudern verantwortlich.
化学	die Chemie	Sie hat an der Universität Chemie studiert.
话题	das Thema	Dieses Thema ist sehr interessant.
怀念	vermissen; sich sehnsüchtig erinnern	Ich vermisse das Universitätsleben sehr.
怀孕	schwanger sein	Sie ist im dritten Monat schwanger.
缓解	lindern; mildern	Ruhe kann Stress lindern.
幻想	fantasieren; die Fantasie	Er fantasiert oft davon, ins Weltall zu reisen.
慌张	in Panik geraten; nervös werden	Gerate nicht in Panik, wenn ein Problem auftaucht.
黄金	das Gold	Der Goldpreis ist wieder gestiegen.
恢复	sich erholen; wiederherstellen	Sein Körper erholt sich gerade.
挥	winken; schwenken	Sie winkte mit der Hand.
灰	grau; die Asche	Der Himmel ist grau.
灰尘	der Staub	Auf dem Tisch liegt viel Staub.
灰心	den Mut verlieren	Verliere nicht den Mut, auch wenn du scheiterst.
汇率	der Wechselkurs	Wie ist der Wechselkurs heute?
婚礼	die Hochzeit	Ihre Hochzeit war sehr schlicht.
婚姻	die Ehe	Eine Ehe braucht gegenseitiges Verständnis.
活跃	aktiv; lebhaft	Er ist im Unterricht sehr aktiv.
伙伴	der Partner; der Gefährte	Er ist mein bester Partner.
火柴	das Streichholz	In der Schachtel ist nur noch ein Streichholz übrig.
或许	vielleicht	Vielleicht regnet es morgen.
基本	grundlegend; Basis-	Das sind die grundlegenden Anforderungen.
机器	die Maschine	Diese Maschine ist kaputt.
激烈	heftig; intensiv	Der Wettbewerb verlief sehr intensiv.
肌肉	der Muskel	Nach dem Sport tun meine Muskeln etwas weh.
及格	die Prüfung bestehen	Er hat diese Prüfung bestanden.
急忙	eilig; hastig	Er lief eilig aus dem Klassenzimmer.
急诊	die Notaufnahme	Der Patient wurde in die Notaufnahme gebracht.
极其	äußerst; extrem	Dieses Problem ist äußerst wichtig.
集合	sich versammeln	Bitte versammelt euch alle um acht Uhr am Eingang.
集体	die Gruppe; kollektiv	Das ist eine Gruppenaktivität.
集中	sich konzentrieren	Im Unterricht sollte man sich konzentrieren.
寂寞	einsam	Allein zu wohnen kann manchmal einsam sein.
系领带	eine Krawatte binden	Er bindet sich jeden Tag vor der Arbeit eine Krawatte.
纪录	der Rekord	Er hat den Schulrekord gebrochen.
纪律	die Disziplin	Disziplin im Klassenzimmer ist sehr wichtig.
纪念	gedenken; als Erinnerung	Wir machten Fotos zur Erinnerung an diesen Tag.
计算	berechnen	Bitte berechnen Sie die Gesamtkosten.
记录	aufzeichnen; notieren	Bitte protokollieren Sie den Inhalt der Sitzung.
记忆	die Erinnerung; das Gedächtnis	Diese Erinnerung ist sehr wertvoll.
嘉宾	der Ehrengast; der Gast	Der heutige Gast ist ein Schriftsteller.
夹子	die Klammer; der Clip	Bitte halten Sie die Unterlagen mit einer Klammer zusammen.
家庭	die Familie; der Haushalt	Familie ist für Kinder sehr wichtig.
家务	die Hausarbeit	Am Wochenende muss ich Hausarbeit machen.
家乡	die Heimatstadt; die Heimat	Ich vermisse meine Heimat sehr.
假如	wenn; falls	Wenn es morgen regnet, gehen wir nicht.
假设	annehmen; die Annahme	Angenommen, du wärst Lehrer, was würdest du tun?
假装	so tun als ob; vortäuschen	Er tat so, als hätte er es nicht gehört.
甲	Partei A; der Erste	Partei A muss pünktlich zahlen.
价值	der Wert	Dieses Buch ist sehr wertvoll.
嫁	heiraten; sich verheiraten	Sie wird nächstes Jahr ihren Freund heiraten.
驾驶	fahren; steuern	Fahren Sie vorsichtig, wenn Sie Auto fahren.
兼职	der Nebenjob; Teilzeit-	Er arbeitet abends in einem Nebenjob.
坚决	entschieden; bestimmt	Er ist mit dieser Entscheidung entschieden nicht einverstanden.
坚强	stark; standhaft	Sie ist ein starker Mensch.
肩膀	die Schulter	Seine Schulter ist verletzt.
艰巨	schwer; mühsam	Das ist eine schwere Aufgabe.
艰苦	hart; beschwerlich	Sie haben ein hartes Leben erlebt.
剪刀	die Schere	Bitte gib mir die Schere.
捡	aufheben	Er hob die Geldbörse vom Boden auf.
简历	der Lebenslauf	Vor der Bewerbung muss man einen Lebenslauf vorbereiten.
简直	einfach; geradezu	Diese Nachricht ist einfach schockierend.
健身	Fitness machen; trainieren	Er geht dreimal pro Woche trainieren.
建立	aufbauen; gründen	Wir haben eine neue Beziehung aufgebaut.
建设	der Aufbau; der Bau	Der Städtebau entwickelt sich schnell.
建筑	das Gebäude; die Architektur	Dieses Gebäude hat besondere Merkmale.
键盘	die Tastatur	Meine Tastatur muss gereinigt werden.
讲究	auf etwas Wert legen	Chinesen legen beim Essen viel Wert auf Details.
讲座	der Vortrag	Heute Abend gibt es einen Vortrag über Chinesisch.
酱油	die Sojasauce	Gib etwas Sojasauce in das Gericht.
交换	austauschen	Wir haben Telefonnummern ausgetauscht.
交际	die Kommunikation; der Umgang	Beim Sprachenlernen muss man auch Kommunikation üben.
交往	miteinander verkehren; zusammen sein	Sie sind seit zwei Jahren zusammen.
浇	gießen	Bitte gieße die Blumen jeden Tag.
胶水	der Klebstoff	Ich habe das Foto mit Klebstoff festgeklebt.
狡猾	schlau; gerissen	Dieser Fuchs ist sehr gerissen.
角度	der Winkel; die Perspektive	Betrachten wir das Problem aus einer anderen Perspektive.
教材	das Lehrbuch; das Unterrichtsmaterial	Dieses Lehrbuch ist sehr praktisch.
教练	der Trainer	Der Trainer verlangt, dass wir pünktlich ankommen.
教训	die Lehre; die Lektion	Dieses Scheitern ist eine Lehre.
接触	in Kontakt kommen mit	Das ist mein erster Kontakt mit chinesischer Kultur.
接待	empfangen	Die Firma hat jemanden für den Empfang der Gäste eingeteilt.
接近	sich nähern; nahe sein	Das Frühlingsfest rückt immer näher.
结实	stabil; robust	Dieser Koffer ist sehr robust.
阶段	die Phase; der Abschnitt	Das Lernen ist in drei Phasen unterteilt.
结构	die Struktur	Dieser Artikel hat eine klare Struktur.
结合	verbinden; kombinieren	Lernen sollte mit Praxis verbunden werden.
结论	die Schlussfolgerung	Seine Schlussfolgerung ist sehr überzeugend.
结账	die Rechnung bezahlen	Nach dem Essen gingen wir bezahlen.
节省	sparen; einsparen	Mit der U-Bahn kann man Zeit sparen.
借口	die Ausrede	Such keine Ausreden mehr.
届	Zähleinheitswort für Veranstaltungen; Ausgabe	Das ist der dritte Wettbewerb.
戒	aufhören mit; sich abgewöhnen	Der Arzt riet ihm, mit dem Rauchen aufzuhören.
戒指	der Ring	Sie trägt einen Ring.
金属	das Metall	Eisen ist ein Metall.
尽快	so bald wie möglich	Bitte antworten Sie so bald wie möglich auf die E-Mail.
紧急	dringend; der Notfall	Das ist ein Notfall.
谨慎	vorsichtig; umsichtig	Vor einer Investition sollte man vorsichtig sein.
尽力	sich bemühen; sein Bestes tun	Ich werde mein Bestes tun, um dir zu helfen.
尽量	möglichst; so weit wie möglich	Bitte versuche, möglichst früh anzukommen.
近代	die Neuzeit; modern	Im modernen China hat sich vieles verändert.
进步	der Fortschritt; sich verbessern	Sein Chinesisch verbessert sich schnell.
进口	importiert; importieren	Dieses Auto ist importiert.
精力	die Energie	Die Kinder haben sehr viel Energie.
精神	der Geist; die Verfassung	Er ist heute sehr gut drauf.
经典	klassisch; der Klassiker	Das ist ein klassischer Film.
经商	Geschäfte machen	Sein Vater macht im Ausland Geschäfte.
经营	betreiben; führen	Sie betreibt ein kleines Geschäft.
酒吧	die Bar	Am Abend gingen sie in eine Bar.
救	retten	Der Arzt hat ihm das Leben gerettet.
救护车	der Krankenwagen	Der Krankenwagen kam schnell.
舅舅	der Onkel mütterlicherseits	Mein Onkel mütterlicherseits wohnt in Nanjing.
居然	tatsächlich; unerwarteterweise	Er hat tatsächlich seinen eigenen Geburtstag vergessen.
桔子	die Mandarine	Auf dem Tisch liegen ein paar Mandarinen.
俱乐部	der Club; der Verein	Sie ist dem Schwimmverein beigetreten.
具备	besitzen; verfügen über	Er verfügt über Managementerfahrung.
具体	konkret; genau	Bitte sagen Sie es etwas konkreter.
巨大	riesig; enorm	Dieses Projekt erfordert enorme Investitionen.
据说	es heißt; angeblich	Es heißt, er sei schon in sein Land zurückgekehrt.
捐	spenden	Alle sind bereit, Geld zu spenden.
决赛	das Finale	Morgen ist das Fußballfinale.
决心	die Entschlossenheit; sich entschließen	Er hat sich fest vorgenommen, gut Chinesisch zu lernen.
绝对	absolut; auf keinen Fall	Diese Sache darf man absolut nicht vergessen.
角色	die Rolle	Sie spielt im Film eine wichtige Rolle.
军事	militärisch; das Militärwesen	Er interessiert sich sehr für Militärgeschichte.
均匀	gleichmäßig	Bitte trage die Farbe gleichmäßig auf.
卡车	der Lastwagen	Ein Lastwagen steht am Eingang.
开发	entwickeln; erschließen	Die Firma entwickelt gerade ein neues Produkt.
开放	öffnen; geöffnet sein	Der Park öffnet jeden Morgen um sechs Uhr.
开幕式	die Eröffnungsfeier	Die Eröffnungsfeier findet morgen Abend statt.
开水	abgekochtes Wasser; heißes Wasser	Bitte geben Sie mir ein Glas heißes Wasser.
砍	hacken; abschlagen	Der Arbeiter schneidet gerade Äste ab.
看不起	herabsehen auf	Man sollte auf niemanden herabsehen.
看望	besuchen	Am Wochenende besuche ich meine Großeltern.
靠	sich anlehnen; sich verlassen auf	Er lehnte sich zum Ausruhen an die Wand.
颗	Zähleinheitswort für kleine runde Dinge	Am Nachthimmel ist ein Stern.
可见	es ist ersichtlich; daraus sieht man	Daraus sieht man, dass diese Methode sehr wirksam ist.
可靠	zuverlässig	Er ist ein zuverlässiger Freund.
可怕	furchtbar; erschreckend	Dieser Traum war zu furchtbar.
克	das Gramm	Bitte gib zwei Gramm Salz dazu.
克服	überwinden	Wir müssen Schwierigkeiten überwinden.
刻苦	fleißig; hart arbeitend	Er lernt sehr fleißig.
客观	objektiv	Bitte analysieren Sie das Problem objektiv.
课程	der Kurs; der Unterricht	Dieser Kurs ist sehr nützlich.
空间	der Raum; der Platz	Dieses Zimmer bietet viel Platz.
控制	kontrollieren; beherrschen	Der Fahrer hatte die Geschwindigkeit unter Kontrolle.
空闲	die Freizeit; frei	Hast du morgen Nachmittag frei?
口味	der Geschmack; die Vorliebe	Sein Geschmack ist eher mild.
夸	loben	Der Lehrer lobte ihn für seine großen Fortschritte.
夸张	übertrieben	Sein Gesichtsausdruck ist etwas übertrieben.
会计	der Buchhalter; die Buchhaltung	Sie arbeitet in der Firma als Buchhalterin.
宽	breit	Diese Straße ist sehr breit.
昆虫	das Insekt	Die Kinder beobachten Insekten.
扩大	erweitern; vergrößern	Die Schule plant, die Bibliothek zu erweitern.
辣椒	die Chilischote	In das Gericht wurden viele Chilischoten gegeben.
拦	anhalten; aufhalten	Die Polizei hielt ein Auto an.
烂	verfault; matschig	Dieser Apfel ist schon verfault.
朗读	laut vorlesen	Bitte lies den Text laut vor.
劳动	die Arbeit; körperliche Arbeit	Arbeit gibt einem ein erfülltes Gefühl.
劳驾	Entschuldigung	Entschuldigung, wo ist die U-Bahn-Station?
姥姥	die Großmutter mütterlicherseits	Meine Großmutter mütterlicherseits kocht sehr gut.
老百姓	die einfachen Leute; die Bevölkerung	Die einfachen Leute achten auf die Lebenshaltungskosten.
老板	der Chef	Der Chef ist heute nicht im Büro.
老婆	die Ehefrau	Er hat seiner Frau Blumen gekauft.
老实	ehrlich; aufrichtig	Er ist ein ehrlicher Mensch.
老鼠	die Maus; die Ratte	In der Küche ist eine Maus.
乐观	optimistisch	Sie ist optimistisch, was die Zukunft betrifft.
雷	der Donner	Der Donner war gestern Nacht sehr laut.
类型	der Typ; die Kategorie	Zu welchem Genre gehört diese Art von Film?
冷淡	kühl; gleichgültig	Seine Haltung ist etwas kühl.
厘米	der Zentimeter	Dieser Stift ist fünfzehn Zentimeter lang.
梨	die Birne	Ich habe ein paar Birnen gekauft.
离婚	sich scheiden lassen	Sie haben sich letztes Jahr scheiden lassen.
理论	die Theorie	Diese Theorie ist sehr komplex.
理由	der Grund	Welchen Grund hast du, zu spät zu kommen?
利润	der Gewinn	Der Gewinn der Firma ist dieses Jahr gestiegen.
利息	die Zinsen	Die Bankzinsen sind nicht hoch.
利益	das Interesse; der Nutzen	Wir müssen die Interessen aller schützen.
利用	nutzen; ausnutzen	Er nutzt das Wochenende, um Chinesisch zu lernen.
力量	die Kraft	Einigkeit ist Kraft.
立即	sofort	Bitte verlassen Sie diesen Ort sofort.
立刻	sofort	Nachdem er die Nachricht gehört hatte, brach er sofort auf.
联合	gemeinsam; sich zusammenschließen	Zwei Firmen entwickelten gemeinsam ein Produkt.
连忙	schnell; eilig	Als er das Telefon hörte, nahm er schnell ab.
连续	aufeinanderfolgend; ununterbrochen	Er arbeitete zehn Stunden am Stück.
恋爱	in einer Liebesbeziehung sein	Sie sind gerade zusammen.
粮食	das Getreide; die Nahrungsmittel	Die Getreideproduktion ist dieses Jahr gestiegen.
良好	gut; günstig	Er hat gute Lerngewohnheiten.
亮	hell	Das Licht im Zimmer ist sehr hell.
了不起	großartig; bemerkenswert	Sie hat bemerkenswerte Ergebnisse erzielt.
列车	der Zug	Der Zug fährt gleich ab.
临时	vorübergehend; kurzfristig	Das ist eine kurzfristige Entscheidung.
灵活	flexibel	Lernmethoden sollten flexibel sein.
铃	die Klingel; die Glocke	Die Unterrichtsklingel hat geläutet.
零件	das Ersatzteil; das Bauteil	An der Maschine fehlt ein Teil.
零食	der Snack	Kinder essen gern Snacks.
领导	die Führungskraft; der Leiter	Die Führungskraft ist gerade in einer Besprechung.
领域	das Gebiet; der Bereich	Sie arbeitet im Bildungsbereich.
流传	weitergegeben werden; sich verbreiten	Diese Geschichte wird seit langer Zeit weitergegeben.
流泪	weinen; Tränen vergießen	Als sie diese Nachricht hörte, musste sie weinen.
浏览	durchsehen; browsen	Ich sehe mir zuerst die Webseite an.
龙	der Drache	In der chinesischen Kultur gibt es Drachen.
漏	undicht sein; lecken	Das Dach ist undicht.
录取	aufnehmen; zulassen	Er wurde an der Universität aufgenommen.
录音	aufnehmen; die Aufnahme	Bitte beginnen Sie mit der Aufnahme.
陆地	das Land; das Festland	Die Meeresschildkröte kroch an Land.
陆续	nacheinander	Die Gäste kamen nacheinander an.
轮流	abwechselnd; sich abwechseln	Wir putzen das Klassenzimmer abwechselnd.
论文	die Abschlussarbeit; die wissenschaftliche Arbeit	Sie schreibt gerade ihre Abschlussarbeit.
逻辑	die Logik	Seine Logik ist sehr klar.
落后	zurückfallen; rückständig	Wir dürfen nicht hinter anderen zurückfallen.
骂	schimpfen; ausschimpfen	Bitte schimpfen Sie nicht mit dem Kind.
麦克风	das Mikrofon	Bitte reichen Sie ihm das Mikrofon.
馒头	das gedämpfte Brötchen	Zum Frühstück habe ich ein gedämpftes Brötchen gegessen.
满足	erfüllen; zufriedenstellen	Diese Antwort erfüllt die Anforderungen nicht.
毛病	das Problem; der Fehler	Dieser Computer hat ein kleines Problem.
矛盾	der Widerspruch; der Konflikt	Zwischen ihnen gibt es einige Konflikte.
冒险	ein Risiko eingehen	Allein dorthin zu gehen ist zu riskant.
贸易	der Handel	Der internationale Handel entwickelt sich schnell.
媒体	die Medien	Die Medien berichteten über diese Sache.
煤炭	die Kohle	Diese Region produziert Kohle.
眉毛	die Augenbraue	Ihre Augenbrauen sind sehr dicht.
美术	die bildende Kunst; Kunst	Meine jüngere Schwester mag Kunst.
魅力	der Reiz; der Charme	Diese Stadt hat viel Charme.
梦想	der Traum; träumen von	Sein Traum ist es, Arzt zu werden.
密切	eng	Wir bleiben in engem Kontakt.
秘密	das Geheimnis	Das ist unser Geheimnis.
秘书	die Sekretärin; der Sekretär	Die Sekretärin hat die Sitzungszeit geplant.
蜜蜂	die Biene	In den Blumen sind viele Bienen.
面对	sich stellen; gegenüberstehen	Wir sollten Schwierigkeiten mutig begegnen.
面积	die Fläche	Die Fläche dieses Zimmers ist nicht groß.
面临	konfrontiert sein mit	Die Firma steht vor neuen Herausforderungen.
描写	beschreiben; schildern	Der Autor beschrieb das Leben auf dem Land.
苗条	schlank	Sie hat eine schlanke Figur.
敏感	sensibel; empfindlich	Dieses Thema ist ziemlich sensibel.
名牌	die bekannte Marke; Marken-	Er hat eine Markenuhr gekauft.
名片	die Visitenkarte	Bitte geben Sie mir eine Visitenkarte.
名胜古迹	Sehenswürdigkeiten und historische Stätten	In Peking gibt es viele Sehenswürdigkeiten und historische Stätten.
明确	klar; deutlich machen	Der Lehrer erklärte die Anforderungen klar.
明显	offensichtlich	Sein Fortschritt ist offensichtlich.
明星	der Star	Sie möchte Filmstar werden.
命令	der Befehl	Soldaten müssen Befehlen gehorchen.
命运	das Schicksal	Er glaubt, dass man sein Schicksal ändern kann.
摸	berühren; anfassen	Bitte berühren Sie dieses Bild nicht.
摩托车	das Motorrad	Er fährt mit dem Motorrad zur Arbeit.
模仿	nachahmen	Kinder ahmen gern die Sprache von Erwachsenen nach.
模糊	verschwommen; unklar	Dieses Foto ist etwas verschwommen.
模特	das Model	Sie ist ein Modemodel.
陌生	fremd; unbekannt	Diese Stadt ist mir sehr fremd.
某	ein bestimmter; irgendein	Ein bestimmter Lehrer hat mich angerufen.
木头	das Holz	Dieser Tisch ist aus Holz.
目标	das Ziel	Mein Ziel ist es, die Prüfung zu bestehen.
目录	das Inhaltsverzeichnis	Bitte sieh dir zuerst das Inhaltsverzeichnis vorn im Buch an.
目前	derzeit; gegenwärtig	Die Lage ist derzeit relativ stabil.
哪怕	selbst wenn	Selbst wenn er sehr beschäftigt ist, lernt er weiter.
难怪	kein Wunder	Kein Wunder, dass du heute so fröhlich bist.
难免	schwer zu vermeiden	Beim ersten Mal lassen sich Fehler schwer vermeiden.
脑袋	der Kopf	Sein Kopf tut etwas weh.
内部	intern; im Inneren	Das sind interne Firmenunterlagen.
内科	die Innere Medizin	Er geht heute zur Inneren Medizin.
嫩	zart; weich	Dieses Stück Fleisch ist sehr zart.
能干	fähig; kompetent	Sie ist eine sehr fähige Person.
能源	die Energie; die Energiequelle	Solarenergie ist eine saubere Energiequelle.
嗯	mhm; ja	Mhm, ich habe verstanden.
年代	die Zeit; die Jahre	Dieses Foto wurde in den Achtzigern aufgenommen.
年纪	das Alter	Er ist nicht sehr alt, hat aber viel Erfahrung.
念	laut lesen	Bitte lies den Text einmal laut vor.
宁可	lieber; eher	Ich gehe lieber zu Fuß, als auf den Bus zu warten.
牛仔裤	die Jeans	Er trägt eine Jeans.
农村	das Dorf; das ländliche Gebiet	Sie ist auf dem Land aufgewachsen.
农民	der Bauer; der Landwirt	Die Bauern arbeiten auf dem Feld.
农业	die Landwirtschaft	Die Landwirtschaft ist für diese Region sehr wichtig.
浓	stark; konzentriert	Dieser Kaffee ist zu stark.
女士	die Dame	Diese Dame wartet auf den Bus.
欧洲	Europa	Er reist nächsten Monat nach Europa.
偶然	zufällig	Ich habe zufällig einen alten Mitschüler getroffen.
拍	fotografieren; aufnehmen	Bitte mach ein Foto von mir.
派	schicken; entsenden	Die Firma schickte ihn auf Dienstreise nach Shanghai.
盼望	sich freuen auf; erwarten	Ich freue mich darauf, dich bald zu sehen.
培训	die Schulung; ausbilden	Neue Mitarbeitende müssen an einer Schulung teilnehmen.
培养	fördern; ausbilden	Die Schule legt Wert darauf, die Fähigkeiten der Schüler zu fördern.
赔偿	entschädigen; Schaden ersetzen	Die Firma stimmte zu, den Schaden zu ersetzen.
佩服	bewundern	Ich bewundere seinen Mut sehr.
配合	mitwirken; zusammenarbeiten	Bitte arbeiten Sie alle bei den Anweisungen des Lehrers mit.
盆	der Topf; das Becken	Auf dem Balkon steht ein Blumentopf.
碰	berühren; stoßen	Vorsicht, berühre das heiße Wasser nicht.
批	die Partie; Charge	Diese Warenpartie ist heute angekommen.
批准	genehmigen	Der Manager hat diesen Plan genehmigt.
披	über die Schultern legen	Sie hat einen Mantel über den Schultern.
疲劳	die Müdigkeit; erschöpft	Lange Arbeit kann müde machen.
匹	Zähleinheitswort für Pferde	Auf der Wiese steht ein Pferd.
片	die Scheibe; das Stück	Bitte gib mir eine Scheibe Brot.
片面	einseitig	Diese Sichtweise ist zu einseitig.
飘	schweben; treiben	Schneeflocken schweben in der Luft.
拼音	das Pinyin	Bitte schreibe Pinyin neben die chinesischen Schriftzeichen.
频道	der Kanal	Bitte schalte auf den Nachrichtenkanal um.
凭	mit; aufgrund von	Mit einer Eintrittskarte kann man hineingehen.
平均	durchschnittlich; im Durchschnitt	Im Durchschnitt gab jeder zehn Yuan aus.
平	flach; eben	Diese Straße ist sehr eben.
平安	sicher; wohlbehalten	Ich wünsche dir eine sichere Reise.
平常	gewöhnlich; normalerweise	Normalerweise kommt er selten zu spät.
平等	gleich; Gleichberechtigung	Jeder sollte gleich behandelt werden.
平方	Quadrat-; Quadratmeter	Dieses Zimmer hat zwanzig Quadratmeter.
平衡	das Gleichgewicht	Arbeit und Leben brauchen ein Gleichgewicht.
平静	ruhig; still	Die Oberfläche des Sees ist sehr ruhig.
评价	die Bewertung; bewerten	Der Lehrer gab eine sehr gute Bewertung.
破产	bankrottgehen; der Konkurs	Diese Firma ging letztes Jahr bankrott.
破坏	beschädigen; zerstören	Bitte beschädigen Sie kein öffentliches Eigentum.
迫切	dringend	Wir brauchen dringend mehr Ärzte.
期待	sich freuen auf; erwarten	Ich freue mich sehr auf diese Reise.
期间	während; Zeitraum	Bitte schalten Sie während der Sitzung Ihr Handy aus.
其余	die übrigen; der Rest	Die übrigen Fragen besprechen wir morgen.
奇迹	das Wunder	Der Arzt sagte, das sei ein Wunder.
企业	das Unternehmen	Dieses Unternehmen entwickelt sich schnell.
启发	die Inspiration; anregen	Dieses Buch hat mir viel Inspiration gegeben.
气氛	die Atmosphäre	Die Atmosphäre im Klassenzimmer ist sehr entspannt.
汽油	das Benzin	Das Auto braucht Benzin.
签	unterschreiben	Bitte unterschreiben Sie hier.
谦虚	bescheiden	Er ist ausgezeichnet und auch sehr bescheiden.
前途	die Zukunftsaussichten	Dieses Studienfach hat gute Zukunftsaussichten.
浅	flach; seicht	Dieser Fluss ist sehr flach.
欠	schulden	Er schuldet mir noch zwanzig Yuan.
枪	die Waffe; das Gewehr	Der Polizist hält eine Waffe in der Hand.
墙	die Wand	An der Wand hängt ein Bild.
强调	betonen	Der Lehrer betonte Sicherheitsfragen.
强烈	stark; intensiv	Er hat ein starkes Verantwortungsgefühl.
抢	sich streiten um; schnappen wollen	Streite dich nicht mit anderen um Sitzplätze.
悄悄	leise; heimlich	Sie ging leise ins Zimmer.
瞧	schauen; sieh mal	Sieh mal, draußen schneit es.
巧妙	geschickt; clever	Diese Methode ist sehr clever.
切	schneiden	Bitte schneide das Obst in kleine Stücke.
亲爱	lieb; geliebt	Lieber Freund, danke dir.
亲切	freundlich; herzlich	Der Lehrer spricht sehr freundlich.
亲自	persönlich	Der Manager empfing die Gäste persönlich.
勤奋	fleißig	Fleißige Menschen haben leichter Erfolg.
清淡	leicht; mild	Ich esse gern leichte Gerichte.
轻视	unterschätzen; gering schätzen	Unterschätze dieses kleine Problem nicht.
轻易	leicht; ohne Weiteres	Er gibt nicht so leicht auf.
青	blaugrün	Dieses Kleidungsstück ist blaugrün.
青春	die Jugend	Jugend ist kostbar.
青少年	der Jugendliche	Jugendliche brauchen ausreichend Schlaf.
情景	die Szene; die Situation	Die Szene im Film ist sehr bewegend.
情绪	die Stimmung; die Emotionen	Seine Stimmung ist nicht sehr stabil.
请求	die Bitte; bitten	Er brachte eine Bitte vor.
庆祝	feiern	Wir feierten seinen Geburtstag.
球迷	der Fan	Viele Fans kamen, um das Spiel zu sehen.
趋势	der Trend	Dieser Trend wird immer deutlicher.
取消	absagen; stornieren	Wegen des Regens wurde die Veranstaltung abgesagt.
娶	heiraten; zur Frau nehmen	Er plant, sie nächstes Jahr zu heiraten.
去世	sterben; versterben	Sein Großvater ist letztes Jahr verstorben.
圈	der Kreis; einkreisen	Bitte kreise die richtige Antwort ein.
全面	umfassend; vollständig	Wir müssen die Situation umfassend verstehen.
权利	das Recht	Jeder hat das Recht auf Bildung.
权力	die Macht; die Befugnis	Macht sollte kontrolliert werden.
劝	raten; überreden	Mein Freund riet mir, früher auszuruhen.
缺乏	fehlen; Mangel haben an	In dieser Gegend fehlt sauberes Wasser.
确定	bestimmen; sicher sein	Ich kann die Zeit noch nicht festlegen.
确认	bestätigen	Bitte bestätigen Sie Ihre Adresse.
群	die Gruppe; die Schar	Eine Gruppe Kinder spielt auf dem Sportplatz.
燃烧	brennen	Das Holz brennt.
绕	umrunden; herumgehen	Wir gingen einmal um den See herum.
热爱	lieben; begeistert sein von	Er liebt seine Arbeit.
热烈	herzlich; begeistert	Alle begrüßten die Gäste herzlich.
热心	hilfsbereit; engagiert	Die Nachbarn sind alle sehr hilfsbereit.
人才	die Fachkraft; das Talent	Die Firma braucht mehr Fachkräfte.
人口	die Bevölkerung	Diese Stadt hat eine große Bevölkerung.
人类	die Menschheit	Die Menschheit muss die Erde schützen.
人民币	der Renminbi; der chinesische Yuan	Ich habe etwas Renminbi gewechselt.
人生	das Leben	Das Leben bietet viele Entscheidungen.
人事	die Personalabteilung; Personalwesen	Sie arbeitet in der Personalabteilung.
人物	die Figur; die Person	Die Figuren im Roman wirken sehr real.
人员	das Personal	Das Personal ist vollständig eingetroffen.
忍不住	nicht anders können	Als er den Witz hörte, konnte er nicht anders, als zu lachen.
日常	täglich; alltäglich	Das ist meine tägliche Arbeit.
日程	der Tagesplan; der Terminplan	Der heutige Terminplan ist sehr voll.
日历	der Kalender	An der Wand hängt ein Kalender.
日期	das Datum	Bitte schreiben Sie das Datum deutlich.
日用品	die Dinge des täglichen Bedarfs	Im Supermarkt werden viele Dinge des täglichen Bedarfs verkauft.
日子	die Tage; die Zeit	Er ist in diesen Tagen sehr beschäftigt.
如何	wie	Wie sollen wir dieses Problem lösen?
如今	heutzutage; heute	Heutzutage ist der Verkehr viel bequemer.
软	weich	Dieses Bett ist sehr weich.
软件	die Software	Diese Software ist einfach zu benutzen.
弱	schwach	Sein Körper ist ziemlich schwach.
洒	verschütten; verstreuen	Er hat das Wasser aus Versehen verschüttet.
嗓子	der Hals; die Stimme	Mein Hals tut etwas weh.
色彩	die Farbe; die Farbigkeit	Dieses Bild hat sehr reiche Farben.
杀	töten	In diesem Film gibt es keine Mordszenen.
沙漠	die Wüste	Wasser in der Wüste ist sehr kostbar.
沙滩	der Strand	Die Kinder spielen am Strand.
傻	dumm; töricht	Mach keine Dummheiten.
晒	in der Sonne trocknen	Die Kleidung trocknet gerade auf dem Balkon in der Sonne.
删除	löschen	Bitte löschen Sie diese E-Mail.
闪电	der Blitz	In der Nacht gab es Blitze.
善良	gutmütig; freundlich	Sie ist ein gutmütiger Mensch.
善于	gut sein in	Er ist gut darin, Probleme zu lösen.
扇子	der Fächer	Im Sommer benutze ich oft einen Fächer.
伤害	verletzen; schaden	Verletze nicht die Gefühle anderer.
商品	die Ware	Dieses Geschäft hat viele Waren.
商务	Geschäfts-; geschäftlich	Er nimmt morgen an einer Geschäftssitzung teil.
商业	der Handel; das Geschäft	Der Handel ist in dieser Gegend gut entwickelt.
上当	hereinfallen; betrogen werden	Er wäre beinahe darauf hereingefallen.
蛇	die Schlange	Im Gras ist eine Schlange.
舍不得	nicht übers Herz bringen; ungern loslassen	Ich bringe es nicht übers Herz, diesen Ort zu verlassen.
射击	das Schießen; schießen	Er trainiert Schießen.
摄影	die Fotografie	Sie interessiert sich sehr für Fotografie.
设备	die Ausrüstung; die Geräte	Die Geräte im Labor sind sehr modern.
设计	das Design; entwerfen	Dieses Design ist sehr kreativ.
