simplified	HR	example_HR
吊	podignuti; objesiti	Radnici su strojem podigli čeličnu gredu.
调动	premjestiti; rasporediti	Tvrtka ga je premjestila na rad u Šangaj.
跌	pasti	Cijena dionica danas je ponovno pala.
丁	kockica; muška osoba	U receptu piše da krumpir treba narezati na kockice.
叮嘱	više puta upozoriti	Učitelj nas je više puta podsjetio da pazimo na sigurnost.
盯	zuriti	Molim te, nemoj stalno zuriti u druge.
定期	redovit	Liječnik mu je savjetovao redovite liječničke preglede.
定义	definicija	Molim te, prvo objasni definiciju ovog pojma.
丢人	osramotiti se	Lagati pred svima zaista je sramotno.
丢三落四	zaboravljiv	On je uvijek zaboravljiv i često zaboravi ključeve kad izlazi.
东道主	domaćin	Kao domaćini, trebamo se dobro pobrinuti za goste.
东张西望	osvrtati se na sve strane	Nemoj se osvrtati na sve strane tijekom nastave.
董事长	predsjednik uprave	Predsjednik uprave danas je prisustvovao sastanku.
冻结	zamrznuti	Banka je privremeno zamrznula ovaj račun.
动荡	nemiran; previranje	Rat je dugo držao ovu regiju u nemiru.
动机	motiv	Policija istražuje njegov motiv.
动静	zvuk; kretanje	U sobi nije bilo ni najmanjeg zvuka ni pokreta.
动力	poticaj; motivacija	Interes je motivacija za učenje.
动脉	arterija	Liječnik je pregledao njegovu arteriju.
动身	krenuti na put	Sutra rano krećemo prema zračnoj luci.
动手	započeti; potući se	Stvar još nije jasna, zato nitko ne smije započeti tučnjavu.
动态	razvoj događaja	Molim te, stalno prati razvoj projekta.
动员	mobilizirati	Škola je mobilizirala učenike za sudjelovanje u volonterskim aktivnostima.
栋	zgrada; klasifikator za zgrade	Ova zgrada ima dvadeset katova.
兜	džep	Stavio je ključeve u džep kaputa.
陡峭	strm	Ova planinska cesta vrlo je strma.
斗争	borba	Oni se bore za zaštitu okoliša.
督促	poticati; požurivati	Menadžer je poticao sve da zadatak završe na vrijeme.
毒品	narkotik	Carina je zaplijenila pošiljku narkotika.
独裁	diktatura	Ljudi se protive diktatorskoj vlasti.
堵塞	začepiti; blokada	Smeće je začepilo kanalizaciju.
赌博	kockati se	Kockanje može donijeti ozbiljne posljedice.
杜绝	iskorijeniti; stati na kraj	Tvrtka zahtijeva da se stane na kraj rasipanju.
端	nositi; kraj	Ušao je noseći šalicu vrućeg čaja.
端午节	Blagdan zmajevih čamaca	Za Blagdan zmajevih čamaca jedemo zongzi.
端正	ispraviti; pravilan	Učenici bi trebali ispraviti svoj stav prema učenju.
短促	kratak	Ispustio je kratak uzdah.
断定	utvrditi; zaključiti	Još se ne može utvrditi tko je u pravu, a tko nije.
断绝	prekinuti	Nakon nesreće selo je izgubilo vezu s vanjskim svijetom.
堆积	nagomilati se	Snijeg se nagomilao uz cestu.
兑现	ispuniti obećanje	Napokon je ispunio svoje obećanje.
对策	protumjera; rješenje	Suočeni s rizicima, trebamo rješenja.
对称	simetričan	Lijeva i desna strana ove zgrade vrlo su simetrične.
对付	nositi se s	Ovaj problem nije lako riješiti.
对抗	suprotstaviti se	Dvije će se momčadi suprotstaviti u finalu.
对立	suprotstavljen	Stavovi dviju strana potpuno su suprotstavljeni.
对联	novogodišnji dvostih	Za Proljetni festival na vrata lijepe novogodišnje dvostihe.
对应	odgovarati; podudarati se	Svaki broj odgovara jednom sjedalu.
对照	usporediti	Molim te, usporedi prijevod s izvornikom.
队伍	povorka; red	Povorka se polako kretala naprijed.
顿时	odmah	Kad je čuo vijest, odmah se ukočio.
哆嗦	drhtati	Bilo je toliko hladno da je stalno drhtao.
多元化	diverzifikacija	Tvrtka potiče diverzifikaciju poslovanja.
堕落	moralno propasti	Ne želi dopustiti da nastavi moralno propadati.
额外	dodatni	Ova usluga zahtijeva dodatnu naknadu.
恶心	mučnina; osjećati mučninu	Kad sam osjetio taj miris, malo mi je pozlilo.
恶化	pogoršati se	Ako se ne liječi, bolest se može pogoršati.
遏制	obuzdati; suzbiti	Vlada je poduzela mjere za suzbijanje onečišćenja.
恩怨	dugotrajna zamjerka	Zamjerka između dviju tvrtki traje već dugo.
而已	samo to	Samo sam usput rekao, ništa više.
二氧化碳	ugljični dioksid	Biljke apsorbiraju ugljični dioksid.
发布	objaviti	Tvrtka će sutra objaviti novi proizvod.
发财	obogatiti se	Nada se da će se obogatiti marljivim radom.
发呆	zagledati se u prazno	Sjedila je pokraj prozora zagledana u prazno.
发动	pokrenuti; mobilizirati	Volonteri su mobilizirali stanovnike da očiste ulicu.
发觉	primijetiti	Primijetio sam da je danas malo nervozan.
发射	lansirati	Raketa će biti lansirana navečer.
发誓	zakleti se	Zakleo se da više nikada neće lagati.
发行	objaviti; pustiti u promet	Ovaj će film biti objavljen sljedeći mjesec.
发炎	upala	Rana je malo upaljena.
发扬	razvijati; njegovati	Trebamo njegovati duh timskog rada.
发育	razvoj	Za tjelesni razvoj djece potrebna je dovoljna prehrana.
法人	pravna osoba	Ova je tvrtka samostalna pravna osoba.
番	riječi; navrat	Ove su me riječi snažno nadahnule.
凡是	svatko; sve	Svatko tko se prijavi mora sudjelovati u obuci.
繁华	užurban; procvao	Ova je ulica prije bila vrlo užurbana.
繁忙	zauzet; prometan	Zračna luka posebno je prometna tijekom praznika.
繁体字	tradicionalni kineski znak	Na Tajvanu se često pišu tradicionalni znakovi.
繁殖	razmnožavati se	Ova se vrsta biljke lako razmnožava.
反驳	pobiti	On je podacima pobio ovo stajalište.
反常	neobičan	Današnje vrijeme je pomalo neobično.
反感	odbojnost; ne sviđati se	Takva mi se reklama zaista ne sviđa.
反抗	odupirati se	Ljudi su se počeli odupirati nepravednom pravilu.
反馈	povratna informacija	Klijenti su javili da je sustav vrlo stabilan.
反面	naličje; suprotna strana	Molim te, okreni papir na naličje.
反射	odraziti; refleksija	Zrcalo odražava svjetlost.
反思	promisliti; preispitati	Nakon neuspjeha ozbiljno je promislio o razlozima.
反问	uzvratiti pitanjem	Nije odgovorio, nego mi je uzvratio pitanjem.
反之	obrnuto	Previsoke cijene smanjuju potražnju, a vrijedi i obrnuto.
泛滥	izliti se	Jaka kiša uzrokovala je izlijevanje rijeke.
范畴	kategorija	Ovo pitanje spada u pravnu kategoriju.
贩卖	prodavati; krijumčariti	Zakon zabranjuje prodaju lažnih lijekova.
方位	smjer	Na karti je označen točan smjer.
方言	dijalekt	On razumije lokalni dijalekt.
方圆	u krugu	U krugu od deset kilometara nema bolnice.
方针	politika; smjernica	Tvrtka je utvrdila novu razvojnu politiku.
防守	obrana	Obrana ove momčadi vrlo je stabilna.
防御	obrana	Gradski zid nekoć se koristio za obranu od neprijatelja.
防止	spriječiti	Molim te, veži sigurnosni pojas da spriječiš ozljedu.
防治	prevencija i liječenje	Liječnik je objasnio metode prevencije i liječenja bolesti.
纺织	tekstil; tkanje	Ovaj je grad poznat po tekstilnoj industriji.
访问	posjetiti; intervjuirati	Novinar će sutra posjetiti ovog pisca.
放大	povećati	Molim te, malo povećaj sliku.
放射	zračiti	Ovaj materijal zrači toplinu.
非法	nezakonit	Nezakonite transakcije bit će kažnjene.
飞禽走兽	ptice i životinje	U šumi žive razne ptice i životinje.
飞翔	letjeti	Galebovi lete iznad mora.
飞跃	velik skok	Razvoj tehnologije ostvario je velik skok.
肥沃	plodan	Ova je zemlja vrlo plodna.
诽谤	kleveta; klevetati	Za klevetanje drugih snosi se pravna odgovornost.
废除	ukinuti	Ovo staro pravilo već je ukinuto.
废寝忘食	biti potpuno zaokupljen	Bio je toliko zaokupljen istraživanjem da je zanemario san i obroke.
废墟	ruševine	Nakon potresa to je mjesto postalo ruševina.
沸腾	ključati	Voda je već proključala.
肺	pluća	Pušenje može oštetiti pluća.
分辨	razlikovati	Teško mi je razlikovati te dvije boje.
分寸	mjera; primjerenost	I u šali treba paziti na mjeru.
分红	dividenda	Dioničari na kraju godine mogu dobiti dividende.
分解	raščlaniti	Učitelj je složen problem raščlanio na nekoliko koraka.
分裂	podijeliti se	Unutarnji sukobi doveli su do podjele organizacije.
分泌	izlučivati	Ova vrsta žlijezde izlučuje hormone.
分明	jasan	Činjenice su već vrlo jasne.
分歧	neslaganje	Obje strane imaju neslaganja oko cijene.
分散	raspršiti	Molim te, raspodijeli rizik na različite projekte.
吩咐	narediti; reći	Šef mi je rekao da sredim dokumente.
坟墓	grob	Na padini se nalazi stari grob.
粉末	prah	Molim te, samelji tablete u prah.
粉色	ružičast	Kupila je ružičasti šal.
粉碎	razbiti; slomiti	Policija je razbila ovu kriminalnu skupinu.
分量	težina; važnost	Ova rečenica nosi veliku težinu.
愤怒	bijes	Njegov je ton bio pun bijesa.
丰满	bogat; pun	Sadržaj ovog članka još nije dovoljno bogat.
丰盛	obilan	Pripremili su obilan večernji obrok.
丰收	dobra žetva	Poljoprivrednici su ove godine imali dobru žetvu.
封闭	zatvoriti	Ova će cesta biti zatvorena tijekom radova.
封建	feudalan	Takav feudalni način razmišljanja odavno je trebalo promijeniti.
封锁	blokirati; zatvoriti	Policija je zatvorila mjesto nesreće.
锋利	oštar	Ovaj je nož vrlo oštar.
风暴	oluja	Na moru se iznenada pojavila oluja.
风度	dostojanstveno držanje	Na pozornici je djelovao vrlo dostojanstveno.
风光	krajolik	Prirodni krajolik ovdje je vrlo lijep.
风气	ozračje; običaj	Škola je razvila dobro ozračje za učenje.
风趣	duhovit	Govori vrlo duhovito.
风土人情	lokalni običaji	Putovanje pomaže razumjeti lokalne običaje.
风味	lokalni okus	Ovaj lokal ima snažan lokalni okus.
逢	svaki put kad; sresti	Svakog vikenda park je živahan.
奉献	posvetiti	Liječnik je pacijentima posvetio mnogo vremena.
否决	odbiti; uložiti veto	Upravni odbor odbio je ovaj prijedlog.
夫妇	bračni par	Ovaj bračni par vodi malu trgovinu.
夫人	supruga; gospođa	Gospodin Wang i njegova supruga zajedno su prisustvovali večeri.
敷衍	površan; otaljati	Samo je površno odgovorio s nekoliko rečenica.
俘虏	zarobljenik	Nakon završetka rata zarobljenici su pušteni.
幅度	opseg	Ovo sniženje cijena ima velik opseg.
服从	pokoravati se	Vojnici se moraju pokoravati zapovijedima.
服气	prihvatiti poraz	Izgubio je utakmicu, ali u srcu nije prihvatio poraz.
福利	pogodnosti	Zaposlenici pridaju veliku važnost pogodnostima tvrtke.
福气	sreća	Imati dobrog učitelja njegova je sreća.
符号	simbol	Ovaj simbol predstavlja opasnost.
辐射	zračenje	Liječnik ga je podsjetio da se kloni jakog zračenja.
俯视	gledati odozgo	S vrha planine može se gledati odozgo na cijeli grad.
抚摸	pomilovati	Nježno je pomilovala dijete po glavi.
抚养	odgajati	Djed i baka pomogli su odgajati dijete.
腐败	korupcija	Vlada se bori protiv korupcije.
腐烂	trunuti	Voće će istrunuti ako predugo stoji.
腐蚀	nagrizati	Kiselina može nagristi metalnu površinu.
腐朽	truo; propao	Kritizirali su propali sustav.
辅助	pomagati; pomoćni	Ovaj alat može pomoći u nastavi.
副	zamjenik; pomoćni	Imenovana je zamjenicom menadžera.
复活	oživjeti	Ovaj se tradicionalni festival ponovno oživljava.
复兴	preporod; oživljavanje	Kulturni preporod zahtijeva dugotrajan trud.
富裕	imućan; bogat	Ovo selo postaje sve imućnije.
腹泻	proljev	Ima jak proljev i mora posjetiti liječnika.
覆盖	prekriti	Obilan snijeg prekrio je cijelu dolinu.
负担	teret	Stanarina je postala njegov glavni teret.
赋予	dodijeliti; dati	Zakon građanima daje osnovna prava.
附和	povlađivati	On nema vlastito mišljenje i samo povlađuje drugima.
附件	privitak	Molim te, pogledaj privitak u e-pošti.
附属	pridružen; pomoćni	Ova je bolnica pridružena sveučilištu.
改良	poboljšati	Stručnjaci poboljšavaju ovu vrstu riže.
盖章	udariti pečat	Nakon potpisivanja ugovor treba opečatiti.
钙	kalcij	Mlijeko sadrži mnogo kalcija.
尴尬	neugodan	Na sastanku je nastala neugodna tišina.
干旱	suša	Dugotrajna suša utjecala je na usjeve.
干扰	ometati	Buka me ometa u radu.
干涉	miješati se	Roditelji se ne bi smjeli previše miješati u izbor djece.
干预	intervenirati	Vlada je na vrijeme intervenirala zbog tržišnog rizika.
感慨	biti dirnut	Kad je vidio stare fotografije, bio je vrlo dirnut.
感染	zaraziti	Ovaj virus lako zarazi djecu.
干劲	radni polet	Svi rade s velikim radnim poletom.
扛	podignuti; nositi	Predaja kaže da je bio dovoljno snažan da podigne težak kotao.
纲领	program	Sastanak je usvojio novi akcijski program.
岗位	radno mjesto	Brzo se prilagodila novom radnom mjestu.
港口	luka	Teretni brod pristao je u luci.
港湾	zaljev; luka	Mali brod uplovio je u mirni zaljev.
杠杆	poluga; financijska poluga	Ova je investicija koristila visoku financijsku polugu.
高超	izvrstan	Njegova vještina popravljanja automobila je izvrsna.
高潮	vrhunac	Utakmica je dosegnula vrhunac u posljednjih deset minuta.
高峰	vrhunac; špica	Osam ujutro je prometna špica.
高明	domišljat; briljantan	Ova je metoda zaista domišljata.
高尚	plemenit	Profesionalni duh liječnika je plemenit.
高涨	rasti; jačati	Oduševljenje publike stalno je raslo.
稿件	rukopis	Urednik uređuje rukopis.
告辞	oprostiti se	Već je kasno, pa ćemo se mi oprostiti.
告诫	upozoriti	Učitelj je upozorio učenike da ne varaju.
割	rezati	Slučajno je porezao prst.
搁	staviti; odložiti	Molim te, stavi dokumente na stol.
歌颂	hvaliti; slaviti	Ova pjesma slavi radnike.
疙瘩	kvržica	Na ruci mu se pojavila kvržica.
鸽子	golub	Na trgu ima mnogo golubova.
格局	raspored	Raspored ovog stana vrlo je razuman.
格式	format	Molim te, ispuni obrazac u propisanom formatu.
隔阂	otuđenje	Nesporazum je produbio otuđenje među njima.
隔离	izolirati	Pacijenta treba privremeno izolirati.
革命	revolucija	Ova je revolucija promijenila sudbinu zemlje.
个体	pojedinac	Svaki pojedinac ima različite potrebe.
各抒己见	svatko iznosi svoje mišljenje	Na sastanku je svatko iznio svoje mišljenje.
根深蒂固	duboko ukorijenjen	Ovo je shvaćanje već duboko ukorijenjeno.
根源	korijen; izvor	Korijeni siromaštva vrlo su složeni.
跟前	pred; blizu	Dijete je otrčalo majci.
跟随	slijediti	Novinar je slijedio ekipu u planinsko područje.
跟踪	pratiti	Policija prati kretanje osumnjičenika.
更新	ažurirati	Sustav će se večeras automatski ažurirati.
更正	ispraviti	Novine su sljedeći dan ispravile pogrešku.
耕地	obradivo zemljište; orati	Poljoprivrednici u proljeće oru polja.
供不应求	ponuda ne zadovoljava potražnju	Ovaj lijek trenutačno je u nestašici.
供给	opskrba	Grad treba stabilnu opskrbu vodom i električnom energijom.
公安局	Ured javne sigurnosti	Otišao je u Ured javne sigurnosti prijaviti slučaj.
公道	pravedan; pravda	Svi se nadaju pravednom postupanju.
公告	obavijest	Škola je objavila obavijest o obustavi nastave.
公关	odnosi s javnošću	Tvrtka je angažirala profesionalni tim za odnose s javnošću.
公民	građanin	Svaki građanin treba poštovati zakon.
公然	otvoreno	Otvoreno je prekršio pravila natjecanja.
公认	općepriznat	Ona je općepriznata kao izvrsna učiteljica.
公式	formula	Molim te, zapiši ovu matematičku formulu.
公务	službeni posao	Na službeni je posao otputovao na tri dana.
公正	pravedan	Sudac mora ostati pravedan.
公证	ovjera	Ovaj dokument treba ovjeru.
功劳	zasluga	Svatko ima zasluge za ovaj uspjeh.
功效	učinkovitost	Učinkovitost ovog lijeka još treba provjeriti.
宫殿	palača	Turisti su posjetili staru palaču.
工艺品	rukotvorina	Ova je rukotvorina izrađena ručno.
恭敬	s poštovanjem	S poštovanjem je pozdravio stariju osobu.
攻击	napasti	Hakeri su napali web-stranicu tvrtke.
攻克	savladati	Istraživački tim savladao je tehnički problem.
巩固	učvrstiti	Ponavljanje može učvrstiti naučeno znanje.
共和国	republika	Ova je republika osnovana u prošlom stoljeću.
共计	ukupno	Ova pošiljka ukupno ima tristo kutija.
共鸣	odjek; rezonancija	Ova je pjesma odjeknula kod mnogih ljudi.
勾结	doslušiti se	Oni su se dosluhnuli s vanjskim osobama kako bi prijevarom došli do novca.
钩子	kuka	Na zidu visi nekoliko kuka.
构思	osmišljavati	Pisac osmišljava novi roman.
姑且	zasad	Zasad isprobajmo ovaj plan tjedan dana.
孤独	usamljen	Nakon preseljenja u novi grad osjećao se usamljeno.
孤立	izoliran	Ne gledaj na ovaj problem izolirano.
辜负	iznevjeriti	Ne želim iznevjeriti očekivanja svojih roditelja.
古董	antikvitet	Djed je skupio nekoliko antikviteta.
古怪	čudan	Njegova je ideja pomalo čudna.
股东	dioničar	Skupština dioničara održat će se sljedeći tjedan.
股份	udio; dionice	On drži udio u tvrtki.
骨干	okosnica	Ti su inženjeri okosnica tima.
鼓动	potaknuti; huškati	Netko je potaknuo mnoštvo na prosvjed.
固然	doduše	Ova je metoda doduše jednostavna, ali rizik nije mali.
固体	kruta tvar	Led je kruti oblik vode.
固有	svojstven	Svaka kultura ima svoja svojstvena obilježja.
固执	tvrdoglav	Previše je tvrdoglav i ne želi poslušati savjete.
故乡	zavičaj	Mnogo godina poslije vratio se u zavičaj.
故障	kvar	Dizalo se pokvarilo i privremeno je izvan upotrebe.
雇佣	zaposliti	Tvrtka je odlučila zaposliti više tehničkog osoblja.
顾虑	briga; bojazan	Ako imaš kakvih briga, možeš ih izravno reći.
顾问	savjetnik	Angažirali smo pravnog savjetnika.
拐杖	štap za hodanje	Stariji čovjek često nosi štap za hodanje kad izlazi.
关怀	briga; skrb	Učitelj je učenicima pružio mnogo brige.
关照	paziti na; brinuti se	Molim te, na putu pripazi na dijete.
官方	službeni	Službena vijest bit će objavljena sutra.
观光	razgledavanje	Turisti su išli brodom u razgledavanje.
管辖	imati nadležnost	Ovo područje pod nadležnošću je gradske uprave.
惯例	uobičajena praksa	Uobičajena je praksa predstaviti goste prije početka sastanka.
灌溉	navodnjavati	Poljoprivrednici riječnom vodom navodnjavaju polja.
罐	limenka; staklenka	Na stolu stoji staklenka čaja.
贯彻	provesti	Tvrtka mora provesti nove sigurnosne standarde.
光彩	sjaj	Ova odjeća učinila ju je sjajnom.
光辉	slavan; blistav	Njegova postignuća ostavila su slavnu stranicu.
光芒	zrake svjetlosti	Sunčeve zrake osvijetlile su dolinu.
光荣	častan	Služiti zemlji je časno.
广阔	prostran	Travnjaci se protežu beskrajno i vrlo su prostrani.
归根到底	u konačnici	U konačnici, problem je u upravljanju.
归还	vratiti	Molim te, vrati knjige na vrijeme.
规范	norma; standard	Škola je postavila standarde za upravljanje laboratorijem.
规格	specifikacija	Specifikacije ove serije dijelova nisu ujednačene.
规划	planiranje	Urbanističko planiranje mora uzeti u obzir promet.
规章	pravilo; propis	Zaposlenici moraju poštovati pravila tvrtke.
轨道	tračnice; orbita	Vlak se kreće po tračnicama.
贵族	plemstvo	Ovo je imanje nekoć pripadalo plemstvu.
跪	kleknuti	Kleknuo je pred kipom.
棍棒	palica	Policija je na mjestu događaja zaplijenila palice.
国防	nacionalna obrana	Izgradnja nacionalne obrane zahtijeva dugoročna ulaganja.
国务院	Državno vijeće	Državno vijeće izdalo je novu obavijest.
果断	odlučan	Vođa je odlučno donio odluku.
过度	pretjeran	Pretjerana upotreba mobitela može utjecati na san.
过渡	prijelaz	Tvrtka je u prijelaznoj fazi transformacije.
过奖	pretjerano hvaliti	Pretjerujete s pohvalama, još moram učiti.
过滤	filtrirati	Ovaj uređaj može filtrirati nečistoće.
过失	pogreška	Ova je nesreća nastala zbog ljudske pogreške.
过问	uplitati se; zanimati se	Menadžer se rijetko upliće u ove sitnice.
过瘾	zadovoljavajući	Gledanje ove utakmice bilo je zaista zadovoljavajuće.
过于	previše	Ovaj je plan previše složen.
嗨	hej	Hej, kako to da si i ti došao?
海拔	nadmorska visina	Ovo je selo na velikoj nadmorskoj visini.
海滨	morska obala	Vikend su proveli na morskoj obali.
含糊	nejasan	Njegov je odgovor bio vrlo nejasan.
含义	značenje	Ova riječ ima posebno značenje.
寒暄	razmijeniti pozdrave	Nakon susreta prvo su razmijenili nekoliko pozdrava.
罕见	rijedak	Ova je bolest vrlo rijetka.
捍卫	braniti	Odvjetnik je nastojao braniti prava stranke.
航空	zrakoplovstvo	Zrakoplovna tvrtka otkazala je let.
航天	svemirski let	Kineski svemirski program brzo se razvija.
航行	ploviti	Brod plovi morem.
行列	redovi; skupina	Pridružila se redovima volontera.
毫米	milimetar	Ovo staklo debelo je pet milimetara.
毫无	nimalo	Njegovo objašnjenje nema nikakve osnove.
豪迈	odvažan	Njegovo je pjevanje bilo odvažno i snažno.
号召	pozvati	Vlada je pozvala sve da štede vodu.
耗费	potrošiti	Ovaj je projekt potrošio mnogo sredstava.
呵	viknuti	Otac je viknuo i dijete je odmah stalo.
合并	spojiti se	Dvije se tvrtke planiraju spojiti sljedeće godine.
合成	sintetizirati	Ovaj se materijal može umjetno sintetizirati.
合伙	udružiti se	Oni su zajedno otvorili restoran.
合算	isplativ	Vožnja autobusom isplativija je od taksija.
和蔼	ljubazan	Ovaj liječnik govori vrlo ljubazno.
和解	nagodba; pomiriti se	Obje su strane naposljetku postigle nagodbu.
和睦	skladan	Susjedi se slažu vrlo skladno.
和气	prijazan	Šef se prema ljudima odnosi vrlo prijazno.
和谐	skladan	Glazba je učinila ozračje skladnijim.
嘿	hej	Hej, jesi li čuo?
痕迹	trag	Na tlu su ostali tragovi kotača.
狠心	bezosjećajan	Bezosjećajno je odbio prijateljev zahtjev.
恨不得	jedva čekati	Jedva čekam odmah otići kući i odmoriti se.
哼	frknuti	Nezadovoljno je frknuo.
横	vodoravan	Molim te, nacrtaj vodoravnu crtu na papiru.
哄	prasnuti u smijeh	Svi su prasnuli u smijeh.
烘	peći	Kruh se peče u pećnici.
轰动	senzacija	Ova je vijest izazvala senzaciju u cijeloj zemlji.
宏观	makro; cjelovit	Moramo analizirati gospodarstvo iz makro perspektive.
宏伟	veličanstven	Dizajn ovog mosta vrlo je veličanstven.
洪水	poplava	Poplava je uništila nekoliko mostova.
喉咙	grlo	Previše je govorio pa ga malo boli grlo.
吼	urlati	Glasno je vikao prema daljini.
候选	kandidat	Ona je ovogodišnja kandidatkinja za predstavnicu.
后代	buduće generacije	Moramo štititi okoliš za buduće generacije.
后顾之忧	brige za budućnost	Stabilan prihod oslobodio ga je briga za budućnost.
后勤	logistika	Logistički odjel odgovoran je za opskrbu materijalom.
呼唤	zvati	Majka je na vratima zvala dijete.
呼啸	zavijati	Hladan vjetar zavijao je izvan prozora.
呼吁	pozvati; apelirati	Stručnjaci su pozvali sve da smanje rasipanje.
忽略	zanemariti	Molim te, nemoj zanemariti ovaj detalj.
湖泊	jezero	Ovo područje ima mnogo prirodnih jezera.
胡乱	nasumično; nemarno	Nemoj nasumično stavljati stvari na pod.
胡须	brada	Njegova je brada već pobijeljela.
花瓣	latica	Nakon kiše latice su pale po cijelom tlu.
花蕾	pupoljak	U proljeće na granama izrastaju pupoljci.
华丽	raskošan	Kostimi na pozornici bili su vrlo raskošni.
华侨	prekomorski Kinez	Mnogi prekomorski Kinezi vratili su se u domovinu ulagati.
划分	podijeliti	Učitelj je učenike podijelio u četiri skupine.
化肥	umjetno gnojivo	Poljoprivrednici su usjevima dodali umjetno gnojivo.
化石	fosil	Muzej je izložio fosile dinosaura.
化验	laboratorijska analiza	Liječnik ga je poslao na analizu krvi.
化妆	šminkati se	Šminkala se prije izlaska na pozornicu.
画蛇添足	pretjerati s nepotrebnim dodatkom	Dodavanje još objašnjenja bilo bi nepotrebno pretjerivanje.
话筒	mikrofon	Voditelj je pružio mikrofon publici.
欢乐	radost	Blagdanski trg bio je pun radosti.
环节	faza	Svaka faza obuke je važna.
还原	vratiti u izvorno stanje	Molimo vratite postavke na zadane vrijednosti.
缓和	ublažiti	Odnosi između dviju strana postupno su se ublažili.
患者	pacijent	Liječnik pita za pacijentovo stanje.
荒凉	pust	Ova zemlja izgleda vrlo pusto.
荒谬	apsurdan	Ovo objašnjenje zvuči apsurdno.
荒唐	besmislen	Njegova odluka bila je previše besmislena.
皇帝	car	Car je živio u veličanstvenoj palači.
皇后	carica	Carica je prisustvovala proslavi.
黄昏	sumrak	U sumrak su se upalile ulične svjetiljke.
恍然大悟	iznenada shvatiti	Nakon objašnjenja iznenada je sve shvatio.
晃	ljuljati se	Na trenutak se njegova sjena zaljuljala pred vratima.
挥霍	rasipati	Ne bi trebao rasipati novac svojih roditelja.
辉煌	sjajan	Ovaj grad ima sjajnu povijest.
回报	nagrada	Trud će na kraju donijeti nagradu.
回避	izbjegavati	Stalno je izbjegavao taj problem.
回顾	osvrnuti se	Na kraju je sastanak pregledao rad tijekom godine.
回收	reciklirati	Stambena zajednica počela je reciklirati stare baterije.
悔恨	kajanje	Osjećao je kajanje zbog prošlih pogrešaka.
毁灭	uništiti	Rat je gotovo uništio ovaj grad.
会晤	sastati se	Čelnici dviju zemalja sastat će se sutra.
汇报	izvijestiti	Izvijestio je voditelja o napretku.
贿赂	mito	Dužnosnik je bio pod istragom zbog mita.
昏迷	koma	Pacijent je još uvijek u komi.
荤	mesno jelo	Ovo jelo sadrži meso i nije prikladno za vegetarijance.
浑身	cijelo tijelo	Nakon trčanja cijelo mu je tijelo bilo mokro od znoja.
混合	pomiješati	Molimo ravnomjerno pomiješajte dva materijala.
混乱	kaos	Prizor je neko vrijeme bio vrlo kaotičan.
混淆	pobrkati	Nemoj pobrkati ta dva pojma.
混浊	mutan	Nakon kiše riječna je voda postala mutna.
活该	zaslužiti	Ignorirajući savjete, zaslužio je neuspjeh.
活力	vitalnost	Ovaj grad pun je vitalnosti.
火箭	raketa	Raketa je uspješno ušla u planiranu orbitu.
火焰	plamen	Vjetar je podigao plamen još više.
火药	barut	Barut je promijenio drevno ratovanje.
货币	valuta	Monetarna politika utječe na gospodarski razvoj.
基地	baza	Ovo je nekoć bila važna baza za obuku.
基金	fond	Škola je osnovala fond za stipendije.
基因	gen	Znanstvenici proučavaju ovaj gen.
机动	mobilan	Ovaj tim zadržava visoku mobilnost.
机构	ustanova	Ova ustanova odgovorna je za kontrolu kvalitete.
机灵	bistar	Ovo je dijete vrlo bistro.
机密	povjerljiv	Ti su materijali povjerljivi.
机械	strojevi	Tvornica je uvela nove strojeve.
机遇	prilika	Mladi bi trebali iskoristiti prilike.
机智	dovitljiv	Njegov je odgovor bio vrlo dovitljiv.
激发	potaknuti	Učitelj je potaknuo zanimanje učenika.
激励	ohrabriti	Ovaj uspjeh ohrabrio je cijeli tim.
激情	strast	Govorio je s puno strasti.
讥笑	rugati se	Nemoj se rugati tuđim pogreškama.
饥饿	glad	Dugotrajna glad može utjecati na zdravlje.
即便	čak i ako	Čak i ako padne kiša, krenut ćemo na vrijeme.
即将	uskoro	Sastanak će uskoro početi.
及早	što prije	Probleme treba rješavati što prije.
吉祥	povoljan	Crvena boja u Kini često simbolizira sreću.
嫉妒	zavidjeti	Ne bi trebao zavidjeti koleginu uspjehu.
急功近利	kratkovidno težiti brzoj koristi	Istraživanje se ne smije voditi kratkovidnom željom za brzom koristi.
急剧	nagao	Prodaja je naglo pala.
急切	nestrpljiv	Nestrpljivo je čekala vijesti.
急于求成	žuriti prema brzom uspjehu	Kod učenja jezika ne možeš žuriti prema brzom uspjehu.
急躁	nestrpljiv	Nemoj postati nestrpljiv kad naiđeš na poteškoće.
极端	krajnji	Ovakvo krajnje vrijeme postaje sve češće.
极限	granica	Ovaj trening iskušao je njegove granice.
疾病	bolest	Dobre navike mogu spriječiti bolest.
籍贯	mjesto podrijetla	U obrazac treba upisati mjesto podrijetla.
级别	razina	Ovo natjecanje podijeljeno je na tri razine.
集团	grupa	Ova grupa ima podružnice u inozemstvu.
给予	dati	Škola daje pomoć siromašnim studentima.
季军	treće mjesto	Osvojio je treće mjesto na natjecanju.
季度	tromjesečje	Tvrtka objavljuje financijska izvješća svakog tromjesečja.
寂静	tišina	Dolina je noću posebno tiha.
寄托	položiti nade	Položila je nade u svoje dijete.
