simplified	ML	example_ML
个人	വ്യക്തിപരമായ; വ്യക്തി	ഇത് എന്റെ വ്യക്തിപരമായ അഭിപ്രായമാണ്.
个性	വ്യക്തിത്വം	അവൾക്ക് ശക്തമായ വ്യക്തിത്വമുണ്ട്.
各自	ഓരോരുത്തരും സ്വന്തം	എല്ലാവരും സ്വന്തം ജോലി പൂർത്തിയാക്കുന്നു.
根	നീളം കൂടിയ വസ്തുക്കൾക്കുള്ള എണ്ണംപദം; വേർ	മേശയുടെ കീഴിൽ ഒരു വയർ ഉണ്ട്.
根本	ഒട്ടും; അടിസ്ഥാനപരമായി	ഈ പ്രശ്നം ഒട്ടും കഠിനമല്ല.
公布	പ്രഖ്യാപിക്കുക; പ്രസിദ്ധീകരിക്കുക	സ്കൂൾ പരീക്ഷാഫലങ്ങൾ പ്രഖ്യാപിച്ചു.
公开	പൊതു; തുറന്ന	ഈ യോഗം പൊതുയോഗമാണ്.
公平	ന്യായമായ	മത്സരം ന്യായമായിരിക്കണം.
公寓	അപ്പാർട്ട്മെന്റ്	അവൾ ഒരു ചെറിയ അപ്പാർട്ട്മെന്റ് വാടകയ്ക്ക് എടുത്തു.
公元	ക്രിസ്തുവർഷം	ഈ വർഷം ക്രിസ്തുവർഷം 2026 ആണ്.
公主	രാജകുമാരി	ചെറിയ പെൺകുട്ടിക്ക് രാജകുമാരിക്കഥകൾ ഇഷ്ടമാണ്.
功能	പ്രവർത്തനം; ഫംഗ്ഷൻ	ഈ സോഫ്റ്റ്‌വെയറിന് പല പ്രവർത്തനങ്ങളുണ്ട്.
工厂	ഫാക്ടറി	ഈ ഫാക്ടറി കാറുകൾ നിർമ്മിക്കുന്നു.
工程师	എഞ്ചിനീയർ	എന്റെ മൂത്ത സഹോദരൻ എഞ്ചിനീയറാണ്.
工具	ഉപകരണം	സൈക്കിൾ നന്നാക്കാൻ ഉപകരണങ്ങൾ വേണം.
工人	തൊഴിലാളി	തൊഴിലാളികൾ റോഡ് നന്നാക്കുന്നു.
工业	വ്യവസായം	ഈ നഗരം പ്രധാനമായി വ്യവസായത്തെ ആശ്രയിച്ചിരിക്കുന്നു.
恭喜	അഭിനന്ദനങ്ങൾ	പരീക്ഷ പാസായതിന് അഭിനന്ദനങ്ങൾ.
贡献	സംഭാവന ചെയ്യുക	അവൻ കമ്പനിക്ക് ഒരു സംഭാവന നൽകി.
沟通	ആശയവിനിമയം നടത്തുക	നല്ല ആശയവിനിമയം വളരെ പ്രധാനമാണ്.
构成	രൂപപ്പെടുത്തുക; ചേർന്ന് ഉണ്ടാകുക	ഈ ഭാഗങ്ങൾ ചേർന്ന് ഒരു സമഗ്രരൂപം ഉണ്ടാക്കുന്നു.
姑姑	പിതാവിന്റെ സഹോദരി	ഈ വാരാന്ത്യത്തിൽ ഞാൻ അമ്മായിയെ കാണാൻ പോകുന്നു.
姑娘	യുവതി; പെൺകുട്ടി	ആ യുവതി വളരെ ഹൃദയസൗഹൃദയുള്ളവളാണ്.
古代	പുരാതനകാലം	പുരാതനകാലത്ത് മൊബൈൽ ഫോണുകൾ ഉണ്ടായിരുന്നില്ല.
古典	ശാസ്ത്രീയ; ക്ലാസിക്കൽ	എനിക്ക് ശാസ്ത്രീയ സംഗീതം ഇഷ്ടമാണ്.
股票	ഓഹരി	അവൻ കുറച്ച് ഓഹരികൾ വാങ്ങി.
骨头	അസ്ഥി	ഈ അസ്ഥി വളരെ കഠിനമാണ്.
鼓舞	പ്രോത്സാഹിപ്പിക്കുക; ഉത്സാഹം നൽകുക	ഈ വാർത്ത വളരെ ഉത്സാഹകരമാണ്.
鼓掌	കൈയടിക്കുക	പ്രേക്ഷകർ അഭിനേതാക്കൾക്ക് കൈയടിച്ചു.
固定	നിശ്ചിത; സ്ഥിരമായ	എനിക്ക് നിശ്ചിത ജോലി സമയം ഉണ്ട്.
挂号	ആശുപത്രിയിൽ രജിസ്റ്റർ ചെയ്യുക	ഡോക്ടറെ കാണുന്നതിന് മുമ്പ് രജിസ്റ്റർ ചെയ്യണം.
乖	അനുസരണയുള്ള; നല്ല കുട്ടി	ഈ കുട്ടി വളരെ അനുസരണയുള്ളവനാണ്.
拐弯	വളവ് തിരിയുക	മുന്നിലെ ചുമട്ടിൽ വലത്തോട്ട് തിരിയൂ.
怪不得	അതുകൊണ്ടാണല്ലോ	അതുകൊണ്ടാണല്ലോ നീ ഇത്ര ക്ഷീണിച്ചിരിക്കുന്നത്.
关闭	അടയ്ക്കുക	പുറപ്പെടുന്നതിന് മുമ്പ് കമ്പ്യൂട്ടർ അടയ്ക്കൂ.
官	അധികാരി	അവൻ ഒരു യുവ അധികാരിയാണ്.
观察	നിരീക്ഷിക്കുക	ഡോക്ടർ രോഗിയുടെ നില നിരീക്ഷിക്കുന്നു.
观点	കാഴ്ചപ്പാട്	നിന്റെ കാഴ്ചപ്പാടിനോട് ഞാൻ യോജിക്കുന്നു.
观念	ധാരണ; ചിന്താഗതികൾ	യുവജനങ്ങളുടെ ചിന്താഗതികൾ മാറിക്കൊണ്ടിരിക്കുന്നു.
管子	കുഴൽ; പൈപ്പ്	ഈ പൈപ്പിൽ നിന്ന് വെള്ളം ചോർന്നുകൊണ്ടിരിക്കുന്നു.
冠军	ചാമ്പ്യൻ	അവൾ മത്സരത്തിൽ ചാമ്പ്യൻഷിപ്പ് നേടി.
光滑	മിനുസമുള്ള	ഈ മേശയുടെ ഉപരിതലം വളരെ മിനുസമുള്ളതാണ്.
光临	വീണ്ടും വരിക; സന്ദർശിക്കുക	അടുത്ത തവണ വീണ്ടും സന്ദർശിക്കാൻ സ്വാഗതം.
光明	പ്രകാശമുള്ള; ഉജ്ജ്വലമായ	ഭാവി ഉജ്ജ്വലമാണ്.
光盘	ഡിസ്ക്	ദയവായി സാമഗ്രികൾ ഡിസ്കിൽ സൂക്ഷിക്കൂ.
广场	ചത്വരം	ചത്വരത്തിൽ പലരും ഉണ്ട്.
广大	വിശാലമായ; വലിയൊരു വിഭാഗം	ഈ വാർത്ത വലിയൊരു വിഭാഗം വിദ്യാർത്ഥികൾ സ്വാഗതം ചെയ്തു.
广泛	വ്യാപകമായ	ഈ പുസ്തകത്തിന് വ്യാപകമായ സ്വാധീനമുണ്ട്.
归纳	സംഗ്രഹിക്കുക	അധ്യാപകൻ പ്രധാനപ്പെട്ട കാര്യങ്ങൾ സംഗ്രഹിക്കാൻ ഞങ്ങളെ സഹായിച്ചു.
规矩	നിയമം; ശീലം	കുട്ടികൾ നിയമങ്ങൾ മനസ്സിലാക്കണം.
规律	ക്രമം; നിയമം	ജീവിതത്തിന് ക്രമബദ്ധമായ താളം വേണം.
规模	തോത്; വലിപ്പം	ഈ കമ്പനി വലിപ്പത്തിൽ വലിയതാണ്.
规则	നിയമങ്ങൾ	മത്സരനിയമങ്ങൾ വളരെ വ്യക്തമാണ്.
柜台	കൗണ്ടർ	ദയവായി കൗണ്ടറിൽ പണം അടയ്ക്കൂ.
滚	തിളക്കുക; ഉരുളുക	വെള്ളം ഇതിനകം തിളക്കുന്നു.
锅	പാത്രം; ചട്ടി	പാത്രത്തിൽ ചൂട് സൂപ്പ് ഉണ്ട്.
国庆节	ദേശീയദിനം	ദേശീയദിനത്തിൽ ഞങ്ങൾക്ക് അവധി ഉണ്ട്.
国王	രാജാവ്	രാജാവ് കൊട്ടാരത്തിൽ താമസിക്കുന്നു.
果然	പ്രതീക്ഷിച്ചതുപോലെ	അവൻ പ്രതീക്ഷിച്ചതുപോലെ സമയത്ത് എത്തി.
果实	ഫലം; പഴം	മരം പഴങ്ങളാൽ നിറഞ്ഞിരിക്കുന്നു.
过分	അമിതമായ	അവന്റെ ആവശ്യം അല്പം അമിതമാണ്.
过敏	അലർജി	എനിക്ക് പുഷ്പരേണുവിന് അലർജിയുണ്ട്.
过期	കാലാവധി കഴിഞ്ഞ	ഈ പാൽക്കുപ്പിയുടെ കാലാവധി കഴിഞ്ഞു.
哈	ഹാ	ഹാ, എനിക്ക് ഒടുവിൽ മനസ്സിലായി.
海关	കസ്റ്റംസ്	കസ്റ്റംസിൽ പരിശോധനക്കായി ഞങ്ങൾ വരിയിൽ നിന്നു.
海鲜	കടൽവിഭവം	ഈ റെസ്റ്റോറന്റിലെ കടൽവിഭവം വളരെ പുതുതാണ്.
喊	വിളിച്ചുപറയുക	ക്ലാസ് മുറിയിൽ ഉച്ചത്തിൽ വിളിച്ചുപറയരുത്.
行业	വ്യവസായരംഗം	ടൂറിസം വ്യവസായം വേഗത്തിൽ വികസിക്കുന്നു.
豪华	ആഡംബരമുള്ള	അവർ ഒരു ആഡംബര ഹോട്ടലിൽ താമസിക്കുന്നു.
好客	അതിഥിസത്കാരമുള്ള	പ്രാദേശികർ വളരെ അതിഥിസത്കാരമുള്ളവരാണ്.
好奇	കൗതുകമുള്ള	കുട്ടികൾക്ക് ലോകത്തെക്കുറിച്ച് വളരെ കൗതുകമുണ്ട്.
何必	എന്തിന് വേണം; ആവശ്യമില്ല	ഒരു ചെറിയ കാര്യത്തിനായി കോപിക്കേണ്ടതെന്തിന്?
何况	അതുമാത്രമല്ല; പിന്നെ പറയേണ്ടതില്ല	ഇന്ന് തണുപ്പാണ്, അതുമാത്രമല്ല മഴയും പെയ്യുന്നു.
合法	നിയമാനുസൃതമായ	ഈ കരാർ നിയമാനുസൃതമാണ്.
合理	യുക്തിസഹമായ; ന്യായമായ	ഈ വില ന്യായമാണ്.
合同	കരാർ	അവർ ഒരു കരാറിൽ ഒപ്പുവച്ചു.
合影	ഗ്രൂപ്പ് ഫോട്ടോ	ബിരുദദാനസമയത്ത് ഞങ്ങൾ ഗ്രൂപ്പ് ഫോട്ടോ എടുത്തു.
合作	സഹകരണം; സഹകരിക്കുക	സഹകരണത്തിലൂടെ ഞങ്ങൾ പദ്ധതി പൂർത്തിയാക്കി.
和平	സമാധാനം	എല്ലാവരും സമാധാനം ആഗ്രഹിക്കുന്നു.
核心	മൂലകേന്ദ്രം; അടിസ്ഥാനം	വിശ്വാസമാണ് സഹകരണത്തിന്റെ അടിസ്ഥാനം.
恨	പശ്ചാത്തപിക്കുക; വെറുക്കുക	മുമ്പ് കഠിനമായി പഠിക്കാത്തതിൽ അവൻ പശ്ചാത്തപിക്കുന്നു.
猴子	കുരങ്ങ്	മൃഗശാലയിൽ ചില കുരങ്ങുകൾ ഉണ്ട്.
后背	മുതുക്	അവന്റെ മുതുകിന് അല്പം വേദനയുണ്ട്.
后果	ഫലം; അനന്തരഫലം	നീ അനന്തരഫലം പരിഗണിക്കണം.
呼吸	ശ്വസിക്കുക	ദയവായി ആഴത്തിൽ ശ്വാസം എടുക്കൂ.
忽然	പെട്ടെന്ന്	ആകാശം പെട്ടെന്ന് ഇരുണ്ടു.
忽视	അവഗണിക്കുക	ഈ പ്രശ്നം അവഗണിക്കരുത്.
壶	കലം; ചായക്കുടം	മേശപ്പുറത്ത് ഒരു ചായക്കുടമുണ്ട്.
糊涂	കുഴഞ്ഞ; ആശയക്കുഴപ്പം	ഇന്ന് എനിക്ക് അല്പം ആശയക്കുഴപ്പമുണ്ട്.
胡说	അസംബന്ധം പറയുക	അസംബന്ധം പറയരുത്; ഇത് സത്യമല്ല.
胡同	ഇടവഴി	ബീജിംഗിൽ പല പഴയ ഇടവഴികളുണ്ട്.
蝴蝶	ശലഭം	തോട്ടത്തിൽ ഒരു ശലഭമുണ്ട്.
花生	നിലക്കടല	അവന് നിലക്കടല തിന്നാൻ ഇഷ്ടമാണ്.
华裔	ചൈനീസ് വംശജനായ	അവൾ ചൈനീസ് വംശജയായ എഴുത്തുകാരിയാണ്.
滑	വഴുക്കുന്ന; മിനുസമുള്ള	തറ വഴുക്കലാണ്, ശ്രദ്ധിക്കൂ.
划	വഞ്ചി തുഴയുക	വഞ്ചിയിൽ പോകുമ്പോൾ തുഴയാനുള്ള ചുമതല അവനാണ്.
化学	രസതന്ത്രം	അവൾ സർവകലാശാലയിൽ രസതന്ത്രം പഠിച്ചു.
话题	വിഷയം	ഈ വിഷയം വളരെ രസകരമാണ്.
怀念	ഓർക്കി വേദനിക്കുക; ഓർമ്മിക്കുക	എനിക്ക് സർവകലാശാല ജീവിതം വളരെ ഓർമ്മ വരുന്നു.
怀孕	ഗർഭിണിയായ	അവൾക്ക് മൂന്ന് മാസം ഗർഭമാണ്.
缓解	ലഘൂകരിക്കുക	വിശ്രമം സമ്മർദ്ദം ലഘൂകരിക്കും.
幻想	കൽപ്പന; സ്വപ്നം കാണുക	അവൻ പലപ്പോഴും ബഹിരാകാശയാത്രയെക്കുറിച്ച് സ്വപ്നം കാണുന്നു.
慌张	പേടിച്ചുപോകുന്ന; പരിഭ്രമം	പ്രശ്നം വന്നാൽ പരിഭ്രമിക്കരുത്.
黄金	സ്വർണം	സ്വർണത്തിന്റെ വില വീണ്ടും ഉയർന്നു.
恢复	മടങ്ങിയെത്തുക; സുഖം പ്രാപിക്കുക	അവന്റെ ശരീരം സുഖം പ്രാപിക്കുന്നു.
挥	കൈ വീശുക	അവൾ കൈ വീശി.
灰	ചാരനിറം	ആകാശം ചാരനിറമാണ്.
灰尘	പൊടി	മേശപ്പുറത്ത് വളരെ പൊടി ഉണ്ട്.
灰心	നിരാശപ്പെടുക	പരാജയപ്പെട്ടാലും നിരാശപ്പെടരുത്.
汇率	വിനിമയ നിരക്ക്	ഇന്നത്തെ വിനിമയ നിരക്ക് എത്രയാണ്?
婚礼	വിവാഹചടങ്ങ്	അവരുടെ വിവാഹചടങ്ങ് വളരെ ലളിതമായിരുന്നു.
婚姻	വിവാഹം	വിവാഹത്തിന് പരസ്പര മനസ്സിലാക്കൽ വേണം.
活跃	സജീവമായ	അവൻ ക്ലാസിൽ വളരെ സജീവനാണ്.
伙伴	കൂട്ടാളി; പങ്കാളി	അവൻ എന്റെ മികച്ച കൂട്ടാളിയാണ്.
火柴	തീക്കൊള്ളി	പെട്ടിയിൽ ഒരു തീക്കൊള്ളി മാത്രം ബാക്കിയുണ്ട്.
或许	ബഹുശഃ; ഒരുപക്ഷേ	ബഹുശഃ നാളെ മഴ പെയ്യും.
基本	അടിസ്ഥാന	ഇവ അടിസ്ഥാന ആവശ്യങ്ങളാണ്.
机器	യന്ത്രം	ഈ യന്ത്രം കേടായി.
激烈	കടുത്ത; ശക്തമായ	മത്സരം വളരെ കടുത്തതായിരുന്നു.
肌肉	പേശി	വ്യായാമത്തിനുശേഷം എന്റെ പേശികൾ അല്പം വേദനിക്കുന്നു.
及格	പരീക്ഷ പാസാകുക	അവൻ ഈ പരീക്ഷ പാസായി.
急忙	തിടുക്കത്തിൽ	അവൻ തിടുക്കത്തിൽ ക്ലാസ് മുറിയിൽ നിന്ന് ഓടി പുറപ്പെട്ടു.
急诊	അത്യാഹിത വിഭാഗം	രോഗിയെ അത്യാഹിത വിഭാഗത്തിലേക്ക് അയച്ചു.
极其	അത്യന്തം	ഈ വിഷയം അത്യന്തം പ്രധാനമാണ്.
集合	കൂടിച്ചേരുക	ദയവായി എട്ട് മണിക്ക് പ്രവേശന കവാടത്തിൽ കൂടിച്ചേരൂ.
集体	കൂട്ടായ; സംഘം	ഇത് ഒരു കൂട്ടായ പ്രവർത്തനമാണ്.
集中	ശ്രദ്ധ കേന്ദ്രീകരിക്കുക	ക്ലാസിൽ നീ ശ്രദ്ധ കേന്ദ്രീകരിക്കണം.
寂寞	ഒറ്റപ്പെട്ട; ഏകാന്തമായ	ഒറ്റയ്ക്ക് താമസിക്കുന്നത് ചിലപ്പോൾ ഏകാന്തമാകാം.
系领带	ടൈ കെട്ടുക	അവൻ ദിവസവും ജോലിക്ക് മുമ്പ് ടൈ കെട്ടുന്നു.
纪录	റെക്കോർഡ്	അവൻ സ്കൂളിന്റെ റെക്കോർഡ് തകർത്തു.
纪律	ശാസനം; ക്രമശിക്ഷണം	ക്ലാസ് മുറിയിലെ ശാസനം വളരെ പ്രധാനമാണ്.
纪念	സ്മരിക്കുക	ഈ ദിവസത്തെ സ്മരിക്കാൻ ഞങ്ങൾ ഫോട്ടോകൾ എടുത്തു.
计算	കണക്കുകൂട്ടുക	ദയവായി മൊത്തച്ചെലവ് കണക്കുകൂട്ടൂ.
记录	രേഖപ്പെടുത്തുക	ദയവായി യോഗത്തിന്റെ ഉള്ളടക്കം രേഖപ്പെടുത്തൂ.
记忆	ഓർമ്മ	ഈ ഓർമ്മ വളരെ വിലപ്പെട്ടതാണ്.
嘉宾	വിശിഷ്ടാതിഥി	ഇന്നത്തെ വിശിഷ്ടാതിഥി ഒരു എഴുത്തുകാരനാണ്.
夹子	ക്ലിപ്പ്	ദയവായി രേഖകൾ ക്ലിപ്പിൽ പിടിപ്പിക്കൂ.
家庭	കുടുംബം	കുട്ടികൾക്ക് കുടുംബം വളരെ പ്രധാനമാണ്.
家务	വീട്ടുപണി	വാരാന്ത്യത്തിൽ എനിക്ക് വീട്ടുപണി ചെയ്യണം.
家乡	ജന്മനാട്	എനിക്ക് എന്റെ ജന്മനാട് വളരെ ഓർമ്മ വരുന്നു.
假如	എങ്കിൽ; കരുതുക	നാളെ മഴ പെയ്താൽ നാം പോകില്ല.
假设	കരുതുക; സങ്കൽപ്പം	നീ അധ്യാപകനാണെന്ന് കരുതിയാൽ നീ എന്ത് ചെയ്യും?
假装	നടിക്കുക	അവൻ കേട്ടില്ലെന്ന് നടിച്ചു.
甲	ആദ്യ പക്ഷം	ആദ്യ പക്ഷം സമയത്ത് പണം അടയ്ക്കണം.
价值	മൂല്യം	ഈ പുസ്തകത്തിന് വലിയ മൂല്യമുണ്ട്.
嫁	വിവാഹം കഴിക്കുക	അവൾ അടുത്ത വർഷം പ്രണയനുമായി വിവാഹം കഴിക്കും.
驾驶	ഓടിക്കുക; വാഹനം നിയന്ത്രിക്കുക	കാർ ഓടിക്കുമ്പോൾ ശ്രദ്ധയോടെ ഓടിക്കുക.
兼职	ഭാഗകാല ജോലി	അവൻ വൈകുന്നേരങ്ങളിൽ ഭാഗകാല ജോലി ചെയ്യുന്നു.
坚决	ദൃഢമായ; ഉറച്ച	അവൻ ഈ തീരുമാനത്തെ ഉറച്ചുനിൽക്കെ എതിർക്കുന്നു.
坚强	ശക്തമായ; മനോബലമുള്ള	അവൾ മനോബലമുള്ള വ്യക്തിയാണ്.
肩膀	തോൾ	അവന്റെ തോളിന് പരിക്കേറ്റിട്ടുണ്ട്.
艰巨	വളരെ പ്രയാസമുള്ള	ഇത് വളരെ പ്രയാസമുള്ള ജോലിയാണ്.
艰苦	കഠിനമായ	അവർ കഠിനമായ ജീവിതം അനുഭവിച്ചു.
剪刀	കത്രിക	ദയവായി കത്രിക എനിക്കു തരൂ.
捡	എടുത്തുകിട്ടുക	അവൻ നിലത്തുനിന്ന് പേഴ്‌സ് എടുത്തു.
简历	ജീവചരിത്രക്കുറിപ്പ്; തൊഴിൽവിവരക്കുറിപ്പ്	ജോലിക്ക് അപേക്ഷിക്കുന്നതിന് മുമ്പ് തൊഴിൽവിവരക്കുറിപ്പ് തയ്യാറാക്കൂ.
简直	വളരെ; ഒട്ടും അതിശയോക്തിയല്ലാതെ	ഈ വാർത്ത ശരിക്കും ഞെട്ടിക്കുന്നതാണ്.
健身	വ്യായാമം ചെയ്യുക	അവൻ ആഴ്ചയിൽ മൂന്ന് പ്രാവശ്യം വ്യായാമം ചെയ്യാൻ പോകുന്നു.
建立	സ്ഥാപിക്കുക	ഞങ്ങൾ ഒരു പുതിയ ബന്ധം സ്ഥാപിച്ചു.
建设	നിർമാണം; നിർമ്മിക്കുക	നഗരനിർമാണം വേഗത്തിൽ വികസിക്കുന്നു.
建筑	കെട്ടിടം	ഈ കെട്ടിടത്തിന് പ്രത്യേക സവിശേഷതകളുണ്ട്.
键盘	കീബോർഡ്	എന്റെ കീബോർഡ് വൃത്തിയാക്കണം.
讲究	പ്രത്യേകം ശ്രദ്ധിക്കുക	ചൈനക്കാർ ഭക്ഷണത്തിന് വളരെ പ്രാധാന്യം നൽകുന്നു.
讲座	പ്രഭാഷണം	ഇന്ന് രാത്രി ഒരു ചൈനീസ് പ്രഭാഷണം ഉണ്ട്.
酱油	സോയ സോസ്	ഭക്ഷണത്തിൽ അല്പം സോയ സോസ് ചേർക്കൂ.
交换	മാറ്റിക്കൊടുക്കുക	ഞങ്ങൾ ഫോൺ നമ്പറുകൾ മാറ്റിക്കൊടുത്തു.
交际	സാമൂഹിക ആശയവിനിമയം	ഭാഷ പഠിക്കുമ്പോൾ ആശയവിനിമയവും അഭ്യസിക്കണം.
交往	ബന്ധം പുലർത്തുക; പ്രണയബന്ധത്തിൽ ഇരിക്കുക	അവർ രണ്ട് വർഷമായി പ്രണയബന്ധത്തിലാണ്.
浇	വെള്ളമൊഴിക്കുക	ദയവായി പൂക്കൾക്ക് ദിവസവും വെള്ളമൊഴിക്കൂ.
胶水	പശ	ഫോട്ടോ ഒട്ടിക്കാൻ ഞാൻ പശ ഉപയോഗിച്ചു.
狡猾	കപടനായ; ചതിയുള്ള	ആ കുറുക്കൻ വളരെ ചതിയുള്ളതാണ്.
角度	കോണം; കാഴ്ചപ്പാട്	നമുക്ക് പ്രശ്നം മറ്റൊരു കാഴ്ചപ്പാടിൽ നിന്ന് നോക്കാം.
教材	പാഠപുസ്തകം	ഈ പാഠപുസ്തകം വളരെ പ്രായോഗികമാണ്.
教练	പരിശീലകൻ	പരിശീലകൻ സമയത്ത് എത്തണമെന്ന് ഞങ്ങളോട് ആവശ്യപ്പെടുന്നു.
教训	പാഠം	ഈ പരാജയം ഒരു പാഠമാണ്.
接触	സമ്പർക്കം; പരിചയം	ഇത് ചൈനീസ് സംസ്കാരവുമായി എന്റെ ആദ്യ പരിചയമാണ്.
接待	സ്വീകരിക്കുക	അതിഥികളെ സ്വീകരിക്കാൻ കമ്പനി ഒരാളെ ഏർപ്പെടുത്തി.
接近	അടുത്തുവരുക	വസന്തോത്സവം അടുത്തുവരുന്നു.
结实	ബലമുള്ള; ഉറപ്പുള്ള	ഈ സ്യൂട്ട്‌കേസ് വളരെ ഉറപ്പുള്ളതാണ്.
阶段	ഘട്ടം	പഠനം മൂന്ന് ഘട്ടങ്ങളായി വിഭജിച്ചിരിക്കുന്നു.
结构	ഘടന	ഈ ലേഖനത്തിന്റെ ഘടന വ്യക്തമാണ്.
结合	ചേർക്കുക; സംയോജിപ്പിക്കുക	പഠനം പ്രായോഗിക പരിശീലനവുമായി ചേർക്കണം.
结论	നിഗമനം	അവന്റെ നിഗമനം വളരെ വിശ്വസനീയമാണ്.
结账	ബിൽ അടയ്ക്കുക	ഭക്ഷണം കഴിച്ചതിന് ശേഷം ഞങ്ങൾ ബിൽ അടയ്ക്കാൻ പോയി.
节省	ലാഭിക്കുക; സംരക്ഷിക്കുക	സബ്‌വേയിൽ പോകുന്നത് സമയം ലാഭിക്കും.
借口	കാരണക്കാരണം; വ്യാജകാരണം	കാരണക്കാരണം പറയുന്നത് നിർത്തൂ.
届	മത്സരത്തിന്റെ ഘട്ടം; തവണ	ഇത് മൂന്നാമത്തെ മത്സരമാണ്.
戒	വിടുക; മുന്നറിയിപ്പ് നൽകുക	ഡോക്ടർ അവനോട് പുകവലി വിടാൻ ഉപദേശിച്ചു.
戒指	മോതിരം	അവൾ ഒരു മോതിരം ധരിച്ചിരിക്കുന്നു.
金属	ലോഹം	ഇരുമ്പ് ഒരു ലോഹമാണ്.
尽快	എത്രയും വേഗം	ദയവായി ഇമെയിലിന് എത്രയും വേഗം മറുപടി നൽകൂ.
紧急	അടിയന്തര	ഇത് ഒരു അടിയന്തര കാര്യമാണ്.
谨慎	ജാഗ്രതയുള്ള; സൂക്ഷ്മമായ	നിക്ഷേപിക്കുന്നതിന് മുമ്പ് ജാഗ്രത പുലർത്തൂ.
尽力	പരമാവധി ശ്രമിക്കുക	നിന്നെ സഹായിക്കാൻ ഞാൻ പരമാവധി ശ്രമിക്കും.
尽量	കഴിയുന്നതത്ര	ദയവായി കഴിയുന്നതത്ര നേരത്തെ എത്താൻ ശ്രമിക്കൂ.
近代	ആധുനികകാലം	ആധുനികകാല ചൈനയിൽ നിരവധി മാറ്റങ്ങൾ സംഭവിച്ചു.
进步	പുരോഗതി; മെച്ചപ്പെടുക	അവന്റെ ചൈനീസ് വേഗത്തിൽ മെച്ചപ്പെടുന്നു.
进口	ഇറക്കുമതി ചെയ്ത	ഈ കാർ ഇറക്കുമതി ചെയ്തതാണ്.
精力	ഊർജം	കുട്ടികൾക്ക് വളരെയധികം ഊർജമുണ്ട്.
精神	മാനസികാവസ്ഥ; ഉത്സാഹം	ഇന്ന് അവന്റെ മാനസികാവസ്ഥ നല്ലതാണ്.
经典	ക്ലാസിക്	ഇത് ഒരു ക്ലാസിക് സിനിമയാണ്.
经商	വ്യാപാരം ചെയ്യുക	അവന്റെ അച്ഛൻ വിദേശത്ത് വ്യാപാരം ചെയ്യുന്നു.
经营	നടത്തുക; നിയന്ത്രിക്കുക	അവൾ ഒരു ചെറിയ കട നടത്തുന്നു.
酒吧	ബാർ	വൈകുന്നേരം അവർ ബാറിലേക്ക് പോയി.
救	രക്ഷിക്കുക	ഡോക്ടർ അവന്റെ ജീവൻ രക്ഷിച്ചു.
救护车	ആംബുലൻസ്	ആംബുലൻസ് വേഗത്തിൽ എത്തി.
舅舅	അമ്മാവൻ	എന്റെ അമ്മാവൻ നാൻജിംഗിൽ താമസിക്കുന്നു.
居然	അപ്രതീക്ഷിതമായി; പോലും	അവൻ സ്വന്തം ജന്മദിനം പോലും മറന്നു.
桔子	മാൻഡറിൻ ഓറഞ്ച്	മേശപ്പുറത്ത് ചില മാൻഡറിൻ ഓറഞ്ചുകളുണ്ട്.
俱乐部	ക്ലബ്	അവൾ നീന്തൽ ക്ലബ്ബിൽ ചേർന്നു.
具备	ഉണ്ടായിരിക്കുക; കൈവശംവെക്കുക	അവന് മാനേജ്മെന്റ് അനുഭവമുണ്ട്.
具体	നിശ്ചിത; വ്യക്തമായ	ദയവായി കുറച്ച് കൂടി വ്യക്തമായി പറയൂ.
巨大	വിപുലമായ; അതിവലിയ	ഈ പദ്ധതിക്ക് വലിയ നിക്ഷേപം വേണം.
据说	കേൾക്കുന്നത് പ്രകാരം	കേൾക്കുന്നത് പ്രകാരം അവൻ ഇതിനകം സ്വന്തം രാജ്യത്തേക്ക് മടങ്ങിയിട്ടുണ്ട്.
捐	സംഭാവന ചെയ്യുക	എല്ലാവരും പണം സംഭാവന ചെയ്യാൻ തയ്യാറാണ്.
决赛	ഫൈനൽ മത്സരം	നാളെ ഫുട്ബോൾ ഫൈനൽ മത്സരം ആണ്.
决心	ദൃഢനിശ്ചയം	ചൈനീസ് നന്നായി പഠിക്കാൻ അവൻ ദൃഢനിശ്ചയം ചെയ്തു.
绝对	തീർച്ചയായും; ഒരിക്കലും	ഈ കാര്യം തീർച്ചയായും മറക്കരുത്.
角色	വേഷം; കഥാപാത്രം	അവൾ സിനിമയിൽ ഒരു പ്രധാന വേഷം ചെയ്യുന്നു.
军事	സൈനിക	അവന് സൈനികചരിത്രത്തിൽ വളരെ താൽപ്പര്യമുണ്ട്.
均匀	സമമായി	ദയവായി നിറം സമമായി പുരട്ടൂ.
卡车	ലോറി	പ്രവേശന കവാടത്തിൽ ഒരു ലോറി നിർത്തിയിരിക്കുന്നു.
开发	വികസിപ്പിക്കുക	കമ്പനി ഒരു പുതിയ ഉൽപ്പന്നം വികസിപ്പിക്കുന്നു.
开放	തുറക്കുക; പൊതുജനങ്ങൾക്ക് തുറക്കുക	പാർക്ക് ഓരോ രാവിലെയും ആറുമണിക്ക് തുറക്കുന്നു.
开幕式	ഉദ്ഘാടനച്ചടങ്ങ്	ഉദ്ഘാടനച്ചടങ്ങ് നാളെ വൈകുന്നേരം നടക്കും.
