hsk_key	source_word	simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
5134:业	业	业	業界; 職業	サービス業にはより多くの専門人材が必要だ。	업; 산업	서비스업에는 더 많은 전문 인력이 필요하다.	ngành; nghề	Ngành dịch vụ cần nhiều nhân lực chuyên môn hơn.	อุตสาหกรรม; อาชีพ	ภาคบริการต้องการผู้เชี่ยวชาญมากขึ้น	industri; bidang	Industri perkhidmatan memerlukan lebih ramai tenaga profesional.	industri; bidang kerja	Industri jasa membutuhkan lebih banyak tenaga profesional.
5139:衣食住行	衣食住行	衣食住行	衣食住と移動; 生活の基本	この報告書は都市住民の生活の基本を分析している。	의식주와 이동; 생활 필수 요소	이 보고서는 도시 주민의 기본 생활 요소를 분석한다.	ăn mặc ở đi lại; nhu cầu thiết yếu	Báo cáo này phân tích các nhu cầu thiết yếu của cư dân đô thị.	ปัจจัยพื้นฐานในชีวิต; เสื้อผ้าอาหารที่อยู่การเดินทาง	รายงานนี้วิเคราะห์ปัจจัยพื้นฐานของชาวเมือง	keperluan asas hidup; pakaian makanan tempat tinggal dan perjalanan	Laporan ini menganalisis keperluan asas penduduk bandar.	kebutuhan dasar hidup; sandang pangan papan dan transportasi	Laporan ini menganalisis kebutuhan dasar penduduk kota.
5140:医药	医药	医药	医薬; 医療と薬	近年、医療と薬の費用はやや上がっている。	의약; 의료와 약품	최근 몇 년 동안 의료와 의약품 비용이 다소 올랐다.	y dược; thuốc men	Chi phí y tế và dược phẩm đã tăng phần nào trong những năm gần đây.	การแพทย์และยา	ค่าใช้จ่ายด้านการแพทย์และยาสูงขึ้นบ้างในช่วงไม่กี่ปีที่ผ่านมา	perubatan dan farmaseutikal	Kos perubatan dan ubat-ubatan meningkat sedikit dalam beberapa tahun kebelakangan ini.	medis dan farmasi	Biaya medis dan obat-obatan agak naik dalam beberapa tahun terakhir.
5141:一一	一一	一一	一つ一つ; 順番に	先生は問題を一つ一つ説明した。	하나하나; 일일이	선생님은 문제를 하나하나 설명했다.	từng cái một; lần lượt	Giáo viên giải thích từng câu hỏi một.	ทีละข้อ; ทีละอย่าง	ครูอธิบายคำถามทีละข้อ	satu demi satu; satu per satu	Guru menerangkan soalan satu demi satu.	satu per satu	Guru menjelaskan pertanyaan satu per satu.
5142:姨	姨	姨	おば; 母方のおば	今日、叔母が夕食を食べに家に来る。	이모	오늘 이모가 우리 집에 저녁을 먹으러 온다.	dì; cô dì bên mẹ	Hôm nay dì tôi đến nhà tôi ăn tối.	น้า; ป้าฝ่ายแม่	วันนี้น้าจะมาทานข้าวเย็นที่บ้านฉัน	mak cik sebelah ibu; ibu saudara	Mak cik saya akan datang ke rumah untuk makan malam hari ini.	bibi dari pihak ibu; tante	Hari ini bibi saya akan datang ke rumah untuk makan malam.
5146:一带	一带	一带	一帯; 付近	学校の一帯には本屋がたくさんある。	일대; 부근	학교 일대에는 서점이 많다.	khu vực; vùng lân cận	Quanh khu vực trường học có nhiều hiệu sách.	แถบ; บริเวณ	แถบโรงเรียนมีร้านหนังสือหลายแห่ง	kawasan sekitar; sekitar	Di sekitar kawasan sekolah terdapat banyak kedai buku.	daerah sekitar; kawasan	Di sekitar sekolah ada banyak toko buku.
5147:一道	一道	一道	一緒に; 同時に	一緒に展覧会を見に行こう。	함께; 같이	우리 함께 전시회를 보러 가자.	cùng nhau; đồng thời	Chúng ta cùng đi xem triển lãm nhé.	ด้วยกัน; พร้อมกัน	ไปชมนิทรรศการด้วยกันเถอะ	bersama-sama; serentak	Mari kita pergi melihat pameran bersama-sama.	bersama-sama; sekaligus	Ayo kita pergi melihat pameran bersama-sama.
5155:一系列	一系列	一系列	一連の	その会社は一連の新製品を発売した。	일련의	그 회사는 일련의 신제품을 출시했다.	một loạt	Công ty đã tung ra một loạt sản phẩm mới.	ชุดของ; หลายรายการต่อเนื่อง	บริษัทเปิดตัวผลิตภัณฑ์ใหม่ชุดหนึ่ง	satu siri	Syarikat itu melancarkan satu siri produk baharu.	serangkaian	Perusahaan itu meluncurkan serangkaian produk baru.
5157:一阵	一阵	一阵	ひとしきり; 一陣	窓の外から涼しい風が吹き込んだ。	한바탕; 한차례	창밖에서 시원한 바람이 불어 들어왔다.	một đợt; một lúc	Một làn gió mát thổi vào từ ngoài cửa sổ.	พักหนึ่ง; กระโชกหนึ่ง	ลมเย็นพัดเข้ามาจากนอกหน้าต่าง	satu hembusan; seketika	Angin sejuk bertiup masuk dari luar tingkap.	sembusan; sesaat	Angin sejuk bertiup masuk dari luar jendela.
5158:遗址	遗址	遗址	遺跡; 史跡	この古代都市の遺跡は多くの観光客を引きつけた。	유적; 유적지	이 고대 도시 유적은 많은 관광객을 끌어들였다.	di chỉ; khu di tích	Di chỉ thành cổ này đã thu hút nhiều du khách.	โบราณสถาน; ซากเมืองเก่า	โบราณสถานเมืองเก่าแห่งนี้ดึงดูดนักท่องเที่ยวจำนวนมาก	tapak peninggalan; tapak bersejarah	Tapak kota purba ini menarik ramai pelancong.	situs peninggalan; situs bersejarah	Situs kota kuno ini menarik banyak wisatawan.
5163:益处	益处	益处	利点; 益	毎日運動することは健康に多くの利点がある。	이점; 유익	매일 운동하는 것은 건강에 많은 이점이 있다.	lợi ích; ích lợi	Tập thể dục hằng ngày có nhiều lợi ích cho sức khỏe.	ประโยชน์; ข้อดี	การออกกำลังกายทุกวันมีประโยชน์ต่อสุขภาพมาก	faedah; manfaat	Senaman harian mempunyai banyak manfaat untuk kesihatan.	manfaat; keuntungan	Olahraga setiap hari memiliki banyak manfaat bagi kesehatan.
5164:一帆风顺	一帆风顺	一帆风顺	順風満帆; 物事が順調だ	新しい仕事が順調に進むよう願っています。	순조롭다; 만사형통하다	새 직장에서 모든 일이 순조롭기를 바랍니다.	thuận buồm xuôi gió; suôn sẻ	Tôi chúc bạn mọi việc suôn sẻ trong công việc mới.	ราบรื่น; ประสบความสำเร็จโดยไม่มีอุปสรรค	ขอให้คุณราบรื่นในงานใหม่	lancar; berjalan baik	Saya berharap kerja baharu anda berjalan lancar.	lancar; berjalan mulus	Saya berharap pekerjaan baru Anda berjalan lancar.
5165:一口气	一口气	一口气	一気に; 息をつかずに	彼は休まずに山頂まで走った。	단숨에; 쉬지 않고	그는 쉬지 않고 산 정상까지 달렸다.	một hơi; không ngừng	Anh ấy chạy một mạch lên đỉnh núi.	รวดเดียว; ไม่หยุดพัก	เขาวิ่งขึ้นไปถึงยอดเขาโดยไม่หยุดพัก	sekaligus; tanpa henti	Dia berlari sampai ke puncak gunung tanpa henti.	sekali jalan; tanpa berhenti	Dia berlari sampai puncak gunung tanpa berhenti.
5167:一模一样	一模一样	一模一样	そっくり同じ; 全く同じ	この二枚の写真は全く同じに見える。	똑같다; 완전히 같다	이 두 사진은 완전히 똑같아 보인다.	giống hệt nhau	Hai bức ảnh này trông giống hệt nhau.	เหมือนกันทุกประการ	รูปสองใบนี้ดูเหมือนกันทุกประการ	serupa sepenuhnya; sama betul	Kedua-dua foto ini kelihatan sama betul.	persis sama	Kedua foto ini tampak persis sama.
5168:艺人	艺人	艺人	芸能人; パフォーマー	この芸能人は舞台でとても自信がある。	예능인; 공연자	이 공연자는 무대에서 매우 자신감이 있다.	nghệ sĩ; người biểu diễn	Nghệ sĩ này rất tự tin trên sân khấu.	ศิลปิน; นักแสดง	ศิลปินคนนี้มั่นใจมากบนเวที	artis; penghibur	Artis ini sangat yakin di atas pentas.	artis; penampil	Artis ini sangat percaya diri di panggung.
5169:一身	一身	一身	全身; 一そろい	彼は全身黒い服を着ていた。	온몸; 한 벌	그는 온몸에 검은 옷을 입고 있었다.	toàn thân; cả bộ	Anh ấy mặc cả bộ đồ màu đen.	ทั้งตัว; ชุดหนึ่ง	เขาแต่งตัวสีดำทั้งตัว	sekujur badan; satu set pakaian	Dia memakai pakaian serba hitam.	sekujur tubuh; satu set pakaian	Dia mengenakan pakaian serba hitam.
5170:一时	一时	一时	一時; とっさに	私はとっさに彼の名前を思い出せなかった。	한때; 잠시	나는 순간적으로 그의 이름이 떠오르지 않았다.	nhất thời; trong chốc lát	Nhất thời tôi không nhớ ra tên anh ấy.	ชั่วคราว; ชั่วขณะ	ชั่วขณะหนึ่งฉันนึกชื่อเขาไม่ออก	seketika; buat sementara waktu	Saya tidak dapat mengingati namanya buat seketika.	untuk sesaat; sementara	Saya tidak bisa mengingat namanya untuk sesaat.
5171:一同	一同	一同	一緒に; ともに	私たちは一緒にこのプロジェクトを完成させた。	함께; 같이	우리는 이 프로젝트를 함께 완성했다.	cùng nhau	Chúng tôi đã cùng nhau hoàn thành dự án này.	ด้วยกัน; ร่วมกัน	พวกเราทำโครงการนี้เสร็จด้วยกัน	bersama-sama	Kami menyiapkan projek ini bersama-sama.	bersama-sama	Kami menyelesaikan proyek ini bersama-sama.
5172:易于	易于	易于	しやすい; 容易に	このソフトウェアは操作しやすい。	쉽다; 용이하다	이 소프트웨어는 조작하기 쉽다.	dễ; dễ dàng	Phần mềm này dễ sử dụng.	ง่ายต่อ; มีแนวโน้ม	ซอฟต์แวร์นี้ใช้งานง่าย	mudah untuk; cenderung	Perisian ini mudah dikendalikan.	mudah untuk; gampang	Perangkat lunak ini mudah dioperasikan.
5173:抑制	抑制	抑制	抑える; 抑制する	この薬は痛みを抑えることができる。	억제하다; 누르다	이 약은 통증을 억제할 수 있다.	ức chế; kìm nén	Thuốc này có thể giảm đau.	ยับยั้ง; กดไว้	ยานี้สามารถระงับความเจ็บปวดได้	menahan; menghalang	Ubat ini boleh menahan rasa sakit.	menekan; menghambat	Obat ini dapat menekan rasa sakit.
5174:因	因	因	により; のため	大雨のため、会議は延期された。	-로 인해; 때문에	큰비 때문에 회의가 연기되었다.	do; vì	Cuộc họp bị hoãn vì mưa lớn.	เพราะ; เนื่องจาก	การประชุมถูกเลื่อนออกไปเพราะฝนตกหนัก	kerana; disebabkan	Mesyuarat itu ditangguhkan kerana hujan lebat.	karena; disebabkan	Rapat ditunda karena hujan deras.
5175:音节	音节	音节	音節	この単語には三つの音節がある。	음절	이 단어에는 세 음절이 있다.	âm tiết	Từ này có ba âm tiết.	พยางค์	คำนี้มีสามพยางค์	suku kata	Perkataan ini mempunyai tiga suku kata.	suku kata	Kata ini memiliki tiga suku kata.
5177:银牌	银牌	银牌	銀メダル	彼女は大会で銀メダルを獲得した。	은메달	그녀는 대회에서 은메달을 땄다.	huy chương bạc	Cô ấy giành huy chương bạc trong cuộc thi.	เหรียญเงิน	เธอได้เหรียญเงินในการแข่งขัน	pingat perak	Dia memenangi pingat perak dalam pertandingan itu.	medali perak	Dia memenangkan medali perak dalam kompetisi itu.
5178:引	引	引	引用する; 導く	先生は要点を説明するために古い詩を引用した。	인용하다; 이끌다	선생님은 요점을 설명하려고 옛 시를 인용했다.	dẫn; trích dẫn	Giáo viên trích một bài thơ cổ để giải thích ý này.	อ้าง; นำ	ครูอ้างบทกวีเก่าเพื่ออธิบายประเด็นนี้	memetik; memimpin	Guru memetik puisi lama untuk menjelaskan perkara itu.	mengutip; menuntun	Guru mengutip puisi lama untuk menjelaskan poin itu.
5179:隐藏	隐藏	隐藏	隠す; 隠れる	そのファイルはシステムフォルダーの中に隠されていた。	숨기다; 감추다	그 파일은 시스템 폴더 안에 숨겨져 있었다.	ẩn; che giấu	Tệp đó được ẩn trong thư mục hệ thống.	ซ่อน; ปกปิด	ไฟล์ถูกซ่อนไว้ในโฟลเดอร์ระบบ	menyembunyikan; tersembunyi	Fail itu disembunyikan dalam folder sistem.	menyembunyikan; tersembunyi	File itu disembunyikan di folder sistem.
5181:引发	引发	引发	引き起こす; 誘発する	このニュースは熱い議論を引き起こした。	일으키다; 유발하다	이 소식은 뜨거운 토론을 불러일으켰다.	gây ra; khơi lên	Tin này đã gây ra một cuộc thảo luận sôi nổi.	ก่อให้เกิด; จุดชนวน	ข่าวนี้ก่อให้เกิดการถกเถียงอย่างร้อนแรง	menyebabkan; mencetuskan	Berita ini mencetuskan perbincangan hangat.	memicu; menyebabkan	Berita ini memicu diskusi yang hangat.
5182:引入	引入	引入	導入する; 取り入れる	学校は新しい教授法を導入する予定だ。	도입하다; 들여오다	학교는 새로운 교수법을 도입할 계획이다.	đưa vào; giới thiệu	Nhà trường dự định đưa vào một phương pháp giảng dạy mới.	นำเข้า; นำมาใช้	โรงเรียนวางแผนนำวิธีการสอนใหม่มาใช้	memperkenalkan; membawa masuk	Sekolah merancang memperkenalkan kaedah pengajaran baharu.	memperkenalkan; memasukkan	Sekolah berencana memperkenalkan metode pengajaran baru.
5184:饮用水	饮用水	饮用水	飲用水; 飲み水	ここの飲用水は厳しい検査に合格している。	식수	이곳의 식수는 엄격한 검사를 통과했다.	nước uống	Nước uống ở đây đã qua kiểm tra nghiêm ngặt.	น้ำดื่ม	น้ำดื่มที่นี่ผ่านการตรวจสอบอย่างเข้มงวด	air minuman	Air minuman di sini telah lulus ujian yang ketat.	air minum	Air minum di sini telah lulus pengujian ketat.
5185:印	印	印	印刷する; 押印する	ここに会社のロゴを印刷してください。	인쇄하다; 도장을 찍다	여기에 회사 로고를 인쇄해 주세요.	in; đóng dấu	Vui lòng in biểu trưng công ty ở đây.	พิมพ์; ประทับตรา	กรุณาพิมพ์โลโก้บริษัทตรงนี้	mencetak; mengecap	Sila cetak logo syarikat di sini.	mencetak; mengecap	Silakan cetak logo perusahaan di sini.
5192:用餐	用餐	用餐	食事をする	客たちはレストランで食事をしている。	식사하다	손님들이 식당에서 식사하고 있다.	dùng bữa; ăn uống	Khách đang dùng bữa trong nhà hàng.	รับประทานอาหาร	แขกกำลังรับประทานอาหารในร้านอาหาร	makan; menjamu selera	Para tetamu sedang menjamu selera di restoran.	makan; bersantap	Para tamu sedang makan di restoran.
5193:用处	用处	用处	使い道; 用途	この小さなナイフには多くの使い道がある。	쓸모; 용도	이 작은 칼은 쓸모가 많다.	công dụng; chỗ dùng	Con dao nhỏ này có nhiều công dụng.	ประโยชน์ใช้สอย; การใช้งาน	มีดเล่มเล็กนี้มีประโยชน์ใช้สอยหลายอย่าง	kegunaan; manfaat	Pisau kecil ini mempunyai banyak kegunaan.	kegunaan; manfaat	Pisau kecil ini memiliki banyak kegunaan.
5195:用人	用人	用人	人を雇う; 人材を使う	この会社は人を雇うときとても慎重だ。	사람을 쓰다; 채용하다	이 회사는 사람을 채용할 때 매우 신중하다.	tuyển dụng; dùng người	Công ty này rất thận trọng khi tuyển người.	จ้างคน; ใช้คน	บริษัทนี้ระมัดระวังมากในการจ้างคน	mengambil pekerja; menggunakan tenaga kerja	Syarikat ini sangat berhati-hati ketika mengambil pekerja.	mempekerjakan orang; merekrut	Perusahaan ini sangat berhati-hati saat merekrut orang.
5196:用心	用心	用心	心を込める; 注意深い	この贈り物にはとても心が込められているのが分かる。	정성을 들이다; 세심하다	이 선물에 많은 정성이 들어간 것을 알 수 있다.	tận tâm; dụng tâm	Có thể thấy món quà này được chuẩn bị rất tận tâm.	ตั้งใจ; ใส่ใจ	เห็นได้ว่าของขวัญชิ้นนี้เตรียมมาอย่างใส่ใจ	dengan teliti; penuh perhatian	Jelas bahawa hadiah ini disediakan dengan penuh perhatian.	dengan sungguh-sungguh; penuh perhatian	Terlihat bahwa hadiah ini disiapkan dengan penuh perhatian.
5197:优化	优化	优化	最適化する	エンジニアはシステムの速度を最適化している。	최적화하다	엔지니어가 시스템 속도를 최적화하고 있다.	tối ưu hóa	Kỹ sư đang tối ưu hóa tốc độ hệ thống.	เพิ่มประสิทธิภาพ; ปรับให้เหมาะสม	วิศวกรกำลังเพิ่มประสิทธิภาพความเร็วของระบบ	mengoptimumkan	Jurutera sedang mengoptimumkan kelajuan sistem.	mengoptimalkan	Insinyur sedang mengoptimalkan kecepatan sistem.
5200:由来	由来	由来	由来; 起源	この習慣の由来はとても面白い。	유래; 기원	이 풍습의 유래는 매우 흥미롭다.	nguồn gốc; lai lịch	Nguồn gốc của phong tục này rất thú vị.	ที่มา; ต้นกำเนิด	ที่มาของธรรมเนียมนี้น่าสนใจมาก	asal usul; punca	Asal usul adat ini sangat menarik.	asal-usul; penyebab	Asal-usul kebiasaan ini sangat menarik.
5201:游人	游人	游人	観光客; 訪問者	春の公園には特に多くの観光客がいる。	관광객; 방문객	봄에는 공원에 방문객이 특히 많다.	du khách; khách tham quan	Vào mùa xuân, công viên đặc biệt đông du khách.	นักท่องเที่ยว; ผู้มาเยือน	ฤดูใบไม้ผลิมีนักท่องเที่ยวในสวนสาธารณะมากเป็นพิเศษ	pelancong; pengunjung	Pada musim bunga, taman itu mempunyai sangat ramai pengunjung.	wisatawan; pengunjung	Pada musim semi, ada sangat banyak pengunjung di taman.
5203:有机	有机	有机	有機の; オーガニック	この農場は有機野菜だけを売っている。	유기농의; 유기적인	이 농장은 유기농 채소만 판다.	hữu cơ	Trang trại này chỉ bán rau hữu cơ.	อินทรีย์; ออร์แกนิก	ฟาร์มแห่งนี้ขายเฉพาะผักออร์แกนิก	organik	Ladang ini hanya menjual sayur organik.	organik	Pertanian ini hanya menjual sayuran organik.
5204:有劲	有劲	有劲	面白い; 力がある	この映画は見るほど面白くなる。	재미있다; 힘이 있다	이 영화는 보면 볼수록 재미있다.	thú vị; có sức	Bộ phim này càng xem càng thấy thú vị.	สนุก; มีพลัง	หนังเรื่องนี้ยิ่งดูก็ยิ่งสนุก	menarik; bertenaga	Filem ini semakin menarik apabila ditonton.	menarik; bertenaga	Film ini semakin menarik semakin lama ditonton.
5205:有序	有序	有序	秩序ある; 整然とした	観客は秩序よく会場に入った。	질서 있다	관객들은 질서 있게 행사장에 들어갔다.	có trật tự	Khán giả vào địa điểm một cách có trật tự.	เป็นระเบียบ	ผู้ชมเข้าสถานที่จัดงานอย่างเป็นระเบียบ	teratur	Penonton masuk ke tempat acara dengan teratur.	teratur	Para penonton masuk ke tempat acara dengan tertib.
5206:于	于	于	に; で	会議は朝九時に始まる。	-에; -에서	회의는 아침 아홉 시에 시작한다.	vào; ở	Cuộc họp bắt đầu lúc chín giờ sáng.	ที่; ใน; เวลา	การประชุมเริ่มตอนเก้าโมงเช้า	pada; di	Mesyuarat bermula pada pukul sembilan pagi.	pada; di	Rapat dimulai pukul sembilan pagi.
5207:余额	余额	余额	残高; 残額	まず銀行カードの残高を確認してください。	잔액	먼저 은행 카드 잔액을 확인하세요.	số dư	Vui lòng kiểm tra số dư thẻ ngân hàng trước.	ยอดคงเหลือ	กรุณาตรวจสอบยอดคงเหลือในบัตรธนาคารก่อน	baki	Sila semak baki kad bank dahulu.	saldo	Silakan periksa saldo kartu bank terlebih dahulu.
5210:预定	预定	预定	予約する; あらかじめ決める	明日の夜の席はもう予約してある。	예약하다; 예정하다	나는 내일 밤 좌석을 이미 예약했다.	đặt trước; dự định	Tôi đã đặt chỗ cho tối mai rồi.	จองล่วงหน้า; กำหนดไว้	ฉันจองที่นั่งสำหรับคืนพรุ่งนี้ไว้แล้ว	menempah; ditetapkan lebih awal	Saya sudah menempah tempat duduk untuk malam esok.	memesan; menetapkan sebelumnya	Saya sudah memesan tempat untuk besok malam.
5213:浴室	浴室	浴室	浴室; バスルーム	浴室の床は少し滑りやすい。	욕실	욕실 바닥이 조금 미끄럽다.	phòng tắm	Sàn phòng tắm hơi trơn.	ห้องน้ำ; ห้องอาบน้ำ	พื้นห้องน้ำลื่นเล็กน้อย	bilik mandi	Lantai bilik mandi agak licin.	kamar mandi	Lantai kamar mandi agak licin.
5215:原本	原本	原本	もともと; 本来	私はもともと週末に北京へ行くつもりだった。	원래; 본래	나는 원래 주말에 베이징에 갈 계획이었다.	vốn dĩ; ban đầu	Ban đầu tôi định đi Bắc Kinh vào cuối tuần.	เดิมที; แต่แรก	เดิมทีฉันวางแผนจะไปปักกิ่งสุดสัปดาห์นี้	asalnya; pada mulanya	Asalnya saya merancang pergi ke Beijing pada hujung minggu.	semula; awalnya	Awalnya saya berencana pergi ke Beijing pada akhir pekan.
5216:原材料	原材料	原材料	原材料; 素材	工場には安定した原材料の供給が必要だ。	원자재; 원료	공장은 안정적인 원자재 공급이 필요하다.	nguyên vật liệu; nguyên liệu	Nhà máy cần nguồn cung nguyên liệu ổn định.	วัตถุดิบ	โรงงานต้องการแหล่งวัตถุดิบที่มั่นคง	bahan mentah	Kilang memerlukan bekalan bahan mentah yang stabil.	bahan baku	Pabrik membutuhkan pasokan bahan baku yang stabil.
5224:元宵	元宵	元宵	元宵; 団子	元宵節の日に私たちは元宵を食べた。	위안샤오; 찹쌀 경단	우리는 정월대보름에 위안샤오를 먹었다.	bánh nguyên tiêu; viên nếp ngọt	Chúng tôi ăn bánh nguyên tiêu vào ngày Tết Nguyên tiêu.	หยวนเซียว; ขนมบัวลอยจีน	พวกเรากินหยวนเซียวในวันเทศกาลโคมไฟ	yuanxiao; bebola pulut manis	Kami makan yuanxiao pada hari Pesta Tanglung.	yuanxiao; bola ketan manis	Kami makan yuanxiao pada hari Festival Lampion.
5225:源于	源于	源于	に由来する; から来る	この伝統は古い祭りに由来する。	-에서 유래하다	이 전통은 오래된 축제에서 유래했다.	bắt nguồn từ; xuất phát từ	Truyền thống này bắt nguồn từ một lễ hội cổ.	มีที่มาจาก; เกิดจาก	ประเพณีนี้มีที่มาจากเทศกาลโบราณ	berasal daripada	Tradisi ini berasal daripada perayaan kuno.	berasal dari	Tradisi ini berasal dari festival kuno.
5226:远程	远程	远程	遠隔の; リモートの	会社はリモート面接を手配した。	원격의; 장거리의	회사는 원격 면접을 마련했다.	từ xa; đường dài	Công ty sắp xếp một buổi phỏng vấn từ xa.	ระยะไกล; ออนไลน์	บริษัทจัดการสัมภาษณ์ทางไกล	jarak jauh; jauh	Syarikat mengatur temu duga jarak jauh.	jarak jauh; remote	Perusahaan mengatur wawancara jarak jauh.
5227:远方	远方	远方	遠方; 遠い場所	彼は遠方の家族をよく思い出す。	먼 곳; 먼 데	그는 멀리 있는 가족을 자주 생각한다.	phương xa; nơi xa	Anh ấy thường nghĩ về gia đình ở phương xa.	ที่ไกล; แดนไกล	เขามักคิดถึงครอบครัวที่อยู่ไกล	tempat jauh; kejauhan	Dia sering memikirkan keluarganya yang jauh.	tempat jauh; kejauhan	Dia sering memikirkan keluarganya yang jauh.
5229:月光	月光	月光	月光; 月明かり	月光が静かな湖を照らしていた。	달빛	달빛이 고요한 호수 위에 비쳤다.	ánh trăng	Ánh trăng chiếu xuống mặt hồ yên tĩnh.	แสงจันทร์	แสงจันทร์ส่องลงบนทะเลสาบที่เงียบสงบ	cahaya bulan	Cahaya bulan menyinari tasik yang tenang.	cahaya bulan	Cahaya bulan menyinari danau yang tenang.
5231:月球	月球	月球	月	科学者たちは月の表面を研究している。	달; 월구	과학자들은 달 표면을 연구하고 있다.	Mặt Trăng	Các nhà khoa học đang nghiên cứu bề mặt Mặt Trăng.	ดวงจันทร์	นักวิทยาศาสตร์กำลังศึกษาพื้นผิวดวงจันทร์	bulan	Para saintis sedang mengkaji permukaan bulan.	bulan	Para ilmuwan sedang mempelajari permukaan bulan.
5232:乐曲	乐曲	乐曲	楽曲; 音楽作品	この楽曲はとても美しく聞こえる。	악곡; 음악 작품	이 악곡은 매우 아름답게 들린다.	bản nhạc; tác phẩm âm nhạc	Bản nhạc này nghe rất hay.	บทเพลง; ชิ้นดนตรี	บทเพลงนี้ฟังไพเราะมาก	lagu; karya muzik	Lagu ini kedengaran sangat indah.	karya musik; lagu	Karya musik ini terdengar sangat indah.
5234:晕车	晕车	晕车	車酔いする	彼女は長いバス移動で車酔いしやすい。	차멀미하다	그녀는 긴 버스 여행에서 쉽게 차멀미한다.	say xe	Cô ấy dễ bị say xe trong những chuyến xe buýt dài.	เมารถ	เธอเมารถง่ายในการนั่งรถบัสทางไกล	mabuk kenderaan	Dia mudah mabuk kenderaan dalam perjalanan bas yang panjang.	mabuk kendaraan	Dia mudah mabuk kendaraan dalam perjalanan bus yang panjang.
5235:运送	运送	运送	運送する; 輸送する	これらの物資は被災地へ運送される。	운송하다; 배송하다	이 물자는 재해 지역으로 운송될 것이다.	vận chuyển; giao chuyển	Những vật tư này sẽ được vận chuyển đến vùng thiên tai.	ขนส่ง; ส่งมอบ	สิ่งของเหล่านี้จะถูกขนส่งไปยังพื้นที่ประสบภัย	mengangkut; menghantar	Bekalan ini akan dihantar ke kawasan bencana.	mengangkut; mengirim	Persediaan ini akan dikirim ke daerah bencana.
5237:运营	运营	运营	運営する; 稼働させる	このプラットフォームは専門チームによって運営されている。	운영하다	이 플랫폼은 전문 팀이 운영한다.	vận hành; điều hành	Nền tảng này do một đội ngũ chuyên nghiệp vận hành.	ดำเนินงาน; บริหารจัดการ	แพลตฟอร์มนี้ดำเนินงานโดยทีมมืออาชีพ	mengendalikan; mengoperasikan	Platform ini dikendalikan oleh pasukan profesional.	mengoperasikan; menjalankan	Platform ini dioperasikan oleh tim profesional.
5238:杂	杂	杂	雑多な; 混ざった	この引き出しには雑多な物がたくさん入っている。	잡다한; 섞인	이 서랍에는 잡다한 물건이 많다.	lộn xộn; tạp nham	Trong ngăn kéo này có nhiều đồ linh tinh.	ปะปน; จิปาถะ	ในลิ้นชักนี้มีของจิปาถะมากมาย	bercampur; pelbagai	Terdapat banyak barang pelbagai dalam laci ini.	campur; bermacam-macam	Ada banyak barang bermacam-macam di laci ini.
5239:灾	灾	灾	災害; 災い	この災害は村に大きな損失をもたらした。	재난; 재해	이 재난은 마을에 큰 손실을 가져왔다.	tai họa; thiên tai	Thảm họa này gây thiệt hại lớn cho ngôi làng.	ภัยพิบัติ; เคราะห์ภัย	ภัยพิบัตินี้ทำให้หมู่บ้านเสียหายอย่างมาก	bencana; malapetaka	Bencana ini menyebabkan kerugian besar kepada kampung itu.	bencana; musibah	Bencana ini menyebabkan kerugian besar bagi desa itu.
5242:灾区	灾区	灾区	被災地; 災害地域	ボランティアは被災地へ食べ物を届けた。	재해 지역; 피해 지역	자원봉사자들이 재해 지역에 음식을 전달했다.	vùng thiên tai; khu vực bị nạn	Tình nguyện viên đã đưa thực phẩm đến vùng thiên tai.	พื้นที่ประสบภัย	อาสาสมัครส่งอาหารไปยังพื้นที่ประสบภัย	kawasan bencana	Sukarelawan menghantar makanan ke kawasan bencana.	daerah bencana	Relawan mengirim makanan ke daerah bencana.
5244:再生	再生	再生	再生する; リサイクルする	これらの材料はリサイクルして再利用できる。	재생하다; 재활용하다	이 재료들은 재활용하여 다시 사용할 수 있다.	tái sinh; tái chế	Những vật liệu này có thể được tái chế và sử dụng lại.	รีไซเคิล; ฟื้นฟู	วัสดุเหล่านี้สามารถรีไซเคิลและนำกลับมาใช้ใหม่ได้	mengitar semula; menjana semula	Bahan ini boleh dikitar semula dan digunakan semula.	mendaur ulang; meregenerasi	Bahan-bahan ini dapat didaur ulang dan digunakan kembali.
5246:赞赏	赞赏	赞赏	称賛する; 高く評価する	先生は彼の真面目な態度を高く評価した。	칭찬하다; 높이 평가하다	선생님은 그의 성실한 태도를 높이 평가했다.	tán thưởng; đánh giá cao	Giáo viên đánh giá cao thái độ nghiêm túc của anh ấy.	ชื่นชม; ยกย่อง	ครูชื่นชมท่าทีจริงจังของเขา	menghargai; memuji	Guru menghargai sikap seriusnya.	menghargai; mengagumi	Guru menghargai sikap seriusnya.
5247:赞同	赞同	赞同	賛成する; 同意する	ほとんどのメンバーはこの決定に賛成している。	찬성하다; 동의하다	대부분의 구성원은 이 결정에 동의한다.	tán thành; đồng ý	Phần lớn thành viên tán thành quyết định này.	เห็นด้วย; สนับสนุน	สมาชิกส่วนใหญ่เห็นด้วยกับการตัดสินใจนี้	bersetuju; menyokong	Kebanyakan ahli bersetuju dengan keputusan ini.	setuju; menyetujui	Sebagian besar anggota menyetujui keputusan ini.
