simplified	KM	example_KM
反思	ពិចារណាឆ្លុះបញ្ចាំង	បន្ទាប់ពីបរាជ័យ គាត់បានពិចារណាឆ្លុះបញ្ចាំងពីមូលហេតុយ៉ាងម៉ត់ចត់។
反问	សួរត្រឡប់	គាត់មិនឆ្លើយទេ ប៉ុន្តែបានសួរខ្ញុំត្រឡប់មួយឃ្លា។
反之	ផ្ទុយទៅវិញ	តម្លៃខ្ពស់ពេកនឹងបន្ថយតម្រូវការ ផ្ទុយទៅវិញក៏ដូចគ្នា។
泛滥	ជន់លិច	ភ្លៀងធ្លាក់ខ្លាំងបណ្តាលឲ្យទឹកទន្លេជន់លិច។
范畴	វិស័យ; ប្រភេទ	បញ្ហានេះស្ថិតក្នុងវិស័យច្បាប់។
贩卖	ជួញដូរ	ច្បាប់ហាមឃាត់ការជួញដូរឱសថក្លែងក្លាយ។
方位	ទិសទី	លើផែនទីបានសម្គាល់ទិសទីយ៉ាងត្រឹមត្រូវ។
方言	ភាសាមូលដ្ឋាន	គាត់អាចស្តាប់យល់ភាសាមូលដ្ឋាននៅទីនោះ។
方圆	បរិវេណជុំវិញ	ក្នុងបរិវេណដប់គីឡូម៉ែត្រជុំវិញគ្មានមន្ទីរពេទ្យទេ។
方针	គោលការណ៍ណែនាំ	ក្រុមហ៊ុនបានកំណត់គោលការណ៍អភិវឌ្ឍន៍ថ្មី។
防守	ការពារ	ការពាររបស់ក្រុមនេះមានស្ថេរភាពណាស់។
防御	ការពារទប់ទល់	កំពែងក្រុងធ្លាប់ត្រូវបានប្រើសម្រាប់ការពារទប់ទល់សត្រូវ។
防止	ការពារកុំឲ្យកើត	សូមពាក់ខ្សែក្រវ៉ាត់សុវត្ថិភាព ដើម្បីការពារកុំឲ្យរងរបួស។
防治	បង្ការនិងព្យាបាល	វេជ្ជបណ្ឌិតបានពន្យល់វិធីបង្ការនិងព្យាបាលជំងឺ។
纺织	វាយនភណ្ឌ	ទីក្រុងនេះល្បីដោយឧស្សាហកម្មវាយនភណ្ឌ។
访问	សម្ភាស; ទស្សនកិច្ច	អ្នកសារព័ត៌មាននឹងសម្ភាសអ្នកនិពន្ធរូបនេះថ្ងៃស្អែក។
放大	ពង្រីក	សូមពង្រីករូបភាពបន្តិច។
放射	បញ្ចេញវិទ្យុសកម្ម; បញ្ចេញកម្តៅ	សម្ភារៈប្រភេទនេះអាចបញ្ចេញកម្តៅ។
非法	ខុសច្បាប់	ការជួញដូរខុសច្បាប់នឹងត្រូវទទួលទណ្ឌកម្ម។
飞禽走兽	បក្សីនិងសត្វព្រៃ	ក្នុងព្រៃមានបក្សីនិងសត្វព្រៃគ្រប់ប្រភេទរស់នៅ។
飞翔	ហោះហើរ	សត្វសមុទ្រហោះហើរលើផ្ទៃសមុទ្រ។
飞跃	ការលោតផ្លោះធំ	ការអភិវឌ្ឍបច្ចេកវិទ្យាបានសម្រេចការលោតផ្លោះធំ។
肥沃	មានជីជាតិ	ដីតំបន់នេះមានជីជាតិខ្លាំងណាស់។
诽谤	បរិហារកេរ្តិ៍	ការបរិហារកេរ្តិ៍អ្នកដទៃត្រូវទទួលខុសត្រូវតាមច្បាប់។
废除	លុបចោល	បទប្បញ្ញត្តិចាស់នេះត្រូវបានលុបចោលហើយ។
废寝忘食	ភ្លេចដេកភ្លេចបាយ	គាត់ស្រាវជ្រាវរហូតភ្លេចដេកភ្លេចបាយ។
废墟	សំណង់បាក់បែក	បន្ទាប់ពីរញ្ជួយដី ទីនោះក្លាយជាសំណង់បាក់បែក។
沸腾	ពុះ	ទឹកបានពុះហើយ។
肺	សួត	ការជក់បារីនឹងប៉ះពាល់ដល់សួត។
分辨	បែងចែកសម្គាល់	ខ្ញុំពិបាកបែងចែកសម្គាល់ពណ៌ទាំងពីរនេះ។
分寸	កម្រិតសមរម្យ	សូម្បីតែលេងសើចក៏ត្រូវយកចិត្តទុកដាក់លើកម្រិតសមរម្យ។
分红	ចែកភាគលាភ	ម្ចាស់ភាគហ៊ុនអាចចែកភាគលាភនៅចុងឆ្នាំ។
分解	បំបែក	គ្រូបានបំបែកបញ្ហាស្មុគស្មាញជាជំហានមួយចំនួន។
分裂	បែកបាក់	ជម្លោះផ្ទៃក្នុងបណ្តាលឲ្យអង្គការបែកបាក់។
分泌	បញ្ចេញសារធាតុ	ក្រពេញប្រភេទនេះអាចបញ្ចេញអ័រម៉ូន។
分明	ច្បាស់លាស់	ការពិតបានច្បាស់លាស់ខ្លាំងហើយ។
分歧	ភាពខ្វែងគំនិត	ភាគីទាំងពីរមានភាពខ្វែងគំនិតលើតម្លៃ។
分散	បំបែកចែកចាយ	សូមបំបែកហានិភ័យទៅគម្រោងផ្សេងៗ។
吩咐	បង្គាប់	ថៅកែបានបង្គាប់ឲ្យខ្ញុំរៀបចំឯកសារ។
坟墓	ផ្នូរ	លើជម្រាលភ្នំមានផ្នូរបុរាណមួយ។
粉末	ម្សៅ	សូមកិនគ្រាប់ថ្នាំឲ្យទៅជាម្សៅ។
粉色	ពណ៌ផ្កាឈូក	នាងបានទិញកន្សែងកពណ៌ផ្កាឈូកមួយ។
粉碎	កម្ទេច	ប៉ូលិសបានកម្ទេចក្រុមឧក្រិដ្ឋកម្មនេះ។
分量	ទម្ងន់ន័យ; សារៈសំខាន់	ពាក្យនេះមានទម្ងន់ន័យខ្លាំង។
愤怒	កំហឹង	សំនៀងរបស់គាត់ពេញដោយកំហឹង។
丰满	ពេញលេញ	ខ្លឹមសារអត្ថបទនេះនៅមិនទាន់ពេញលេញគ្រប់គ្រាន់ទេ។
丰盛	សម្បូរបែប	ពួកគេបានរៀបចំអាហារពេលល្ងាចសម្បូរបែបមួយតុ។
丰收	ទទួលផលច្រើន	ឆ្នាំនេះកសិករទទួលផលច្រើន។
封闭	បិទ	ក្នុងអំឡុងពេលសាងសង់ ផ្លូវនេះនឹងត្រូវបិទ។
封建	សក្តិភូមិ	គំនិតសក្តិភូមិបែបនេះគួរតែផ្លាស់ប្តូរតាំងពីយូរហើយ។
封锁	បិទខ្ទប់	ប៉ូលិសបានបិទខ្ទប់កន្លែងកើតហេតុ។
锋利	មុត	កាំបិតនេះមុតខ្លាំងណាស់។
风暴	ព្យុះ	នៅលើសមុទ្របានកើតមានព្យុះភ្លាមៗ។
风度	ឥរិយាបថថ្លៃថ្នូរ	គាត់មើលទៅមានឥរិយាបថថ្លៃថ្នូរនៅលើឆាក។
风光	ទេសភាព	ទេសភាពធម្មជាតិនៅទីនេះស្រស់ស្អាតណាស់។
风气	បរិយាកាសសង្គម; ទម្លាប់រួម	សាលាបានបង្កើតបរិយាកាសរៀនល្អ។
风趣	កំប្លែងមានរសជាតិ	គាត់និយាយកំប្លែងមានរសជាតិណាស់។
风土人情	ទំនៀមទម្លាប់និងជីវភាពមូលដ្ឋាន	ការធ្វើដំណើរអាចឲ្យយល់ពីទំនៀមទម្លាប់និងជីវភាពមូលដ្ឋាន។
风味	រសជាតិលក្ខណៈពិសេស	ហាងនេះមានរសជាតិមូលដ្ឋានខ្លាំង។
逢	រាល់ពេលជួប	រាល់ពេលដល់ចុងសប្តាហ៍ សួនច្បារមានភាពអ៊ូអរ។
奉献	លះបង់រួមចំណែក	វេជ្ជបណ្ឌិតបានលះបង់ពេលវេលាជាច្រើនសម្រាប់អ្នកជំងឺ។
否决	បដិសេធដោយបោះឆ្នោត	ក្រុមប្រឹក្សាភិបាលបានបដិសេធសំណើនេះ។
夫妇	ប្ដីប្រពន្ធ	ប្តីប្រពន្ធនេះដំណើរការហាងតូចមួយ។
夫人	លោកស្រី; ភរិយា	លោកវ៉ាងនិងភរិយាបានចូលរួមអាហារពេលល្ងាចជាមួយគ្នា។
敷衍	ធ្វើបង្គ្រប់កិច្ច	គាត់គ្រាន់តែឆ្លើយបង្គ្រប់កិច្ចពីរបីឃ្លា។
俘虏	ឈ្លើយសឹក	បន្ទាប់ពីសង្គ្រាមបញ្ចប់ ឈ្លើយសឹកត្រូវបានដោះលែង។
幅度	កម្រិតប្រែប្រួល	កម្រិតបញ្ចុះតម្លៃលើកនេះធំណាស់។
服从	គោរពតាម	យោធាត្រូវតែគោរពតាមបញ្ជា។
服气	ព្រមទទួលក្នុងចិត្ត	គាត់ចាញ់ការប្រកួត ប៉ុន្តែក្នុងចិត្តមិនព្រមទទួលទេ។
福利	អត្ថប្រយោជន៍សុខុមាលភាព	បុគ្គលិកយកចិត្តទុកដាក់ខ្លាំងចំពោះអត្ថប្រយោជន៍របស់ក្រុមហ៊ុន។
福气	សំណាងល្អ	អាចជួបគ្រូល្អគឺជាសំណាងល្អរបស់គាត់។
符号	និមិត្តសញ្ញា	និមិត្តសញ្ញានេះតំណាងឲ្យគ្រោះថ្នាក់។
辐射	វិទ្យុសកម្ម	វេជ្ជបណ្ឌិតរំលឹកឲ្យគាត់នៅឆ្ងាយពីវិទ្យុសកម្មខ្លាំង។
俯视	មើលចុះពីលើ	ពីកំពូលភ្នំអាចមើលចុះឃើញទីក្រុងទាំងមូល។
抚摸	អង្អែល	នាងអង្អែលក្បាលកូនយ៉ាងស្រាល។
抚养	ចិញ្ចឹមបីបាច់	ជីតាជីដូនជួយចិញ្ចឹមបីបាច់កុមារ។
腐败	អំពើពុករលួយ	រដ្ឋាភិបាលកំពុងប្រយុទ្ធប្រឆាំងអំពើពុករលួយ។
腐烂	រលួយ	ផ្លែឈើទុកយូរពេកនឹងរលួយ។
腐蚀	ស៊ីរលួយ; កាត់ស៊ី	អាស៊ីតអាចស៊ីរលួយផ្ទៃលោហៈ។
腐朽	ពុករលួយចាស់ទ្រុឌទ្រោម	ពួកគេបានរិះគន់ប្រព័ន្ធពុករលួយចាស់ទ្រុឌទ្រោម។
辅助	ជួយបន្ថែម	ឧបករណ៍នេះអាចជួយបន្ថែមក្នុងការបង្រៀន។
副	រង; អនុ	នាងត្រូវបានតែងតាំងជាអនុប្រធានគ្រប់គ្រង។
复活	រស់ឡើងវិញ; កើតឡើងវិញ	បុណ្យប្រពៃណីនេះកំពុងកើតឡើងវិញ។
复兴	ការស្តារឡើងវិញ	ការស្តារវប្បធម៌ឡើងវិញត្រូវការការខិតខំរយៈពេលវែង។
富裕	មានជីវភាពធូរធារ	ភូមិនេះឥឡូវកាន់តែមានជីវភាពធូរធារ។
腹泻	រាក	គាត់រាកធ្ងន់ ត្រូវទៅជួបគ្រូពេទ្យ។
覆盖	គ្របដណ្តប់	ព្រិលធំបានគ្របដណ្តប់ជ្រលងភ្នំទាំងមូល។
负担	បន្ទុក	ថ្លៃជួលផ្ទះបានក្លាយជាបន្ទុកសំខាន់របស់គាត់។
赋予	ផ្តល់ឲ្យ	ច្បាប់ផ្តល់សិទ្ធិមូលដ្ឋានដល់ប្រជាពលរដ្ឋ។
附和	អេកូតាមគេ	គាត់គ្មានគំនិតផ្ទាល់ខ្លួន ទាល់តែចេះតែអេកូតាមអ្នកដទៃ។
附件	ឯកសារភ្ជាប់	សូមពិនិត្យមើលឯកសារភ្ជាប់ក្នុងអ៊ីមែល។
附属	ដែលភ្ជាប់ជាមួយ; ចំណុះឲ្យ	មន្ទីរពេទ្យនេះជាមន្ទីរពេទ្យចំណុះសាកលវិទ្យាល័យ។
改良	កែលម្អ	អ្នកជំនាញកំពុងកែលម្អពូជស្រូវនេះ។
盖章	បោះត្រា	បន្ទាប់ពីចុះហត្ថលេខាលើកិច្ចសន្យា ត្រូវបោះត្រា។
钙	កាល់ស្យូម	ទឹកដោះគោមានកាល់ស្យូមច្រើន។
尴尬	អៀនខ្មាស; មិនស្រួលចិត្ត	ក្នុងកិច្ចប្រជុំមានភាពស្ងៀមស្ងាត់គួរឲ្យអៀនខ្មាស។
干旱	គ្រោះរាំងស្ងួត	គ្រោះរាំងស្ងួតយូរបានប៉ះពាល់ដល់ដំណាំ។
干扰	រំខាន	សំឡេងរំខាននឹងរំខានដល់ការងាររបស់ខ្ញុំ។
干涉	ជ្រៀតជ្រែក	ឪពុកម្តាយមិនគួរជ្រៀតជ្រែកច្រើនពេកក្នុងជម្រើសរបស់កូន។
干预	អន្តរាគមន៍	រដ្ឋាភិបាលបានធ្វើអន្តរាគមន៍ទាន់ពេលចំពោះហានិភ័យទីផ្សារ។
感慨	រំជួលចិត្ត	ពេលឃើញរូបថតចាស់ៗ គាត់រំជួលចិត្តយ៉ាងខ្លាំង។
感染	ឆ្លងរោគ	វីរុសប្រភេទនេះងាយឆ្លងដល់កុមារ។
干劲	កម្លាំងចិត្តធ្វើការ	មនុស្សគ្រប់គ្នាធ្វើការដោយមានកម្លាំងចិត្តខ្លាំង។
扛	លើកដោយកម្លាំង	តាមរឿងព្រេង គាត់មានកម្លាំងខ្លាំង អាចលើកឆ្នាំងធំបាន។
纲领	គោលការណ៍ណែនាំ; កម្មវិធីសកម្មភាព	កិច្ចប្រជុំបានអនុម័តកម្មវិធីសកម្មភាពថ្មី។
岗位	មុខតំណែងការងារ	នាងសម្របខ្លួនបានលឿនជាមួយមុខតំណែងការងារថ្មី។
港口	កំពង់ផែ	នាវាដឹកទំនិញបានចតនៅកំពង់ផែ។
港湾	ឆ្នេរឈូងសមុទ្រ; កំពង់ផែធម្មជាតិ	ទូកតូចបានចូលទៅក្នុងឆ្នេរឈូងសមុទ្រដែលស្ងប់ស្ងាត់។
杠杆	ដងគាស់; អានុភាពហិរញ្ញវត្ថុ	ការវិនិយោគនេះបានប្រើអានុភាពហិរញ្ញវត្ថុខ្ពស់។
高超	ល្អឥតខ្ចោះ	ជំនាញជួសជុលរថយន្តរបស់គាត់ល្អឥតខ្ចោះ។
高潮	ចំណុចកំពូល	ការប្រកួតបានឈានដល់ចំណុចកំពូលនៅដប់នាទីចុងក្រោយ។
高峰	កំពូល; ពេលកកស្ទះខ្លាំង	ម៉ោងប្រាំបីព្រឹកជាពេលកំពូលនៃចរាចរណ៍។
高明	ឆ្លាតវៃខ្ពស់	វិធីនេះពិតជាឆ្លាតវៃណាស់។
高尚	ថ្លៃថ្នូរ	ស្មារតីវិជ្ជាជីវៈរបស់គ្រូពេទ្យមានភាពថ្លៃថ្នូរ។
高涨	កើនឡើងខ្លាំង	ភាពរំភើបរបស់ទស្សនិកជនកើនឡើងឥតឈប់ឈរ។
稿件	សំណេរដ្រាហ្វ	និពន្ធនាយកកំពុងកែសម្រួលសំណេរដ្រាហ្វ។
告辞	លាគ្នាចាកចេញ	មេឃយប់ហើយ យើងសូមលាទៅមុន។
告诫	ព្រមានណែនាំ	គ្រូបានព្រមានសិស្សកុំឲ្យលួចចម្លងក្នុងប្រឡង។
割	កាត់	គាត់មិនប្រយ័ត្ន ហើយកាត់ម្រាមដៃឲ្យរបួស។
搁	ដាក់; ទុកចោល	សូមដាក់ឯកសារលើតុ។
歌颂	សរសើរតម្កើង	កំណាព្យនេះសរសើរតម្កើងអ្នកធ្វើការ។
疙瘩	ដុំហើមលើស្បែក	លើដៃរបស់គាត់មានដុំហើមមួយ។
鸽子	ព្រាប	នៅលើទីលានមានព្រាបជាច្រើន។
格局	រចនាសម្ព័ន្ធ; ប្លង់	ប្លង់ផ្ទះល្វែងនេះសមហេតុផលណាស់។
格式	ទ្រង់ទ្រាយ	សូមបំពេញសំណុំបែបបទតាមទ្រង់ទ្រាយកំណត់។
隔阂	គម្លាតក្នុងទំនាក់ទំនង	ការយល់ច្រឡំបានធ្វើឲ្យគម្លាតរវាងពួកគេកាន់តែជ្រៅ។
隔离	ដាក់ឲ្យនៅដាច់ដោយឡែក	អ្នកជំងឺត្រូវនៅដាច់ដោយឡែកបណ្តោះអាសន្ន។
革命	បដិវត្តន៍	បដិវត្តន៍នេះបានផ្លាស់ប្តូរវាសនារបស់ប្រទេស។
个体	បុគ្គលម្នាក់ៗ	បុគ្គលម្នាក់ៗមានតម្រូវការខុសៗគ្នា។
各抒己见	ម្នាក់ៗបញ្ចេញមតិផ្ទាល់ខ្លួន	ក្នុងកិច្ចប្រជុំ មនុស្សគ្រប់គ្នាបានបញ្ចេញមតិផ្ទាល់ខ្លួន។
根深蒂固	ចាក់ឫសជ្រៅ	ទស្សនៈនេះចាក់ឫសជ្រៅរួចទៅហើយ។
根源	ឫសគល់	ឫសគល់នៃភាពក្រីក្រមានភាពស្មុគស្មាញ។
跟前	នៅចំពោះមុខ; ជិត	ក្មេងរត់ទៅជិតម្តាយ។
跟随	តាម	អ្នកយកព័ត៌មានបានតាមក្រុមចូលទៅតំបន់ភ្នំ។
跟踪	តាមដាន	នគរបាលកំពុងតាមដានចលនារបស់ជនសង្ស័យ។
更新	ធ្វើបច្ចុប្បន្នភាព	ប្រព័ន្ធនឹងធ្វើបច្ចុប្បន្នភាពដោយស្វ័យប្រវត្តិយប់នេះ។
更正	កែតម្រូវ	កាសែតបានកែតម្រូវកំហុសនៅថ្ងៃបន្ទាប់។
耕地	ភ្ជួរដី	កសិករកំពុងភ្ជួរដីនៅនិទាឃរដូវ។
供不应求	ផ្គត់ផ្គង់មិនគ្រប់តម្រូវការ	ឱសថប្រភេទនេះបច្ចុប្បន្នផ្គត់ផ្គង់មិនគ្រប់តម្រូវការ។
供给	ការផ្គត់ផ្គង់	ទីក្រុងត្រូវការការផ្គត់ផ្គង់ទឹកនិងភ្លើងដែលមានស្ថិរភាព។
公安局	ការិយាល័យនគរបាល	គាត់ទៅការិយាល័យនគរបាលដើម្បីប្តឹងករណី។
公道	យុត្តិធម៌	មនុស្សគ្រប់គ្នាសង្ឃឹមថានឹងទទួលបានការដោះស្រាយដោយយុត្តិធម៌។
公告	សេចក្តីជូនដំណឹង	សាលាបានចេញសេចក្តីជូនដំណឹងផ្អាកថ្នាក់រៀន។
公关	ទំនាក់ទំនងសាធារណៈ	ក្រុមហ៊ុនបានជួលក្រុមទំនាក់ទំនងសាធារណៈជំនាញ។
公民	ប្រជាពលរដ្ឋ	ប្រជាពលរដ្ឋគ្រប់រូបគួរគោរពច្បាប់។
公然	ដោយបើកចំហ	គាត់បានល្មើសច្បាប់ប្រកួតដោយបើកចំហ។
公认	ដែលទទួលស្គាល់ជាទូទៅ	នាងជាគ្រូឆ្នើមដែលទទួលស្គាល់ជាទូទៅ។
公式	រូបមន្ត	សូមកត់រូបមន្តគណិតវិទ្យានេះទុក។
公务	កិច្ចការផ្លូវការ	គាត់បានធ្វើដំណើរអាជីវកម្មបីថ្ងៃដោយសារកិច្ចការផ្លូវការ។
公正	យុត្តិធម៌; មិនលម្អៀង	ចៅក្រមត្រូវរក្សាភាពយុត្តិធម៌។
公证	ការបញ្ជាក់ដោយសារការី	ឯកសារនេះត្រូវការការបញ្ជាក់ដោយសារការី។
功劳	គុណសម្បត្តិរួមចំណែក	ជោគជ័យលើកនេះមានគុណសម្បត្តិរបស់មនុស្សគ្រប់គ្នា។
功效	ប្រសិទ្ធភាព	ប្រសិទ្ធភាពនៃឱសថនេះនៅត្រូវការផ្ទៀងផ្ទាត់។
宫殿	ព្រះបរមរាជវាំង	ភ្ញៀវទេសចរបានទស្សនាព្រះបរមរាជវាំងបុរាណ។
工艺品	សិប្បកម្ម	សិប្បកម្មនេះធ្វើដោយដៃ។
恭敬	គោរព	គាត់បានសួរសុខទុក្ខមនុស្សចាស់ដោយគោរព។
攻击	វាយប្រហារ	អ្នកលួចចូលប្រព័ន្ធបានវាយប្រហារគេហទំព័រក្រុមហ៊ុន។
攻克	ជម្នះ	ក្រុមស្រាវជ្រាវបានជម្នះបញ្ហាបច្ចេកទេសលំបាក។
巩固	ពង្រឹង	ការរំលឹកមេរៀនអាចពង្រឹងចំណេះដឹងដែលបានរៀន។
共和国	សាធារណរដ្ឋ	សាធារណរដ្ឋនេះត្រូវបានបង្កើតនៅសតវត្សមុន។
共计	សរុប	ទំនិញជុំដឹកនេះសរុបមានបីរយប្រអប់។
共鸣	ការឆ្លើយតបផ្លូវចិត្តរួម	បទចម្រៀងនេះបានបង្កើតការឆ្លើយតបផ្លូវចិត្តរួមពីមនុស្សជាច្រើន។
勾结	ឃុបឃិត	ពួកគេឃុបឃិតជាមួយអ្នកក្រៅដើម្បីបោកយកមូលនិធិ។
钩子	ទំពក់	លើជញ្ជាំងមានទំពក់ជាច្រើន។
构思	គិតគ្រោង	អ្នកនិពន្ធកំពុងគិតគ្រោងប្រលោមលោកថ្មី។
姑且	បណ្តោះអាសន្នសិន	ផែនការនេះសាកល្បងមួយសប្តាហ៍បណ្តោះអាសន្នសិន។
孤独	ឯកោ	បន្ទាប់ពីផ្លាស់ទៅទីក្រុងថ្មី គាត់មានអារម្មណ៍ឯកោ។
孤立	ដាច់ដោយឡែក	កុំមើលបញ្ហានេះដោយដាច់ដោយឡែក។
辜负	ធ្វើឲ្យខកចិត្ត	ខ្ញុំមិនចង់ធ្វើឲ្យឪពុកម្តាយខកចិត្តចំពោះការរំពឹងទុករបស់ពួកគេ។
古董	វត្ថុបុរាណ	ជីតាបានប្រមូលវត្ថុបុរាណពីរបីមុខ។
古怪	ចម្លែក	គំនិតរបស់គាត់ចម្លែកបន្តិច។
股东	ភាគទុនិក	មហាសន្និបាតភាគទុនិកនឹងប្រព្រឹត្តទៅសប្តាហ៍ក្រោយ។
股份	ភាគហ៊ុន	គាត់កាន់កាប់ភាគហ៊ុនរបស់ក្រុមហ៊ុន។
骨干	ស្នូលសំខាន់	វិស្វករទាំងនេះជាស្នូលសំខាន់របស់ក្រុម។
鼓动	ញុះញង់	មានអ្នកញុះញង់មហាជនឲ្យតវ៉ា។
固然	ពិតមែន	វិធីនេះពិតមែនថាសាមញ្ញ ប៉ុន្តែហានិភ័យមិនតូចទេ។
固体	រឹង	ទឹកកកជារូបភាពរឹងនៃទឹក។
固有	ដែលមានពីធម្មជាតិ	វប្បធម៌នីមួយៗមានលក្ខណៈពិសេសដែលមានពីធម្មជាតិ។
固执	រឹងរូស	គាត់រឹងរូសពេក មិនព្រមស្តាប់យោបល់។
故乡	ស្រុកកំណើត	បន្ទាប់ពីច្រើនឆ្នាំ គាត់បានត្រឡប់ទៅស្រុកកំណើត។
故障	បញ្ហាខូចខាត	ជណ្តើរយន្តមានបញ្ហាខូចខាត ហើយផ្អាកប្រើបណ្តោះអាសន្ន។
雇佣	ជួលបុគ្គលិក	ក្រុមហ៊ុនសម្រេចជួលបុគ្គលិកបច្ចេកទេសបន្ថែម។
顾虑	កង្វល់	បើអ្នកមានកង្វល់អ្វី អាចនិយាយត្រង់ៗបាន។
顾问	ទីប្រឹក្សា	យើងបានជួលទីប្រឹក្សាផ្នែកច្បាប់ម្នាក់។
拐杖	ឈើច្រត់	មនុស្សចាស់នោះតែងយកឈើច្រត់ពេលចេញក្រៅ។
关怀	ការយកចិត្តទុកដាក់	គ្រូបានផ្តល់ការយកចិត្តទុកដាក់ច្រើនដល់សិស្ស។
关照	មើលថែ	សូមអ្នកមើលថែក្មេងឲ្យបានច្រើនតាមផ្លូវ។
官方	ផ្លូវការ	ព័ត៌មានផ្លូវការនឹងប្រកាសថ្ងៃស្អែក។
观光	ទស្សនាទេសចរណ៍	ភ្ញៀវទេសចរជិះទូកទស្សនាទេសចរណ៍។
管辖	គ្រប់គ្រងតាមដែនសមត្ថកិច្ច	តំបន់នេះស្ថិតក្រោមដែនសមត្ថកិច្ចរបស់រដ្ឋាភិបាលក្រុង។
惯例	ទម្លាប់ធម្មតា	ការណែនាំភ្ញៀវមុនចាប់ផ្តើមកិច្ចប្រជុំគឺជាទម្លាប់ធម្មតា។
灌溉	ស្រោចស្រព	កសិករប្រើទឹកទន្លេស្រោចស្រពដីស្រែ។
罐	កំប៉ុង; ពាង	លើតុមានពាងតែមួយ។
贯彻	អនុវត្តឲ្យបានពេញលេញ	ក្រុមហ៊ុនត្រូវអនុវត្តស្តង់ដារសុវត្ថិភាពថ្មីឲ្យបានពេញលេញ។
光彩	ភាពភ្លឺថ្លា	សម្លៀកបំពាក់នេះធ្វើឲ្យនាងមើលទៅភ្លឺថ្លា។
光辉	ភាពរុងរឿង	សមិទ្ធផលរបស់គាត់បានទុកទំព័ររុងរឿងមួយ។
光芒	រស្មីពន្លឺ	រស្មីព្រះអាទិត្យបានបំភ្លឺជ្រលងភ្នំ។
光荣	កិត្តិយស	ការបម្រើប្រទេសជារឿងមានកិត្តិយស។
广阔	ធំទូលាយ	វាលស្មៅលាតសន្ធឹងឥតដាច់ ហើយធំទូលាយណាស់។
归根到底	សរុបមក	សរុបមក បញ្ហាស្ថិតនៅលើការគ្រប់គ្រង។
归还	ប្រគល់ត្រឡប់	សូមប្រគល់សៀវភៅត្រឡប់ឲ្យទាន់ពេល។
规范	បទដ្ឋាន	សាលាបានកំណត់បទដ្ឋានសម្រាប់គ្រប់គ្រងមន្ទីរពិសោធន៍។
规格	លក្ខណៈបច្ចេកទេស	លក្ខណៈបច្ចេកទេសនៃគ្រឿងបន្លាស់ជុំនេះមិនដូចគ្នា។
规划	ផែនការ	ផែនការទីក្រុងត្រូវពិចារណាអំពីចរាចរណ៍។
规章	បទប្បញ្ញត្តិ	បុគ្គលិកត្រូវគោរពបទប្បញ្ញត្តិរបស់ក្រុមហ៊ុន។
轨道	ផ្លូវរថភ្លើង; គន្លង	រថភ្លើងធ្វើដំណើរតាមផ្លូវរថភ្លើង។
贵族	អភិជន	ចម្ការធំនេះធ្លាប់ជាកម្មសិទ្ធិរបស់អភិជន។
跪	លុតជង្គង់	គាត់បានលុតជង្គង់នៅមុខរូបទេវតា។
棍棒	ដំបង	នគរបាលបានរឹបអូសដំបងនៅកន្លែងកើតហេតុ។
国防	ការពារជាតិ	ការកសាងការពារជាតិត្រូវការវិនិយោគរយៈពេលវែង។
国务院	ក្រុមប្រឹក្សារដ្ឋ	ក្រុមប្រឹក្សារដ្ឋបានចេញសេចក្តីជូនដំណឹងថ្មី។
果断	ដាច់ខាត	អ្នកដឹកនាំបានសម្រេចចិត្តយ៉ាងដាច់ខាត។
过度	ហួសកម្រិត	ការប្រើទូរស័ព្ទហួសកម្រិតអាចប៉ះពាល់ដល់ការគេង។
过渡	អន្តរកាល	ក្រុមហ៊ុនកំពុងស្ថិតក្នុងដំណាក់កាលអន្តរកាលនៃការបម្លែង។
过奖	សរសើរលើសហេតុ	អ្នកសរសើរខ្ញុំលើសហេតុហើយ ខ្ញុំនៅត្រូវរៀនទៀត។
过滤	ត្រង	ឧបករណ៍នេះអាចត្រងភាពមិនបរិសុទ្ធ។
过失	កំហុស	គ្រោះថ្នាក់លើកនេះបណ្តាលពីកំហុសមនុស្ស។
过问	ចូលពាក់ព័ន្ធសួរនាំ	អ្នកគ្រប់គ្រងកម្រចូលពាក់ព័ន្ធសួរនាំរឿងតូចៗទាំងនេះ។
过瘾	ពេញចិត្តខ្លាំង	មើលការប្រកួតនេះពេញចិត្តខ្លាំងណាស់។
过于	ហួសពេក	ផែនការនេះស្មុគស្មាញហួសពេក។
嗨	ហេ៎	ហេ៎ ហេតុអ្វីអ្នកក៏មកដែរ?
海拔	កម្ពស់ពីនីវ៉ូសមុទ្រ	ភូមិនេះមានកម្ពស់ពីនីវ៉ូសមុទ្រខ្ពស់។
海滨	មាត់សមុទ្រ	ពួកគេបានចំណាយចុងសប្តាហ៍នៅមាត់សមុទ្រ។
含糊	មិនច្បាស់លាស់	ចម្លើយរបស់គាត់មិនច្បាស់លាស់ណាស់។
含义	អត្ថន័យ	ពាក្យនេះមានអត្ថន័យពិសេស។
寒暄	ជជែកសួរសុខទុក្ខ	បន្ទាប់ពីជួបគ្នា ពួកគេបានជជែកសួរសុខទុក្ខពីរបីម៉ាត់ជាមុន។
罕见	កម្រឃើញ	ជំងឺប្រភេទនេះកម្រឃើញណាស់។
捍卫	ការពារ	មេធាវីខិតខំការពារសិទ្ធិរបស់ភាគីពាក់ព័ន្ធ។
航空	អាកាសចរណ៍	ក្រុមហ៊ុនអាកាសចរណ៍បានលុបចោលជើងហោះហើរ។
