simplified	CS	example_CS
开发	vyvíjet	Firma vyvíjí nový produkt.
开放	otevřít	Park se otevírá každé ráno v šest.
开幕式	zahajovací ceremoniál	Zahajovací ceremoniál se koná zítra večer.
开水	převařená voda	Dejte mi prosím sklenici převařené vody.
砍	sekat	Dělník seká větve.
看不起	pohrdat	Nepohrdej nikým.
看望	navštívit	O víkendu navštívím prarodiče.
靠	opřít se	Opřel se o zeď a odpočíval.
颗	kus; zrnko	Na noční obloze je jedna hvězda.
可见	je vidět	Je vidět, že tato metoda je účinná.
可靠	spolehlivý	Je spolehlivý přítel.
可怕	děsivý	Ten sen byl příliš děsivý.
克	gram	Přidejte prosím dva gramy soli.
克服	překonat	Musíme překonat potíže.
刻苦	pilný	Studuje velmi pilně.
客观	objektivní	Analyzujte prosím problém objektivně.
课程	kurz	Tento kurz je velmi užitečný.
空间	prostor	Tento pokoj má hodně prostoru.
控制	kontrolovat	Řidič udržel rychlost auta pod kontrolou.
空闲	volný čas	Máš zítra odpoledne volno?
口味	chuť	Má raději jemnější chutě.
夸	chválit	Učitel ho pochválil za velký pokrok.
夸张	přehnaný	Jeho výraz je trochu přehnaný.
会计	účetní	Pracuje ve firmě jako účetní.
宽	široký	Tato silnice je velmi široká.
昆虫	hmyz	Děti pozorují hmyz.
扩大	rozšířit	Škola plánuje rozšířit knihovnu.
辣椒	chilli	Do jídla dali hodně chilli papriček.
拦	zastavit	Policie zastavila auto.
烂	shnilý	Toto jablko už je shnilé.
朗读	číst nahlas	Přečtěte prosím text nahlas.
劳动	práce	Práce člověku dává pocit naplnění.
劳驾	promiňte	Promiňte, kde je stanice metra?
姥姥	babička z matčiny strany	Moje babička z matčiny strany vaří velmi dobře.
老百姓	obyčejní lidé	Obyčejní lidé se zajímají o životní náklady.
老板	šéf	Šéf dnes není v kanceláři.
老婆	manželka	Koupil manželce květiny.
老实	poctivý	Je to poctivý člověk.
老鼠	myš	V kuchyni je myš.
乐观	optimistický	Je optimistická ohledně budoucnosti.
雷	hrom	Včerejší hrom byl velmi hlasitý.
类型	typ	Do jakého typu patří tento druh filmu?
冷淡	chladný	Jeho postoj je trochu chladný.
厘米	centimetr	Toto pero je dlouhé patnáct centimetrů.
梨	hruška	Koupil jsem několik hrušek.
离婚	rozvést se	Rozvedli se loni.
理论	teorie	Tato teorie je velmi složitá.
理由	důvod	Jaký máš důvod, že jsi přišel pozdě?
利润	zisk	Zisk firmy se letos zvýšil.
利息	úrok	Bankovní úrok není vysoký.
利益	zájem; prospěch	Musíme chránit zájmy všech.
利用	využít	Využívá víkend ke studiu čínštiny.
力量	síla	Jednota je síla.
立即	okamžitě	Okamžitě prosím odejděte odsud.
立刻	ihned	Když uslyšel zprávu, ihned vyrazil.
联合	spojit	Dvě firmy společně vyvíjely produkt.
连忙	rychle	Když uslyšel telefon, rychle ho zvedl.
连续	nepřetržitě	Pracoval deset hodin v kuse.
恋爱	milostný vztah	Jsou spolu v milostném vztahu.
粮食	obilí; potraviny	Letošní produkce obilí se zvýšila.
良好	dobrý	Má dobré studijní návyky.
亮	jasný; světlý	Světlo v pokoji je velmi jasné.
了不起	úžasný	Dosáhla úžasných výsledků.
列车	vlak	Vlak brzy odjede.
临时	dočasný	Je to dočasné rozhodnutí.
灵活	pružný	Studijní metody by měly být pružné.
铃	zvonek	Zazvonil zvonek na hodinu.
零件	součástka	Stroji chybí jedna součástka.
零食	svačina; pochutiny	Děti rády jedí svačiny.
领导	vedoucí	Vedoucí je na schůzi.
领域	obor	Pracuje v oblasti vzdělávání.
流传	předávat se	Tento příběh se předává už dlouho.
流泪	plakat	Když tu zprávu uslyšela, rozplakala se.
浏览	prohlížet si	Nejprve si prohlédnu webovou stránku.
龙	drak	V čínské kultuře jsou draci.
漏	protékat	Do střechy zatéká.
录取	přijmout	Byl přijat na univerzitu.
录音	nahrávat	Začněte prosím nahrávat.
陆地	pevnina	Mořská želva vylezla na pevninu.
陆续	postupně	Hosté postupně dorazili.
轮流	střídat se	Střídáme se v úklidu třídy.
论文	diplomová práce	Píše diplomovou práci.
逻辑	logika	Jeho logika je velmi jasná.
落后	zaostávat	Nesmíme za ostatními zaostávat.
骂	nadávat	Nenadávejte prosím dítěti.
麦克风	mikrofon	Podejte mu prosím mikrofon.
馒头	pařená houska	K snídani jsem snědl jednu pařenou housku.
满足	splnit; uspokojit	Tato odpověď nesplňuje požadavky.
毛病	problém	Tento počítač má menší problém.
矛盾	rozpor; konflikt	Mezi nimi jsou nějaké konflikty.
冒险	riskovat	Jít tam sám je příliš riskantní.
贸易	obchod	Mezinárodní obchod se rychle rozvíjí.
媒体	média	Média o této věci informovala.
煤炭	uhlí	Tento region produkuje uhlí.
眉毛	obočí	Má husté obočí.
美术	výtvarné umění	Moje mladší sestra má ráda výtvarné umění.
魅力	kouzlo	Toto město má velké kouzlo.
梦想	sen	Jeho snem je stát se lékařem.
密切	úzký	Udržujeme úzký kontakt.
秘密	tajemství	Je to naše tajemství.
秘书	sekretář; sekretářka	Sekretářka naplánovala čas schůze.
蜜蜂	včela	Mezi květinami je hodně včel.
面对	čelit	Měli bychom odvážně čelit obtížím.
面积	plocha	Plocha tohoto pokoje není velká.
面临	čelit	Firma čelí novým výzvám.
描写	popsat	Autor popsal venkovský život.
苗条	štíhlý	Má štíhlou postavu.
敏感	citlivý	Toto téma je poměrně citlivé.
名牌	známá značka	Koupil si hodinky známé značky.
名片	vizitka	Dejte mi prosím vizitku.
名胜古迹	památky a zajímavá místa	V Pekingu je mnoho památek a zajímavých míst.
明确	jasný	Učitel jasně vysvětlil požadavky.
明显	zřejmý	Jeho pokrok je zřejmý.
明星	hvězda	Chce se stát filmovou hvězdou.
命令	rozkaz	Vojáci musí poslouchat rozkazy.
命运	osud	Věří, že osud se dá změnit.
摸	dotýkat se	Nedotýkejte se prosím tohoto obrazu.
摩托车	motorka	Do práce jezdí na motorce.
模仿	napodobovat	Děti rády napodobují řeč dospělých.
模糊	rozmazaný	Tato fotka je trochu rozmazaná.
模特	modelka	Je modelkou pro oblečení.
陌生	neznámý	Toto město je pro mě velmi neznámé.
某	nějaký	Zavolal mi nějaký učitel.
木头	dřevo	Tento stůl je ze dřeva.
目标	cíl	Mým cílem je složit zkoušku.
目录	obsah	Nejprve se prosím podívejte na obsah na začátku knihy.
目前	v současnosti	Situace je v současnosti poměrně stabilní.
哪怕	i kdyby	I když je hodně zaneprázdněný, pořád se učí.
难怪	není divu	Není divu, že máš dnes tak dobrou náladu.
难免	je těžké se vyhnout	Při prvním pokusu se chybám těžko vyhneš.
脑袋	hlava	Trochu ho bolí hlava.
内部	vnitřní	Jde o interní materiály firmy.
内科	interna	Dnes jde na internu.
嫩	křehký; jemný	Tento kus masa je velmi křehký.
能干	schopný	Je to velmi schopný člověk.
能源	energie	Solární energie je druh čisté energie.
嗯	ehm; hm	Hm, rozumím.
年代	léta; období	Tato fotka byla pořízena v osmdesátých letech.
年纪	věk	Není moc starý, ale má hodně zkušeností.
念	číst nahlas	Přečtěte prosím text jednou nahlas.
宁可	raději	Raději půjdu pěšky, než abych čekal na autobus.
牛仔裤	džíny	Má na sobě džíny.
农村	venkov	Vyrostla na venkově.
农民	zemědělec	Zemědělci pracují na poli.
农业	zemědělství	Zemědělství je pro tento region velmi důležité.
浓	silný	Tato káva je příliš silná.
女士	dáma	Ta dáma čeká na autobus.
欧洲	Evropa	Příští měsíc jede cestovat po Evropě.
偶然	náhodou	Náhodou jsem potkal starého spolužáka.
拍	fotit	Pomozte mi prosím vyfotit jednu fotku.
派	poslat	Firma ho poslala na služební cestu do Šanghaje.
盼望	těšit se	Těším se, že tě brzy uvidím.
培训	školení	Noví zaměstnanci se musí zúčastnit školení.
培养	rozvíjet	Škola klade důraz na rozvíjení schopností studentů.
赔偿	odškodnit	Firma souhlasila s náhradou ztráty.
佩服	obdivovat	Velmi obdivuji jeho odvahu.
配合	spolupracovat	Spolupracujte prosím podle pokynů učitele.
盆	květináč; mísa	Na balkoně je květináč s květinou.
碰	dotknout se	Pozor, nedotýkej se horké vody.
批	šarže	Tato šarže zboží dnes dorazila.
批准	schválit	Manažer tento plán schválil.
披	mít přehozený	Má přes ramena přehozený kabát.
疲劳	únava	Dlouhá práce člověka unaví.
匹	kus; kůň	Na trávě je jeden kůň.
片	plátek	Dejte mi prosím plátek chleba.
片面	jednostranný	Tento názor je příliš jednostranný.
飘	vznášet se	Sněhové vločky se vznášejí ve vzduchu.
拼音	pinyin	Napište prosím pinyin vedle čínských znaků.
频道	kanál	Přepněte prosím na zpravodajský kanál.
凭	na základě; s	Se vstupenkou můžete vstoupit.
平均	průměrně	Každý utratil v průměru deset jüanů.
平	rovný	Tato cesta je velmi rovná.
平安	bezpečně	Přeji ti šťastnou cestu.
平常	obvykle	Obvykle chodí pozdě jen zřídka.
平等	rovný	S každým by se mělo zacházet stejně.
平方	čtvereční	Tento pokoj má dvacet metrů čtverečních.
平衡	rovnováha	Práce a život potřebují rovnováhu.
平静	klidný	Hladina jezera je velmi klidná.
评价	hodnocení	Učitel dal velmi vysoké hodnocení.
破产	zkrachovat	Ta firma loni zkrachovala.
破坏	poškodit	Nepoškozujte prosím veřejný majetek.
迫切	naléhavý	Naléhavě potřebujeme více lékařů.
期待	těšit se	Na tuto cestu se velmi těším.
期间	během	Během schůze prosím vypněte telefon.
其余	zbývající	Zbývající otázky probereme zítra.
奇迹	zázrak	Lékař řekl, že je to zázrak.
企业	podnik	Tento podnik se rychle rozvíjí.
启发	inspirace	Tato kniha mi dala hodně inspirace.
气氛	atmosféra	Atmosféra ve třídě je velmi uvolněná.
汽油	benzín	Auto potřebuje natankovat benzín.
签	podepsat	Zde se prosím podepište.
谦虚	skromný	Je vynikající a zároveň velmi skromný.
前途	perspektiva	Tento obor má dobré vyhlídky.
浅	mělký	Tato řeka je velmi mělká.
欠	dlužit	Ještě mi dluží dvacet jüanů.
枪	zbraň	Policista drží v ruce zbraň.
墙	zeď	Na zdi visí obraz.
强调	zdůraznit	Učitel zdůraznil otázky bezpečnosti.
强烈	silný	Má silný smysl pro odpovědnost.
抢	bojovat o	Nebojujte s ostatními o místa.
悄悄	potichu	Potichu vešla do pokoje.
瞧	podívat se	Podívej, venku sněží.
巧妙	chytrý	Tato metoda je velmi chytrá.
切	krájet	Nakrájejte prosím ovoce na malé kousky.
亲爱	milý	Milý příteli, děkuji ti.
亲切	laskavý	Učitel mluví velmi laskavě.
亲自	osobně	Manažer osobně přijal hosty.
勤奋	pilný	Pilní lidé mají větší šanci uspět.
清淡	jemný; lehký	Mám rád lehká jídla.
轻视	podceňovat	Nepodceňuj tento malý problém.
轻易	snadno	Nevzdá se snadno.
青	modrozelený	Toto oblečení je modrozelené.
青春	mládí	Mládí je cenné.
青少年	dospívající	Dospívající potřebují dostatek spánku.
情景	scéna	Scéna ve filmu byla velmi dojemná.
情绪	emoce	Jeho emoce nejsou moc stabilní.
请求	žádost	Vznesl jednu žádost.
庆祝	oslavit	Oslavili jsme jeho narozeniny.
球迷	fanoušek	Mnoho fanoušků přišlo sledovat zápas.
趋势	trend	Tento trend je čím dál zřejmější.
取消	zrušit	Kvůli dešti byla akce zrušena.
娶	oženit se	Plánuje se s ní příští rok oženit.
去世	zemřít	Jeho dědeček loni zemřel.
圈	kroužek	Zakroužkujte prosím správnou odpověď.
全面	komplexní	Musíme situaci pochopit komplexně.
权利	právo	Každý má právo na vzdělání.
权力	moc	Moc by měla podléhat dohledu.
劝	radit	Přítel mi poradil, abych šel dříve odpočívat.
缺乏	postrádat	V této oblasti chybí čistá voda.
确定	určit	Ještě nemohu určit čas.
确认	potvrdit	Potvrďte prosím svou adresu.
群	skupina	Na hřišti si hraje skupina dětí.
燃烧	hořet	Dřevo hoří.
绕	obejít	Obešli jsme jednou jezero.
热爱	milovat	Miluje svou práci.
热烈	vřelý	Všichni hosty vřele přivítali.
热心	ochotný	Sousedé jsou všichni velmi ochotní.
人才	talent	Firma potřebuje více talentovaných lidí.
人口	obyvatelstvo	Toto město má mnoho obyvatel.
人类	lidstvo	Lidstvo musí chránit Zemi.
人民币	renminbi; čínský jüan	Vyměnil jsem si nějaké čínské jüany.
人生	život	Život nabízí mnoho voleb.
人事	personální oddělení	Pracuje v personálním oddělení.
人物	postava	Postavy v románu působí velmi skutečně.
人员	personál	Všichni pracovníci už dorazili.
忍不住	nemoci si pomoct	Když uslyšel vtip, nemohl se ubránit smíchu.
日常	každodenní	Je to moje každodenní práce.
日程	program	Dnešní program je velmi nabitý.
日历	kalendář	Na zdi visí kalendář.
日期	datum	Napište prosím jasně datum.
日用品	potřeby denní spotřeby	Supermarket prodává mnoho potřeb denní spotřeby.
日子	dny	V posledních dnech je velmi zaneprázdněný.
如何	jak	Jak bychom měli tento problém vyřešit?
如今	v dnešní době	V dnešní době je doprava mnohem pohodlnější.
软	měkký	Tato postel je velmi měkká.
软件	software	Tento software se dobře používá.
弱	slabý	Je fyzicky poměrně slabý.
洒	rozlít	Neopatrně rozlil vodu.
嗓子	krk	Trochu mě bolí v krku.
色彩	barvy	Tento obraz má bohaté barvy.
杀	zabít	V tomto filmu nejsou scény vraždy.
沙漠	poušť	Voda v poušti je velmi cenná.
沙滩	pláž	Děti si hrají na pláži.
傻	hloupý	Nedělej hlouposti.
晒	sušit na slunci	Oblečení se suší na balkoně.
删除	smazat	Smažte prosím tento e-mail.
闪电	blesk	V noci se objevily blesky.
善良	laskavý	Je to laskavý člověk.
善于	být dobrý v	Umí dobře řešit problémy.
扇子	vějíř	V létě často používám vějíř.
伤害	ublížit	Neubližuj citům ostatních.
商品	zboží	Tento obchod má hodně zboží.
商务	obchodní	Zítra se zúčastní obchodní schůzky.
商业	obchod	V této oblasti je obchod velmi rozvinutý.
上当	nechat se oklamat	Málem se nechal oklamat.
蛇	had	V trávě je had.
舍不得	nerad se loučit	Nerad odsud odcházím.
射击	střelba	Trénuje střelbu.
摄影	fotografování	Velmi se zajímá o fotografování.
设备	vybavení	Vybavení v laboratoři je velmi moderní.
设计	design	Tento design je velmi kreativní.
设施	zařízení	Sportovní zařízení školy jsou dobrá.
伸	natáhnout	Natáhněte prosím ruku.
深刻	hluboký	Tato zkušenost ve mně zanechala hluboký dojem.
身材	postava	Má zdravou postavu.
身份	totožnost	Předložte prosím doklad totožnosti.
神话	mýtus	Děti rády poslouchají mýty.
神秘	tajemný	Toto staré město je velmi tajemné.
升	litr; stoupat	Cena benzínu stoupla o něco za litr.
声调	tón	Čínština má čtyři základní tóny.
生产	vyrábět	Tato továrna vyrábí mobilní telefony.
生动	živý	Učitel vysvětluje velmi živě.
生长	růst	Tato rostlina roste rychle.
绳子	provaz	Svažte prosím krabici provazem.
省略	vynechat	Zde lze vynechat jeden znak.
胜利	vítězství	Nakonec dosáhli vítězství.
失眠	nespavost	V poslední době často trpí nespavostí.
失去	ztratit	Neztrácej sebevědomí.
失业	nezaměstnanost	Poté, co přišel o práci, se začal učit nové dovednosti.
湿润	vlhký	Vzduch po dešti je vlhký.
狮子	lev	V zoo jsou dva lvi.
诗	báseň	Napsal báseň.
实话	pravda	Řekni prosím pravdu.
实践	praxe	Teorie se musí ověřit praxí.
实习	stáž	O letních prázdninách bude na stáži v nemocnici.
实现	uskutečnit	Nakonec si splnil sen.
实验	pokus	Studenti dělají pokus.
实用	praktický	Tento nástroj je velmi praktický.
时差	časový posun	Ještě si nezvykl na časový posun.
时代	doba	Žijeme v informační době.
时刻	okamžik	Zapamatujte si prosím tento důležitý okamžik.
时髦	módní	Toto oblečení je velmi módní.
时期	období	Období na univerzitě na něj mělo velký vliv.
时尚	móda	Velmi se zajímá o módu.
石头	kámen	U cesty leží kámen.
食物	jídlo	Dejte prosím jídlo do lednice.
使劲儿	použít sílu	Na otevření této lahve je potřeba použít sílu.
始终	po celou dobu	Po celou dobu věřil, že uspěje.
事实	fakt	Fakta dokazují, že měl pravdu.
事物	věc	Děti jsou velmi zvědavé na nové věci.
事先	předem	Řekněte mi prosím čas předem.
似的	jako by	Vypadal tak unaveně, jako by nechtěl říct ani slovo.
士兵	voják	Vojáci trénují.
市场	trh	Tento trh je velmi živý.
试卷	test; písemka	Učitel opravuje písemky.
收获	získat	Tato cesta mi hodně dala.
收据	účtenka	Po zaplacení si prosím uschovejte účtenku.
手工	ruční práce	Tento dárek je vyrobený ručně.
手术	operace	Lékař ho zítra bude operovat.
手套	rukavice	V zimě si ven ber rukavice.
手续	formality	K vyřízení formalit je potřeba průkaz totožnosti.
手指	prst	Má zraněný prst.
首	kus; píseň	Zazpívala jednu píseň.
受伤	zranit se	Při zápase se zranil.
寿命	životnost	Tento typ stroje má dlouhou životnost.
书架	knihovna	Police je plná knih.
梳子	hřeben	Češe si vlasy hřebenem.
舒适	pohodlný	Tento pokoj je velmi pohodlný.
蔬菜	zelenina	Jíst víc zeleniny je dobré pro zdraví.
输入	zadat	Zadejte prosím heslo do počítače.
熟练	zkušený; zručně	Umí zručně používat počítač.
属于	patřit	Tato kniha patří knihovně.
数	počítat	Spočítej prosím, kolik je tam lidí.
鼠标	myš	Moje počítačová myš je rozbitá.
数据	data	Tato data jsou velmi důležitá.
数码	digitální	Koupil si digitální fotoaparát.
摔倒	upadnout	Upadla na silnici.
甩	setřást	Setřásl si vodu z rukou.
双方	obě strany	Obě strany s tímto plánem souhlasily.
税	daň	Při nákupu je třeba zaplatit daň.
说不定	možná	Možná bude zítra sněžit.
说服	přesvědčit	Nakonec přesvědčil rodiče.
丝绸	hedvábí	Tento šátek je z hedvábí.
丝毫	ani trochu	Ani trochu nezměnil názor.
思考	přemýšlet	Přemýšlejte prosím o tomto problému vážně.
思想	myšlení	Jeho myšlení je velmi otevřené.
撕	trhat	Netrhejte prosím tento papír.
私人	soukromý	Je to můj soukromý prostor.
似乎	zdát se	Zdá se, že není moc spokojený.
搜索	hledat	Hledal jsem materiály na internetu.
宿舍	kolej	Studenti bydlí na školní koleji.
随身	mít u sebe	Mějte prosím pas u sebe.
随时	kdykoli	Můžeš mi kdykoli zavolat.
随手	mimochodem; za sebou	Při odchodu prosím zavři dveře.
碎	rozbít se	Hrnek spadl na zem a rozbil se.
损失	ztráta	Tato nehoda způsobila velkou ztrátu.
缩短	zkrátit	Nová trasa zkrátila cestu.
所	škola; instituce	Tato škola je velmi slavná.
锁	zamknout	Před odchodem prosím zamkněte dveře.
台阶	schody	Starší člověk pomalu vystoupal po schodech.
太极拳	tchaj-ťi	V parku lidé cvičí tchaj-ťi.
太太	paní	Paní Wangová vaří.
谈判	jednání	Obě strany právě jednají.
坦率	upřímný	Upřímně vyjádřil své myšlenky.
烫	horký	Tento čaj je velmi horký.
桃	broskev	Na stromě vyrostlo hodně broskví.
淘气	zlobivý	Toto dítě je trochu zlobivé.
逃	utéct	Štěně uteklo ze dvora.
逃避	vyhýbat se	Nevyhýbej se odpovědnosti.
讨价还价	smlouvat	Při nakupování rád smlouvá.
套	sada	Koupil si novou sadu oblečení.
特色	rys; místní zvláštnost	Tato restaurace má místní ráz.
特殊	zvláštní	Dnes je zvláštní den.
特征	znak	Toto zvíře má výrazné znaky.
疼爱	milovat	Babička s dědečkem dítě velmi milují.
提倡	prosazovat	Škola prosazuje šetření vodou.
提纲	osnova	Před psaním článku si nejprve udělej osnovu.
提问	ptát se	Studenti se mohou kdykoli ptát.
题目	otázka	Tato otázka není moc těžká.
体会	pochopení	Díky cestování jsem získal nové pochopení.
体贴	ohleduplný	Ke své rodině je velmi ohleduplný.
体现	odrážet	Tato věc odráží týmového ducha.
体验	zažít	Chci zažít místní život.
天空	obloha	Dnešní obloha je velmi modrá.
天真	naivní	Myšlenky dítěte jsou velmi naivní.
调皮	nezbedný	Ta kočka je velmi nezbedná.
调整	upravit	Musíme upravit plán.
挑战	výzva	Je to velká výzva.
通常	obvykle	Obvykle vstává v sedm.
统一	sjednotit	Názory všech je třeba sjednotit.
痛苦	bolest; utrpení	Ztráta přítele ho velmi bolela.
痛快	skvěle	Dnes jsme si to opravdu skvěle užili.
偷	krást	Nekraď věci ostatním.
投入	soustředěně	Pracuje velmi soustředěně.
投资	investovat	Investovali do nového projektu.
透明	průhledný	Tento hrnek je průhledný.
突出	výrazný	Jeho přednosti jsou velmi výrazné.
土地	půda	Tato půda je velmi úrodná.
土豆	brambora	Koupil jsem několik brambor.
兔子	králík	Dítě chová králíka.
吐	zvracet	Není mu dobře a chce zvracet.
团	skupina	Připojili jsme se k zájezdové skupině.
推辞	odmítnout	Odmítl pozvání přítele.
推广	propagovat	Firma propaguje nový produkt.
推荐	doporučit	Učitel doporučil tuto knihu.
退	ustoupit	Ustupte prosím o krok dozadu.
退步	zhoršit se	Když nebudeš cvičit, tvoje úroveň se zhorší.
退休	odejít do důchodu	Příští rok odejde do důchodu.
歪	křivý	Tento obraz visí nakřivo.
外公	dědeček z matčiny strany	Mému dědečkovi z matčiny strany je letos osmdesát let.
外交	diplomacie	Studuje mezinárodní vztahy a diplomacii.
完美	dokonalý	Tento plán není dokonalý.
完善	zlepšit	Musíme zlepšit proces služeb.
完整	úplný	Dejte mi prosím úplnou zprávu.
玩具	hračka	Dítě dalo hračky do krabice.
万一	kdyby náhodou	Kdyby náhodou pršelo, půjdeme jindy.
王子	princ	Princ v příběhu je velmi statečný.
往返	zpáteční cesta	Tato jízdenka umožňuje zpáteční cestu ve stejný den.
网络	internet	Internetové připojení je tady velmi stabilní.
危害	škodit	Kouření škodí zdraví.
威胁	ohrožovat	Znečištění ohrožuje řeku.
微笑	úsměv	Usmála se na mě.
唯一	jediný	Je to jediný způsob.
围巾	šála	V zimě nosí šálu.
围绕	točit se kolem	Diskuse se točila kolem tohoto problému.
维修	oprava	Výtah je v opravě.
违反	porušit	Takový postup porušuje pravidla.
伟大	velký	Je to velký objev.
委屈	cítit křivdu	Cítila se velmi ukřivděně.
尾巴	ocas	Štěně vrtělo ocasem.
位于	nacházet se	Škola se nachází v centru města.
位置	místo	Toto místo je velmi klidné.
未必	ne nutně	To, co řekl, nemusí být pravda.
未来	budoucnost	Musíme se připravit na budoucnost.
胃	žaludek	Je mi trochu špatně od žaludku.
胃口	chuť k jídlu	Dnes má dobrou chuť k jídlu.
温暖	teplý	Jarní slunce je velmi teplé.
温柔	jemný	Mluví velmi jemně.
文件	dokument	Pošlete mi prosím dokument.
文具	psací potřeby	Ve školní tašce je hodně psacích potřeb.
文明	civilizovaný	Stát ve frontě je civilizované chování.
文学	literatura	Má ráda čínskou literaturu.
文字	znaky; text	Tyto znaky se těžko čtou.
闻	cítit; slyšet	Cítil jsem vůni květin.
吻	políbit	Matka políbila dítě na tvář.
稳定	stabilní	Ceny zůstávají stabilní.
问候	pozdravovat	Pozdravuj prosím ode mě svou rodinu.
卧室	ložnice	V ložnici je velká postel.
握手	podat si ruce	Když se setkali, podali si ruce.
屋子	pokoj	V pokoji je teplo.
无奈	bezmocně	Bezmocně zavrtěl hlavou.
无数	nespočetný	Na noční obloze je nespočet hvězd.
无所谓	nezáležet na	Nezáleží na tom, co chceš jíst.
武术	bojové umění	Učí se bojová umění od dětství.
勿	ne	Prosím, zde nekuřte.
物理	fyzika	Hodina fyziky je velmi zajímavá.
物质	látka	Voda je důležitá látka.
雾	mlha	Ráno byla hustá mlha.
吸取	poučit se	Měli bychom se z této lekce poučit.
吸收	vstřebávat; absorbovat	Rostliny vstřebávají vodu.
戏剧	divadlo; drama	Rád sleduje tradiční divadlo.
系	katedra	Studuje na katedře čínštiny.
系统	systém	Tento systém funguje stabilně.
细节	detail	Věnujte prosím pozornost těmto detailům.
瞎	naslepo	Nehádej naslepo, nejprve se podívej na materiály.
下载	stáhnout	Stáhl jsem si tento software.
吓	vyděsit	Náhlý zvuk mě vyděsil.
夏令营	letní tábor	Dítě se zúčastnilo letního tábora čínštiny.
鲜艳	jasný; sytý	Barva této sukně je velmi sytá.
显得	vypadat	Toto oblečení ho omlazuje.
显然	zjevně	Zjevně už zná výsledek.
显示	ukazovat	Obrazovka ukazuje špatný čas.
县	okres	V tomto okrese je mnoho čajových plantáží.
现代	moderní	Moderní život se neobejde bez internetu.
现实	realita	Musíme čelit realitě.
现象	jev	Tento jev je velmi běžný.
限制	omezit	Vjezd vozidel je zde omezen.
相处	vycházet spolu	Vycházejí spolu velmi dobře.
相当	docela	Tato kniha je docela zajímavá.
相对	relativně	Ceny jsou tady relativně nízké.
相关	související	Poskytněte prosím související materiály.
相似	podobný	Významy těchto dvou znaků jsou velmi podobné.
香肠	klobása	K snídani jsou vejce a klobása.
享受	užívat si	Užívají si dovolenou.
想念	stýskat se	Velmi se mi stýská po rodině.
想象	představit si	Nedokážu si takový život představit.
象棋	čínské šachy	Dědeček rád hraje čínské šachy.
象征	symbolizovat	Bílá často symbolizuje čistotu.
项	položka; úkol	Tento úkol je velmi důležitý.
项链	náhrdelník	Má na sobě stříbrný náhrdelník.
项目	projekt	Tento projekt vyžaduje tři měsíce.
消费	spotřeba	Během svátků se spotřeba zvýšila.
消化	trávení	Procházka po jídle pomáhá trávení.
消极	negativní	Nedívej se na problémy s negativním postojem.
消失	zmizet	Slunce pomalu zmizelo za horou.
销售	prodávat	Tato firma prodává elektronické výrobky.
小麦	pšenice	Na severu se pěstuje hodně pšenice.
小气	lakomý	Nebuď tak lakomý.
孝顺	oddaný rodičům	Ke svým rodičům je velmi oddaný.
效率	efektivita	Takový postup může zvýšit efektivitu.
歇	odpočinout si	Nejdřív si chvíli odpočiňme.
斜	šikmý	Tato cesta je trochu šikmá.
写作	psaní	Psaní vyžaduje dlouhodobý trénink.
心理	psychický	Před zkouškou je potřeba upravit psychický stav.
心脏	srdce	Zdraví srdce je velmi důležité.
欣赏	obdivovat	Obdivovali jsme krásnou krajinu.
信号	signál	Signál mobilu je tady špatný.
信任	důvěra	Mezi přáteli je potřeba důvěra.
形成	vytvořit se	Dobré návyky se musí vytvářet postupně.
形容	popsat	Nevím, jak tento pocit popsat.
形势	situace	Současná situace je poměrně složitá.
形式	forma	Schůze může mít online formu.
形象	image; obraz	Jeho veřejný obraz je velmi dobrý.
形状	tvar	Tvar této krabice je velmi zvláštní.
行动	jednat	Musíme jednat okamžitě.
行人	chodec	Při přecházení silnice dávej pozor na chodce.
行为	chování	Takové chování není slušné.
幸亏	naštěstí	Naštěstí jsi mi to připomněl.
幸运	šťastný	Měl štěstí a našel práci.
性质	povaha	Povaha tohoto problému je velmi vážná.
兄弟	bratři	Ti dva bratři spolu mají dobrý vztah.
胸	hrudník	Cítí trochu tlak na hrudi.
休闲	volný čas	Víkend je dobrý čas na odpočinek.
修改	upravit	Upravte prosím tento článek.
虚心	otevřený radám	Měli bychom otevřeně naslouchat názorům.
叙述	vyprávět	Jasně vyprávěl, co se stalo.
宣布	oznámit	Škola oznámila nová pravidla.
宣传	propagovat	Propagují znalosti o ochraně životního prostředí.
学历	vzdělání	Tato práce vyžaduje bakalářské vzdělání.
学术	akademický	Na této konferenci se probírají akademické otázky.
学问	vědomosti	Má velké vědomosti.
血	krev	Z ruky mu teklo trochu krve.
寻找	hledat	Hledáme novou metodu.
询问	zeptat se	Zeptal se učitele na čas zkoušky.
训练	trénovat	Sportovec každý den vytrvale trénuje.
迅速	rychle	Zpráva se rychle rozšířila.
押金	záloha	Při pronájmu bytu je třeba zaplatit zálohu.
牙齿	zuby	Pečujte prosím každý den o své zuby.
严肃	vážný	Učitelův výraz byl velmi vážný.
延长	prodloužit	Schůze se prodloužila o půl hodiny.
演讲	projev	Připravuje si zítřejší projev.
宴会	hostina	Zúčastnili se hostiny.
阳台	balkon	Na balkoně stojí několik květináčů.
痒	svědit	Trochu mě svědí ruka.
样式	styl	Tento styl je velmi oblíbený.
腰	pas; bedra	Po dlouhém sezení mohou bolet bedra.
摇	třást	Vítr třásl větvemi sem a tam.
