simplified	PT	example_PT
无论	independentemente de; não importa	Por mais que eu explique, ele não entende.
误会	entender mal; o mal-entendido	Desculpa, entendi-te mal.
吸引	atrair	Este filme é muito apelativo.
西红柿	o tomate	Comprei alguns tomates.
咸	salgado	Puseste sal a mais; a comida está um pouco salgada.
现金	o dinheiro; o numerário	Não trago muito dinheiro, mas a loja aceita cartão.
羡慕	invejar; ter inveja	Tenho inveja de ele ter um bom emprego.
相反	oposto; pelo contrário	O que disseste é exatamente o oposto do que eu entendo.
相同	igual; idêntico	A tua bicicleta é exatamente igual à minha.
香	cheiroso; saboroso	A comida que fizeste está mesmo saborosa!
详细	detalhado; em detalhe	O plano que ela fez é muito detalhado.
响	tocar; soar	Ouve, será que o telefone tocou?
橡皮	a borracha	Podes emprestar-me a borracha por um momento?
消息	a notícia; a informação	Esta notícia é realmente emocionante.
小吃	o petisco; o snack	Quando vieres a Pequim, tens mesmo de provar os petiscos de Pequim.
小伙子	o rapaz	Aquele rapaz é muito simpático.
小说	o romance	Estou a ler este romance.
效果	o efeito	Este remédio para a constipação faz muito efeito.
笑话	rir-se de; a piada	Por favor, não te rias dos outros.
心情	o humor; o estado de espírito	O humor dele melhorou.
辛苦	duro; trabalhoso	O trabalho do pai é muito duro.
信封	o envelope	Ele pôs a carta escrita dentro do envelope.
信息	a informação	Por favor, envia-me os teus dados de contacto.
信心	a confiança	Temos muita confiança em ti; vais conseguir.
兴奋	entusiasmado; o entusiasmo	As crianças saltaram de entusiasmo ao ouvir que iam fazer um passeio de primavera.
行	estar bem; funcionar	Assim está bem?
醒	acordar; estar acordado	Acordei às seis da manhã.
幸福	a felicidade	O dinheiro não compra felicidade.
性别	o género; o sexo	Por favor, preenche o género na segunda linha do formulário.
性格	o carácter; a personalidade	A minha mulher tem uma personalidade muito boa e nunca perde a calma.
修理	reparar; consertar	Depois da reparação, o meu computador voltou a funcionar normalmente.
许多	muitos; muitas	Há muitos caixotes do lixo na rua.
学期	o semestre; o período escolar	Este semestre escolhi muitas disciplinas, incluindo arte, história e economia.
呀	ah; partícula modal	Ah, está a nevar!
压力	a pressão	Ele tem tido muita pressão no trabalho ultimamente.
牙膏	a pasta de dentes	A pasta de dentes acabou; vamos comprar amanhã.
亚洲	a Ásia; asiático	A China é um país asiático.
严格	rigoroso; estrito	O professor é muito rigoroso connosco.
严重	grave; sério	A doença dele é grave.
盐	o sal	Puseste sal a mais; a comida está um pouco salgada.
研究	a investigação; estudar	Ele está a estudar este problema.
演出	atuar; a atuação	Na primeira atuação, ele estava muito nervoso.
演员	o ator; a atriz	Ele é um ator famoso.
眼镜	os óculos	Ele usa estes óculos pretos.
阳光	a luz do sol; o sol	A luz do sol entrou no quarto pela janela.
养成	formar; criar	Desenvolvi este hábito desde pequeno.
样子	o aspeto; a aparência	Esta peça de roupa tem muito bom aspeto.
邀请	convidar; o convite	Ele recusou o convite de todos.
要是	se	Se chegares primeiro, espera um pouco por mim.
钥匙	a chave	Hoje esqueci-me de trazer a chave.
也许	talvez; se calhar	Talvez ele não venha.
叶子	a folha	Na primavera, as árvores pequenas ganham folhas novas.
页	a página	Por favor, vira para a página dez.
一切	tudo; todas as coisas	A mãe é responsável por tudo em casa.
以	tomar como; segundo	Por favor, toma esta frase como exemplo.
以为	pensar; achar	Pensei que já te tinhas ido embora.
意见	a opinião; a sugestão	Aceito todas as tuas opiniões.
艺术	a arte	Estou muito interessado em arte.
因此	por isso; portanto	Ele estava doente, por isso não veio à aula.
引起	causar; provocar	Este assunto causou a insatisfação de todos.
印象	a impressão	Ele deixou-me uma impressão muito boa.
赢	ganhar	Quem ganhou o jogo de futebol ontem?
应聘	candidatar-se	Ela quer candidatar-se a este emprego.
勇敢	corajoso	O meu irmão mais velho é uma pessoa muito corajosa.
永远	para sempre; nunca	Nunca esquecerei a ajuda que me deste.
优点	a vantagem; o ponto forte	Não se deve comparar os próprios defeitos com as qualidades dos outros.
优秀	excelente; muito bom	Ele é um médico excelente.
幽默	o humor; humorístico	O professor Li fala com muito humor.
尤其	especialmente; sobretudo	Ele gosta de pintar, especialmente pintura chinesa.
由	por; caber a	Este evento será organizado por nós.
由于	devido a; por causa de	Por causa da chuva, o jogo foi adiado.
邮局	os correios	A estação dos correios abre às nove da manhã.
友好	simpático; amigável	O meu senhorio é muito simpático e ajuda-me muitas vezes.
友谊	a amizade	Há uma amizade profunda entre nós.
有趣	interessante; divertido	Isto é mesmo um sonho interessante!
于是	então; por isso	Queria perguntar-lhe uma coisa, por isso telefonei-lhe.
愉快	agradável; feliz	Bom fim de semana!
与	com; e	Ele é muito confiante e gosta de competir com os outros.
羽毛球	o badminton	Costumas jogar badminton?
语法	a gramática	Aprendi alguns conhecimentos básicos de gramática.
语言	a língua; o idioma	Aprender uma língua requer algum entendimento da sua gramática.
预习	preparar a lição	Por favor, preparem bem o texto.
原来	original; antigo	Ainda moro no mesmo sítio de antes.
原谅	perdoar	Por favor, perdoa o que eu disse há pouco.
原因	a razão; a causa	Ele explicou a razão com muita clareza.
约会	o encontro; namorar	Ela começou a sair com o Xiao Li.
阅读	ler; a leitura	Estou a ler este romance.
云	a nuvem	Há cada vez mais nuvens no céu.
允许	permitir; deixar	Por favor, permita-me apresentar-me.
杂志	a revista	Os artigos desta revista estão muito bem escritos.
咱们	nós; a gente	Quanto são as nossas despesas de vida este mês?
暂时	temporariamente; por enquanto	Ele estacionou temporariamente o carro à beira da estrada.
脏	sujo	Sem querer, sujei a roupa.
责任	a responsabilidade	Todos nós temos responsabilidade neste assunto.
增加	aumentar	O número de alunos aumentou este ano.
占线	ocupado; linha ocupada	Liguei várias vezes seguidas e o telefone dele estava sempre ocupado.
招聘	recrutar; o recrutamento	A empresa está a contratar novos empregados.
照	seguir; de acordo com	Segue este plano.
真正	verdadeiro; real	Um verdadeiro amigo ajuda-te quando encontras dificuldades.
整理	arrumar; organizar	Por favor, arruma os livros em cima da mesa.
正常	normal; regular	Depois da reparação, o meu computador voltou a funcionar normalmente.
正好	exatamente; mesmo	O que disseste é exatamente o oposto do que eu entendo.
正确	correto	O teu julgamento está completamente correto.
正式	oficial; formal	Agora a competição começa oficialmente.
证明	provar; a prova	Os factos provam que ele tem razão.
之	de; partícula literária	Isto é uma das partes da cultura chinesa.
支持	apoiar	Nós os dois devemos apoiar-nos um ao outro.
知识	o conhecimento	Ganhei muitos conhecimentos através da leitura.
值得	valer a pena	Este romance vale a pena ler.
植物	a planta	Esta planta precisa de muita luz do sol.
直接	direto; diretamente	Depois do trabalho, ele foi diretamente para casa.
职业	a profissão	Qual é a tua profissão ideal?
只好	ter de; não ter alternativa	A chuva estava tão forte que tivemos de ficar em casa.
只要	desde que; contanto que	Desde que te esforces, conseguirás fazer bem isto.
指	apontar; indicar	Obrigado por apontares o meu erro.
至少	pelo menos	Este edifício tem pelo menos cem metros de altura.
质量	a qualidade	A qualidade destes sapatos é muito boa.
重	pesado; grave	Esta caixa é muito pesada.
重点	o ponto principal; a prioridade	O que ele acabou de dizer é o ponto principal do problema.
重视	valorizar; dar importância	Os pais dão muita importância à educação dos filhos.
周围	em redor; os arredores	Há muitas lojas à volta da escola.
主意	a ideia; o plano	Se tens alguma boa ideia, diz para ouvirmos.
祝贺	felicitar; os parabéns	Parabéns pelos bons resultados.
著名	famoso; conhecido	Ele é um ator famoso.
专门	especialmente; de propósito	Vim de propósito ver-te.
专业	a área de estudos; a especialidade	Estou a estudar Direito na universidade.
转	virar; transferir	Vira à esquerda no primeiro cruzamento à frente e verás o hospital.
赚	ganhar; lucrar	Ele ganhou bastante dinheiro nos negócios.
准确	exato; preciso	A tua resposta está muito precisa.
准时	pontual; a horas	A reunião começou a horas.
仔细	cuidadoso; atento	Ela faz as coisas com muito cuidado.
自然	natural; a natureza	Precisamos de proteger o ambiente natural.
自信	confiante; a autoconfiança	Ele é muito confiante e gosta de competir com os outros.
总结	resumir; o resumo	Por favor, resuma para nós a sua experiência de sucesso.
租	alugar	Aluguei uma casa perto da empresa.
最好	melhor; seria melhor	Ela é a minha melhor amiga.
尊重	respeitar; o respeito	As pessoas honestas merecem o nosso respeito.
左右	cerca de; mais ou menos	Ele parece ter cerca de quarenta anos.
作家	o escritor; a escritora	Já leste os romances deste escritor?
作用	o efeito	Este remédio para a constipação não me faz grande efeito.
作者	o autor; a autora	O autor deste livro é muito famoso.
座	classificador para assentos/edifícios; assento	Há uma pequena ponte sobre o rio.
座位	o lugar; o assento	Ele cedeu o lugar a uma pessoa idosa.
