simplified	RO	example_RO
堆积	a se acumula	Zăpada s-a acumulat pe marginea drumului.
兑现	a-și respecta promisiunea	În cele din urmă, el și-a respectat promisiunea.
对策	o contramăsură	În fața riscurilor, avem nevoie de contramăsuri.
对称	simetric	Partea stângă și partea dreaptă ale acestei clădiri sunt foarte simetrice.
对付	a face față	Această problemă nu este ușor de gestionat.
对抗	a se confrunta	Cele două echipe se vor confrunta în finală.
对立	opus	Pozițiile celor două părți sunt complet opuse.
对联	un cuplet	În timpul Festivalului Primăverii, au lipit cuplete la intrare.
对应	a corespunde	Fiecare număr corespunde unui loc.
对照	a compara	Te rog să compari traducerea cu textul original.
队伍	o coloană	Coloana paradei a înaintat încet.
顿时	imediat	Auzind vestea, el a încremenit imediat.
哆嗦	a tremura	Era atât de frig încât tremura întruna.
多元化	diversificare	Compania promovează diversificarea afacerilor.
堕落	decădere morală	El nu vrea să se lase să continue în decădere morală.
额外	suplimentar	Acest serviciu necesită o taxă suplimentară.
恶心	greață	Când am simțit mirosul acela, mi s-a făcut puțin greață.
恶化	a se agrava	Dacă nu este tratată, boala se poate agrava.
遏制	a limita	Guvernul a luat măsuri pentru a limita poluarea.
恩怨	o ranchiună	Ranchiuna dintre cele două companii durează de mult timp.
而已	atât doar	Am spus-o doar întâmplător, atât doar.
二氧化碳	dioxid de carbon	Plantele absorb dioxid de carbon.
发布	a publica	Compania va publica mâine un produs nou.
发财	a se îmbogăți	El speră să se îmbogățească prin muncă grea.
发呆	a visa cu ochii deschiși	Ea stătea lângă fereastră, visând cu ochii deschiși.
发动	a mobiliza	Voluntarii au mobilizat locuitorii să curețe strada.
发觉	a observa	Am observat că el era astăzi puțin nervos.
发射	a lansa	Racheta va fi lansată seara.
发誓	a jura	El a jurat că nu va mai minți niciodată.
发行	a lansa	Acest film va fi lansat luna viitoare.
发炎	inflamat	Rana este puțin inflamată.
发扬	a duce mai departe	Ar trebui să ducem mai departe spiritul muncii în echipă.
发育	dezvoltare	Dezvoltarea fizică a copiilor are nevoie de nutriție suficientă.
法人	o persoană juridică	Această companie este o persoană juridică independentă.
番	aceste cuvinte	Aceste cuvinte mi-au dat multă inspirație.
凡是	toți cei care	Toți cei care se înscriu trebuie să participe la instruire.
繁华	animat	Această stradă era odinioară foarte animată.
繁忙	aglomerat	Aeroportul este deosebit de aglomerat în timpul sărbătorilor.
繁体字	caractere tradiționale	În Taiwan, oamenii scriu adesea caractere tradiționale.
繁殖	a se reproduce	Acest tip de plantă se reproduce ușor.
反驳	a respinge	El a respins acest punct de vedere cu date.
反常	neobișnuit	Vremea de astăzi este puțin neobișnuită.
反感	a displăcea	Îmi displace foarte mult acest tip de reclamă.
反抗	a se opune	Oamenii au început să se opună conducerii nedrepte.
反馈	feedback	Clienții au transmis feedback că sistemul este foarte stabil.
反面	verso	Te rog să întorci hârtia pe verso.
反射	a reflecta	Oglinda reflectă lumina.
反思	a reflecta	După eșec, el a reflectat serios asupra motivelor.
反问	a răspunde cu o întrebare	El nu a răspuns, ci mi-a răspuns cu o întrebare.
反之	invers	Prețurile prea mari reduc cererea, iar inversul este la fel de adevărat.
泛滥	a se revărsa	Ploaia puternică a făcut râul să se reverse.
范畴	o categorie	Această problemă intră în categoria juridică.
贩卖	a vinde ilegal	Legea interzice vânzarea ilegală de medicamente false.
方位	o direcție	Harta marchează direcția exactă.
方言	un dialect	El poate înțelege dialectul local.
方圆	pe o rază de	Nu există niciun spital pe o rază de zece kilometri.
方针	o politică	Compania a stabilit o nouă politică de dezvoltare.
防守	apărare	Apărarea acestei echipe este foarte stabilă.
防御	apărare	Zidul orașului era folosit odinioară pentru apărare împotriva dușmanilor.
防止	a preveni	Te rog să-ți pui centura de siguranță pentru a preveni rănirea.
防治	prevenire și tratament	Medicul a explicat metode de prevenire și tratament al bolilor.
纺织	textile	Acest oraș este renumit pentru industria textilă.
访问	a vizita	Reporterul îl va vizita mâine pe acest scriitor.
放大	a mări	Te rog să mărești puțin fotografia.
放射	a radia	Acest material radiază căldură.
非法	ilegal	Tranzacțiile ilegale vor fi pedepsite.
飞禽走兽	păsări și animale	În pădure trăiesc tot felul de păsări și animale.
飞翔	a zbura	Pescărușii zboară deasupra mării.
飞跃	un salt	Dezvoltarea tehnologică a realizat un salt uriaș.
肥沃	fertil	Acest pământ este foarte fertil.
诽谤	calomnie	Calomnierea altora implică răspundere legală.
废除	a aboli	Această regulă veche a fost deja abolită.
废寝忘食	a uita de somn și mâncare	El era atât de absorbit de cercetare încât a uitat de somn și mâncare.
废墟	ruine	După cutremur, acel loc a devenit ruine.
沸腾	a fierbe	Apa a fiert deja.
肺	un plămân	Fumatul poate dăuna plămânilor.
分辨	a distinge	Îmi este greu să disting aceste două culori.
分寸	limite potrivite	Chiar și când glumești, trebuie să cunoști limitele potrivite.
分红	dividende	Acționarii pot primi dividende la sfârșitul anului.
分解	a descompune	Profesorul a descompus problema complexă în mai mulți pași.
分裂	a se diviza	Conflictele interne au făcut organizația să se divizeze.
分泌	a secreta	Acest tip de glandă secretă hormoni.
分明	clar	Faptele sunt deja foarte clare.
分歧	o divergență	Cele două părți au divergențe în privința prețului.
分散	a dispersa	Te rog să dispersezi riscul între proiecte diferite.
吩咐	a instrui	Șeful m-a instruit să organizez documentele.
坟墓	un mormânt	Pe coasta dealului se află un mormânt vechi.
粉末	pulbere	Te rog să macini pastilele în pulbere.
粉色	roz	Ea a cumpărat o eșarfă roz.
粉碎	a zdrobi	Poliția a zdrobit această grupare criminală.
分量	greutate	Această propoziție are multă greutate.
愤怒	furie	Tonul lui era plin de furie.
丰满	bogat	Conținutul acestui articol încă nu este suficient de bogat.
丰盛	îmbelșugat	Ei au pregătit o cină îmbelșugată.
丰收	o recoltă bogată	Fermierii au avut anul acesta o recoltă bogată.
封闭	a închide	Acest drum va fi închis în timpul construcției.
封建	feudal	Acest mod de gândire feudal ar fi trebuit să se schimbe demult.
封锁	a izola	Poliția a izolat locul accidentului.
锋利	ascuțit	Acest cuțit este foarte ascuțit.
风暴	o furtună	Pe mare a apărut brusc o furtună.
风度	eleganță	Pe scenă, el a arătat multă eleganță.
风光	peisaj	Peisajul natural de aici este frumos.
风气	o atmosferă	Școala a format o atmosferă bună de învățare.
风趣	umor	El vorbește cu mult umor.
风土人情	obiceiuri locale	Călătoriile te ajută să înțelegi obiceiurile locale.
风味	specific local	Acest magazin are un specific local puternic.
逢	ori de câte ori	Ori de câte ori vine weekendul, parcul este plin de viață.
奉献	a dedica	Medicul a dedicat mult timp pacienților.
否决	a respinge	Consiliul a respins această propunere.
夫妇	un cuplu	Acest cuplu căsătorit administrează un mic magazin.
夫人	o soție	Domnul Wang și soția lui au participat împreună la banchet.
敷衍	superficial	El a dat doar câteva răspunsuri superficiale.
俘虏	un prizonier	După încheierea războiului, prizonierii au fost eliberați.
幅度	o amploare	Amploarea reducerii de preț de data aceasta este mare.
服从	a asculta	Soldații trebuie să asculte ordinele.
服气	a fi convins	El a pierdut meciul, dar nu era convins.
福利	beneficii	Angajații acordă mare importanță beneficiilor companiei.
福气	noroc	Este norocul lui să întâlnească un profesor bun.
符号	un simbol	Acest simbol reprezintă pericolul.
辐射	radiație	Medicul i-a amintit să stea departe de radiații puternice.
俯视	a privi de sus	Din vârful muntelui poți privi de sus întregul oraș.
抚摸	a mângâia	Ea a mângâiat ușor capul copilului.
抚养	a crește	Bunicii au ajutat la creșterea copilului.
腐败	corupție	Guvernul luptă împotriva corupției.
腐烂	a putrezi	Fructele vor putrezi dacă sunt lăsate prea mult timp.
腐蚀	a coroda	Acidul poate coroda suprafața metalică.
腐朽	decăzut	Ei au criticat sistemul decăzut.
辅助	a asista	Acest instrument poate asista predarea.
副	adjunctă	Ea a fost numită manager adjunct.
复活	a reînvia	Acest festival tradițional este reînviat.
复兴	renaștere	Renașterea culturală cere efort pe termen lung.
富裕	înstărit	Acest sat devine din ce în ce mai înstărit.
腹泻	diaree	El are diaree severă și trebuie să meargă la doctor.
覆盖	a acoperi	Zăpada groasă a acoperit întreaga vale.
负担	o povară	Chiria a devenit principala lui povară.
赋予	a acorda	Legea acordă cetățenilor drepturi fundamentale.
附和	a aproba fără discernământ	El nu are o opinie independentă și doar aprobă fără discernământ ce spun alții.
附件	un atașament	Te rog să verifici atașamentul din e-mail.
附属	afiliat	Acest spital este afiliat universității.
改良	a îmbunătăți	Experții îmbunătățesc acest soi de orez.
盖章	a aplica o ștampilă	După semnarea contractului, trebuie aplicată o ștampilă.
钙	calciu	Laptele conține calciu din abundență.
尴尬	jenant	În ședință s-a lăsat o tăcere jenantă.
干旱	secetă	Seceta îndelungată a afectat culturile.
干扰	a deranja	Zgomotul îmi deranjează munca.
干涉	a se amesteca	Părinții nu ar trebui să se amestece prea mult în alegerile copiilor.
干预	a interveni	Guvernul a intervenit la timp în riscul de piață.
感慨	emoție	Văzând fotografiile vechi, el a fost plin de emoție.
感染	a infecta	Acest virus infectează ușor copiii.
干劲	entuziasm	Toată lumea lucrează cu mult entuziasm.
扛	a ridica	Legenda spune că el era destul de puternic ca să ridice un cazan greu.
纲领	un program	Ședința a adoptat un nou program de acțiune.
岗位	un post	Ea s-a adaptat rapid la noul post.
港口	un port	Nava de marfă a acostat în port.
港湾	un golf	Barca mică a intrat în golful liniștit.
杠杆	efect de levier	Această investiție a folosit un efect de levier ridicat.
高超	excelent	Abilitățile lui de reparat mașini sunt excelente.
高潮	un punct culminant	Meciul a ajuns la punctul culminant în ultimele zece minute.
高峰	o oră de vârf	Ora opt dimineața este ora de vârf în trafic.
高明	strălucit	Această metodă este într-adevăr strălucită.
高尚	nobil	Spiritul profesional al medicului este nobil.
高涨	a crește	Entuziasmul publicului a continuat să crească.
稿件	un manuscris	Editorul revizuiește manuscrisul.
告辞	a-și lua rămas-bun	Este deja târziu, așa că ne luăm rămas-bun mai întâi.
告诫	a avertiza	Profesorul i-a avertizat pe elevi să nu copieze.
割	a tăia	El și-a tăiat accidental degetul.
搁	a pune	Te rog să pui documentele pe masă.
歌颂	a lăuda	Acest poem îi laudă pe muncitori.
疙瘩	un nodul	Pe brațul lui a apărut un nodul.
鸽子	un porumbel	În piață sunt mulți porumbei.
格局	o configurație	Configurația acestui apartament este foarte rezonabilă.
格式	un format	Te rog să completezi formularul în formatul cerut.
隔阂	o înstrăinare	Neînțelegerea a adâncit înstrăinarea dintre ei.
隔离	a izola	Pacientul trebuie izolat temporar.
革命	o revoluție	Această revoluție a schimbat destinul țării.
个体	un individ	Fiecare individ are nevoi diferite.
各抒己见	fiecare își exprimă opinia	La ședință, fiecare și-a exprimat propria opinie.
根深蒂固	adânc înrădăcinat	Această idee este deja adânc înrădăcinată.
根源	o cauză fundamentală	Cauzele fundamentale ale sărăciei sunt complexe.
跟前	în fața	Copilul a alergat în fața mamei lui.
跟随	a urma	Reporterul a urmat echipa în zona montană.
跟踪	a urmări	Poliția urmărește mișcările suspectului.
更新	a actualiza	Sistemul se va actualiza automat în această seară.
更正	a corecta	Ziarul a corectat greșeala a doua zi.
耕地	a ara	Fermierii ară câmpurile primăvara.
供不应求	cerere mai mare decât oferta	Acest medicament este momentan cu cerere mai mare decât oferta.
供给	aprovizionare	Un oraș are nevoie de aprovizionare stabilă cu apă și electricitate.
公安局	Biroul de Securitate Publică	El a mers la Biroul de Securitate Publică să raporteze un caz.
公道	corectitudine	Toată lumea speră să primească un tratament corect.
公告	un anunț	Școala a emis un anunț de suspendare a cursurilor.
公关	relații publice	Compania a angajat o echipă profesionistă de relații publice.
公民	un cetățean	Fiecare cetățean ar trebui să respecte legea.
公然	în mod deschis	El a încălcat în mod deschis regulile competiției.
公认	recunoscut	Ea este recunoscută ca o profesoară excelentă.
公式	o formulă	Te rog să scrii această formulă matematică.
公务	treburi oficiale	El a plecat într-o călătorie de trei zile pentru treburi oficiale.
公正	drept	Un judecător trebuie să rămână drept.
公证	notarizare	Acest document are nevoie de notarizare.
功劳	un merit	Toată lumea are merit pentru acest succes.
功效	eficacitate	Eficacitatea acestui medicament încă trebuie verificată.
宫殿	un palat	Turiștii au vizitat palatul antic.
工艺品	un obiect artizanal	Acest obiect artizanal a fost făcut manual.
恭敬	respectuos	El l-a salutat respectuos pe bătrân.
攻击	a ataca	Hackerii au atacat site-ul companiei.
攻克	a depăși	Echipa de cercetare a depășit problema tehnică.
巩固	a consolida	Recapitularea poate consolida ceea ce a fost învățat.
共和国	o republică	Această republică a fost fondată în secolul trecut.
共计	în total	Acest lot de mărfuri are în total trei sute de cutii.
共鸣	rezonanță	Acest cântec a avut rezonanță pentru mulți oameni.
勾结	a complota	Ei au complotat cu persoane din afară ca să obțină fonduri prin fraudă.
钩子	un cârlig	Pe perete atârnă câteva cârlige.
构思	a concepe	Scriitorul concepe un roman nou.
姑且	deocamdată	Deocamdată, să încercăm acest plan timp de o săptămână.
孤独	singuratic	După ce s-a mutat într-un oraș nou, el s-a simțit singuratic.
孤立	izolat	Nu privi această problemă în mod izolat.
辜负	a dezamăgi	Nu vreau să dezamăgesc așteptările părinților mei.
古董	un obiect antic	Bunicul a colecționat câteva obiecte antice.
古怪	ciudat	Ideea lui este puțin ciudată.
股东	un acționar	Adunarea acționarilor va avea loc săptămâna viitoare.
股份	acțiuni	El deține acțiuni în companie.
骨干	coloana vertebrală	Acești ingineri sunt coloana vertebrală a echipei.
鼓动	a instiga	Cineva a instigat mulțimea să protesteze.
固然	desigur	Această metodă este desigur simplă, dar riscul nu este mic.
固体	un solid	Gheața este forma solidă a apei.
固有	intrinsec	Fiecare cultură are trăsăturile ei intrinseci.
固执	încăpățânat	El este prea încăpățânat și refuză să asculte sfaturi.
故乡	oraș natal	După mulți ani, el s-a întors în orașul natal.
故障	o defecțiune	Ascensorul a avut o defecțiune și este temporar scos din uz.
雇佣	a angaja	Compania a decis să angajeze mai mult personal tehnic.
顾虑	o îngrijorare	Poți spune direct orice îngrijorare ai.
顾问	un consultant	Am angajat un consultant juridic.
拐杖	un baston	Bătrânul poartă adesea un baston când iese.
关怀	grijă	Profesorul le-a oferit elevilor multă grijă.
关照	a avea grijă	Te rog să ai grijă de copil pe drum.
官方	oficial	Știrea oficială va fi anunțată mâine.
观光	turism	Turiștii au luat o barcă pentru turism.
管辖	a avea jurisdicție	Această zonă este sub jurisdicția guvernului municipal.
惯例	obicei	Este un obicei să fie prezentați invitații înainte de începerea ședinței.
灌溉	a iriga	Fermierii folosesc apa râului pentru a iriga terenurile agricole.
罐	un borcan	Pe masă este un borcan cu frunze de ceai.
贯彻	a implementa	Compania trebuie să implementeze noile standarde de siguranță.
光彩	strălucire	Această ținută a făcut-o să arate plină de strălucire.
光辉	glorie	Realizările lui au lăsat o pagină glorioasă.
光芒	raze de lumină	Razele soarelui au luminat valea.
光荣	onoare	A sluji țara este o onoare.
广阔	vast	Pajiștea se întinde fără sfârșit și este foarte vastă.
归根到底	în esență	În esență, problema ține de management.
归还	a returna	Te rog să returnezi cărțile la timp.
规范	un standard	Școala a stabilit standarde pentru administrarea laboratorului.
规格	specificații	Specificațiile acestui lot de piese nu sunt uniforme.
规划	planificare	Planificarea urbană trebuie să ia în considerare transportul.
规章	reguli	Angajații trebuie să respecte regulile companiei.
轨道	șine	Trenul se deplasează pe șine.
贵族	nobilime	Această moșie a aparținut odinioară nobilimii.
跪	a îngenunchea	El a îngenuncheat în fața statuii.
棍棒	o bâtă	Poliția a confiscat bâtele de la fața locului.
国防	apărare națională	Construirea apărării naționale cere investiții pe termen lung.
国务院	Consiliul de Stat	Consiliul de Stat a emis o nouă notificare.
果断	hotărât	Liderul a luat o decizie hotărâtă.
过度	excesiv	Folosirea excesivă a telefonului poate afecta somnul.
过渡	tranziție	Compania se află într-o etapă de tranziție a transformării.
过奖	mă flatezi	Mă flatezi; încă trebuie să învăț.
过滤	a filtra	Acest dispozitiv poate filtra impuritățile.
过失	o eroare	Acest accident a fost cauzat de o eroare umană.
过问	a se implica	Managerul se implică rar în aceste chestiuni mărunte.
过瘾	satisfăcător	A urmări acest meci a fost cu adevărat satisfăcător.
过于	prea	Acest plan este prea complicat.
嗨	hei	Hei, de ce ai venit și tu?
海拔	altitudine	Acest sat se află la o altitudine mare.
海滨	litoral	Ei au petrecut weekendul la litoral.
含糊	vag	Răspunsul lui a fost foarte vag.
含义	un sens	Acest cuvânt are un sens special.
寒暄	a schimba saluturi	După ce s-au întâlnit, au schimbat mai întâi câteva saluturi.
罕见	rar	Această boală este foarte rară.
捍卫	a apăra	Avocatul a lucrat pentru a apăra drepturile clientului.
航空	aviație	Compania aeriană a anulat zborul.
航天	astronautică	Programul spațial al Chinei se dezvoltă rapid.
航行	a naviga	Nava navighează pe mare.
行列	rânduri	Ea s-a alăturat rândurilor voluntarilor.
毫米	un milimetru	Această bucată de sticlă are grosimea de cinci milimetri.
毫无	fără niciun	Explicația lui nu are absolut niciun temei.
豪迈	viguros	Cântecul lui a fost viguros și puternic.
号召	a chema	Guvernul a chemat pe toată lumea să economisească apă.
耗费	a consuma	Acest proiect a consumat o sumă mare de fonduri.
呵	a striga	Tatăl a strigat o dată, iar copilul s-a oprit imediat.
合并	a fuziona	Cele două companii intenționează să fuzioneze anul viitor.
合成	a sintetiza	Acest material poate fi sintetizat artificial.
合伙	în parteneriat	Ei au deschis un restaurant în parteneriat.
合算	avantajos	A lua autobuzul este mai avantajos decât a lua taxiul.
和蔼	amabil	Acest medic vorbește foarte amabil.
和解	o împăcare	Cele două părți au ajuns în cele din urmă la o împăcare.
和睦	armonios	Vecinii se înțeleg armonios.
和气	prietenos	Șeful îi tratează pe oameni într-un mod prietenos.
和谐	armonios	Muzica a făcut atmosfera mai armonioasă.
嘿	hei	Hei, ai auzit asta?
痕迹	o urmă	Pe pământ au rămas urme de roți.
狠心	crud	El a refuzat cu cruzime cererea prietenului.
恨不得	a dori din tot sufletul	Îmi doresc din tot sufletul să merg acasă și să mă odihnesc imediat.
哼	a mormăi	El a mormăit nemulțumit.
横	orizontal	Te rog să trasezi o linie orizontală pe hârtie.
哄	a izbucni în râs	Toată lumea a izbucnit în râs.
烘	a coace	Pâinea se coace în cuptor.
轰动	o senzație	Această știre a produs o senzație în toată țara.
宏观	macro	Trebuie să analizăm economia dintr-o perspectivă macro.
宏伟	măreț	Designul acestui pod este foarte măreț.
洪水	o inundație	Inundația a distrus câteva poduri.
喉咙	gât	El a vorbit prea mult, iar gâtul îl doare puțin.
吼	a răcni	El a răcnit tare spre depărtare.
候选	candidat	Ea este reprezentantă candidată anul acesta.
后代	generații viitoare	Trebuie să protejăm mediul pentru generațiile viitoare.
后顾之忧	griji pentru viitor	Un venit stabil l-a lăsat fără griji pentru viitor.
后勤	logistică	Departamentul de logistică este responsabil pentru aprovizionarea cu materiale.
呼唤	a striga	Mama a strigat copilul de la intrare.
呼啸	a vui	Vântul rece vuia afară, la fereastră.
呼吁	a face apel	Experții au făcut apel la toți să reducă risipa.
忽略	a trece cu vederea	Te rog să nu treci cu vederea acest detaliu.
湖泊	un lac	Această zonă are multe lacuri naturale.
胡乱	la întâmplare	Nu pune lucrurile la întâmplare pe jos.
胡须	barbă	Barba lui a albit deja.
花瓣	o petală	După ploaie, petalele au căzut peste tot pe jos.
花蕾	un boboc	Primăvara, pe ramuri cresc boboci de flori.
华丽	superb	Costumele de pe scenă erau superbe.
华侨	chinezi de peste hotare	Mulți chinezi de peste hotare s-au întors acasă pentru a investi.
划分	a împărți	Profesorul i-a împărțit pe elevi în patru grupuri.
化肥	îngrășământ chimic	Fermierii au aplicat îngrășământ chimic pe culturi.
化石	o fosilă	Muzeul a expus fosile de dinozaur.
化验	o analiză	Medicul i-a cerut să facă o analiză de sânge.
化妆	a se machia	Ea se machia înainte de a urca pe scenă.
画蛇添足	a exagera	A adăuga mai multe explicații ar fi o exagerare inutilă.
话筒	un microfon	Prezentatorul i-a întins microfonul publicului.
欢乐	bucurie	Piața festivalului era plină de bucurie.
环节	o etapă	Fiecare etapă a instruirii este importantă.
还原	a restaura	Te rog să restaurezi setările la starea implicită.
缓和	a se detensiona	Relațiile dintre cele două părți s-au detensionat treptat.
患者	un pacient	Medicul întreabă despre starea pacientului.
荒凉	pustiu	Acest teren pare foarte pustiu.
荒谬	absurd	Această explicație sună absurd.
荒唐	ridicol	Decizia lui a fost prea ridicolă.
皇帝	un împărat	Împăratul locuia într-un palat grandios.
皇后	o împărăteasă	Împărăteasa a participat la celebrare.
黄昏	amurg	La amurg, s-au aprins luminile stradale.
恍然大悟	a înțelege brusc	După ce a auzit explicația, el a înțeles brusc.
晃	a dispărea ca prin ceață	Ca prin ceață, el a dispărut din vedere.
挥霍	a risipi	El nu ar trebui să risipească banii părinților.
辉煌	glorios	Acest oraș are o istorie glorioasă.
回报	o răsplată	Munca grea va aduce în cele din urmă răsplată.
回避	a evita	El a continuat să evite această problemă.
回顾	a trece în revistă	La final, ședința a trecut în revistă munca din anul respectiv.
回收	a recicla	Comunitatea rezidențială a început să recicleze baterii vechi.
悔恨	remușcare	El a simțit remușcare pentru greșelile din trecut.
毁灭	a distruge	Războiul aproape a distrus acest oraș.
会晤	a se întâlni	Liderii celor două țări se vor întâlni mâine.
汇报	a raporta	El a raportat progresul managerului.
贿赂	mită	Funcționarul a fost investigat pentru mită.
昏迷	comă	Pacientul este încă în comă.
荤	carne	Acest fel conține carne și nu este potrivit pentru vegetarieni.
浑身	din cap până-n picioare	După alergare, era acoperit de transpirație din cap până-n picioare.
混合	a amesteca	Te rog să amesteci cele două materiale uniform.
混乱	haotic	Scena a fost pentru o vreme foarte haotică.
混淆	a confunda	Nu confunda aceste două concepte.
混浊	tulbure	După ploaie, apa râului a devenit tulbure.
活该	meritat	El a ignorat sfaturile, așa că a meritat să eșueze.
活力	vitalitate	Acest oraș este plin de vitalitate.
火箭	o rachetă	Racheta a intrat cu succes pe orbita planificată.
火焰	flacără	Vântul a făcut flăcările să se ridice mai sus.
火药	praf de pușcă	Praful de pușcă a schimbat războaiele din antichitate.
货币	monedă	Politica monetară influențează dezvoltarea economică.
基地	o bază	Acesta a fost odinioară o bază importantă de instruire.
基金	un fond	Școala a înființat un fond de burse.
基因	o genă	Oamenii de știință studiază această genă.
机动	mobilitate	Această echipă menține o mobilitate ridicată.
机构	o instituție	Această instituție este responsabilă de inspecția calității.
机灵	isteț	Acest copil este foarte isteț.
机密	confidențial	Aceste materiale sunt confidențiale.
机械	utilaje	Fabrica a introdus utilaje noi.
机遇	o oportunitate	Tinerii ar trebui să profite de oportunități.
机智	ager	Răspunsul lui a fost foarte ager.
激发	a stimula	Profesorul a stimulat interesul elevilor.
激励	a încuraja	Acest succes a încurajat întreaga echipă.
激情	pasiune	El era plin de pasiune în timp ce vorbea.
讥笑	a lua în râs	Nu lua în râs greșelile altora.
饥饿	foame	Foamea pe termen lung poate afecta sănătatea.
即便	chiar dacă	Chiar dacă plouă, vom porni la timp.
即将	pe punctul de	Ședința este pe punctul de a începe.
及早	cât mai devreme	Problemele ar trebui gestionate cât mai devreme.
吉祥	noroc	Roșul simbolizează adesea norocul în China.
嫉妒	a invidia	El nu ar trebui să invidieze succesul colegului.
急功近利	a urmări câștiguri rapide	Cercetarea nu ar trebui făcută urmărind câștiguri rapide.
急剧	brusc	Vânzările au scăzut brusc.
急切	nerăbdător	Ea a așteptat nerăbdătoare vești.
急于求成	a se grăbi să obțină rezultate	Nu te poți grăbi să obții rezultate când înveți o limbă.
急躁	nerăbdător	Nu deveni nerăbdător când întâmpini dificultăți.
极端	extrem	Acest tip de vreme extremă devine tot mai comun.
极限	o limită	Acest antrenament i-a testat limitele.
疾病	o boală	Obiceiurile bune pot preveni boala.
籍贯	loc de origine	Formularul cere completarea locului de origine.
级别	un nivel	Această competiție este împărțită în trei niveluri.
集团	un grup	Acest grup are sucursale peste hotare.
给予	a oferi	Școala oferă asistență elevilor săraci.
季军	locul al treilea	El a câștigat locul al treilea în competiție.
季度	un trimestru	Compania publică rapoarte financiare în fiecare trimestru.
寂静	liniștit	Valea este deosebit de liniștită noaptea.
寄托	a-și pune speranțele	Ea și-a pus speranțele în copilul ei.
忌讳	un tabu	Localnicii consideră un tabu să discute asta la masă.
技巧	o tehnică	Stăpânirea tehnicilor poate îmbunătăți eficiența.
纪要	proces-verbal	Secretarul a organizat procesul-verbal al ședinței.
继承	a moșteni	El a moștenit cariera tatălui său.
计较	a se certa	Nu te certa pentru o chestiune atât de mică.
记性	memorie	El are o memorie foarte bună.
记载	a consemna	Cărțile de istorie au consemnat acest război.
迹象	un semn	În prezent nu există semne de îmbunătățire.
佳肴	bucate alese	Masa era plină de bucate alese.
加工	a prelucra	Aceste materii prime trebuie prelucrate în continuare.
加剧	a se intensifica	Conflictul se intensifică.
夹杂	a se amesteca	Sunetul ploii se amesteca cu tunetul.
家常	de casă	Îmi place să mănânc mâncăruri de casă.
家伙	tip	Tipul acela întârzie mereu.
家属	rude	Medicul a anunțat rudele pacientului.
家喻户晓	cunoscut de toată lumea	Această poveste este cunoscută de toată lumea.
坚定	ferm	Atitudinea ei este foarte fermă.
坚固	solid	Acest pod este foarte solid.
坚韧	rezistent	El are un caracter rezistent.
坚实	solid	Această cercetare are o bază solidă.
坚硬	dur	Această piatră este foarte dură.
尖端	de vârf	Compania investește în tehnologie de vârf.
尖锐	ascuțit	Această problemă este foarte ascuțită.
煎	a prăji	Bucătarul prăjește peștele.
监督	supraveghere	Supravegherea publică ajută la îmbunătățirea muncii.
监视	a monitoriza	Poliția monitorizează suspectul.
监狱	o închisoare	El își ispășește pedeapsa în închisoare.
艰难	dificil	Etapa timpurie a începerii unei afaceri este foarte dificilă.
剪彩	a tăia panglica	Primarul a tăiat panglica pentru noua bibliotecă.
拣	a alege	Ea a ales câteva mere din coș.
检讨	a-și analiza greșelile	El și-a analizat serios propriile greșeli.
检验	a testa	Experimentele pot testa această ipoteză.
简化	a simplifica	Te rog să simplifici și mai mult procesul.
简陋	simplu și rudimentar	Ei locuiau într-o colibă simplă și rudimentară.
简体字	caractere simplificate	Acest manual folosește caractere chinezești simplificate.
简要	pe scurt	Te rog să-ți explici pe scurt punctul de vedere.
健全	a îmbunătăți	Compania trebuie să-și îmbunătățească sistemul de management.
剑	o sabie	Pe perete atârnă o sabie veche.
溅	a stropi	Apa de ploaie i-a stropit pantalonii.
舰艇	navă militară	Câteva nave militare au participat la exercițiu.
见多识广	experimentat și cunoscător	Acest bătrân este experimentat și cunoscător.
见解	o perspectivă	El are perspective unice asupra acestei probleme.
见闻	cunoștințe și experiențe	Călătoriile i-au lărgit cunoștințele și experiențele.
见义勇为	a acționa curajos pentru dreptate	El a fost lăudat pentru că a acționat curajos pentru dreptate.
践踏	a călca în picioare	Nu călca în picioare gazonul.
鉴别	a identifica	Experții pot identifica dacă această pictură este autentică.
鉴定	a examina	Poliția examinează amprentele.
鉴于	având în vedere	Având în vedere vremea rea, evenimentul a fost amânat.
间谍	un spion	Acest film spune povestea unui spion.
间隔	un interval	Cele două ședințe sunt la un interval de o săptămână.
间接	indirect	Această politică va avea un impact indirect.
僵硬	înțepenit	Zâmbetul lui părea înțepenit.
将军	un general	Generalul a emis un ordin.
将近	aproape	Acest proiect a durat aproape doi ani.
将就	a se descurca	Condițiile sunt slabe, așa că nu putem decât să ne descurcăm.
奖励	a recompensa	Școala i-a recompensat pe elevii remarcabili.
奖赏	o recompensă	Regele i-a oferit războinicului o recompensă generoasă.
桨	o vâslă	Barcagiul a folosit o vâslă ca să ducă barca spre mal.
降临	a se lăsa	Noaptea s-a lăsat treptat peste oraș.
交叉	a se intersecta	Cele două drumuri se intersectează aici.
交代	a explica	Te rog să explici clar sarcina.
交涉	a negocia	Cele două părți negociază despăgubirea.
交易	o tranzacție	Această tranzacție a fost deja finalizată.
娇气	pretențios	Nu fi prea pretențios; vremea nu este rece.
