simplified	BN	example_BN
赶紧	তাড়াতাড়ি করা	সময় হয়ে গেছে, তাড়াতাড়ি চলো।
赶快	দ্রুত; তাড়াতাড়ি	দ্রুত দরজাটি বন্ধ করো।
干活儿	কাজ করা; হাতের কাজ করা	সে উঠোনে কাজ করছে।
钢铁	ইস্পাত	এই সেতুটি ইস্পাত দিয়ে তৈরি।
高档	উচ্চমানের	এটি একটি উচ্চমানের হোটেল।
高级	উন্নত স্তরের; উচ্চস্তরের	সে উন্নত স্তরের চীনা ক্লাসে যোগ দিয়েছে।
搞	করা; আয়োজন করা	তুমি কী ধরনের কার্যক্রম আয়োজন করছ?
告别	বিদায় জানানো	আমরা বিমানবন্দরে বন্ধুকে বিদায় জানিয়েছি।
格外	বিশেষভাবে; খুব	আজ আকাশ বিশেষভাবে নীল।
隔壁	পাশের ঘর; পাশের বাড়ি	পাশের বাড়িতে একজন শিক্ষক থাকেন।
个别	কিছু নির্দিষ্ট; অল্প কিছু	কিছু শিক্ষার্থী এখনো বাড়ির কাজ জমা দেয়নি।
个人	ব্যক্তিগত; ব্যক্তি	এটি আমার ব্যক্তিগত মত।
个性	ব্যক্তিত্ব	তার ব্যক্তিত্ব খুব স্পষ্ট।
各自	নিজ নিজ; প্রত্যেকে	সবাই নিজ নিজ কাজ শেষ করে।
根	লম্বা সরু জিনিসের গণনাবাচক শব্দ; শিকড়	টেবিলের নিচে একটি তার আছে।
根本	মূলত; একেবারেই	এই সমস্যাটি একেবারেই কঠিন নয়।
公布	ঘোষণা করা	স্কুল পরীক্ষার ফল ঘোষণা করেছে।
公开	উন্মুক্ত; প্রকাশ্য	এই সভাটি উন্মুক্ত।
公平	ন্যায্য	প্রতিযোগিতা ন্যায্য হওয়া উচিত।
公寓	অ্যাপার্টমেন্ট	সে একটি ছোট অ্যাপার্টমেন্ট ভাড়া নিয়েছে।
公元	খ্রিস্টাব্দ	এ বছর খ্রিস্টাব্দ দুই হাজার ছাব্বিশ।
公主	রাজকন্যা	ছোট মেয়েটি রাজকন্যার গল্প পছন্দ করে।
功能	কার্যকারিতা; ফাংশন	এই সফটওয়্যারের অনেক ফাংশন আছে।
工厂	কারখানা	এই কারখানা গাড়ি তৈরি করে।
工程师	প্রকৌশলী	আমার বড় ভাই একজন প্রকৌশলী।
工具	সরঞ্জাম	সাইকেল মেরামত করতে সরঞ্জাম দরকার।
工人	শ্রমিক	শ্রমিকরা রাস্তা মেরামত করছে।
工业	শিল্প	এই শহর মূলত শিল্পনির্ভর।
恭喜	অভিনন্দন	পরীক্ষায় পাস করার জন্য তোমাকে অভিনন্দন।
贡献	অবদান রাখা	সে কোম্পানিতে অবদান রেখেছে।
沟通	যোগাযোগ করা	ভালো যোগাযোগ খুব গুরুত্বপূর্ণ।
构成	গঠন করা	এই অংশগুলো মিলে একটি সমগ্র গঠন করে।
姑姑	পিতার বোন; ফুফু	আমি সপ্তাহান্তে ফুফুকে দেখতে যাব।
姑娘	মেয়ে; তরুণী	ওই মেয়েটি খুব আন্তরিক।
古代	প্রাচীনকাল	প্রাচীনকালে মোবাইল ফোন ছিল না।
古典	ধ্রুপদি	আমি ধ্রুপদি সঙ্গীত পছন্দ করি।
股票	শেয়ার	সে কিছু শেয়ার কিনেছে।
骨头	হাড়	এই হাড়টি খুব শক্ত।
鼓舞	উৎসাহিত করা	এই খবরটি খুব উৎসাহব্যঞ্জক।
鼓掌	তালি দেওয়া	দর্শকরা অভিনেতাদের জন্য তালি দিয়েছে।
固定	নির্দিষ্ট; স্থির	আমার কাজের সময় নির্দিষ্ট।
挂号	নিবন্ধন করা; ডাক্তার দেখানোর নাম লেখানো	ডাক্তার দেখানোর আগে আগে নাম লেখাতে হয়।
乖	ভদ্র; বাধ্য	এই শিশুটি খুব ভদ্র।
拐弯	মোড় নেওয়া	সামনের মোড়ে ডানদিকে ঘুরুন।
怪不得	তাই তো; আশ্চর্য নয়	তাই তো তুমি এত ক্লান্ত।
关闭	বন্ধ করা	বেরোনোর আগে দয়া করে কম্পিউটার বন্ধ করুন।
官	কর্মকর্তা	সে একজন তরুণ কর্মকর্তা।
观察	পর্যবেক্ষণ করা	ডাক্তার রোগীর অবস্থা পর্যবেক্ষণ করছেন।
观点	দৃষ্টিভঙ্গি; মতামত	আমি তোমার মতামতের সঙ্গে একমত।
观念	ধারণা; ভাবনা	তরুণদের ধারণা বদলাচ্ছে।
管子	পাইপ; নল	এই পাইপ থেকে পানি পড়ছে।
冠军	চ্যাম্পিয়ন	সে প্রতিযোগিতায় চ্যাম্পিয়ন হয়েছে।
光滑	মসৃণ	এই টেবিলের পৃষ্ঠ খুব মসৃণ।
光临	আগমন; আসা	পরের বার আবার আসবেন, আপনাকে স্বাগতম।
光明	উজ্জ্বল; আলোকময়	ভবিষ্যৎ উজ্জ্বল।
光盘	ডিস্ক; সিডি	দয়া করে উপকরণগুলো ডিস্কে সংরক্ষণ করুন।
广场	চত্বর	চত্বরে অনেক মানুষ আছে।
广大	বিস্তৃত; বিপুল	এই খবর বিপুল সংখ্যক শিক্ষার্থীর কাছে স্বাগত হয়েছে।
广泛	ব্যাপক; বিস্তৃত	এই বইয়ের প্রভাব ব্যাপক।
归纳	সারসংক্ষেপ করা; গুছিয়ে বলা	শিক্ষক আমাদের মূল বিষয়গুলো গুছিয়ে বলতে সাহায্য করেছেন।
规矩	নিয়ম; আচরণবিধি	শিশুদের নিয়ম জানা উচিত।
规律	নিয়মিত ছন্দ; নিয়ম	জীবনে নিয়মিত ছন্দ থাকা দরকার।
规模	পরিসর; আকার	এই কোম্পানির আকার খুব বড়।
规则	নিয়ম	প্রতিযোগিতার নিয়ম খুব পরিষ্কার।
柜台	কাউন্টার	দয়া করে কাউন্টারে গিয়ে টাকা দিন।
滚	ফুটতে থাকা; গড়ানো	পানি ইতিমধ্যে ফুটছে।
锅	হাঁড়ি; পাত্র	হাঁড়িতে গরম স্যুপ আছে।
国庆节	জাতীয় দিবস	জাতীয় দিবসে আমাদের ছুটি।
国王	রাজা	রাজা প্রাসাদে থাকেন।
果然	যেমন আশা করা হয়েছিল; সত্যিই	সে সত্যিই সময়মতো পৌঁছেছে।
果实	ফল; ফলাফল	গাছে ফল ভরে গেছে।
过分	অতিরিক্ত; বাড়াবাড়ি	তার দাবি একটু বাড়াবাড়ি।
过敏	অ্যালার্জি হওয়া	আমার পরাগে অ্যালার্জি আছে।
过期	মেয়াদ শেষ হওয়া	এই দুধের বোতলের মেয়াদ শেষ হয়ে গেছে।
哈	হা	হা, আমি অবশেষে বুঝেছি।
海关	শুল্ক দপ্তর; কাস্টমস	আমরা কাস্টমসে পরীক্ষার জন্য লাইনে দাঁড়িয়েছিলাম।
海鲜	সামুদ্রিক খাবার	এই রেস্তোরাঁর সামুদ্রিক খাবার খুব তাজা।
喊	চিৎকার করা; ডাকা	ক্লাসরুমে জোরে চিৎকার করো না।
行业	শিল্পখাত; পেশাক্ষেত্র	পর্যটন খাত দ্রুত উন্নত হচ্ছে।
豪华	বিলাসবহুল	তারা একটি বিলাসবহুল হোটেলে থাকছে।
好客	অতিথিপরায়ণ	স্থানীয় মানুষ খুব অতিথিপরায়ণ।
好奇	কৌতূহলী	শিশুরা পৃথিবী সম্পর্কে খুব কৌতূহলী।
何必	কেন দরকার	ছোট ব্যাপারে রাগ করার দরকার কী?
何况	তার ওপর; আরও	আজ ঠান্ডা, তার ওপর বৃষ্টি হচ্ছে।
合法	আইনসম্মত; বৈধ	এই চুক্তিটি বৈধ।
合理	যুক্তিসংগত; ন্যায্য	এই দাম যুক্তিসংগত।
合同	চুক্তি	তারা একটি চুক্তিতে স্বাক্ষর করেছে।
合影	দলগত ছবি	স্নাতক হওয়ার সময় আমরা দলগত ছবি তুলেছিলাম।
合作	সহযোগিতা করা	আমরা সহযোগিতার মাধ্যমে প্রকল্পটি শেষ করেছি।
和平	শান্তি	প্রতিটি মানুষ শান্তি চায়।
核心	মূল; কেন্দ্র	বিশ্বাস সহযোগিতার মূল।
恨	ঘৃণা করা; আফসোস করা	সে আগে পরিশ্রম না করার জন্য আফসোস করে।
猴子	বানর	চিড়িয়াখানায় কয়েকটি বানর আছে।
后背	পিঠ	তার পিঠে একটু ব্যথা।
后果	পরিণতি	তোমাকে পরিণতি বিবেচনা করতে হবে।
呼吸	শ্বাস নেওয়া	দয়া করে গভীর শ্বাস নিন।
忽然	হঠাৎ	আকাশ হঠাৎ অন্ধকার হয়ে গেল।
忽视	উপেক্ষা করা	এই সমস্যাটি উপেক্ষা করবেন না।
壶	কেতলি; পাত্র	টেবিলে এক পাত্র চা আছে।
糊涂	বিভ্রান্ত; গুলিয়ে ফেলা	আজ আমি একটু বিভ্রান্ত।
胡说	আজেবাজে কথা বলা	আজেবাজে কথা বলো না, এটি সত্য নয়।
胡同	গলি	বেইজিংয়ে অনেক পুরোনো গলি আছে।
蝴蝶	প্রজাপতি	বাগানে একটি প্রজাপতি আছে।
花生	চিনাবাদাম	সে চিনাবাদাম খেতে পছন্দ করে।
华裔	চীনা বংশোদ্ভূত	তিনি একজন চীনা বংশোদ্ভূত লেখক।
滑	পিচ্ছিল; মসৃণ	মেঝে পিচ্ছিল, সাবধানে চলুন।
划	বৈঠা চালানো	নৌকায় সে বৈঠা চালানোর দায়িত্বে ছিল।
化学	রসায়ন	সে বিশ্ববিদ্যালয়ে রসায়ন পড়েছে।
话题	বিষয়; আলোচনার বিষয়	এই বিষয়টি খুব আকর্ষণীয়।
怀念	মনে পড়া; স্মরণ করা	বিশ্ববিদ্যালয় জীবনের কথা আমার খুব মনে পড়ে।
怀孕	গর্ভবতী হওয়া	সে তিন মাসের গর্ভবতী।
缓解	উপশম করা; কমানো	বিশ্রাম চাপ কমাতে পারে।
幻想	কল্পনা; দিবাস্বপ্ন	সে প্রায়ই মহাকাশ ভ্রমণের কল্পনা করে।
慌张	ঘাবড়ে যাওয়া	সমস্যা হলে ঘাবড়ে যেও না।
黄金	সোনা	সোনার দাম আবার বেড়েছে।
恢复	সেরে ওঠা; পুনরুদ্ধার করা	তার শরীর সেরে উঠছে।
挥	হাত নাড়া	সে হাত নাড়ল।
灰	ধূসর; ছাই	আকাশ ধূসর।
灰尘	ধুলো	টেবিলের ওপর অনেক ধুলো আছে।
灰心	হতাশ হওয়া	ব্যর্থ হলেও হতাশ হয়ো না।
汇率	বিনিময় হার	আজকের বিনিময় হার কত?
婚礼	বিয়ে; বিবাহ অনুষ্ঠান	তাদের বিয়ে খুব সাধারণ ছিল।
婚姻	বিবাহ; দাম্পত্য	বিবাহে পারস্পরিক বোঝাপড়া দরকার।
活跃	সক্রিয়	সে ক্লাসে খুব সক্রিয়।
伙伴	সঙ্গী; অংশীদার	সে আমার সবচেয়ে ভালো সঙ্গী।
火柴	দেশলাই	বাক্সে শুধু একটি দেশলাই কাঠি বাকি আছে।
或许	হয়তো	হয়তো কাল বৃষ্টি হবে।
基本	মৌলিক; প্রাথমিক	এগুলো মৌলিক চাহিদা।
机器	মেশিন; যন্ত্র	এই মেশিনটি নষ্ট।
激烈	তীব্র	প্রতিযোগিতা খুব তীব্র ছিল।
肌肉	পেশি	ব্যায়ামের পরে পেশিতে একটু ব্যথা।
及格	পাস করা	এই পরীক্ষায় সে পাস করেছে।
急忙	তাড়াহুড়ো করে	সে তাড়াহুড়ো করে ক্লাসরুম থেকে বেরিয়ে গেল।
急诊	জরুরি বিভাগ	রোগীকে জরুরি বিভাগে পাঠানো হয়েছে।
极其	অত্যন্ত	এই বিষয়টি অত্যন্ত গুরুত্বপূর্ণ।
集合	জড়ো হওয়া	দয়া করে সবাই আটটায় দরজার সামনে জড়ো হোন।
集体	দলগত; সমষ্টিগত	এটি একটি দলগত কার্যক্রম।
集中	মনোযোগ কেন্দ্রীভূত করা	ক্লাসে মনোযোগ কেন্দ্রীভূত করতে হবে।
寂寞	একাকী	একা থাকলে কখনও কখনও একাকী লাগে।
系领带	টাই বাঁধা	সে প্রতিদিন কাজে যাওয়ার আগে টাই বাঁধে।
纪录	রেকর্ড	সে স্কুলের রেকর্ড ভেঙেছে।
纪律	শৃঙ্খলা	ক্লাসরুমের শৃঙ্খলা খুব গুরুত্বপূর্ণ।
纪念	স্মরণ করা; স্মৃতি হিসেবে রাখা	আমরা এই দিনটি স্মরণে ছবি তুলেছি।
计算	হিসাব করা	দয়া করে মোট খরচ হিসাব করুন।
记录	লিপিবদ্ধ করা; রেকর্ড করা	দয়া করে সভার বিষয়বস্তু লিপিবদ্ধ করুন।
记忆	স্মৃতি	এই স্মৃতিটি খুব মূল্যবান।
嘉宾	সম্মানিত অতিথি	আজকের সম্মানিত অতিথি একজন লেখক।
夹子	ক্লিপ	দয়া করে ক্লিপ দিয়ে নথিগুলো আটকে দিন।
家庭	পরিবার	পরিবার শিশুদের জন্য খুব গুরুত্বপূর্ণ।
家务	গৃহকর্ম	সপ্তাহান্তে আমাকে গৃহকর্ম করতে হবে।
家乡	জন্মস্থান; নিজের শহর	নিজের শহরের কথা আমার খুব মনে পড়ে।
假如	যদি	যদি কাল বৃষ্টি হয়, আমরা যাব না।
假设	ধরা যাক; অনুমান	ধরা যাক তুমি শিক্ষক, তুমি কী করবে?
假装	ভান করা	সে না শোনার ভান করল।
甲	প্রথম পক্ষ; পক্ষ ক	চুক্তিতে পক্ষ ক-কে সময়মতো টাকা দিতে হবে।
价值	মূল্য	এই বইটির অনেক মূল্য আছে।
嫁	বিয়ে করা	সে আগামী বছর প্রেমিককে বিয়ে করবে।
驾驶	চালানো	গাড়ি চালানোর সময় সাবধানে চালাও।
兼职	খণ্ডকালীন কাজ	সে রাতে খণ্ডকালীন কাজ করে।
坚决	দৃঢ়; অনড়	সে এই সিদ্ধান্তের সঙ্গে দৃঢ়ভাবে একমত নয়।
坚强	দৃঢ়; শক্ত	সে একজন শক্ত মনের মানুষ।
肩膀	কাঁধ	তার কাঁধে আঘাত লেগেছে।
艰巨	কঠিন; দুরূহ	এটি একটি কঠিন কাজ।
艰苦	কষ্টকর; কঠিন	তারা কষ্টকর জীবন কাটিয়েছে।
剪刀	কাঁচি	দয়া করে কাঁচিটি আমাকে দিন।
捡	কুড়িয়ে নেওয়া	সে মাটি থেকে মানিব্যাগটি কুড়িয়ে নিল।
简历	জীবনবৃত্তান্ত	চাকরির আবেদন করার আগে জীবনবৃত্তান্ত প্রস্তুত করতে হয়।
简直	একেবারে; সত্যিই	এই খবরটি সত্যিই আশ্চর্যজনক।
健身	ব্যায়াম করা; ফিট থাকা	সে সপ্তাহে তিনবার ব্যায়াম করতে যায়।
建立	প্রতিষ্ঠা করা; গড়ে তোলা	আমরা নতুন সম্পর্ক গড়ে তুলেছি।
建设	নির্মাণ; গড়ে তোলা	শহরের নির্মাণ দ্রুত এগোচ্ছে।
建筑	ভবন; স্থাপত্য	এই ভবনের বৈশিষ্ট্য আছে।
键盘	কীবোর্ড	আমার কীবোর্ড পরিষ্কার করা দরকার।
讲究	বিশেষ গুরুত্ব দেওয়া; রুচিসম্মত	চীনারা খাবারের ব্যাপারে অনেক গুরুত্ব দেয়।
讲座	বক্তৃতা; লেকচার	আজ রাতে একটি চীনা ভাষার বক্তৃতা আছে।
酱油	সয়াসস	তরকারিতে একটু সয়াসস দিন।
交换	বিনিময় করা	আমরা ফোন নম্বর বিনিময় করেছি।
交际	সামাজিক যোগাযোগ	ভাষা শিখতে হলে সামাজিক যোগাযোগও অনুশীলন করতে হয়।
交往	মেলামেশা করা; সম্পর্ক রাখা	তারা দুই বছর ধরে সম্পর্কে আছে।
浇	পানি দেওয়া	দয়া করে প্রতিদিন ফুলে পানি দাও।
胶水	আঠা	আমি আঠা দিয়ে ছবিটি লাগিয়েছি।
狡猾	চতুর; ধূর্ত	ওই শিয়ালটি খুব ধূর্ত।
角度	কোণ; দৃষ্টিকোণ	চলো সমস্যাটি অন্য দৃষ্টিকোণ থেকে দেখি।
教材	পাঠ্যসামগ্রী; পাঠ্যবই	এই পাঠ্যবইটি খুব ব্যবহারিক।
教练	প্রশিক্ষক; কোচ	কোচ আমাদের সময়মতো পৌঁছাতে বলেছেন।
教训	শিক্ষা; শিক্ষা পাওয়া	এই ব্যর্থতা একটি শিক্ষা।
接触	স্পর্শ; সংস্পর্শ	চীনা সংস্কৃতির সঙ্গে এটি আমার প্রথম সংস্পর্শ।
接待	অভ্যর্থনা করা	কোম্পানি অতিথিদের অভ্যর্থনার জন্য একজনকে নিয়োগ করেছে।
接近	কাছাকাছি আসা	বসন্ত উৎসব ক্রমেই কাছে আসছে।
结实	মজবুত	এই স্যুটকেসটি খুব মজবুত।
阶段	পর্যায়	পড়াশোনা তিনটি পর্যায়ে ভাগ করা হয়েছে।
结构	গঠন	এই প্রবন্ধের গঠন পরিষ্কার।
结合	একত্র করা; মিলিয়ে নেওয়া	পড়াশোনাকে অনুশীলনের সঙ্গে মিলিয়ে নিতে হয়।
结论	উপসংহার	তার উপসংহার খুব বিশ্বাসযোগ্য।
结账	বিল মেটানো	খাওয়া শেষ করে আমরা বিল মেটাতে গেলাম।
节省	সাশ্রয় করা	পাতালরেল ধরলে সময় সাশ্রয় হয়।
借口	অজুহাত	আর অজুহাত দিও না।
届	তম; পর্যায়	এটি তৃতীয় প্রতিযোগিতা।
戒	ছাড়া; বর্জন করা	ডাক্তার তাকে ধূমপান ছাড়ার পরামর্শ দিয়েছেন।
戒指	আংটি	সে একটি আংটি পরেছে।
金属	ধাতু	লোহা এক ধরনের ধাতু।
尽快	যত তাড়াতাড়ি সম্ভব	দয়া করে যত তাড়াতাড়ি সম্ভব ইমেইলের উত্তর দিন।
紧急	জরুরি	এটি একটি জরুরি পরিস্থিতি।
谨慎	সতর্ক; সাবধানী	বিনিয়োগের আগে সতর্ক থাকতে হবে।
尽力	সর্বোচ্চ চেষ্টা করা	আমি তোমাকে সাহায্য করার জন্য সর্বোচ্চ চেষ্টা করব।
尽量	যতটা সম্ভব	দয়া করে যতটা সম্ভব তাড়াতাড়ি পৌঁছান।
近代	আধুনিক যুগ	আধুনিক চীনে অনেক পরিবর্তন ঘটেছে।
进步	উন্নতি	তার চীনা ভাষায় দ্রুত উন্নতি হচ্ছে।
进口	আমদানি করা	এই গাড়িটি আমদানি করা।
精力	শক্তি; প্রাণশক্তি	শিশুদের অনেক শক্তি আছে।
精神	মনোবল; মানসিক অবস্থা	আজ তার মানসিক অবস্থা ভালো।
经典	ধ্রুপদি; ক্লাসিক	এটি একটি ক্লাসিক চলচ্চিত্র।
经商	ব্যবসা করা	তার বাবা বিদেশে ব্যবসা করেন।
经营	পরিচালনা করা	সে একটি ছোট দোকান চালায়।
酒吧	বার	সন্ধ্যায় তারা বারে গিয়েছিল।
救	বাঁচানো; উদ্ধার করা	ডাক্তার তার জীবন বাঁচিয়েছেন।
救护车	অ্যাম্বুলেন্স	অ্যাম্বুলেন্স খুব দ্রুত এসে পৌঁছেছে।
舅舅	মামা	আমার মামা নানজিংয়ে থাকেন।
居然	অবিশ্বাস্যভাবে; আশ্চর্যভাবে	সে আশ্চর্যভাবে নিজের জন্মদিন ভুলে গেছে।
桔子	কমলা	টেবিলে কয়েকটি কমলা আছে।
俱乐部	ক্লাব	সে সাঁতার ক্লাবে যোগ দিয়েছে।
具备	থাকা; অর্জিত থাকা	তার ব্যবস্থাপনার অভিজ্ঞতা আছে।
具体	নির্দিষ্ট; স্পষ্ট	দয়া করে আরেকটু নির্দিষ্ট করে বলুন।
巨大	বিশাল	এই প্রকল্পে বিশাল বিনিয়োগ দরকার।
据说	শোনা যায়; কথিত আছে	শোনা যায়, সে ইতিমধ্যে দেশে ফিরে গেছে।
捐	দান করা	সবাই টাকা দান করতে রাজি।
决赛	ফাইনাল	কাল ফুটবল ফাইনাল।
决心	সংকল্প	সে চীনা ভাষা ভালোভাবে শেখার সংকল্প করেছে।
绝对	একেবারে; অবশ্যই	এই ব্যাপারটি একেবারেই ভুলে যাওয়া যাবে না।
角色	ভূমিকা; চরিত্র	সে চলচ্চিত্রে গুরুত্বপূর্ণ ভূমিকা পালন করেছে।
军事	সামরিক	সামরিক ইতিহাসে তার খুব আগ্রহ।
均匀	সমানভাবে	দয়া করে রংটি সমানভাবে লাগান।
卡车	ট্রাক	একটি ট্রাক দরজার সামনে দাঁড়িয়ে আছে।
开发	উন্নয়ন করা; তৈরি করা	কোম্পানি নতুন পণ্য তৈরি করছে।
开放	খোলা; উন্মুক্ত করা	পার্ক প্রতিদিন সকাল ছয়টায় খোলে।
开幕式	উদ্বোধনী অনুষ্ঠান	উদ্বোধনী অনুষ্ঠান কাল রাতে হবে।
开水	ফোটানো পানি	দয়া করে আমাকে এক কাপ ফোটানো পানি দিন।
砍	কাটা	শ্রমিকটি গাছের ডাল কাটছে।
看不起	তুচ্ছ করা; নিচু চোখে দেখা	কাউকে তুচ্ছ করো না।
看望	দেখতে যাওয়া	সপ্তাহান্তে আমি দাদু-দিদাকে দেখতে যাব।
靠	ভর দিয়ে থাকা; নির্ভর করা	সে দেয়ালে ভর দিয়ে বিশ্রাম নিচ্ছে।
颗	ছোট গোল জিনিসের গণনাবাচক শব্দ	রাতের আকাশে একটি তারা আছে।
可见	এতে বোঝা যায়	এতে বোঝা যায় যে এই পদ্ধতি খুব কার্যকর।
可靠	নির্ভরযোগ্য	সে একজন নির্ভরযোগ্য বন্ধু।
可怕	ভয়ঙ্কর	স্বপ্নটি খুব ভয়ঙ্কর ছিল।
克	গ্রাম	দয়া করে দুই গ্রাম লবণ দিন।
克服	কাটিয়ে ওঠা	আমাদের অসুবিধা কাটিয়ে উঠতে হবে।
刻苦	পরিশ্রমী	সে খুব পরিশ্রম করে পড়ে।
客观	নিরপেক্ষ; বস্তুনিষ্ঠ	দয়া করে সমস্যাটি নিরপেক্ষভাবে বিশ্লেষণ করুন।
课程	কোর্স; পাঠ্যক্রম	এই কোর্সটি খুব উপকারী।
空间	জায়গা; স্থান	এই ঘরে অনেক জায়গা আছে।
控制	নিয়ন্ত্রণ করা	চালক গাড়ির গতি নিয়ন্ত্রণ করেছে।
空闲	অবসর; ফাঁকা সময়	আগামীকাল বিকেলে তোমার ফাঁকা সময় আছে?
口味	রুচি; স্বাদ	তার খাবারের রুচি তুলনামূলকভাবে হালকা।
夸	প্রশংসা করা	শিক্ষক তার বড় অগ্রগতির প্রশংসা করেছেন।
夸张	অতিরঞ্জিত	তার মুখভঙ্গি একটু অতিরঞ্জিত।
会计	হিসাবরক্ষক	সে কোম্পানিতে হিসাবরক্ষক হিসেবে কাজ করে।
宽	চওড়া	এই রাস্তা খুব চওড়া।
昆虫	পোকামাকড়	শিশুরা পোকামাকড় পর্যবেক্ষণ করছে।
扩大	বিস্তৃত করা; বড় করা	স্কুল গ্রন্থাগার বড় করার পরিকল্পনা করছে।
辣椒	মরিচ	তরকারিতে অনেক মরিচ দেওয়া হয়েছে।
拦	আটকানো; থামানো	পুলিশ একটি গাড়ি থামিয়েছে।
烂	পচা; নরম হয়ে যাওয়া	এই আপেলটি ইতিমধ্যে পচে গেছে।
朗读	জোরে পড়া	দয়া করে পাঠটি জোরে পড়ুন।
劳动	শ্রম; কাজ	শ্রম মানুষকে পরিপূর্ণতার অনুভূতি দেয়।
劳驾	মাফ করবেন	মাফ করবেন, পাতালরেল স্টেশন কোথায়?
姥姥	নানী	আমার নানী খুব ভালো রান্না করেন।
老百姓	সাধারণ মানুষ	সাধারণ মানুষ জীবনযাত্রার খরচ নিয়ে চিন্তা করে।
老板	বস; মালিক	বস আজ অফিসে নেই।
老婆	স্ত্রী	সে স্ত্রীর জন্য ফুল কিনেছে।
老实	সৎ; সরল	সে একজন সৎ মানুষ।
老鼠	ইঁদুর	রান্নাঘরে একটি ইঁদুর আছে।
乐观	আশাবাদী	সে ভবিষ্যৎ নিয়ে খুব আশাবাদী।
雷	বজ্রধ্বনি	গত রাতের বজ্রধ্বনি খুব জোরে ছিল।
类型	ধরন; শ্রেণি	এই ধরনের চলচ্চিত্র কোন শ্রেণির?
冷淡	শীতল; উদাসীন	তার মনোভাব একটু শীতল।
厘米	সেন্টিমিটার	এই কলমটি পনেরো সেন্টিমিটার লম্বা।
梨	নাশপাতি	আমি কয়েকটি নাশপাতি কিনেছি।
离婚	বিবাহবিচ্ছেদ করা	তারা গত বছর বিবাহবিচ্ছেদ করেছে।
理论	তত্ত্ব	এই তত্ত্বটি খুব জটিল।
理由	কারণ	দেরি করার তোমার কী কারণ আছে?
利润	লাভ	এই বছর কোম্পানির লাভ বেড়েছে।
利息	সুদ	ব্যাংকের সুদ বেশি নয়।
利益	স্বার্থ; লাভ	আমাদের সবার স্বার্থ রক্ষা করতে হবে।
利用	ব্যবহার করা	সে সপ্তাহান্তে চীনা ভাষা পড়ে।
力量	শক্তি	ঐক্যই শক্তি।
立即	অবিলম্বে	দয়া করে অবিলম্বে এখান থেকে চলে যান।
立刻	সঙ্গে সঙ্গে	খবর শুনে সে সঙ্গে সঙ্গে রওনা দিল।
联合	যৌথভাবে করা; একত্র হওয়া	দুই কোম্পানি যৌথভাবে পণ্য তৈরি করেছে।
连忙	তাড়াতাড়ি; সঙ্গে সঙ্গে	ফোনের শব্দ শুনে সে তাড়াতাড়ি ধরল।
连续	টানা; ধারাবাহিক	সে টানা দশ ঘণ্টা কাজ করেছে।
恋爱	প্রেমের সম্পর্ক	তারা এখন প্রেমের সম্পর্কে আছে।
粮食	শস্য; খাদ্যশস্য	এ বছরের শস্য উৎপাদন বেড়েছে।
良好	ভালো; অনুকূল	তার ভালো পড়াশোনার অভ্যাস আছে।
亮	উজ্জ্বল	ঘরের আলো খুব উজ্জ্বল।
了不起	অসাধারণ; চমৎকার	সে অসাধারণ ফলাফল অর্জন করেছে।
列车	ট্রেন	ট্রেনটি এখনই ছাড়তে যাচ্ছে।
临时	অস্থায়ী	এটি একটি অস্থায়ী সিদ্ধান্ত।
灵活	নমনীয়	পড়াশোনার পদ্ধতি নমনীয় হওয়া উচিত।
铃	ঘণ্টা	ক্লাসের ঘণ্টা বেজেছে।
零件	যন্ত্রাংশ	মেশিনে একটি যন্ত্রাংশ কম আছে।
零食	হালকা খাবার; নাশতা	শিশুরা হালকা খাবার খেতে পছন্দ করে।
领导	নেতা; নেতৃত্ব	নেতা এখন সভায় আছেন।
领域	ক্ষেত্র	সে শিক্ষা ক্ষেত্রে কাজ করে।
流传	প্রচলিত হওয়া; ছড়িয়ে থাকা	এই গল্পটি অনেক দিন ধরে প্রচলিত।
流泪	চোখের জল ফেলা	এই খবর শুনে সে কেঁদে ফেলেছে।
浏览	দেখে নেওয়া; ব্রাউজ করা	আমি আগে ওয়েবপাতাটি দেখে নিই।
龙	ড্রাগন	চীনা সংস্কৃতিতে ড্রাগন আছে।
漏	চুইয়ে পড়া; ফাঁস হওয়া	ছাদ দিয়ে বৃষ্টির পানি পড়ছে।
录取	ভর্তি করা; গ্রহণ করা	সে বিশ্ববিদ্যালয়ে ভর্তি হয়েছে।
录音	শব্দ রেকর্ড করা	দয়া করে রেকর্ডিং শুরু করুন।
陆地	স্থলভাগ	সামুদ্রিক কচ্ছপটি স্থলে উঠে এসেছে।
陆续	একের পর এক	অতিথিরা একের পর এক এসে পৌঁছেছেন।
轮流	পালাক্রমে করা	আমরা পালাক্রমে ক্লাসরুম পরিষ্কার করি।
论文	প্রবন্ধ; থিসিস	সে স্নাতক থিসিস লিখছে।
逻辑	যুক্তি; লজিক	তার যুক্তি খুব পরিষ্কার।
落后	পিছিয়ে পড়া	আমরা অন্যদের চেয়ে পিছিয়ে পড়তে পারি না।
骂	বকাঝকা করা	দয়া করে শিশুকে বকাঝকা করবেন না।
麦克风	মাইক্রোফোন	দয়া করে মাইক্রোফোনটি তাকে দিন।
