simplified	FI	example_FI
跌	laskea	Osakkeen hinta laski tänään taas
丁	kuutio	Reseptissä sanotaan, että perunat leikataan kuutioiksi
叮嘱	muistuttaa toistuvasti	Opettaja muistutti meitä toistuvasti turvallisuudesta
盯	tuijottaa	Älä tuijota muita koko ajan
定期	säännöllinen	Lääkäri neuvoi häntä käymään säännöllisissä terveystarkastuksissa
定义	määritelmä	Selitä ensin tämän käsitteen määritelmä
丢人	noloa	Julkisesti valehteleminen on todella noloa
丢三落四	hajamielinen	Hän on aina hajamielinen ja unohtaa usein avaimensa lähtiessään
东道主	isäntä	Isäntinä meidän pitää huolehtia vieraista hyvin
东张西望	katsella ympärilleen	Älä katsele ympärillesi tunnilla
董事长	hallituksen puheenjohtaja	Hallituksen puheenjohtaja osallistui tänään kokoukseen
冻结	jäädyttää	Pankki jäädytti tämän tilin väliaikaisesti
动荡	levoton	Sota piti tämän alueen pitkään levottomana
动机	motiivi	Poliisi tutkii hänen motiiviaan
动静	ääni tai liike	Huoneessa ei kuulunut pienintäkään ääntä tai liikettä
动力	motivaatio	Kiinnostus on oppimisen motivaatio
动脉	valtimo	Lääkäri tutki hänen valtimoaan
动身	lähteä matkaan	Lähdemme huomenna aikaisin matkaan lentokentälle
动手	alkaa tapella	Asia ei ole vielä selvä, joten kenenkään ei pidä alkaa tapella
动态	kehitys	Seuraa projektin kehitystä milloin tahansa
动员	mobilisoida	Koulu mobilisoi oppilaat osallistumaan vapaaehtoistoimintaan
栋	rakennus	Tässä rakennuksessa on kaksikymmentä kerrosta
兜	tasku	Hän pani avaimet takkinsa taskuun
陡峭	jyrkkä	Tämä vuoristotie on hyvin jyrkkä
斗争	taistelu	He taistelevat ympäristön suojelemiseksi
督促	kehottaa	Johtaja kehotti kaikkia saamaan tehtävän valmiiksi ajoissa
毒品	huumeet	Tulli takavarikoi erän huumeita
独裁	diktatuuri	Ihmiset vastustavat diktatuurihallintoa
堵塞	tukkia	Roskat tukkivat viemärin
赌博	uhkapelata	Uhkapelaaminen voi aiheuttaa vakavia seurauksia
杜绝	lopettaa kokonaan	Yritys vaatii tuhlauksen lopettamista kokonaan
端	kantaa	Hän tuli sisään kantaen kupillista kuumaa teetä
端午节	lohikäärmevenejuhla	Lohikäärmevenejuhlan aikaan syömme zongzi-riisikakkuja
端正	korjata	Oppilaiden pitäisi korjata suhtautumistaan opiskeluun
短促	lyhyt	Hän päästi lyhyen huokauksen
断定	päätellä	Vielä ei voi päätellä, kuka on oikeassa ja kuka väärässä
断绝	katkaista	Onnettomuuden jälkeen kylän yhteys ulkomaailmaan katkesi
堆积	kasaantua	Lumi kasaantui tien reunaan
兑现	täyttää lupaus	Hän täytti lopulta lupauksensa
对策	vastatoimi	Riskien edessä tarvitsemme vastatoimia
对称	symmetrinen	Tämän rakennuksen vasen ja oikea puoli ovat hyvin symmetriset
对付	käsitellä	Tätä ongelmaa ei ole helppo käsitellä
对抗	kohdata	Kaksi joukkuetta kohtaa toisensa finaalissa
对立	vastakkainen	Osapuolten kannat ovat täysin vastakkaiset
对联	ovipari	Kevätjuhlan aikana he liimasivat oviparin ovenpieliin
对应	vastata	Jokainen numero vastaa yhtä istuinta
对照	verrata	Vertaa käännöstä alkuperäiseen tekstiin
队伍	kulkue	Paraadikulkue liikkui hitaasti eteenpäin
顿时	heti	Uutisen kuultuaan hän jähmettyi heti
哆嗦	vapista	Oli niin kylmä, että hän vapisi koko ajan
多元化	monipuolistaminen	Yritys edistää liiketoiminnan monipuolistamista
堕落	rappeutua	Hän ei halua antaa itsensä jatkaa moraalista rappeutumista
额外	ylimääräinen	Tästä palvelusta peritään ylimääräinen maksu
恶心	pahoinvoiva	Sen hajun haistaessani minua alkoi hieman oksettaa
恶化	pahentua	Ilman hoitoa sairaus saattaa pahentua
遏制	hillitä	Hallitus ryhtyi toimiin saastumisen hillitsemiseksi
恩怨	kauna	Näiden kahden yrityksen kauna on jatkunut pitkään
而已	siinä kaikki	Sanoin sen vain ohimennen, siinä kaikki
二氧化碳	hiilidioksidi	Kasvit imevät hiilidioksidia
发布	julkaista	Yritys julkaisee uuden tuotteen huomenna
发财	rikastua	Hän toivoo rikastuvansa kovalla työllä
发呆	tuijottaa tyhjyyteen	Hän istui ikkunan ääressä tuijottamassa tyhjyyteen
发动	mobilisoida	Vapaaehtoiset mobilisoivat asukkaat siivoamaan kadun
发觉	huomata	Huomasin, että hän oli tänään hieman hermostunut
发射	laukaista	Raketti laukaistaan illalla
发誓	vannoa	Hän vannoi, ettei enää koskaan valehtele
发行	levittää	Tämä elokuva levitetään ensi kuussa
发炎	tulehtunut	Haava on hieman tulehtunut
发扬	edistää	Meidän pitäisi edistää tiimityön henkeä
发育	kehittyminen	Lasten fyysinen kehittyminen tarvitsee riittävästi ravintoa
法人	oikeushenkilö	Tämä yritys on itsenäinen oikeushenkilö
番	sanat	Nämä sanat antoivat minulle paljon ajateltavaa
凡是	jokainen	Jokaisen ilmoittautuneen täytyy osallistua koulutukseen
繁华	vilkas	Tämä katu oli ennen hyvin vilkas
繁忙	kiireinen	Lentokenttä on lomien aikana erityisen kiireinen
繁体字	perinteinen kiinalainen merkki	Taiwanissa käytetään usein perinteisiä kiinalaisia merkkejä
繁殖	lisääntyä	Tämä kasvilaji lisääntyy helposti
反驳	kumota	Hän kumosi tämän näkemyksen datan avulla
反常	epätavallinen	Tämän päivän sää on hieman epätavallinen
反感	inhota	Inhoan todella tällaista mainontaa
反抗	vastustaa	Ihmiset alkoivat vastustaa epäoikeudenmukaista sääntöä
反馈	palaute	Asiakkaiden palaute kertoo järjestelmän olevan hyvin vakaa
反面	kääntöpuoli	Käännä paperi kääntöpuolelle
反射	heijastaa	Peili heijastaa valoa
反思	pohtia	Epäonnistumisen jälkeen hän pohti syitä vakavasti
反问	kysyä takaisin	Hän ei vastannut, vaan kysyi minulta takaisin
反之	päinvastoin	Liian korkea hinta vähentää kysyntää, ja päinvastoin
泛滥	tulvia	Rankkasade sai joen tulvimaan
范畴	kategoria	Tämä kysymys kuuluu oikeudelliseen kategoriaan
贩卖	myydä laittomasti	Laki kieltää väärennettyjen lääkkeiden myymisen
方位	suunta	Karttaan on merkitty tarkka suunta
方言	murre	Hän ymmärtää paikallista murretta
方圆	säde	Kymmenen kilometrin säteellä ei ole sairaalaa
方针	linja	Yritys laati uuden kehityslinjan
防守	puolustus	Tämän joukkueen puolustus on hyvin vakaa
防御	puolustus	Kaupunginmuuria käytettiin aikoinaan vihollisten torjumiseen
防止	estää	Kiinnitä turvavyö vammojen estämiseksi
防治	ehkäisy ja hoito	Lääkäri selitti sairauksien ehkäisy- ja hoitomenetelmiä
纺织	tekstiilituotanto	Tämä kaupunki tunnetaan tekstiiliteollisuudestaan
访问	vierailla	Toimittaja vierailee kirjailijan luona huomenna
放大	suurentaa	Suurenna kuvaa hieman
放射	säteillä	Tämä materiaali säteilee lämpöä
非法	laiton	Laittomista kaupoista rangaistaan
飞禽走兽	linnut ja eläimet	Metsässä elää kaikenlaisia lintuja ja eläimiä
飞翔	lentää	Lokit lentävät meren yllä
飞跃	harppaus	Teknologian kehitys saavutti suuren harppauksen
肥沃	hedelmällinen	Tämä maa on hyvin hedelmällinen
诽谤	kunnianloukkaus	Toisten herjaamisesta joutuu oikeudelliseen vastuuseen
废除	kumota	Tämä vanha sääntö on jo kumottu
废寝忘食	unohtaa syödä ja nukkua	Hän uppoutui tutkimukseen niin, että unohti syödä ja nukkua
废墟	rauniot	Maanjäristyksen jälkeen paikka muuttui raunioiksi
沸腾	kiehua	Vesi on jo kiehunut
肺	keuhko	Tupakointi voi vahingoittaa keuhkoja
分辨	erottaa	Minun on vaikea erottaa näitä kahta väriä
分寸	sopiva raja	Vitsailussakin pitää tuntea sopivat rajat
分红	osinko	Osakkeenomistajat voivat saada osinkoa vuoden lopussa
分解	purkaa	Opettaja purki monimutkaisen ongelman muutamaan vaiheeseen
分裂	hajota	Sisäiset ristiriidat saivat järjestön hajoamaan
分泌	erittää	Tällainen rauhanen erittää hormoneja
分明	selvä	Tosiasiat ovat jo hyvin selvät
分歧	erimielisyys	Osapuolilla on erimielisyyttä hinnasta
分散	hajauttaa	Hajauta riski eri hankkeisiin
吩咐	käskeä	Pomo käski minun järjestää asiakirjat
坟墓	hauta	Rinteellä on vanha hauta
粉末	jauhe	Jauha tabletit jauheeksi
粉色	vaaleanpunainen	Hän osti vaaleanpunaisen huivin
粉碎	murskata	Poliisi murskasi tämän rikollisryhmän
分量	paino	Tällä lauseella on paljon painoa
愤怒	viha	Hänen äänensävynsä oli täynnä vihaa
丰满	runsas	Tämän artikkelin sisältö ei ole vielä tarpeeksi runsas
丰盛	ylellinen	He valmistivat ylellisen illallisen
丰收	hyvä sato	Viljelijät saivat tänä vuonna hyvän sadon
封闭	sulkea	Tämä tie suljetaan rakennustöiden ajaksi
封建	feodaalinen	Tällaisen feodaalisen ajattelun olisi pitänyt muuttua jo kauan sitten
封锁	sulkea eristyksiin	Poliisi sulki onnettomuuspaikan eristyksiin
锋利	terävä	Tämä veitsi on hyvin terävä
风暴	myrsky	Merellä nousi yhtäkkiä myrsky
风度	tyylikkyys	Hän vaikutti lavalla hyvin tyylikkäältä
风光	maisema	Täällä luonnonmaisema on kaunis
风气	ilmapiiri	Kouluun on muodostunut hyvä opiskeluilmapiiri
风趣	huumorintajuinen	Hän puhuu hyvin huumorintajuisesti
风土人情	paikalliset tavat	Matkustaminen auttaa ymmärtämään paikallisia tapoja
风味	paikallinen maku	Tässä kaupassa on vahva paikallinen maku
逢	aina kun	Aina viikonloppuisin puisto on vilkas
奉献	omistaa	Lääkäri omisti paljon aikaa potilaille
否决	hylätä	Hallitus hylkäsi tämän ehdotuksen
夫妇	aviopari	Tämä aviopari pyörittää pientä kauppaa
夫人	rouva	Herra Wang osallistui illalliselle vaimonsa kanssa
敷衍	ylimalkaisesti	Hän vastasi vain muutamalla ylimalkaisella lauseella
俘虏	vanki	Sodan päätyttyä vangit vapautettiin
幅度	määrä	Tämän hinnanalennuksen määrä on suuri
服从	totella	Sotilaiden täytyy totella käskyjä
服气	olla vakuuttunut	Hän hävisi ottelun, mutta ei ollut sisimmässään vakuuttunut
福利	edut	Työntekijät pitävät yrityksen etuja hyvin tärkeinä
福气	onni	Hyvän opettajan kohtaaminen on hänelle suuri onni
符号	symboli	Tämä symboli tarkoittaa vaaraa
辐射	säteily	Lääkäri muistutti häntä pysymään poissa voimakkaasta säteilystä
俯视	nähdä ylhäältä	Vuoren huipulta voi nähdä koko kaupungin ylhäältä
抚摸	silittää	Hän silitti lapsen päätä hellästi
抚养	kasvattaa	Isovanhemmat auttoivat kasvattamaan lasta
腐败	korruptio	Hallitus taistelee korruptiota vastaan
腐烂	mädäntyä	Hedelmät mädäntyvät, jos ne jätetään liian pitkäksi aikaa
腐蚀	syövyttää	Happo voi syövyttää metallipintaa
腐朽	rappeutunut	He arvostelivat rappeutunutta järjestelmää
辅助	avustaa	Tämä työkalu voi avustaa opetusta
副	vara-	Hänet nimitettiin varajohtajaksi
复活	elpyä	Tämä perinteinen juhla on elpymässä
复兴	elpyminen	Kulttuurinen elpyminen vaatii pitkäaikaista työtä
富裕	vauras	Tämä kylä vaurastuu koko ajan
腹泻	ripuli	Hänellä on paha ripuli ja hänen täytyy mennä lääkäriin
覆盖	peittää	Paksu lumi peitti koko laakson
负担	taakka	Vuokrasta tuli hänen pääasiallinen taakkansa
赋予	myöntää	Laki myöntää kansalaisille perusoikeudet
附和	myötäillä	Hänellä ei ole omaa kantaa, hän vain myötäilee muita
附件	liite	Tarkista sähköpostin liite
附属	liittynyt	Tämä sairaala on yliopistoon liittynyt sairaala
改良	parantaa	Asiantuntijat parantavat tätä riisilajiketta
盖章	leimata	Sopimus täytyy leimata allekirjoituksen jälkeen
钙	kalsium	Maidossa on runsaasti kalsiumia
尴尬	kiusallinen	Kokouksessa syntyi kiusallinen hiljaisuus
干旱	kuivuus	Pitkä kuivuus vaikutti viljelyksiin
干扰	häiritä	Melu häiritsee työtäni
干涉	puuttua	Vanhempien ei pitäisi puuttua liikaa lastensa valintoihin
干预	puuttua asiaan	Hallitus puuttui markkinariskiin ajoissa
感慨	liikuttunut	Vanhoja valokuvia nähdessään hän liikuttui syvästi
感染	tartuttaa	Tämä virus tartuttaa helposti lapsia
干劲	työinto	Kaikki tekevät työtä suurella työinnolla
扛	nostaa	Kertomuksen mukaan hän oli niin vahva, että pystyi nostamaan raskaan padan
纲领	toimintaohjelma	Kokous hyväksyi uuden toimintaohjelman
岗位	toimi	Hän sopeutui nopeasti uuteen toimeen
港口	satama	Rahtilaiva kiinnittyi satamaan
港湾	lahti	Pieni vene purjehti rauhalliseen lahteen
杠杆	vipuvaikutus	Tässä sijoituksessa käytettiin suurta vipuvaikutusta
高超	erinomainen	Hänen autonkorjaustaitonsa ovat erinomaiset
高潮	huippukohta	Ottelu saavutti huippukohtansa viimeisten kymmenen minuutin aikana
高峰	ruuhkahuippu	Aamukahdeksalta on liikenteen ruuhkahuippu
高明	nerokas	Tämä menetelmä on todella nerokas
高尚	jalo	Lääkärin ammattihenki on jalo
高涨	nousta	Yleisön innostus nousi jatkuvasti
稿件	käsikirjoitus	Toimittaja muokkaa käsikirjoitusta
告辞	hyvästellä	On jo myöhä, joten hyvästelemme nyt
告诫	varoittaa	Opettaja varoitti oppilaita lunttaamasta
割	leikata	Hän leikkasi vahingossa sormeensa
搁	asettaa	Aseta asiakirjat pöydälle
歌颂	ylistää	Tämä runo ylistää työntekijöitä
疙瘩	kyhmy	Hänen käsivarteensa ilmestyi kyhmy
鸽子	kyyhky	Torilla on paljon kyyhkyjä
格局	pohjaratkaisu	Tämän asunnon pohjaratkaisu on hyvin järkevä
格式	muoto	Täytä lomake vaaditussa muodossa
隔阂	etäisyys	Väärinkäsitys syvensi heidän välistään etäisyyttä
隔离	eristää	Potilas täytyy eristää väliaikaisesti
革命	vallankumous	Tämä vallankumous muutti maan kohtalon
个体	yksilö	Jokaisella yksilöllä on erilaiset tarpeet
各抒己见	esittää oma näkemyksensä	Kokouksessa kaikki esittivät oman näkemyksensä
根深蒂固	syvään juurtunut	Tämä ajatus on jo syvään juurtunut
根源	perussyy	Köyhyyden perussyyt ovat monimutkaisia
跟前	luo	Lapsi juoksi äitinsä luo
跟随	seurata	Toimittaja seurasi ryhmää vuoristoalueelle
跟踪	jäljittää	Poliisi jäljittää epäillyn liikkeitä
更新	päivittää	Järjestelmä päivittyy automaattisesti tänä iltana
更正	korjata	Sanomalehti korjasi virheen seuraavana päivänä
耕地	kyntää	Viljelijät kyntävät peltoja keväällä
供不应求	kysyntä ylittää tarjonnan	Tästä lääkkeestä on tällä hetkellä pulaa
供给	tarjonta	Kaupunki tarvitsee vakaan veden ja sähkön tarjonnan
公安局	poliisivirasto	Hän meni poliisivirastoon tekemään ilmoituksen
公道	oikeudenmukainen	Kaikki toivovat oikeudenmukaista käsittelyä
公告	ilmoitus	Koulu julkaisi ilmoituksen opetuksen keskeyttämisestä
公关	suhdetoiminta	Yritys palkkasi ammattimaisen suhdetoimintatiimin
公民	kansalainen	Jokaisen kansalaisen pitäisi noudattaa lakia
公然	avoimesti	Hän rikkoi kilpailusääntöjä avoimesti
公认	tunnustettu	Hän on tunnustetusti erinomainen opettaja
公式	kaava	Kirjoita tämä matemaattinen kaava muistiin
公务	virkatehtävä	Hän lähti kolmen päivän työmatkalle virkatehtävien vuoksi
公正	oikeudenmukainen	Tuomarin täytyy pysyä oikeudenmukaisena
公证	notaarin vahvistus	Tämä asiakirja tarvitsee notaarin vahvistuksen
功劳	ansio	Kaikilla on ansionsa tässä onnistumisessa
功效	teho	Tämän lääkkeen teho täytyy vielä varmistaa
宫殿	palatsi	Matkailijat vierailivat vanhassa palatsissa
工艺品	käsityöesine	Tämä käsityöesine on tehty käsin
恭敬	kunnioittava	Hän tervehti vanhusta kunnioittavasti
攻击	hyökätä	Hakkerit hyökkäsivät yrityksen verkkosivustolle
攻克	voittaa	Tutkimusryhmä voitti teknisen ongelman
巩固	vahvistaa	Kertaaminen voi vahvistaa opittua tietoa
共和国	tasavalta	Tämä tasavalta perustettiin viime vuosisadalla
共计	yhteensä	Tätä tavaraerää on yhteensä kolmesataa laatikkoa
共鸣	vastakaiku	Tämä laulu sai vastakaikua monilta ihmisiltä
勾结	liittoutua laittomasti	He liittoutuivat ulkopuolisten kanssa huijatakseen varoja
钩子	koukku	Seinällä riippuu useita koukkuja
构思	kehitellä	Kirjailija kehittelee uutta romaania
姑且	toistaiseksi	Kokeillaan tätä suunnitelmaa toistaiseksi viikon ajan
孤独	yksinäinen	Uuteen kaupunkiin muutettuaan hän tunsi olonsa yksinäiseksi
孤立	erillään	Älä tarkastele tätä ongelmaa erillään
辜负	tuottaa pettymys	En halua tuottaa pettymystä vanhempieni odotuksille
古董	antiikkiesine	Isoisä keräsi muutamia antiikkiesineitä
古怪	omituinen	Hänen ajatuksensa on hieman omituinen
股东	osakkeenomistaja	Osakkeenomistajien kokous pidetään ensi viikolla
股份	osakkeet	Hän omistaa yrityksen osakkeita
骨干	tukipilari	Nämä insinöörit ovat tiimin tukipilareita
鼓动	yllyttää	Joku yllytti väkijoukkoa protestoimaan
固然	toki	Tämä menetelmä on toki yksinkertainen, mutta riski ei ole pieni
固体	kiinteä aine	Jää on veden kiinteä olomuoto
固有	luontainen	Jokaisella kulttuurilla on luontaisia piirteitä
固执	itsepäinen	Hän on liian itsepäinen eikä suostu kuuntelemaan neuvoja
故乡	kotikaupunki	Monien vuosien jälkeen hän palasi kotikaupunkiinsa
故障	vika	Hissiin tuli vika, ja se on tilapäisesti pois käytöstä
雇佣	palkata	Yritys päätti palkata lisää teknistä henkilöstöä
顾虑	huoli	Voit sanoa suoraan, mitä huolia sinulla on
顾问	neuvonantaja	Palkkasimme oikeudellisen neuvonantajan
拐杖	kävelykeppi	Vanhus ottaa usein kävelykepin mukaansa ulos lähtiessään
关怀	huolenpito	Opettaja antoi oppilaille paljon huolenpitoa
关照	huolehtia	Huolehdi lapsesta matkalla
官方	virallinen	Virallinen uutinen julkaistaan huomenna
观光	nähtävyyksien katselu	Matkailijat lähtivät veneellä katsomaan nähtävyyksiä
管辖	hallita	Tämä alue kuuluu kaupunginhallituksen hallintaan
惯例	tapa	Vieraiden esittely ennen kokouksen alkua on tapana
灌溉	kastella	Viljelijät kastelevat peltoja jokivedellä
罐	purkki	Pöydällä on purkki teelehtiä
贯彻	toteuttaa	Yrityksen täytyy toteuttaa uudet turvallisuusstandardit
光彩	säteily	Tämä asu sai hänet näyttämään säteilevältä
光辉	kunnia	Hänen saavutuksensa jättivät kunnianarvoisen sivun historiaan
光芒	valonsäteet	Auringon valonsäteet valaisivat laakson
光荣	kunniallinen	Maan palveleminen on kunniallista
广阔	laaja	Ruohoaro jatkuu silmänkantamattomiin ja on hyvin laaja
归根到底	lopulta	Lopulta ongelma on johtamisessa
归还	palauttaa	Palauta kirjat ajoissa
规范	standardi	Koulu laati standardit laboratorion hallintaan
规格	erittely	Tämän varaerän erittelyt eivät ole yhtenäiset
规划	suunnittelu	Kaupunkisuunnittelussa täytyy ottaa liikenne huomioon
规章	säännöt	Työntekijöiden täytyy noudattaa yrityksen sääntöjä
轨道	raide	Juna kulkee raiteita pitkin
贵族	aatelisto	Tämä kartano kuului aikoinaan aatelistolle
跪	polvistua	Hän polvistui jumalpatsaan eteen
棍棒	nuija	Poliisi takavarikoi paikalta nuijat
国防	maanpuolustus	Maanpuolustuksen rakentaminen vaatii pitkäaikaisia investointeja
国务院	valtioneuvosto	Valtioneuvosto julkaisi uuden ilmoituksen
果断	päättäväinen	Johtaja teki päättäväisen päätöksen
过度	liiallinen	Puhelimen liiallinen käyttö voi vaikuttaa uneen
过渡	siirtymä	Yritys on muutoksen siirtymävaiheessa
过奖	liioitella kehuja	Liioittelet kehuja, minun täytyy vielä oppia
过滤	suodattaa	Tämä laite voi suodattaa epäpuhtauksia
过失	virhe	Tämä onnettomuus johtui inhimillisestä virheestä
过问	sekaantua	Johtaja sekaantuu harvoin näihin pikkuasioihin
过瘾	tyydyttävä	Tämän ottelun katsominen oli todella tyydyttävää
过于	liian	Tämä suunnitelma on liian monimutkainen
嗨	hei	Hei, miksi sinäkin tulit
海拔	korkeus merenpinnasta	Tämä kylä sijaitsee korkealla merenpinnasta
海滨	merenranta	He viettivät viikonlopun merenrannalla
含糊	epäselvä	Hänen vastauksensa oli hyvin epäselvä
含义	merkitys	Tällä sanalla on erityinen merkitys
寒暄	vaihtaa kohteliaisuuksia	Tavattuaan he vaihtoivat ensin muutaman kohteliaisuuden
罕见	harvinainen	Tämä sairaus on hyvin harvinainen
捍卫	puolustaa	Asianajaja pyrki puolustamaan asiakkaan oikeuksia
航空	ilmailu	Lentoyhtiö perui lennon
航天	avaruuslento	Kiinan avaruusohjelma kehittyy nopeasti
航行	purjehtia	Laiva purjehtii merellä
行列	joukko	Hän liittyi vapaaehtoisten joukkoon
毫米	millimetri	Tämä lasi on viisi millimetriä paksu
毫无	ei lainkaan	Hänen selityksellään ei ole lainkaan perustaa
豪迈	voimakas	Hänen laulunsa oli voimakasta ja rohkeaa
号召	kehottaa	Hallitus kehotti kaikkia säästämään vettä
耗费	kuluttaa	Tämä hanke kulutti paljon varoja
呵	karjaista	Isä karjaisi, ja lapsi pysähtyi heti
合并	yhdistyä	Kaksi yritystä aikoo yhdistyä ensi vuonna
合成	syntetisoida	Tätä materiaalia voidaan syntetisoida keinotekoisesti
合伙	tehdä yhteistyötä	He avasivat ravintolan yhteistyössä
合算	kannattava	Bussilla kulkeminen on kannattavampaa kuin taksilla
和蔼	ystävällinen	Tämä lääkäri puhuu hyvin ystävällisesti
和解	sovinto	Osapuolet pääsivät lopulta sovintoon
和睦	sopuisa	Naapurit tulevat hyvin sopuisasti toimeen keskenään
和气	ystävällinen	Pomo kohtelee ihmisiä ystävällisesti
和谐	harmoninen	Musiikki teki ilmapiiristä harmonisemman
嘿	hei	Hei, kuulitko sen
痕迹	jälki	Maahan jäi renkaanjälkiä
狠心	sydämetön	Hän torjui ystävänsä pyynnön sydämettömästi
恨不得	toivoa kovasti	Toivon kovasti, että voisin mennä heti kotiin lepäämään
哼	tuhahtaa	Hän tuhahti tyytymättömänä
横	vaakasuora	Piirrä paperille vaakasuora viiva
哄	reveta nauruun	Kaikki repesivät nauruun
烘	paistaa	Leipä paistuu uunissa
轰动	herättää suurta huomiota	Tämä uutinen herätti suurta huomiota koko maassa
宏观	makrotason	Meidän täytyy analysoida taloutta makrotason näkökulmasta
宏伟	mahtava	Tämän sillan suunnittelu on hyvin mahtava
洪水	tulva	Tulva tuhosi useita siltoja
喉咙	kurkku	Hän puhui liikaa, ja kurkkuun sattuu hieman
吼	karjua	Hän karjui kovaa kaukaisuuteen
候选	ehdokas	Hän on tämän vuoden edustajaehdokas
后代	jälkipolvet	Meidän täytyy suojella ympäristöä jälkipolville
后顾之忧	huoli tulevaisuudesta	Vakaa tulo poisti häneltä huolet tulevaisuudesta
后勤	logistiikka	Logistiikkaosasto vastaa tarvikkeiden toimittamisesta
呼唤	kutsua	Äiti kutsui lasta ovella
呼啸	ulvoa	Kylmä tuuli ulvoi ikkunan ulkopuolella
呼吁	vedota	Asiantuntijat vetosivat kaikkiin jätteen vähentämiseksi
忽略	sivuuttaa	Älä sivuuta tätä yksityiskohtaa
湖泊	järvi	Tällä alueella on paljon luonnonjärviä
胡乱	satunnaisesti	Älä laita tavaroita satunnaisesti lattialle
胡须	parta	Hänen partansa on jo muuttunut valkoiseksi
花瓣	terälehti	Sateen jälkeen terälehtiä putosi kaikkialle maahan
花蕾	kukannuppu	Keväällä oksille kasvaa kukannuppuja
华丽	loistelias	Lavan puvut olivat hyvin loisteliaita
华侨	ulkomaankiinalainen	Monet ulkomaankiinalaiset palasivat kotiseudulle sijoittamaan
划分	jakaa	Opettaja jakoi oppilaat neljään ryhmään
化肥	kemiallinen lannoite	Viljelijät levittivät kemiallista lannoitetta viljelyksille
化石	fossiili	Museossa oli esillä dinosaurusten fossiileja
化验	laboratoriokoe	Lääkäri pyysi häntä verikokeeseen
化妆	meikata	Hän meikkasi ennen lavalle menoa
画蛇添足	liioitella turhaan	Lisäselitys olisi vain turhaa liioittelua
话筒	mikrofoni	Juontaja ojensi mikrofonin yleisölle
欢乐	ilo	Juhla-aukio oli täynnä iloa
环节	vaihe	Koulutuksen jokainen vaihe on tärkeä
还原	palauttaa	Palauta asetukset oletustilaan
缓和	lieventyä	Osapuolten suhteet lieventyivät vähitellen
患者	potilas	Lääkäri kysyy potilaan tilanteesta
荒凉	autio	Tämä maa näyttää hyvin autiolta
荒谬	järjetön	Tämä selitys kuulostaa järjettömältä
荒唐	naurettava	Hänen päätöksensä oli liian naurettava
皇帝	keisari	Keisari asui mahtavassa palatsissa
皇后	keisarinna	Keisarinna osallistui juhlaan
黄昏	hämärä	Hämärän aikaan katuvalot syttyivät
恍然大悟	ymmärtää yhtäkkiä	Selityksen kuultuaan hän ymmärsi yhtäkkiä
晃	vilahtaa	Hän vilahti silmissäni ja katosi näkyvistä
挥霍	tuhlata	Hänen ei pitäisi tuhlata vanhempiensa rahoja
辉煌	loistava	Tällä kaupungilla on loistava historia
回报	palkinto	Kova työ tuo lopulta palkinnon
回避	vältellä	Hän välttelee tätä asiaa jatkuvasti
回顾	tarkastella	Kokouksen lopuksi tarkasteltiin koko vuoden työtä
回收	kierrättää	Asuinalue alkoi kierrättää vanhoja paristoja
悔恨	katumus	Hän tunsi katumusta menneistä virheistään
毁灭	tuhota	Sota melkein tuhosi tämän kaupungin
会晤	tavata	Kahden maan johtajat tapaavat huomenna
汇报	raportoida	Hän raportoi edistymisestä johtajalle
贿赂	lahjus	Virkamiestä tutkittiin lahjuksista
昏迷	kooma	Potilas on yhä koomassa
荤	lihaa sisältävä	Tämä ruoka sisältää lihaa eikä sovi kasvissyöjille
浑身	kauttaaltaan	Juoksun jälkeen hän oli kauttaaltaan hiessä
混合	sekoittaa	Sekoita kaksi materiaalia tasaisesti
混乱	kaaos	Paikalla vallitsi hetken suuri kaaos
混淆	sekoittaa toisiinsa	Älä sekoita näitä kahta käsitettä toisiinsa
混浊	samea	Sateen jälkeen joen vesi muuttui sameaksi
活该	ansaita	Hän ei kuunnellut neuvoja, joten hän ansaitsi epäonnistumisen
活力	elämänvoima	Tämä kaupunki on täynnä elämänvoimaa
火箭	raketti	Raketti siirtyi onnistuneesti suunnitellulle radalle
火焰	liekki	Tuuli sai liekit nousemaan korkeammalle
火药	ruuti	Ruuti muutti muinaista sodankäyntiä
货币	valuutta	Rahapolitiikka vaikuttaa talouskehitykseen
基地	tukikohta	Täällä oli aikoinaan tärkeä harjoitustukikohta
基金	rahasto	Koulu perusti apurahaston
基因	geeni	Tutkijat tutkivat tätä geeniä
机动	liikkuva	Tämä ryhmä säilyttää suuren liikkuvuuden
机构	laitos	Tämä laitos vastaa laaduntarkastuksesta
机灵	nokkela	Tämä lapsi on hyvin nokkela
机密	salainen	Nämä materiaalit ovat salaisia
机械	koneet	Tehdas otti käyttöön uusia koneita
机遇	mahdollisuus	Nuorten pitää tarttua mahdollisuuksiin
机智	nokkela	Hänen vastauksensa oli hyvin nokkela
激发	herättää	Opettaja herätti oppilaiden kiinnostuksen
激励	kannustaa	Tämä onnistuminen kannusti koko tiimiä
激情	intohimo	Hän puhui täynnä intohimoa
讥笑	pilkata	Älä pilkkaa toisten virheitä
饥饿	nälkä	Pitkäaikainen nälkä voi vaikuttaa terveyteen
即便	vaikka	Vaikka sataisi, lähdemme ajoissa
即将	pian	Kokous alkaa pian
及早	mahdollisimman aikaisin	Ongelmat pitää käsitellä mahdollisimman aikaisin
吉祥	onnekas	Punainen symboloi Kiinassa usein onnea
