simplified	KA	example_KA
怪不得	ამიტომაც; გასაკვირი არ არის	ამიტომაც ხარ ასე დაღლილი.
关闭	დახურვა; გამორთვა	წასვლამდე კომპიუტერი გამორთეთ.
官	მოხელე	ის ახალგაზრდა მოხელეა.
观察	დაკვირვება	ექიმი პაციენტის მდგომარეობას აკვირდება.
观点	თვალსაზრისი	შენს თვალსაზრისს ვეთანხმები.
观念	წარმოდგენა; შეხედულება	ახალგაზრდების შეხედულებები იცვლება.
管子	მილი	ეს მილი წყალს უშვებს.
冠军	ჩემპიონი	მან შეჯიბრში ჩემპიონობა მოიპოვა.
光滑	გლუვი	ამ მაგიდის ზედაპირი ძალიან გლუვია.
光临	მობრძანება	გელოდებით, შემდეგ ჯერზეც მობრძანდით.
光明	ნათელი	მომავალი ნათელია.
光盘	დისკი	გთხოვთ, მასალები დისკზე შეინახოთ.
广场	მოედანი	მოედანზე ბევრი ადამიანია.
广大	ფართო; მრავალი	ეს ამბავი ბევრმა სტუდენტმა დადებითად მიიღო.
广泛	ფართო	ამ წიგნს ფართო გავლენა აქვს.
归纳	შეჯამება; განზოგადება	მასწავლებელი მთავარი საკითხების შეჯამებაში დაგვეხმარა.
规矩	წესი	ბავშვებმა წესები უნდა იცოდნენ.
规律	კანონზომიერება; რეჟიმი	ცხოვრებას რეგულარული რეჟიმი სჭირდება.
规模	მასშტაბი	ამ კომპანიის მასშტაბი დიდია.
规则	წესი	შეჯიბრის წესები ძალიან ნათელია.
柜台	დახლი; სალარო	გთხოვთ, დახლთან გადაიხადოთ.
滚	დუღილი; გორება	წყალი უკვე ადუღდა.
锅	ქვაბი; ტაფა	ქვაბში ცხელი წვნიანია.
国庆节	ეროვნული დღესასწაული	ეროვნულ დღესასწაულზე ვისვენებთ.
国王	მეფე	მეფე სასახლეში ცხოვრობს.
果然	როგორც მოსალოდნელი იყო	როგორც მოსალოდნელი იყო, ის დროულად მოვიდა.
果实	ნაყოფი; შედეგი	ხე ნაყოფით არის სავსე.
过分	ზედმეტი; გადაჭარბებული	მისი მოთხოვნა ცოტა გადაჭარბებულია.
过敏	ალერგია	ყვავილის მტვერზე ალერგია მაქვს.
过期	ვადის გასვლა	ამ რძეს ვადა უკვე გაუვიდა.
哈	ჰა; სიცილი	ჰა, ბოლოს და ბოლოს გავიგე.
海关	საბაჟო	საბაჟოზე შემოწმებისთვის რიგში ვიდექით.
海鲜	ზღვის პროდუქტები	ამ რესტორნის ზღვის პროდუქტები ძალიან ახალია.
喊	ყვირილი	კლასში ხმამაღლა ნუ იყვირებ.
行业	დარგი; სფერო	ტურიზმის დარგი სწრაფად ვითარდება.
豪华	ძვრული	ისინი ძვრულ სასტუმროში ცხოვრობენ.
好客	სტუმართმოყვარე	ადგილობრივები ძალიან სტუმართმოყვარეები არიან.
好奇	ცნობისმოყვარე	ბავშვები სამყაროს მიმართ ძალიან ცნობისმოყვარეები არიან.
何必	რა საჭიროა	რა საჭიროა პატარა საქმეზე გაბრაზება?
何况	მით უმეტეს	დღეს ცივა, მით უმეტეს წვიმს.
合法	კანონიერი	ეს ხელშეკრულება კანონიერია.
合理	გონივრული; სამართლიანი	ეს ფასი გონივრულია.
合同	ხელშეკრულება	მათ ხელშეკრულებას მოაწერეს ხელი.
合影	ჯგუფური ფოტო	დამთავრებისას ჯგუფური ფოტო გადავიღეთ.
合作	თანამშრომლობა	პროექტი თანამშრომლობით დავასრულეთ.
和平	მშვიდობა	ყველას მშვიდობა სურს.
核心	ბირთვი; საფუძველი	ნდობა თანამშრომლობის საფუძველია.
恨	სინანული; სიძულვილი	ის ნანობს, რომ უფრო ადრე არ იშრომა.
猴子	მაიმუნი	ზოოპარკში რამდენიმე მაიმუნია.
后背	ზურგი	მას ზურგი ცოტა სტკივა.
后果	შედეგი; შედეგები	შედეგებზე უნდა იფიქრო.
呼吸	სუნთქვა	გთხოვთ, ღრმად ისუნთქოთ.
忽然	უეცრად	ცა უეცრად დაბნელდა.
忽视	უგულებელყოფა	ეს პრობლემა უყურადღებოდ არ დატოვო.
壶	ჩაიდანი; სითხის ჭურჭელი	მაგიდაზე ერთი ჩაიდანი ჩაი დგას.
糊涂	დაბნეული	დღეს ცოტა დაბნეული ვარ.
胡说	სისულელის ლაპარაკი	სისულელეს ნუ ამბობ, ეს მართალი არ არის.
胡同	ვიწრო შესახვევი	პეკინში ბევრი ძველი ვიწრო შესახვევია.
蝴蝶	პეპელა	ბაღში ერთი პეპელაა.
花生	არაქისი	მას არაქისის ჭამა უყვარს.
华裔	ჩინური წარმოშობის	ის ჩინური წარმოშობის მწერალია.
滑	სრიალა; გლუვი	იატაკი სრიალაა, ფრთხილად იყავი.
划	ნიჩბის მოსმა	ნავში ჯდომისას ნიჩბების მოსმა მას ევალება.
化学	ქიმია	უნივერსიტეტში ქიმიას სწავლობდა.
话题	თემა	ეს თემა ძალიან საინტერესოა.
怀念	მონატრება	უნივერსიტეტის ცხოვრება ძალიან მენატრება.
怀孕	ორსულად ყოფნა	ის სამი თვის ორსულია.
缓解	შემსუბუქება	დასვენება სტრესს ამსუბუქებს.
幻想	ფანტაზია; ოცნება	ის ხშირად კოსმოსში მოგზაურობაზე ოცნებობს.
慌张	დაბნევა; პანიკა	პრობლემას რომ შეხვდები, პანიკაში ნუ ჩავარდები.
黄金	ოქრო	ოქროს ფასი ისევ გაიზარდა.
恢复	აღდგენა	მისი ჯანმრთელობა აღდგენის პროცესშია.
挥	ხელის დაქნევა	მან ხელი დააქნია.
灰	ნაცრისფერი	ცა ნაცრისფერია.
灰尘	მტვერი	მაგიდაზე ბევრი მტვერია.
灰心	გულის გატეხა	მარცხის შემთხვევაშიც გული არ გაიტეხო.
汇率	გაცვლითი კურსი	დღევანდელი გაცვლითი კურსი რამდენია?
婚礼	ქორწილი	მათი ქორწილი ძალიან უბრალო იყო.
婚姻	ქორწინება	ქორწინებას ურთიერთგაგება სჭირდება.
活跃	აქტიური	ის გაკვეთილზე ძალიან აქტიურია.
伙伴	პარტნიორი; თანამგზავრი	ის ჩემი საუკეთესო თანამგზავრია.
火柴	ასანთი	კოლოფში მხოლოდ ერთი ასანთი დარჩა.
或许	ალბათ; შესაძლოა	შესაძლოა, ხვალ იწვიმოს.
基本	ძირითადი	ეს ძირითადი მოთხოვნებია.
机器	მანქანა; მოწყობილობა	ეს მოწყობილობა გაფუჭდა.
激烈	მძაფრი; დაძაბული	შეჯიბრი ძალიან დაძაბული იყო.
肌肉	კუნთი	ვარჯიშის შემდეგ კუნთები ცოტა მტკივა.
及格	გამოცდის ჩაბარება	მან ეს გამოცდა ჩააბარა.
急忙	საჩქაროდ	ის საჩქაროდ გავარდა კლასიდან.
急诊	სასწრაფო დახმარების განყოფილება	პაციენტი სასწრაფო დახმარების განყოფილებაში გადაიყვანეს.
极其	უკიდურესად; ძალიან	ეს საკითხი უკიდურესად მნიშვნელოვანია.
集合	შეკრება	გთხოვთ, რვა საათზე შესასვლელთან შეიკრიბოთ.
集体	კოლექტიური; ჯგუფური	ეს ჯგუფური აქტივობაა.
集中	კონცენტრირება	გაკვეთილზე ყურადღება უნდა მოიკრიბო.
寂寞	მარტოსული	მარტო ცხოვრება ზოგჯერ ადამიანს მარტოსულად აგრძნობინებს.
系领带	ჰალსტუხის შეკვრა	ის ყოველდღე სამსახურში წასვლამდე ჰალსტუხს იკრავს.
纪录	რეკორდი	მან სკოლის რეკორდი მოხსნა.
纪律	დისციპლინა	კლასის დისციპლინა ძალიან მნიშვნელოვანია.
纪念	აღნიშვნა; ხსოვნა	ამ დღის სამახსოვროდ ფოტო გადავიღეთ.
计算	გამოთვლა	გთხოვთ, საერთო ხარჯი გამოთვალოთ.
记录	ჩაწერა	გთხოვთ, შეხვედრის შინაარსი ჩაიწეროთ.
记忆	მოგონება; მეხსიერება	ეს მოგონება ძალიან ძვირფასია.
嘉宾	საპატიო სტუმარი	დღევანდელი საპატიო სტუმარი მწერალია.
夹子	სამაგრი	გთხოვთ, დოკუმენტები სამაგრით დაამაგროთ.
家庭	ოჯახი	ოჯახი ბავშვებისთვის ძალიან მნიშვნელოვანია.
家务	საოჯახო საქმეები	შაბათ-კვირას საოჯახო საქმეები უნდა გავაკეთო.
家乡	მშობლიური ადგილი	მშობლიური ადგილი ძალიან მენატრება.
假如	თუ; თუკი	თუ ხვალ იწვიმებს, არ წავალთ.
假设	დავუშვათ; ვარაუდი	დავუშვათ, მასწავლებელი ხარ, რას იზამდი?
假装	თავის მოჩვენება	მან თავი მოაჩვენა, თითქოს არ გაუგონია.
甲	პირველი მხარე	პირველმა მხარემ თანხა დროულად უნდა გადაიხადოს.
价值	ღირებულება; ფასეულობა	ეს წიგნი ძალიან ღირებულია.
嫁	გათხოვება	ის მომავალ წელს შეყვარებულზე გათხოვდება.
驾驶	მართვა	მანქანის მართვისას ფრთხილად იყავი.
兼职	ნახევარ განაკვეთზე სამუშაო	ის საღამოს ნახევარ განაკვეთზე მუშაობს.
坚决	მტკიცე; კატეგორიული	ის ამ გადაწყვეტილებას კატეგორიულად არ ეთანხმება.
坚强	ძლიერი; გამძლე	ის ძლიერი ადამიანია.
肩膀	მხარი	მას მხარი დაუზიანდა.
艰巨	მძიმე; ძალიან რთული	ეს ძალიან რთული ამოცანაა.
艰苦	მძიმე; გაჭირვებული	მათ მძიმე ცხოვრება გამოიარეს.
剪刀	მაკრატელი	გთხოვთ, მაკრატელი მომაწოდოთ.
捡	აღება; აკრეფა	მან მიწიდან საფულე აიღო.
简历	რეზიუმე	სამსახურზე განაცხადის შეტანამდე რეზიუმე მოამზადე.
简直	უბრალოდ; პირდაპირ	ეს ამბავი უბრალოდ გამაოგნებელია.
健身	ვარჯიში; ფორმაში ყოფნა	ის კვირაში სამჯერ ვარჯიშობს.
建立	დამყარება; შექმნა	ჩვენ ახალი ურთიერთობა დავამყარეთ.
建设	მშენებლობა; აშენება	ქალაქის მშენებლობა სწრაფად ვითარდება.
建筑	შენობა; არქიტექტურა	ამ შენობას გამორჩეული თავისებურებები აქვს.
键盘	კლავიატურა	ჩემს კლავიატურას გაწმენდა სჭირდება.
讲究	ყურადღების მიქცევა; დახვეწილობა	ჩინელები საკვებს დიდ ყურადღებას აქცევენ.
讲座	ლექცია	დღეს საღამოს ჩინური ენის ლექციაა.
酱油	სოიოს სოუსი	კერძს ცოტა სოიოს სოუსი დაუმატე.
交换	გაცვლა	ჩვენ ტელეფონის ნომრები გავცვალეთ.
交际	ურთიერთობა; კომუნიკაცია	ენის სწავლისას ურთიერთობაც უნდა ივარჯიშო.
交往	ურთიერთობა; შეხვედრა	ისინი ორი წელია ერთმანეთს ხვდებიან.
浇	მორწყვა	გთხოვთ, ყვავილები ყოველდღე მორწყათ.
胶水	წებო	ფოტოს დასაწებებლად წებო გამოვიყენე.
狡猾	მზაკვარი; ეშმაკი	ის მელა ძალიან ეშმაკია.
角度	კუთხე; თვალსაზრისი	პრობლემას სხვა კუთხიდან შევხედოთ.
教材	სასწავლო მასალა; სახელმძღვანელო	ეს სახელმძღვანელო ძალიან პრაქტიკულია.
教练	მწვრთნელი	მწვრთნელი გვთხოვს, დროულად მივიდეთ.
教训	გაკვეთილი; ჭკუის სწავლება	ეს მარცხი გაკვეთილია.
接触	შეხება; გაცნობა	ჩინურ კულტურასთან ეს ჩემი პირველი შეხებაა.
接待	მიღება; დახვედრა	კომპანიამ სტუმრების მისაღებად ცალკე ადამიანი გამოყო.
接近	მიახლოება	გაზაფხულის დღესასწაული ახლოვდება.
结实	გამძლე; მტკიცე	ეს ჩემოდანი ძალიან გამძლეა.
阶段	ეტაპი	სწავლა სამ ეტაპად იყოფა.
结构	სტრუქტურა	ამ სტატიის სტრუქტურა ნათელია.
结合	შერწყმა; დაკავშირება	სწავლა პრაქტიკასთან უნდა იყოს შერწყმული.
结论	დასკვნა	მისი დასკვნა ძალიან დამაჯერებელია.
结账	ანგარიშის გადახდა	ჭამის შემდეგ ანგარიშის გადასახდელად წავედით.
节省	დაზოგვა	მეტროთი მგზავრობა დროს ზოგავს.
借口	საბაბი	საბაბების ძებნას თავი დაანებე.
届	გამოშვება; ჩატარების რიგი	ეს მესამე შეჯიბრია.
戒	თავის დანებება; გაფრთხილება	ექიმმა მას მოწევისთვის თავის დანებება ურჩია.
戒指	ბეჭედი	მას ერთი ბეჭედი უკეთია.
金属	ლითონი	რკინა ლითონის ერთ-ერთი სახეობაა.
尽快	რაც შეიძლება მალე	გთხოვთ, წერილს რაც შეიძლება მალე უპასუხოთ.
紧急	სასწრაფო; გადაუდებელი	ეს გადაუდებელი მდგომარეობაა.
谨慎	ფრთხილი	ინვესტიციამდე ფრთხილად უნდა იყო.
尽力	ყველა ღონის ხმარება	შენს დასახმარებლად ყველა ღონეს ვიხმარ.
尽量	შეძლებისდაგვარად	გთხოვთ, შეძლებისდაგვარად ადრე მიხვიდეთ.
近代	ახალი ხანა	ახალი ხანის ჩინეთში ბევრი ცვლილება მოხდა.
进步	წინსვლა; გაუმჯობესება	მისი ჩინური სწრაფად უმჯობესდება.
进口	იმპორტირებული	ეს მანქანა იმპორტირებულია.
精力	ენერგია	ბავშვებს ბევრი ენერგია აქვთ.
精神	სული; განწყობა	დღეს მას კარგი განწყობა აქვს.
经典	კლასიკა; კლასიკური	ეს კლასიკური ფილმია.
经商	ვაჭრობა; ბიზნესის კეთება	მისი მამა საზღვარგარეთ ბიზნესს ეწევა.
经营	მართვა; წარმოება	ის პატარა მაღაზიას მართავს.
酒吧	ბარი	საღამოს ისინი ბარში წავიდნენ.
救	გადარჩენა	ექიმმა მას სიცოცხლე გადაარჩინა.
救护车	სასწრაფო დახმარების მანქანა	სასწრაფო დახმარების მანქანა სწრაფად მოვიდა.
舅舅	დედის ძმა	ჩემი დედის ძმა ნანკინში ცხოვრობს.
居然	მოულოდნელად; თურმე	მან საკუთარი დაბადების დღეც კი დაივიწყა.
桔子	მანდარინი	მაგიდაზე რამდენიმე მანდარინია.
俱乐部	კლუბი	ის ცურვის კლუბში გაწევრიანდა.
具备	ქონა; ფლობა	მას მართვის გამოცდილება აქვს.
具体	კონკრეტული	გთხოვთ, ცოტა უფრო კონკრეტულად თქვათ.
巨大	უზარმაზარი	ამ პროექტს უზარმაზარი ინვესტიცია სჭირდება.
据说	როგორც ამბობენ	როგორც ამბობენ, ის უკვე სამშობლოში დაბრუნდა.
捐	შეწირვა; დონაცია	ყველა მზად არის ფული შესწიროს.
决赛	ფინალი	ხვალ ფეხბურთის ფინალია.
决心	მტკიცე გადაწყვეტილება	მან ჩინურის კარგად შესწავლის მტკიცე გადაწყვეტილება მიიღო.
绝对	აბსოლუტურად; აუცილებლად	ეს საქმე აბსოლუტურად არ უნდა დაგავიწყდეს.
角色	როლი	ის ფილმში მნიშვნელოვან როლს ასრულებს.
军事	სამხედრო	მას სამხედრო ისტორია ძალიან აინტერესებს.
均匀	თანაბარი	გთხოვთ, ფერი თანაბრად წაუსვათ.
卡车	სატვირთო მანქანა	შესასვლელთან ერთი სატვირთო მანქანა დგას.
开发	შემუშავება; განვითარება	კომპანია ახალ პროდუქტს ავითარებს.
开放	გახსნა	პარკი ყოველდღე დილის ექვს საათზე იხსნება.
开幕式	გახსნის ცერემონია	გახსნის ცერემონია ხვალ საღამოს გაიმართება.
开水	ადუღებული წყალი	გთხოვთ, ერთი ჭიქა ადუღებული წყალი მომეცით.
砍	მოჭრა; დაჭრა	მუშა ტოტებს ჭრის.
看不起	ზემოდან ყურება	არავის უყურო ზემოდან.
看望	მონახულება	შაბათ-კვირას ბებიასა და ბაბუას მოვინახულებ.
靠	მიყრდნობა	ის დასასვენებლად კედელს მიეყრდნო.
颗	პატარა მრგვალი საგნის სათვლელი სიტყვა	ღამის ცაზე ერთი ვარსკვლავია.
可见	ცხადია	ცხადია, ეს მეთოდი ეფექტურია.
可靠	სანდო	ის სანდო მეგობარია.
可怕	საშიში; შემზარავი	ეს სიზმარი ძალიან შემზარავი იყო.
克	გრამი	გთხოვთ, ორი გრამი მარილი დაამატოთ.
克服	დაძლევა	სირთულეები უნდა დავძლიოთ.
刻苦	ბეჯითი	ის ძალიან ბეჯითად სწავლობს.
客观	ობიექტური	გთხოვთ, პრობლემა ობიექტურად გააანალიზოთ.
课程	კურსი	ეს კურსი ძალიან სასარგებლოა.
空间	სივრცე	ამ ოთახში ბევრი სივრცეა.
控制	კონტროლი; გაკონტროლება	მძღოლმა მანქანის სიჩქარე გააკონტროლა.
空闲	თავისუფალი დრო	ხვალ შუადღის შემდეგ თავისუფალი დრო გაქვს?
口味	გემოვნება; გემო	მისი გემოვნება შედარებით მსუბუქია.
夸	შექება	მასწავლებელმა დიდი წინსვლისთვის შეაქო.
夸张	გაზვიადებული	მისი გამომეტყველება ცოტა გაზვიადებულია.
会计	ბუღალტერი	ის კომპანიაში ბუღალტრად მუშაობს.
宽	ფართო	ეს გზა ძალიან ფართოა.
昆虫	მწერი	ბავშვები მწერებს აკვირდებიან.
扩大	გაფართოება	სკოლა ბიბლიოთეკის გაფართოებას გეგმავს.
辣椒	მწარე წიწაკა	კერძში ბევრი მწარე წიწაკაა.
拦	გაჩერება; გზის გადაკეტვა	პოლიციამ ერთი მანქანა გააჩერა.
烂	დამპალი; გახრწნილი	ეს ვაშლი უკვე დამპალია.
朗读	ხმამაღლა კითხვა	გთხოვთ, ტექსტი ხმამაღლა წაიკითხოთ.
劳动	შრომა	შრომა ადამიანს სავსეობის განცდას აძლევს.
劳驾	უკაცრავად	უკაცრავად, მეტროს სადგური სად არის?
姥姥	დედის დედა	ჩემი დედის დედა ძალიან გემრიელად ამზადებს.
老百姓	უბრალო ხალხი	უბრალო ხალხს ცხოვრების ხარჯები აწუხებს.
老板	უფროსი; მეპატრონე	უფროსი დღეს ოფისში არ არის.
老婆	ცოლი	მან ცოლს ყვავილები უყიდა.
老实	პატიოსანი	ის პატიოსანი ადამიანია.
老鼠	თაგვი	სამზარეულოში ერთი თაგვია.
乐观	ოპტიმისტური	ის მომავალს ოპტიმისტურად უყურებს.
雷	ჭექა-ქუხილი	წუხელ ჭექა-ქუხილი ძალიან ხმამაღალი იყო.
类型	ტიპი; ჟანრი	ეს ფილმი რომელ ჟანრს ეკუთვნის?
冷淡	ცივი; გულგრილი	მისი დამოკიდებულება ცოტა ცივია.
厘米	სანტიმეტრი	ეს კალამი თხუთმეტი სანტიმეტრის სიგრძისაა.
梨	მსხალი	რამდენიმე მსხალი ვიყიდე.
离婚	განქორწინება	ისინი შარშან განქორწინდნენ.
理论	თეორია	ეს თეორია ძალიან რთულია.
理由	მიზეზი	დაგვიანებისთვის რა მიზეზი გაქვს?
利润	მოგება	ამ წელს კომპანიის მოგება გაიზარდა.
利息	პროცენტი	ბანკის პროცენტი მაღალი არ არის.
利益	ინტერესი; სარგებელი	ყველას ინტერესები უნდა დავიცვათ.
利用	გამოყენება	ის შაბათ-კვირას ჩინურის სასწავლად იყენებს.
力量	ძალა	ერთობა ძალაა.
立即	დაუყოვნებლივ	გთხოვთ, აქედან დაუყოვნებლივ წახვიდეთ.
立刻	მაშინვე	ამბის გაგების შემდეგ ის მაშინვე გაემგზავრა.
联合	გაერთიანება; ერთობლივი	ორმა კომპანიამ პროდუქტი ერთობლივად შეიმუშავა.
连忙	სწრაფად; სასწრაფოდ	ტელეფონის ზარის გაგონებისთანავე სწრაფად უპასუხა.
连续	ზედიზედ	მან ზედიზედ ათი საათი იმუშავა.
恋爱	სასიყვარულო ურთიერთობა	ისინი სასიყვარულო ურთიერთობაში არიან.
粮食	მარცვლეული; სურსათი	ამ წელს მარცვლეულის წარმოება გაიზარდა.
良好	კარგი; ხელსაყრელი	მას კარგი სასწავლო ჩვევები აქვს.
亮	ნათელი	ოთახში ნათურა ძალიან კაშკაშაა.
了不起	შესანიშნავი; არაჩვეულებრივი	მან შესანიშნავ შედეგებს მიაღწია.
列车	მატარებელი	მატარებელი მალე გავა.
临时	დროებითი	ეს დროებითი გადაწყვეტილებაა.
灵活	მოქნილი	სწავლის მეთოდები მოქნილი უნდა იყოს.
铃	ზარი	გაკვეთილის ზარი დაირეკა.
零件	ნაწილი; დეტალი	მანქანას ერთი დეტალი აკლია.
零食	წასახემსებელი	ბავშვებს წასახემსებლების ჭამა უყვართ.
领导	ხელმძღვანელი	ხელმძღვანელი შეხვედრაზეა.
领域	სფერო	ის განათლების სფეროში მუშაობს.
流传	გავრცელება; თაობიდან თაობას გადაცემა	ეს ამბავი დიდი ხანია გავრცელებულია.
流泪	ცრემლების ღვრა	ამ ამბის გაგონებაზე მას ცრემლები წამოუვიდა.
浏览	თვალიერება	ჯერ ვებგვერდს გადავხედავ.
龙	დრაკონი	ჩინურ კულტურაში დრაკონი არსებობს.
漏	გაჟონვა	სახურავიდან წვიმის წყალი ჟონავს.
录取	ჩარიცხვა	ის უნივერსიტეტში ჩაირიცხა.
录音	ხმის ჩაწერა	გთხოვთ, ხმის ჩაწერა დაიწყოთ.
陆地	ხმელეთი	ზღვის კუ ხმელეთზე ამოვიდა.
陆续	ერთმანეთის მიყოლებით	სტუმრები ერთმანეთის მიყოლებით მოვიდნენ.
轮流	მორიგეობით	კლასს მორიგეობით ვასუფთავებთ.
论文	ნაშრომი; თეზისი	ის სადიპლომო ნაშრომს წერს.
逻辑	ლოგიკა	მისი ლოგიკა ძალიან ნათელია.
落后	ჩამორჩენა	სხვებს არ უნდა ჩამოვრჩეთ.
骂	გალანძღვა	გთხოვთ, ბავშვს ნუ გალანძღავთ.
麦克风	მიკროფონი	გთხოვთ, მიკროფონი მას მიაწოდოთ.
馒头	ორთქლზე მომზადებული ფუნთუშა	საუზმეზე ერთი ორთქლზე მომზადებული ფუნთუშა შევჭამე.
满足	დაკმაყოფილება	ეს პასუხი მოთხოვნებს ვერ აკმაყოფილებს.
毛病	პრობლემა; ხარვეზი	ამ კომპიუტერს პატარა პრობლემა აქვს.
矛盾	წინააღმდეგობა; კონფლიქტი	მათ შორის გარკვეული წინააღმდეგობაა.
冒险	რისკზე წასვლა	იქ მარტო წასვლა ძალიან სარისკოა.
贸易	ვაჭრობა	საერთაშორისო ვაჭრობა სწრაფად ვითარდება.
媒体	მედია	მედიამ ეს ამბავი გააშუქა.
煤炭	ქვანახშირი	ამ რეგიონში ქვანახშირი იწარმოება.
眉毛	წარბი	მას სქელი წარბები აქვს.
美术	სახვითი ხელოვნება	ჩემს უმცროს დას სახვითი ხელოვნება უყვარს.
魅力	ხიბლი	ამ ქალაქს დიდი ხიბლი აქვს.
梦想	ოცნება	მისი ოცნება ექიმობაა.
密切	მჭიდრო	ჩვენ მჭიდრო კავშირს ვინარჩუნებთ.
秘密	საიდუმლო	ეს ჩვენი საიდუმლოა.
秘书	მდივანი	მდივანმა შეხვედრის დრო დაგეგმა.
蜜蜂	ფუტკარი	ყვავილებში ბევრი ფუტკარია.
面对	პირისპირ დადგომა	სირთულეებს მამაცურად უნდა შევხვდეთ.
面积	ფართობი	ამ ოთახის ფართობი დიდი არ არის.
面临	წინაშე დგომა	კომპანია ახალ გამოწვევებს აწყდება.
描写	აღწერა	ავტორმა სოფლის ცხოვრება აღწერა.
苗条	ტანადი; მოხდენილი	მას მოხდენილი სხეული აქვს.
敏感	მგრძნობიარე	ეს თემა შედარებით მგრძნობიარეა.
名牌	ცნობილი ბრენდი	მან ცნობილი ბრენდის საათი იყიდა.
名片	სავიზიტო ბარათი	გთხოვთ, ერთი სავიზიტო ბარათი მომეცით.
名胜古迹	ისტორიული და ღირსშესანიშნავი ადგილები	პეკინში ბევრი ისტორიული და ღირსშესანიშნავი ადგილია.
明确	ნათელი; გარკვეული	მასწავლებელმა მოთხოვნები ნათლად განმარტა.
明显	აშკარა	მისი წინსვლა აშკარაა.
明星	ვარსკვლავი; ცნობილი ადამიანი	მას კინოვარსკვლავობა სურს.
命令	ბრძანება	ჯარისკაცები ბრძანებას უნდა დაემორჩილონ.
命运	ბედი	მას სჯერა, რომ ბედის შეცვლა შეიძლება.
摸	შეხება	გთხოვთ, ამ ნახატს ნუ შეეხებით.
摩托车	მოტოციკლი	ის სამსახურში მოტოციკლით მიდის.
模仿	მიბაძვა	ბავშვებს უფროსების ლაპარაკის მიბაძვა უყვართ.
模糊	ბუნდოვანი	ეს ფოტო ცოტა ბუნდოვანია.
模特	მოდელი	ის ტანსაცმლის მოდელია.
陌生	უცნობი	ეს ქალაქი ჩემთვის ძალიან უცნობია.
某	რომელიღაც; გარკვეული	რომელიღაც მასწავლებელმა დამირეკა.
木头	ხე; მერქანი	ეს მაგიდა ხისგან არის გაკეთებული.
目标	მიზანი	ჩემი მიზანი გამოცდის ჩაბარებაა.
目录	სარჩევი	გთხოვთ, ჯერ წიგნის დასაწყისში სარჩევს შეხედოთ.
目前	ამჟამად	ამჟამად მდგომარეობა შედარებით სტაბილურია.
哪怕	თუნდაც	თუნდაც ძალიან დაკავებული იყოს, სწავლას მაინც აგრძელებს.
难怪	ამიტომაც; გასაკვირი არ არის	ამიტომაც ხარ დღეს ასეთი გახარებული.
难免	თავიდან ძნელი ასაცილებელი	პირველად გაკეთებისას შეცდომა ძნელი ასაცილებელია.
脑袋	თავი	მას თავი ცოტა სტკივა.
内部	შიდა	ეს კომპანიის შიდა მასალაა.
内科	თერაპიული განყოფილება	ის დღეს თერაპიულ განყოფილებაში მიდის.
嫩	ნაზი; რბილი	ეს ხორცის ნაჭერი ძალიან რბილია.
能干	უნარიანი	ის ძალიან უნარიანი ადამიანია.
能源	ენერგიის წყარო	მზის ენერგია სუფთა ენერგიის წყაროა.
嗯	ჰო; მმ	ჰო, გავიგე.
年代	წლები; ეპოქა	ეს ფოტო ოთხმოციან წლებშია გადაღებული.
年纪	ასაკი	ასაკით დიდი არ არის, მაგრამ დიდი გამოცდილება აქვს.
念	ხმამაღლა კითხვა	გთხოვთ, ტექსტი ერთხელ ხმამაღლა წაიკითხოთ.
宁可	უპირატესობის მინიჭება	ავტობუსის ლოდინს ფეხით სიარული მირჩევნია.
牛仔裤	ჯინსი	მას ჯინსი აცვია.
农村	სოფელი; სოფლის მხარე	ის სოფელში გაიზარდა.
农民	გლეხი; ფერმერი	ფერმერები მინდორში მუშაობენ.
农业	სოფლის მეურნეობა	სოფლის მეურნეობა ამ რეგიონისთვის ძალიან მნიშვნელოვანია.
浓	მუქი; ძლიერი	ეს ყავა ძალიან ძლიერია.
女士	ქალბატონი	ის ქალბატონი ავტობუსს ელოდება.
欧洲	ევროპა	ის მომავალ თვეში ევროპაში იმოგზაურებს.
偶然	შემთხვევით	ძველი თანაკლასელი შემთხვევით შევხვდი.
拍	ფოტოს გადაღება	გთხოვთ, ერთი ფოტო გადამიღოთ.
派	გაგზავნა	კომპანიამ ის შანხაიში მივლინებით გაგზავნა.
盼望	მოუთმენლად ლოდინი	შენთან მალე შეხვედრას მოუთმენლად ველი.
培训	ტრენინგი	ახალმა თანამშრომლებმა ტრენინგში უნდა მიიღონ მონაწილეობა.
培养	განვითარება; აღზრდა	სკოლა მოსწავლეების უნარების განვითარებას მნიშვნელობას ანიჭებს.
赔偿	კომპენსაცია	კომპანია ზარალის ანაზღაურებაზე დათანხმდა.
佩服	აღფრთოვანება	მისი სიმამაცით ძალიან აღფრთოვანებული ვარ.
配合	თანამშრომლობა; შეთანხმება	გთხოვთ, ყველამ მასწავლებლის გეგმას შეუწყოთ ხელი.
盆	ქოთანი; თასი	აივანზე ერთი ქოთანი ყვავილია.
碰	შეხება; დაჯახება	ფრთხილად, ცხელ წყალს არ შეეხო.
批	პარტია; ჯგუფი	საქონლის ეს პარტია დღეს მოვიდა.
批准	დამტკიცება	მენეჯერმა ეს გეგმა დაამტკიცა.
披	მოსხმა; მხრებზე მოხვევა	მას მოსასხამივით ქურთუკი ჰქონდა მოხვეული.
