hsk_key	source_word	simplified	KA	example_KA	HY	example_HY
2346:飞行员	飞行员	飞行员	მფრინავი	მისი ოცნება მფრინავად გახდომაა.	օդաչու	Նրա երազանքը օդաչու դառնալն է։
2347:非洲	非洲	非洲	აფრიკა	ის აფრიკის გარეულ ცხოველებს იკვლევს.	Աֆրիկա	Նա ուսումնասիրում է Աֆրիկայի վայրի կենդանիները։
2351:分类	分类	分类	დახარისხება; კლასიფიკაცია	ბიბლიოთეკა წიგნებს თემების მიხედვით ახარისხებს.	դասակարգել; տեսակավորել	Գրադարանը գրքերը դասակարգում է ըստ թեմայի։
2352:分离	分离	分离	გამოყოფა; დაშორება	მანქანას წყლისა და ზეთის გამოყოფა შეუძლია.	բաժանել; առանձնացնել	Մեքենան կարող է ջուրը և յուղը առանձնացնել։
2356:分享	分享	分享	გაზიარება	ის მზად არის მეგობრებს გამოცდილება გაუზიაროს.	կիսվել; բաժնեկցել	Նա պատրաստ է ընկերների հետ կիսվել փորձով։
2358:丰富多彩	丰富多彩	丰富多彩	მრავალფეროვანი; მდიდარი	უნივერსიტეტის ცხოვრება მრავალფეროვანია.	հարուստ և բազմազան	Համալսարանական կյանքը հարուստ և բազմազան է։
2367:福	福	福	ბედი; კურთხევა	გაზაფხულის დღესასწაულზე ხალხს ბედნიერების ნიშნის გაკვრა უყვარს.	բախտ; օրհնություն	Գարնան տոնի ժամանակ մարդիկ սիրում են փակցնել բախտի նշանը։
2371:付出	付出	付出	გაღება; ძალისხმევის ჩადება	წარმატებას ხანგრძლივი ძალისხმევა სჭირდება.	ներդնել; տալ	Հաջողությունը երկարատև ջանք է պահանջում։
2374:富有	富有	富有	მდიდარი; სავსე	ეს სტატია ემოციით არის სავსე.	հարուստ; լի	Այս հոդվածը լի է զգացմունքով։
2379:改天	改天	改天	სხვა დღეს	დღეს ძალიან დაკავებული ვართ, სხვა დღეს შევხვდეთ.	մեկ ուրիշ օր	Այսօր շատ զբաղված ենք, եկեք մեկ ուրիշ օր հանդիպենք։
2384:敢于	敢于	敢于	გაბედვა	მან თავისი აზრის გამოთქმა გაბედა.	համարձակվել	Նա համարձակվում է ասել իր կարծիքը։
2385:刚好	刚好	刚好	ზუსტად; სწორედ	სადგურში რომ მივედი, ავტობუსი ზუსტად მაშინ მოვიდა.	ճիշտ պահին; հենց	Երբ հասա կայարան, ավտոբուսը հենց այդ պահին եկավ։
2386:高大	高大	高大	მაღალი და დიდი	შესასვლელთან ორი მაღალი ხე დგას.	բարձր ու մեծ	Մուտքի մոտ երկու բարձր ծառ կա։
2388:高度	高度	高度	სიმაღლე; მაღალი დონე	ამ შენობის სიმაღლე ას მეტრს აღემატება.	բարձրություն; բարձր աստիճան	Այս շենքի բարձրությունը գերազանցում է հարյուր մետրը։
2390:高科技	高科技	高科技	მაღალი ტექნოლოგია	მაღალი ტექნოლოგიის პროდუქტები ცხოვრებას უფრო მოსახერხებელს ხდის.	բարձր տեխնոլոգիա	Բարձր տեխնոլոգիաների արտադրանքները կյանքը ավելի հարմար են դարձնում։
2391:高效	高效	高效	ეფექტიანი	ეს მეთოდი მარტივიც არის და ეფექტიანიც.	արդյունավետ	Այս մեթոդը պարզ է և արդյունավետ։
2394:歌词	歌词	歌词	სიმღერის ტექსტი	ამ სიმღერის ტექსტი ძალიან მომწონს.	երգի բառեր	Ինձ շատ են դուր գալիս այս երգի բառերը։
2395:歌曲	歌曲	歌曲	სიმღერა	ეს სიმღერა ინტერნეტში ძალიან პოპულარულია.	երգ	Այս երգը համացանցում շատ սիրված է։
2396:隔	隔	隔	გამოყოფა; დაშორება	ჩემს სახლსა და სკოლას შორის ერთი მდინარეა.	բաժանել; հեռու լինել	Իմ տունը և դպրոցը իրարից բաժանված են մի գետով։
2399:各行各业	各行各业	各行各业	ყველა სფერო; ყველა პროფესია	ყველა სფეროს სერიოზული და პასუხისმგებელი ადამიანები სჭირდება.	բոլոր ոլորտներ; բոլոր մասնագիտություններ	Բոլոր ոլորտներին պետք են լուրջ և պատասխանատու մարդիկ։
2405:更换	更换	更换	შეცვლა; ჩანაცვლება	კონდიციონერის ფილტრი რეგულარულად უნდა შეიცვალოს.	փոխել; փոխարինել	Օդորակիչի զտիչը պետք է պարբերաբար փոխել։
2408:工程	工程	工程	პროექტი; საინჟინრო საქმე	ამ პროექტის დასრულება მომავალ წელს იგეგმება.	նախագիծ; ինժեներական աշխատանք	Այս նախագիծը նախատեսվում է ավարտել հաջորդ տարի։
2413:公务员	公务员	公务员	სახელმწიფო მოხელე	დამთავრების შემდეგ მან სახელმწიფო სამსახურის გამოცდა ჩააბარა.	պետական ծառայող	Ավարտելուց հետո նա անցավ պետական ծառայության քննությունը։
2416:工艺	工艺	工艺	ხელობა; ტექნიკა	ეს ტრადიციული ხელობა მრავალი წელია გადაეცემა.	արհեստ; տեխնիկա	Այս ավանդական արհեստը փոխանցվել է շատ տարիներ։
2419:共享	共享	共享	საერთო გამოყენება; გაზიარება	ამ ქალაქში ბევრი საერთო ველოსიპედია.	համատեղ օգտագործել; կիսել	Այս քաղաքում շատ ընդհանուր օգտագործման հեծանիվներ կան։
2422:古	古	古	უძველესი; ძველი	ამ ხიდმა უძველესი დროის იერი შეინარჩუნა.	հին; հնագույն	Այս կամուրջը պահպանել է հին ժամանակների տեսքը։
2423:鼓	鼓	鼓	დოლი	ბავშვებმა დოლის ხმა რომ გაიგეს, მაშინვე გამოიქცნენ.	թմբուկ	Երեխաները թմբուկի ձայնը լսելուն պես վազեցին մոտ։
2425:古老	古老	古老	უძველესი; ძველი	ეს უძველესი ქალაქი ბევრ ტურისტს იზიდავს.	հնագույն; հին	Այս հնագույն քաղաքը գրավում է շատ զբոսաշրջիկների։
2430:怪	怪	怪	უცნაური; დადანაშაულება	დღეს ამინდი ცოტა უცნაურია.	տարօրինակ; մեղադրել	Այսօր եղանակը մի քիչ տարօրինակ է։
2438:光线	光线	光线	სინათლე; განათება	ოთახში სინათლე ძალიან სუსტია, ამიტომ კითხვა არ არის მოსახერხებელი.	լույս; լուսավորություն	Սենյակի լուսավորությունը շատ թույլ է, կարդալու համար հարմար չէ։
2439:广	广	广	ფართო	მისი ინტერესები ძალიან ფართოა.	լայն	Նրա հետաքրքրությունները շատ լայն են։
2446:贵姓	贵姓	贵姓	თქვენი გვარი	უკაცრავად, თქვენი გვარი როგორ არის?	Ձեր ազգանունը	Ներեցեք, ի՞նչ է Ձեր ազգանունը։
2447:柜子	柜子	柜子	კარადა; კაბინეტი	ყველა დოკუმენტი კარადაში დევს.	պահարան	Փաստաթղթերը բոլորը պահարանում են։
2450:国画	国画	国画	ტრადიციული ჩინური ფერწერა	ბაბუას ტრადიციული ჩინური ნახატების ხატვა უყვარს.	ավանդական չինական նկարչություն	Պապիկը սիրում է նկարել ավանդական չինական նկարներ։
2451:国庆	国庆	国庆	ეროვნული დღესასწაული	ეროვნული დღესასწაულის არდადეგებზე ჰანჯოუში წავედით.	Ազգային տոն	Ազգային տոնի արձակուրդին մենք գնացինք Հանչժոու։
2461:海外	海外	海外	საზღვარგარეთ; უცხოეთში	ამ კომპანიას საზღვარგარეთ ბევრი კლიენტი ჰყავს.	արտերկրում; արտասահմանյան	Այս ընկերությունը արտերկրում շատ հաճախորդներ ունի։
2463:含	含	含	შეიცავს; პირში დაჭერა	ეს სასმელი ბევრ შაქარს შეიცავს.	պարունակել; բերանում պահել	Այս ըմպելիքը շատ շաքար է պարունակում։
2464:含量	含量	含量	შემცველობა; რაოდენობა	ამ ხილში ვიტამინის შემცველობა მაღალია.	պարունակություն; քանակ	Այս մրգի վիտամինի պարունակությունը բարձր է։
2465:含有	含有	含有	შეიცავს	რძე მდიდარ საკვებ ნივთიერებებს შეიცავს.	պարունակել	Կաթը հարուստ սննդանյութեր է պարունակում։
2466:汗水	汗水	汗水	ოფლი	სპორტსმენის ოფლმა ტანსაცმელი დაასველა.	քրտինք	Մարզիկի քրտինքը թրջել էր հագուստը։
2467:行	行	行	სფერო; პროფესია	ის კვების მომსახურების სფეროში ათი წელია მუშაობს.	ոլորտ; մասնագիտություն	Նա սննդի սպասարկման ոլորտում աշխատել է տասը տարի։
2469:好评	好评	好评	დადებითი შეფასება; კარგი შეფასება	ამ რესტორანმა ბევრი დადებითი შეფასება მიიღო.	դրական գնահատական; լավ կարծիք	Այս ռեստորանը շատ դրական գնահատականներ է ստացել։
2470:好运	好运	好运	იღბალი; წარმატება	გამოცდაზე წარმატებას გისურვებ.	հաջողություն; բարի բախտ	Քեզ հաջողություն եմ մաղթում քննության ժամանակ։
2471:好转	好转	好转	გაუმჯობესება	მკურნალობის შემდეგ მისი მდგომარეობა გაუმჯობესებას იწყებს.	լավանալ; բարելավվել	Բուժումից հետո նրա վիճակը սկսեց լավանալ։
2474:合	合	合	დახურვა; შეერთება; მორგება	გთხოვთ წიგნი დახუროთ და მომისმინოთ.	փակել; միացնել; համապատասխանել	Խնդրում եմ փակեք գիրքը և լսեք ինձ։
2476:盒饭	盒饭	盒饭	კოლოფში ჩადებული სადილი	შუადღეს სადგურში კოლოფში ჩადებული სადილი ვიყიდეთ.	տուփով ճաշ	Կեսօրին կայարանում տուփով ճաշ գնեցինք։
2478:河流	河流	河流	მდინარე	ეს მდინარე სამ ქალაქზე გადის.	գետ	Այս գետը անցնում է երեք քաղաքով։
2485:厚度	厚度	厚度	სისქე	ამ მინის სისქე ხუთი მილიმეტრია.	հաստություն	Այս ապակու հաստությունը հինգ միլիմետր է։
2489:湖	湖	湖	ტბა	ტბის პირას ბევრი ადამიანი სეირნობს.	լիճ	Լճի ափին շատ մարդիկ զբոսնում են։
2492:互动	互动	互动	ურთიერთქმედება; ჩართულობა	გაკვეთილზე ურთიერთქმედება სტუდენტებს უფრო აქტიურს ხდის.	փոխազդեցություն; շփում	Դասարանում փոխազդեցությունը ուսանողներին ավելի ակտիվ է դարձնում։
2493:户外	户外	户外	გარეთ; ღია ცის ქვეშ	შაბათ-კვირას გარეთ მთაზე ავედით.	բացօթյա; դրսում	Հանգստյան օրերին մենք դրսում լեռ բարձրացանք։
2494:花费	花费	花费	დახარჯვა; ღირებულება	ამ მანქანის შეკეთება საკმაოდ ძვირი დაჯდა.	ծախսել; արժենալ	Այս մեքենան վերանորոգելը բավական շատ գումար արժեցավ։
2497:化	化	化	დნობა; გარდაქმნა	ყინული მზეზე ნელა დადნა.	հալվել; փոխվել	Սառույցը արևի տակ դանդաղ հալվեց։
2498:话费	话费	话费	ტელეფონის ხარჯი; ზარის ბალანსი	ამ თვეში ჩემი ტელეფონის ხარჯი ცოტა მაღალია.	հեռախոսի վճար; խոսակցության գումար	Այս ամիս իմ հեռախոսի վճարը մի քիչ բարձր է։
2499:画面	画面	画面	კადრი; გამოსახულება	ფილმში ეს კადრი ძალიან ამაღელვებელია.	կադր; պատկեր	Ֆիլմի այս կադրը շատ հուզիչ է։
2504:缓慢	缓慢	缓慢	ნელი	მოხუცი შედარებით ნელა დადის.	դանդաղ	Տարեց մարդը քայլում է բավական դանդաղ։
2505:黄瓜	黄瓜	黄瓜	კიტრი	ცივი კიტრის სალათი ძალიან გამაგრილებელი წასახემსებელია.	վարունգ	Սառը վարունգի աղցանը շատ թարմացնող նախուտեստ է։
2510:灰色	灰色	灰色	ნაცრისფერი	მას ნაცრისფერი პალტო აცვია.	մոխրագույն	Նա մոխրագույն վերարկու է հագել։
2514:伙	伙	伙	ჯგუფი; ბანდა	ახალგაზრდების ერთი ჯგუფი შესასვლელთან საუბრობდა.	խումբ; խմբակ	Երիտասարդների մի խումբ մուտքի մոտ զրուցում էր։
2516:火锅	火锅	火锅	ჰოთფოთი; ცხელი ქვაბის კერძი	ზამთარში ჰოთფოთის ჭამა ძალიან სასიამოვნოა.	հոթփոթ; տաք կաթսայի ուտեստ	Ձմռանը հոթփոթ ուտելը շատ հաճելի է։
2517:或是	或是	或是	ან; ანდა	შეგიძლია მეტროთი წახვიდე ან ტაქსი აიყვანო.	կամ; կամ թե	Դու կարող ես մետրոյով գնալ կամ տաքսի նստել։
2518:货物	货物	货物	საქონელი; ტვირთი	საწყობი საქონლით არის სავსე.	ապրանք; բեռ	Պահեստը լի է ապրանքներով։
2523:机器人	机器人	机器人	რობოტი	ეს რობოტი ადამიანებს საკვების მიტანაში ეხმარება.	ռոբոտ	Այս ռոբոտը կարող է օգնել մարդկանց ուտելիք հասցնել։
2525:及	及	及	და; აგრეთვე	შეხვედრაზე უსაფრთხოებისა და მომსახურების საკითხები განიხილეს.	և; ինչպես նաև	Ժողովում քննարկվեցին անվտանգության և ծառայության հարցերը։
2526:级	级	级	დონე; კლასი	ახლა მას ჩინურის საშუალო დონე აქვს.	մակարդակ; դասարան	Նա հիմա չինարենի միջին մակարդակ ունի։
2527:集	集	集	სერია; კრებული	ამ დოკუმენტურ ფილმს სულ ექვსი სერია აქვს.	սերիա; հավաքածու	Այս վավերագրական ֆիլմը ընդհանուր առմամբ ունի վեց սերիա։
2535:急需	急需	急需	სასწრაფოდ საჭიროება	სტიქიის ზონას სასწრაფოდ სჭირდება საკვები და წამლები.	շտապ կարիք ունենալ	Աղետի գոտին շտապ սննդի և դեղորայքի կարիք ունի։
2538:挤	挤	挤	შეჭყლეტა; ხალხმრავლობა	მეტროში ხალხი ძალიან ბევრი იყო და ყველა ერთმანეთს ეკვროდა.	սեղմել; խցկվել	Մետրոյում մարդիկ շատ էին, և բոլորը խցկվել էին իրար մոտ։
2539:系	系	系	შეკვრა; მიბმა	გასვლამდე გთხოვ ფეხსაცმლის თასმები შეიკრა.	կապել; ամրացնել	Դուրս գալուց առաջ խնդրում եմ կապիր կոշիկի քուղերը։
2543:纪录片	纪录片	纪录片	დოკუმენტური ფილმი	ეს დოკუმენტური ფილმი ჩინეთის ჩაის კულტურას აცნობს.	վավերագրական ֆիլմ	Այս վավերագրական ֆիլմը ներկայացնում է Չինաստանի թեյի մշակույթը։
2544:技能	技能	技能	უნარი	ახალი უნარის შესწავლას დრო სჭირდება.	հմտություն	Նոր հմտություն սովորելը ժամանակ է պահանջում։
2546:纪念日	纪念日	纪念日	წლისთავი; საიუბილეო დღე	დღეს მათი ქორწინების მეათე წლისთავია.	տարեդարձ; հիշատակի օր	Այսօր նրանց ամուսնության տասներորդ տարեդարձն է։
2548:计算机	计算机	计算机	კომპიუტერი	სკოლამ კომპიუტერების ახალი პარტია იყიდა.	համակարգիչ	Դպրոցը համակարգիչների նոր խմբաքանակ գնեց։
2552:家电	家电	家电	საყოფაცხოვრებო ტექნიკა	ეს მაღაზია მხოლოდ საყოფაცხოვრებო ტექნიკას ყიდის.	կենցաղային տեխնիկա	Այս խանութը մասնագիտանում է կենցաղային տեխնիկայի վաճառքի մեջ։
2554:加热	加热	加热	გაცხელება	საჭმელი გაცივდა და ხელახლა გათბობა სჭირდება.	տաքացնել	Ուտելիքը սառն է, պետք է նորից տաքացնել։
2555:加深	加深	加深	გაღრმავება	ამ საუბარმა ჩვენი გაგება გააღრმავა.	խորացնել	Այս զրույցը խորացրեց մեր փոխըմբռնումը։
2556:加速	加速	加速	აჩქარება	ახალი პოლიტიკა ქალაქის განვითარებას დააჩქარებს.	արագացնել	Նոր քաղաքականությունը կարագացնի քաղաքի զարգացումը։
2560:架	架	架	ჩარჩო; თარო; სათვლელი სიტყვა	წიგნების თარო ძველი წიგნებით არის სავსე.	շրջանակ; դարակ; հաշվիչ բառ	Գրապահարանը լի է հին գրքերով։
2562:驾照	驾照	驾照	მართვის მოწმობა	მან მართვის მოწმობა შარშან აიღო.	վարորդական իրավունք	Նա անցյալ տարի վարորդական իրավունք ստացավ։
2567:剪	剪	剪	მაკრატლით გაჭრა	მან შეფუთვა მაკრატლით გაჭრა.	մկրատով կտրել	Նա մկրատով կտրեց փաթեթավորումը։
2572:建	建	建	აშენება	სოფელი ახალი სკოლის აშენებას აპირებს.	կառուցել	Գյուղը պատրաստվում է նոր դպրոց կառուցել։
2573:键	键	键	კლავიში; ღილაკი	კომპიუტერის კლავიატურაზე ერთი ღილაკი გაფუჭდა.	ստեղն; կոճակ	Համակարգչի ստեղնաշարի մի ստեղնը փչացել է։
2574:渐渐	渐渐	渐渐	ნელ-ნელა; თანდათან	ცა თანდათან დაბნელდა.	աստիճանաբար	Երկինքը աստիճանաբար մթնեց։
2578:建造	建造	建造	აშენება; აგება	ამ ხიდის აშენებას სამი წელი დასჭირდა.	կառուցել	Այս կամուրջը կառուցելու համար երեք տարի պահանջվեց։
2581:讲话	讲话	讲话	საუბარი; სიტყვით გამოსვლა	ხელმძღვანელი სცენაზე სიტყვით გამოდის.	խոսել; ելույթ	Ղեկավարը բեմում ելույթ է ունենում։
2584:讲述	讲述	讲述	მოყოლა; გადმოცემა	ეს წიგნი ნამდვილ ამბავს მოგვითხრობს.	պատմել; ներկայացնել	Այս գիրքը պատմում է իրական պատմություն։
2586:降水	降水	降水	ნალექი	ამ კვირაში ნალექი აშკარად გაიზარდა.	տեղումներ	Այս շաբաթ տեղումները նկատելիորեն ավելացել են։
2591:脚步	脚步	脚步	ნაბიჯი; ფეხის ხმა	კარის გარედან აჩქარებული ნაბიჯების ხმა მოვიდა.	քայլ; ոտնաձայն	Դռան դրսից արագ ոտնաձայն լսվեց։
2593:较	较	较	შედარებით	ეს გეგმა შედარებით გონივრულია.	համեմատաբար	Այս ծրագիրը համեմատաբար խելամիտ է։
2599:接收	接收	接收	მიღება; ჩაბარება	საფოსტო ყუთმა ფაილი უკვე მიიღო.	ստանալ; ընդունել	Փոստարկղը արդեն ստացել է ֆայլը։
2600:结	结	结	კვანძი; შეკვრა	მან თოკზე ერთი კვანძი გააკეთა.	հանգույց; կազմել	Նա պարանի վրա մի հանգույց կապեց։
2606:今日	今日	今日	დღეს	დღევანდელი შეხვედრა უკვე გაუქმდა.	այսօր	Այսօրվա ժողովը արդեն չեղարկվել է։
2607:紧	紧	紧	მჭიდრო; დაძაბული	ჩემოდანი ზედმეტად სავსეა და სახურავი ძალიან მჭიდროდ იხურება.	ամուր; լարված	Ճամպրուկը շատ լիքն է, և կափարիչը շատ ամուր է փակված։
2611:紧密	紧密	紧密	მჭიდრო; ახლო	ორი განყოფილება მჭიდრო თანამშრომლობას ინარჩუნებს.	սերտ; ամուր	Երկու բաժինները պահպանում են սերտ համագործակցություն։
2617:近年来	近年来	近年来	ბოლო წლებში	ბოლო წლებში ეს ქალაქი ძალიან შეიცვალა.	վերջին տարիներին	Վերջին տարիներին այս քաղաքը շատ է փոխվել։
2618:近期	近期	近期	უახლოეს პერიოდში	უახლოეს პერიოდში ახალ განრიგს გამოვაცხადებთ.	մոտ ժամանակներս; վերջին շրջանում	Մոտ ժամանակներս մենք կհայտարարենք նոր դասավորությունը։
2619:近日	近日	近日	ამ დღეებში; ბოლო დროს	ამ დღეებში ტემპერატურა აშკარად დაეცა.	վերջերս; առաջիկա օրերին	Վերջերս ջերմաստիճանը նկատելիորեն իջել է։
2620:进一步	进一步	进一步	შემდგომ; კიდევ ერთი ნაბიჯით	მხარეები თანამშრომლობის დეტალებს შემდგომ განიხილავენ.	ավելի առաջ; հետագայում	Երկու կողմերը հետագայում կքննարկեն համագործակցության մանրամասները։
2624:惊喜	惊喜	惊喜	სასიამოვნო სიურპრიზი	მეგობრებმა მას სიურპრიზი მოუმზადეს.	հաճելի անակնկալ	Ընկերները նրա համար հաճելի անակնկալ էին պատրաստել։
2626:静	静	静	მშვიდი; ჩუმი	ღამე გვიან ქუჩა ძალიან ჩუმია.	հանգիստ; լուռ	Ուշ գիշերին փողոցը շատ լուռ է։
2628:久远	久远	久远	შორეული; დიდი ხნის წინანდელი	ეს ლეგენდა შორეული ეპოქიდან მოდის.	հեռավոր; վաղեմի	Այս լեգենդը գալիս է հեռավոր դարաշրջանից։
2635:橘子	橘子	橘子	მანდარინი	მან ერთი ტომარა ახალი მანდარინი იყიდა.	մանդարին	Նա մի տոպրակ թարմ մանդարին գնեց։
2636:据	据	据	მიხედვით; საფუძველზე	ამინდის პროგნოზის მიხედვით, ხვალ იწვიმებს.	ըստ; հիմնված	Ըստ եղանակի կանխատեսման՝ վաղը անձրև է գալու։
2637:距	距	距	დაშორება; მანძილი	სკოლა სადგურიდან დაახლოებით ორი კილომეტრით არის დაშორებული.	հեռու լինել; հեռավորություն	Դպրոցը կայարանից մոտ երկու կիլոմետր հեռու է։
2639:剧场	剧场	剧场	თეატრი	ახალი თეატრი მომავალ კვირას ოფიციალურად გაიხსნება.	թատրոն	Նոր թատրոնը պաշտոնապես կբացվի հաջորդ շաբաթ։
2643:具有	具有	具有	ქონა; ფლობა	ამ წიგნს მაღალი საცნობარო ღირებულება აქვს.	ունենալ; օժտված լինել	Այս գիրքն ունի բարձր տեղեկատու արժեք։
2651:开幕	开幕	开幕	გახსნა; დაწყება	კინოფესტივალი დღეს საღამოს ოფიციალურად იხსნება.	բացվել; սկսել	Կինոփառատոնը այս երեկո պաշտոնապես բացվում է։
2654:开通	开通	开通	გახსნა; სერვისის ამოქმედება	ეს მეტროს ხაზი ხვალ ამოქმედდება.	բացել; գործարկել ծառայություն	Մետրոյի այս գիծը վաղը կգործարկվի։
2655:开业	开业	开业	ბიზნესის გახსნა	ახალი წიგნის მაღაზია მომავალ კვირას გაიხსნება.	բացվել բիզնեսի համար	Նոր գրախանութը հաջորդ շաբաթ կբացվի։
2659:看作	看作	看作	ჩათვლა; მიჩნევა	ყველა მას გუნდის ბირთვად მიიჩნევს.	համարել; դիտել որպես	Բոլորը նրան համարում են թիմի առանցքը։
2661:靠近	靠近	靠近	მიახლოება; ახლოს ყოფნა	გთხოვთ სახიფათო ზონას არ მიუახლოვდეთ.	մոտենալ; մոտ լինել	Խնդրում ենք չմոտենալ վտանգավոր տարածքին։
2663:科研	科研	科研	სამეცნიერო კვლევა	ეს უნივერსიტეტი სამეცნიერო კვლევას დიდ მნიშვნელობას ანიჭებს.	գիտական հետազոտություն	Այս համալսարանը մեծ կարևորություն է տալիս գիտական հետազոտությանը։
2668:客服	客服	客服	კლიენტთა მომსახურება	შეკვეთის პრობლემის მოსაგვარებლად კლიენტთა მომსახურებას დავუკავშირდი.	հաճախորդների սպասարկում	Պատվերի խնդիրը լուծելու համար կապվեցի հաճախորդների սպասարկման հետ։
2672:空中	空中	空中	ჰაერში	ქაღალდის ფრანი ჰაერში მაღლა დაფრინავს.	օդում	Օդապարիկը բարձր է թռչում օդում։
2674:口袋	口袋	口袋	ჯიბე	მან გასაღები ჯიბეში ჩაიდო.	գրպան	Նա բանալին դրեց գրպանը։
2676:库	库	库	საწყობი; მონაცემთა ბაზა	კომპანიამ მასალები მონაცემთა ბაზაში შეინახა.	պահեստ; տվյալների բազա	Ընկերությունը նյութերը պահեց տվյալների բազայում։
2678:宽度	宽度	宽度	სიგანე	ამ მაგიდის სიგანე ერთი მეტრია.	լայնություն	Այս սեղանի լայնությունը մեկ մետր է։
2679:亏	亏	亏	ზარალის ნახვა; ნაკლებობა	ამ მაღაზიამ გასულ თვეში ბევრი ფული დაკარგა.	վնաս կրել; պակաս լինել	Այս խանութը անցյալ ամիս բավական շատ գումար կորցրեց։
2686:老公	老公	老公	ქმარი	მისმა ქმარმა დღეს გვიანობამდე ზეგანაკვეთურად იმუშავა.	ամուսին	Նրա ամուսինը այսօր մինչև ուշ ժամ աշխատեց։
2689:姥爷	姥爷	姥爷	დედის მამა; პაპა	ბავშვობაში ზაფხულის არდადეგებს ხშირად დედის მამის სახლში ვატარებდი.	մոր հայր; պապիկ	Փոքր ժամանակ ես հաճախ ամառային արձակուրդն անցկացնում էի մորական պապիկիս տանը։
2692:泪	泪	泪	ცრემლი	ამ ამბის გაგების შემდეგ მას ცრემლი ჩამოუვარდა.	արցունք	Լուրը լսելուց հետո նրա աչքերից արցունքներ հոսեցին։
2693:类	类	类	კატეგორია; სახეობა	ასეთი ტიპის პრობლემას სერიოზულად უნდა მიუდგე.	տեսակ; կատեգորիա	Այս տեսակի խնդիրը պետք է ուշադիր լուծել։
2694:泪水	泪水	泪水	ცრემლები	ცრემლები მის სახეზე ჩამოდიოდა.	արցունքներ	Արցունքները հոսում էին նրա դեմքով։
2700:离职	离职	离职	სამსახურიდან წასვლა	ის მომავალ თვეში სამსახურიდან წასვლას აპირებს.	աշխատանքից հեռանալ; հրաժարվել աշխատանքից	Նա հաջորդ ամիս պատրաստվում է աշխատանքից հեռանալ։
2702:里头	里头	里头	შიგნით	ყუთის შიგნით ერთი წერილი დევს.	ներսում	Տուփի ներսում մի նամակ կա։
2704:力	力	力	ძალა	ერთი ადამიანის ძალა შეზღუდულია, გუნდი უფრო მნიშვნელოვანია.	ուժ	Մեկ մարդու ուժը սահմանափակ է, թիմը ավելի կարևոր է։
2712:连接	连接	连接	დაკავშირება	ეს გზა ორ ურბანულ უბანს აკავშირებს.	միացնել; կապել	Այս ճանապարհը միացնում է երկու քաղաքային շրջան։
2715:脸色	脸色	脸色	სახის ფერი; გამომეტყველება	მისი სახის ფერი კარგად არ გამოიყურება, ალბათ დაიღალა.	դեմքի գույն; արտահայտություն	Նրա դեմքի գույնը այնքան էլ լավ չէ, հավանաբար հոգնել է։
2719:量	量	量	რაოდენობა; მოცულობა	ამჯერად საშინაო დავალების რაოდენობა ცოტა დიდია.	քանակ; ծավալ	Այս անգամ տնային աշխատանքի քանակը մի քիչ մեծ է։
2725:领	领	领	მიღება; საყელო	გთხოვთ შეხვედრის მასალების მისაღებად მისაღებში მიხვიდეთ.	ստանալ; օձիք	Խնդրում ենք գնալ ընդունարան և ստանալ ժողովի նյութերը։
2726:领带	领带	领带	ჰალსტუხი	მას დღეს ლურჯი ჰალსტუხი უკეთია.	փողկապ	Նա այսօր կապույտ փողկապ է կրել։
2728:领取	领取	领取	მიღება; წამოღება	სტუდენტებს შეუძლიათ საბუთით სახელმძღვანელოების მიღება.	ստանալ; վերցնել	Ուսանողները կարող են փաստաթղթով ստանալ դասագրքերը։
2731:令	令	令	გამოწვევა; გაკეთებინება	ამ შედეგმა ყველა ძალიან კმაყოფილი დატოვა.	ստիպել; պատճառ դառնալ	Այս արդյունքը բոլորին շատ գոհացրեց։
2733:流感	流感	流感	გრიპი	ბოლო დროს გრიპი საკმაოდ სერიოზულია.	գրիպ	Վերջերս գրիպը բավական լուրջ է։
2735:留言	留言	留言	შეტყობინების დატოვება; შეტყობინება	თუ ადგილზე არ ვარ, გთხოვ შეტყობინება დამიტოვო.	հաղորդագրություն թողնել; հաղորդագրություն	Եթե ես տեղում չեմ, խնդրում եմ ինձ հաղորդագրություն թողնել։
2738:录	录	录	ჩაწერა	მასწავლებელმა ეს დიალოგი ჩაიწერა.	ձայնագրել; գրանցել	Ուսուցիչը ձայնագրեց այս զրույցը։
2741:路人	路人	路人	გამვლელი	რამდენიმე გამვლელი მოხუცს მანქანის გამოძახებაში დაეხმარა.	անցորդ	Մի քանի անցորդ տարեց մարդուն օգնեցին մեքենա կանչել։
2742:路线	路线	路线	მარშრუტი	გიდმა დღევანდელი მარშრუტი აგვიხსნა.	երթուղի	Ուղեկցորդը մեզ բացատրեց այսօրվա երթուղին։
2745:旅行社	旅行社	旅行社	ტურისტული სააგენტო	ბილეთები ტურისტული სააგენტოს საშუალებით დავჯავშნეთ.	տուրիստական գործակալություն	Մենք տոմսերը պատվիրեցինք տուրիստական գործակալության միջոցով։
2749:买卖	买卖	买卖	გარიგება; ბიზნესი	ამ გარიგებით ორივე მხარე კმაყოფილია.	գործարք; առևտուր	Այս գործարքից երկու կողմերն էլ գոհ են։
2752:毛笔	毛笔	毛笔	ჩინური კალიგრაფიის ფუნჯი	ბაბუა საგაზაფხულო წყვილწარწერებს ფუნჯით წერს.	չինական վրձին	Պապիկը գարնան տոնի զույգ գրությունները գրում է չինական վրձնով։
