simplified	FI	example_FI
家乡	kotikaupunki; kotiseutu	Kaipaan kotiseutuani todella paljon.
假如	jos; olettaen että	Jos huomenna sataa, emme mene.
假设	oletus; olettaa	Oletetaan, että olet opettaja. Mitä tekisit?
假装	esittää; teeskennellä	Hän teeskenteli, ettei kuullut.
甲	osapuoli A; ensimmäinen	Osapuolen A pitää maksaa ajoissa.
价值	arvo	Tämä kirja on hyvin arvokas.
嫁	mennä naimisiin	Hän menee ensi vuonna naimisiin poikaystävänsä kanssa.
驾驶	ajaa; ohjata	Aja varovasti autoa ajaessasi.
兼职	osa-aikatyö	Hän tekee iltaisin osa-aikatyötä.
坚决	päättäväinen; jyrkkä	Hän vastustaa tätä päätöstä jyrkästi.
坚强	vahva	Hän on vahva ihminen.
肩膀	olkapää	Hänen olkapäänsä on loukkaantunut.
艰巨	vaativa	Tämä on vaativa tehtävä.
艰苦	raskas; vaikea	He kokivat raskaan elämän.
剪刀	sakset	Ojenna minulle sakset.
捡	poimia	Hän poimi lompakon maasta.
简历	ansioluettelo	Valmistele ansioluettelo ennen työnhakua.
简直	suorastaan	Tämä uutinen on suorastaan järkyttävä.
健身	käydä kuntosalilla; treenata	Hän käy treenaamassa kolme kertaa viikossa.
建立	perustaa; luoda	Loimme uuden suhteen.
建设	rakentaminen	Kaupunkirakentaminen kehittyy nopeasti.
建筑	rakennus	Tällä rakennuksella on omaleimaisia piirteitä.
键盘	näppäimistö	Näppäimistöni pitää puhdistaa.
讲究	kiinnittää huomiota; olla tarkka	Kiinalaiset kiinnittävät paljon huomiota ruokaan.
讲座	luento	Tänä iltana on kiinan kielen luento.
酱油	soijakastike	Lisää ruokaan vähän soijakastiketta.
交换	vaihtaa	Vaihdoimme puhelinnumeroita.
交际	vuorovaikutus; sosiaalinen kanssakäyminen	Kieltä opiskellessa pitää harjoitella myös vuorovaikutusta.
交往	seurustella; olla tekemisissä	He ovat seurustelleet kaksi vuotta.
浇	kastella	Kastele kukat joka päivä.
胶水	liima	Kiinnitin valokuvan liimalla.
狡猾	ovela	Tuo kettu on hyvin ovela.
角度	kulma; näkökulma	Katsotaan ongelmaa toisesta näkökulmasta.
教材	oppimateriaali	Tämä oppikirja on hyvin käytännöllinen.
教练	valmentaja	Valmentaja vaatii meitä saapumaan ajoissa.
教训	opetus; läksy	Tämä epäonnistuminen oli opetus.
接触	kosketus; tutustua	Tämä on ensimmäinen kosketukseni kiinalaiseen kulttuuriin.
接待	vastaanottaa	Yritys järjesti erillisen henkilön ottamaan vieraat vastaan.
接近	lähestyä	Kevätjuhla lähestyy yhä enemmän.
结实	tukeva; kestävä	Tämä matkalaukku on hyvin kestävä.
阶段	vaihe	Opiskelu jaetaan kolmeen vaiheeseen.
结构	rakenne	Tämän artikkelin rakenne on selkeä.
结合	yhdistää	Opiskelu pitää yhdistää käytäntöön.
结论	johtopäätös	Hänen johtopäätöksensä on hyvin vakuuttava.
结账	maksaa lasku	Syötyämme menimme maksamaan laskun.
节省	säästää	Metrolla matkustaminen voi säästää aikaa.
借口	tekosyy	Älä enää keksi tekosyitä.
届	kerta; järjestyskerta	Tämä on kilpailun kolmas kerta.
戒	luopua; lopettaa	Lääkäri neuvoi häntä lopettamaan tupakoinnin.
戒指	sormus	Hänellä on sormus sormessaan.
金属	metalli	Rauta on eräänlainen metalli.
尽快	mahdollisimman pian	Vastaa sähköpostiin mahdollisimman pian.
紧急	hätätilanne; kiireellinen	Tämä on hätätilanne.
谨慎	varovainen	Ole varovainen ennen sijoittamista.
尽力	tehdä parhaansa	Teen parhaani auttaakseni sinua.
尽量	yrittää mahdollisimman paljon	Yritä saapua mahdollisimman aikaisin.
近代	uusi aika; moderni aika	Uuden ajan Kiinassa tapahtui paljon muutoksia.
进步	edistyä	Hänen kiinansa edistyy nopeasti.
进口	tuonti-; tuoda maahan	Tämä auto on tuotu ulkomailta.
精力	energia	Lapsilla on paljon energiaa.
精神	mieliala; henki	Hän on tänään hyvällä mielellä.
经典	klassikko; klassinen	Tämä on klassikkoelokuva.
经商	harjoittaa liiketoimintaa	Hänen isänsä harjoittaa liiketoimintaa ulkomailla.
经营	pyörittää; johtaa	Hän pyörittää pientä kauppaa.
酒吧	baari	Illalla he menivät baariin.
救	pelastaa	Lääkäri pelasti hänen henkensä.
救护车	ambulanssi	Ambulanssi saapui nopeasti.
舅舅	äidin veli	Äitini veli asuu Nanjingissa.
居然	yllättäen; jopa	Hän jopa unohti oman syntymäpäivänsä.
桔子	mandariini	Pöydällä on muutama mandariini.
俱乐部	klubi; kerho	Hän liittyi uimakerhoon.
具备	omata; olla hallussa	Hänellä on johtamiskokemusta.
具体	konkreettinen; tarkka	Sano se vähän tarkemmin.
巨大	valtava	Tämä projekti vaatii valtavan investoinnin.
据说	kerrotaan että	Kerrotaan, että hän on jo palannut kotimaahansa.
捐	lahjoittaa	Kaikki ovat valmiita lahjoittamaan rahaa.
决赛	finaali	Huomenna on jalkapallofinaali.
决心	päätös; päättäväisyys	Hän päätti oppia kiinaa hyvin.
绝对	ehdottomasti	Tätä asiaa ei ehdottomasti saa unohtaa.
角色	rooli	Hän esittää elokuvassa tärkeää roolia.
军事	sotilas-; sotahistoria	Hän on hyvin kiinnostunut sotahistoriasta.
均匀	tasainen	Levitä väri tasaisesti.
卡车	kuorma-auto	Kuorma-auto on pysäköity sisäänkäynnille.
开发	kehittää	Yritys kehittää uutta tuotetta.
开放	avata; olla avoinna	Puisto avautuu joka aamu kuudelta.
开幕式	avajaiset	Avajaiset pidetään huomenna illalla.
开水	keitetty vesi	Anna minulle lasillinen keitettyä vettä.
砍	hakata; leikata	Työntekijä leikkaa oksia.
看不起	halveksia	Älä halveksi ketään.
看望	käydä katsomassa	Menen viikonloppuna käymään isovanhempieni luona.
靠	nojata	Hän nojasi seinään levätäkseen.
颗	pienten pyöreiden esineiden luokittelusana	Yötaivaalla on tähti.
可见	on nähtävissä; siitä näkee	Tästä näkee, että menetelmä on tehokas.
可靠	luotettava	Hän on luotettava ystävä.
可怕	pelottava	Tämä uni oli liian pelottava.
克	gramma	Lisää kaksi grammaa suolaa.
克服	voittaa; selviytyä	Meidän pitää voittaa vaikeudet.
刻苦	ahkera	Hän opiskelee erittäin ahkerasti.
客观	objektiivinen	Analysoi ongelmaa objektiivisesti.
课程	kurssi	Tämä kurssi on hyvin hyödyllinen.
空间	tila	Tässä huoneessa on paljon tilaa.
控制	hallita; kontrolloida	Kuljettaja sai auton nopeuden hallintaan.
空闲	vapaa-aika	Onko sinulla huomenna iltapäivällä vapaata?
口味	maku	Hänen makunsa on melko mieto.
夸	kehua	Opettaja kehui hänen suurta edistymistään.
夸张	liioiteltu	Hänen ilmeensä on vähän liioiteltu.
会计	kirjanpitäjä	Hän työskentelee yrityksessä kirjanpitäjänä.
宽	leveä	Tämä tie on hyvin leveä.
昆虫	hyönteinen	Lapset tarkkailevat hyönteisiä.
扩大	laajentaa	Koulu aikoo laajentaa kirjastoa.
辣椒	chili	Ruokaan laitettiin paljon chiliä.
拦	pysäyttää; estää	Poliisi pysäytti auton.
烂	mädäntynyt; pilalla	Tämä omena on jo pilaantunut.
朗读	lukea ääneen	Lue teksti ääneen.
劳动	työ; ruumiillinen työ	Työ saa ihmisen tuntemaan olonsa täydeksi.
劳驾	anteeksi; saisinko kysyä	Anteeksi, missä metroasema on?
姥姥	äidinäiti	Äidinäitini tekee todella hyvää ruokaa.
老百姓	tavalliset ihmiset	Tavalliset ihmiset ovat huolissaan elinkustannuksista.
老板	pomo	Pomo ei ole tänään toimistossa.
老婆	vaimo	Hän osti vaimolleen kukkia.
老实	rehellinen	Hän on rehellinen ihminen.
老鼠	hiiri; rotta	Keittiössä on hiiri.
乐观	optimistinen	Hän suhtautuu tulevaisuuteen optimistisesti.
雷	ukkonen	Eilisyön ukkonen oli hyvin kova.
类型	tyyppi; laji	Mihin tyyppiin tällainen elokuva kuuluu?
冷淡	kylmä; välinpitämätön	Hänen asenteensa on vähän kylmä.
厘米	senttimetri	Tämä kynä on viisitoista senttimetriä pitkä.
梨	päärynä	Ostin muutaman päärynän.
离婚	erota	He erosivat viime vuonna.
理论	teoria	Tämä teoria on hyvin monimutkainen.
理由	syy	Mikä syy sinulla on myöhästymiseen?
利润	voitto	Yrityksen voitto kasvoi tänä vuonna.
利息	korko	Pankin korko ei ole korkea.
利益	etu	Meidän pitää suojella kaikkien etuja.
利用	käyttää hyväksi; hyödyntää	Hän käyttää viikonloput kiinan opiskeluun.
力量	voima	Yhtenäisyys on voimaa.
立即	välittömästi	Poistu täältä välittömästi.
立刻	heti	Kuultuaan uutisen hän lähti heti.
联合	yhdistää; yhdessä	Kaksi yritystä kehitti tuotteen yhdessä.
连忙	kiireesti; heti	Kuultuaan puhelimen soivan hän vastasi heti.
连续	yhtäjaksoinen	Hän työskenteli kymmenen tuntia putkeen.
恋爱	seurustelu; olla rakastunut	He seurustelevat.
粮食	vilja; elintarvikkeet	Tämän vuoden viljantuotanto kasvoi.
良好	hyvä; suotuisa	Hänellä on hyvät opiskelutavat.
亮	kirkas	Huoneen lamppu on hyvin kirkas.
了不起	mahtava; huomattava	Hän saavutti huomattavia tuloksia.
列车	juna	Juna lähtee aivan pian.
临时	väliaikainen	Tämä on väliaikainen päätös.
灵活	joustava	Opiskelumenetelmien pitää olla joustavia.
铃	kello	Tuntikello soi.
零件	osa; komponentti	Koneesta puuttuu yksi osa.
零食	välipala; naposteltava	Lapset pitävät välipalojen syömisestä.
领导	johtaja	Johtaja on kokouksessa.
领域	ala; kenttä	Hän työskentelee opetusalalla.
流传	levitä; kulkea perintönä	Tämä tarina on kulkenut pitkään.
流泪	vuodattaa kyyneleitä	Kuultuaan uutisen hän itki.
浏览	selata	Selaan ensin verkkosivua.
龙	lohikäärme	Kiinalaisessa kulttuurissa on lohikäärmeitä.
漏	vuotaa	Katto vuotaa.
录取	hyväksyä opiskelijaksi	Hänet hyväksyttiin yliopistoon.
录音	äänittää	Aloita äänittäminen.
陆地	maa; kuiva maa	Merikilpikonna nousi maalle.
陆续	yksi toisensa jälkeen	Vieraat saapuivat yksi toisensa jälkeen.
轮流	vuorotella	Siivoamme luokkahuoneen vuorotellen.
论文	tutkielma; opinnäyte	Hän kirjoittaa lopputyötään.
逻辑	logiikka	Hänen logiikkansa on hyvin selkeä.
落后	jäädä jälkeen	Emme saa jäädä muista jälkeen.
骂	torua; haukkua	Älä toru lasta.
麦克风	mikrofoni	Ojenna mikrofoni hänelle.
馒头	höyrytetty sämpylä	Söin aamiaiseksi höyrytetyn sämpylän.
满足	täyttää; tyydyttää	Tämä vastaus ei täytä vaatimuksia.
毛病	vika; ongelma	Tässä tietokoneessa on pieni vika.
矛盾	ristiriita	Heidän välillään on joitakin ristiriitoja.
冒险	ottaa riski	On liian riskialtista mennä sinne yksin.
贸易	kauppa; kaupankäynti	Kansainvälinen kauppa kehittyy nopeasti.
媒体	media	Media raportoi tästä asiasta.
煤炭	kivihiili	Tämä alue tuottaa kivihiiltä.
眉毛	kulmakarva	Hänen kulmakarvansa ovat paksut.
美术	kuvataide	Pikkusiskoni pitää kuvataiteesta.
魅力	viehätysvoima	Tässä kaupungissa on paljon viehätysvoimaa.
梦想	unelma	Hänen unelmansa on tulla lääkäriksi.
密切	tiivis	Pidämme tiivistä yhteyttä.
秘密	salaisuus	Tämä on meidän salaisuutemme.
秘书	sihteeri	Sihteeri järjesti kokousajan.
蜜蜂	mehiläinen	Kukkien joukossa on paljon mehiläisiä.
面对	kohdata	Meidän pitää kohdata vaikeudet rohkeasti.
面积	pinta-ala	Tämän huoneen pinta-ala ei ole suuri.
面临	olla jonkin edessä	Yritys on uusien haasteiden edessä.
描写	kuvata	Kirjailija kuvasi maaseudun elämää.
苗条	hoikka	Hänellä on hoikka vartalo.
敏感	herkkä	Tämä aihe on melko herkkä.
名牌	tunnettu merkki	Hän osti tunnetun merkkikellon.
名片	käyntikortti	Anna minulle käyntikortti.
名胜古迹	nähtävyydet ja historialliset kohteet	Pekingissä on paljon nähtävyyksiä ja historiallisia kohteita.
明确	selkeä; selventää	Opettaja selitti vaatimukset selkeästi.
明显	ilmeinen	Hänen edistymisensä on ilmeistä.
明星	tähti; julkkis	Hän haluaa tulla elokuvatähdeksi.
命令	käsky	Sotilaiden täytyy totella käskyjä.
命运	kohtalo	Hän uskoo, että kohtaloa voi muuttaa.
摸	koskea	Älä koske tähän maalaukseen.
摩托车	moottoripyörä	Hän ajaa moottoripyörällä töihin.
模仿	matkia	Lapset pitävät aikuisten puheen matkimisesta.
模糊	epäselvä	Tämä valokuva on vähän epäselvä.
模特	malli	Hän on vaatemalli.
陌生	vieras; tuntematon	Tämä kaupunki tuntuu minulle hyvin vieraalta.
某	eräs	Eräs opettaja soitti minulle.
木头	puu; puutavara	Tämä pöytä on tehty puusta.
目标	tavoite	Tavoitteeni on läpäistä koe.
目录	sisällysluettelo	Katso ensin kirjan alussa oleva sisällysluettelo.
目前	tällä hetkellä	Tilanne on tällä hetkellä melko vakaa.
哪怕	vaikka	Vaikka hän on kiireinen, hän jatkaa opiskelua.
难怪	ilmankos	Ilmankos olet tänään niin iloinen.
难免	vaikea välttää	Ensimmäisellä kerralla virheitä on vaikea välttää.
脑袋	pää	Hänen päätään särkee vähän.
内部	sisäinen	Tämä on yrityksen sisäistä materiaalia.
内科	sisätaudit	Hän menee tänään sisätautilääkärille.
嫩	murea; pehmeä	Tämä lihapala on hyvin murea.
能干	pätevä; kyvykäs	Hän on hyvin kyvykäs ihminen.
能源	energia	Aurinkoenergia on puhdasta energiaa.
嗯	mm-hm	Mm-hm, ymmärsin.
年代	vuosikymmen; aikakausi	Tämä valokuva on otettu 1980-luvulla.
年纪	ikä	Hän ei ole kovin vanha, mutta hänellä on paljon kokemusta.
念	lukea ääneen	Lue teksti kerran ääneen.
宁可	mieluummin	Kävelen mieluummin kuin odotan bussia.
牛仔裤	farkut	Hänellä on farkut jalassa.
农村	maaseutu	Hän kasvoi maaseudulla.
农民	maanviljelijä	Maanviljelijät työskentelevät pellolla.
农业	maatalous	Maatalous on tälle alueelle hyvin tärkeää.
浓	vahva; tiivis	Tämä kahvi on liian vahvaa.
女士	rouva; nainen	Tuo nainen odottaa bussia.
欧洲	Eurooppa	Hän matkustaa ensi kuussa Eurooppaan.
偶然	sattumalta	Tapasin vanhan koulukaverin sattumalta.
拍	ottaa kuva; taputtaa	Voisitko ottaa minusta valokuvan?
派	lähettää	Yritys lähetti hänet työmatkalle Shanghaihin.
盼望	odottaa innolla	Odotan innolla, että näen sinut pian.
培训	koulutus	Uusien työntekijöiden pitää osallistua koulutukseen.
培养	kehittää; kasvattaa	Koulu pitää tärkeänä oppilaiden kykyjen kehittämistä.
赔偿	korvata	Yritys suostui korvaamaan vahingon.
佩服	ihailla	Ihailen todella hänen rohkeuttaan.
配合	tehdä yhteistyötä	Tehkää yhteistyötä opettajan järjestelyjen mukaan.
盆	ruukku; allas	Parvekkeella on kukkaruukku.
碰	koskea; törmätä	Varo, älä koske kuumaan veteen.
批	erä	Tämä tavaraerä saapui tänään.
批准	hyväksyä	Johtaja hyväksyi tämän suunnitelman.
披	heittää harteilleen; pitää harteilla	Hänellä on takki harteillaan.
疲劳	väsymys	Pitkä työskentely voi väsyttää.
匹	hevosten luokittelusana	Nurmella on hevonen.
片	viipale; pala	Anna minulle viipale leipää.
片面	yksipuolinen	Tämä näkemys on liian yksipuolinen.
飘	leijua	Lumihiutaleet leijuvat ilmassa.
拼音	pinyin	Kirjoita pinyin kiinalaisten merkkien viereen.
频道	kanava	Vaihda uutiskanavalle.
凭	lipun perusteella; nojautua	Lipulla pääsee sisään.
平均	keskimäärin	Kukin käytti keskimäärin kymmenen yuania.
平	tasainen	Tämä tie on hyvin tasainen.
平安	turvallinen; kunnossa	Hyvää ja turvallista matkaa.
平常	tavallisesti	Hän myöhästyy tavallisesti hyvin harvoin.
平等	tasa-arvoinen	Kaikkia pitäisi kohdella tasa-arvoisesti.
平方	neliö	Tämä huone on kaksikymmentä neliömetriä.
平衡	tasapaino	Työ ja elämä tarvitsevat tasapainoa.
平静	rauhallinen	Järven pinta on hyvin rauhallinen.
评价	arvio	Opettaja antoi erittäin hyvän arvion.
破产	mennä konkurssiin	Tuo yritys meni konkurssiin viime vuonna.
破坏	vahingoittaa; tuhota	Älä vahingoita julkista omaisuutta.
迫切	kiireellinen; polttava	Tarvitsemme kiireesti lisää lääkäreitä.
期待	odottaa innolla	Odotan tätä matkaa innolla.
期间	aikana	Sammuta puhelin kokouksen ajaksi.
其余	loput; muut	Loput kysymykset käsitellään huomenna.
奇迹	ihme	Lääkäri sanoi, että tämä oli ihme.
企业	yritys	Tämä yritys kehittyy nopeasti.
启发	inspiraatio; herättää ajatuksia	Tämä kirja antoi minulle paljon inspiraatiota.
气氛	ilmapiiri	Luokkahuoneen ilmapiiri on hyvin rento.
汽油	bensiini	Autoon pitää tankata bensiiniä.
签	allekirjoittaa	Allekirjoita nimesi tähän.
谦虚	vaatimaton	Hän on erinomainen ja myös hyvin vaatimaton.
前途	tulevaisuudennäkymä	Tällä pääaineella on hyvät tulevaisuudennäkymät.
浅	matala	Tämä joki on hyvin matala.
欠	olla velkaa	Hän on minulle vielä kaksikymmentä yuania velkaa.
枪	ase	Poliisilla on ase kädessään.
墙	seinä	Seinällä roikkuu maalaus.
强调	korostaa	Opettaja korosti turvallisuuskysymystä.
强烈	vahva; voimakas	Hänellä on vahva vastuuntunto.
抢	kilpailla; riistää	Älä taistele muiden kanssa istumapaikoista.
悄悄	hiljaa; salaa	Hän käveli hiljaa huoneeseen.
瞧	katsoa	Katso, ulkona sataa lunta.
巧妙	nokkela; taitava	Tämä menetelmä on hyvin nokkela.
切	leikata	Leikkaa hedelmät pieniksi paloiksi.
亲爱	rakas	Rakas ystävä, kiitos.
亲切	ystävällinen	Opettaja puhuu hyvin ystävällisesti.
亲自	henkilökohtaisesti	Johtaja otti vieraat henkilökohtaisesti vastaan.
勤奋	ahkera	Ahkerat ihmiset onnistuvat helpommin.
清淡	kevyt; mieto	Pidän kevyistä ruoista.
轻视	aliarvioida	Älä aliarvioi tätä pientä ongelmaa.
轻易	helposti; harkitsematta	Hän ei luovu helposti.
青	sinivihreä	Tämä vaate on sinivihreä.
青春	nuoruus	Nuoruus on arvokasta.
青少年	nuori; teini-ikäinen	Nuoret tarvitsevat riittävästi unta.
情景	näkymä; tilanne	Elokuvan kohtaus on hyvin koskettava.
情绪	tunne; mieliala	Hänen mielialansa ei ole kovin vakaa.
请求	pyyntö	Hän esitti pyynnön.
庆祝	juhlia	Juhlimme hänen syntymäpäiväänsä.
球迷	fani	Monet fanit tulivat katsomaan ottelua.
趋势	suuntaus	Tämä suuntaus käy yhä ilmeisemmäksi.
取消	peruuttaa	Tapahtuma peruttiin sateen vuoksi.
娶	ottaa vaimoksi; mennä naimisiin	Hän aikoo mennä hänen kanssaan naimisiin ensi vuonna.
去世	kuolla; menehtyä	Hänen isoisänsä kuoli viime vuonna.
圈	ympyrä; ympyröidä	Ympyröi oikea vastaus.
全面	kattava	Meidän pitää ymmärtää tilanne kattavasti.
权利	oikeus	Jokaisella on oikeus saada koulutusta.
权力	valta	Valtaa pitäisi valvoa.
劝	neuvoa; suostutella	Ystävä neuvoi minua lepäämään aikaisemmin.
缺乏	puuttua; olla pulaa	Tällä alueella on pulaa puhtaasta vedestä.
确定	varmistaa; määrittää	En voi vielä varmistaa aikaa.
确认	vahvistaa	Vahvista osoitteesi.
群	ryhmä	Ryhmä lapsia leikkii urheilukentällä.
燃烧	palaa	Puu palaa.
绕	kiertää	Kävelimme järven ympäri kerran.
热爱	rakastaa; olla intohimoinen	Hän rakastaa työtään.
热烈	lämmin; innokas	Kaikki toivottivat vieraat lämpimästi tervetulleiksi.
热心	avulias; innokas	Naapurit ovat kaikki hyvin avuliaita.
人才	osaaja; lahjakas ihminen	Yritys tarvitsee lisää osaajia.
人口	väestö	Tässä kaupungissa on paljon väestöä.
人类	ihmiskunta	Ihmiskunnan pitää suojella maapalloa.
人民币	renminbi; Kiinan yuan	Vaihdoin vähän renminbejä.
人生	elämä	Elämässä on paljon valintoja.
人事	henkilöstöhallinto	Hän työskentelee henkilöstöosastolla.
人物	henkilöhahmo	Romaanin henkilöhahmot tuntuvat hyvin todellisilta.
人员	henkilöstö	Henkilöstö on jo kaikki paikalla.
忍不住	ei voida olla tekemättä	Kuultuaan vitsin hän ei voinut olla nauramatta.
日常	päivittäinen	Tämä on päivittäistä työtäni.
日程	aikataulu	Tämän päivän aikataulu on hyvin täynnä.
日历	kalenteri	Seinällä roikkuu kalenteri.
日期	päivämäärä	Kirjoita päivämäärä selvästi.
日用品	päivittäistavarat	Supermarketissa myydään paljon päivittäistavaroita.
日子	päivät; aika	Hän on ollut näinä päivinä hyvin kiireinen.
如何	miten	Miten meidän pitäisi ratkaista tämä ongelma?
如今	nykyään	Nykyään liikenne on paljon kätevämpää.
软	pehmeä	Tämä sänky on hyvin pehmeä.
软件	ohjelmisto	Tätä ohjelmistoa on helppo käyttää.
弱	heikko	Hänen kehonsa on melko heikko.
洒	läikyttää	Hän läikytti vahingossa veden.
嗓子	kurkku; ääni	Kurkkuni on vähän kipeä.
色彩	värit	Tässä maalauksessa on rikkaat värit.
杀	tappaa	Tässä elokuvassa ei ole tappokohtauksia.
沙漠	aavikko	Vesi on aavikolla hyvin arvokasta.
沙滩	hiekkaranta	Lapset leikkivät hiekkarannalla.
傻	tyhmä	Älä tee mitään tyhmää.
晒	kuivata auringossa	Vaatteet kuivuvat parvekkeella auringossa.
删除	poistaa	Poista tämä sähköposti.
闪电	salama	Yöllä näkyi salama.
善良	hyväntahtoinen	Hän on hyväntahtoinen ihminen.
善于	olla hyvä jossakin	Hän on hyvä ratkaisemaan ongelmia.
扇子	viuhka	Käytän kesällä usein viuhkaa.
伤害	vahingoittaa; loukata	Älä loukkaa muiden tunteita.
商品	tavara; tuote	Tässä kaupassa on paljon tavaroita.
商务	liike-; liiketoiminta	Hän osallistuu huomenna liiketapaamiseen.
商业	kauppa; liiketoiminta	Tällä alueella kaupankäynti on hyvin kehittynyttä.
上当	tulla huijatuksi	Hän oli vähällä tulla huijatuksi.
蛇	käärme	Ruohikossa on käärme.
舍不得	ei raaski; tuntuu vaikealta luopua	Minun on vaikea lähteä täältä.
射击	ampuminen	Hän harjoittelee ampumista.
摄影	valokuvaus	Hän on hyvin kiinnostunut valokuvauksesta.
设备	laitteet	Laboratorion laitteet ovat hyvin edistyneitä.
设计	suunnittelu; suunnitella	Tämä suunnittelu on hyvin luovaa.
设施	tilat; varusteet	Koulun liikuntatilat ovat hyvät.
伸	ojentaa	Ojenna kätesi.
深刻	syvä; vaikuttava	Tämä kokemus teki minuun syvän vaikutuksen.
身材	vartalo; ruumiinrakenne	Hänellä on terve ruumiinrakenne.
身份	henkilöllisyys; asema	Näytä henkilöllisyystodistus.
神话	myytti	Lapset kuuntelevat mielellään myyttitarinoita.
神秘	salaperäinen	Tämä muinainen kaupunki on hyvin salaperäinen.
升	litra; nousta	Öljyn hinta nousi hieman litralta.
声调	sävy; toonisävy	Kiinassa on neljä perussävyä.
生产	tuottaa	Tämä tehdas valmistaa matkapuhelimia.
生动	elävä	Opettaja selittää asiat hyvin elävästi.
生长	kasvaa	Tällainen kasvi kasvaa nopeasti.
绳子	naru; köysi	Sido laatikko köydellä.
省略	jättää pois	Tästä voi jättää pois yhden merkin.
胜利	voitto	He saavuttivat lopulta voiton.
失眠	kärsiä unettomuudesta	Hän kärsii viime aikoina usein unettomuudesta.
失去	menettää	Älä menetä luottamusta.
失业	työttömyys; jäädä työttömäksi	Jäätyään työttömäksi hän alkoi opiskella uusia taitoja.
湿润	kostea	Sateen jälkeinen ilma on kostea.
狮子	leijona	Eläintarhassa on kaksi leijonaa.
诗	runo	Hän kirjoitti runon.
实话	totuus	Kerro totuus.
实践	käytäntö; harjoittaa	Teoria pitää testata käytännössä.
实习	harjoittelu	Hän menee kesälomalla harjoitteluun sairaalaan.
实现	toteuttaa	Hän toteutti lopulta unelmansa.
实验	koe; kokeilu	Oppilaat tekevät koetta.
实用	käytännöllinen	Tämä työkalu on hyvin käytännöllinen.
时差	aikaero	Hän ei ole vielä sopeutunut aikaeroon.
时代	aikakausi	Elämme informaation aikakautta.
时刻	hetki	Muista tämä tärkeä hetki.
时髦	muodikas	Tämä vaate on hyvin muodikas.
时期	kausi	Yliopistoaika vaikutti häneen suuresti.
时尚	muoti	Hän on hyvin kiinnostunut muodista.
石头	kivi	Tien vieressä on kivi.
食物	ruoka	Laita ruoka jääkaappiin.
使劲儿	käyttää voimaa	Tämän pullon avaamiseen pitää käyttää voimaa.
始终	koko ajan; alusta loppuun	Hän uskoi koko ajan voivansa onnistua.
事实	tosiasia	Tosiasiat todistavat, että hän oli oikeassa.
事物	asia; esine	Lapset ovat hyvin uteliaita uusista asioista.
事先	etukäteen	Kerro minulle aika etukäteen.
似的	ikään kuin	Hän oli niin väsynyt, ettei näyttänyt haluavan sanoa sanaakaan.
士兵	sotilas	Sotilaat harjoittelevat.
市场	markkinat; tori	Tämä tori on hyvin vilkas.
试卷	koepaperi	Opettaja tarkastaa koepapereita.
收获	saada paljon; sato	Sain tältä matkalta paljon.
收据	kuitti	Säilytä kuitti maksamisen jälkeen.
手工	käsityö	Tämä lahja on tehty käsin.
手术	leikkaus	Lääkäri leikkaa hänet huomenna.
手套	käsineet	Talvella ulos mennessä pitää käyttää käsineitä.
手续	menettelyt; muodollisuudet	Menettelyjen hoitamiseen tarvitaan henkilöllisyystodistus.
手指	sormi	Hänen sormensa on loukkaantunut.
首	laulun tai runon luokittelusana	Hän lauloi laulun.
受伤	loukkaantua	Hän loukkaantui ottelussa.
寿命	käyttöikä	Tällaisella koneella on pitkä käyttöikä.
书架	kirjahylly	Kirjahylly on täynnä kirjoja.
梳子	kampa	Hän kampaa hiuksensa kammalla.
舒适	mukava	Tämä huone on hyvin mukava.
蔬菜	vihannekset	Vihannesten syöminen on hyväksi terveydelle.
输入	syöttää	Syötä salasana tietokoneeseen.
熟练	taitava; sujuva	Hän osaa käyttää tietokonetta sujuvasti.
属于	kuulua	Tämä kirja kuuluu kirjastolle.
数	laskea	Laske, montako ihmistä on.
鼠标	hiiri; tietokonehiiri	Tietokonehiireni on rikki.
数据	data; tiedot	Nämä tiedot ovat hyvin tärkeitä.
数码	digitaalinen	Hän osti digikameran.
摔倒	kaatua	Hän kaatui tiellä.
甩	ravistaa	Hän ravisti veden käsistään.
双方	molemmat osapuolet	Molemmat osapuolet hyväksyivät tämän suunnitelman.
税	vero	Ostaessa pitää maksaa veroa.
说不定	ehkä; ei voi tietää	Ehkä huomenna sataa lunta.
说服	vakuuttaa; suostutella	Hän sai lopulta vanhempansa vakuuttuneiksi.
丝绸	silkki	Tämä huivi on tehty silkistä.
丝毫	lainkaan	Hän ei muuttanut mieltään lainkaan.
思考	pohtia	Pohdi tätä kysymystä huolellisesti.
思想	ajattelu; ajatus	Hänen ajattelunsa on hyvin avointa.
撕	repäistä	Älä revi tätä paperia.
私人	yksityinen	Tämä on yksityinen tilani.
似乎	näyttää siltä	Hän ei näytä kovin iloiselta.
搜索	etsiä	Etsin aineistoa verkosta.
宿舍	asuntola	Opiskelijat asuvat koulun asuntolassa.
随身	mukana	Pidä passi mukanasi.
随时	milloin tahansa	Voit soittaa minulle milloin tahansa.
随手	ohimennen; samalla	Sulje ovi perässäsi lähtiessäsi.
碎	mennä rikki	Kuppi putosi maahan ja meni rikki.
损失	tappio; vahinko	Tämä onnettomuus aiheutti suuren vahingon.
缩短	lyhentää	Uusi reitti lyhensi matkaa.
所	instituution tai rakennuksen luokittelusana	Tämä koulu on hyvin kuuluisa.
