simplified	FR	example_FR
副	adjoint; secondaire	Elle a été nommée directrice adjointe.
复活	renaître; ressusciter	Cette fête traditionnelle est en train de renaître.
复兴	renaissance; renouveau	La renaissance culturelle demande des efforts de long terme.
富裕	aisé; prospère	Ce village devient maintenant de plus en plus prospère.
腹泻	diarrhée	Il a une diarrhée sévère et doit voir un médecin.
覆盖	couvrir	La forte neige a couvert toute la vallée.
负担	fardeau; charge	Le loyer est devenu son principal fardeau.
赋予	accorder; conférer	La loi confère des droits fondamentaux aux citoyens.
附和	approuver sans réflexion; suivre	Il n'a pas d'opinion personnelle et ne fait que suivre les autres.
附件	pièce jointe	Veuillez consulter la pièce jointe dans le courriel.
附属	affilié; rattaché	Cet hôpital est rattaché à l'université.
改良	améliorer	Les experts améliorent cette variété de riz.
盖章	apposer un sceau	Après la signature du contrat, il faut apposer un sceau.
钙	calcium	Le lait contient beaucoup de calcium.
尴尬	gênant; embarrassé	Un silence gênant est apparu pendant la réunion.
干旱	sécheresse; aride	La sécheresse prolongée a affecté les cultures.
干扰	perturber; interférer	Le bruit perturbe mon travail.
干涉	s'ingérer; intervenir	Les parents ne devraient pas trop s'ingérer dans les choix de leurs enfants.
干预	intervenir; intervention	Le gouvernement est intervenu à temps face aux risques du marché.
感慨	être ému; soupirer avec émotion	En voyant les vieilles photos, il a été très ému.
感染	infecter; infection	Ce virus infecte facilement les enfants.
干劲	enthousiasme; énergie	Tout le monde travaille avec beaucoup d'enthousiasme.
扛	soulever; porter à l'épaule	Selon la légende, il était si fort qu'il pouvait soulever un trépied.
纲领	programme; principe directeur	La réunion a adopté un nouveau programme d'action.
岗位	poste; emploi	Elle s'est vite adaptée à son nouveau poste.
港口	port	Le cargo est amarré au port.
港湾	baie; port naturel	Le petit bateau est entré dans une baie calme.
杠杆	levier	Cet investissement utilise un fort effet de levier.
高超	excellent; remarquable	Sa technique de réparation automobile est remarquable.
高潮	apogée; point culminant	Le match a atteint son point culminant dans les dix dernières minutes.
高峰	pic; sommet	Huit heures du matin est le pic de circulation.
高明	brillant; ingénieux	Cette méthode est vraiment ingénieuse.
高尚	noble	L'esprit professionnel des médecins est noble.
高涨	monter; s'intensifier	L'enthousiasme du public ne cesse de monter.
稿件	manuscrit; brouillon	L'éditeur révise le manuscrit.
告辞	prendre congé	Il se fait tard, nous allons prendre congé.
告诫	avertir; mettre en garde	Le professeur a mis les élèves en garde contre la tricherie.
割	couper	Il s'est coupé le doigt par accident.
搁	poser; mettre de côté	Veuillez poser les documents sur la table.
歌颂	chanter les louanges de; célébrer	Ce poème célèbre les travailleurs.
疙瘩	bosse; bouton	Il a une bosse sur le bras.
鸽子	pigeon; colombe	Il y a beaucoup de pigeons sur la place.
格局	structure; disposition	La disposition de cet appartement est très rationnelle.
格式	format; forme	Veuillez remplir le formulaire selon le format prescrit.
隔阂	fossé; éloignement	Le malentendu a approfondi le fossé entre eux.
隔离	isoler; isolation	Le patient doit être isolé temporairement.
革命	révolution	Cette révolution a changé le destin du pays.
个体	individu	Chaque individu a des besoins différents.
各抒己见	chacun exprime son opinion	Lors de la réunion, chacun a exprimé son opinion.
根深蒂固	profondément enraciné	Cette idée est déjà profondément enracinée.
根源	racine; origine	Les racines de la pauvreté sont complexes.
跟前	devant; près de	L'enfant a couru près de sa mère.
跟随	suivre	Le journaliste a suivi l'équipe dans la région montagneuse.
跟踪	suivre à la trace; surveiller	La police suit les déplacements du suspect.
更新	mettre à jour; renouveler	Le système se mettra automatiquement à jour ce soir.
更正	corriger; rectification	Le journal a corrigé l'erreur le lendemain.
耕地	terre arable; labourer	Les paysans labourent la terre au printemps.
供不应求	l'offre ne satisfait pas la demande	Ce médicament est actuellement en pénurie.
供给	approvisionnement; fournir	La ville a besoin d'un approvisionnement stable en eau et en électricité.
公安局	bureau de la sécurité publique	Il est allé signaler l'affaire au bureau de la sécurité publique.
公道	justice; équité	Tout le monde espère un traitement équitable.
公告	annonce; avis	L'école a publié un avis de suspension des cours.
公关	relations publiques	L'entreprise a engagé une équipe professionnelle de relations publiques.
公民	citoyen	Chaque citoyen doit respecter la loi.
公然	ouvertement; publiquement	Il a ouvertement enfreint les règles du match.
公认	reconnu publiquement	Elle est reconnue comme une excellente enseignante.
公式	formule	Veuillez noter cette formule mathématique.
公务	affaires officielles	Il est en déplacement pendant trois jours pour affaires officielles.
公正	juste; impartial	Le juge doit rester impartial.
公证	acte notarié; notarisation	Ce document doit être notarié.
功劳	mérite; contribution	Ce succès est dû aux contributions de tous.
功效	efficacité	L'efficacité de ce médicament doit encore être vérifiée.
宫殿	palais	Les touristes ont visité l'ancien palais.
工艺品	artisanat; objet artisanal	Cet objet artisanal est fabriqué à la main.
恭敬	respectueux	Il a salué le vieil homme avec respect.
攻击	attaquer	Des pirates ont attaqué le site web de l'entreprise.
攻克	surmonter; conquérir	L'équipe de recherche a surmonté une difficulté technique.
巩固	consolider; renforcer	La révision peut consolider les connaissances apprises.
共和国	république	Cette république a été fondée au siècle dernier.
共计	totaliser; au total	Ce lot de marchandises compte au total trois cents caisses.
共鸣	résonance; écho	Cette chanson a trouvé un écho chez beaucoup de gens.
勾结	collusion; s'entendre avec	Ils se sont entendus avec des personnes extérieures pour escroquer des fonds.
钩子	crochet	Il y a plusieurs crochets accrochés au mur.
构思	concevoir; ébaucher	L'écrivain conçoit un nouveau roman.
姑且	provisoirement; pour le moment	Essayons provisoirement ce plan pendant une semaine.
孤独	seul; solitaire	Après avoir déménagé dans une nouvelle ville, il s'est senti seul.
孤立	isolé; isoler	Ne considère pas ce problème de façon isolée.
辜负	décevoir; ne pas être à la hauteur	Je ne veux pas décevoir les attentes de mes parents.
古董	antiquité	Grand-père a collectionné quelques antiquités.
古怪	bizarre; excentrique	Ses idées sont un peu bizarres.
股东	actionnaire	L'assemblée des actionnaires aura lieu la semaine prochaine.
股份	actions; part	Il détient des actions de l'entreprise.
骨干	pilier; élément central	Ces ingénieurs sont les piliers de l'équipe.
鼓动	inciter; agiter	Quelqu'un a incité la foule à protester.
固然	certes; assurément	Cette méthode est certes simple, mais les risques ne sont pas faibles.
固体	solide	La glace est la forme solide de l'eau.
固有	inhérent; propre à	Chaque culture a ses caractéristiques propres.
固执	obstiné; têtu	Il est trop obstiné et refuse d'écouter les conseils.
故乡	pays natal	Après de nombreuses années, il est retourné dans son pays natal.
故障	panne; dysfonctionnement	L'ascenseur est en panne et temporairement hors service.
雇佣	employer; embaucher	L'entreprise a décidé d'embaucher davantage de techniciens.
顾虑	inquiétude; réserve	Si tu as des réserves, tu peux les dire directement.
顾问	conseiller; consultant	Nous avons engagé un conseiller juridique.
拐杖	canne; béquille	Le vieil homme prend souvent une canne quand il sort.
关怀	sollicitude; attention	Le professeur a donné beaucoup d'attention aux élèves.
关照	prendre soin de; veiller sur	Veille bien sur l'enfant pendant le trajet, s'il te plaît.
官方	officiel	Les nouvelles officielles seront annoncées demain.
观光	tourisme; visiter	Les touristes font une excursion en bateau.
管辖	administrer; avoir juridiction	Cette zone est administrée par le gouvernement municipal.
惯例	usage; pratique habituelle	Présenter les invités avant le début de la réunion est l'usage.
灌溉	irriguer	Les paysans irriguent les champs avec l'eau de la rivière.
罐	boîte; pot	Il y a une boîte de thé sur la table.
贯彻	appliquer; mettre en oeuvre	L'entreprise doit appliquer les nouvelles normes de sécurité.
光彩	éclat; splendeur	Ce vêtement lui donne beaucoup d'éclat.
光辉	rayonnement; gloire	Ses réalisations ont laissé une page glorieuse.
光芒	rayons; éclat	Les rayons du soleil éclairent la vallée.
光荣	honneur; gloire	Servir le pays est un honneur.
广阔	vaste; étendu	La prairie s'étend à perte de vue et est très vaste.
归根到底	en fin de compte	En fin de compte, le problème tient à la gestion.
归还	rendre; restituer	Veuillez rendre les livres à temps.
规范	norme; standard	L'école a établi des normes pour gérer le laboratoire.
规格	spécification; norme	Les spécifications de ce lot de pièces ne sont pas uniformes.
规划	planification; plan	La planification urbaine doit tenir compte des transports.
规章	règlement; règle	Les employés doivent respecter le règlement de l'entreprise.
轨道	voie; orbite	Le train avance le long de la voie ferrée.
贵族	noblesse; noble	Ce domaine appartenait autrefois à la noblesse.
跪	s'agenouiller	Il s'est agenouillé devant la statue sacrée.
棍棒	bâton; matraque	La police a confisqué les bâtons trouvés sur place.
国防	défense nationale	La construction de la défense nationale exige des investissements de long terme.
国务院	Conseil des affaires d'État	Le Conseil des affaires d'État a publié un nouvel avis.
果断	décisif; résolu	Le dirigeant a pris une décision décisive.
过度	excessif	L'utilisation excessive du téléphone peut affecter le sommeil.
过渡	transition	L'entreprise est en phase de transition.
过奖	flatter; exagérer les compliments	Tu me flattes, j'ai encore besoin d'apprendre.
过滤	filtrer	Cet appareil peut filtrer les impuretés.
过失	faute; négligence	Cet accident a été causé par une faute humaine.
过问	s'occuper de; intervenir	Le directeur s'occupe rarement de ces petites affaires.
过瘾	être vraiment satisfaisant	Ce match était vraiment satisfaisant à regarder.
过于	trop; excessivement	Ce plan est trop compliqué.
嗨	salut; hé	Salut, comment se fait-il que tu sois venu aussi ?
海拔	altitude	Ce village est situé à une altitude élevée.
海滨	bord de mer	Ils ont passé le week-end au bord de la mer.
含糊	flou; ambigu	Sa réponse est très floue.
含义	signification; sens	Ce mot a une signification particulière.
寒暄	échanger des politesses	Après s'être rencontrés, ils ont d'abord échangé quelques politesses.
罕见	rare	Cette maladie est très rare.
捍卫	défendre; sauvegarder	L'avocat s'efforce de défendre les droits de son client.
航空	aviation	La compagnie aérienne a annulé le vol.
航天	astronautique; vol spatial	Le secteur spatial chinois se développe rapidement.
航行	naviguer; faire route	Le navire navigue en mer.
行列	rang; groupe	Elle a rejoint les rangs des bénévoles.
毫米	millimètre	Ce verre a une épaisseur de cinq millimètres.
毫无	absolument aucun	Son explication n'a absolument aucun fondement.
豪迈	héroïque; audacieux	Son chant est héroïque et puissant.
号召	appeler; exhorter	Le gouvernement appelle tout le monde à économiser l'eau.
耗费	consommer; coûter	Ce projet a consommé beaucoup de fonds.
呵	gronder; lancer un cri	Le père a lancé un cri, et l'enfant s'est arrêté aussitôt.
合并	fusionner	Les deux entreprises prévoient de fusionner l'année prochaine.
合成	synthétiser; composer	Ce matériau peut être synthétisé artificiellement.
合伙	s'associer; former un partenariat	Ils se sont associés pour ouvrir un restaurant.
合算	avantageux; rentable	Prendre le bus est plus avantageux que prendre un taxi.
和蔼	aimable; affable	Ce médecin parle avec beaucoup d'amabilité.
和解	réconciliation; parvenir à un accord	Les deux parties sont finalement parvenues à une réconciliation.
和睦	harmonieux	Les voisins s'entendent très harmonieusement.
和气	aimable; cordial	Le patron traite les gens avec cordialité.
和谐	harmonieux	La musique rend l'atmosphère plus harmonieuse.
嘿	hé	Hé, tu as entendu ?
痕迹	trace	Il y a des traces de roues sur le sol.
狠心	sans coeur; cruel	Il a cruellement refusé la demande de son ami.
恨不得	avoir très envie de	J'ai très envie de rentrer tout de suite me reposer.
哼	grogner; fredonner	Il a grogné d'un air mécontent.
横	horizontal	Veuillez tracer une ligne horizontale sur le papier.
哄	éclater; vacarme	Tout le monde a éclaté de rire.
烘	cuire; chauffer	Le pain cuit dans le four.
轰动	faire sensation	Cette nouvelle a fait sensation dans tout le pays.
宏观	macroscopique; global	Nous devons analyser l'économie d'un point de vue global.
宏伟	grandiose; imposant	La conception de ce pont est très grandiose.
洪水	inondation; crue	L'inondation a détruit plusieurs ponts.
喉咙	gorge	Il a trop parlé, et sa gorge lui fait un peu mal.
吼	rugir; crier	Il a crié fort vers le lointain.
候选	candidat	Elle est candidate représentante cette année.
后代	descendants; générations futures	Nous devons protéger l'environnement pour les générations futures.
后顾之忧	souci pour l'avenir	Un revenu stable lui évite les soucis pour l'avenir.
后勤	logistique	Le service logistique est responsable de l'approvisionnement en matériel.
呼唤	appeler	La mère appelle l'enfant depuis l'entrée.
呼啸	siffler; hurler	Le vent froid siffle dehors devant la fenêtre.
呼吁	appeler à; lancer un appel	Les experts appellent chacun à réduire le gaspillage.
忽略	négliger; ignorer	Ne négligez pas ce détail, s'il vous plaît.
湖泊	lac	Cette région compte de nombreux lacs naturels.
胡乱	n'importe comment; au hasard	Ne mets pas les affaires n'importe comment par terre.
胡须	barbe	Sa barbe est déjà devenue blanche.
花瓣	pétale	Après la pluie, les pétales sont tombés partout par terre.
花蕾	bouton floral	Au printemps, des boutons floraux apparaissent sur les branches.
华丽	somptueux; magnifique	Les costumes sur scène sont très somptueux.
华侨	Chinois d'outre-mer	De nombreux Chinois d'outre-mer reviennent investir dans leur région natale.
划分	diviser	Le professeur a divisé les élèves en quatre groupes.
化肥	engrais chimique	Les paysans mettent de l'engrais chimique sur les cultures.
化石	fossile	Le musée expose des fossiles de dinosaures.
化验	analyse de laboratoire	Le médecin lui a demandé de faire une analyse de sang.
化妆	se maquiller	Elle se maquille avant de monter sur scène.
画蛇添足	en faire trop; ajouter du superflu	Ajouter encore des explications serait au contraire en faire trop.
话筒	microphone	L'animateur a tendu le microphone au public.
欢乐	joie; gaieté	La place du festival est remplie de joie.
环节	étape; maillon	Chaque étape de la formation est très importante.
还原	restaurer; rétablir	Veuillez rétablir les paramètres par défaut.
缓和	s'apaiser; atténuer	Les relations entre les deux parties s'apaisent progressivement.
患者	patient	Le médecin interroge le patient sur son état.
荒凉	désolé; désert	Cette terre paraît très désolée.
荒谬	absurde; ridicule	Cette explication semble très absurde.
荒唐	absurde; extravagant	Sa décision est trop absurde.
皇帝	empereur	L'empereur vit dans un palais grandiose.
皇后	impératrice	L'impératrice a participé à la célébration.
黄昏	crépuscule	Au crépuscule, les lampadaires se sont allumés.
恍然大悟	comprendre soudain	Après avoir entendu l'explication, il a soudain compris.
晃	secouer; vaciller	En un éclair devant mes yeux, il avait disparu.
挥霍	gaspiller; dilapider	Il ne devrait pas dilapider l'argent de ses parents.
辉煌	brillant; glorieux	Cette ville a une histoire brillante.
回报	retour; récompense	Le travail acharné finit par apporter une récompense.
回避	éviter; éluder	Il évite constamment cette question.
回顾	revoir; passer en revue	À la fin de la réunion, on a passé en revue le travail de l'année.
回收	recycler; récupérer	Le quartier commence à recycler les vieilles piles.
悔恨	remords	Il éprouve des remords pour ses erreurs passées.
毁灭	détruire; anéantir	La guerre a presque détruit cette ville.
会晤	rencontre; se rencontrer	Les dirigeants des deux pays se rencontreront demain.
汇报	faire un rapport	Il a fait un rapport au directeur sur les progrès.
贿赂	pot-de-vin; corrompre	Le fonctionnaire fait l'objet d'une enquête pour corruption.
昏迷	coma; perdre connaissance	Le patient est toujours dans le coma.
荤	non végétarien; viande	Ce plat contient de la viande et ne convient pas aux végétariens.
浑身	tout le corps	Après avoir couru, il était couvert de sueur.
混合	mélanger	Veuillez mélanger les deux matériaux uniformément.
混乱	chaos; désordre	La scène a été très chaotique pendant un moment.
混淆	confondre	Ne confonds pas ces deux concepts.
混浊	trouble; boueux	Après la pluie, l'eau de la rivière est devenue trouble.
活该	bien fait pour lui	Il n'a pas écouté les conseils, son échec est bien fait pour lui.
活力	vitalité; énergie	Cette ville est pleine de vitalité.
火箭	fusée	La fusée est entrée avec succès sur l'orbite prévue.
火焰	flamme	Le vent a fait monter les flammes.
火药	poudre à canon	La poudre à canon a changé les méthodes de guerre anciennes.
货币	monnaie	La politique monétaire influence le développement économique.
基地	base	Cet endroit était autrefois une importante base d'entraînement.
基金	fonds	L'école a créé un fonds de bourses.
基因	gène	Les scientifiques étudient ce gène.
机动	mobile; motorisé	Cette équipe conserve une grande mobilité.
机构	organisation; organisme	Cet organisme est responsable du contrôle qualité.
机灵	vif; débrouillard	Cet enfant est très vif.
机密	secret; confidentiel	Ces documents sont confidentiels.
机械	machine; mécanique	L'usine a introduit de nouvelles machines.
机遇	occasion; opportunité	Les jeunes doivent saisir les opportunités.
机智	vif d'esprit; spirituel	Sa réponse était très spirituelle.
激发	stimuler; susciter	Le professeur a stimulé l'intérêt des élèves.
激励	encourager; motiver	Ce succès a motivé toute l'équipe.
激情	passion; enthousiasme	Il était plein de passion pendant son discours.
讥笑	railler; se moquer	Ne te moque pas des erreurs des autres.
饥饿	faim; famine	Une faim prolongée nuit à la santé.
即便	même si	Même s'il pleut, nous partirons à l'heure.
即将	être sur le point de	La réunion est sur le point de commencer.
及早	le plus tôt possible	Il faut traiter les problèmes le plus tôt possible.
吉祥	auspicieux; porte-bonheur	En Chine, le rouge symbolise souvent la chance.
嫉妒	jalouser; envier	Il ne devrait pas jalouser la réussite de son collègue.
急功近利	rechercher des bénéfices rapides	En recherche, il ne faut pas rechercher des bénéfices rapides.
急剧	rapide; brutal	Les ventes ont chuté brutalement.
急切	impatient; pressé	Elle attend les nouvelles avec impatience.
急于求成	vouloir réussir trop vite	On ne peut pas apprendre une langue en voulant réussir trop vite.
急躁	irritable; impatient	Ne sois pas impatient face aux difficultés.
极端	extrême	Ce type de météo extrême devient de plus en plus courant.
极限	limite	Cet entraînement a mis ses limites à l'épreuve.
疾病	maladie	De bonnes habitudes peuvent prévenir les maladies.
籍贯	lieu d'origine	Il faut indiquer le lieu d'origine sur le formulaire.
级别	niveau; rang	Cette compétition est divisée en trois niveaux.
集团	groupe; conglomérat	Ce groupe possède des filiales à l'étranger.
给予	donner; accorder	L'école accorde de l'aide aux étudiants pauvres.
季军	troisième place; médaillé de bronze	Il a obtenu la troisième place dans la compétition.
季度	trimestre	L'entreprise publie ses rapports financiers chaque trimestre.
寂静	silencieux; calme	La vallée est particulièrement silencieuse la nuit.
寄托	placer; confier	Elle place ses espoirs dans son enfant.
忌讳	tabou; éviter	Les habitants évitent de parler de cette affaire à table.
技巧	technique; compétence	Maîtriser les techniques peut améliorer l'efficacité.
纪要	compte rendu	La secrétaire a rédigé le compte rendu de la réunion.
继承	hériter; perpétuer	Il a hérité de l'entreprise de son père.
计较	chicaner; ergoter	Ne chicane pas pour une si petite affaire.
记性	mémoire	Il a une très bonne mémoire.
记载	consigner; mentionner	Les livres d'histoire mentionnent cette guerre.
迹象	signe; indice	Il n'y a actuellement aucun signe d'amélioration.
佳肴	mets délicats; délices	La table est couverte de délicieux mets.
加工	transformer; traiter	Ces matières premières doivent être transformées davantage.
加剧	s'intensifier; aggraver	Les contradictions sont en train de s'intensifier.
夹杂	se mêler; mélanger	Le bruit du tonnerre se mêlait à celui de la pluie.
家常	familial; quotidien	J'aime manger des plats familiaux.
家伙	type; individu	Ce type est toujours en retard.
家属	membre de la famille	Le médecin a prévenu les membres de la famille du patient.
家喻户晓	connu de tous	Cette histoire est connue de tous.
坚定	ferme; déterminé	Son attitude est très ferme.
坚固	solide; robuste	Ce pont est très solide.
坚韧	tenace; résistant	Il a un caractère tenace.
坚实	solide; substantiel	Cette recherche repose sur une base solide.
坚硬	dur; solide	Cette pierre est très dure.
尖端	de pointe	L'entreprise investit dans les technologies de pointe.
尖锐	aigu; vif	Ce problème est très aigu.
煎	frire à la poêle	Le cuisinier fait frire du poisson.
监督	superviser; contrôler	La supervision du public aide à améliorer le travail.
监视	surveiller	La police surveille le suspect.
监狱	prison	Il purge sa peine en prison.
艰难	difficile; ardu	Les débuts d'une entreprise sont très difficiles.
剪彩	couper le ruban	Le maire a coupé le ruban de la nouvelle bibliothèque.
拣	choisir; trier	Elle a choisi quelques pommes dans le panier.
检讨	examen critique; autocritique	Il a sérieusement examiné ses erreurs.
检验	vérifier; tester	L'expérience peut vérifier cette hypothèse.
简化	simplifier	Veuillez simplifier encore le processus.
简陋	sommaire; rudimentaire	Ils vivent dans une petite maison rudimentaire.
简体字	caractère chinois simplifié	Ce manuel utilise les caractères chinois simplifiés.
简要	bref; concis	Veuillez expliquer brièvement votre point de vue.
健全	sain; complet	L'entreprise doit mettre en place un système de gestion complet.
剑	épée	Une ancienne épée est accrochée au mur.
溅	éclabousser	L'eau de pluie a éclaboussé son pantalon.
舰艇	navire de guerre	Plusieurs navires de guerre ont participé à l'exercice.
见多识广	expérimenté et cultivé	Cette personne âgée est expérimentée et cultivée.
见解	opinion; point de vue	Il a un point de vue original sur cette question.
见闻	connaissances acquises; choses vues et entendues	Le voyage a enrichi ses connaissances.
见义勇为	agir courageusement pour une juste cause	Il a été félicité pour avoir agi courageusement.
践踏	piétiner	Ne piétinez pas la pelouse.
鉴别	distinguer; identifier	Les experts peuvent distinguer l'authenticité de cette peinture.
鉴定	évaluer; identifier	La police est en train d'identifier les empreintes digitales.
鉴于	étant donné; vu que	Étant donné le mauvais temps, l'activité est reportée.
间谍	espion	Ce film raconte une histoire d'espionnage.
间隔	intervalle	Il y a une semaine d'intervalle entre les deux réunions.
间接	indirect	Cette politique aura une influence indirecte.
僵硬	raide; figé	Son sourire paraît très figé.
将军	général	Le général a donné l'ordre.
将近	presque; près de	Ce projet a duré presque deux ans.
将就	s'accommoder de; faire avec	Les conditions ne sont pas bonnes, nous ne pouvons que faire avec.
奖励	récompenser; récompense	L'école a récompensé les élèves excellents.
奖赏	récompense; prix	Le roi a donné une généreuse récompense au guerrier.
桨	rame; pagaie	Le batelier a ramé vers la rive avec une rame.
降临	tomber; arriver	La nuit tombe progressivement sur la ville.
交叉	se croiser; intersection	Les deux routes se croisent ici.
交代	expliquer; confier	Veuillez expliquer clairement la tâche.
交涉	négocier	Les deux parties négocient la question de l'indemnisation.
交易	transaction; affaire	Cette transaction est déjà terminée.
娇气	délicat; douillet	Ne sois pas trop douillet, il ne fait pas froid.
焦点	foyer; point central	La question de l'emploi est devenue le point central de la discussion.
焦急	anxieux	La mère attend anxieusement le retour de son enfant.
侥幸	par chance; par hasard	Il a échappé au désastre par chance.
搅拌	mélanger; remuer	Veuillez mélanger la pâte uniformément.
缴纳	payer	Les habitants doivent payer les frais d'eau à temps.
角落	coin	Le chat se cache dans le coin de la pièce.
教养	éducation; bonne tenue	Une bonne éducation se voit dans les détails.
较量	s'affronter; rivaliser	Deux équipes fortes vont bientôt s'affronter.
接连	successivement; d'affilée	Il a reçu trois courriels d'affilée.
揭露	révéler; exposer	Le journaliste a révélé le problème de sécurité alimentaire.
皆	tous; chacun	Ces règles sont connues de tous.
阶层	couche sociale; strate	Différentes couches sociales ont des besoins différents.
截止	clore; prendre fin	Les inscriptions se terminent demain après-midi.
截至	jusqu'à; à la date de	Jusqu'à aujourd'hui, deux cents personnes se sont inscrites.
杰出	remarquable; exceptionnel	C'est une scientifique remarquable.
竭尽全力	faire tout son possible	Nous ferons tout notre possible pour terminer la tâche.
结晶	cristallisation; fruit	Ce résultat est le fruit de nombreuses années d'efforts.
结局	fin; dénouement	La fin de l'histoire est inattendue.
结算	régler un compte	Le client demande à régler les frais à la fin du mois.
节制	modération; contrôler	Il faut faire preuve de modération dans l'alimentation.
节奏	rythme	Le rythme de cette chanson est rapide.
解除	lever; supprimer	L'entreprise a levé l'alerte de sécurité.
解放	libérer; libération	La réforme a libéré les forces productives.
解雇	licencier	Le patron a décidé de licencier cet employé.
解剖	disséquer; anatomie	Les étudiants en médecine apprennent l'anatomie.
解散	dissoudre; se disperser	Après la fin de la réunion, l'équipe s'est dispersée.
解体	se désintégrer; s'effondrer	Cette alliance a fini par se désintégrer.
借鉴	s'inspirer de; prendre comme référence	Nous pouvons nous inspirer de l'expérience étrangère.
借助	avec l'aide de; s'appuyer sur	Il a trouvé l'itinéraire avec l'aide de la carte.
戒备	être sur ses gardes; vigilance	La région frontalière reste en état de haute vigilance.
界限	limite; frontière	Le travail et la vie ont besoin de limites claires.
津津有味	avec grand intérêt	Les enfants écoutent l'histoire avec grand intérêt.
金融	finance; financier	Le marché financier a fortement fluctué aujourd'hui.
紧迫	urgent; pressant	Le temps presse, nous devons agir immédiatement.
锦上添花	ajouter encore à ce qui est déjà parfait	Ce cadeau ajoute vraiment encore à ce qui est déjà parfait.
晋升	promouvoir	Il a été promu chef de département l'année dernière.
浸泡	tremper	Les haricots doivent tremper toute la nuit.
近来	récemment	Récemment, le temps change beaucoup.
进而	puis; ensuite	Il faut d'abord comprendre les besoins, puis élaborer un plan.
进攻	attaquer; offensive	L'équipe a renforcé son attaque en seconde mi-temps.
进化	évolution	Les êtres vivants évoluent avec l'environnement.
进展	progrès; avancer	Le projet avance bien pour le moment.
兢兢业业	consciencieux	Il a travaillé consciencieusement pendant trente ans.
惊动	alerter; déranger	Le grand bruit a alerté les habitants voisins.
惊奇	étonné; surpris	Les enfants regardaient le spectacle de magie avec étonnement.
惊讶	surpris; étonné	Sa réponse m'a beaucoup surpris.
精打细算	gérer avec soin	Elle gère toujours son budget avec soin.
精华	essence; quintessence	Cet article résume l'essence de la théorie.
精简	simplifier; réduire	L'entreprise a décidé de réduire l'équipe de direction.
精密	précis; de haute précision	Cet instrument est très précis.
精确	exact; précis	Les données doivent être exactes à deux décimales près.
精通	maîtriser; être expert en	Il maîtrise trois langues étrangères.
精心	soigneusement; avec grand soin	La mère a préparé le dîner avec grand soin.
精益求精	chercher toujours à s'améliorer	Les excellents artisans cherchent toujours à s'améliorer.
精致	raffiné; exquis	L'emballage de ce cadeau est très raffiné.
经费	fonds; budget	Le budget de recherche a été approuvé.
经纬	longitude et latitude; points principaux	Les lignes de longitude et de latitude sont indiquées sur la carte.
茎	tige	La tige de la plante soutient les feuilles.
井	puits	Il y a un vieux puits à l'entrée du village.
警告	avertir; avertissement	Le professeur a averti les élèves de ne pas tricher.
警惕	vigilant; se méfier	Nous devons rester vigilants face aux escroqueries en ligne.
颈椎	vertèbres cervicales	Baisser la tête longtemps abîme les vertèbres cervicales.
境界	domaine; niveau	Sa peinture a atteint un nouveau niveau.
敬礼	salut militaire	Le soldat salue le drapeau national.
敬业	dévoué à son travail	Elle travaille sérieusement et est très dévouée à son travail.
竞赛	concours; compétition	L'école a organisé un concours de mathématiques.
竞选	se présenter à une élection	Il se prépare à se présenter à la mairie.
镜头	objectif; plan	Le photographe a ajusté l'objectif.
纠纷	litige; conflit	Les deux parties ont résolu le litige par médiation.
纠正	corriger	Le professeur a corrigé à temps l'erreur de prononciation.
酒精	alcool	Le médecin désinfecte la plaie avec de l'alcool.
就近	à proximité	Les élèves peuvent être scolarisés à proximité.
就业	emploi; trouver un emploi	Le gouvernement a lancé des politiques pour promouvoir l'emploi.
就职	entrer en fonction	Le nouveau directeur prendra officiellement ses fonctions la semaine prochaine.
救济	secours; aide d'urgence	Les sinistrés ont reçu une aide d'urgence à temps.
居民	habitants	Les habitants voisins s'opposent à la pollution sonore.
居住	résider; habiter	Ils habitent ici depuis dix ans.
拘留	détenir	La police a détenu le suspect conformément à la loi.
拘束	être gêné; retenue	Ne sois pas gêné devant des amis.
鞠躬	s'incliner	Les acteurs s'inclinent pour remercier le public.
局部	local; partiel	Le médecin n'a pratiqué qu'une anesthésie locale.
局面	situation	Les négociations ont amélioré la situation tendue.
局势	situation; conjoncture	La situation internationale reste complexe.
局限	limite	Cette méthode a des limites évidentes.
举动	acte; geste	Son geste a beaucoup touché tout le monde.
举世瞩目	attirer l'attention du monde entier	Ce projet a obtenu des résultats qui attirent l'attention du monde entier.
举足轻重	jouer un rôle décisif	Cette entreprise joue un rôle décisif dans le secteur.
咀嚼	mâcher	Il faut mâcher lentement en mangeant.
沮丧	découragé; abattu	Après la défaite, il était très abattu.
剧本	scénario; script	Le réalisateur modifie le scénario.
剧烈	violent; intense	Le sol a subi une violente secousse.
据悉	d'après les informations	D'après les informations, la réunion sera reportée à la semaine prochaine.
聚精会神	se concentrer	Les enfants écoutent le cours avec concentration.
卷	enrouler	Il a enroulé la carte et l'a mise dans son sac.
倔强	obstiné; têtu	Cet enfant a un caractère obstiné.
决策	décision; prise de décision	La direction discute d'une décision importante.
绝望	désespoir	Après l'échec, il a un temps ressenti du désespoir.
觉悟	conscience; prise de conscience	Cette expérience a élevé sa prise de conscience.
觉醒	s'éveiller; prendre conscience	La conscience écologique du public s'éveille.
军队	armée	L'armée est arrivée rapidement dans la zone sinistrée.
