simplified	PL	example_PL
系领带	wiązać krawat	Przed pracą codziennie wiąże krawat.
纪录	rekord	On pobił szkolny rekord.
纪律	dyscyplina	Dyscyplina w klasie jest bardzo ważna.
纪念	upamiętniać; pamiątka	Zrobiliśmy zdjęcia, żeby upamiętnić ten dzień.
计算	obliczać	Proszę obliczyć łączny koszt.
记录	notować; zapis	Proszę zanotować treść spotkania.
记忆	pamięć; wspomnienie	To wspomnienie jest bardzo cenne.
嘉宾	gość honorowy	Dzisiejszym gościem jest pisarz.
夹子	klips; zacisk	Proszę spiąć dokumenty klipsem.
家庭	rodzina	Rodzina jest bardzo ważna dla dzieci.
家务	prace domowe	W weekend muszę wykonywać prace domowe.
家乡	rodzinne strony; rodzinne miasto	Bardzo tęsknię za rodzinnymi stronami.
假如	jeśli; przypuśćmy że	Jeśli jutro będzie padać, nie pójdziemy.
假设	założenie; przypuścić	Przypuśćmy, że jesteś nauczycielem; co byś zrobił?
假装	udawać	On udawał, że nie słyszy.
甲	strona A; pierwszy	Strona A musi zapłacić na czas.
价值	wartość	Ta książka ma dużą wartość.
嫁	wyjść za mąż	Ona w przyszłym roku wyjdzie za swojego chłopaka.
驾驶	prowadzić; kierować	Prowadząc samochód, jedź ostrożnie.
兼职	praca na część etatu; dorabiać	On wieczorami pracuje na część etatu.
坚决	zdecydowany; stanowczy	On stanowczo nie zgadza się z tą decyzją.
坚强	silny; wytrzymały	Ona jest silną osobą.
肩膀	ramię; bark	Jego bark jest zraniony.
艰巨	trudny; ciężki	To jest trudne zadanie.
艰苦	ciężki; trudny	Oni doświadczyli ciężkiego życia.
剪刀	nożyczki	Proszę podać mi nożyczki.
捡	podnieść; zebrać	On podniósł portfel z ziemi.
简历	życiorys; CV	Przed ubieganiem się o pracę przygotuj CV.
简直	po prostu; wręcz	Ta wiadomość jest po prostu szokująca.
健身	ćwiczyć; dbać o formę	On chodzi ćwiczyć trzy razy w tygodniu.
建立	ustanowić; zbudować	Nawiązaliśmy nową relację.
建设	budować; budowa	Budowa miasta szybko postępuje.
建筑	budynek; architektura	Ten budynek ma charakterystyczne cechy.
键盘	klawiatura	Moja klawiatura wymaga wyczyszczenia.
讲究	przykładać wagę; wykwintny	Chińczycy przykładają dużą wagę do jedzenia.
讲座	wykład	Dziś wieczorem jest wykład o chińskim.
酱油	sos sojowy	Dodaj do potrawy trochę sosu sojowego.
交换	wymieniać; zamieniać się	Wymieniliśmy się numerami telefonów.
交际	kontakty społeczne; komunikacja	Ucząc się języka, trzeba też ćwiczyć komunikację.
交往	utrzymywać kontakty; spotykać się	Oni spotykają się od dwóch lat.
浇	podlewać; polewać	Proszę codziennie podlewać kwiaty.
胶水	klej	Przykleiłem zdjęcie klejem.
狡猾	przebiegły; chytry	Ten lis jest bardzo przebiegły.
角度	kąt; punkt widzenia	Spójrzmy na problem z innego punktu widzenia.
教材	podręcznik; materiały dydaktyczne	Ten podręcznik jest bardzo praktyczny.
教练	trener	Trener wymaga, żebyśmy przychodzili punktualnie.
教训	lekcja; nauczka	Ta porażka jest nauczką.
接触	kontakt; zetknąć się	To mój pierwszy kontakt z kulturą chińską.
接待	przyjmować gości	Firma zorganizowała kogoś do przyjęcia gości.
接近	zbliżać się; bliski	Święto Wiosny się zbliża.
结实	solidny; wytrzymały	Ta walizka jest bardzo wytrzymała.
阶段	etap	Faza nauki dzieli się na trzy etapy.
结构	struktura	Ten artykuł ma jasną strukturę.
结合	łączyć; połączyć	Naukę należy łączyć z praktyką.
结论	wniosek	Jego wniosek jest bardzo przekonujący.
结账	zapłacić rachunek	Po jedzeniu poszliśmy zapłacić rachunek.
节省	oszczędzać	Jazda metrem może oszczędzić czas.
借口	wymówka	Przestań szukać wymówek.
届	edycja; kadencja	To jest trzecia edycja konkursu.
戒	rzucić; wystrzegać się	Lekarz poradził mu rzucić palenie.
戒指	pierścionek	Ona nosi pierścionek.
金属	metal	Żelazo jest rodzajem metalu.
尽快	jak najszybciej	Proszę jak najszybciej odpowiedzieć na e-mail.
紧急	pilny; nagły	To jest pilna sprawa.
谨慎	ostrożny	Przed inwestowaniem zachowaj ostrożność.
尽力	dołożyć starań; zrobić wszystko	Zrobię wszystko, żeby ci pomóc.
尽量	starać się jak najbardziej	Proszę postaraj się przyjść jak najwcześniej.
近代	czasy nowożytne	W nowożytnych Chinach zaszło wiele zmian.
进步	postęp; robić postępy	Jego chiński szybko się poprawia.
进口	importować; importowany	To auto jest importowane.
精力	energia	Dzieci mają dużo energii.
精神	duch; stan psychiczny	On jest dziś w dobrej formie.
经典	klasyczny; klasyka	To jest klasyczny film.
经商	prowadzić interesy	Jego ojciec prowadzi interesy za granicą.
经营	prowadzić; zarządzać	Ona prowadzi mały sklep.
酒吧	bar	Oni wieczorem poszli do baru.
救	ratować	Lekarz uratował mu życie.
救护车	karetka	Karetka przyjechała szybko.
舅舅	wujek ze strony matki	Mój wujek ze strony matki mieszka w Nankinie.
居然	nieoczekiwanie; aż	On naprawdę zapomniał o własnych urodzinach.
桔子	mandarynka	Na stole leży kilka mandarynek.
俱乐部	klub	Ona dołączyła do klubu pływackiego.
具备	posiadać; mieć	On ma doświadczenie w zarządzaniu.
具体	konkretny	Proszę mówić trochę bardziej konkretnie.
巨大	ogromny	Ten projekt wymaga ogromnej inwestycji.
据说	podobno	Podobno on już wrócił do swojego kraju.
捐	darować; przekazać datek	Wszyscy chętnie przekazują pieniądze.
决赛	finał	Jutro jest finał piłki nożnej.
决心	determinacja; postanowienie	On postanowił dobrze nauczyć się chińskiego.
绝对	absolutnie; bezwzględnie	Tej sprawy absolutnie nie wolno zapomnieć.
角色	rola; postać	Ona odgrywa ważną rolę w filmie.
军事	wojskowy; wojskowość	On bardzo interesuje się historią wojskowości.
均匀	równomierny	Proszę nałożyć kolor równomiernie.
卡车	ciężarówka	Przy wejściu stoi ciężarówka.
开发	rozwijać; opracowywać	Firma opracowuje nowy produkt.
开放	otwierać; otwarty	Park otwiera się codziennie rano o szóstej.
开幕式	ceremonia otwarcia	Ceremonia otwarcia odbędzie się jutro wieczorem.
开水	przegotowana woda	Proszę dać mi kubek przegotowanej wody.
砍	ciąć; rąbać	Robotnik przycina gałęzie.
看不起	pogardzać; patrzeć z góry	Nie patrz z góry na nikogo.
看望	odwiedzać	W ten weekend odwiedzę dziadków.
靠	opierać się; polegać	On oparł się o ścianę, żeby odpocząć.
颗	klasyfikator dla małych okrągłych rzeczy	Na nocnym niebie jest gwiazda.
可见	widać więc; wynika z tego	Widać więc, że ta metoda jest skuteczna.
可靠	niezawodny; godny zaufania	On jest godnym zaufania przyjacielem.
可怕	straszny	Ten sen był zbyt straszny.
克	gram	Proszę dodać dwa gramy soli.
克服	pokonać; przezwyciężyć	Musimy pokonać trudności.
刻苦	pilny; pracowity	On uczy się bardzo pilnie.
客观	obiektywny	Proszę obiektywnie przeanalizować problem.
课程	kurs; zajęcia	Ten kurs jest bardzo przydatny.
空间	przestrzeń	W tym pokoju jest dużo przestrzeni.
控制	kontrolować; opanować	Kierowca kontrolował prędkość samochodu.
空闲	wolny czas	Masz wolny czas jutro po południu?
口味	smak; gust	Jego smak jest raczej delikatny.
夸	chwalić; przesadzać	Nauczyciel pochwalił go za duże postępy.
夸张	przesadny; przesadzać	Jego wyraz twarzy jest trochę przesadny.
会计	księgowy; księgowość	Ona pracuje w firmie jako księgowa.
宽	szeroki	Ta droga jest bardzo szeroka.
昆虫	owad	Dzieci obserwują owady.
扩大	rozszerzać; powiększać	Szkoła planuje powiększyć bibliotekę.
辣椒	papryczka chili	Do potrawy dodano dużo papryczek chili.
拦	zatrzymać; zablokować	Policja zatrzymała samochód.
烂	zepsuty; zgniły	To jabłko już zgniło.
朗读	czytać na głos	Proszę przeczytać tekst na głos.
劳动	praca; praca fizyczna	Praca daje ludziom poczucie spełnienia.
劳驾	przepraszam; proszę uprzejmie	Przepraszam, gdzie jest stacja metra?
姥姥	babcia ze strony matki	Moja babcia ze strony matki świetnie gotuje.
老百姓	zwykli ludzie	Zwykli ludzie martwią się kosztami życia.
老板	szef	Szefa nie ma dziś w biurze.
老婆	żona	On kupił kwiaty dla żony.
老实	uczciwy; szczery	On jest uczciwym człowiekiem.
老鼠	mysz; szczur	W kuchni jest mysz.
乐观	optymistyczny	Ona optymistycznie patrzy w przyszłość.
雷	grzmot	Wczorajszy grzmot był bardzo głośny.
类型	typ; rodzaj	Do jakiego typu należy ten film?
冷淡	chłodny; obojętny	Jego postawa jest trochę chłodna.
厘米	centymetr	Ten długopis ma piętnaście centymetrów długości.
梨	gruszka	Kupiłem kilka gruszek.
离婚	rozwieść się	Oni rozwiedli się w zeszłym roku.
理论	teoria	Ta teoria jest bardzo złożona.
理由	powód	Jaki masz powód spóźnienia?
利润	zysk	Zysk firmy wzrósł w tym roku.
利息	odsetki	Odsetki bankowe nie są wysokie.
利益	korzyść; interes	Musimy chronić interesy wszystkich.
利用	wykorzystywać	On wykorzystuje weekend na naukę chińskiego.
力量	siła	Jedność to siła.
立即	natychmiast	Proszę natychmiast stąd wyjść.
立刻	natychmiast	Po usłyszeniu wiadomości natychmiast wyruszył.
联合	wspólnie; łączyć	Dwie firmy wspólnie opracowały produkt.
连忙	szybko; natychmiast	Gdy usłyszał telefon, szybko go odebrał.
连续	ciągły; z rzędu	On pracował dziesięć godzin z rzędu.
恋爱	miłość; związek romantyczny	Oni są w związku romantycznym.
粮食	zboże; żywność	Tegoroczna produkcja zboża wzrosła.
良好	dobry; korzystny	On ma dobre nawyki w nauce.
亮	jasny	Światło w pokoju jest bardzo jasne.
了不起	niezwykły; wspaniały	Ona osiągnęła niezwykłe wyniki.
列车	pociąg	Pociąg zaraz odjedzie.
临时	tymczasowy	To jest tymczasowa decyzja.
灵活	elastyczny	Metody nauki powinny być elastyczne.
铃	dzwonek	Zadzwonił dzwonek na lekcję.
零件	część; element	W maszynie brakuje jednej części.
零食	przekąska	Dzieci lubią jeść przekąski.
领导	kierownik; przywódca	Kierownik jest na spotkaniu.
领域	dziedzina	Ona pracuje w dziedzinie edukacji.
流传	przekazywać się; krążyć	Ta historia jest przekazywana od dawna.
流泪	płakać; ronić łzy	Po usłyszeniu tej wiadomości rozpłakała się.
浏览	przeglądać	Najpierw przejrzę stronę internetową.
龙	smok	W kulturze chińskiej są smoki.
漏	przeciekać; pominąć	Dach przecieka podczas deszczu.
录取	przyjąć; zakwalifikować	On został przyjęty przez uniwersytet.
录音	nagrywać; nagranie	Proszę rozpocząć nagrywanie.
陆地	ląd	Żółw morski wyszedł na ląd.
陆续	kolejno; jeden po drugim	Goście przychodzili jeden po drugim.
轮流	zmieniać się; robić na zmianę	Na zmianę sprzątamy klasę.
论文	praca dyplomowa; artykuł naukowy	Ona pisze pracę dyplomową.
逻辑	logika	Jego logika jest bardzo jasna.
落后	pozostawać w tyle	Nie możemy pozostawać w tyle za innymi.
骂	besztać; przeklinać	Proszę nie besztać dziecka.
麦克风	mikrofon	Proszę podać mu mikrofon.
馒头	mantou; bułka gotowana na parze	Na śniadanie zjadłem bułkę gotowaną na parze.
满足	spełniać; zaspokajać	Ta odpowiedź nie spełnia wymagań.
毛病	problem; usterka	Ten komputer ma małą usterkę.
矛盾	sprzeczność; konflikt	Między nimi są pewne konflikty.
冒险	ryzykować; ryzyko	Samotne pójście tam jest zbyt ryzykowne.
贸易	handel	Handel międzynarodowy szybko się rozwija.
媒体	media	Media opisały tę sprawę.
煤炭	węgiel	Ten region produkuje węgiel.
眉毛	brwi	Jej brwi są gęste.
美术	sztuka; plastyka	Moja młodsza siostra lubi sztukę.
魅力	urok	To miasto ma dużo uroku.
梦想	marzenie; marzyć	Jego marzeniem jest zostać lekarzem.
密切	bliski; ścisły	Utrzymujemy bliski kontakt.
秘密	tajemnica	To jest nasza tajemnica.
秘书	sekretarz; sekretarka	Sekretarka ustaliła czas spotkania.
蜜蜂	pszczoła	Wśród kwiatów jest dużo pszczół.
面对	stawić czoła; mierzyć się	Powinniśmy odważnie mierzyć się z trudnościami.
面积	powierzchnia	Powierzchnia tego pokoju nie jest duża.
面临	stawać wobec	Firma stoi wobec nowych wyzwań.
描写	opisywać	Autor opisał życie na wsi.
苗条	szczupły	Ona ma szczupłą sylwetkę.
敏感	wrażliwy	Ten temat jest dość wrażliwy.
名牌	znana marka	On kupił zegarek znanej marki.
名片	wizytówka	Proszę dać mi wizytówkę.
名胜古迹	zabytki i malownicze miejsca	W Pekinie jest wiele zabytków i malowniczych miejsc.
明确	jasny; wyraźny	Nauczyciel jasno wyjaśnił wymagania.
明显	oczywisty; wyraźny	Jego postępy są oczywiste.
明星	gwiazda; celebryta	Ona chce zostać gwiazdą filmową.
命令	rozkaz; polecenie	Żołnierze muszą wykonywać rozkazy.
命运	los; przeznaczenie	On wierzy, że los można zmienić.
摸	dotykać; głaskać	Proszę nie dotykać tego obrazu.
摩托车	motocykl	On jeździ do pracy motocyklem.
模仿	naśladować	Dzieci lubią naśladować mowę dorosłych.
模糊	rozmazany; niejasny	To zdjęcie jest trochę rozmazane.
模特	model; modelka	Ona jest modelką.
陌生	obcy; nieznajomy	To miasto jest dla mnie bardzo obce.
某	pewien; jakiś	Zadzwonił do mnie pewien nauczyciel.
木头	drewno	Ten stół jest zrobiony z drewna.
目标	cel	Moim celem jest zdać egzamin.
目录	spis treści; katalog	Proszę najpierw spojrzeć na spis treści na początku książki.
目前	obecnie	Obecnie sytuacja jest dość stabilna.
哪怕	nawet jeśli	Nawet jeśli jest zajęty, nadal się uczy.
难怪	nic dziwnego	Nic dziwnego, że dziś jesteś taki szczęśliwy.
难免	trudno uniknąć	Za pierwszym razem trudno uniknąć błędów.
脑袋	głowa	Trochę boli go głowa.
内部	wewnętrzny	To są wewnętrzne materiały firmy.
内科	interna; oddział chorób wewnętrznych	Dzisiaj idzie do internisty.
嫩	miękki; delikatny	Ten kawałek mięsa jest bardzo miękki.
能干	zdolny; kompetentny	Ona jest bardzo kompetentną osobą.
能源	energia; źródło energii	Energia słoneczna jest rodzajem czystej energii.
嗯	mhm; tak	Mhm, rozumiem.
年代	lata; epoka	To zdjęcie zrobiono w latach osiemdziesiątych.
年纪	wiek	On nie jest bardzo stary, ale ma dużo doświadczenia.
念	czytać na głos; studiować	Proszę przeczytać tekst na głos jeden raz.
宁可	woleć	Wolę iść pieszo niż czekać na autobus.
牛仔裤	dżinsy	On ma na sobie dżinsy.
农村	wieś; obszar wiejski	Ona dorastała na wsi.
农民	rolnik	Rolnicy pracują na polach.
农业	rolnictwo	Rolnictwo jest bardzo ważne dla tego regionu.
浓	mocny; gęsty	Ta kawa jest zbyt mocna.
女士	pani	Ta pani czeka na autobus.
欧洲	Europa	W przyszłym miesiącu jedzie do Europy.
偶然	przypadkowo	Przypadkowo spotkałem dawnego kolegę z klasy.
拍	robić zdjęcie; klaskać	Proszę pomóc mi zrobić zdjęcie.
派	wysłać; stronnictwo	Firma wysłała go w podróż służbową do Szanghaju.
盼望	wyczekiwać; mieć nadzieję	Nie mogę się doczekać, kiedy cię zobaczę.
培训	szkolenie; szkolić	Nowi pracownicy muszą uczestniczyć w szkoleniu.
培养	rozwijać; kształcić	Szkoła ceni rozwijanie zdolności uczniów.
赔偿	odszkodować; zrekompensować	Firma zgodziła się zrekompensować stratę.
佩服	podziwiać	Naprawdę podziwiam jego odwagę.
配合	współpracować; dopasować się	Proszę współpracować z ustaleniami nauczyciela.
盆	donica; miednica	Na balkonie stoi donica z kwiatami.
碰	dotknąć; zderzyć się	Uważaj, nie dotykaj gorącej wody.
批	partia; krytykować	Ta partia towaru dotarła dzisiaj.
批准	zatwierdzić	Menedżer zatwierdził ten plan.
披	narzucić; okryć	Ona ma narzucony na ramiona płaszcz.
疲劳	zmęczenie	Długa praca może powodować zmęczenie.
匹	klasyfikator dla koni	Na trawie jest koń.
片	plaster; kawałek	Proszę dać mi kromkę chleba.
片面	jednostronny	Ten pogląd jest zbyt jednostronny.
飘	unosić się	Płatki śniegu unoszą się w powietrzu.
拼音	pinyin	Proszę zapisać pinyin obok chińskich znaków.
频道	kanał	Proszę przełączyć na kanał informacyjny.
凭	na podstawie; dzięki	Możesz wejść na podstawie biletu.
平均	średnio; przeciętny	Średnio każda osoba wydała dziesięć yuanów.
平	płaski; równy	Ta droga jest bardzo równa.
平安	bezpieczny; cały i zdrowy	Życzę ci bezpiecznej podróży.
平常	zwykle; zwyczajny	On zwykle rzadko się spóźnia.
平等	równy; równość	Wszyscy powinni być traktowani równo.
平方	kwadratowy	Ten pokój ma dwadzieścia metrów kwadratowych.
平衡	równowaga	Praca i życie potrzebują równowagi.
平静	spokojny	Powierzchnia jeziora jest bardzo spokojna.
评价	ocena; oceniać	Nauczyciel dał bardzo wysoką ocenę.
破产	zbankrutować; bankructwo	Ta firma zbankrutowała w zeszłym roku.
破坏	niszczyć; uszkodzenie	Proszę nie niszczyć mienia publicznego.
迫切	pilny; palący	Pilnie potrzebujemy więcej lekarzy.
期待	oczekiwać; czekać z nadzieją	Nie mogę się doczekać tej podróży.
期间	w czasie; okres	W czasie spotkania proszę wyłączyć telefon.
其余	pozostały; reszta	Pozostałe sprawy omówimy jutro.
奇迹	cud	Lekarz powiedział, że to cud.
企业	przedsiębiorstwo; firma	To przedsiębiorstwo szybko się rozwija.
启发	inspirować; natchnienie	Ta książka dała mi dużo inspiracji.
气氛	atmosfera	Atmosfera w klasie jest bardzo swobodna.
汽油	benzyna	Samochód potrzebuje benzyny.
签	podpisać	Proszę podpisać się tutaj.
谦虚	skromny	On jest świetny, a przy tym bardzo skromny.
前途	perspektywy; przyszłość	Ten kierunek ma dobre perspektywy.
浅	płytki	Ta rzeka jest bardzo płytka.
欠	być dłużnym; brakować	On nadal jest mi winien dwadzieścia yuanów.
枪	broń; pistolet	Policjant trzyma broń.
墙	ściana	Na ścianie wisi obraz.
强调	podkreślać	Nauczyciel podkreślił kwestie bezpieczeństwa.
强烈	silny; intensywny	On ma silne poczucie odpowiedzialności.
抢	walczyć o; wyrywać	Nie walcz z innymi o miejsca.
悄悄	cicho; po kryjomu	Ona cicho weszła do pokoju.
瞧	patrzeć; spójrz	Spójrz, na dworze pada śnieg.
巧妙	sprytny; pomysłowy	Ta metoda jest bardzo sprytna.
切	kroić; ciąć	Proszę pokroić owoce na małe kawałki.
亲爱	drogi; kochany	Drogi przyjacielu, dziękuję.
亲切	życzliwy; serdeczny	Nauczyciel mówi bardzo serdecznie.
亲自	osobiście	Menedżer osobiście przyjął gości.
勤奋	pilny; pracowity	Pracowici ludzie łatwiej osiągają sukces.
清淡	lekki; delikatny	Lubię jeść lekkie potrawy.
轻视	lekceważyć	Nie lekceważ tego małego problemu.
轻易	łatwo; pochopnie	On nie podda się łatwo.
青	niebieskozielony	To ubranie jest niebieskozielone.
青春	młodość	Młodość jest cenna.
青少年	nastolatek; młodzież	Nastolatki potrzebują wystarczająco dużo snu.
情景	scena; sytuacja	Scena w filmie jest bardzo wzruszająca.
情绪	nastrój; emocje	Jego emocje nie są zbyt stabilne.
请求	prośba; prosić	On złożył prośbę.
庆祝	świętować	Świętowaliśmy jego urodziny.
球迷	kibic	Wielu kibiców przyszło obejrzeć mecz.
趋势	trend; tendencja	Ten trend staje się coraz bardziej oczywisty.
取消	anulować; odwołać	Wydarzenie odwołano z powodu deszczu.
娶	ożenić się z kobietą	On planuje ożenić się z nią w przyszłym roku.
去世	umrzeć; odejść	Jego dziadek zmarł w zeszłym roku.
圈	koło; zakreślić	Proszę zakreślić poprawną odpowiedź.
全面	kompleksowy; całościowy	Musimy całościowo zrozumieć sytuację.
权利	prawo	Każdy ma prawo do edukacji.
权力	władza	Władza powinna podlegać nadzorowi.
劝	radzić; namawiać	Przyjaciel poradził mi wcześniej odpocząć.
缺乏	brakować; niedobór	W tym rejonie brakuje czystej wody.
确定	ustalić; pewny	Nadal nie mogę ustalić godziny.
确认	potwierdzić	Proszę potwierdzić swój adres.
群	grupa; tłum	Grupa dzieci bawi się na boisku.
燃烧	płonąć; spalać się	Drewno płonie.
绕	okrążać; obchodzić	Obeszliśmy jezioro dookoła.
热爱	kochać; z pasją lubić	On kocha swoją pracę.
热烈	gorący; serdeczny	Wszyscy serdecznie powitali gości.
热心	życzliwy; pełen zapału	Sąsiedzi są bardzo życzliwi.
人才	talent; utalentowana osoba	Firma potrzebuje więcej utalentowanych ludzi.
人口	ludność	To miasto ma dużą liczbę ludności.
人类	ludzkość	Ludzkość musi chronić Ziemię.
人民币	renminbi; yuan chiński	Wymieniłem trochę renminbi.
人生	życie człowieka	W życiu jest wiele wyborów.
人事	kadry; sprawy personalne	Ona pracuje w dziale kadr.
人物	postać; osoba	Postacie w powieści wydają się bardzo prawdziwe.
人员	personel	Wszyscy pracownicy już przybyli.
忍不住	nie móc się powstrzymać	Po usłyszeniu żartu nie mógł powstrzymać śmiechu.
日常	codzienny	To jest moja codzienna praca.
日程	harmonogram	Dzisiejszy harmonogram jest bardzo napięty.
日历	kalendarz	Na ścianie wisi kalendarz.
日期	data	Proszę wyraźnie napisać datę.
日用品	artykuły codziennego użytku	Supermarket sprzedaje wiele artykułów codziennego użytku.
日子	dni; czas	Ostatnio jest bardzo zajęty.
如何	jak	Jak powinniśmy rozwiązać ten problem?
如今	obecnie; dziś	Obecnie transport jest znacznie wygodniejszy.
软	miękki	To łóżko jest bardzo miękkie.
软件	oprogramowanie	To oprogramowanie jest łatwe w użyciu.
弱	słaby	Jego ciało jest dość słabe.
洒	rozlać; spryskać	On przypadkiem rozlał wodę.
嗓子	gardło; głos	Trochę boli mnie gardło.
色彩	kolorystyka; barwy	Ten obraz ma bogatą kolorystykę.
杀	zabić	W tym filmie nie ma scen zabójstwa.
沙漠	pustynia	Woda na pustyni jest bardzo cenna.
沙滩	plaża	Dzieci bawią się na plaży.
傻	głupi; niemądry	Nie rób nic głupiego.
晒	suszyć na słońcu; opalać się	Ubrania suszą się na słońcu na balkonie.
删除	usunąć	Proszę usunąć ten e-mail.
闪电	błyskawica	Nocą pojawiła się błyskawica.
善良	dobry; życzliwy	Ona jest dobrą osobą.
善于	być dobrym w	On dobrze radzi sobie z rozwiązywaniem problemów.
扇子	wachlarz	Latem często używam wachlarza.
伤害	ranić; szkodzić	Nie rań uczuć innych ludzi.
商品	towar	W tym sklepie jest dużo towarów.
商务	biznesowy; sprawy handlowe	Jutro weźmie udział w spotkaniu biznesowym.
商业	handel; biznes	Handel w tym rejonie jest dobrze rozwinięty.
上当	dać się oszukać	On prawie dał się oszukać.
蛇	wąż	W trawie jest wąż.
舍不得	nie mieć serca się rozstać	Żal mi opuszczać to miejsce.
射击	strzelanie; strzelać	On trenuje strzelanie.
摄影	fotografia	Ona bardzo interesuje się fotografią.
设备	sprzęt; wyposażenie	Sprzęt w laboratorium jest bardzo zaawansowany.
设计	projekt; projektować	Ten projekt jest bardzo kreatywny.
设施	udogodnienia; obiekty	Infrastruktura sportowa szkoły jest dobra.
伸	wyciągać; rozciągać	Proszę wyciągnąć rękę.
深刻	głęboki	To doświadczenie wywarło na mnie głębokie wrażenie.
身材	sylwetka; budowa ciała	Ona ma zdrową sylwetkę.
身份	tożsamość; status	Proszę okazać dokument tożsamości.
神话	mit; mitologia	Dzieci lubią słuchać mitów.
神秘	tajemniczy	To starożytne miasto jest bardzo tajemnicze.
升	podnosić się; litr	Cena ropy za litr trochę wzrosła.
声调	ton	Chiński ma cztery podstawowe tony.
生产	produkować	Ta fabryka produkuje telefony komórkowe.
生动	żywy; obrazowy	Nauczyciel tłumaczy bardzo obrazowo.
生长	rosnąć	Ten rodzaj rośliny rośnie szybko.
绳子	lina; sznurek	Proszę związać pudełko sznurkiem.
省略	pominąć	Tutaj można pominąć jeden znak.
胜利	zwycięstwo	Oni w końcu odnieśli zwycięstwo.
失眠	bezsenność; cierpieć na bezsenność	On ostatnio często cierpi na bezsenność.
失去	stracić	Nie trać pewności siebie.
失业	bezrobocie; stracić pracę	Po utracie pracy zaczął uczyć się nowych umiejętności.
湿润	wilgotny	Powietrze po deszczu jest bardzo wilgotne.
狮子	lew	W zoo są dwa lwy.
诗	wiersz; poezja	On napisał wiersz.
实话	prawda	Proszę powiedzieć prawdę.
实践	praktyka; wprowadzać w życie	Teorię trzeba sprawdzać w praktyce.
实习	staż; praktyka	W wakacje będzie odbywać staż w szpitalu.
实现	zrealizować; osiągnąć	On w końcu zrealizował swoje marzenie.
实验	eksperyment; doświadczenie	Uczniowie przeprowadzają eksperyment.
实用	praktyczny	To narzędzie jest bardzo praktyczne.
时差	różnica czasu; jet lag	On jeszcze nie przyzwyczaił się do różnicy czasu.
时代	epoka; era	Żyjemy w epoce informacji.
时刻	moment; chwila	Proszę zapamiętać ten ważny moment.
时髦	modny	To ubranie jest bardzo modne.
时期	okres	Okres studiów miał na niego duży wpływ.
时尚	moda	Ona bardzo interesuje się modą.
石头	kamień	Przy drodze leży kamień.
食物	jedzenie	Proszę włożyć jedzenie do lodówki.
使劲儿	użyć siły	Trzeba użyć trochę siły, żeby otworzyć tę butelkę.
始终	od początku do końca; zawsze	On zawsze wierzył, że może odnieść sukces.
事实	fakt	Fakty dowodzą, że miał rację.
事物	rzecz; zjawisko	Dzieci są bardzo ciekawe nowych rzeczy.
事先	z góry; wcześniej	Proszę wcześniej powiedzieć mi godzinę.
似的	jakby	Wyglądał na tak zmęczonego, że nie chciał powiedzieć ani słowa.
士兵	żołnierz	Żołnierze trenują.
市场	rynek	Ten rynek jest bardzo żywy.
试卷	arkusz egzaminacyjny	Nauczyciel sprawdza arkusze egzaminacyjne.
收获	zysk; plon; rezultat	Z tej podróży dużo wyniosłem.
收据	paragon; pokwitowanie	Po zapłaceniu proszę zachować paragon.
手工	rękodzieło; ręczny	Ten prezent został zrobiony ręcznie.
手术	operacja	Lekarz jutro będzie go operował.
手套	rękawiczki	Zimą przy wyjściu zakładaj rękawiczki.
手续	formalności	Do załatwienia formalności potrzebny jest dowód osobisty.
手指	palec	Jego palec jest zraniony.
首	klasyfikator dla piosenek i wierszy	Ona zaśpiewała piosenkę.
受伤	zostać rannym; doznać urazu	On został kontuzjowany podczas meczu.
寿命	żywotność; długość życia	Ten rodzaj maszyny ma długą żywotność.
书架	regał na książki	Regał jest pełen książek.
梳子	grzebień	Ona czesze włosy grzebieniem.
舒适	wygodny; komfortowy	Ten pokój jest bardzo wygodny.
蔬菜	warzywa	Jedzenie większej ilości warzyw jest dobre dla zdrowia.
输入	wprowadzać; wpisywać	Proszę wpisać hasło do komputera.
熟练	biegły; wprawny	On biegle obsługuje komputer.
属于	należeć do	Ta książka należy do biblioteki.
数	liczyć; liczba	Proszę policzyć, ile jest osób.
鼠标	mysz komputerowa	Moja mysz komputerowa jest zepsuta.
数据	dane	Te dane są bardzo ważne.
数码	cyfrowy	On kupił aparat cyfrowy.
摔倒	przewrócić się	Ona przewróciła się na drodze.
甩	strząsnąć; machnąć	On strząsnął wodę z rąk.
双方	obie strony	Obie strony zgodziły się na ten plan.
税	podatek	Przy zakupach trzeba płacić podatek.
说不定	może; kto wie	Może jutro będzie padał śnieg.
说服	przekonać	On w końcu przekonał rodziców.
丝绸	jedwab	Ten szalik jest zrobiony z jedwabiu.
丝毫	ani trochę	On ani trochę nie zmienił zdania.
思考	myśleć; rozważać	Proszę dobrze przemyśleć ten problem.
思想	myśl; sposób myślenia	Jego sposób myślenia jest bardzo otwarty.
撕	drzeć; rozrywać	Proszę nie drzeć tej kartki papieru.
私人	prywatny	To jest moja prywatna przestrzeń.
似乎	wydawać się	On wydaje się niezbyt szczęśliwy.
搜索	szukać; wyszukiwać	Wyszukałem materiały w internecie.
宿舍	akademik; internat	Uczniowie mieszkają w szkolnym internacie.
随身	mieć przy sobie	Proszę mieć paszport przy sobie.
随时	w każdej chwili	Możesz do mnie zadzwonić w każdej chwili.
