simplified	KM	example_KM
风格	រចនាប័ទ្ម	រចនាប័ទ្មរបស់ភោជនីយដ្ឋាននេះមានលក្ខណៈពិសេសណាស់។
风景	ទេសភាព	ទេសភាពលើភ្នំស្រស់ស្អាតណាស់។
风俗	ទំនៀមទម្លាប់	ទីកន្លែងនីមួយៗមានទំនៀមទម្លាប់ផ្ទាល់ខ្លួន។
风险	ហានិភ័យ	ការវិនិយោគមានហានិភ័យមួយចំនួន។
讽刺	ចំអករិះគន់	អត្ថបទនេះបានចំអករិះគន់បញ្ហាសង្គម។
否定	បដិសេធ	គាត់បានបដិសេធការអះអាងនេះ។
否认	បដិសេធ	គាត់បានបដិសេធថាគាត់បានធ្វើកំហុស។
幅	ផ្ទាំង	មានគំនូរមួយផ្ទាំងព្យួរនៅលើជញ្ជាំង។
扶	ជួយទ្រ	សូមជួយទ្រមនុស្សចាស់ឆ្លងផ្លូវ។
服装	សម្លៀកបំពាក់	ហាងនេះលក់សម្លៀកបំពាក់កុមារ។
辅导	បង្រៀនបន្ថែម	គ្រូបង្រៀនបន្ថែមសិស្សបន្ទាប់ពីចេញពីថ្នាក់។
复制	ចម្លង	សូមចម្លងឯកសារនេះ។
妇女	ស្ត្រី	មន្ទីរពេទ្យនេះផ្តល់សេវាសម្រាប់ស្ត្រី។
改革	កំណែទម្រង់	សាលាកំពុងអនុវត្តកំណែទម្រង់ការបង្រៀន។
改进	កែលម្អ	យើងត្រូវកែលម្អគុណភាពសេវាកម្ម។
改善	ធ្វើឲ្យប្រសើរ	ការហាត់ប្រាណអាចធ្វើឲ្យការគេងប្រសើរឡើង។
改正	កែតម្រូវ	សូមកែតម្រូវកំហុសឲ្យទាន់ពេល។
概括	សង្ខេប	សូមសង្ខេបខ្លឹមសារនៃអត្ថបទ។
概念	គំនិត	គំនិតនេះមិនងាយយល់ណាស់ទេ។
盖	គ្រប	សូមគ្របកែវឲ្យបានត្រឹមត្រូវ។
干脆	តែម្តង; ល្អជាង	ថ្ងៃនេះអ្នកកុំទៅតែម្តងប្រសើរជាង។
干燥	ស្ងួត	រដូវរងានៅភាគខាងជើងស្ងួតណាស់។
感激	ដឹងគុណ	ខ្ញុំដឹងគុណចំពោះជំនួយរបស់អ្នកណាស់។
感受	អារម្មណ៍	ខ្ញុំអាចយល់អារម្មណ៍របស់អ្នកបាន។
感想	ចំណាប់អារម្មណ៍	សូមនិយាយពីចំណាប់អារម្មណ៍របស់អ្នក។
赶紧	ប្រញាប់	យប់ជ្រៅហើយ ដូច្នេះប្រញាប់ចេញទៅ។
赶快	ប្រញាប់	សូមបិទទ្វារឲ្យលឿន។
干活儿	ធ្វើការ	គាត់កំពុងធ្វើការនៅក្នុងទីធ្លា។
钢铁	ដែកថែប	ស្ពាននេះធ្វើពីដែកថែប។
高档	ថ្នាក់ខ្ពស់	នេះជាសណ្ឋាគារថ្នាក់ខ្ពស់។
高级	កម្រិតខ្ពស់	នាងបានចូលថ្នាក់ភាសាចិនកម្រិតខ្ពស់។
搞	រៀបចំ; ធ្វើ	អ្នកកំពុងរៀបចំសកម្មភាពប្រភេទអ្វី?
告别	លាគ្នា	យើងបានលាគ្នាជាមួយមិត្តនៅព្រលានយន្តហោះ។
格外	ពិសេសណាស់	មេឃថ្ងៃនេះខៀវពិសេសណាស់។
隔壁	ជាប់ខាង	មានគ្រូម្នាក់រស់នៅជាប់ខាង។
个别	មួយចំនួនតូច	សិស្សមួយចំនួនតូចមិនទាន់ប្រគល់កិច្ចការផ្ទះទេ។
个人	ផ្ទាល់ខ្លួន	នេះជាទស្សនៈផ្ទាល់ខ្លួនរបស់ខ្ញុំ។
个性	បុគ្គលិកលក្ខណៈ	នាងមានបុគ្គលិកលក្ខណៈច្បាស់ណាស់។
各自	រៀងៗខ្លួន	មនុស្សគ្រប់គ្នាបញ្ចប់ភារកិច្ចរៀងៗខ្លួន។
根	ខ្សែ; ដើម	មានខ្សែភ្លើងមួយនៅក្រោមតុ។
根本	សោះ; ជាមូលដ្ឋាន	បញ្ហានេះមិនពិបាកសោះ។
公布	ប្រកាស	សាលាបានប្រកាសលទ្ធផលប្រឡង។
公开	សាធារណៈ	កិច្ចប្រជុំនេះបើកជាសាធារណៈ។
公平	យុត្តិធម៌	ការប្រកួតគួរតែមានយុត្តិធម៌។
公寓	អាផាតមិន	នាងបានជួលអាផាតមិនតូចមួយ។
公元	គ្រិស្តសករាជ	ឆ្នាំនេះគឺគ្រិស្តសករាជ ២០២៦។
公主	ព្រះនាង	ក្មេងស្រីតូចចូលចិត្តរឿងព្រះនាង។
功能	មុខងារ	កម្មវិធីនេះមានមុខងារច្រើន។
工厂	រោងចក្រ	រោងចក្រនេះផលិតរថយន្ត។
工程师	វិស្វករ	បងប្រុសរបស់ខ្ញុំជាវិស្វករ។
工具	ឧបករណ៍	ការជួសជុលកង់ត្រូវការឧបករណ៍។
工人	កម្មករ	កម្មករកំពុងជួសជុលផ្លូវ។
工业	ឧស្សាហកម្ម	ទីក្រុងនេះផ្អែកសំខាន់លើឧស្សាហកម្ម។
恭喜	អបអរសាទរ	អបអរសាទរដែលអ្នកបានជាប់ប្រឡង។
贡献	ការរួមចំណែក	គាត់បានរួមចំណែកដល់ក្រុមហ៊ុន។
沟通	ការប្រាស្រ័យទាក់ទង	ការប្រាស្រ័យទាក់ទងល្អសំខាន់ណាស់។
构成	បង្កើតឡើង	ផ្នែកទាំងនេះបង្កើតជារួមមួយ។
姑姑	មីងខាងឪពុក	ចុងសប្តាហ៍នេះខ្ញុំនឹងទៅសួរសុខទុក្ខមីងខាងឪពុក។
姑娘	ក្មេងស្រី; នារីវ័យក្មេង	នារីវ័យក្មេងនោះមានចិត្តកក់ក្តៅណាស់។
古代	សម័យបុរាណ	សម័យបុរាណគ្មានទូរស័ព្ទដៃទេ។
古典	បុរាណ	ខ្ញុំចូលចិត្តតន្ត្រីបុរាណ។
股票	ភាគហ៊ុន	គាត់បានទិញភាគហ៊ុនខ្លះ។
骨头	ឆ្អឹង	ឆ្អឹងនេះរឹងណាស់។
鼓舞	លើកទឹកចិត្ត	ព័ត៌មាននេះលើកទឹកចិត្តណាស់។
鼓掌	ទះដៃ	ទស្សនិកជនបានទះដៃឲ្យតារាសម្តែង។
固定	ថេរ	ខ្ញុំមានម៉ោងធ្វើការថេរ។
挂号	ចុះឈ្មោះពិនិត្យជំងឺ	អ្នកត្រូវចុះឈ្មោះមុនពេលជួបវេជ្ជបណ្ឌិត។
乖	ស្តាប់បង្គាប់	កុមារនេះស្តាប់បង្គាប់ណាស់។
拐弯	បត់	បត់ស្តាំនៅផ្លូវបំបែកខាងមុខ។
怪不得	មិនចម្លែកទេ	មិនចម្លែកទេដែលអ្នកនឿយហត់យ៉ាងនេះ។
关闭	បិទ	សូមបិទកុំព្យូទ័រមុនចេញទៅ។
官	មន្ត្រី	គាត់ជាមន្ត្រីវ័យក្មេងម្នាក់។
观察	សង្កេត	វេជ្ជបណ្ឌិតកំពុងសង្កេតស្ថានភាពអ្នកជំងឺ។
观点	ទស្សនៈ	ខ្ញុំយល់ព្រមនឹងទស្សនៈរបស់អ្នក។
观念	គំនិត	គំនិតរបស់យុវជនកំពុងផ្លាស់ប្តូរ។
管子	បំពង់	បំពង់នេះកំពុងលេចទឹក។
冠军	ជើងឯក	នាងបានឈ្នះជើងឯកក្នុងការប្រកួត។
光滑	រលោង	ផ្ទៃតុនេះរលោងណាស់។
光临	អញ្ជើញមក	យើងសូមស្វាគមន៍អ្នកអញ្ជើញមកម្តងទៀតនៅពេលក្រោយ។
光明	ភ្លឺស្វាង	អនាគតភ្លឺស្វាង។
光盘	ឌីស	សូមរក្សាទុកឯកសារទៅក្នុងឌីស។
广场	ទីលាន	មានមនុស្សច្រើននៅទីលាន។
广大	ទូលំទូលាយ; ច្រើន	ព័ត៌មាននេះត្រូវបានស្វាគមន៍ដោយសិស្សច្រើន។
广泛	ទូលំទូលាយ	សៀវភៅនេះមានឥទ្ធិពលទូលំទូលាយ។
归纳	សរុបចំណុច	គ្រូបានជួយយើងសរុបចំណុចសំខាន់ៗ។
规矩	ច្បាប់; សុជីវធម៌	កុមារគួរយល់ពីច្បាប់។
规律	ចង្វាក់ជាប្រចាំ	ជីវិតគួរតែមានចង្វាក់ជាប្រចាំ។
规模	ទំហំ	ក្រុមហ៊ុននេះមានទំហំធំ។
规则	ច្បាប់	ច្បាប់ប្រកួតច្បាស់ណាស់។
柜台	តុបញ្ជរ	សូមបង់ប្រាក់នៅតុបញ្ជរ។
滚	ពុះ	ទឹកពុះរួចហើយ។
锅	ឆ្នាំង	មានស៊ុបក្តៅនៅក្នុងឆ្នាំង។
国庆节	បុណ្យជាតិ	យើងមានថ្ងៃឈប់សម្រាកនៅថ្ងៃបុណ្យជាតិ។
国王	ព្រះមហាក្សត្រ	ព្រះមហាក្សត្ររស់នៅក្នុងព្រះបរមរាជវាំង។
果然	ដូចដែលរំពឹងទុក	គាត់បានមកដល់ទាន់ពេលដូចដែលរំពឹងទុក។
果实	ផ្លែ	ដើមឈើពេញទៅដោយផ្លែ។
过分	ហួសហេតុ	ការទាមទាររបស់គាត់ហួសហេតុបន្តិច។
过敏	អាលែហ្ស៊ី	ខ្ញុំអាលែហ្ស៊ីនឹងលម្អងផ្កា។
过期	ផុតកំណត់	ទឹកដោះគោដបនេះផុតកំណត់ហើយ។
哈	ហា	ហា ខ្ញុំយល់ហើយ។
海关	គយ	យើងបានតម្រង់ជួរដើម្បីពិនិត្យនៅគយ។
海鲜	អាហារសមុទ្រ	អាហារសមុទ្រនៅភោជនីយដ្ឋាននេះស្រស់ណាស់។
喊	ស្រែក	កុំស្រែកខ្លាំងក្នុងថ្នាក់រៀន។
行业	វិស័យ	វិស័យទេសចរណ៍កំពុងអភិវឌ្ឍយ៉ាងលឿន។
豪华	ប្រណិត	ពួកគេស្នាក់នៅសណ្ឋាគារប្រណិត។
好客	រាក់ទាក់ភ្ញៀវ	មនុស្សក្នុងតំបន់រាក់ទាក់ភ្ញៀវណាស់។
好奇	ចង់ដឹងចង់ឃើញ	កុមារចង់ដឹងចង់ឃើញអំពីពិភពលោកណាស់។
何必	ហេតុអ្វីចាំបាច់	ហេតុអ្វីចាំបាច់ខឹងដោយសាររឿងតូចមួយ?
何况	កុំថាឡើយ	ថ្ងៃនេះត្រជាក់ កុំថាឡើយវាកំពុងភ្លៀងផង។
合法	ស្របច្បាប់	កិច្ចសន្យានេះស្របច្បាប់។
合理	សមហេតុផល	តម្លៃនេះសមហេតុផល។
合同	កិច្ចសន្យា	ពួកគេបានចុះហត្ថលេខាលើកិច្ចសន្យា។
合影	ថតរូបជុំគ្នា	យើងបានថតរូបជុំគ្នាពេលបញ្ចប់ការសិក្សា។
合作	សហការ	យើងបានបញ្ចប់គម្រោងតាមរយៈការសហការ។
和平	សន្តិភាព	មនុស្សគ្រប់គ្នាសង្ឃឹមចង់បានសន្តិភាព។
核心	ស្នូល	ការជឿទុកចិត្តគឺជាស្នូលនៃការសហការ។
恨	ស្តាយក្រោយ; ស្អប់	គាត់ស្តាយក្រោយដែលមុននេះមិនបានខិតខំរៀន។
猴子	ស្វា	មានស្វាច្រើនក្បាលនៅសួនសត្វ។
后背	ខ្នង	ខ្នងរបស់គាត់ឈឺបន្តិច។
后果	ផលវិបាក	អ្នកត្រូវពិចារណាផលវិបាក។
呼吸	ដកដង្ហើម	សូមដកដង្ហើមវែងមួយ។
忽然	ភ្លាមៗ	មេឃងងឹតភ្លាមៗ។
忽视	មើលរំលង	កុំមើលរំលងបញ្ហានេះ។
壶	កំសៀវ	មានកំសៀវតែមួយនៅលើតុ។
糊涂	ច្របូកច្របល់	ថ្ងៃនេះខ្ញុំច្របូកច្របល់បន្តិច។
胡说	និយាយផ្តេសផ្តាស	កុំនិយាយផ្តេសផ្តាស រឿងនេះមិនពិតទេ។
胡同	ផ្លូវតូចចាស់	ប៉េកាំងមានផ្លូវតូចចាស់ៗជាច្រើន។
蝴蝶	មេអំបៅ	មានមេអំបៅមួយនៅក្នុងសួន។
花生	សណ្តែកដី	គាត់ចូលចិត្តញ៉ាំសណ្តែកដី។
华裔	អ្នកមានដើមកំណើតចិន	នាងជាអ្នកនិពន្ធមានដើមកំណើតចិន។
滑	រអិល	កម្រាលឥដ្ឋរអិល ដូច្នេះសូមប្រយ័ត្ន។
划	ចែវ	ពេលជិះទូក គាត់ទទួលខុសត្រូវចែវ។
化学	គីមីវិទ្យា	នាងបានរៀនគីមីវិទ្យានៅសាកលវិទ្យាល័យ។
话题	ប្រធានបទ	ប្រធានបទនេះគួរឲ្យចាប់អារម្មណ៍ណាស់។
怀念	នឹករលឹក	ខ្ញុំនឹករលឹកជីវិតសាកលវិទ្យាល័យខ្លាំងណាស់។
怀孕	មានផ្ទៃពោះ	នាងមានផ្ទៃពោះបីខែហើយ។
缓解	បន្ធូរបន្ថយ	ការសម្រាកអាចបន្ធូរបន្ថយសម្ពាធ។
幻想	ស្រមៃ	គាត់តែងស្រមៃអំពីការធ្វើដំណើរទៅអវកាស។
慌张	ភ័យស្លន់ស្លោ	ពេលជួបបញ្ហា កុំភ័យស្លន់ស្លោ។
黄金	មាស	តម្លៃមាសបានឡើងម្តងទៀត។
恢复	ស្តារឡើងវិញ	រាងកាយរបស់គាត់កំពុងស្តារឡើងវិញ។
挥	គ្រវី	នាងគ្រវីដៃ។
灰	ប្រផេះ	មេឃមានពណ៌ប្រផេះ។
灰尘	ធូលី	មានធូលីច្រើនលើតុ។
灰心	អស់សង្ឃឹម	បើបរាជ័យ កុំអស់សង្ឃឹម។
汇率	អត្រាប្តូរប្រាក់	អត្រាប្តូរប្រាក់ថ្ងៃនេះប៉ុន្មាន?
婚礼	ពិធីមង្គលការ	ពិធីមង្គលការរបស់ពួកគេសាមញ្ញណាស់។
婚姻	អាពាហ៍ពិពាហ៍	អាពាហ៍ពិពាហ៍ត្រូវការការយល់ចិត្តគ្នាទៅវិញទៅមក។
活跃	សកម្ម	គាត់សកម្មខ្លាំងក្នុងថ្នាក់។
伙伴	ដៃគូ	គាត់ជាដៃគូល្អបំផុតរបស់ខ្ញុំ។
火柴	ឈើគូស	នៅក្នុងប្រអប់នៅសល់ឈើគូសតែមួយដើម។
或许	ប្រហែលជា	ប្រហែលជាថ្ងៃស្អែកភ្លៀងនឹងធ្លាក់។
基本	មូលដ្ឋាន	ទាំងនេះជាតម្រូវការមូលដ្ឋាន។
机器	ម៉ាស៊ីន	ម៉ាស៊ីននេះខូចហើយ។
激烈	ខ្លាំងក្លា	ការប្រកួតខ្លាំងក្លាណាស់។
肌肉	សាច់ដុំ	បន្ទាប់ពីហាត់ប្រាណ សាច់ដុំរបស់ខ្ញុំឈឺបន្តិច។
及格	ជាប់	គាត់បានជាប់ប្រឡងលើកនេះ។
急忙	យ៉ាងប្រញាប់	គាត់រត់ចេញពីថ្នាក់យ៉ាងប្រញាប់។
急诊	ផ្នែកសង្គ្រោះបន្ទាន់	អ្នកជំងឺត្រូវបានបញ្ជូនទៅផ្នែកសង្គ្រោះបន្ទាន់។
极其	យ៉ាងខ្លាំង	បញ្ហានេះសំខាន់យ៉ាងខ្លាំង។
集合	ប្រមូលផ្តុំ	សូមប្រមូលផ្តុំនៅច្រកចូលម៉ោងប្រាំបី។
集体	ក្រុម	នេះជាសកម្មភាពក្រុម។
集中	ផ្តោតអារម្មណ៍	អ្នកគួរផ្តោតអារម្មណ៍ក្នុងថ្នាក់។
寂寞	ឯកោ	ការរស់នៅតែម្នាក់ឯងពេលខ្លះអាចឯកោ។
系领带	ចងក្រវាត់ក	គាត់ចងក្រវាត់កមុនទៅធ្វើការរាល់ថ្ងៃ។
纪录	កំណត់ត្រា	គាត់បានបំបែកកំណត់ត្រារបស់សាលា។
纪律	វិន័យ	វិន័យក្នុងថ្នាក់សំខាន់ណាស់។
纪念	រំលឹក	យើងបានថតរូបដើម្បីរំលឹកថ្ងៃនេះ។
计算	គណនា	សូមគណនាចំណាយសរុប។
记录	កត់ត្រា	សូមកត់ត្រាខ្លឹមសារកិច្ចប្រជុំ។
记忆	ការចងចាំ	ការចងចាំនេះមានតម្លៃណាស់។
嘉宾	ភ្ញៀវកិត្តិយស	ភ្ញៀវកិត្តិយសថ្ងៃនេះជាអ្នកនិពន្ធ។
夹子	ក្លីប	សូមកៀបឯកសារដោយក្លីប។
家庭	គ្រួសារ	គ្រួសារសំខាន់ណាស់សម្រាប់កុមារ។
家务	ការងារផ្ទះ	ចុងសប្តាហ៍ខ្ញុំត្រូវធ្វើការងារផ្ទះ។
家乡	ស្រុកកំណើត	ខ្ញុំនឹកស្រុកកំណើតខ្លាំងណាស់។
假如	បើសិនជា	បើសិនជាថ្ងៃស្អែកភ្លៀងធ្លាក់ យើងនឹងមិនទៅទេ។
假设	សន្មត់	សន្មត់ថាអ្នកជាគ្រូ អ្នកនឹងធ្វើអ្វី?
假装	ធ្វើពុត	គាត់ធ្វើពុតថាមិនបានឮ។
甲	ភាគីក	ភាគីកត្រូវបង់ប្រាក់ទាន់ពេល។
价值	តម្លៃ	សៀវភៅនេះមានតម្លៃណាស់។
嫁	រៀបការជាមួយបុរស	នាងនឹងរៀបការជាមួយមិត្តប្រុសរបស់នាងឆ្នាំក្រោយ។
驾驶	បើកបរ	ពេលបើកបរឡាន ត្រូវបើកបរដោយប្រុងប្រយ័ត្ន។
兼职	ការងារក្រៅម៉ោង	គាត់ធ្វើការក្រៅម៉ោងនៅពេលល្ងាច។
坚决	យ៉ាងដាច់ខាត	គាត់មិនយល់ព្រមនឹងសេចក្តីសម្រេចនេះយ៉ាងដាច់ខាត។
坚强	រឹងមាំ	នាងជាមនុស្សរឹងមាំ។
肩膀	ស្មា	ស្មារបស់គាត់រងរបួស។
艰巨	លំបាកធ្ងន់ធ្ងរ	នេះជាភារកិច្ចលំបាកធ្ងន់ធ្ងរ។
艰苦	លំបាក	ពួកគេបានឆ្លងកាត់ជីវិតលំបាក។
剪刀	កន្ត្រៃ	សូមហុចកន្ត្រៃឲ្យខ្ញុំ។
捡	រើស	គាត់បានរើសកាបូបលុយពីដី។
简历	ប្រវត្តិរូបសង្ខេប	រៀបចំប្រវត្តិរូបសង្ខេបមុនដាក់ពាក្យការងារ។
简直	ស្ទើរតែ; ពិតជាខ្លាំង	ព័ត៌មាននេះពិតជាធ្វើឲ្យភ្ញាក់ផ្អើលខ្លាំង។
健身	ហាត់ប្រាណ	គាត់ទៅហាត់ប្រាណបីដងក្នុងមួយសប្តាហ៍។
建立	បង្កើត	យើងបានបង្កើតទំនាក់ទំនងថ្មីមួយ។
建设	ការសាងសង់	ការសាងសង់ទីក្រុងកំពុងអភិវឌ្ឍយ៉ាងលឿន។
建筑	អគារ	អគារនេះមានលក្ខណៈពិសេសច្បាស់។
键盘	ក្តារចុច	ក្តារចុចរបស់ខ្ញុំត្រូវការសម្អាត។
讲究	យកចិត្តទុកដាក់ខ្លាំង	ជនជាតិចិនយកចិត្តទុកដាក់ខ្លាំងចំពោះអាហារ។
讲座	បាឋកថា	យប់នេះមានបាឋកថាភាសាចិនមួយ។
酱油	ទឹកស៊ីអ៊ីវ	បន្ថែមទឹកស៊ីអ៊ីវបន្តិចទៅក្នុងម្ហូប។
交换	ប្តូរ	យើងបានប្តូរលេខទូរស័ព្ទគ្នា។
交际	ការប្រាស្រ័យទាក់ទងក្នុងសង្គម	ពេលរៀនភាសា អ្នកក៏ត្រូវហាត់ការប្រាស្រ័យទាក់ទងផងដែរ។
交往	ទាក់ទងគ្នា; ស្រឡាញ់គ្នា	ពួកគេទាក់ទងស្នេហាគ្នារយៈពេលពីរឆ្នាំហើយ។
浇	ស្រោច	សូមស្រោចផ្ការាល់ថ្ងៃ។
胶水	កាវ	ខ្ញុំបានប្រើកាវបិទរូបថត។
狡猾	កលល្បិច; ឆ្លាតកោង	កញ្ជ្រោងនោះឆ្លាតកោងណាស់។
角度	មុំ; ជ្រុងមើល	យើងមើលបញ្ហាពីមុំមួយផ្សេងទៀតចុះ។
教材	សៀវភៅសិក្សា	សៀវភៅសិក្សានេះអនុវត្តបានល្អណាស់។
教练	គ្រូបង្វឹក	គ្រូបង្វឹកទាមទារឲ្យយើងមកដល់ទាន់ពេល។
教训	មេរៀន	បរាជ័យលើកនេះជាមេរៀនមួយ។
接触	ការប៉ះពាល់; ស្គាល់	នេះជាលើកដំបូងដែលខ្ញុំស្គាល់វប្បធម៌ចិន។
接待	ទទួលភ្ញៀវ	ក្រុមហ៊ុនបានរៀបចំមនុស្សម្នាក់ឲ្យទទួលភ្ញៀវ។
接近	ខិតជិត	បុណ្យចូលឆ្នាំចិនកាន់តែខិតជិតមកហើយ។
结实	រឹងមាំ	វ៉ាលីនេះរឹងមាំណាស់។
阶段	ដំណាក់កាល	ការសិក្សាត្រូវបានបែងចែកជាបីដំណាក់កាល។
结构	រចនាសម្ព័ន្ធ	អត្ថបទនេះមានរចនាសម្ព័ន្ធច្បាស់លាស់។
结合	រួមបញ្ចូល	ការសិក្សាគួរត្រូវបានរួមបញ្ចូលជាមួយការអនុវត្ត។
结论	សេចក្តីសន្និដ្ឋាន	សេចក្តីសន្និដ្ឋានរបស់គាត់មានអំណះអំណាងខ្លាំង។
结账	គិតលុយ	បន្ទាប់ពីញ៉ាំអាហារ យើងបានទៅគិតលុយ។
节省	សន្សំ	ការជិះរថភ្លើងក្រោមដីអាចសន្សំពេលវេលា។
借口	លេស	ឈប់រកលេសទៅ។
届	លើក	នេះជាការប្រកួតលើកទីបី។
戒	ផ្តាច់; បោះបង់	វេជ្ជបណ្ឌិតណែនាំឲ្យគាត់ផ្តាច់បារី។
戒指	ចិញ្ចៀន	នាងកំពុងពាក់ចិញ្ចៀនមួយ។
金属	លោហៈ	ដែកជាលោហៈមួយប្រភេទ។
尽快	ឲ្យបានឆាប់បំផុត	សូមឆ្លើយអ៊ីមែលឲ្យបានឆាប់បំផុត។
紧急	បន្ទាន់	នេះជាករណីបន្ទាន់។
谨慎	ប្រុងប្រយ័ត្ន	ត្រូវប្រុងប្រយ័ត្នមុនវិនិយោគ។
尽力	ខិតខំអស់ពីសមត្ថភាព	ខ្ញុំនឹងខិតខំអស់ពីសមត្ថភាពដើម្បីជួយអ្នក។
尽量	ព្យាយាមឲ្យបានច្រើនតាមអាចធ្វើបាន	សូមព្យាយាមមកដល់ឲ្យបានឆាប់តាមអាចធ្វើបាន។
近代	សម័យថ្មី	ប្រទេសចិនសម័យថ្មីបានឆ្លងកាត់ការផ្លាស់ប្តូរជាច្រើន។
进步	រីកចម្រើន	ភាសាចិនរបស់គាត់កំពុងរីកចម្រើនយ៉ាងលឿន។
进口	នាំចូល	ឡាននេះជាឡាននាំចូល។
精力	ថាមពល	កុមារមានថាមពលច្រើន។
精神	ស្មារតី	ថ្ងៃនេះគាត់មានស្មារតីល្អ។
经典	បុរាណល្បីល្បាញ	នេះជាខ្សែភាពយន្តបុរាណល្បីល្បាញមួយ។
经商	ធ្វើពាណិជ្ជកម្ម	ឪពុករបស់គាត់ធ្វើពាណិជ្ជកម្មនៅបរទេស។
经营	ដំណើរការ; គ្រប់គ្រង	នាងដំណើរការហាងតូចមួយ។
酒吧	បារ	ពេលល្ងាចពួកគេទៅបារ។
救	សង្គ្រោះ	វេជ្ជបណ្ឌិតបានសង្គ្រោះជីវិតគាត់។
救护车	ឡានសង្គ្រោះបន្ទាន់	ឡានសង្គ្រោះបន្ទាន់មកដល់យ៉ាងលឿន។
舅舅	ពូខាងម្តាយ	ពូខាងម្តាយរបស់ខ្ញុំរស់នៅណានជីង។
居然	មិនគួរឲ្យជឿ	គាត់មិនគួរឲ្យជឿភ្លេចថ្ងៃកំណើតរបស់ខ្លួន។
桔子	ក្រូចឃ្វិច	មានក្រូចឃ្វិចជាច្រើនលើតុ។
俱乐部	ក្លឹប	នាងបានចូលក្លឹបហែលទឹក។
具备	មាន	គាត់មានបទពិសោធន៍គ្រប់គ្រង។
具体	ជាក់លាក់	សូមនិយាយឲ្យជាក់លាក់បន្តិច។
巨大	ធំសម្បើម	គម្រោងនេះត្រូវការវិនិយោគធំសម្បើម។
据说	តាមគេនិយាយ	តាមគេនិយាយ គាត់បានត្រឡប់ទៅប្រទេសរបស់គាត់រួចហើយ។
捐	បរិច្ចាគ	មនុស្សគ្រប់គ្នាស្ម័គ្រចិត្តបរិច្ចាគប្រាក់។
决赛	វគ្គផ្តាច់ព្រ័ត្រ	ថ្ងៃស្អែកជាវគ្គផ្តាច់ព្រ័ត្របាល់ទាត់។
决心	ការប្តេជ្ញាចិត្ត	គាត់បានប្តេជ្ញាចិត្តរៀនភាសាចិនឲ្យបានល្អ។
绝对	ដាច់ខាត	រឿងនេះដាច់ខាតមិនត្រូវភ្លេចទេ។
角色	តួនាទី	នាងមានតួនាទីសំខាន់ក្នុងខ្សែភាពយន្ត។
军事	យោធា	គាត់ចាប់អារម្មណ៍ខ្លាំងលើប្រវត្តិសាស្ត្រយោធា។
均匀	ស្មើៗគ្នា	សូមលាបពណ៌ឲ្យស្មើៗគ្នា។
卡车	ឡានដឹកទំនិញ	ឡានដឹកទំនិញមួយចតនៅច្រកចូល។
开发	អភិវឌ្ឍ	ក្រុមហ៊ុនកំពុងអភិវឌ្ឍផលិតផលថ្មីមួយ។
开放	បើក	ឧទ្យានបើកម៉ោងប្រាំមួយរៀងរាល់ព្រឹក។
开幕式	ពិធីបើក	ពិធីបើកនឹងរៀបចំនៅល្ងាចថ្ងៃស្អែក។
开水	ទឹកក្តៅស្ងោរ	សូមឲ្យទឹកក្តៅស្ងោរមួយកែវខ្ញុំ។
砍	កាប់	កម្មករកំពុងកាប់មែកឈើ។
看不起	មើលងាយ	កុំមើលងាយនរណាម្នាក់។
看望	ទៅសួរសុខទុក្ខ	ចុងសប្តាហ៍នេះខ្ញុំនឹងទៅសួរសុខទុក្ខជីដូនជីតា។
靠	ផ្អែក	គាត់ផ្អែកជញ្ជាំងដើម្បីសម្រាក។
颗	គ្រាប់; ដួង	មានផ្កាយមួយដួងនៅលើមេឃពេលយប់។
可见	អាចឃើញថា	អាចឃើញថាវិធីនេះមានប្រសិទ្ធភាព។
可靠	គួរឲ្យទុកចិត្ត	គាត់ជាមិត្តគួរឲ្យទុកចិត្ត។
可怕	គួរឲ្យខ្លាច	សុបិននេះគួរឲ្យខ្លាចពេក។
克	ក្រាម	សូមបន្ថែមអំបិលពីរក្រាម។
克服	ជំនះ	យើងត្រូវជំនះការលំបាក។
刻苦	ខិតខំប្រឹងប្រែង	គាត់រៀនខិតខំប្រឹងប្រែងណាស់។
客观	អព្យាក្រឹត	សូមវិភាគបញ្ហាដោយអព្យាក្រឹត។
课程	វគ្គសិក្សា	វគ្គសិក្សានេះមានប្រយោជន៍ណាស់។
空间	លំហ	បន្ទប់នេះមានលំហច្រើន។
控制	គ្រប់គ្រង	អ្នកបើកបរបានគ្រប់គ្រងល្បឿនឡាន។
空闲	ពេលទំនេរ	រសៀលថ្ងៃស្អែកអ្នកមានពេលទំនេរទេ?
口味	រសជាតិ	រសជាតិរបស់គាត់ស្រាលបន្តិច។
夸	សរសើរ	គ្រូបានសរសើរគាត់ថាមានការរីកចម្រើនខ្លាំង។
夸张	បំផ្លើស	ការបង្ហាញរបស់គាត់បំផ្លើសបន្តិច។
会计	គណនេយ្យករ	នាងធ្វើការជាគណនេយ្យករនៅក្រុមហ៊ុន។
宽	ទូលាយ	ផ្លូវនេះទូលាយណាស់។
昆虫	សត្វល្អិត	កុមារកំពុងសង្កេតសត្វល្អិត។
扩大	ពង្រីក	សាលាមានផែនការពង្រីកបណ្ណាល័យ។
辣椒	ម្ទេស	បានដាក់ម្ទេសច្រើនក្នុងម្ហូប។
拦	រារាំង; ឃាត់	ប៉ូលិសបានឃាត់ឡានមួយ។
