source_headword	LO	example_LO
exposure	ການເປີດເຜີຍ	ການສຳຜັດແສງແດດສາມາດທຳລາຍຜິວໜັງ.
extension	ການຕໍ່ອາຍຸ	ການຕໍ່ເວລາກຳນົດໄດ້ຊ່ວຍທຸກຄົນ.
extensive	ກວ້າງຂວາງ	ຫໍສະໝຸດມີຊັບພະຍາກອນທີ່ກວ້າງຂວາງ.
extensively	ຢ່າງກວ້າງຂວາງ	ຫົວຂໍ້ດັ່ງກ່າວໄດ້ຖືກສຶກສາຢ່າງກວ້າງຂວາງ.
extract	ສານສະກັດ	ສານສະກັດຈາກວານິລາໃຫ້ລົດຊາດ.
fabric	ຜ້າ	ແພຮູ້ສຶກອ່ອນນຸ້ມ.
fabulous	ດີເລີດ	ອາຫານຄາບນັ້ນດີເລີດ.
failed	ລົ້ມເຫລວ	ຄວາມພະຍາຍາມທີ່ລົ້ມເຫຼວໄດ້ສອນບາງສິ່ງບາງຢ່າງໃຫ້ພວກເຮົາ.
fake	ປອມ	ເວັບໄຊທ໌ຂາຍປີ້ປອມ.
fame	ຊື່ສຽງ	ຊື່ສຽງໄດ້ປ່ຽນແປງຊີວິດສ່ວນຕົວຂອງລາວ.
fantasy	ຈິນຕະນາການ	ນະວະນິຍາຍເລື່ອງນີ້ເປັນແຟນຕາຊີ.
fare	ຄ່າໂດຍສານ	ຄ່າໂດຍສານລົດເມເພີ່ມຂຶ້ນ.
federal	ລັດຖະບານກາງ	ລັດຖະບານກາງໄດ້ປະກາດການໃຫ້ທຶນ.
fever	ໄຂ້	ເດັກນ້ອຍມີໄຂ້.
firefighter	ນັກດັບເພີງ	ນັກດັບເພີງໄດ້ຊ່ວຍຊີວິດໝາ.
firework	ບັ້ງໄຟດອກ	ບັ້ງໄຟດອກແຕກຢູ່ເທິງສວນສາທາລະນະ.
firm	ຫມັ້ນຄົງ	ບ່ອນນອນແມ່ນແໜ້ນ.
firmly	ຢ່າງຫນັກແຫນ້ນ	ລາວອັດປະຕູຢ່າງແໜ້ນໜາ.
flavour	ລົດຊາດ	ແກງມີລົດຊາດທີ່ເຂັ້ມຂຸ້ນ.
fond	ຮັກແພງ	ລາວມັກດົນຕີແຈັສ.
fool	ຄົນໂງ່	ຢ່າເຮັດຕົວຄືຄົນໂງ່.
forbid	ຫ້າມ	ກົດໝາຍຫ້າມສູບຢາຢູ່ທີ່ນີ້.
forecast	ການພະຍາກອນ	ການພະຍາກອນຄາດວ່າຝົນຈະຕົກ.
format	ຮູບແບບ	ໃຊ້ຮູບແບບໄຟລ໌ທີ່ຖືກຕ້ອງ.
formation	ການສ້າງຕັ້ງ	ການກໍ່ຕົວຂອງເມກປ່ຽນແປງຢ່າງໄວວາ.
formerly	ໃນເມື່ອກ່ອນ	ອາຄານນີ້ແຕ່ກ່ອນເຄີຍເປັນໂຮງຮຽນ.
fortunate	ໂຊກດີ	ພວກເຮົາໂຊກດີທີ່ມາຮອດໄວ.
forum	ເວທີປາໄສ	ເວທີປາໄສໄດ້ສົນທະນາກ່ຽວກັບນະໂຍບາຍສະພາບອາກາດ.
fossil	ຊາກດຶກດຳບັນ	ຟອດຊິວຖືກພົບເຫັນຢູ່ໃນຫີນ.
foundation	ພື້ນຖານ	ເຮືອນມີຮາກຖານທີ່ເຂັ້ມແຂງ.
founder	ຜູ້ກໍ່ຕັ້ງ	ຜູ້ກໍ່ຕັ້ງໄດ້ຕ້ອນຮັບແຂກ.
fraction	ສ່ວນຫນຶ່ງ	ມີພຽງແຕ່ນັກຮຽນສ່ວນໜ້ອຍເທົ່ານັ້ນທີ່ມາ.
fragment	ຊິ້ນສ່ວນ	ຊິ້ນສ່ວນແກ້ວຕົກຢູ່ເທິງພື້ນ.
framework	ໂຄງຮ່າງ	ກົດໝາຍສ້າງໂຄງຮ່າງທີ່ຊັດເຈນ.
fraud	ການສໍ້ໂກງ	ທະນາຄານກວດພົບການສໍ້ໂກງ.
freely	ຢ່າງອິດສະຫຼະ	ເດັກນ້ອຍຫຼິ້ນກັນຢ່າງອິດສະຫຼະຢູ່ທາງນອກ.
frequent	ເລື້ອຍໆ	ການພັກຜ່ອນເລື້ອຍໆຊ່ວຍປັບປຸງສະມາທິ.
fulfil	ບັນລຸ	ຂ້ອຍຫວັງວ່າຈະປະຕິບັດຕາມສັນຍາຂອງຂ້ອຍ.
full-time	ເຕັມເວລາ	ລາວມີວຽກເຮັດເຕັມເວລາ.
fundamentally	ໂດຍພື້ນຖານແລ້ວ	ແຜນການນີ້ແຕກຕ່າງກັນໂດຍພື້ນຖານ.
furious	ຄຽດແຄ້ນ	ລາວໃຈຮ້າຍຫຼາຍກ່ຽວກັບຄວາມຊັກຊ້າ.
gaming	ການຫຼິ້ນເກມ	ການຫຼິ້ນເກມສາມາດປັບປຸງຄວາມໄວໃນການຕອບສະໜອງ.
gay	ມັກຄົນເພດດຽວກັນ	ລາວສະໜັບສະໜູນສິດທິຂອງຄົນເກ.
gender	ເພດ	ແບບສຳຫຼວດໄດ້ຖາມກ່ຽວກັບເພດ.
gene	ຢີນ	ຢີນມີຜົນຕໍ່ສີຕາ.
genetic	ທາງກຳມະພັນ	ພະຍາດມີສາເຫດທາງກຳມະພັນ.
genius	ອັດສະລິຍະ	ນັກເປຍໂນໜຸ່ມຄົນນັ້ນແມ່ນອັດສະລິຍະ.
genuine	ແທ້ຈິງ	ຮອຍຍິ້ມຂອງລາວເບິ່ງຄືວ່າແທ້ຈິງ.
genuinely	ຢ່າງແທ້ຈິງ	ລາວຕ້ອງການຢາກຊ່ວຍເຫຼືອຢ່າງແທ້ຈິງ.
gesture	ທ່າທາງ	ລາວສະແດງທ່າທາງທີ່ເປັນມິດ.
gig	ການສະແດງສົດ	ວົງດົນຕີໄດ້ຫຼິ້ນງານສະແດງດົນຕີໃນຕົວເມືອງ.
globalization	ໂລກາພິວັດ	ໂລກາພິວັດມີຜົນກະທົບຕໍ່ທຸລະກິດທ້ອງຖິ່ນ.
globe	ໂລກ	ໜ່ວຍໂລກສະແດງໃຫ້ເຫັນທຸກທະວີບ.
golden	ສີທອງ	ຕາເວັນຕົກດິນປ່ຽນເປັນສີຄຳ.
goodness	ຄວາມດີ	ລາວເຊື່ອໃນຄວາມດີຂອງມະນຸດ.
gorgeous	ງົດງາມ	ສວນເບິ່ງຄືວ່າງົດງາມຫຼາຍ.
governor	ຜູ້ວ່າການ	ຜູ້ວ່າການໄດ້ລົງນາມໃນຮ່າງກົດໝາຍ.
graphic	ກຣາບຟິກ	ຮູບພາບທີ່ຊັດເຈນນັ້ນເຮັດໃຫ້ຜູ້ຊົມຕົກໃຈ.
graphics	ຮູບພາບກຣາບຟິກ	ເກມມີກຣາຟິກທີ່ງ່າຍດາຍ.
greatly	ຢ່າງຫຼວງຫຼາຍ	ຄຳແນະນຳຂອງທ່ານຊ່ວຍໄດ້ຢ່າງຫຼວງຫຼາຍ.
greenhouse	ເຮືອນແກ້ວ	ໝາກເລັ່ນເຕີບໂຕພາຍໃນເຮືອນແກ້ວ.
grocery	ຮ້ານຂາຍເຄື່ອງແຫ້ງ	ລາວຊື້ອາຫານແລະເຄື່ອງໃຊ້ຫຼັງຈາກເລີກວຽກ.
guideline	ຄຳແນະນຳ	ຂໍ້ແນະນຳອະທິບາຍການປະຕິບັດທີ່ປອດໄພ.
habitat	ຖິ່ນທີ່ຢູ່ອາໄສ	ປ່າໄມ້ແມ່ນບ່ອນຢູ່ອາໄສຂອງນົກ.
harbour	ທ່າເຮືອ	ເຮືອໄດ້ເຂົ້າສູ່ທ່າເຮືອ.
headquarters	ສຳນັກງານໃຫຍ່	ສຳນັກງານໃຫຍ່ຂອງບໍລິສັດໄດ້ຍ້າຍໄປໃນຕົວເມືອງ.
