simplified	SI	example_SI
慈祥	කරුණාවන්ත	ආච්චිගේ සිනහව ඉතා කරුණාවන්තය.
磁带	චුම්බක පටිය	මෙම පැරණි චුම්බක පටිය තවමත් වාදනය කළ හැක.
雌雄	ගැහැණු සහ පිරිමි	මෙම පක්ෂියාගේ ගැහැණු සහ පිරිමි වර්ණ වෙනස්ය.
伺候	සැලකිල්ලෙන් සේවය කිරීම	හෙදිය රෝගියාට සැලකිල්ලෙන් සේවය කළාය.
刺	කටුව	රෝස අත්තේ කටු බොහොමයක් ඇත.
次品	දෝෂ සහිත භාණ්ඩ	මෙම දෝෂ සහිත භාණ්ඩ විකිණිය නොහැක.
次序	අනුපිළිවෙළ	කරුණාකර අනුපිළිවෙළට පෝලිමේ සිටින්න.
丛	ගොන්න	මාර්ගය අසල වල් මල් ගොන්නක් ඇත.
从容	සන්සුන්	ඇය ප්‍රශ්නයට සන්සුන්ව පිළිතුරු දුන්නාය.
凑合	යන්තම් කළමනාකරණය කිරීම	කාමරය විශාල නොවුණත් යන්තම් පදිංචි විය හැක.
粗鲁	රළු	ඔහුගේ කතා විලාසය ඉතා රළුය.
窜	හදිසියේ පැන දිවීම	බළලා එකවරම ගෙට පැන දිව ගියේය.
摧残	විනාශ කිරීම	දිගුකාලීන දූෂණය මෙම වනය විනාශ කරනු ඇත.
脆弱	බිඳෙනසුලු	වීදුරු භාණ්ඩ ඉතා බිඳෙනසුලුය.
搓	අතින් අතුල්ලීම	ඔහු තම සීතල අත් දෙක අතුල්ලුවේය.
磋商	බරපතළ සාකච්ඡා කිරීම	දෙපාර්ශ්වය සාකච්ඡා දිගටම කරනු ඇත.
挫折	බාධාව	සෑම කෙනෙකුම ජීවිතයේ බාධාවන්ට මුහුණ දෙයි.
搭	නැඟී ගමන් කිරීම	අපි බස් රථයට නැඟී ගුවන් තොටුපළට යමු.
搭档	සහකරු	ඔහු මගේ වසර ගණනාවක වැඩ සහකරුය.
搭配	ගැළපීම	මෙම කබාය සහ කලිසම හොඳින් ගැළපේ.
答辩	වාචික ආරක්ෂණය	පශ්චාත් උපාධි සිසුයා තම නිබන්ධන වාචික ආරක්ෂණයට සූදානම් වේ.
答复	පිළිතුර	කරුණාකර හැකි ඉක්මනින් මට පිළිතුරක් දෙන්න.
达成	එළඹීම	දෙපාර්ශ්වය අවසානයේ එකඟතාවකට එළඹුණි.
打包	ඇසුරුම් කිරීම	සේවකයා ඉතිරි ආහාර අපට ඇසුරුම් කර දුන්නේය.
打官司	නඩු පැවරීම	ඔවුන් ගිවිසුම් ගැටලුවක් නිසා නඩු පැවරූහ.
打击	බරපතළ පහර	මෙම අසාර්ථකත්වය ඔහුට බරපතළ පහරක් විය.
打架	ගැටුම් කිරීම	සිසුන් පාසල් පරිශ්‍රයේ ගැටුම් කළහොත් දඬුවම් ලැබේ.
打量	පරීක්ෂා බැලීම	ඇය මාව ඉහළ සිට පහළ දක්වා පරීක්ෂා බැලුවාය.
打猎	දඩයම් කිරීම	මෙහි දඩයම් කිරීම තහනම්ය.
打仗	යුද්ධ කිරීම	කිසිවෙකුට යුද්ධ කිරීමට අවශ්‍ය නැත.
大不了	උපරිම නම්	උපරිම නම් අපි හෙට නැවත උත්සාහ කරමු.
大臣	අමාත්‍යවරයා	රජතුමා අමාත්‍යවරු කිහිපදෙනෙකු කැඳවීය.
大伙儿	සියලුදෙනා	සියලුදෙනාම ඔබේ තීරණය බලා සිටිති.
大肆	අසීමිත ලෙස	වෙළෙන්දා නව නිෂ්පාදනය අසීමිත ලෙස ප්‍රචාරය කළේය.
大体	සමස්තයක් ලෙස	සමස්තයක් ලෙස සැලැස්මේ ගැටලුවක් නැත.
大意	මූලික අදහස	කරුණාකර පළමුව මෙම ලිපියේ මූලික අදහස කියන්න.
大致	දළ වශයෙන්	සිද්ධිය සිදුවූ ආකාරය මම දළ වශයෙන් තේරුම් ගත්තෙමි.
歹徒	අපරාධකරු	පොලිසිය ඉක්මනින් අපරාධකරු අත්අඩංගුවට ගත්තේය.
代价	මිල	සාර්ථකත්වයට බොහෝ විට මිලක් ගෙවීමට සිදු වේ.
代理	තාවකාලිකව භාර ගැනීම	ඔහු තාවකාලිකව කළමනාකරුගේ කාර්යය භාර ගනී.
带领	නායකත්වය දීම	ගුරුවරයා සිසුන්ට කෞතුකාගාරය නැරඹීමට නායකත්වය දුන්නේය.
怠慢	නොසලකා හැරීම	අපි අමුත්තන් නොසලකා හැරිය නොහැක.
逮捕	අත්අඩංගුවට ගැනීම	පොලිසිය ප්‍රධාන සැකකරු අත්අඩංගුවට ගත්තේය.
担保	ඇපවීම	බැංකුව කෙනෙකු ඇප විය යුතු බව ඉල්ලා සිටියේය.
胆怯	බියසුලු	පළමු කතාවේදී ඔහු ටිකක් බියසුලු විය.
淡季	මන්ද සමය	සංචාරක මන්ද සමයේ ගුවන් ටිකට්පත් සාපේක්ෂව අඩු මිලට ඇත.
淡水	මිරිදිය	මෙම මාළු ජීවත් විය හැක්කේ මිරිදිය තුළ පමණි.
蛋白质	ප්‍රෝටීන්	බිත්තරවල ප්‍රෝටීන් බහුලව ඇත.
诞辰	උපන් දිනය	අද මෙම ලේඛකයාගේ උපන් දිනයයි.
诞生	උපත ලැබීම	මෙම අදහස සාකච්ඡාවේදී උපත ලැබීය.
当场	එම ස්ථානයේම	ඔහු එම ස්ථානයේම තම වැරැද්ද පිළිගත්තේය.
当初	ආරම්භයේදී	ආරම්භයේදී අපි සියලුදෙනාම මෙම තීරණයට සහාය දුන්නෙමු.
当代	සමකාලීන	සමකාලීන සමාජය ඉතා වේගයෙන් වෙනස් වේ.
当面	මුහුණට මුහුණ	ගැටලුවක් තිබේ නම් මුහුණට මුහුණ පැහැදිලි කිරීම වඩා හොඳය.
当前	වර්තමාන	වර්තමානයේ වැදගත්ම දෙය ආරක්ෂාව සහතික කිරීමයි.
当事人	සම්බන්ධ පාර්ශ්වය	පොලිසිය සම්බන්ධ පාර්ශ්වයෙන් ප්‍රශ්න කරමින් සිටී.
当务之急	අත්‍යවශ්‍ය ප්‍රමුඛතාව	නිවාස ගැටලුව විසඳීම අත්‍යවශ්‍ය ප්‍රමුඛතාවකි.
当选	තේරී පත්වීම	ඇය පහසුවෙන් සභාපතිනිය ලෙස තේරී පත් වූවාය.
党	පක්ෂය	මෙම පක්ෂය නව ප්‍රතිපත්ති ඉදිරිපත් කළේය.
档案	ලේඛන ගොනුව	පාසල සිසුන්ගේ ලේඛන ගොනු සුරක්ෂිතව තබා ඇත.
档次	මට්ටම	මෙම හෝටලයේ මට්ටම ඉතා උසස්ය.
倒闭	බංකොලොත් වී වසා දැමීම	එම කුඩා කඩය පසුගිය වසරේ බංකොලොත් වී වසා දැමුණි.
导弹	මිසයිලය	පුවත් වාර්තාව මිසයිල පරීක්ෂණය ගැන සඳහන් කළේය.
导航	මාර්ගෝපදේශනය	කරුණාකර දුරකථනයේ මාර්ගෝපදේශනය විවෘත කරන්න.
导向	දිශානතිය	අධ්‍යාපන ප්‍රතිපත්තිය සාධාරණත්වය දිශානතිය කරගත යුතුය.
捣乱	බාධා කිරීම	කරුණාකර පන්තියේදී බාධා නොකරන්න.
盗窃	සොරකම් කිරීම	වෙළඳ සංකීර්ණය සොරකම් වැළැක්වීමට පියවර වැඩි කළේය.
稻谷	වී	ගොවීන් වී අස්වැන්න කපමින් සිටිති.
得不偿失	ලාභයට වඩා පාඩු වැඩි වීම	මුදල් ඉතිරි කිරීමට නරක ද්‍රව්‍ය මිලදී ගැනීම ලාභයට වඩා පාඩු වැඩි කරයි.
得力	දක්ෂ	ඔහු කළමනාකරුගේ දක්ෂ සහායකයෙකි.
得天独厚	ස්වභාවික වාසි ඇති	මෙම නගරයට ස්වභාවික භූගෝලීය වාසි ඇත.
得罪	අමනාප කිරීම	කුඩා දෙයක් නිසා සහකාරයන් අමනාප කිරීමට මට අවශ්‍ය නැත.
灯笼	පහන් කූඩුව	වසන්ත උත්සවයේදී දොරටුවේ රතු පහන් කූඩු එල්ලයි.
登录	ගිණුමට පිවිසීම	කරුණාකර පළමුව ඔබේ ගිණුමට පිවිසෙන්න.
登陆	ගොඩබැසීම	සුළි කුණාටුව අද රාත්‍රියේ වෙරළබඩ ප්‍රදේශයට ගොඩබැසිය හැක.
蹬	පයින් තල්ලු කිරීම	ඔහු බලයෙන් පයින් තල්ලු කළ විට බයිසිකලය ගමන් කළේය.
等候	බලා සිටීම	මගීන් ශාලාවේ ගුවන් යානයට නැඟීමට බලා සිටිති.
等级	මට්ටම	මෙම මෘදුකාංගයට විවිධ සාමාජික මට්ටම් ඇත.
瞪	ඔරවා බැලීම	ඔහු කෝපයෙන් මට ඔරවා බැලුවේය.
堤坝	බැම්ම	දැඩි වැස්සෙන් පසු බැම්ම හොඳින් පරීක්ෂා කළ යුතුය.
敌视	සතුරු ලෙස බැලීම	අපි වෙනස් අදහස්වලට සතුරු ලෙස නොබැලිය යුතුය.
抵达	ළඟා වීම	ගුවන් යානය නියමිත වේලාවට බෙයිජිං වෙත ළඟා විය.
抵抗	ප්‍රතිරෝධය දැක්වීම	ගම්වාසීන් එක්ව ගංවතුරට ප්‍රතිරෝධය දැක්වූහ.
抵制	වර්ජනය කිරීම	පාරිභෝගිකයන් නරක නිෂ්පාදන වර්ජනය කිරීමට පටන් ගත්හ.
地步	තත්ත්වය	කාරණය තවම එතරම් බරපතළ තත්ත්වයකට පැමිණ නැත.
地势	භූමි තත්ත්වය	මෙහි භූමි තත්ත්වය උස් බැවින් ජලය එකතු වීමට පහසු නැත.
地质	භූවිද්‍යාත්මක තත්ත්වය	විශේෂඥයන් ප්‍රදේශයේ භූවිද්‍යාත්මක තත්ත්වය පරීක්ෂා කරමින් සිටිති.
递增	ක්‍රමයෙන් වැඩි වීම	විකුණුම් අගය මාස තුනක් අඛණ්ඩව ක්‍රමයෙන් වැඩි විය.
颠簸	කම්පනය වීම	කඳු මාර්ගය ඉතා කම්පනය වන බැවින් රිය පැදවීමේදී ප්‍රවේශම් වන්න.
颠倒	පිළිවෙළ මාරු කිරීම	ඔබ සංඛ්‍යා දෙකේ පිළිවෙළ මාරු කර ඇත.
典礼	උත්සවය	උපාධි ප්‍රදාන උත්සවය ප්‍රධාන ශාලාවේ පැවැත්වේ.
典型	සාමාන්‍ය නියැදිය	මෙය සාර්ථකත්වයේ සාමාන්‍ය නියැදියකි.
点缀	සැරසීම	කුඩා මල් කිහිපයක් ආහාර මේසය සැරසීය.
垫	යට තැබෙන පෑඩය	කරුණාකර මෙම කඩදාසිය කෝප්පය යට තබන්න.
奠定	පදනම දැමීම	මෙම සහයෝගිතාව දිගුකාලීන සබඳතාවකට පදනම දැමීය.
惦记	කනස්සල්ලෙන් සිහි කිරීම	අම්මා දුර සිටින දරුවා ගැන නිතර කනස්සල්ලෙන් සිහි කරයි.
电源	විදුලි සැපයුම	නිවසින් පිටවීමට පෙර විදුලි සැපයුම අක්‍රිය කරන්න.
叼	කටින් අල්ලා ගැනීම	එම බල්ලා අස්ථියක් කටින් අල්ලාගෙන සිටියේය.
雕刻	කැටයම් කිරීම	ඔහු ලී මත රටා කැටයම් කිරීමට කැමතිය.
雕塑	මූර්තිය	චතුරස්‍රයේ මැද මූර්තියක් ඇත.
吊	එල්ලා ඔසවීම	කම්කරුවන් යන්ත්‍රයකින් වානේ කඳ ඔසවා එල්ලූහ.
调动	මාරු කිරීම	සමාගම ඔහු ෂැංහයිහි වැඩට මාරු කළේය.
跌	වැටීම	කොටස් මිල අද නැවත වැටුණි.
丁	කුඩා කැටය	ආහාර වට්ටෝරුවේ අල කුඩා කැටවලට කපන්නැයි ලියා ඇත.
叮嘱	නැවත නැවත අවවාද කිරීම	ගුරුවරයා අපට ආරක්ෂාව ගැන නැවත නැවත අවවාද කළේය.
盯	තදින් බලා සිටීම	කරුණාකර අන් අය දෙස දිගටම තදින් බලා නොසිටින්න.
定期	නියමිත කාලවලදී	වෛද්‍යවරයා ඔහුට නියමිත කාලවලදී සෞඛ්‍ය පරීක්ෂා කිරීමට උපදෙස් දුන්නේය.
定义	නිර්වචනය	කරුණාකර පළමුව මෙම සංකල්පයේ නිර්වචනය පැහැදිලි කරන්න.
丢人	ලැජ්ජාවට පත් වීම	සියලුදෙනා ඉදිරියේ බොරු කීම ඇත්තෙන්ම ලැජ්ජාවට පත් වීමකි.
丢三落四	අමතකශීලී	ඔහු සැමවිටම අමතකශීලී වන අතර පිටවෙද්දී යතුරු අමතක කරයි.
东道主	සත්කාරකයා	සත්කාරකයන් ලෙස අපි අමුත්තන් හොඳින් බලාගත යුතුය.
东张西望	එහෙ මෙහෙ බැලීම	පන්තියේදී එහෙ මෙහෙ නොබලන්න.
董事长	අධ්‍යක්ෂ මණ්ඩල සභාපති	අධ්‍යක්ෂ මණ්ඩල සභාපති අද රැස්වීමට සහභාගි විය.
冻结	අත්හිටුවීම	බැංකුව මෙම ගිණුම තාවකාලිකව අත්හිටුවීය.
动荡	නොසන්සුන්තාව	යුද්ධය මෙම ප්‍රදේශය දිගුකාලීන නොසන්සුන්තාවකට පත් කළේය.
动机	අරමුණ	පොලිසිය ඔහුගේ අරමුණ විමර්ශනය කරමින් සිටී.
动静	චලන ශබ්දය	කාමරය තුළ කිසිදු චලන ශබ්දයක් නොතිබුණි.
动力	ප්‍රේරණ ශක්තිය	උනන්දුව ඉගෙනීමේ ප්‍රේරණ ශක්තියයි.
动脉	ධමනිය	වෛද්‍යවරයා ඔහුගේ ධමනිය පරීක්ෂා කළේය.
动身	පිටත් වීම	අපි හෙට උදෑසනම ගුවන් තොටුපළට පිටත් වෙමු.
动手	අත එසවීම	කාරණය තවම පැහැදිලි නැති නිසා කිසිවෙකු අත එසවිය යුතු නැත.
动态	වර්ධන තත්ත්වය	කරුණාකර ව්‍යාපෘතියේ වර්ධන තත්ත්වය නිතර අවධානයෙන් බලන්න.
动员	බලමුළු ගැන්වීම	පාසල සිසුන් ස්වේච්ඡා ක්‍රියාකාරකම් සඳහා බලමුළු ගැන්වීය.
栋	ගොඩනැගිලි ගණන් පදය	මෙම ගොඩනැගිල්ලට මහල් විස්සක් ඇත.
兜	සාක්කුව	ඔහු යතුර කබායේ සාක්කුවට දැමුවේය.
陡峭	තද බෑවුම් සහිත	මෙම කඳු මාර්ගය ඉතා තද බෑවුම් සහිතය.
斗争	සටන	ඔවුන් පරිසරය ආරක්ෂා කිරීමට සටන් කරති.
督促	උනන්දු කරවීම	කළමනාකරු කාර්යය නියමිත වේලාවට අවසන් කිරීමට සියලුදෙනා උනන්දු කළේය.
毒品	මත්ද්‍රව්‍ය	රේගුව මත්ද්‍රව්‍ය කණ්ඩායමක් සොයා අත්අඩංගුවට ගත්තේය.
独裁	ඒකාධිපතිත්වය	ජනතාව ඒකාධිපති පාලනයට විරුද්ධ වූහ.
堵塞	අවහිර කිරීම	කසළ නිසා ජලනල මාර්ගය අවහිර විය.
赌博	සූදු කෙළීම	සූදු කෙළීම බරපතළ ප්‍රතිඵල ගෙන එයි.
杜绝	සම්පූර්ණයෙන් නැවැත්වීම	සමාගම නාස්තිය සම්පූර්ණයෙන් නැවැත්වීමට ඉල්ලා සිටී.
端	අතේ ගෙන යාම	ඔහු උණුසුම් තේ කෝප්පයක් අතේ ගෙන ඇතුළු විය.
端午节	දුආන්වු උත්සවය	දුආන්වු උත්සවයේදී අපි සොංසි කන්නෙමු.
端正	නිවැරදි කිරීම	සිසුන් තම ඉගෙනුම් ආකල්පය නිවැරදි කළ යුතුය.
短促	කෙටි	ඔහු කෙටි සුසුමක් හෙළුවේය.
断定	නිගමනය කිරීම	දැන් කවුද හරි කවුද වැරදි යන්න නිගමනය කළ නොහැක.
断绝	සම්බන්ධතා කපා හැරීම	අනතුරෙන් පසු ගම බාහිර ලෝකයෙන් සම්බන්ධතා කපා හැරුණි.
堆积	ගොඩගැසීම	හිම මාර්ගය අසල ගොඩගැසුණි.
兑现	පොරොන්දුව ඉටු කිරීම	ඔහු අවසානයේ තම පොරොන්දුව ඉටු කළේය.
对策	මුහුණදීමේ උපාය	අවදානම් හමුවේ අපට මුහුණදීමේ උපායක් අවශ්‍ය වේ.
对称	සමමිතික	මෙම ගොඩනැගිල්ලේ වම් සහ දකුණු පැති ඉතා සමමිතිකය.
对付	මුහුණ දීම	මෙම ගැටලුවට මුහුණ දීම පහසු නැත.
对抗	ප්‍රතිවාද කිරීම	කණ්ඩායම් දෙක අවසන් තරගයේදී ප්‍රතිවාද කරනු ඇත.
对立	පරස්පර වීම	දෙපාර්ශ්වයේ ස්ථාන සම්පූර්ණයෙන්ම පරස්පරය.
对联	දොර පද යුගලය	වසන්ත උත්සවයේදී ඔවුන් දොරටුවේ පද යුගලයක් අලවති.
对应	අනුරූප වීම	සෑම අංකයක්ම එක් ආසනයකට අනුරූප වේ.
对照	සංසන්දනය කිරීම	කරුණාකර මුල් ලිපිය සමඟ පරිවර්තනය සංසන්දනය කර පරීක්ෂා කරන්න.
队伍	පෙළ	පෙළපාලියේ පෙළ සෙමින් ඉදිරියට ගමන් කළේය.
顿时	එකවරම	මෙම පුවත ඇසූ විට ඔහු එකවරම නිහඬ විය.
哆嗦	වෙව්ලීම	ඉතා සීතල නිසා ඔහු දිගටම වෙව්ලමින් සිටියේය.
多元化	විවිධීකරණය	සමාගම ව්‍යාපාර විවිධීකරණය ඉදිරියට ගෙන යමින් සිටී.
堕落	පිරිහීම	ඔහු තමන් තවදුරටත් පිරිහීමට ඉඩ නොදීමට කැමති විය.
额外	අතිරේක	මෙම සේවාවට අතිරේක ගාස්තුවක් අවශ්‍ය වේ.
恶心	ඔක්කාරය	එම ගඳ දැනුණු විට මට ටිකක් ඔක්කාරය ඇති විය.
恶化	නරක අතට හැරීම	ප්‍රතිකාර නොකළහොත් රෝග තත්ත්වය නරක අතට හැරිය හැක.
遏制	වළක්වා පාලනය කිරීම	රජය දූෂණය වළක්වා පාලනය කිරීමට පියවර ගත්තේය.
恩怨	පරණ අමනාපය	සමාගම් දෙක අතර පරණ අමනාපය දිගු කලක සිට පැවතුණි.
而已	පමණයි	මම එය සරලව කියූ දෙයක් පමණයි.
二氧化碳	කාබන් ඩයොක්සයිඩ්	ශාක කාබන් ඩයොක්සයිඩ් අවශෝෂණය කරයි.
发布	නිකුත් කිරීම	සමාගම හෙට නව නිෂ්පාදනයක් නිකුත් කරනු ඇත.
发财	ධනවත් වීම	ඔහු උත්සාහයෙන් ධනවත් වීමට බලාපොරොත්තු වේ.
发呆	හිස් සිතින් බලා සිටීම	ඇය ජනේලය අසල හිඳ හිස් සිතින් බලා සිටියාය.
发动	බලමුළු ගැන්වීම	ස්වේච්ඡා සේවකයෝ පදිංචිකරුවන් වීදි පිරිසිදු කිරීමට බලමුළු ගැන්වූහ.
发觉	අවබෝධ වීම	අද ඔහු ටිකක් ආතතියෙන් සිටින බව මට අවබෝධ විය.
发射	දියත් කිරීම	රොකට්ටුව රාත්‍රියේ දියත් කෙරේ.
发誓	දිවුරුම් දීම	ඔහු නැවත කිසිදා බොරු නොකියන බව දිවුරුම් දුන්නේය.
发行	ප්‍රකාශයට පත් කිරීම	මෙම චිත්‍රපටය ලබන මාසයේ ප්‍රකාශයට පත් කෙරේ.
发炎	දැවිල්ල ඇති වීම	තුවාලයේ ටිකක් දැවිල්ල ඇති වී ඇත.
发扬	ප්‍රවර්ධනය කිරීම	අපි කණ්ඩායම් සහයෝගිතා ආත්මය ප්‍රවර්ධනය කළ යුතුය.
发育	වර්ධනය	දරුවන්ගේ ශරීර වර්ධනයට ප්‍රමාණවත් පෝෂණය අවශ්‍ය වේ.
法人	නීතිමය පුද්ගලයා	මෙම සමාගම ස්වාධීන නීතිමය පුද්ගලයෙකි.
番	කියමන	මෙම කියමන මට බොහෝ ආභාසයක් ලබා දුන්නේය.
凡是	සියලුම	ලියාපදිංචි වූ සියලුම අය පුහුණුවට සහභාගි විය යුතුය.
繁华	සශ්‍රීක හා කාර්යබහුල	මෙම වීදිය කලින් ඉතා සශ්‍රීක හා කාර්යබහුල විය.
繁忙	කාර්යබහුල	නිවාඩු කාලයේ ගුවන් තොටුපළ විශේෂයෙන් කාර්යබහුල වේ.
繁体字	සම්ප්‍රදායික චීන අක්ෂර	තායිවාන් ප්‍රදේශයේ සම්ප්‍රදායික චීන අක්ෂර බොහෝ විට භාවිත වේ.
繁殖	ප්‍රජනනය	මෙම ශාකය ඉතා පහසුවෙන් ප්‍රජනනය වේ.
反驳	ප්‍රතිතර්ක කිරීම	ඔහු දත්ත භාවිත කර එම අදහසට ප්‍රතිතර්ක කළේය.
反常	අසාමාන්‍ය	අද කාලගුණය ටිකක් අසාමාන්‍යය.
反感	අකමැත්ත	මට එවැනි දැන්වීම් ගැන දැඩි අකමැත්තක් ඇත.
反抗	ප්‍රතිරෝධය දැක්වීම	ජනතාව අසාධාරණ නීතිවලට ප්‍රතිරෝධය දැක්වීමට පටන් ගත්හ.
反馈	ප්‍රතිචාර	පාරිභෝගික ප්‍රතිචාර අනුව පද්ධතිය ඉතා ස්ථාවරය.
反面	අනෙක් පැත්ත	කරුණාකර කඩදාසිය අනෙක් පැත්තට හරවන්න.
反射	ප්‍රතිබිම්බනය කිරීම	කැඩපත ආලෝකය ප්‍රතිබිම්බනය කරයි.
反思	නැවත සිතා බැලීම	අසාර්ථක වීමෙන් පසු ඔහු හේතු ගැන ගැඹුරින් නැවත සිතා බැලුවේය.
反问	ප්‍රතිප්‍රශ්නයක් ඇසීම	ඔහු පිළිතුරු නොදී මගෙන් ප්‍රතිප්‍රශ්නයක් ඇසුවේය.
反之	ඊට ප්‍රතිවිරුද්ධව	මිල අධික නම් ඉල්ලුම අඩු වේ; ඊට ප්‍රතිවිරුද්ධවද එසේමය.
泛滥	පිටාර ගැලීම	දැඩි වැස්ස නිසා ගඟේ ජලය පිටාර ගැලීය.
范畴	විෂය පරාසය	මෙම ගැටලුව නීති විෂය පරාසයට අයත් වේ.
贩卖	විකිණීම	නීතිය ව්‍යාජ ඖෂධ විකිණීම තහනම් කරයි.
方位	දිශාව	සිතියමේ නිවැරදි දිශාව සලකුණු කර ඇත.
方言	උපභාෂාව	ඔහුට එම ප්‍රදේශයේ උපභාෂාව තේරුම් ගත හැක.
方圆	අවට පරාසය	කිලෝමීටර් දහයක අවට පරාසය තුළ රෝහලක් නැත.
方针	ප්‍රතිපත්ති මඟපෙන්වීම	සමාගම නව සංවර්ධන ප්‍රතිපත්ති මඟපෙන්වීමක් සකස් කළේය.
防守	ආරක්ෂා කිරීම	මෙම කණ්ඩායමේ ආරක්ෂා කිරීම ඉතා ස්ථිරය.
防御	ආරක්ෂාව	නගර බිත්ති කලින් සතුරන්ගෙන් ආරක්ෂාවට භාවිත විය.
防止	වැළැක්වීම	තුවාල වීම වැළැක්වීමට කරුණාකර ආරක්ෂක පටි බැඳ ගන්න.
防治	වැළැක්වීම හා ප්‍රතිකාර	වෛද්‍යවරයා රෝග වැළැක්වීම හා ප්‍රතිකාර ක්‍රම පැහැදිලි කළේය.
纺织	රෙදි විවීම	මෙම නගරය රෙදි විවීමේ කර්මාන්තයෙන් ප්‍රසිද්ධය.
访问	සම්මුඛ සාකච්ඡා කිරීම	වාර්තාකරු හෙට මෙම ලේඛකයා සමඟ සම්මුඛ සාකච්ඡා කරනු ඇත.
放大	විශාල කිරීම	කරුණාකර පින්තූරය තව ටිකක් විශාල කරන්න.
放射	විකිරණය කිරීම	මෙම ද්‍රව්‍යය තාපය විකිරණය කරයි.
非法	නීති විරෝධී	නීති විරෝධී ගනුදෙනුවලට දඬුවම් ලැබේ.
飞禽走兽	පක්ෂීන් සහ සතුන්	වනයේ විවිධ පක්ෂීන් සහ සතුන් ජීවත් වෙති.
飞翔	පියාසර කිරීම	මුහුදු කුරුල්ලෝ මුහුද මත පියාසර කරති.
飞跃	විශාල ඉදිරි පිම්ම	තාක්ෂණ සංවර්ධනය විශාල ඉදිරි පිම්මක් ලබා ගත්තේය.
肥沃	සාරවත්	මෙම භූමිය ඉතා සාරවත්ය.
诽谤	අපහාස කිරීම	අන් අයට අපහාස කිරීම සඳහා නීතිමය වගකීම දරන්නට සිදු වේ.
废除	අහෝසි කිරීම	මෙම පැරණි නියමය දැනටමත් අහෝසි කර ඇත.
废寝忘食	වැඩට මුළුමනින්ම කැප වීම	ඔහු පර්යේෂණය සඳහා නින්දත් ආහාරත් අමතක කරමින් වැඩට කැප විය.
废墟	නටබුන්	භූමිකම්පාවෙන් පසු එම ස්ථානය නටබුන් බවට පත් විය.
沸腾	උතුරා යාම	ජලය දැනටමත් උතුරා ගොස් ඇත.
肺	පෙනහළු	දුම්පානය පෙනහළුවලට හානි කරයි.
分辨	වෙන්කර හඳුනා ගැනීම	මට මෙම වර්ණ දෙක වෙන්කර හඳුනා ගැනීම දුෂ්කරය.
分寸	සීමාව	විහිළු කිරීමේදීත් සීමාව ගැන සැලකිලිමත් විය යුතුය.
分红	ලාභ කොටස	කොටස් හිමියන්ට වසර අවසානයේ ලාභ කොටස ලැබිය හැක.
分解	කොටස්වලට බෙදීම	ගුරුවරයා සංකීර්ණ ගැටලුව පියවර කිහිපයකට බෙදා පැහැදිලි කළේය.
分裂	බෙදී යාම	අභ්‍යන්තර ගැටුම් නිසා සංවිධානය බෙදී ගියේය.
分泌	ස්‍රාවය කිරීම	මෙම ග්‍රන්ථිය හෝර්මෝන ස්‍රාවය කරයි.
分明	පැහැදිලි	සත්‍යය දැන් ඉතා පැහැදිලිය.
分歧	මතභේදය	දෙපාර්ශ්වය අතර මිල පිළිබඳ මතභේදයක් ඇත.
分散	විසුරුවා හැරීම	කරුණාකර අවදානම විවිධ ව්‍යාපෘති අතර විසුරුවා හරින්න.
吩咐	උපදෙස් දීම	ලොක්කා මට ලේඛන සකස් කිරීමට උපදෙස් දුන්නේය.
坟墓	සොහොන	කඳු බෑවුමේ පැරණි සොහොනක් ඇත.
粉末	කුඩු	කරුණාකර බෙහෙත් පෙති කුඩු කරන්න.
粉色	ලා රෝස පැහැය	ඇය ලා රෝස පැහැති ගෙල රෙද්දක් මිලදී ගත්තාය.
粉碎	කුඩු කර විනාශ කිරීම	පොලිසිය එම අපරාධ කණ්ඩායම කුඩු කර විනාශ කළේය.
分量	බර	මෙම වාක්‍යයේ බර ඉතා වැඩිය.
愤怒	කෝපය	ඔහුගේ ස්වරය කෝපයෙන් පිරී තිබුණි.
丰满	සම්පූර්ණ	මෙම ලිපියේ අන්තර්ගතය තවමත් ප්‍රමාණවත් ලෙස සම්පූර්ණ නැත.
丰盛	බහුල හා රසවත්	ඔවුන් බහුල හා රසවත් රාත්‍රී ආහාරයක් සූදානම් කළහ.
丰收	බහුල අස්වැන්න	මේ වසරේ ගොවීන්ට බහුල අස්වැන්නක් ලැබුණි.
封闭	වසා දැමීම	ඉදිකිරීම් කාලයේ මෙම මාර්ගය වසා දැමෙනු ඇත.
封建	සමන්තවාදී	මෙවැනි සමන්තවාදී අදහස් බොහෝ කලකට පෙරම වෙනස් විය යුතුය.
封锁	මුද්‍රා තැබීම	පොලිසිය අනතුරු ස්ථානය මුද්‍රා තැබුවේය.
锋利	තියුණු	මෙම පිහිය ඉතා තියුණුය.
风暴	කුණාටුව	මුහුදේ හදිසියේ කුණාටුවක් ඇති විය.
风度	ගෞරවනීය හැසිරීම	ඔහු වේදිකාවේ ඉතා ගෞරවනීය හැසිරීමක් පෙන්නුම් කළේය.
风光	දර්ශනීය පරිසරය	මෙහි ස්වාභාවික දර්ශනීය පරිසරය ඉතා ලස්සනය.
风气	වාතාවරණය	පාසලේ හොඳ ඉගෙනුම් වාතාවරණයක් ඇති වී ඇත.
风趣	හාස්‍ය රසය	ඔහුගේ කතා විලාසයට හාස්‍ය රසයක් ඇත.
