simplified	HI	example_HI	BN	example_BN	TL	example_TL
刚	अभी-अभी; ठीक अभी	कृपया अभी-अभी कही मेरी बात माफ़ कर दें।	এইমাত্র; সবে	আমি এইমাত্র যা বলেছি, দয়া করে তা ক্ষমা করুন।	kakaa; ngayon lang	Patawarin mo sana ang sinabi ko kanina lang.
高速公路	राजमार्ग; एक्सप्रेसवे	यहाँ एक नया राजमार्ग बनाया गया है।	হাইওয়ে; এক্সপ্রেসওয়ে	এখানে নতুন একটি হাইওয়ে তৈরি হয়েছে।	mabilisang lansangan; haywey	May bagong mabilisang lansangan na itinayo rito.
胳膊	बाँह	उसकी बाँह में थोड़ा दर्द है।	হাত; বাহু	তার বাহুতে একটু ব্যথা।	braso	Medyo masakit ang braso niya.
各	प्रत्येक; हर	सुपरमार्केट में तरह-तरह के फल हैं।	প্রত্যেক; নানা	সুপারমার্কেটে নানা রকম ফল আছে।	bawat; sari-sari	May sari-saring prutas sa supermarket.
公里	किलोमीटर	इन दो शहरों के बीच की दूरी तीन सौ किलोमीटर है।	কিলোমিটার	এই দুই শহরের দূরত্ব তিনশো কিলোমিটার।	kilometro	Tatlong daang kilometro ang layo ng dalawang lungsod na ito sa isa't isa.
功夫	कुंग फू; कौशल	मैं हाल ही में चीनी कुंग फू सीख रहा हूँ।	কুংফু; দক্ষতা	আমি সম্প্রতি চীনা কুংফু শিখছি।	kung fu; kasanayan	Nag-aaral ako ngayon ng kung fu ng Tsina.
工资	वेतन; मज़दूरी	उसकी नई नौकरी का वेतन बहुत अच्छा है।	বেতন; মজুরি	তার নতুন চাকরির বেতন খুব বেশি।	suweldo; sahod	Mataas ang suweldo niya sa bagong trabaho.
共同	साझा; संयुक्त	हमारा एक साझा लक्ष्य है।	সাধারণ; যৌথ	আমাদের একটি যৌথ লক্ষ্য আছে।	panlahat; sama-sama	May iisa tayong layunin.
够	काफ़ी; पर्याप्त	आज काफ़ी ठंड है।	যথেষ্ট; বেশ	আজ বেশ ঠান্ডা।	sapat; medyo	Medyo malamig ngayon.
购物	खरीदारी	खरीदारी का भुगतान ऑनलाइन किया जा सकता है।	কেনাকাটা	কেনাকাটার দাম অনলাইনে পরিশোধ করা যায়।	pamimili	Maaaring magbayad sa internet kapag namimili.
估计	अंदाज़ा लगाना; अनुमान करना	मेरा अंदाज़ा है कि वे हवाई अड्डे पहुँच चुके हैं।	অনুমান করা	আমার ধারণা তারা ইতিমধ্যে বিমানবন্দরে পৌঁছে গেছে।	tantiya; hulaan	Tingin ko nakarating na sila sa paliparan.
鼓励	प्रोत्साहित करना	माता-पिता को बच्चों को और अधिक प्रोत्साहन देना चाहिए।	উৎসাহ দেওয়া	বাবা-মায়ের উচিত সন্তানদের আরও বেশি উৎসাহ দেওয়া।	hikayatin; palakasin ang loob	Dapat bigyan ng mga magulang ng higit pang lakas ng loob ang mga anak.
故意	जानबूझकर; इरादतन	माफ़ कीजिए, मैंने जानबूझकर नहीं किया।	ইচ্ছাকৃতভাবে	দুঃখিত, আমি ইচ্ছে করে করিনি।	sinadya; sadya	Pasensiya na, hindi ko sinasadya.
顾客	ग्राहक	ग्राहक एक-तिहाई कम हो गए हैं।	গ্রাহক; ক্রেতা	গ্রাহক এক-তৃতীয়াংশ কমেছে।	kostumer; mamimili	Nabawasan ng isang-katlo ang mga kostumer.
挂	टाँगना; फ़ोन काटना	कृपया अभी फ़ोन मत काटिए।	ঝোলানো; ফোন কেটে দেওয়া	দয়া করে আগে ফোন কেটে দেবেন না।	ibitin; ibaba ang telepono	Huwag mo munang ibaba ang telepono.
关键	मुख्य बिंदु; कुंजी	यह समस्या का मुख्य बिंदु नहीं है।	মূল কথা; চাবিকাঠি	এটি সমস্যার মূল কথা নয়।	susing punto; mahalaga	Hindi ito ang susing punto ng problema.
观众	दर्शक	टीवी के सामने बैठे दर्शक मित्रों, आप सबको नमस्कार।	দর্শক	টেলিভিশনের সামনে থাকা দর্শক বন্ধুরা, সবাইকে নমস্কার।	manonood	Magandang araw sa lahat ng kaibigang manonood sa harap ng telebisyon.
管理	प्रबंध करना; देखरेख करना	अब इस घर का प्रबंध कौन करता है?	পরিচালনা করা; ব্যবস্থাপনা করা	এখন এই বাড়িটি কে পরিচালনা করছে?	pamahalaan; mangasiwa	Sino ang namamahala sa bahay na ito ngayon?
光	रोशनी; प्रकाश	आज सूरज की रोशनी बहुत तेज़ है।	আলো; জ্যোতি	আজ সূর্যের আলো খুব তীব্র।	liwanag; ilaw	Matindi ang liwanag ng araw ngayon.
广播	रेडियो; प्रसारण	दादाजी रेडियो सुन रहे हैं।	রেডিও; সম্প্রচার	দাদু রেডিও শুনছেন।	radyo; pagsasahimpapawid	Nakikinig ng radyo si Lolo.
广告	विज्ञापन	मैंने अख़बार में आपका विज्ञापन देखा।	বিজ্ঞাপন	আমি পত্রিকায় আপনাদের বিজ্ঞাপন দেখেছি।	patalastas; anunsiyo	Nakita ko ang patalastas ninyo sa diyaryo.
逛	घूमना; टहलते हुए देखना	सप्ताहांत में हम मॉल घूमने चलें?	ঘোরা; বেড়ানো	সপ্তাহান্তে আমরা শপিং মলে ঘুরতে যাই না?	maglibot; mamasyal	Maglibot tayo sa pamilihan sa katapusan ng linggo.
规定	नियम; विनियम	स्कूल के अपने नियम हैं।	নিয়ম; বিধি	স্কুলের নিজস্ব নিয়ম আছে।	patakaran; tuntunin	May sariling mga patakaran ang paaralan.
国籍	राष्ट्रीयता	कृपया फ़ॉर्म पर राष्ट्रीयता भरें।	জাতীয়তা	দয়া করে ফর্মে জাতীয়তা লিখুন।	nasyonalidad	Pakisulat ang inyong nasyonalidad sa pormularyo.
国际	अंतरराष्ट्रीय	यह एक अंतरराष्ट्रीय बैठक है।	আন্তর্জাতিক	এটি একটি আন্তর্জাতিক সভা।	pandaigdig; internasyonal	Isang pandaigdigang pagpupulong ito.
果汁	फलों का रस	मैं एक गिलास फलों का रस पीना चाहता हूँ।	ফলের রস	আমি এক গ্লাস ফলের রস পান করতে চাই।	katas ng prutas	Gusto kong uminom ng isang baso ng katas ng prutas.
过程	प्रक्रिया	सीखने की प्रक्रिया बहुत महत्वपूर्ण है।	প্রক্রিয়া	শেখার প্রক্রিয়া খুব গুরুত্বপূর্ণ।	proseso	Mahalaga ang proseso ng pag-aaral.
海洋	महासागर; समुद्र	पृथ्वी की सतह का बड़ा हिस्सा समुद्र है।	মহাসাগর; সমুদ্র	পৃথিবীর পৃষ্ঠের বেশির ভাগই সমুদ্র।	karagatan	Karamihan sa ibabaw ng Daigdig ay karagatan.
害羞	शर्मीला	वह पहली बार मंच पर गई, इसलिए थोड़ी शर्मीली थी।	লাজুক	সে প্রথমবার মঞ্চে উঠেছিল, একটু লাজুক ছিল।	mahiyain	Medyo nahihiya siya noong unang beses siyang umakyat sa entablado.
寒假	सर्दियों की छुट्टी	सर्दियों की छुट्टी में मैं दक्षिण की यात्रा करना चाहता हूँ।	শীতের ছুটি	শীতের ছুটিতে আমি দক্ষিণে ভ্রমণ করতে চাই।	bakasyon sa taglamig	Gusto kong maglakbay sa timog sa bakasyon sa taglamig.
汗	पसीना	गर्मी लग रही है न, तौलिए से पसीना पोंछ लो।	ঘাম	গরম লাগছে তো, তোয়ালে দিয়ে ঘাম মুছে নাও।	pawis	Mainit, di ba? Punasan mo ang pawis ng tuwalya.
航班	उड़ान	इस उड़ान में आपका स्वागत है।	ফ্লাইট; উড়ান	এই ফ্লাইটে আপনাকে স্বাগতম।	biyahe ng eroplano	Maligayang pagdating sa biyaheng ito.
好处	लाभ; फ़ायदा	ज़्यादा पढ़ने के बहुत लाभ हैं।	সুবিধা; লাভ	বেশি বই পড়ার অনেক উপকার আছে।	benepisyo; pakinabang	Maraming pakinabang ang mas maraming pagbabasa.
好像	लगता है; मानो	लगता है हमारे बीच कोई ग़लतफ़हमी है।	মনে হওয়া; যেন	মনে হচ্ছে আমাদের মধ্যে ভুল বোঝাবুঝি আছে।	parang; tila	Parang may hindi pagkakaunawaan sa pagitan natin.
号码	नंबर; संख्या	कृपया अपना फ़ोन नंबर मुझे दें।	নম্বর; সংখ্যা	দয়া করে তোমার ফোন নম্বর আমাকে দাও।	numero	Pakibigay sa akin ang numero ng telepono mo.
合格	योग्य; मानक पर खरा	इस उत्पाद की गुणवत्ता मानक पर खरी है।	যোগ্য; মানসম্মত	এই পণ্যের গুণমান মানসম্মত।	pasado; kuwalipikado	Pasado sa pamantayan ang kalidad ng produktong ito.
合适	उपयुक्त; ठीक बैठना	यह जोड़ी जूते बहुत ठीक बैठती है।	উপযুক্ত; মানানসই	এই জুতোর জোড়া খুব মানানসই।	angkop; bagay	Bagay na bagay ang pares ng sapatos na ito.
盒子	डिब्बा; बॉक्स	डिब्बा खाली है, उसमें कुछ भी नहीं है।	বাক্স	বাক্সটা খালি, কিছুই নেই।	kahon	Walang laman ang kahon; wala kahit ano roon.
厚	मोटा; गाढ़ा	यह किताब बहुत मोटी है।	মোটা; পুরু	এই বইটি খুব পুরু।	makapal	Makapal ang aklat na ito.
后悔	पछताना	मुझे अफ़सोस है कि मैंने तुम्हें पहले नहीं बताया।	অনুতাপ করা; আফসোস করা	তোমাকে আগে না বলার জন্য আমার আফসোস হচ্ছে।	magsisi	Nagsisisi ako na hindi ko sinabi sa iyo nang mas maaga.
互联网	इंटरनेट	इंटरनेट ने लोगों के जीवन में बहुत सुविधा लाई है।	ইন্টারনেট	ইন্টারনেট মানুষের জীবনে অনেক সুবিধা এনেছে।	internet	Nagdala ang internet ng maraming kaginhawaan sa buhay ng mga tao.
互相	एक-दूसरे; परस्पर	हम दोनों को एक-दूसरे का समर्थन करना चाहिए।	পরস্পর; একে অপরকে	আমাদের দুজনের একে অপরকে সমর্থন করা উচিত।	isa't isa; kapwa	Kailangan nating dalawa na suportahan ang isa't isa.
护士	नर्स	नर्स रोगी को इंजेक्शन लगा रही है।	নার্স	নার্স রোগীকে ইনজেকশন দিচ্ছেন।	nars	Tinuturukan ng nars ang pasyente.
怀疑	संदेह करना; शक	मुझे शक है कि वह आज की बैठक भूल गया है।	সন্দেহ করা; সন্দেহ	আমার সন্দেহ, সে আজ মিটিং আছে তা ভুলে গেছে।	magduda; hinala	Hinala ko nakalimutan niyang may pulong ngayon.
回忆	याद करना; स्मृति	हम अक्सर बचपन की बातें याद करते हैं।	স্মরণ করা; স্মৃতি	আমরা প্রায়ই ছোটবেলার কথা স্মরণ করি।	alalahanin; alaala	Madalas naming maalala ang mga bagay noong bata pa kami.
活动	व्यायाम करना; गतिविधि	मैं पार्क में थोड़ी देर व्यायाम करने गया।	ব্যায়াম করা; কার্যকলাপ	আমি পার্কে একটু ব্যায়াম করতে গিয়েছিলাম।	kumilos; aktibidad	Nagpunta ako sa parke para makapag-ehersisyo sandali.
活泼	चंचल; फुर्तीला	यह बच्चा बहुत चंचल है।	চঞ্চল; প্রাণবন্ত	এই শিশুটি খুব চঞ্চল।	masigla; buhay na buhay	Napakasigla ng batang ito.
火	आग	आग ख़तरनाक है, कृपया सावधान रहें।	আগুন	আগুন বিপজ্জনক, দয়া করে সাবধান থাকুন।	apoy	Mapanganib ang apoy, mag-ingat po.
获得	प्राप्त करना; हासिल करना	सफलता मिल जाए तब भी बहुत घमंडी नहीं होना चाहिए।	অর্জন করা; পাওয়া	সাফল্য পেলেও খুব অহংকারী হওয়া উচিত নয়।	makamit; makatanggap	Huwag masyadong mayabang kahit nakamit mo ang tagumpay.
基础	आधार; बुनियाद	कृपया मूल आधार पर फिर थोड़ा बदलाव करें।	ভিত্তি; বুনিয়াদ	মূল ভিত্তির ওপর আবার একটু পরিবর্তন করুন।	batayan; pundasyon	Pakibaguhin pa ito nang kaunti batay sa orihinal.
激动	रोमांचित; भावुक	यह ख़बर सचमुच दिल को उत्साहित करने वाली है।	উত্তেজিত; আবেগাপ্লুত	এই খবর সত্যিই মনকে উত্তেজিত করে।	nakaaantig; nakapupukaw	Talagang nakapupukaw ng damdamin ang balitang ito.
积极	सक्रिय; सकारात्मक	वह चीनी पढ़ने में बहुत सक्रिय है।	সক্রিয়; ইতিবাচক	সে চীনা ভাষা শেখায় খুব সক্রিয়।	aktibo; positibo	Aktibo siyang nag-aaral ng Tsino.
积累	संचय करना; इकट्ठा करना	उसने काम में बहुत अनुभव इकट्ठा किया है।	সঞ্চয় করা; জমা করা	সে কাজে অনেক অভিজ্ঞতা সঞ্চয় করেছে।	makaipon; maipon	Nakaipon siya ng maraming karanasan sa trabaho.
即使	भले ही; चाहे	मुश्किलें आएँ तब भी हार मत मानो।	যদিও; এমনকি যদি	কঠিনাই এলেও হাল ছেড়ো না।	kahit na; kahit pa	Huwag sumuko kahit may kahirapan.
及时	समय पर; तुरंत	यह बारिश बिल्कुल समय पर हुई।	সময়মতো; যথাসময়ে	এই বৃষ্টি ঠিক সময়ে হয়েছে।	sa tamang oras; maagap	Tamang-tama ang dating ng ulang ito.
寄	भेजना; डाक से भेजना	तुम्हारा पत्र पहुँच चुका है।	পাঠানো; ডাকযোগে পাঠানো	তোমার চিঠি পৌঁছে গেছে।	ipadala; ihulog sa koreo	Nakarating na ang liham mo.
技术	तकनीक; कौशल	यह एक जटिल तकनीकी समस्या है।	প্রযুক্তি; কৌশল	এটি একটি জটিল প্রযুক্তিগত সমস্যা।	teknolohiya; kasanayan	Isang masalimuot na teknikal na problema ito.
既然	चूँकि; जब कि	चूँकि तुम आ गए हो, तो साथ में खाना खाते हैं।	যেহেতু; যখন	যেহেতু তুমি এসেছ, তাহলে একসঙ্গে খাই।	yamang; dahil	Yamang nandito ka na, sabay na tayong kumain.
继续	जारी रखना; आगे बढ़ना	उसने कहा कि वह कंपनी में काम जारी रखने को तैयार है।	চালিয়ে যাওয়া; অব্যাহত রাখা	সে জানিয়েছে যে সে কোম্পানিতে কাজ চালিয়ে যেতে রাজি।	ipagpatuloy	Ipinahayag niya na handa siyang ipagpatuloy ang pagtatrabaho sa kompanya.
计划	योजना	मैंने अपनी योजना बदल दी है।	পরিকল্পনা	আমি পরিকল্পনা বদলে ফেলেছি।	plano	Nabago ko na ang plano ko.
记者	पत्रकार	पत्रकार प्रधानाचार्य का साक्षात्कार कर रहा है।	সাংবাদিক	সাংবাদিক প্রধান শিক্ষকের সাক্ষাৎকার নিচ্ছেন।	mamamahayag	Iniinterbyu ng mamamahayag ang punong-guro.
加班	ओवरटाइम काम करना	इस हफ़्ते हमने लगभग हर दिन अतिरिक्त काम किया।	অতিরিক্ত সময় কাজ করা	এই সপ্তাহে আমরা প্রায় প্রতিদিন অতিরিক্ত সময় কাজ করেছি।	magtrabaho nang lampas oras	Nagtrabaho kami nang lampas oras halos araw-araw nitong linggo.
加油站	पेट्रोल पंप	क्या तुम्हारे घर के पास पेट्रोल पंप है?	পেট্রল পাম্প	তোমার বাড়ির কাছে কি পেট্রল পাম্প আছে?	gasolinahan	May gasolinahan ba malapit sa bahay mo?
家具	फ़र्नीचर	घर बदलने के बाद हमने नया फ़र्नीचर लिया।	আসবাবপত্র	বাড়ি বদলের পর আমরা নতুন আসবাবপত্র নিয়েছি।	muwebles	Pagkatapos lumipat ng bahay, nagpalit kami ng bagong muwebles.
假	नकली; झूठा	यह टिकट नकली है।	নকল; মিথ্যা	এই টিকিটটি নকল।	peke	Peke ang tiket na ito.
价格	कीमत	पिछले साल से कारों की कीमत घट रही है।	দাম; মূল্য	গত বছর থেকে গাড়ির দাম কমছে।	presyo	Mula noong nakaraang taon, bumababa ang presyo ng mga kotse.
坚持	डटे रहना; आग्रह करना	वह हमेशा अपनी राय पर डटा रहा है।	অটল থাকা; জেদ ধরে থাকা	সে সবসময় নিজের মতের ওপর অটল থেকেছে।	manindigan; magpumilit	Palagi siyang naninindigan sa sarili niyang pananaw.
减肥	वज़न कम करना	मैं रोज़ वज़न घटाने के लिए दौड़ता हूँ।	ওজন কমানো	আমি প্রতিদিন ওজন কমানোর জন্য দৌড়াই।	magbawas ng timbang	Araw-araw akong tumatakbo para magbawas ng timbang.
减少	कम करना; घटाना	ग्राहक एक-तिहाई कम हो गए हैं।	কমে যাওয়া; কমানো	গ্রাহক এক-তৃতীয়াংশ কমেছে।	bumawas; mabawasan	Nabawasan ng isang-katlo ang mga kostumer.
建议	सुझाव देना; सलाह	मैं सुझाव देता हूँ कि कल एक दिन आराम करें।	প্রস্তাব করা; পরামর্শ দেওয়া	আমি প্রস্তাব করছি, কাল এক দিন বিশ্রাম নেওয়া হোক।	magmungkahi; mungkahi	Iminumungkahi kong magpahinga tayo bukas nang isang araw.
将来	भविष्य	भविष्य में तुम कौन-सा काम करने की योजना रखते हो?	ভবিষ্যৎ	ভবিষ্যতে তুমি কী কাজ করতে চাও?	hinaharap	Anong trabaho ang balak mong gawin sa hinaharap?
奖金	बोनस; पुरस्कार राशि	साल के अंत में हमें बोनस मिला।	বোনাস; পুরস্কারের টাকা	বছরের শেষে আমরা একটি বোনাস পেয়েছি।	dagdag na bayad; gantimpalang pera	Nakatanggap kami ng dagdag na bayad sa katapusan ng taon.
降低	घटाना; कम होना	शरद ऋतु आ गई है, तापमान घटने लगा है।	কমানো; কমে যাওয়া	শরৎ এসেছে, তাপমাত্রা কমতে শুরু করেছে।	bumaba; pababain	Dumating na ang taglagas, at nagsimula nang bumaba ang temperatura.
降落	उतरना; अवतरण करना	विमान अभी उतरने वाला है।	অবতরণ করা	বিমানটি এখনই অবতরণ করবে।	lumapag	Lalapag na ang eroplano.
交	दोस्त बनाना; जमा करना	मैंने बहुत से चीनी दोस्त बनाए हैं।	বন্ধু করা; জমা দেওয়া	আমি অনেক চীনা বন্ধু করেছি।	makipagkaibigan; mag-abot	Marami akong naging kaibigang Tsino.
交流	आदान-प्रदान; संवाद	देशों के बीच सांस्कृतिक आदान-प्रदान और समृद्ध हो रहा है।	আদান-প্রদান; যোগাযোগ	দেশগুলোর মধ্যে সাংস্কৃতিক আদান-প্রদান ক্রমশ সমৃদ্ধ হচ্ছে।	palitan; komunikasyon	Lalong yumayaman ang palitang pangkultura sa pagitan ng mga bansa.
交通	यातायात; परिवहन	यहाँ का यातायात बहुत सुविधाजनक है।	যাতায়াত; পরিবহন	এখানকার যাতায়াত খুব সুবিধাজনক।	transportasyon; trapiko	Maginhawa ang transportasyon dito.
郊区	उपनगर; शहर का बाहरी इलाका	वह शहर के उपनगर में रहता है।	উপশহর; শহরতলি	সে শহরের উপশহরে থাকে।	labas ng lungsod; pook sa gilid ng lungsod	Nakatira siya sa labas ng lungsod.
骄傲	घमंडी; आत्ममुग्ध	सफलता मिल जाए तब भी बहुत घमंडी नहीं होना चाहिए।	অহংকারী; গর্বিত	সাফল্য পেলেও খুব অহংকারী হওয়া উচিত নয়।	mayabang; mapagmataas	Huwag masyadong mayabang kahit nakamit mo ang tagumpay.
饺子	चीनी पकौड़ी	चीनी लोग वसंत त्योहार पर जियाओज़ी खाते हैं।	চীনা পুরভরা পিঠা; জিয়াওজি	চীনারা বসন্ত উৎসবে জিয়াওজি খায়।	jiaozi; pagkaing Tsino na may palaman	Kumakain ng jiaozi ang mga Tsino tuwing Pista ng Tagsibol.
教授	प्रोफ़ेसर	वह विश्वविद्यालय के प्रोफ़ेसर हैं।	অধ্যাপক; প্রফেসর	তিনি একজন বিশ্ববিদ্যালয়ের অধ্যাপক।	propesor	Isa siyang propesor sa unibersidad.
教育	शिक्षा देना; शिक्षा	बच्चों को शिक्षित करने में धैर्य चाहिए।	শিক্ষা দেওয়া; শিক্ষা	শিশুদের শিক্ষা দিতে ধৈর্য দরকার।	turuan; edukasyon	Kailangan ng pasensiya sa pagtuturo sa mga bata.
接受	स्वीकार करना	मैं तुम्हारी सारी राय स्वीकार करता हूँ।	গ্রহণ করা	আমি তোমার সব মতামত গ্রহণ করছি।	tanggapin	Tinatanggap ko ang lahat ng opinyon mo.
接着	फिर; जारी रखना	उसने थोड़ी देर सोचा और फिर लिखना जारी रखा।	তারপর; চালিয়ে যাওয়া	সে একটু ভেবে তারপর লেখা চালিয়ে গেল।	pagkatapos; ipagpatuloy	Nag-isip siya sandali at pagkatapos ay nagpatuloy sa pagsusulat.
结果	परिणाम	क्या तुमने मैच देखा, परिणाम कैसा रहा?	ফলাফল	তুমি কি খেলা দেখেছ, ফলাফল কেমন হলো?	resulta	Napanood mo ba ang laban? Ano ang naging resulta?
节	त्योहार; पर्व	आज कौन-सा त्योहार है?	উৎসব; ছুটি	আজ কী উৎসব?	pista; kapistahan	Anong pista ngayon?
节约	बचत करना; बचाना	कृपया पानी बचाइए।	সাশ্রয় করা; বাঁচানো	দয়া করে পানি সাশ্রয় করুন।	magtipid; mag-ipon	Magtipid po sa tubig.
解释	समझाना; व्याख्या	उसने कारण बहुत साफ़ समझाया।	ব্যাখ্যা করা; ব্যাখ্যা	সে কারণটি খুব পরিষ্কারভাবে ব্যাখ্যা করেছে।	ipaliwanag; paliwanag	Napakalinaw niyang ipinaliwanag ang dahilan.
尽管	हालाँकि; के बावजूद	हालाँकि मैं उसे लंबे समय से जानता हूँ, फिर भी वास्तव में समझता नहीं।	যদিও; সত্ত্বেও	যদিও আমি তাকে অনেক দিন ধরে চিনি, কিন্তু আসলে বুঝি না।	bagama't; kahit na	Bagama't matagal ko na siyang kilala, hindi ko pa rin siya tunay na nauunawaan.
紧张	घबराया हुआ; तनावपूर्ण	पहली प्रस्तुति में वह बहुत घबराया हुआ था।	উদ্বিগ্ন; নার্ভাস	প্রথম পরিবেশনার সময় সে খুব নার্ভাস ছিল।	kinakabahan; maigting	Kinabahan siya sa unang pagtatanghal.
禁止	मना करना; निषेध करना	यहाँ धूम्रपान मना है।	নিষিদ্ধ করা	এখানে ধূমপান নিষিদ্ধ।	ipagbawal	Bawal manigarilyo rito.
进行	चलना; करना	मैच अभी भी चल रहा है।	চলতে থাকা; করা	খেলা এখনও চলছে।	isagawa; magpatuloy	Nagpapatuloy pa ang laro.
京剧	बीजिंग ओपेरा	वह एक प्रसिद्ध बीजिंग ओपेरा अभिनेत्री है।	বেইজিং অপেরা	তিনি একজন বিখ্যাত বেইজিং অপেরা অভিনেত্রী।	operang Beijing	Isang sikat na artista ng operang Beijing siya.
精彩	शानदार; बेहतरीन	आज की प्रस्तुति बहुत शानदार थी!	চমৎকার; দারুণ	আজকের পরিবেশনা খুবই চমৎকার ছিল!	napakahusay; kahanga-hanga	Napakahusay ng pagtatanghal ngayon!
经济	अर्थव्यवस्था; आर्थिक	इन वर्षों में अर्थव्यवस्था तेज़ी से विकसित हुई है।	অর্থনীতি; অর্থনৈতিক	এই কয়েক বছরে অর্থনীতি দ্রুত উন্নত হয়েছে।	ekonomiya; pang-ekonomiya	Mabilis umunlad ang ekonomiya nitong mga taon.
经历	अनुभव; अनुभव करना	उसने यात्रा के अनुभव को लेख में बदल दिया।	অভিজ্ঞতা; অভিজ্ঞ হওয়া	সে ভ্রমণের অভিজ্ঞতা নিয়ে একটি প্রবন্ধ লিখেছে।	karanasan; maranasan	Isinulat niya bilang artikulo ang karanasan niya sa paglalakbay.
经验	अनुभव	वह बहुत अनुभवी शिक्षक है।	অভিজ্ঞতা	তিনি একজন অভিজ্ঞতাসম্পন্ন শিক্ষক।	karanasan	Isa siyang gurong maraming karanasan.
景色	दृश्य; नज़ारा	सूर्यास्त के समय समुद्र-तट का नज़ारा बहुत सुंदर होता है।	দৃশ্য; প্রাকৃতিক সৌন্দর্য	সূর্যাস্তের সময় সমুদ্রতীরের দৃশ্য খুব সুন্দর।	tanawin; ganda ng lugar	Maganda ang tanawin sa tabing-dagat sa paglubog ng araw.
警察	पुलिस; पुलिस अधिकारी	पुलिस जाँच कर रही है।	পুলিশ; পুলিশ কর্মকর্তা	পুলিশ তদন্ত করছে।	pulis	Nagsasagawa ng imbestigasyon ang pulis.
竞争	प्रतिस्पर्धा करना; प्रतियोगिता	वह बहुत आत्मविश्वासी है और दूसरों से प्रतिस्पर्धा करना पसंद करता है।	প্রতিযোগিতা করা; প্রতিযোগিতা	সে খুব আত্মবিশ্বাসী এবং অন্যদের সঙ্গে প্রতিযোগিতা করতে ভালোবাসে।	makipagkumpetensiya; kompetisyon	Tiwala siya sa sarili at mahilig makipagkumpetensiya sa iba.
竟然	अप्रत्याशित रूप से; हैरानी की बात है	मैंने बिल्कुल नहीं सोचा था कि वह ऐसा इंसान निकलेगा।	অপ্রত্যাশিতভাবে; আশ্চর্যজনকভাবে	আমি একেবারেই ভাবিনি যে সে এমন মানুষ হবে।	pala; hindi inaasahan	Hindi ko akalaing ganoon pala siyang tao.
镜子	आईना	माफ़ कीजिए, मैंने आईना तोड़ दिया।	আয়না	দুঃখিত, আমি আয়নাটা ভেঙে ফেলেছি।	salamin	Pasensiya na, nabasag ko ang salamin.
究竟	आख़िर; ठीक-ठीक	आख़िर तुम क्यों रो रहे हो?	আসলে; ঠিক	তুমি আসলে কেন কাঁদছ?	talaga; ano ba talaga	Bakit ka ba talaga umiiyak?
举	उठाना; हाथ उठाना	कृपया हाथ उठाकर सवाल का जवाब दें।	তোলা; উঠানো	দয়া করে হাত তুলে প্রশ্নের উত্তর দিন।	itaas; buhatin	Pakiitaas ang kamay para sagutin ang tanong.
举办	आयोजन करना	यह कार्यक्रम हम आयोजित करेंगे।	আয়োজন করা	এই অনুষ্ঠানটি আমরা আয়োজন করব।	magdaos; mag-organisa	Kami ang magdaraos ng aktibidad na ito.
举行	आयोजित होना; आयोजित करना	बैठक दो बजे होगी।	অনুষ্ঠিত হওয়া; আয়োজন করা	সভাটি দুইটায় অনুষ্ঠিত হবে।	idaos; ganapin	Gaganapin ang pulong nang alas-dos.
拒绝	मना करना; अस्वीकार करना	उसने सबका निमंत्रण ठुकरा दिया।	প্রত্যাখ্যান করা; না বলা	সে সবার আমন্ত্রণ প্রত্যাখ্যান করেছে।	tumanggi; tanggihan	Tinanggihan niya ang paanyaya ng lahat.
聚会	मिलन; पार्टी	कल एक मिलन है, क्या तुम शामिल होना चाहते हो?	আড্ডা; জমায়েত; পার্টি	কাল একটা জমায়েত আছে, তুমি কি যোগ দিতে চাও?	salo-salo; pagtitipon	May pagtitipon bukas, gusto mo bang sumali?
距离	दूरी; दूर होना	मेरा घर कंपनी से बहुत दूर है।	দূরত্ব; দূরে হওয়া	আমার বাড়ি কোম্পানি থেকে অনেক দূরে।	distansiya; layo	Malayo ang bahay ko sa kompanya.
开玩笑	मज़ाक करना	क्या तुम मज़ाक कर रहे हो?	মজা করা; রসিকতা করা	তুমি কি মজা করছ?	magbiro	Nagbibiro ka ba?
开心	खुश होना	छोटी बहन खुशी से मुस्कुराई।	খুশি হওয়া	ছোট বোন খুশি হয়ে হাসল।	masaya; matuwa	Masayang ngumiti ang nakababatang kapatid na babae.
看法	राय; दृष्टिकोण	वह हमेशा अपनी राय पर डटा रहा है।	মতামত; দৃষ্টিভঙ্গি	সে সবসময় নিজের মতের ওপর অটল থেকেছে।	pananaw; opinyon	Palagi siyang naninindigan sa sarili niyang pananaw.
烤鸭	भुनी हुई बतख	बीजिंग की भुनी हुई बतख बहुत प्रसिद्ध है।	রোস্ট হাঁস	বেইজিং রোস্ট হাঁস খুব বিখ্যাত।	inihaw na pato	Sikat ang inihaw na pato ng Beijing.
考虑	विचार करना; सोचना	मैं इस सवाल पर गंभीरता से विचार करूँगा।	বিবেচনা করা; ভাবা	আমি এই বিষয়টি মন দিয়ে বিবেচনা করব।	isaalang-alang; pag-isipan	Pag-iisipan ko nang mabuti ang isyung ito.
棵	पेड़ों और पौधों के लिए गणक	यह पेड़ ऊँचा और बड़ा है।	গাছের গণক	এই গাছটি লম্বা আর বড়।	pangbilang sa puno at halaman	Matangkad at malaki ang punong ito.
