simplified	SR	example_SR
风气	атмосфера	У школи се створила добра атмосфера за учење.
风趣	духовит	Он говори веома духовито.
风土人情	локални обичаји и прилике	Путовање помаже да се упознају локални обичаји и прилике.
风味	локални укус	Ова радња има снажан локални укус.
逢	сваки пут када	Сваки пут када дође викенд, парк је веома жив.
奉献	посветити	Лекар је посветио много времена пацијентима.
否决	одбацити	Управни одбор је одбацио овај предлог.
夫妇	брачни пар	Овај брачни пар води малу радњу.
夫人	госпођа	Господин Ванг и његова госпођа присуствовали су вечери.
敷衍	одговорити површно	Он је само површно одговорио у неколико реченица.
俘虏	заробљеник	После рата заробљеници су ослобођени.
幅度	обим	Ово снижење има велики обим.
服从	покорити се	Војници морају да се покоре наређењу.
服气	прихватити пораз	Изгубио је меч, али у себи није прихватио пораз.
福利	бенефиције	Запосленима су важне бенефиције компаније.
福气	срећа	Велика је срећа имати доброг наставника.
符号	симбол	Овај симбол означава опасност.
辐射	зрачење	Лекар га је подсетио да се држи даље од јаког зрачења.
俯视	гледати одозго	Са врха планине може се гледати одозго на цео град.
抚摸	нежно миловати	Она је нежно миловала дететову главу.
抚养	одгајати	Бака и дека помажу да се одгаја дете.
腐败	корупција	Влада се бори против корупције.
腐烂	трулити	Воће ће трулити ако стоји предуго.
腐蚀	нагризати	Киселина нагриза површину метала.
腐朽	труо и застарео	Критиковали су труо и застарео систем.
辅助	помоћни	Овај алат може бити помоћан у настави.
副	заменик	Она је именована за заменика директора.
复活	оживети	Ова традиционална свечаност поново оживљава.
复兴	препород	Културни препород захтева дугорочан труд.
富裕	имућан	Ово село је сада све имућније.
腹泻	пролив	Има јак пролив и треба да оде код лекара.
覆盖	покрити	Велики снег је покрио целу долину.
负担	терет	Кирија је постала његов главни терет.
赋予	дати	Закон грађанима даје основна права.
附和	повлађивати	Он нема свој став, само повлађује другима.
附件	прилог	Молим вас погледајте прилог у поруци.
附属	придружен	Ова болница је придружена универзитету.
改良	побољшати	Стручњаци побољшавају ову врсту пиринча.
盖章	оверити печатом	Уговор после потписивања треба оверити печатом.
钙	калцијум	Млеко садржи много калцијума.
尴尬	непријатан	На састанку је настала непријатна тишина.
干旱	суша	Дуготрајна суша утицала је на усеве.
干扰	ометати	Бука ми омета рад.
干涉	мешати се	Родитељи не треба превише да се мешају у изборе деце.
干预	интервенисати	Влада је на време интервенисала због тржишног ризика.
感慨	осећајно уздахнути	Када је видео старе фотографије, осећајно је уздахнуо.
感染	заразити	Овај вирус лако зарази децу.
干劲	радни жар	Сви раде са великим радним жаром.
扛	носити на рамену	Према предању, био је толико снажан да је могао носити велики казан.
纲领	програмска смерница	Састанак је усвојио нову програмску смерницу за деловање.
岗位	радно место	Она се брзо прилагодила новом радном месту.
港口	лука	Теретни брод је пристао у луци.
港湾	залив	Мали чамац је упловио у миран залив.
杠杆	полуга	Ова инвестиција користи велику полугу.
高超	врхунски	Његова вештина поправке аутомобила је врхунска.
高潮	врхунац	Утакмица је достигла врхунац у последњих десет минута.
高峰	вршни период	Осам ујутру је вршни период у саобраћају.
高明	паметан	Овај метод је заиста паметан.
高尚	племенит	Професионални дух лекара је племенит.
高涨	расти	Одушевљење публике непрестано расте.
稿件	рукопис	Уредник тренутно исправља рукопис.
告辞	опростити се	Већ је касно, па ћемо се прво опростити.
告诫	упозорити	Наставник је упозорио ученике да не варају.
割	посећи	Случајно је посекао прст.
搁	оставити	Молим те остави документе на сто.
歌颂	хвалити у песми	Ова песма хвали раднике.
疙瘩	квржица	На руци му се појавила квржица.
鸽子	голуб	На тргу има много голубова.
格局	распоред	Распоред овог стана је веома разуман.
格式	формат	Молим вас попуните образац у прописаном формату.
隔阂	отуђење	Неспоразум је продубио отуђење међу њима.
隔离	изоловати	Пацијента треба привремено изоловати.
革命	револуција	Ова револуција је променила судбину земље.
个体	појединац	Сваки појединац има различите потребе.
各抒己见	свако износи своје мишљење	На састанку је свако изнео своје мишљење.
根深蒂固	дубоко укорењен	Ово схватање је већ дубоко укорењено.
根源	корен	Корен сиромаштва је сложен.
跟前	испред	Дете је дотрчало испред мајке.
跟随	следити	Новинар је следио групу у планинско подручје.
跟踪	пратити	Полиција прати кретање осумњиченог.
更新	ажурирати	Систем ће се вечерас аутоматски ажурирати.
更正	исправити	Новине су следећег дана исправиле грешку.
耕地	обрадиво земљиште	Пољопривредници у пролеће обрађују земљу.
供不应求	потражња премашује понуду	Овог лека тренутно нема довољно за потражњу.
供给	снабдевање	Граду је потребно стабилно снабдевање водом и струјом.
公安局	управа јавне безбедности	Отишао је у управу јавне безбедности да пријави случај.
公道	правичност	Сви се надају правичном решењу.
公告	саопштење	Школа је објавила саопштење о обустави наставе.
公关	односи с јавношћу	Компанија је ангажовала стручан тим за односе с јавношћу.
公民	грађанин	Сваки грађанин треба да поштује закон.
公然	отворено	Он је отворено прекршио правила такмичења.
公认	општепризнат	Она је општепризната као одлична наставница.
公式	формула	Молим те запиши ову математичку формулу.
公务	службени посао	Због службеног посла путује три дана.
公正	праведан	Судија мора остати праведан.
公证	нотарска овера	Овом документу је потребна нотарска овера.
功劳	заслуга	У овом успеху има заслуге свих.
功效	делотворност	Делотворност овог лека још треба проверити.
宫殿	палата	Туристи су посетили стару палату.
工艺品	рукотворина	Ова рукотворина је направљена ручно.
恭敬	с поштовањем	Он је с поштовањем поздравио старца.
攻击	напасти	Хакери су напали веб-сајт компаније.
攻克	савладати	Истраживачки тим је савладао технички проблем.
巩固	учврстити	Понављање може учврстити научено знање.
共和国	република	Ова република је основана у прошлом веку.
共计	укупно	Ова роба укупно има три стотине сандука.
共鸣	одјек у осећањима	Ова песма је код многих изазвала одјек у осећањима.
勾结	удружити се у превари	Они су се удружили са странцима да преваром узму новац.
钩子	кука	На зиду виси неколико кука.
构思	осмислити	Писац осмишљава нови роман.
姑且	засад	Овај план ћемо засад пробати једну недељу.
孤独	усамљен	После пресељења у нови град осећао се усамљено.
孤立	изолован	Не гледај ово питање изоловано.
辜负	изневерити	Не желим да изневерим очекивања родитеља.
古董	антиквитет	Деда је сакупио неколико антиквитета.
古怪	чудан	Његова идеја је помало чудна.
股东	акционар	Скупштина акционара биће одржана следеће недеље.
股份	удео	Он има удео у компанији.
骨干	окосница	Ови инжењери су окосница тима.
鼓动	подстрекивати	Неко је подстрекивао масе на протест.
固然	додуше	Овај метод је додуше једноставан, али ризик није мали.
固体	чврста материја	Лед је чврсти облик воде.
固有	својствен	Свака култура има својствене особине.
固执	тврдоглав	Превише је тврдоглав и не жели да слуша савете.
故乡	родни крај	После много година вратио се у родни крај.
故障	квар	Лифт је у квару и привремено не ради.
雇佣	запослити	Компанија је одлучила да запосли више техничких радника.
顾虑	бојазан	Ако имаш неку бојазан, можеш је рећи директно.
顾问	саветник	Ангажовали смо правног саветника.
拐杖	штап за ходање	Старац често носи штап за ходање када излази.
关怀	брига	Наставник је ученицима пружио много бриге.
关照	пазити на	Молим те пази на дете на путу.
官方	званичан	Званична вест биће објављена сутра.
观光	разгледање	Туристи разгледају град бродом.
管辖	управљати надлежношћу	Овим подручјем управља градска влада.
惯例	уобичајена пракса	Представљање гостију пре почетка састанка је уобичајена пракса.
灌溉	наводњавати	Пољопривредници наводњавају поља речном водом.
罐	тегла	На столу стоји тегла чаја.
贯彻	спровести	Компанија треба да спроведе нове безбедносне стандарде.
光彩	сјај	Ова одећа јој даје посебан сјај.
光辉	славан	Његова достигнућа оставила су славну страницу.
光芒	зраци светлости	Зраци сунца осветлили су долину.
光荣	частан	Служити земљи је частан посао.
广阔	простран	Степа је бескрајна и веома пространа.
归根到底	на крају крајева	На крају крајева, проблем је у управљању.
归还	вратити	Молим вас вратите књиге на време.
规范	норма	Школа је донела норме за управљање лабораторијом.
规格	спецификација	Ови делови немају исту спецификацију.
规划	планирање	Планирање града мора узети у обзир саобраћај.
规章	правила	Запослени морају поштовати правила компаније.
轨道	колосек	Воз се креће дуж колосека.
贵族	племство	Ово имање је некада припадало племству.
跪	клекнути	Клекнуо је пред статуом.
棍棒	тољага	Полиција је запленила тољаге на месту догађаја.
国防	национална одбрана	Изградња националне одбране захтева дугорочна улагања.
国务院	Државни савет	Државни савет је издао ново обавештење.
果断	одлучан	Руководилац је одлучно донео одлуку.
过度	претеран	Претерана употреба телефона утиче на сан.
过渡	прелаз	Компанија је у фази прелаза ка новом моделу.
过奖	претерано похвалити	Претерано ме хвалиш, још морам да учим.
过滤	филтрирати	Овај уређај може да филтрира нечистоће.
过失	пропуст	Ова несрећа је настала због људског пропуста.
过问	мешати се у	Директор се ретко меша у ове ситнице.
过瘾	задовољавајући	Ову утакмицу је било заиста задовољавајуће гледати.
过于	превише	Овај план је превише сложен.
嗨	еј	Еј, како си и ти дошао?
海拔	надморска висина	Ово село има велику надморску висину.
海滨	морска обала	Провели су викенд на морској обали.
含糊	нејасан	Његов одговор је био веома нејасан.
含义	значење	Ова реч има посебно значење.
寒暄	разменити учтиве поздраве	После сусрета су прво разменили неколико учтивих поздрава.
罕见	редак	Ова болест је веома ретка.
捍卫	бранити	Адвокат се труди да брани права странке.
航空	авијација	Авио-компанија је отказала лет.
航天	космонаутика	Кинеска космонаутика се брзо развија.
航行	пловити	Брод плови морем.
行列	редови	Она се придружила редовима волонтера.
毫米	милиметар	Ово стакло је дебело пет милиметара.
毫无	нимало	Његово објашњење нема нимало основа.
豪迈	снажан и слободан	Његов глас у песми био је снажан и слободан.
号召	позвати	Влада је позвала све да штеде воду.
耗费	потрошити	Овај пројекат је потрошио много новца.
呵	прекорити	Отац га је прекорио једним гласом и дете је одмах стало.
合并	спојити се	Две компаније планирају да се споје следеће године.
合成	синтетисати	Овај материјал може се синтетисати вештачки.
合伙	удружити се	Удружили су се и отворили ресторан.
合算	исплатив	Аутобус је исплативији од таксија.
和蔼	љубазан	Овај лекар говори веома љубазно.
和解	помирење	Две стране су на крају постигле помирење.
和睦	сложан	Комшије живе веома сложно.
和气	пријатан	Шеф се према људима понаша веома пријатно.
和谐	складан	Музика је учинила атмосферу складнијом.
嘿	еј	Еј, јеси ли чуо?
痕迹	траг	На земљи су остали трагови точкова.
狠心	безосећајан	Безосећајно је одбио молбу пријатеља.
恨不得	једва чекати	Једва чекам да се одмах вратим кући и одморим.
哼	промрмљати	Незадовољно је промрмљао.
横	водораван	Молим те нацртај водоравну линију на папиру.
哄	гласан смех	Сви су праснули у гласан смех.
烘	пећи	Хлеб се пече у рерни.
轰动	изазвати сензацију	Ова вест је изазвала сензацију у целој земљи.
宏观	макро	Морамо анализирати економију из макро угла.
宏伟	величанствен	Дизајн овог моста је веома величанствен.
洪水	поплава	Поплава је срушила неколико мостова.
喉咙	грло	Превише је говорио и грло га мало боли.
吼	викнути	Гласно је викнуо према даљини.
候选	кандидат	Она је овогодишњи кандидат за представника.
后代	потомци	Морамо чувати животну средину за потомке.
后顾之忧	брига за последице	Стабилан приход му је уклонио бригу за последице.
后勤	логистика	Одељење логистике одговорно је за снабдевање материјалом.
呼唤	дозивати	Мајка дозива дете на вратима.
呼啸	фијукати	Хладан ветар фијуче испред прозора.
呼吁	апеловати	Стручњаци апелују да сви смање расипање.
忽略	занемарити	Молим те не занемаруј овај детаљ.
湖泊	језеро	Овај крај има много природних језера.
胡乱	немарно	Не остављај ствари немарно на поду.
胡须	брада	Брада му је већ побелела.
花瓣	латица	После кише латице су пале по земљи.
花蕾	пупољак	У пролеће су на гранама израсли пупољци.
华丽	раскошан	Костими на сцени су веома раскошни.
华侨	Кинез у иностранству	Многи Кинези из иностранства вратили су се у завичај да инвестирају.
划分	поделити	Наставник је поделио ученике у четири групе.
化肥	вештачко ђубриво	Пољопривредници стављају вештачко ђубриво на усеве.
化石	фосил	Музеј је изложио фосил диносауруса.
化验	лабораторијска анализа	Лекар му је рекао да уради анализу крви.
化妆	шминкати се	Шминка се пре изласка на сцену.
画蛇添足	покварити претераним додатком	Додатно објашњење би то само покварило претераним додатком.
话筒	микрофон	Водитељ је пружио микрофон публици.
欢乐	радост	Празнични трг је пун радости.
环节	карика процеса	Свака карика обуке је важна.
还原	вратити у првобитно стање	Молим те врати подешавања у подразумевано стање.
缓和	ублажити се	Односи две стране постепено су се ублажили.
患者	пацијент	Лекар испитује стање пацијента.
荒凉	пуст	Ова земља изгледа веома пусто.
荒谬	апсурдан	Ово објашњење звучи апсурдно.
荒唐	бесмислен	Његова одлука је сувише бесмислена.
皇帝	цар	Цар је живео у величанственој палати.
皇后	царица	Царица је присуствовала свечаности.
黄昏	сумрак	У сумрак су се упалила улична светла.
恍然大悟	изненада схватити	Када је чуо објашњење, изненада је све схватио.
晃	заблистати пред очима	Нешто му је блеснуло пред очима и он је нестао.
挥霍	расипати	Не би требало да расипа новац својих родитеља.
辉煌	славан	Овај град има славну историју.
回报	узврат	Вредан рад на крају доноси узврат.
回避	избегавати	Он све време избегава ово питање.
回顾	осврнути се	На крају састанка осврнули су се на рад током године.
回收	рециклирати	Насеље је почело да рециклира старе батерије.
悔恨	кајање	Осећа кајање због прошлих грешака.
毁灭	уништити	Рат је скоро уништио овај град.
会晤	сусрет	Лидери две земље састаће се сутра.
汇报	поднети извештај	Он је менаџеру поднео извештај о напретку.
贿赂	мито	Званичник је под истрагом због мита.
昏迷	кома	Пацијент је и даље у коми.
荤	месно јело	Ово јело је месно и није за вегетаријанце.
浑身	цело тело	После трчања цело тело му је било знојаво.
混合	помешати	Молим те равномерно помешај два материјала.
混乱	хаос	На месту догађаја је једно време владао велики хаос.
混淆	помешати појмове	Не мешај ова два појма.
混浊	мутан	После кише речна вода је постала мутна.
活该	сам је заслужио	Није слушао савете, па је сам заслужио неуспех.
活力	животна енергија	Овај град је пун животне енергије.
火箭	ракета	Ракета је успешно ушла у планирану орбиту.
火焰	пламен	Ветар је подигао пламен још више.
火药	барут	Барут је променио начин старог ратовања.
货币	валута	Монетарна политика утиче на економски развој.
基地	база	Ово је некада била важна база за обуку.
基金	фонд	Школа је основала фонд за стипендије.
基因	ген	Научници проучавају овај ген.
机动	покретљив	Ова јединица одржава високу покретљивост.
机构	организација	Ова организација је одговорна за контролу квалитета.
机灵	сналажљив	Ово дете је веома сналажљиво.
机密	поверљив	Ови материјали су поверљиви.
机械	машине	Фабрика је увела нове машине.
机遇	прилика	Млади треба да искористе прилику.
机智	довитљив	Његов одговор је био веома довитљив.
激发	подстаћи	Наставник је подстакао интересовање ученика.
激励	охрабрити	Овај успех је охрабрио цео тим.
激情	страст	Током говора био је пун страсти.
讥笑	подсмевати се	Не подсмевај се туђим грешкама.
饥饿	глад	Дуготрајна глад утиче на здравље.
即便	чак и ако	Чак и ако пада киша, кренућемо на време.
即将	ускоро	Састанак ће ускоро почети.
及早	што раније	Проблеме треба решавати што раније.
吉祥	срећан знак	Црвена боја у Кини често симболизује срећан знак.
嫉妒	завидети	Не треба да завиди колегином успеху.
急功近利	јурити брзу корист	У истраживању се не сме јурити брза корист.
急剧	нагло	Продаја је нагло опала.
急切	нестрпљив	Она нестрпљиво чека вести.
急于求成	журити до резултата	У учењу језика не сме се журити до резултата.
急躁	пренагљен	Када наиђеш на тешкоће, немој бити пренагљен.
极端	екстреман	Овакво екстремно време све је чешће.
极限	граница	Овај тренинг је изазвао његову границу.
疾病	болест	Добре навике могу спречити болест.
籍贯	завичајно порекло	У обрасцу треба уписати завичајно порекло.
级别	ниво	Ово такмичење има три нивоа.
集团	групација	Ова групација има филијале у иностранству.
给予	пружити	Школа пружа помоћ сиромашним ученицима.
季军	треће место	На такмичењу је освојио треће место.
季度	тромесечје	Компанија објављује финансијски извештај сваког тромесечја.
寂静	тишина	Ноћна долина је била посебно тиха.
寄托	полагати наде	Она полаже наде у своје дете.
忌讳	табу	Мештани сматрају табуом да се о томе говори за столом.
技巧	вештина	Савладавање вештина може повећати ефикасност.
纪要	записник	Секретар је средио записник са састанка.
继承	наследити	Он је наследио очев посао.
计较	цепидлачити	Не цепидлачи због тако мале ствари.
记性	памћење	Има веома добро памћење.
记载	забележити	Историјске књиге су забележиле овај рат.
迹象	знак	Тренутно нема знака побољшања.
佳肴	укусна јела	Сто је био пун укусних јела.
加工	обрадити	Ове сировине треба даље обрадити.
加剧	појачати се	Сукоб се појачава.
夹杂	мешати се	У звук кише мешала се грмљавина.
家常	домаћи	Волим да једем домаћа јела.
家伙	тип	Тај тип увек касни.
家属	члан породице	Лекар је обавестио чланове породице пацијента.
家喻户晓	свима познат	Ова прича је свима позната.
坚定	чврст	Њен став је веома чврст.
坚固	чврст	Овај мост је веома чврст.
坚韧	издржљив	Он има издржљив карактер.
坚实	солидан	Ово истраживање има солидну основу.
坚硬	тврд	Овај камен је веома тврд.
尖端	врхунски	Компанија улаже у врхунску технологију.
尖锐	оштар	Овај проблем је веома оштар.
煎	пржити у тигању	Кувар пржи рибу у тигању.
监督	надгледати	Јавни надзор помаже да се рад побољша.
监视	посматрати	Полиција посматра осумњиченог.
监狱	затвор	Он служи казну у затвору.
艰难	тежак	Почетак предузетништва је веома тежак.
剪彩	пресећи врпцу	Градоначелник је пресекао врпцу за нову библиотеку.
拣	бирати	Из корпе је изабрала неколико јабука.
检讨	преиспитати	Озбиљно је преиспитао своје грешке.
检验	проверити	Експеримент може проверити ову претпоставку.
简化	поједноставити	Молим вас додатно поједноставите поступак.
简陋	скроман	Живе у једној скромној колиби.
简体字	поједностављени кинески знакови	Овај уџбеник користи поједностављене кинеске знакове.
简要	кратак	Молим те кратко објасни своје гледиште.
健全	потпун и здрав	Компанији је потребан потпун и здрав систем управљања.
剑	мач	На зиду виси један стари мач.
溅	прскати	Киша му је испрскала панталоне.
舰艇	ратни брод	Више ратних бродова учествовало је у вежби.
见多识广	искусан и образован	Овај старац је искусан и образован.
见解	увид	Он има јединствен увид у овај проблем.
见闻	знање из искуства	Путовање је проширило његово знање из искуства.
见义勇为	храбро поступити ради правде	Похваљен је јер је храбро поступио ради правде.
践踏	газити	Не газите травњак.
鉴别	разликовати	Стручњак може разликовати праву слику од лажне.
鉴定	утврдити	Полиција утврђује отиске прстију.
鉴于	с обзиром на	С обзиром на лоше време, догађај је одложен.
间谍	шпијун	Овај филм прича причу о шпијунима.
间隔	размак	Између два састанка је размак од једне недеље.
间接	посредан	Ова политика ће имати посредан утицај.
僵硬	укочен	Његов осмех је изгледао укочено.
将军	генерал	Генерал је издао наређење.
将近	скоро	Овај пројекат трајао је скоро две године.
将就	снаћи се са постојећим	Услови нису добри, можемо само да се снађемо са постојећим.
奖励	наградити	Школа је наградила одличне ученике.
奖赏	награда	Краљ је ратнику дао богату награду.
桨	весло	Чамџија је веслом потерао чамац ка обали.
降临	спустити се	Ноћ се постепено спустила над град.
交叉	укрстити се	Два пута се овде укрштају.
交代	јасно објаснити	Молим те јасно објасни задатак.
交涉	преговарати	Две стране преговарају о одштети.
交易	трансакција	Ова трансакција је већ завршена.
娇气	размажен	Не буди тако размажен, време није хладно.
焦点	фокус	Питање запошљавања постало је фокус расправе.
焦急	забринут	Мајка забринуто чека да се дете врати.
侥幸	пука срећа	Пуком срећом је избегао несрећу.
搅拌	мешати	Молим те равномерно измешај тесто.
缴纳	платити	Становници треба да плате воду на време.
角落	угао	Мачка се сакрила у углу собе.
教养	васпитање	Добро васпитање се види у детаљима.
较量	одмерити снаге	Два јака тима ускоро ће одмерити снаге.
接连	узастопно	Узастопно је примио три поруке.
揭露	разоткрити	Новинар је разоткрио проблем безбедности хране.
皆	сви	Ова правила су свима позната.
阶层	слој	Различити слојеви имају различите потребе.
截止	завршити се	Пријава се завршава сутра поподне.
截至	до	До данас се пријавило двеста људи.
杰出	изузетан	Она је изузетна научница.
竭尽全力	дати све од себе	Даћемо све од себе да завршимо задатак.
结晶	плод труда	Овај резултат је плод вишегодишњег труда.
结局	завршетак	Завршетак приче је био неочекиван.
结算	обрачунати	Клијент тражи да се трошкови обрачунају крајем месеца.
节制	умереност	У исхрани треба имати умереност.
节奏	ритам	Ова песма има брз ритам.
解除	укинути	Компанија је укинула безбедносну узбуну.
解放	ослободити	Реформе су ослободиле производне снаге.
解雇	отпустити	Шеф је одлучио да отпусти тог радника.
解剖	анатомија	Студенти медицине уче анатомију.
解散	расформирати	После завршетка састанка, група се расформирала.
解体	распасти се	Тај савез се на крају распао.
借鉴	угледати се на	Можемо се угледати на искуство из иностранства.
借助	уз помоћ	Уз помоћ карте пронашао је пут.
戒备	опрез	Погранично подручје одржава висок опрез.
界限	граница	Рад и живот треба да имају јасну границу.
津津有味	са великим уживањем	Деца су са великим уживањем слушала причу.
金融	финансије	Финансијско тржиште данас много осцилира.
紧迫	хитан	Време је хитно, морамо одмах деловати.
锦上添花	додатно улепшање	Овај поклон је право додатно улепшање.
晋升	унапредити	Прошле године је унапређен у менаџера одељења.
浸泡	потопити	Пасуљ треба потопити преко ноћи.
近来	у последње време	У последње време време се много мења.
进而	затим	Прво разумемо потребе, затим правимо план.
进攻	напад	Тим је у другом полувремену појачао напад.
进化	еволуирати	Жива бића еволуирају са окружењем.
进展	напредак	Пројекат тренутно добро напредује.
兢兢业业	савесно	Савесно је радио тридесет година.
惊动	узнемирити	Јак звук је узнемирио оближње становнике.
惊奇	зачуђен	Деца су зачуђено гледала мађионичарску представу.
惊讶	изненађен	Његов одговор ме је веома изненадио.
精打细算	пажљиво рачунати	Она увек пажљиво рачуна у свакодневном животу.
精华	суштина	Овај текст сажима суштину теорије.
精简	смањити	Компанија је одлучила да смањи управу.
精密	прецизан	Овај инструмент је веома прецизан.
精确	тачан	Подаци морају бити тачни до две децимале.
精通	одлично владати	Он одлично влада трима страним језицима.
精心	пажљиво	Мајка је пажљиво припремила вечеру.
精益求精	стално усавршавати	Одлични мајстори се увек стално усавршавају.
精致	фино израђен	Овај поклон је фино упакован.
经费	средства	Средства за истраживање су већ одобрена.
经纬	географска ширина и дужина	На карти су означене линије ширине и дужине.
茎	стабљика	Стабљика биљке држи листове.
井	бунар	На улазу у село је стари бунар.
警告	упозорити	Наставник је упозорио ученике да не варају.
警惕	бити на опрезу	Морамо бити на опрезу због интернет превара.
颈椎	вратни пршљенови	Дуго гледање надоле штети вратним пршљеновима.
境界	ниво	Његово сликарство је достигло нови ниво.
敬礼	поздравити војничким поздравом	Војник је поздравио заставу војничким поздравом.
敬业	посвећен послу	Она ради озбиљно и веома је посвећена послу.
竞赛	такмичење	Школа је организовала математичко такмичење.
竞选	кандидовати се	Спрема се да се кандидује за градоначелника.
镜头	кадар	Фотограф је подесио кадар.
纠纷	спор	Две стране су спор решиле посредовањем.
纠正	исправити	Наставник је на време исправио грешке у изговору.
酒精	алкохол	Лекар је алкохолом дезинфиковао рану.
就近	у близини	Ученици могу да се школују у близини.
就业	запослење	Влада је увела мере за подстицање запослења.
就职	ступити на дужност	Нови менаџер званично ступа на дужност следеће недеље.
救济	помоћ угроженима	Жртве несреће добиле су благовремену помоћ.
居民	становник	Оближњи становници се противе загађењу буком.
居住	становати	Они овде станују десет година.
拘留	притворити	Полиција је по закону притворила осумњиченог.
拘束	уздржан	Пред пријатељима не мораш бити уздржан.
鞠躬	поклонити се	Глумац се поклонио публици у знак захвалности.
局部	локалан	Лекар је урадио само локалну анестезију.
局面	ситуација	Преговори су побољшали напету ситуацију.
局势	стање прилика	Међународно стање прилика и даље је сложено.
局限	ограничење	Овај метод има очигледно ограничење.
举动	поступак	Његов поступак је све веома дирнуо.
举世瞩目	привлачити пажњу целог света	Овај пројекат је постигао успех који привлачи пажњу целог света.
举足轻重	имати пресудну тежину	Ова компанија има пресудну тежину у индустрији.
咀嚼	жвакати	Док једеш, треба полако жвакати.
沮丧	обесхрабрен	После пораза у мечу био је веома обесхрабрен.
剧本	сценарио	Редитељ тренутно мења сценарио.
剧烈	снажан	Тло се снажно затресло.
据悉	према сазнањима	Према сазнањима, састанак ће бити одложен за следећу недељу.
聚精会神	пажљиво усредсређен	Деца су пажљиво усредсређена слушала час.
