simplified	SV	example_SV
繁殖	föröka sig	Den här växten förökar sig lätt
反驳	motbevisa	Han motbevisade åsikten med data
反常	ovanlig	Vädret i dag är lite ovanligt
反感	ogilla starkt	Jag ogillar verkligen den här typen av reklam
反抗	göra motstånd	Människor började göra motstånd mot den orättvisa regeln
反馈	återkoppling	Kunderna återkopplade att systemet är mycket stabilt
反面	baksidan	Vänd pappret till baksidan
反射	reflektera	En spegel reflekterar ljus
反思	tänka igenom	Efter misslyckandet tänkte han noggrant igenom orsakerna
反问	fråga tillbaka	Han svarade inte utan frågade tillbaka
反之	omvänt	För höga priser minskar efterfrågan, och omvänt gäller också
泛滥	svämma över	Det kraftiga regnet fick floden att svämma över
范畴	ett område	Den här frågan hör till det juridiska området
贩卖	sälja olagligt	Lagen förbjuder försäljning av falsk medicin
方位	en riktning	Kartan markerar den exakta riktningen
方言	en dialekt	Han kan förstå den lokala dialekten
方圆	inom en radie	Inom en radie av tio kilometer finns inget sjukhus
方针	en riktlinje	Företaget fastställde nya utvecklingsriktlinjer
防守	försvar	Det här lagets försvar är stabilt
防御	försvar	Stadsmuren användes en gång för försvar mot fiender
防止	förhindra	Spänn fast säkerhetsbältet för att förhindra skador
防治	förebyggande och behandling	Läkaren förklarade metoder för förebyggande och behandling av sjukdomar
纺织	textilproduktion	Den här staden är känd för sin textilindustri
访问	besöka	Reportern besöker författaren i morgon
放大	förstora	Förstora bilden lite
放射	avge	Det här materialet avger värme
非法	olaglig	Olagliga transaktioner bestraffas
飞禽走兽	fåglar och djur	Alla slags fåglar och djur lever i skogen
飞翔	flyga	Fiskmåsar flyger över havet
飞跃	ett stort språng	Teknikutvecklingen gjorde ett stort språng
肥沃	bördig	Den här marken är mycket bördig
诽谤	förtal	Den som förtalar andra måste bära juridiskt ansvar
废除	avskaffa	Den gamla regeln har redan avskaffats
废寝忘食	glömma mat och sömn	Han var så uppslukad av forskningen att han glömde mat och sömn
废墟	ruiner	Efter jordbävningen blev platsen ruiner
沸腾	koka	Vattnet har redan kokat
肺	en lunga	Rökning kan skada lungorna
分辨	skilja åt	Jag har svårt att skilja de två färgerna åt
分寸	rimliga gränser	Även när man skämtar måste man känna rimliga gränser
分红	en utdelning	Aktieägarna kan få utdelning vid årets slut
分解	bryta ner	Läraren bröt ner det komplicerade problemet i flera steg
分裂	splittras	Inre konflikter gjorde att organisationen splittrades
分泌	utsöndra	Den här typen av körtel utsöndrar hormoner
分明	tydlig	Fakta är redan mycket tydliga
分歧	en meningsskiljaktighet	De två sidorna har meningsskiljaktigheter om priset
分散	sprida	Sprid risken över olika projekt
吩咐	beordra	Chefen beordrade mig att ordna dokumenten
坟墓	en grav	Det finns en gammal grav på sluttningen
粉末	ett pulver	Mal tabletterna till pulver
粉色	rosa	Hon köpte en rosa halsduk
粉碎	krossa	Polisen krossade den kriminella gruppen
分量	tyngd	Den här meningen har stor tyngd
愤怒	vrede	Hans ton var full av vrede
丰满	rikt innehåll	Innehållet i den här artikeln är ännu inte tillräckligt rikt
丰盛	riklig	De förberedde en riklig middag
丰收	en god skörd	Bönderna fick en god skörd i år
封闭	stänga	Den här vägen stängs under byggarbetet
封建	feodal	Det här feodala tänkesättet borde ha ändrats för länge sedan
封锁	spärra av	Polisen spärrade av olycksplatsen
锋利	vass	Den här kniven är mycket vass
风暴	en storm	En storm uppstod plötsligt till havs
风度	värdig stil	Han verkade ha en värdig stil på scenen
风光	natursceneri	Natursceneriet här är vackert
风气	en atmosfär	Skolan har skapat en god studieatmosfär
风趣	humoristisk	Han talar mycket humoristiskt
风土人情	lokala seder	Resor hjälper dig att förstå lokala seder
风味	lokal prägel	Den här restaurangen har stark lokal prägel
逢	varje gång	Varje helg är parken livlig
奉献	ägna	Läkaren ägnade mycket tid åt patienterna
否决	avslå	Styrelsen avslog förslaget
夫妇	ett gift par	Det gifta paret driver en liten butik
夫人	fru	Herr Wang och hans fru deltog i middagen
敷衍	svara pliktskyldigt	Han svarade bara pliktskyldigt med några ord
俘虏	en fånge	Efter krigets slut frigavs fångarna
幅度	omfattning	Den här prissänkningen är stor till sin omfattning
服从	lyda	Soldater måste lyda order
服气	acceptera	Han förlorade matchen men kunde inte acceptera det
福利	förmåner	Anställda värdesätter företagets förmåner
福气	god tur	Det är hans goda tur att få träffa en bra lärare
符号	ett tecken	Det här tecknet står för fara
辐射	strålning	Läkaren påminde honom om att hålla sig borta från stark strålning
俯视	se ner över	Från bergstoppen kan man se ner över hela staden
抚摸	stryka	Hon strök försiktigt barnet över huvudet
抚养	uppfostra	Farföräldrarna hjälpte till att uppfostra barnet
腐败	korruption	Regeringen bekämpar korruption
腐烂	ruttna	Frukt ruttnar om den ligger för länge
腐蚀	fräta	Syra kan fräta på metallytan
腐朽	förfallen	De kritiserade det förfallna systemet
辅助	hjälpa till	Det här verktyget kan hjälpa till i undervisningen
副	biträdande	Hon utsågs till biträdande chef
复活	återupplivas	Den här traditionella högtiden håller på att återupplivas
复兴	en renässans	Kulturell renässans kräver långsiktiga ansträngningar
富裕	välbärgad	Den här byn blir allt mer välbärgad
腹泻	diarré	Han har svår diarré och behöver träffa en läkare
覆盖	täcka	Den tunga snön täckte hela dalen
负担	en börda	Hyran blev hans största börda
赋予	ge	Lagen ger medborgarna grundläggande rättigheter
附和	instämma tanklöst	Han har ingen egen åsikt och instämmer bara tanklöst med andra
附件	en bilaga	Kontrollera bilagan i mejlet
附属	ansluten	Sjukhuset är anslutet till universitetet
改良	förbättra	Experter förbättrar den här sortens ris
盖章	stämpla	När kontraktet är undertecknat måste det stämplas
钙	kalcium	Mjölk innehåller rikligt med kalcium
尴尬	pinsam	Det uppstod en pinsam tystnad på mötet
干旱	torka	Den långvariga torkan påverkade grödorna
干扰	störa	Buller stör mitt arbete
干涉	lägga sig i	Föräldrar bör inte lägga sig för mycket i barnens val
干预	ingripa	Regeringen ingrep i marknadsrisken i tid
感慨	känslosam	När han såg de gamla fotona blev han mycket känslosam
感染	smitta	Det här viruset smittar lätt barn
干劲	arbetsiver	Alla arbetar med stor arbetsiver
扛	lyfta	Legenden säger att han var stark nog att lyfta en tung kittel
纲领	ett handlingsprogram	Mötet antog ett nytt handlingsprogram
岗位	en tjänst	Hon anpassade sig snabbt till den nya tjänsten
港口	en hamn	Lastfartyget lade till i hamnen
港湾	en vik	Den lilla båten seglade in i den stilla viken
杠杆	hävstång	Den här investeringen använde hög hävstång
高超	mycket skicklig	Hans förmåga att reparera bilar är mycket skicklig
高潮	en höjdpunkt	Matchen nådde sin höjdpunkt under de sista tio minuterna
高峰	en rusningstid	Klockan åtta på morgonen är trafikens rusningstid
高明	smart	Den här metoden är verkligen smart
高尚	ädel	Läkarens yrkesanda är ädel
高涨	stiga	Publikens entusiasm fortsatte att stiga
稿件	ett manus	Redaktören håller på att ändra manuset
告辞	ta farväl	Det är redan sent, så vi tar farväl först
告诫	varna	Läraren varnade eleverna för att fuska
割	skära	Han råkade skära sig i fingret
搁	lägga	Lägg dokumenten på bordet
歌颂	hylla	Dikten hyllar arbetarna
疙瘩	en knöl	Det dök upp en knöl på hans arm
鸽子	en duva	Det finns många duvor på torget
格局	en planlösning	Den här lägenhetens planlösning är mycket rimlig
格式	ett format	Fyll i formuläret enligt det föreskrivna formatet
隔阂	ett avstånd	Missförståndet fördjupade avståndet mellan dem
隔离	isolera	Patienten behöver isoleras tillfälligt
革命	en revolution	Den här revolutionen förändrade landets öde
个体	en individ	Varje individ har olika behov
各抒己见	uttrycka sina egna åsikter	På mötet uttryckte alla sina egna åsikter
根深蒂固	djupt rotad	Den här uppfattningen är redan djupt rotad
根源	en rotorsak	Fattigdomens rotorsaker är komplexa
跟前	fram till	Barnet sprang fram till sin mamma
跟随	följa	Reportern följde gruppen in i bergsområdet
跟踪	spåra	Polisen spårar den misstänktes rörelser
更新	uppdatera	Systemet uppdateras automatiskt i kväll
更正	rätta	Tidningen rättade felet nästa dag
耕地	plöja	Farmarna plöjer fälten på våren
供不应求	efterfrågan överstiger utbudet	Det råder brist på den här medicinen just nu
供给	försörjning	En stad behöver stabil försörjning av vatten och el
公安局	polismyndigheten	Han gick till polismyndigheten för att anmäla ett fall
公道	rättvis behandling	Alla hoppas få rättvis behandling
公告	ett meddelande	Skolan utfärdade ett meddelande om inställda lektioner
公关	pr-arbete	Företaget anlitade ett professionellt pr-team
公民	en medborgare	Varje medborgare bör följa lagen
公然	öppet	Han bröt öppet mot tävlingsreglerna
公认	erkänd	Hon är en erkänd utmärkt lärare
公式	en formel	Skriv ner den här matematiska formeln
公务	tjänsteärende	Han reste i tre dagar på tjänsteärende
公正	rättvis	En domare måste förbli rättvis
公证	notarisering	Det här dokumentet behöver notarisering
功劳	en förtjänst	Alla har förtjänst i den här framgången
功效	en verkan	Den här medicinens verkan behöver fortfarande bekräftas
宫殿	ett palats	Turisterna besökte det gamla palatset
工艺品	ett hantverksföremål	Det här hantverksföremålet är gjort för hand
恭敬	respektfull	Han hälsade respektfullt på den äldre personen
攻击	angripa	Hackare angrep företagets webbplats
攻克	övervinna	Forskargruppen övervann det tekniska problemet
巩固	befästa	Repetition kan befästa det man har lärt sig
共和国	en republik	Den här republiken grundades under förra århundradet
共计	sammanlagt	Varupartiet omfattar sammanlagt trehundra lådor
共鸣	gehör	Den här sången fick gehör hos många
勾结	samverka olagligt	De samverkade olagligt med utomstående för att lura till sig pengar
钩子	en krok	Det hänger flera krokar på väggen
构思	planera	Författaren planerar en ny roman
姑且	tills vidare	Låt oss tills vidare prova planen i en vecka
孤独	ensam	Efter att ha flyttat till en ny stad kände han sig ensam
孤立	isolerat	Se inte på det här problemet isolerat
辜负	göra besviken	Jag vill inte göra mina föräldrar besvikna
古董	en antikvitet	Farfar samlade några antikviteter
古怪	märklig	Hans idé är lite märklig
股东	en aktieägare	Aktieägarmötet hålls nästa vecka
股份	aktier	Han äger aktier i företaget
骨干	stöttepelare	De här ingenjörerna är gruppens stöttepelare
鼓动	hetsa	Någon hetsade folkmassan att protestera
固然	visserligen	Den här metoden är visserligen enkel, men risken är inte liten
固体	ett fast ämne	Is är vattnets fasta form
固有	inneboende	Varje kultur har inneboende särdrag
固执	envis	Han är för envis och vägrar lyssna på råd
故乡	hembygd	Efter många år återvände han till sin hembygd
故障	ett fel	Hissen fick ett fel och är tillfälligt avstängd
雇佣	anställa	Företaget beslutade att anställa fler tekniker
顾虑	en oro	Du kan säga direkt vilken oro du har
顾问	en rådgivare	Vi anlitade en juridisk rådgivare
拐杖	en käpp	Den äldre mannen tar ofta med sig en käpp när han går ut
关怀	omsorg	Läraren gav eleverna mycket omsorg
关照	se efter	Se efter barnet ordentligt på vägen
官方	officiell	Det officiella beskedet offentliggörs i morgon
观光	gå på turisttur	Turisterna åkte båt på turisttur
管辖	ha jurisdiktion över	Det här området ligger under stadens jurisdiktion
惯例	en sedvänja	Det är sedvänja att presentera gästerna innan mötet börjar
灌溉	bevattna	Bönderna använder flodvatten för att bevattna åkrarna
罐	en burk	Det står en burk teblad på bordet
贯彻	genomföra	Företaget måste genomföra de nya säkerhetsstandarderna
光彩	lyster	Den här klänningen gav henne mycket lyster
光辉	strålande	Hans prestationer lämnade ett strålande kapitel efter sig
光芒	ljusstrålar	Solens ljusstrålar lyste upp dalen
光荣	hedervärt	Det är hedervärt att tjäna landet
广阔	vidsträckt	Grässlätten sträcker sig utan slut och är mycket vidsträckt
归根到底	i grund och botten	I grund och botten ligger problemet i ledningen
归还	lämna tillbaka	Lämna tillbaka böckerna i tid
规范	en norm	Skolan fastställde normer för att hantera laboratoriet
规格	en specifikation	Specifikationerna för den här satsen delar stämmer inte överens
规划	planering	Stadsplanering behöver ta hänsyn till trafiken
规章	en föreskrift	Anställda måste följa företagets föreskrifter
轨道	ett spår	Tåget rör sig längs spåren
贵族	adeln	Den här herrgården tillhörde en gång adeln
跪	knäböja	Han knäböjde framför statyn
棍棒	en klubba	Polisen beslagtog klubborna på platsen
国防	nationellt försvar	Att bygga nationellt försvar kräver långsiktiga investeringar
国务院	statsrådet	Statsrådet utfärdade ett nytt meddelande
果断	beslutsam	Ledaren fattade ett beslutsamt beslut
过度	överdriven	Överdriven mobilanvändning kan påverka sömnen
过渡	övergång	Företaget befinner sig i en övergångsfas i omställningen
过奖	överdriva berömmet	Du överdriver berömmet, jag behöver fortfarande lära mig
过滤	filtrera	Den här utrustningen kan filtrera bort orenheter
过失	ett fel	Olyckan orsakades av mänskligt fel
过问	blanda sig i	Chefen blandar sig sällan i sådana småsaker
过瘾	riktigt tillfredsställande	Det var riktigt tillfredsställande att se matchen
过于	alltför	Den här planen är alltför komplicerad
嗨	hej	Hej, varför kom du också
海拔	höjd över havet	Den här byn ligger på hög höjd över havet
海滨	en havsstrand	De tillbringade helgen vid havsstranden
含糊	vag	Hans svar var mycket vagt
含义	en innebörd	Det här ordet har en särskild innebörd
寒暄	utbyta artighetsfraser	Efter att ha träffats utbytte de först några artighetsfraser
罕见	sällsynt	Den här sjukdomen är mycket sällsynt
捍卫	försvara	Advokaten arbetade hårt för att försvara klientens rättigheter
航空	flygfart	Flygbolaget ställde in flygningen
航天	rymdfart	Kinas rymdprogram utvecklas snabbt
航行	segla	Fartyget seglar till havs
行列	led	Hon anslöt sig till volontärernas led
毫米	en millimeter	Glaset är fem millimeter tjockt
毫无	inte alls	Hans förklaring saknar grund helt och hållet
豪迈	storslagen	Hans sång var storslagen och kraftfull
号召	uppmana	Regeringen uppmanade alla att spara vatten
耗费	förbruka	Projektet förbrukade stora mängder pengar
呵	ropa till	Pappan ropade till, och barnet stannade genast
合并	slå samman	De två företagen planerar att slås samman nästa år
合成	framställa	Det här materialet kan framställas artificiellt
合伙	bilda kompanjonskap	De öppnade en restaurang i kompanjonskap
合算	löna sig	Att ta bussen lönar sig mer än att ta taxi
和蔼	vänlig	Den här läkaren talar mycket vänligt
和解	en förlikning	De två sidorna nådde till slut en förlikning
和睦	harmonisk	Grannarna kommer harmoniskt överens
和气	vänligt inställd	Chefen behandlar människor vänligt
和谐	harmonisk	Musiken gjorde stämningen mer harmonisk
嘿	hej	Hej, hörde du det
痕迹	ett spår	Det fanns hjulspår kvar på marken
狠心	hjärtlös	Han avvisade hjärtlöst sin väns begäran
恨不得	önska att man kunde	Jag önskar att jag kunde gå hem och vila direkt
哼	frusta	Han frustade missnöjt
横	horisontell	Rita en horisontell linje på pappret
哄	brista ut i skratt	Alla brast ut i skratt
烘	baka	Brödet bakas i ugnen
轰动	väcka uppståndelse	Nyheten väckte uppståndelse i hela landet
宏观	övergripande	Vi behöver analysera ekonomin ur ett övergripande perspektiv
宏伟	storslagen	Brons utformning är mycket storslagen
洪水	en översvämning	Översvämningen förstörde flera broar
喉咙	en hals	Han pratade för mycket och har lite ont i halsen
吼	ryta	Han röt högt mot fjärran
候选	en kandidat	Hon är årets kandidat till representant
后代	kommande generationer	Vi måste skydda miljön för kommande generationer
后顾之忧	oro för framtiden	En stabil inkomst gjorde att han inte hade oro för framtiden
后勤	logistik	Logistikavdelningen ansvarar för materialförsörjningen
呼唤	ropa	Mamman ropade på barnet vid dörren
呼啸	yla	Den kalla vinden ylade utanför fönstret
呼吁	uppmana	Experter uppmanade alla att minska slöseri
忽略	förbise	Förbise inte den här detaljen
湖泊	en sjö	Det finns många naturliga sjöar i området
胡乱	slarvigt	Lägg inte saker slarvigt på golvet
胡须	ett skägg	Hans skägg har redan blivit vitt
花瓣	ett blomblad	Efter regnet låg blomblad över hela marken
花蕾	en blomknopp	På våren växer blomknoppar på grenarna
华丽	praktfull	Kostymerna på scenen var mycket praktfulla
华侨	utlandskineser	Många utlandskineser återvände hem för att investera
划分	dela upp	Läraren delade upp eleverna i fyra grupper
化肥	konstgödsel	Bönderna lade konstgödsel på grödorna
化石	en fossil	Museet visade dinosauriefossil
化验	ett laboratorieprov	Läkaren bad honom göra ett blodprov
化妆	sminka sig	Hon höll på att sminka sig innan hon gick upp på scenen
画蛇添足	överdriva i onödan	Att lägga till mer förklaring vore att överdriva i onödan
话筒	en mikrofon	Programledaren räckte mikrofonen till publiken
欢乐	glädje	Festtorget var fullt av glädje
环节	en del	Varje del av utbildningen är viktig
还原	återställa	Återställ inställningarna till standardläget
缓和	lindras	Relationerna mellan de två sidorna lindrades gradvis
患者	en patient	Läkaren frågar patienten om tillståndet
荒凉	öde	Det här markområdet ser mycket öde ut
荒谬	absurd	Förklaringen låter absurd
荒唐	helt orimlig	Hans beslut var helt orimligt
皇帝	en kejsare	Kejsaren bodde i ett storslaget palats
皇后	en kejsarinna	Kejsarinnan deltog i ceremonin
黄昏	skymning	I skymningen tändes gatlyktorna
恍然大悟	plötsligt förstå	Efter förklaringen förstod han plötsligt
晃	skymta till	På ett ögonblick skymtade han till och försvann
挥霍	slösa bort	Han borde inte slösa bort sina föräldrars pengar
辉煌	strålande	Den här staden har en strålande historia
回报	en belöning	Hårt arbete ger till slut belöning
回避	undvika	Han fortsatte att undvika frågan
回顾	gå igenom	I slutet gick mötet igenom årets arbete
回收	återvinna	Bostadsområdet började återvinna gamla batterier
悔恨	ånger	Han kände ånger över tidigare misstag
毁灭	förstöra	Kriget förstörde nästan staden
会晤	mötas	De två ländernas ledare möts i morgon
汇报	rapportera	Han rapporterade framstegen till chefen
贿赂	muta	Tjänstemannen utreddes för mutbrott
昏迷	ligga i koma	Patienten ligger fortfarande i koma
荤	köttbaserad	Rätten är köttbaserad och passar inte vegetarianer
浑身	hela kroppen	Efter löpningen var hela kroppen svettig
混合	blanda	Blanda de två materialen jämnt
混乱	kaos	Platsen var ett tag mycket kaotisk
混淆	blanda ihop	Blanda inte ihop de två begreppen
混浊	grumlig	Efter regnet blev flodvattnet grumligt
活该	förtjäna det	Han lyssnade inte på råd, så han förtjänade att misslyckas
活力	livskraft	Den här staden är full av livskraft
火箭	en raket	Raketen gick framgångsrikt in i den planerade banan
火焰	en låga	Vinden blåste upp lågorna högre
火药	krut	Krut förändrade forntida krigföring
货币	valuta	Valutapolitik påverkar den ekonomiska utvecklingen
基地	en bas	Det här var en gång en viktig träningsbas
基金	en fond	Skolan inrättade en stipendiefond
基因	en gen	Forskarna studerar den här genen
机动	rörlig	Den här gruppen behåller hög rörlighet
机构	en institution	Den här institutionen ansvarar för kvalitetskontroll
机灵	kvicktänkt	Det här barnet är mycket kvicktänkt
机密	hemlig	Det här materialet är hemligt
机械	maskiner	Fabriken tog in nya maskiner
机遇	en möjlighet	Unga människor bör ta vara på möjligheter
机智	kvicktänkt	Hans svar var mycket kvicktänkt
激发	väcka	Läraren väckte elevernas intresse
激励	uppmuntra	Den här framgången uppmuntrade hela teamet
激情	passion	Han var full av passion när han höll tal
讥笑	håna	Håna inte andras misstag
饥饿	hunger	Långvarig hunger kan påverka hälsan
即便	även om	Även om det regnar åker vi i tid
即将	snart	Mötet börjar snart
及早	så tidigt som möjligt	Problem bör hanteras så tidigt som möjligt
吉祥	lyckobringande	Rött symboliserar ofta lycka i Kina
嫉妒	avundas	Han borde inte avundas kollegans framgång
急功近利	jaga snabb vinning	Forskning bör inte handla om att jaga snabb vinning
急剧	kraftigt	Försäljningen sjönk kraftigt
急切	ivrig	Hon väntade ivrigt på besked
急于求成	vilja ha snabba resultat	Man kan inte kräva snabba resultat när man lär sig språk
急躁	otålig	Bli inte otålig när du möter svårigheter
极端	extrem	Den här typen av extremt väder blir allt vanligare
极限	en gräns	Träningen utmanade hans gränser
疾病	en sjukdom	Goda vanor kan förebygga sjukdomar
籍贯	ursprungsort	Formuläret kräver att man fyller i ursprungsort
级别	en nivå	Tävlingen är indelad i tre nivåer
集团	en koncern	Den här koncernen har filialer utomlands
给予	ge	Skolan ger hjälp till fattiga elever
季军	tredjeplats	Han tog tredjeplats i tävlingen
季度	ett kvartal	Företaget publicerar ekonomiska rapporter varje kvartal
寂静	tyst	Bergsdalen är särskilt tyst på natten
寄托	fästa	Hon fäste sina förhoppningar vid barnet
忌讳	tabubelagd	Lokalbefolkningen ser det som tabu att prata om saken vid matbordet
技巧	en teknik	Att behärska tekniker kan höja effektiviteten
纪要	mötesanteckningar	Sekreteraren ordnade mötesanteckningarna
继承	ärva	Han ärvde sin fars verksamhet
计较	bråka om	Bråka inte om en så liten sak
记性	minne	Han har mycket gott minne
记载	notera	Historieböckerna noterade kriget
迹象	ett tecken	Just nu finns inga tecken på förbättring
佳肴	delikatesser	Bordet var fullt av läckra delikatesser
加工	bearbeta	Råvarorna behöver bearbetas ytterligare
加剧	förvärras	Konflikten håller på att förvärras
夹杂	blandas med	Regnljudet blandades med åska
家常	vardaglig familjemat	Jag tycker om att äta vardaglig familjemat
家伙	en typ	Den där typen kommer alltid för sent
家属	anhöriga	Läkaren underrättade patientens anhöriga
家喻户晓	känd i varje hem	Den här berättelsen är känd i varje hem
坚定	bestämd	Hennes inställning är mycket bestämd
坚固	solid	Den här bron är mycket solid
坚韧	uthållig	Han har en uthållig karaktär
坚实	stabil	Den här forskningen har en stabil grund
坚硬	hård	Den här stenen är mycket hård
尖端	spjutspets	Företaget investerar i spjutspetsteknik
尖锐	skarp	Den här frågan är mycket skarp
煎	steka	Kocken steker fisk
监督	tillsyn	Offentlig tillsyn hjälper till att förbättra arbetet
监视	bevaka	Polisen bevakar den misstänkte
监狱	ett fängelse	Han avtjänar straff i fängelse
艰难	svår	Den tidiga fasen av att starta företag är mycket svår
剪彩	klippa bandet	Borgmästaren klippte bandet för det nya biblioteket
拣	välja ut	Hon valde ut några äpplen ur korgen
检讨	granska	Han granskade noggrant sina egna misstag
检验	testa	Experiment kan testa den här hypotesen
简化	förenkla	Förenkla processen ytterligare
简陋	enkel och primitiv	De bodde i en enkel och primitiv stuga
简体字	förenklade kinesiska tecken	Den här läroboken använder förenklade kinesiska tecken
简要	kortfattad	Förklara kortfattat din ståndpunkt
健全	förbättra	Företaget behöver förbättra sitt ledningssystem
剑	ett svärd	Det hänger ett gammalt svärd på väggen
溅	stänka	Regnvatten stänkte på hans byxor
舰艇	ett örlogsfartyg	Flera örlogsfartyg deltog i övningen
见多识广	erfaren och kunnig	Den äldre mannen är erfaren och kunnig
见解	en insikt	Han har unika insikter i den här frågan
见闻	erfarenhet och kunskap	Resor breddade hans erfarenhet och kunskap
见义勇为	handla modigt för det rätta	Han fick beröm för att handla modigt för det rätta
践踏	trampa ner	Trampa inte ner gräsmattan
鉴别	skilja	Experter kan skilja äkta från falskt i målningen
鉴定	identifiera	Polisen identifierar fingeravtrycken
鉴于	med tanke på	Med tanke på det dåliga vädret sköts evenemanget upp
间谍	en spion	Filmen berättar en spionhistoria
间隔	ett mellanrum	Det är en veckas mellanrum mellan de två mötena
间接	indirekt	Den här politiken får indirekta effekter
僵硬	stel	Hans leende såg stelt ut
将军	en general	Generalen gav ordern
将近	nästan	Projektet varade nästan två år
将就	nöja sig med	Förhållandena är dåliga, så vi får nöja oss ett tag
奖励	belöna	Skolan belönade framstående elever
奖赏	en belöning	Kungen gav krigaren en riklig belöning
桨	en åra	Båtkarlen rodde båten mot stranden med en åra
降临	falla över	Natten föll gradvis över staden
交叉	korsa	De två vägarna korsar varandra här
交代	förklara	Förklara uppgiften tydligt
交涉	förhandla	De två sidorna förhandlar om ersättningen
交易	en affär	Den här affären är redan genomförd
娇气	ömtålig	Var inte så ömtålig, vädret är inte kallt
焦点	fokus	Arbetsfrågan blev diskussionens fokus
焦急	orolig	Mamman väntade oroligt på att barnet skulle komma tillbaka
侥幸	med tur	Han undkom katastrofen med tur
搅拌	röra om	Rör smeten jämnt
缴纳	betala	Invånarna måste betala vattenavgiften i tid
角落	ett hörn	Katten gömde sig i rummets hörn
教养	uppfostran	God uppfostran märks i detaljerna
较量	tävla	De två starka lagen ska snart tävla mot varandra
接连	i följd	Han fick tre mejl i följd
揭露	avslöja	Journalisten avslöjade ett problem med livsmedelssäkerheten
皆	alla	Alla känner till de här reglerna
阶层	en samhällsklass	Olika samhällsklasser har olika behov
截止	stänga	Anmälan stänger i morgon eftermiddag
截至	fram till	Fram till i dag har tvåhundra personer anmält sig
杰出	framstående	Hon är en framstående forskare
竭尽全力	göra sitt yttersta	Vi kommer att göra vårt yttersta för att slutföra uppgiften
结晶	resultatet	Det här resultatet är frukten av många års arbete
结局	ett slut	Berättelsens slut var oväntat
结算	reglera betalningen	Kunden begärde att avgifterna skulle regleras vid månadens slut
节制	måtta	Man bör visa måtta med mat och dryck
节奏	en rytm	Den här låten har snabb rytm
解除	häva	Företaget hävde säkerhetslarmet
解放	befria	Reformen befriade produktivkrafterna
解雇	avskeda	Chefen beslutade att avskeda den anställde
解剖	dissektion	Läkarstudenterna studerar dissektion
解散	upplösa	Efter mötet upplöstes gruppen
解体	falla sönder	Alliansen föll till slut sönder
借鉴	dra lärdom av	Vi kan dra lärdom av utländska erfarenheter
借助	med hjälp av	Han hittade vägen med hjälp av kartan
戒备	beredskap	Gränsområdet håller hög beredskap
界限	en gräns	Arbete och liv behöver tydliga gränser
津津有味	med stort intresse	Barnen lyssnade på berättelsen med stort intresse
金融	finans	Finansmarknaden svängde kraftigt i dag
紧迫	brådskande	Tiden är brådskande och vi måste agera genast
锦上添花	grädde på moset	Den här gåvan var verkligen grädde på moset
晋升	befordra	Han befordrades till avdelningschef förra året
浸泡	blötlägga	Bönorna behöver blötläggas över natten
近来	på sistone	Vädret har förändrats mycket på sistone
进而	därefter	Förstå först behoven och utforma därefter en plan
进攻	anfall	Laget förstärkte anfallet i andra halvlek
进化	utvecklas	Organismer utvecklas med sin miljö
进展	gå framåt	Projektet går för närvarande smidigt framåt
兢兢业业	samvetsgrann	Han arbetade samvetsgrant i trettio år
惊动	alarmera	Det höga ljudet alarmerade de närboende
惊奇	förundrad	Barnen såg förundrat på trolleriföreställningen
惊讶	förvåna	Hans svar förvånade mig
精打细算	räkna noggrant	Hon räknar alltid noggrant med hushållsutgifterna
精华	kärnan	Artikeln sammanfattar teorins kärna
精简	banta ner	Företaget beslutade att banta ner ledningen
精密	precision	Instrumentet har mycket hög precision
精确	exakt	Uppgifterna måste vara exakta till två decimaler
精通	behärska	Han behärskar tre främmande språk
精心	omsorgsfullt	Mamman förberedde middagen omsorgsfullt
精益求精	sträva efter perfektion	Skickliga hantverkare strävar alltid efter perfektion
精致	utsökt	Gåvan är mycket utsökt förpackad
经费	medel	Forskningsmedlen har redan godkänts
经纬	longitud och latitud	Kartan markerar linjer för longitud och latitud
茎	en stjälk	Växtens stjälk stöder bladen
井	en brunn	Det finns en gammal brunn vid byns ingång
警告	varna	Läraren varnade eleverna för att fuska
警惕	vara vaksam	Vi bör vara vaksamma mot nätbedrägerier
颈椎	halsrygg	Att titta ner länge kan skada halsryggen
境界	en nivå	Hans måleri nådde en ny nivå
敬礼	salutera	Soldaten saluterade nationalflaggan
敬业	vara hängiven sitt arbete	Hon arbetar seriöst och är mycket hängiven sitt arbete
竞赛	en tävling	Skolan höll en matematiktävling
竞选	ställa upp i val	Han förbereder sig för att ställa upp som borgmästare
镜头	en lins	Fotografen justerade linsen
纠纷	en tvist	De två sidorna löste tvisten genom medling
纠正	korrigera	Läraren korrigerade uttalsfelet i tid
酒精	alkohol	Läkaren desinficerade såret med alkohol
就近	i närheten	Elever kan börja i en skola i närheten
就业	sysselsättning	Regeringen införde politik för att främja sysselsättning
就职	tillträda	Den nya chefen tillträder officiellt nästa vecka
救济	nödhjälp	Katastrofoffren fick nödhjälp i tid
居民	en invånare	Invånare i närheten motsätter sig bullerföroreningar
居住	bo	De har bott här i tio år
拘留	hålla i förvar	Polisen höll den misstänkte i förvar enligt lagen
拘束	hämmad	Man behöver inte känna sig hämmad inför vänner
鞠躬	buga	Skådespelaren bugade inför publiken för att tacka
局部	lokal	Läkaren använde bara lokalbedövning
局面	en situation	Förhandlingarna förbättrade den spända situationen
局势	läget	Det internationella läget är fortfarande komplext
