simplified	IS	example_IS
雕塑	skúlptúr	Í miðju torgsins stendur skúlptúr.
吊	lyfta	Verkamennirnir lyftu stálbitanum með vél.
调动	flytja	Fyrirtækið flutti hann til starfa í Shanghai.
跌	falla	Hlutabréfaverðið féll aftur í dag.
丁	teningur	Í uppskriftinni stendur að skera kartöflurnar í teninga.
叮嘱	brýna fyrir	Kennarinn brýndi aftur og aftur fyrir okkur að gæta öryggis.
盯	stara	Vinsamlegast ekki stara stöðugt á aðra.
定期	reglulega	Læknirinn ráðlagði honum að fara reglulega í skoðun.
定义	skilgreining	Vinsamlegast útskýrðu fyrst skilgreiningu þessa hugtaks.
丢人	skammarlegt	Að ljúga opinberlega er virkilega skammarlegt.
丢三落四	gleyminn	Hann er alltaf gleyminn og gleymir oft lyklunum þegar hann fer út.
东道主	gestgjafi	Sem gestgjafar verðum við að hugsa vel um gestina.
东张西望	líta í allar áttir	Ekki líta í allar áttir í kennslustund.
董事长	stjórnarformaður	Stjórnarformaðurinn sótti fundinn í dag.
冻结	frysta	Bankinn frysti þennan reikning tímabundið.
动荡	ókyrrð	Stríðið olli langvarandi ókyrrð á svæðinu.
动机	hvati	Lögreglan rannsakar hvata hans.
动静	hreyfing	Það var engin hreyfing inni í herberginu.
动力	drifkraftur	Áhugi er drifkraftur náms.
动脉	slagæð	Læknirinn skoðaði slagæðina hans.
动身	leggja af stað	Við leggjum af stað til flugvallarins snemma á morgun.
动手	grípa til handalögmála	Málið er ekki enn útskýrt, svo enginn má grípa til handalögmála.
动态	þróun	Vinsamlegast fylgstu alltaf með þróun verkefnisins.
动员	virkja	Skólinn virkjaði nemendur til að taka þátt í sjálfboðastarfi.
栋	bygging	Þessi bygging er tuttugu hæðir.
兜	vasi	Hann setti lyklana í vasa jakkans.
陡峭	brattur	Þessi fjallvegur er mjög brattur.
斗争	barátta	Þau berjast fyrir verndun umhverfisins.
督促	hvetja	Framkvæmdastjórinn hvatti alla til að ljúka verkefninu á réttum tíma.
毒品	fíkniefni	Tollurinn lagði hald á sendingu af fíkniefnum.
独裁	einræði	Fólk er á móti einræðisstjórn.
堵塞	stífla	Sorp stíflaði frárennslisrásina.
赌博	fjárhættuspil	Fjárhættuspil getur haft alvarlegar afleiðingar.
杜绝	binda enda á	Fyrirtækið krefst þess að sóun verði bundin enda á.
端	halda á	Hann kom inn með bolla af heitu tei.
端午节	drekabátahátíð	Á drekabátahátíðinni borðum við zongzi.
端正	leiðrétta	Nemendur ættu að leiðrétta viðhorf sitt til náms.
短促	stuttur	Hann gaf frá sér stutt andvarp.
断定	fullyrða	Núna er ekki hægt að fullyrða hver hefur rétt fyrir sér.
断绝	rjúfa	Eftir slysið rofnaði samband þorpsins við umheiminn.
堆积	safnast upp	Snjór safnaðist upp við vegkantinn.
兑现	standa við	Hann stóð loksins við loforðið sitt.
对策	mótvægisaðgerð	Frammi fyrir áhættu þurfum við mótvægisaðgerðir.
对称	samhverfur	Vinstri og hægri hlið byggingarinnar eru mjög samhverfar.
对付	takast á við	Það er erfitt að takast á við þetta vandamál.
对抗	keppa	Liðin tvö munu keppa í úrslitaleiknum.
对立	andstæður	Afstaða beggja aðila er algjörlega andstæð.
对联	parvísur	Á vorhátíðinni límdu þau parvísur við dyrnar.
对应	samsvara	Hvert númer samsvarar einu sæti.
对照	bera saman	Vinsamlegast berðu þýðinguna saman við frumtextann.
队伍	ganga	Gangan hreyfðist hægt áfram.
顿时	samstundis	Þegar hann heyrði fréttina fraus hann samstundis.
哆嗦	skjálfa	Það var svo kalt að hann skalf stöðugt.
多元化	fjölbreytni	Fyrirtækið er að stuðla að fjölbreytni í starfseminni.
堕落	spillast	Hann vill ekki láta sig spillast áfram.
额外	aukalegur	Þessi þjónusta kostar aukagjald.
恶心	ógleði	Þegar ég fann þessa lykt fékk ég smá ógleði.
恶化	versna	Ef ekkert er gert gæti sjúkdómurinn versnað.
遏制	hemja	Ríkisstjórnin gerði ráðstafanir til að hemja mengun.
恩怨	erjur	Erjur fyrirtækjanna tveggja eiga sér langa sögu.
而已	ekkert meira	Ég sagði þetta bara af handahófi, ekkert meira.
二氧化碳	koltvíoxíð	Plöntur gleypa koltvíoxíð.
发布	gefa út	Fyrirtækið gefur út nýja vöru á morgun.
发财	auðgast	Hann vonast til að auðgast með eigin vinnu.
发呆	stara út í loftið	Hún sat við gluggann og starði út í loftið.
发动	virkja	Sjálfboðaliðar virkjuðu íbúa til að hreinsa götuna.
发觉	taka eftir	Ég tók eftir að hann var svolítið stressaður í dag.
发射	skjóta á loft	Eldflauginni verður skotið á loft í kvöld.
发誓	sverja	Hann sór að ljúga aldrei aftur.
发行	gefa út	Þessi kvikmynd verður gefin út í næsta mánuði.
发炎	bólgna	Sárið er svolítið bólgið.
发扬	efla	Við þurfum að efla anda samvinnu í teyminu.
发育	þroski	Líkamlegur þroski barna þarf næga næringu.
法人	lögaðili	Þetta fyrirtæki er sjálfstæður lögaðili.
番	umræða	Þessi umræða veitti mér mikinn innblástur.
凡是	allir	Allir sem skrá sig þurfa að taka þátt í þjálfuninni.
繁华	líflegur	Þessi gata var áður mjög lífleg.
繁忙	annasamur	Flugvöllurinn er sérstaklega annasamur í fríum.
繁体字	hefðbundið kínverskt tákn	Á Taívan eru hefðbundin kínversk tákn oft notuð.
繁殖	fjölga sér	Þessi planta fjölgar sér mjög auðveldlega.
反驳	hrekja	Hann hrakti þetta sjónarmið með gögnum.
反常	óvenjulegur	Veðrið í dag er dálítið óvenjulegt.
反感	óbeit	Ég hef mikla óbeit á svona auglýsingum.
反抗	gera uppreisn	Fólk fór að gera uppreisn gegn ósanngjörnum reglum.
反馈	endurgjöf	Endurgjöf viðskiptavina segir að kerfið sé mjög stöðugt.
反面	bakhlið	Vinsamlegast snúðu blaðinu á bakhliðina.
反射	endurkasta	Spegill endurkastar ljósi.
反思	endurskoða	Eftir mistökin endurskoðaði hann ástæðurnar vandlega.
反问	spyrja á móti	Hann svaraði ekki, heldur spurði mig á móti.
反之	hins vegar	Of hátt verð minnkar eftirspurn, og hins vegar gildir það líka.
泛滥	flæða yfir	Mikil rigning olli því að áin flæddi yfir.
范畴	flokkur	Þetta mál fellur undir lagalegan flokk.
贩卖	selja	Lög banna að selja fölsuð lyf.
方位	staðsetning	Nákvæm staðsetning er merkt á kortinu.
方言	mállýska	Hann skilur mállýsku heimamanna.
方圆	radíus	Enginn spítali er innan tíu kílómetra radíuss.
方针	stefna	Fyrirtækið mótaði nýja þróunarstefnu.
防守	vörn	Vörn þessa liðs er mjög traust.
防御	verjast	Borgarmúrinn var áður notaður til að verjast óvinum.
防止	koma í veg fyrir	Vinsamlegast spenntu beltið til að koma í veg fyrir meiðsli.
防治	forvarnir og meðferð	Læknirinn útskýrði aðferðir við forvarnir og meðferð sjúkdóma.
纺织	textílframleiðsla	Þessi borg er þekkt fyrir textílframleiðslu.
访问	heimsækja	Blaðamaðurinn heimsækir þennan rithöfund á morgun.
放大	stækka	Vinsamlegast stækkaðu myndina aðeins.
放射	geisla	Þetta efni geislar frá sér hita.
非法	ólöglegur	Ólögleg viðskipti verða refsiverð.
飞禽走兽	fuglar og dýr	Í skóginum lifa alls konar fuglar og dýr.
飞翔	fljúga	Mávurinn flýgur yfir sjávarflötinn.
飞跃	stökk	Þróun tækni hefur tekið stórt stökk.
肥沃	frjósamur	Þessi jarðvegur er mjög frjósamur.
诽谤	rógur	Rógur gegn öðrum ber lagalega ábyrgð.
废除	afnema	Þessi gamla regla hefur þegar verið afnumin.
废寝忘食	gleyma svefni og mat	Hann gleymdi svefni og mat vegna rannsóknarinnar.
废墟	rústir	Eftir jarðskjálftann varð staðurinn að rústum.
沸腾	sjóða	Vatnið er þegar farið að sjóða.
肺	lunga	Reykingar skaða lungun.
分辨	greina	Ég á erfitt með að greina þessa tvo liti.
分寸	hóf	Það þarf líka að gæta hófs í gríni.
分红	arðgreiðsla	Hluthafar geta fengið arðgreiðslu í lok árs.
分解	brjóta niður	Kennarinn braut flókna vandann niður í nokkur skref.
分裂	klofna	Innri ágreiningur olli því að samtökin klofnuðu.
分泌	seytast	Þessi kirtill seytir hormónum.
分明	skýr	Staðreyndirnar eru nú mjög skýrar.
分歧	ágreiningur	Báðir aðilar hafa ágreining um verðið.
分散	dreifa	Vinsamlegast dreifðu áhættunni á mismunandi verkefni.
吩咐	fyrirskipa	Yfirmaðurinn fyrirskipaði mér að raða skjölunum.
坟墓	gröf	Á hlíðinni er gömul gröf.
粉末	duft	Vinsamlegast malaðu töflurnar í duft.
粉色	bleikur	Hún keypti bleikan trefil.
粉碎	brjóta upp	Lögreglan braut upp þessa glæpagengi.
分量	þungi	Þessi setning hefur mikinn þunga.
愤怒	reiði	Rödd hans var full af reiði.
丰满	efnismikill	Innihald þessarar greinar er enn ekki nógu efnismikið.
丰盛	ríkulegur	Þau útbjuggu ríkulegan kvöldverð.
丰收	góð uppskera	Bændur fengu góða uppskeru í ár.
封闭	loka	Þessum vegi verður lokað meðan á framkvæmdum stendur.
封建	feudal	Þessa feudal hugsun hefði átt að breyta fyrir löngu.
封锁	loka af	Lögreglan lokaði slysstaðnum af.
锋利	beittur	Þessi hnífur er mjög beittur.
风暴	stormur	Stormur kom skyndilega upp á hafinu.
风度	glæsileiki	Hann virtist mjög glæsilegur á sviðinu.
风光	landslag	Náttúrulegt landslag hér er mjög fallegt.
风气	andi	Skólinn hefur skapað góðan námsanda.
风趣	hnyttinn	Hann talar mjög hnyttið.
风土人情	siðir og venjur	Ferðalög gera manni kleift að kynnast staðbundnum siðum og venjum.
风味	bragð	Þessi staður hefur sterkt staðbundið bragð.
逢	í hvert sinn	Í hvert sinn sem helgi kemur er garðurinn mjög líflegur.
奉献	helga	Læknirinn helgaði sjúklingum mikinn tíma.
否决	hafna	Stjórnin hafnaði þessari tillögu.
夫妇	hjón	Þessi hjón reka litla búð.
夫人	frú	Herra Wang og frú hans mættu saman í kvöldverðinn.
敷衍	afgreiða lauslega	Hann afgreiddi málið lauslega með nokkrum svörum.
俘虏	fangi	Eftir stríðið var föngunum sleppt.
幅度	umfang	Umfang verðlækkunarinnar að þessu sinni er mikið.
服从	hlýða	Hermenn verða að hlýða skipunum.
服气	sætta sig	Hann tapaði leiknum, en sætti sig ekki við það.
福利	fríðindi	Starfsmenn leggja mikla áherslu á fríðindi fyrirtækisins.
福气	blessun	Að hitta góðan kennara er blessun fyrir hann.
符号	tákn	Þetta tákn merkir hættu.
辐射	geislun	Læknirinn minnti hann á að forðast sterka geislun.
俯视	horfa niður	Frá fjallstindinum má horfa niður yfir alla borgina.
抚摸	strjúka	Hún strauk varlega höfuð barnsins.
抚养	ala upp	Afi og amma hjálpa til við að ala barnið upp.
腐败	spilling	Ríkisstjórnin berst gegn spillingu.
腐烂	rotna	Ávextir rotna ef þeir liggja of lengi.
腐蚀	tæra	Sýra getur tært málmyfirborð.
腐朽	rotinn	Þau gagnrýndu rotna kerfið.
辅助	aðstoða	Þetta verkfæri getur aðstoðað við kennslu.
副	aðstoðar-	Hún var skipuð aðstoðarframkvæmdastjóri.
复活	endurlífga	Þessi hefðbundna hátíð er að endurlífgast.
复兴	endurreisn	Menningarleg endurreisn krefst langvarandi vinnu.
富裕	velmegandi	Þetta þorp verður nú sífellt velmegandi.
腹泻	niðurgangur	Hann er með alvarlegan niðurgang og þarf að fara til læknis.
覆盖	hylja	Mikill snjór huldi allan dalinn.
负担	byrði	Leigan varð helsta byrði hans.
赋予	veita	Lögin veita borgurum grundvallarréttindi.
附和	taka undir	Hann hefur enga eigin skoðun og kann bara að taka undir með öðrum.
附件	viðhengi	Vinsamlegast skoðaðu viðhengið í tölvupóstinum.
附属	tengdur	Þessi spítali er tengdur háskólanum.
改良	bæta	Sérfræðingar eru að bæta þessa hrísgrjónategund.
盖章	stimpla	Eftir að samningurinn er undirritaður þarf að stimpla hann.
钙	kalsíum	Mjólk inniheldur mikið kalsíum.
尴尬	vandræðalegur	Á fundinum varð vandræðaleg þögn.
干旱	þurrkur	Langvarandi þurrkur hafði áhrif á uppskeruna.
干扰	trufla	Hávaði truflar vinnuna mína.
干涉	blanda sér í	Foreldrar ættu ekki að blanda sér of mikið í val barna sinna.
干预	grípa inn í	Ríkisstjórnin greip tímanlega inn í markaðsáhættuna.
感慨	hrærður	Þegar hann sá gömlu myndirnar varð hann mjög hrærður.
感染	smitast	Þessi veira smitar börn auðveldlega.
干劲	dugnaður	Allir vinna af miklum dugnaði.
扛	bera	Sagan segir að hann hafi verið svo sterkur að hann gat borið þunga kerið.
纲领	áætlun	Fundurinn samþykkti nýja aðgerðaáætlun.
岗位	starf	Hún aðlagaðist fljótt nýja starfinu.
港口	höfn	Flutningaskipið lagðist að í höfninni.
港湾	vík	Litli báturinn sigldi inn í kyrru víkina.
杠杆	skuldsetning	Þessi fjárfesting notar mikla skuldsetningu.
高超	frábær	Viðgerðartækni hans er frábær.
高潮	hápunktur	Leikurinn náði hápunkti síðustu tíu mínúturnar.
高峰	álagstími	Klukkan átta um morguninn er álagstími í umferðinni.
高明	snjall	Þessi aðferð er sannarlega snjöll.
高尚	göfugur	Starfsandi lækna er mjög göfugur.
高涨	aukast	Áhugi áhorfenda jókst stöðugt.
稿件	handrit	Ritstjórinn er að breyta handritinu.
告辞	kveðja	Það er orðið seint, við kveðjum fyrst.
告诫	vara við	Kennarinn varaði nemendur við að svindla.
割	skera	Hann skar sig óvart á fingri.
搁	leggja	Vinsamlegast leggðu skjölin á borðið.
歌颂	lofa	Þetta ljóð lofar verkafólk.
疙瘩	hnúður	Hann fékk hnúð á handlegginn.
鸽子	dúfa	Það eru margar dúfur á torginu.
格局	skipulag	Skipulag þessarar íbúðar er mjög skynsamlegt.
格式	snið	Vinsamlegast fylltu út eyðublaðið samkvæmt tilskildu sniði.
隔阂	bil	Misskilningurinn dýpkaði bilið á milli þeirra.
隔离	einangra	Sjúklingurinn þarf að vera einangraður tímabundið.
革命	bylting	Þessi bylting breytti örlögum landsins.
个体	einstaklingur	Hver einstaklingur hefur ólíkar þarfir.
各抒己见	láta skoðun sína í ljós	Á fundinum létu allir skoðun sína í ljós.
根深蒂固	rótgróinn	Þessi hugmynd er orðin rótgróin.
根源	rót	Rót fátæktar er flókin.
跟前	fyrir framan	Barnið hljóp fram fyrir móður sína.
跟随	fylgja	Blaðamaðurinn fylgdi hópnum inn á fjallasvæðið.
跟踪	fylgjast með	Lögreglan fylgist með ferðum hins grunaða.
更新	uppfæra	Kerfið uppfærist sjálfkrafa í kvöld.
更正	leiðrétta	Dagblaðið leiðrétti villuna næsta dag.
耕地	plægja	Bændurnir eru að plægja landið að vori.
供不应求	eftirspurn meiri en framboð	Þetta lyf er nú með meiri eftirspurn en framboð.
供给	framboð	Borgin þarf stöðugt framboð af vatni og rafmagni.
公安局	lögreglustöð	Hann fór á lögreglustöðina til að tilkynna málið.
公道	réttlæti	Allir vonast eftir réttlátri meðferð.
公告	tilkynning	Skólinn birti tilkynningu um að kennslu væri aflýst.
公关	almannatengsl	Fyrirtækið réð faglegt almannatengslateymi.
公民	borgari	Hver borgari ætti að fara að lögum.
公然	opinberlega	Hann braut reglur keppninnar opinberlega.
公认	almennt viðurkenndur	Hún er almennt viðurkennd sem framúrskarandi kennari.
公式	formúla	Vinsamlegast skrifaðu þessa stærðfræðiformúlu hjá þér.
公务	embættiserindi	Hann fór í þrjá daga ferð vegna embættiserinda.
公正	réttlátur	Dómari verður að vera réttlátur.
公证	vottun	Þetta skjal þarf vottun.
功劳	framlag	Þessi árangur er framlag allra.
功效	virkni	Virkni þessa lyfs þarf enn að staðfesta.
宫殿	höll	Ferðamenn heimsóttu gömlu höllina.
工艺品	handverk	Þetta handverk er unnið í höndunum.
恭敬	virðingarfullur	Hann heilsaði gamla manninum virðingarfullt.
攻击	ráðast á	Tölvuþrjótar réðust á vef fyrirtækisins.
攻克	yfirstíga	Rannsóknarteymið yfirsté tæknilega vandamálið.
巩固	styrkja	Endurtekning getur styrkt það sem lært hefur verið.
共和国	lýðveldi	Þetta lýðveldi var stofnað á síðustu öld.
共计	samtals	Þessi vörusending er samtals þrjú hundruð kassar.
共鸣	hljómgrunnur	Þetta lag vakti hljómgrunn hjá mörgum.
勾结	sammælast	Þau sammæltust utanaðkomandi aðilum um að svíkja út fé.
钩子	krókur	Nokkrir krókar hanga á veggnum.
构思	hugmyndavinna	Rithöfundurinn er að vinna að hugmynd að nýrri skáldsögu.
姑且	til bráðabirgða	Prófum þessa áætlun til bráðabirgða í eina viku.
孤独	einmana	Eftir að hann flutti í nýja borg fann hann til einmanaleika.
孤立	einangraður	Ekki líta á þetta vandamál einangrað.
辜负	bregðast	Ég vil ekki bregðast væntingum foreldra minna.
古董	forngripur	Afi safnaði nokkrum forngripum.
古怪	skrýtinn	Hugmynd hans er dálítið skrýtin.
股东	hluthafi	Hluthafafundurinn verður haldinn í næstu viku.
股份	hlutur	Hann á hlut í fyrirtækinu.
骨干	kjarni	Þessir verkfræðingar eru kjarni teymisins.
鼓动	egna	Einhver egndi fólkið til mótmæla.
固然	vissulega	Þessi aðferð er vissulega einföld, en áhættan er ekki lítil.
固体	fast efni	Ís er fast form vatns.
固有	meðfæddur	Hver menning hefur sín meðfæddu einkenni.
固执	þrjóskur	Hann er of þrjóskur og vill ekki hlusta á ráð.
故乡	heimahérað	Eftir mörg ár sneri hann aftur til heimahéraðsins.
故障	bilun	Lyftan bilaði og er tímabundið ekki í notkun.
雇佣	ráða	Fyrirtækið ákvað að ráða fleiri tæknimenn.
顾虑	áhyggjur	Ef þú hefur einhverjar áhyggjur geturðu sagt það beint.
顾问	ráðgjafi	Við réðum lögfræðilegan ráðgjafa.
拐杖	göngustafur	Gamli maðurinn tekur oft göngustaf með sér þegar hann fer út.
关怀	umhyggja	Kennarinn sýndi nemendunum mikla umhyggju.
关照	gæta	Vinsamlegast gættu barnsins vel á leiðinni.
官方	opinber	Opinberu fréttirnar verða birtar á morgun.
观光	skoðunarferð	Ferðamennirnir fóru í skoðunarferð með báti.
管辖	hafa lögsögu	Borgarstjórnin hefur lögsögu yfir þessu svæði.
惯例	venja	Að kynna gesti áður en fundur hefst er venja.
灌溉	vökva	Bændur vökva akrana með árvatni.
罐	dós	Á borðinu stendur dós af tei.
贯彻	framfylgja	Fyrirtækið þarf að framfylgja nýjum öryggisstöðlum.
光彩	ljómi	Þessi föt gefa henni mikinn ljóma.
光辉	dýrð	Afrek hans skildu eftir dýrlega síðu.
光芒	geisli	Geislar sólarinnar lýstu upp dalinn.
光荣	heiður	Að þjóna landinu er heiður.
广阔	víðáttumikill	Graslendið virðist endalaust og mjög víðáttumikið.
归根到底	að lokum	Að lokum liggur vandinn í stjórnuninni.
归还	skila	Vinsamlegast skilaðu bókunum á réttum tíma.
规范	regla	Skólinn setti reglur til að stjórna rannsóknarstofunni.
规格	forskrift	Forskriftir þessara varahluta eru ekki samræmdar.
规划	skipuleggja	Borgarskipulag þarf að taka tillit til umferðar.
规章	reglugerð	Starfsmenn verða að fylgja reglugerðum fyrirtækisins.
轨道	spor	Lestin fer áfram eftir sporinu.
贵族	aðall	Þetta sveitasetur tilheyrði einu sinni aðlinum.
跪	krjúpa	Hann kraup fyrir framan helgimyndina.
棍棒	stafur	Lögreglan lagði hald á stafina á staðnum.
国防	landvarnir	Uppbygging landvarna krefst langtímafjárfestingar.
国务院	ríkisráð	Ríkisráðið gaf út nýja tilkynningu.
果断	ákveðinn	Leiðtoginn tók ákveðna ákvörðun.
过度	óhóflegur	Óhófleg notkun síma getur haft áhrif á svefn.
过渡	umbreyting	Fyrirtækið er í umbreytingarfasa.
过奖	oflofa	Þú oflofar mér; ég þarf enn að læra.
过滤	sía	Þetta tæki getur síað óhreinindi.
过失	mistök	Þetta slys varð vegna mannlegra mistaka.
过问	skipta sér af	Framkvæmdastjórinn skiptir sér sjaldan af þessum smámálum.
过瘾	fullnægjandi	Það var mjög fullnægjandi að horfa á þennan leik.
过于	of	Þessi áætlun er of flókin.
嗨	hæ	Hæ, þú komst líka.
海拔	hæð yfir sjó	Þetta þorp er í mikilli hæð yfir sjó.
海滨	strönd	Þau eyddu helginni við ströndina.
含糊	óljós	Svar hans var mjög óljóst.
含义	merking	Þetta orð hefur sérstaka merkingu.
寒暄	skiptast á kurteisisorðum	Eftir að þau hittust skiptust þau fyrst á nokkrum kurteisisorðum.
罕见	sjaldgæfur	Þessi sjúkdómur er mjög sjaldgæfur.
捍卫	verja	Lögmaðurinn lagði sig fram um að verja réttindi aðilans.
航空	flugsamgöngur	Flugfélagið aflýsti fluginu.
航天	geimferðir	Geimferðir Kína þróast hratt.
航行	sigla	Skipið siglir á hafinu.
行列	röð	Hún gekk í röð sjálfboðaliða.
毫米	millímetri	Þetta gler er fimm millímetrar á þykkt.
毫无	alls enginn	Skýring hans hefur alls engan grundvöll.
豪迈	djarfur	Söngur hans var djarfur og kraftmikill.
号召	hvetja	Ríkisstjórnin hvatti alla til að spara vatn.
耗费	eyða	Þetta verkefni eyddi miklum fjármunum.
呵	hrópa	Faðirinn hrópaði, og barnið hætti strax.
合并	sameinast	Fyrirtækin tvö ætla að sameinast á næsta ári.
合成	framleiða tilbúið	Þetta efni má framleiða tilbúið.
合伙	gera í félagi	Þau opnuðu veitingastað í félagi.
合算	hagkvæmt	Að taka strætó er hagkvæmara en að taka leigubíl.
和蔼	vinalegur	Þessi læknir talar mjög vinalega.
和解	sættir	Báðir aðilar náðu að lokum sáttum.
和睦	samlyndur	Nágrannarnir búa saman í góðu samlyndi.
和气	vingjarnlegur	Yfirmaðurinn kemur vingjarnlega fram við fólk.
和谐	samstilltur	Tónlistin gerði andrúmsloftið samstilltara.
嘿	hey	Hey, þú heyrðir þetta.
痕迹	ummerki	Ummerki eftir hjólin voru eftir á jörðinni.
狠心	hjartalaus	Hann hafnaði beiðni vinar síns hjartalaust.
恨不得	óska þess heitt	Ég óska þess heitt að geta farið heim og hvílt mig strax.
哼	hnussa	Hann hnussaði óánægður.
横	láréttur	Vinsamlegast teiknaðu lárétta línu á blaðið.
哄	skella upp úr	Allir skelltu upp úr.
烘	baka	Brauðið er að bakast í ofninum.
轰动	valda miklu fjaðrafoki	Þessar fréttir ollu miklu fjaðrafoki um allt land.
宏观	heildrænn	Við þurfum að greina hagkerfið frá heildrænu sjónarhorni.
宏伟	tignarlegur	Hönnun þessarar brúar er mjög tignarleg.
洪水	flóð	Flóðið eyðilagði nokkrar brýr.
喉咙	háls	Hann talaði of mikið og er svolítið aumur í hálsinum.
吼	öskra	Hann öskraði hátt í áttina að fjarskanum.
候选	frambjóðandi	Hún er frambjóðandi fulltrúi í ár.
后代	komandi kynslóðir	Við verðum að vernda umhverfið fyrir komandi kynslóðir.
后顾之忧	áhyggjur af eftirmálum	Stöðugar tekjur losuðu hann við áhyggjur af eftirmálum.
后勤	birgðamál	Birgðadeildin ber ábyrgð á efnisframboði.
呼唤	kalla	Móðirin kallaði á barnið við dyrnar.
呼啸	gnauða	Kaldur vindurinn gnauðaði fyrir utan gluggann.
呼吁	hvetja	Sérfræðingar hvöttu alla til að draga úr sóun.
忽略	vanrækja	Vinsamlegast vanræktu ekki þetta smáatriði.
湖泊	stöðuvatn	Á þessu svæði eru mörg náttúruleg stöðuvötn.
胡乱	af handahófi	Ekki setja hlutina af handahófi á gólfið.
胡须	skegg	Skeggið hans er orðið hvítt.
花瓣	krónublað	Eftir rigninguna lágu krónublöð út um allt.
花蕾	blómknappur	Á vorin vaxa blómknappar á greinunum.
华丽	glæsilegur	Búningarnir á sviðinu eru mjög glæsilegir.
华侨	Kínverji erlendis	Margir Kínverjar erlendis sneru heim til að fjárfesta.
划分	skipta	Kennarinn skipti nemendum í fjóra hópa.
化肥	áburður	Bændur bera áburð á uppskeruna.
化石	steingervingur	Safnið sýndi risaeðlusteingervinga.
化验	rannsókn	Læknirinn bað hann að fara í blóðrannsókn.
化妆	farða sig	Hún er að farða sig áður en hún fer á svið.
画蛇添足	ofgera	Að bæta við skýringu væri frekar að ofgera hlutunum.
话筒	hljóðnemi	Kynnirinn rétti áhorfandanum hljóðnemann.
欢乐	gleði	Hátíðartorgið var fullt af gleði.
环节	þáttur	Hver þáttur þjálfunarinnar er mikilvægur.
还原	endurstilla	Vinsamlegast endurstilltu stillingarnar í sjálfgefið ástand.
缓和	lina	Samband beggja aðila linaðist smám saman.
患者	sjúklingur	Læknirinn er að spyrja sjúklinginn um ástand hans.
荒凉	eyðilegur	Þetta land virðist mjög eyðilegt.
荒谬	fáránlegur	Þessi skýring hljómar mjög fáránlega.
荒唐	fráleitur	Ákvörðun hans var alltof fráleit.
皇帝	keisari	Keisarinn bjó í tignarlegri höll.
皇后	keisaraynja	Keisaraynjan tók þátt í hátíðinni.
黄昏	rökkur	Í rökkri kviknuðu götuljósin.
恍然大悟	skilja skyndilega	Eftir skýringuna skildi hann þetta skyndilega.
晃	blossa	Fyrir augum hans blossaði eitthvað, og hann hvarf.
挥霍	sóa	Hann ætti ekki að sóa peningum foreldra sinna.
辉煌	glæsilegur	Þessi borg á glæsilega sögu.
回报	umbun	Erfið vinna fær að lokum umbun.
回避	forðast	Hann forðast þetta mál stöðugt.
回顾	fara yfir	Í lok fundarins fóru þau yfir starf ársins.
回收	endurvinna	Hverfið byrjaði að endurvinna gamlar rafhlöður.
悔恨	iðrun	Hann fann fyrir iðrun vegna fyrri mistaka.
毁灭	eyðileggja	Stríðið eyðilagði næstum alla borgina.
会晤	fundur	Leiðtogar landanna tveggja hittast á fundi á morgun.
汇报	gera grein fyrir	Hann gerði framkvæmdastjóranum grein fyrir framvindunni.
贿赂	mútur	Embættismaðurinn var rannsakaður vegna mútna.
昏迷	dá	Sjúklingurinn er enn í dái.
荤	kjötmatur	Þessi réttur er kjötmatur og hentar ekki grænmetisætum.
浑身	allur líkaminn	Eftir hlaupið var allur líkami hans sveittur.
混合	blanda	Vinsamlegast blandaðu efnunum tveimur jafnt.
混乱	óreiða	Á staðnum ríkti um tíma mikil óreiða.
混淆	rugla	Ekki rugla þessum tveimur hugtökum saman.
混浊	gruggugur	Eftir rigninguna varð árvatnið gruggugt.
活该	eiga skilið	Hann hlustaði ekki á ráð, svo hann átti ósigurinn skilið.
活力	lífskraftur	Þessi borg er full af lífskrafti.
火箭	eldflaug	Eldflaugin fór með góðum árangri á fyrirhugaða braut.
火焰	logi	Vindurinn blés logann hærra.
火药	byssupúður	Byssupúður breytti fornum hernaði.
货币	gjaldmiðill	Peningastefna hefur áhrif á þróun hagkerfisins.
基地	bækistöð	Þetta var áður mikilvæg æfingabækistöð.
基金	sjóður	Skólinn stofnaði námsstyrkjasjóð.
基因	gen	Vísindamenn eru að rannsaka þetta gen.
机动	sveigjanlegur	Þessi hópur heldur miklum sveigjanleika.
机构	stofnun	Þessi stofnun ber ábyrgð á gæðaprófun.
机灵	snjall	Þetta barn er mjög snjallt.
机密	trúnaðarmál	Þessi gögn eru trúnaðarmál.
机械	vélar	Verksmiðjan tók inn nýjar vélar.
机遇	tækifæri	Ungt fólk þarf að grípa tækifærin.
机智	úrræðagóður	Svar hans var mjög úrræðagott.
激发	kveikja	Kennarinn kveikti áhuga nemendanna.
激励	hvetja	Þessi árangur hvatti allt teymið.
激情	ástríða	Hann talaði af mikilli ástríðu.
讥笑	hæðast að	Ekki hæðast að mistökum annarra.
饥饿	hungur	Langvarandi hungur hefur áhrif á heilsu.
即便	jafnvel þótt	Jafnvel þótt rigni leggjum við af stað á réttum tíma.
即将	brátt	Fundurinn hefst brátt.
及早	sem fyrst	Vandamál þarf að leysa sem fyrst þegar þau finnast.
吉祥	heillavænlegur	Rauður litur táknar oft heill í Kína.
嫉妒	öfund	Hann ætti ekki að öfunda árangur samstarfsmannsins.
